,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,7607,7639.6,7909.7,7624.0,7847.0,7605.0,7304.0,7541.0,7279.4,7603.0,7641.2,7635.1,7467.0,,7428.5,7763.0,7658.9,7259.0,7450.3,7573.3,7359.4,7360.0,8064.6,7509.0,8057.5,,7388.6,7793.8,7384.0,,7758.3,7012.9,,7745.0,7802.0,7716.8,,8066.2,7594.0,7741.1,7563.9,7542.0,7660.0,7207.6,7442.1,7397.0,32.6,302.7,17.0,240.0,-2.0,-303.0,-66.0,-327.6,-4.0,34.2,28.1,-140.0,,-178.5,156.0,51.9,-348.0,-156.7,-33.7,-247.6,-247.0,457.6,-98.0,450.5,,-218.4,186.8,-223.0,,151.3,-594.1,,138.0,195.0,109.8,,459.2,-13.0,134.1,-43.1,-65.0,53.0,-399.4,-164.9,-210.0,False,True,False,True,False,False,False,True,False,True,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,,False,True,False,False,False,False,False,False,False
Hawaii,186,201.0,217.1,196.0,212.0,181.0,143.0,133.0,145.8,155.0,226.0,,218.2,,144.0,,170.9,136.0,251.5,182.9,155.2,157.4,148.5,190.0,200.4,,139.0,186.7,171.0,,,126.8,,181.0,201.0,187.4,,216.6,160.0,192.7,146.8,159.0,253.5,153.1,190.7,,15.0,31.1,10.0,26.0,-5.0,-43.0,-53.0,-40.2,-31.0,40.0,,32.2,,-42.0,,-15.1,-50.0,65.5,-3.1,-30.8,-28.6,-37.5,4.0,14.4,,-47.0,0.7,-15.0,,,-59.2,,-5.0,15.0,1.4,,30.6,-26.0,6.7,-39.2,-27.0,67.5,-32.9,4.7,,False,True,False,True,False,False,False,False,False,,False,,False,,False,False,False,True,False,False,False,True,True,,False,True,False,,,False,,True,False,True,,False,False,True,False,False,False,False,True,
Idaho,529,551.0,541.8,518.0,545.0,540.0,540.0,545.0,523.4,523.0,671.6,541.0,569.7,,514.6,587.0,541.1,513.1,609.8,523.5,525.4,528.7,1125.2,551.0,587.5,,512.7,584.9,527.0,,,477.7,,550.0,620.0,534.9,,603.0,524.0,526.4,528.5,541.0,570.0,514.6,535.4,555.0,22.0,12.8,-11.0,16.0,11.0,11.0,16.0,-5.6,-6.0,142.6,12.0,40.7,,-14.4,58.0,12.1,-15.9,80.8,-5.5,-3.6,-0.3,596.2,22.0,58.5,,-16.3,55.9,-2.0,,,-51.3,,21.0,91.0,5.9,,74.0,-5.0,-2.6,-0.5,12.0,41.0,-14.4,6.4,26.0,True,True,True,True,True,True,True,True,False,True,False,,True,False,True,True,False,True,True,True,False,False,False,,True,False,True,,,False,,True,False,True,,False,True,True,True,True,False,True,True,False
Illinois,9452,9245.3,9252.5,9230.0,9253.7,9211.0,9703.0,9159.0,9179.3,9193.0,9142.3,9205.3,9075.8,,8933.6,9212.0,9318.4,9682.2,9416.0,9311.7,9095.4,9214.0,8975.4,9203.0,9312.6,9446.5,9205.4,9175.0,9203.0,,9138.8,8986.2,,9284.0,9323.0,9176.4,,9328.0,9229.0,9706.3,10649.5,9226.0,9032.5,8744.0,9162.4,8865.0,-206.7,-199.5,-222.0,-198.3,-241.0,251.0,-293.0,-272.7,-259.0,-309.7,-246.7,-376.2,,-518.4,-240.0,-133.6,230.2,-36.0,-140.3,-356.6,-238.0,-476.6,-249.0,-139.4,-5.5,-246.6,-277.0,-249.0,,-313.2,-465.8,,-168.0,-129.0,-275.6,,-124.0,-223.0,254.3,1197.5,-226.0,-419.5,-708.0,-289.6,-587.0,True,False,True,False,False,False,False,False,False,False,False,,False,False,True,False,True,True,False,False,False,False,True,True,False,False,False,,False,False,,True,True,False,,True,False,False,False,False,False,False,False,False
Indiana,3918,3768.3,3754.8,3771.0,3768.9,3766.0,3938.0,3762.0,3740.6,3865.0,3758.7,3776.9,3741.2,,3757.0,3831.0,3802.2,4074.7,3947.6,3782.1,3680.3,3738.8,3894.1,3784.0,3727.0,3774.5,3759.2,3753.7,3812.0,,3738.8,3677.4,,3790.0,3833.0,3731.8,,3742.3,3792.0,3974.7,4394.7,3765.0,3692.0,3466.2,3756.3,3558.0,-149.7,-163.2,-147.0,-149.1,-152.0,20.0,-156.0,-177.4,-53.0,-159.3,-141.1,-176.8,,-161.0,-87.0,-115.8,156.7,29.6,-135.9,-237.7,-179.2,-23.9,-134.0,-191.0,-143.5,-158.8,-164.3,-106.0,,-179.2,-240.6,,-128.0,-85.0,-186.2,,-175.7,-126.0,56.7,476.7,-153.0,-226.0,-451.8,-161.7,-360.0,False,True,True,False,True,False,False,True,False,True,False,,False,True,True,False,True,True,False,False,True,True,False,True,False,False,True,,False,False,,True,True,False,,False,True,True,False,False,False,False,False,False
Iowa,1528,1438.6,1451.1,1417.0,1452.9,1460.0,1703.0,1365.0,1422.6,1539.0,1428.1,1421.7,1555.2,,1505.0,1534.0,1537.3,1500.9,1538.2,1554.6,1418.5,1407.0,1478.0,1505.0,1468.1,,1551.8,1460.0,1404.0,,1479.7,1314.0,,1488.0,1509.0,1453.4,,1483.4,1436.0,1478.9,1676.2,1404.0,1333.5,1378.1,1462.5,1427.0,-89.4,-76.9,-111.0,-75.1,-68.0,175.0,-163.0,-105.4,11.0,-99.9,-106.3,27.2,,-23.0,6.0,9.3,-27.1,10.2,26.6,-109.5,-121.0,-50.0,-23.0,-59.9,,23.8,-68.0,-124.0,,-48.3,-214.0,,-40.0,-19.0,-74.6,,-44.6,-92.0,-49.1,148.2,-124.0,-194.5,-149.9,-65.5,-101.0,True,False,True,True,False,False,False,True,False,False,True,,True,True,True,True,True,True,False,False,True,True,True,,True,True,False,,True,False,,True,True,True,,True,False,True,False,False,False,False,True,False
Kansas,859,853.4,867.4,796.0,866.0,774.0,840.0,767.0,803.5,734.0,794.0,821.9,799.6,,804.4,764.0,758.8,739.1,810.1,822.5,738.2,809.7,722.5,855.0,696.0,,684.6,809.2,957.5,,,646.8,,822.0,886.0,794.4,,711.4,741.0,733.7,747.8,804.0,837.0,667.2,742.8,768.0,-4.6,9.4,-62.0,8.0,-84.0,-18.0,-91.0,-54.5,-124.0,-64.0,-36.1,-58.4,,-53.6,-94.0,-99.2,-118.9,-47.9,-35.5,-119.8,-48.3,-135.5,-3.0,-162.0,,-173.4,-48.8,99.5,,,-211.2,,-36.0,28.0,-63.6,,-146.6,-117.0,-124.3,-110.2,-54.0,-21.0,-190.8,-115.2,-90.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,,,False,,False,False,False,,False,False,False,False,False,False,False,False,False
Kentucky,1312,1307.7,1306.5,1280.0,1312.0,1337.0,1403.0,1396.0,1321.5,1344.0,1358.2,1406.4,1380.7,,1352.9,1542.0,1371.9,1346.9,1456.8,1376.3,1277.6,1288.1,1306.8,1418.0,1346.8,1431.0,1217.7,1312.7,1413.0,,1321.1,1239.7,,1345.0,1411.0,1337.4,,1362.1,1242.0,1291.9,1447.8,1304.0,1325.5,1224.1,1318.6,1282.0,-4.3,-5.5,-32.0,0.0,25.0,91.0,84.0,9.5,32.0,46.2,94.4,68.7,,40.9,230.0,59.9,34.9,144.8,64.3,-34.4,-23.9,-5.2,106.0,34.8,119.0,-94.3,0.7,101.0,,9.1,-72.3,,33.0,99.0,25.4,,50.1,-70.0,-20.1,135.8,-8.0,13.5,-87.9,6.6,-30.0,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False
Louisiana,5727,5881.0,5907.8,5801.0,5902.0,5822.0,5687.0,6031.0,5790.0,5704.0,5880.5,5914.9,5586.5,,5799.1,5953.0,5696.0,5667.3,5637.5,5723.1,5713.4,5675.4,6247.7,5749.0,6122.2,,5575.2,5736.8,5672.0,,5762.4,5754.1,,5901.0,6012.0,5993.9,,6137.5,5741.0,6055.6,5887.4,5762.0,5743.5,5577.1,5789.5,5449.0,154.0,180.8,74.0,175.0,95.0,-40.0,304.0,63.0,-23.0,153.5,187.9,-140.5,,72.1,226.0,-31.0,-59.7,-89.5,-3.9,-13.6,-51.6,520.7,22.0,395.2,,-151.8,9.8,-55.0,,35.4,27.1,,174.0,285.0,266.9,,410.5,14.0,328.6,160.4,35.0,16.5,-149.9,62.5,-278.0,False,True,False,True,True,False,True,True,True,False,True,,True,False,True,True,True,True,True,True,False,True,False,,True,True,True,,True,True,,False,False,False,,False,True,False,False,True,True,True,True,False
Maine,146,150.6,152.4,152.0,155.0,152.0,140.0,150.0,145.1,143.0,157.2,152.9,148.9,,136.5,184.0,150.3,155.1,170.6,151.3,147.4,141.0,165.1,170.0,146.5,,141.8,154.3,143.0,,,143.9,,151.0,181.0,149.1,,161.9,151.0,159.9,164.3,153.0,155.0,146.0,148.9,,4.6,6.4,6.0,9.0,6.0,-6.0,4.0,-0.9,-3.0,11.2,6.9,2.9,,-9.5,38.0,4.3,9.1,24.6,5.3,1.4,-5.0,19.1,24.0,0.5,,-4.2,8.3,-3.0,,,-2.1,,5.0,35.0,3.1,,15.9,5.0,13.9,18.3,7.0,9.0,-0.0,2.9,,False,False,False,False,False,True,True,True,False,False,True,,False,False,True,False,False,False,True,False,False,False,True,,True,False,True,,,True,,False,False,True,,False,False,False,False,False,False,True,True,
Maryland,4036,4037.1,4042.6,4042.0,4040.6,4046.0,4235.0,4162.0,4031.4,3900.0,4052.1,4089.0,4175.1,,4101.5,4067.0,4050.5,4199.6,4054.3,4055.1,3988.8,3986.9,4024.5,4036.0,3929.6,,4130.9,4062.2,4040.0,,3999.6,3956.0,,4048.0,4076.0,4004.6,,3944.9,4032.0,4331.0,4452.2,4050.0,4047.0,3977.4,4030.4,3964.0,1.1,6.6,6.0,4.6,10.0,199.0,126.0,-4.6,-136.0,16.1,53.0,139.1,,65.5,31.0,14.5,163.6,18.3,19.1,-47.2,-49.1,-11.5,0.0,-106.4,,94.9,26.2,4.0,,-36.4,-80.0,,12.0,40.0,-31.4,,-91.1,-4.0,295.0,416.2,14.0,11.0,-58.6,-5.6,-72.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False
