,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Michigan,7340,7185.4,7228.0,,7097.9,7575.9,7252.0,6990.0,,6980.8,9050.7,7035.0,,7129.7,-154.6,-112.0,,-242.1,235.9,-88.0,-350.0,,-359.2,1710.7,-305.0,,-210.3,True,,False,False,True,False,,False,False,False,,False
Minnesota,2270,2292.3,2200.0,,2231.1,2728.8,2106.0,2096.2,,2390.4,2892.6,2351.0,,2221.6,22.3,-70.0,,-38.9,458.8,-164.0,-173.8,,120.4,622.6,81.0,,-48.4,False,,False,False,False,False,,False,False,False,,False
Mississippi,3171,3465.7,2920.0,,2335.2,3020.9,3448.0,2774.2,,3309.1,3369.4,2727.0,,2994.6,294.7,-251.0,,-835.8,-150.1,277.0,-396.8,,138.1,198.4,-444.0,,-176.4,True,,False,True,True,False,,True,True,False,,True
Missouri,2595,2003.0,1883.0,,2195.0,1922.5,1842.0,1749.8,,1868.8,2322.0,1830.0,,1921.6,-571.0,-691.0,,-379.0,-651.5,-732.0,-824.2,,-705.2,-252.0,-744.0,,-652.4,False,,True,False,False,False,,False,True,False,,False
Montana,239,152.9,126.0,,159.9,137.9,177.0,105.9,,141.8,161.6,116.0,,165.6,-86.1,-113.0,,-79.1,-101.1,-62.0,-133.1,,-97.2,-77.4,-123.0,,-73.4,False,,True,False,True,False,,False,True,False,,True
Nebraska,547,511.6,557.0,,537.5,550.1,494.0,422.4,,454.1,484.7,463.0,,493.5,-35.4,10.0,,-9.5,3.1,-53.0,-124.6,,-92.9,-62.3,-84.0,,-53.5,True,,True,True,False,False,,False,False,False,,False
Nevada,1707,2179.1,1636.0,,1470.9,2495.1,2005.0,1274.0,,2033.2,1668.8,1759.0,,1811.9,472.1,-71.0,,-236.1,788.1,298.0,-433.0,,326.2,-38.2,52.0,,104.9,True,,True,False,True,True,,True,True,True,,True
New Hampshire,466,476.1,466.0,,428.3,436.6,473.0,443.5,,476.1,485.1,443.0,,479.1,10.1,0.0,,-37.7,-29.4,7.0,-22.5,,10.1,19.1,-23.0,,13.1,True,,False,False,True,False,,True,False,False,,False
New Jersey,16204,16213.1,16922.0,,15998.5,16124.2,16288.0,16470.9,,16130.1,17328.3,16093.0,,16151.3,9.1,718.0,,-205.5,-79.8,84.0,266.9,,-73.9,1124.3,-111.0,,-52.7,False,,False,False,False,False,,False,False,False,,False
New Mexico,929,988.6,878.0,,780.1,924.5,1000.0,845.5,,893.9,1007.1,852.0,,971.3,59.6,-51.0,,-148.9,-4.5,71.0,-83.5,,-35.1,78.1,-77.0,,42.3,True,,False,True,False,False,,True,False,False,,True
New York,33547,33220.9,35106.0,,33102.4,32683.7,33316.0,33359.6,,33094.0,35369.7,33206.0,,33173.1,-358.1,1527.0,,-476.6,-895.3,-263.0,-219.4,,-485.0,1790.7,-373.0,,-405.9,False,,False,False,True,True,,False,False,False,,False
North Carolina,3929,3976.7,3400.0,,3334.5,4161.3,3520.0,2981.7,,3577.0,4147.6,3429.0,,3592.3,47.7,-529.0,,-594.5,232.3,-409.0,-947.3,,-352.0,218.6,-500.0,,-336.7,False,,False,False,False,False,,False,False,False,,False
North Dakota,399,222.4,192.0,,253.2,236.8,205.0,158.3,,193.2,343.6,271.0,,220.6,-176.6,-207.0,,-145.8,-162.2,-194.0,-240.7,,-205.8,-55.4,-128.0,,-178.4,False,,True,True,False,False,,False,True,True,,False
Ohio,4784,5172.3,4609.0,,4352.1,4773.9,5033.0,4593.4,,5041.1,5524.5,4888.0,,5082.8,100.3,-463.0,,-719.9,-298.1,-39.0,-478.6,,-30.9,452.5,-184.0,,10.8,False,,False,False,True,False,,True,False,False,,True
Oklahoma,1162,1236.7,1027.0,,1109.2,1094.6,1020.0,953.5,,1117.7,1291.8,1066.0,,1140.4,74.7,-135.0,,-52.8,-67.4,-142.0,-208.5,,-44.3,129.8,-96.0,,-21.6,False,,True,True,False,False,,True,False,False,,True
Oregon,619,644.9,557.0,,578.7,847.8,599.0,457.2,,634.3,621.7,602.0,,658.5,25.9,-62.0,,-40.3,228.8,-20.0,-161.8,,15.3,2.7,-17.0,,39.5,False,,False,False,True,False,,True,True,True,,False
Pennsylvania,8442,8374.1,8270.0,,7847.1,9948.1,8008.0,7854.9,,8062.3,9366.8,8199.0,,8298.1,-67.9,-172.0,,-594.9,1506.1,-434.0,-587.1,,-379.7,924.8,-243.0,,-143.9,False,,False,False,False,False,,False,False,False,,False
Rhode Island,1174,1100.7,1142.0,,1073.6,1086.4,1179.0,1053.0,,1088.3,1251.3,1065.0,,1094.7,-37.3,4.0,,-64.4,-51.6,41.0,-85.0,,-49.7,113.3,-73.0,,-43.3,True,,False,False,False,False,,False,False,False,,False
South Carolina,3637,4350.4,3487.0,,2472.2,3619.1,3356.0,3320.3,,3760.2,3392.5,3248.0,,3636.2,713.4,-150.0,,-1164.8,-17.9,-281.0,-316.7,,123.2,-244.5,-389.0,,-0.8,True,,False,True,True,True,,True,True,True,,True
South Dakota,315,223.9,224.0,,262.6,213.5,241.0,180.3,,222.6,381.2,319.0,,220.8,-91.1,-91.0,,-52.4,-101.5,-74.0,-134.7,,-92.4,66.2,4.0,,-94.2,True,,True,False,True,False,,False,True,True,,False
Tennessee,2903,3146.3,2381.0,,2262.3,2901.1,2558.0,2294.8,,2868.9,2334.4,2202.0,,2543.7,243.3,-522.0,,-640.7,-1.9,-345.0,-608.2,,-34.1,-568.6,-701.0,,-359.3,False,,False,True,False,False,,True,False,False,,False
Texas,17723,21936.9,17125.0,,12860.4,21296.6,22174.0,16644.8,15968.0,18699.6,15845.4,18482.0,,17845.7,4557.9,-254.0,,-4518.6,3917.6,4795.0,-734.2,-1411.0,1320.6,-1533.6,1103.0,,466.7,True,,True,True,False,True,True,True,True,True,,True
Utah,540,557.9,661.0,,588.0,552.5,598.0,436.2,,565.3,501.1,479.0,,568.0,17.9,121.0,,48.0,12.5,58.0,-103.8,,25.3,-38.9,-61.0,,28.0,False,,False,True,False,False,,False,False,False,,False
Vermont,58,58.0,66.0,,63.8,61.6,59.0,58.0,,59.0,73.9,58.0,,68.4,0.0,8.0,,5.8,3.6,1.0,0.0,,1.0,15.9,0.0,,10.4,False,,False,False,False,True,,False,False,True,,False
Virginia,3422,3142.7,3096.0,,3003.8,2542.2,2765.0,2878.2,,2767.0,3484.9,2606.0,,2987.5,-279.3,-326.0,,-418.2,-879.8,-657.0,-543.8,,-655.0,62.9,-816.0,,-434.5,False,,False,False,False,False,,False,True,False,,False
Washington,2211,2507.3,2256.0,,2198.7,2672.9,2279.0,2185.6,,2436.5,2574.5,2365.0,,2477.7,282.3,31.0,,-26.3,447.9,54.0,-39.4,,211.5,349.5,140.0,,252.7,True,,True,False,True,True,,True,False,True,,True
West Virginia,401,328.3,242.0,,218.8,427.4,263.0,241.0,,252.1,274.3,300.0,,337.1,-72.7,-159.0,,-182.2,26.4,-138.0,-160.0,,-148.9,-126.7,-101.0,,-63.9,False,,False,True,False,False,,False,False,False,,True
Wisconsin,1761,1411.0,1477.0,,1586.6,1307.1,1341.0,1220.1,,1335.4,1615.1,1310.0,,1448.3,-296.0,-230.0,,-120.4,-399.9,-366.0,-486.9,,-371.6,-91.9,-397.0,,-258.7,True,,True,False,False,False,,False,True,False,,True
Wyoming,57,92.0,57.0,,56.9,34.0,40.0,37.0,,59.6,63.0,37.0,,64.8,35.0,0.0,,-0.1,-23.0,-17.0,-20.0,,2.6,6.0,-20.0,,7.8,True,,True,True,True,True,,True,True,True,,True
US,219813,229837.7,199967.0,208825.0,194234.8,235490.1,218781.0,197508.6,218706.0,214043.8,223267.0,207156.0,210658.0,213229.7,10117.7,-19753.0,-10895.0,-25485.2,15770.1,-939.0,-22211.4,-1014.0,-5676.2,3547.0,-12564.0,-9062.0,-6490.3,False,False,False,False,True,False,True,True,True,False,True,True
