,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Nebraska,547,488.0,,533.1,430.0,532.9,498.0,468.1,407.5,,463.2,608.5,493.0,,492.0,-59.0,,-13.9,-117.0,-14.1,-49.0,-78.9,-139.5,,-83.8,61.5,-54.0,,-55.0,,True,False,True,True,False,False,,False,False,True,,True
Nevada,1707,2022.0,,1733.6,1733.0,2581.3,1956.0,1696.8,1899.0,,1974.5,1687.4,1665.0,,1800.6,315.0,,26.6,26.0,874.3,249.0,-10.2,192.0,,267.5,-19.6,-42.0,,93.6,,True,True,False,True,True,True,,True,True,True,,True
New Hampshire,466,452.6,,447.5,436.0,458.6,487.0,447.3,435.2,,462.4,483.1,455.0,,457.4,-13.4,,-18.5,-30.0,-7.4,21.0,-18.7,-30.8,,-3.6,17.1,-11.0,,-8.6,,False,False,True,False,False,False,,True,False,True,,True
New Jersey,16204,15875.3,,16088.4,15971.0,16136.7,16219.0,16067.3,15982.1,,16024.1,17220.9,15933.0,,16118.9,-328.7,,-115.6,-233.0,-67.3,15.0,-136.7,-221.9,,-179.9,1016.9,-271.0,,-85.1,,True,True,True,True,True,True,,True,False,True,,True
New Mexico,929,941.4,,908.0,875.0,1025.8,983.0,862.2,849.9,,886.4,956.0,910.0,,906.4,12.4,,-21.0,-54.0,96.8,54.0,-66.8,-79.1,,-42.6,27.0,-19.0,,-22.6,,False,False,False,False,False,False,,False,False,False,,False
New York,33347,33417.3,,33219.3,32959.0,33271.2,33378.0,33153.8,33134.7,,33240.9,34968.1,33307.0,,33307.8,28.3,,-169.7,-430.0,-117.8,-11.0,-235.2,-254.3,,-148.1,1579.1,-82.0,,-81.2,,False,False,False,True,False,False,,False,False,False,,False
North Carolina,3929,3796.0,,3801.7,3770.0,3861.4,3787.0,3322.9,3413.9,,3582.4,4060.1,4019.0,,3609.8,-133.0,,-127.3,-159.0,-67.6,-142.0,-606.1,-515.1,,-346.6,131.1,90.0,,-319.2,,True,False,True,False,False,False,,False,True,True,,False
North Dakota,399,183.1,,271.4,146.0,254.1,207.0,212.8,152.9,,149.2,327.6,228.0,,221.4,-215.9,,-127.6,-253.0,-144.9,-192.0,-186.2,-246.1,,-249.8,-71.4,-171.0,,-177.6,,True,False,True,True,True,False,,False,True,True,,True
Ohio,5067,5164.4,,5209.7,5016.0,5381.2,5016.0,4837.0,5331.5,,5507.4,6083.7,5208.0,,4786.2,97.4,,142.7,-51.0,314.2,-51.0,-230.0,264.5,,440.4,1016.7,141.0,,-280.8,,False,True,False,True,False,False,,False,False,False,,False
Oklahoma,1162,1299.6,,1252.8,1172.0,1520.9,1252.0,1141.9,935.2,,1165.5,1352.0,1225.0,,1176.3,137.6,,90.8,10.0,358.9,90.0,-20.1,-226.8,,3.5,190.0,63.0,,14.3,,True,True,False,True,True,False,,True,False,True,,True
Oregon,619,739.1,,633.9,617.0,692.2,590.0,562.9,603.4,,660.9,643.8,612.0,,675.4,120.1,,14.9,-2.0,73.2,-29.0,-56.1,-15.6,,41.9,24.8,-7.0,,56.4,,True,True,True,True,True,True,,True,True,True,,True
Pennsylvania,8442,8350.6,,8383.4,7974.0,9255.1,7969.0,8052.1,7942.7,,8090.6,9380.4,8197.0,,8245.5,-91.4,,-58.6,-468.0,813.1,-473.0,-389.9,-499.3,,-351.4,938.4,-245.0,,-196.5,,True,False,False,False,False,False,,False,False,False,,False
Rhode Island,1152,1155.7,,1099.7,1051.0,1135.5,1159.0,1068.3,1306.5,,1114.0,1222.9,1128.0,,1114.8,3.7,,-52.3,-101.0,-16.5,7.0,-83.7,154.5,,-38.0,70.9,-24.0,,-37.2,,False,False,False,False,False,False,,False,False,False,,False
South Carolina,3637,4114.7,,3699.2,3769.0,3888.7,3570.0,3724.0,3669.4,,3791.6,3950.1,3870.0,,3601.6,477.7,,62.2,132.0,251.7,-67.0,87.0,32.4,,154.6,313.1,233.0,,-35.4,,True,True,True,True,True,True,,True,True,True,,True
South Dakota,315,208.1,,293.5,183.0,213.3,239.0,273.2,214.8,,175.3,535.6,311.0,,252.4,-106.9,,-21.5,-132.0,-101.7,-76.0,-41.8,-100.2,,-139.7,220.6,-4.0,,-62.6,,True,False,True,True,True,True,,False,False,True,,True
Tennessee,2903,2981.3,,2634.2,2481.0,3824.4,2674.0,2379.5,2161.8,,2739.6,2368.2,2572.0,,2619.3,78.3,,-268.8,-422.0,921.4,-229.0,-523.5,-741.2,,-163.4,-534.8,-331.0,,-283.7,,False,False,False,False,False,False,,False,False,False,,False
Texas,17440,19451.0,,18184.3,19204.0,23126.3,19902.0,15772.8,16001.1,16278.0,17987.5,16616.4,16395.0,,17447.4,2011.0,,744.3,1764.0,5686.3,2462.0,-1667.2,-1438.9,-1162.0,547.5,-823.6,-1045.0,,7.4,,True,True,False,False,True,True,True,True,True,True,,True
Utah,540,557.9,,602.5,474.0,559.6,572.0,503.1,429.1,,560.3,549.5,546.0,,553.9,17.9,,62.5,-66.0,19.6,32.0,-36.9,-110.9,,20.3,9.5,6.0,,13.9,,False,False,False,False,False,False,,False,True,True,,True
Vermont,58,58.0,,61.4,59.0,59.0,61.0,62.4,58.0,,58.9,77.1,58.0,,64.6,0.0,,3.4,1.0,1.0,3.0,4.4,0.0,,0.9,19.1,0.0,,6.6,,False,False,False,False,False,True,,False,False,True,,False
Virginia,3419,3268.4,,3165.3,2691.0,2646.0,2998.0,2905.8,2854.5,,3029.4,3732.1,2843.0,,3036.0,-150.6,,-253.7,-728.0,-773.0,-421.0,-513.2,-564.5,,-389.6,313.1,-576.0,,-383.0,,False,False,False,False,False,False,,False,False,False,,False
Washington,2239,2193.0,,2138.6,2468.0,2442.4,2248.0,2163.0,2056.2,,2292.0,2495.8,2266.0,,2269.7,-46.0,,-100.4,229.0,203.4,9.0,-76.0,-182.8,,53.0,256.8,27.0,,30.7,,False,False,False,True,False,False,,False,False,True,,True
West Virginia,401,454.0,,379.9,288.0,280.3,292.0,351.7,431.9,,344.7,377.0,445.0,,374.4,53.0,,-21.1,-113.0,-120.7,-109.0,-49.3,30.9,,-56.3,-24.0,44.0,,-26.6,,True,False,False,False,True,True,,False,True,True,,True
Wisconsin,1574,1403.1,,1492.8,1497.0,1485.8,1402.0,1265.5,1222.2,,1329.6,1614.4,1378.0,,1435.6,-170.9,,-81.2,-77.0,-88.2,-172.0,-308.5,-351.8,,-244.4,40.4,-196.0,,-138.4,,True,True,True,False,False,False,,False,True,False,,True
Wyoming,57,37.0,,57.9,53.0,34.0,43.0,46.7,48.4,,39.7,46.8,50.0,,53.5,-20.0,,0.9,-4.0,-23.0,-14.0,-10.3,-8.6,,-17.3,-10.2,-7.0,,-3.5,,True,True,False,True,True,True,,True,True,True,,True
US,219286,226032.9,215918.0,218005.8,216621.0,236914.8,220440.0,202881.4,204175.0,218507.0,216243.9,227154.4,215891.0,205544.0,213105.0,6704.9,-3410.0,-1322.2,-2707.0,17586.8,1112.0,-16446.6,-15153.0,-821.0,-3084.1,7826.4,-3437.0,-13784.0,-6223.0,True,True,True,False,True,False,False,True,True,False,True,False,True
