,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Georgia,7607,7770.7,7662.0,7470.6,7644.0,,7644.0,7607.3,7127.6,7459.7,7672.1,7299.4,8124.1,,7729.6,7551.0,,7196.7,,7666.3,,7514.0,7323.0,7108.0,7327.3,163.7,55.0,-136.4,37.0,,37.0,0.3,-479.4,-147.3,65.1,-307.6,517.1,,122.6,-56.0,,-410.3,,59.3,,-93.0,-284.0,-499.0,-279.7,True,True,True,,True,True,False,True,True,False,False,,True,True,,False,,True,,True,False,False,False
Hawaii,186,167.0,142.0,159.1,155.0,,,161.6,127.2,254.1,191.2,133.3,134.7,,130.4,416.0,,140.7,,159.2,,134.9,138.0,130.1,158.5,-19.0,-44.0,-26.9,-31.0,,,-24.4,-58.8,68.1,5.2,-52.7,-51.3,,-55.6,230.0,,-45.3,,-26.8,,-51.1,-48.0,-55.9,-27.5,False,False,False,,,False,False,False,True,False,False,,False,False,,False,,False,,False,False,False,False
Idaho,529,560.7,530.0,548.8,516.0,,548.0,535.3,493.6,668.4,548.6,539.7,1174.6,,475.2,548.0,,444.5,,541.5,,521.2,538.0,503.4,536.6,31.7,1.0,19.8,-13.0,,19.0,6.3,-35.4,139.4,19.6,10.7,645.6,,-53.8,19.0,,-84.5,,12.5,,-7.8,9.0,-25.6,7.6,True,True,True,,True,True,False,False,True,True,False,,False,True,,False,,True,,True,True,True,True
Illinois,9452,9274.4,9566.0,9207.6,9153.0,,9240.0,9397.3,10097.7,9517.6,9320.7,8908.5,8911.2,10834.0,8621.3,10032.5,,8950.7,,9127.9,,10815.5,9170.0,8609.8,9138.3,-177.6,114.0,-244.4,-299.0,,-212.0,-54.7,645.7,65.6,-131.3,-543.5,-540.8,1382.0,-830.7,580.5,,-501.3,,-324.1,,1363.5,-282.0,-842.2,-313.7,True,False,False,,False,True,False,True,True,False,False,False,False,False,,False,,False,,False,False,False,False
Indiana,4025,3797.4,3760.0,3813.7,3898.0,,3995.0,3809.2,4115.6,4065.2,3847.5,3724.9,3920.9,3826.0,3912.9,3859.0,,3572.6,,3733.1,,4737.8,3741.0,3445.7,3756.5,-255.6,-293.0,-239.3,-155.0,,-58.0,-243.8,62.6,12.2,-205.5,-328.1,-132.1,-227.0,-140.1,-194.0,,-480.4,,-319.9,,684.8,-312.0,-607.3,-296.5,False,True,True,,True,True,True,True,True,False,True,True,True,True,,False,,False,,False,False,False,False
Iowa,1528,1477.4,1561.0,1541.9,1568.0,,1591.0,1556.1,1499.9,1549.5,1853.1,1350.2,1484.7,,1707.1,1309.0,,1322.0,,1460.2,,1645.8,1538.0,1356.1,1498.3,-50.6,33.0,13.9,40.0,,63.0,28.1,-28.1,21.5,325.1,-177.8,-43.3,,179.1,-219.0,,-206.0,,-67.8,,117.8,10.0,-171.9,-29.7,True,True,True,,False,True,True,True,False,False,True,,False,False,,False,,False,,False,True,False,True
Kansas,859,756.3,657.0,715.1,694.0,,605.0,667.0,683.2,813.4,721.5,570.9,678.8,,680.9,716.0,,601.7,,701.1,,671.0,690.0,597.3,668.4,-102.7,-202.0,-143.9,-165.0,,-254.0,-192.0,-175.8,-45.6,-137.5,-288.1,-180.2,,-178.1,-143.0,,-257.3,,-157.9,,-188.0,-169.0,-261.7,-190.6,False,False,False,,False,False,False,True,False,False,False,,False,False,,False,,False,,False,False,False,False
Kentucky,1312,1370.9,1493.0,1405.7,1349.0,,1471.0,1403.9,1350.5,1517.5,1404.1,1272.8,1300.4,1329.5,1279.7,1428.0,,1203.5,,1357.3,,1493.2,1307.0,1193.2,1319.7,58.9,181.0,93.7,37.0,,159.0,91.9,38.5,205.5,92.1,-39.2,-11.6,17.5,-32.3,116.0,,-108.5,,45.3,,181.2,-5.0,-118.8,7.7,False,False,True,,False,False,True,False,False,True,True,True,True,False,,False,,True,,False,True,False,True
Louisiana,5727,5924.7,7325.0,5734.2,5692.0,,5743.0,5611.8,5619.8,5634.3,5519.4,5802.6,6263.8,,5497.7,5556.0,,5685.6,,6116.8,,6008.9,5691.0,5530.7,5706.4,197.7,1598.0,7.2,-35.0,,16.0,-115.2,-107.2,-92.7,-207.6,75.6,536.8,,-229.3,-171.0,,-41.4,,389.8,,281.9,-36.0,-196.3,-20.6,False,True,True,,True,True,True,True,False,True,False,,False,True,,True,,False,,False,True,True,True
Maine,146,145.7,141.0,144.0,141.0,,178.0,149.4,151.8,177.5,142.0,146.3,166.2,,139.1,145.0,,142.7,,139.3,,166.2,142.0,141.7,145.5,-0.3,-5.0,-2.0,-5.0,,32.0,3.4,5.8,31.5,-4.0,0.3,20.2,,-6.9,-1.0,,-3.3,,-6.7,,20.2,-4.0,-4.3,-0.5,False,False,False,,False,False,False,False,False,False,False,,False,False,,False,,False,,False,False,False,False
Maryland,4036,4027.4,4839.0,4072.6,3876.0,,3973.0,4063.5,4216.5,4070.9,4006.1,3990.9,4019.7,,3983.8,3918.0,,4007.4,,3991.8,,4539.1,4044.0,3958.6,4032.6,-8.6,803.0,36.6,-160.0,,-63.0,27.5,180.5,34.9,-29.9,-45.1,-16.3,,-52.2,-118.0,,-28.6,,-44.2,,503.1,8.0,-77.4,-3.4,False,False,False,,False,False,False,False,False,False,False,,False,False,,False,,False,,False,True,False,True
Massachusetts,9723,9622.9,9207.0,9368.4,9261.0,,9405.0,9665.7,9192.4,9600.2,9645.3,9507.5,9474.0,,9379.2,9365.0,,9428.8,,9435.3,,10214.4,9600.0,9409.3,9505.4,-100.1,-516.0,-354.6,-462.0,,-318.0,-57.3,-530.6,-122.8,-77.7,-215.5,-249.0,,-343.8,-358.0,,-294.2,,-287.7,,491.4,-123.0,-313.7,-217.6,False,False,False,,False,True,False,False,True,False,False,,False,False,,False,,False,,False,False,False,False
Michigan,7340,7421.0,7796.0,7437.1,7197.0,,7336.0,7402.1,7856.7,7792.0,7394.5,7064.6,7245.8,7715.0,7015.8,7430.0,,7026.8,,7243.1,,8432.8,7453.0,7006.7,7239.1,81.0,456.0,97.1,-143.0,,-4.0,62.1,516.7,452.0,54.5,-275.4,-94.2,375.0,-324.2,90.0,,-313.2,,-96.9,,1092.8,113.0,-333.3,-100.9,False,False,False,,True,True,False,False,True,False,False,False,False,False,,False,,False,,False,False,False,False
Minnesota,2270,2272.1,2231.0,2192.1,2019.0,,2329.0,2185.3,2320.9,2311.0,2238.4,2077.4,2116.1,2542.0,2413.0,2381.0,,2141.2,,2231.0,,2522.7,2183.0,2032.7,2210.7,2.1,-39.0,-77.9,-251.0,,59.0,-84.7,50.9,41.0,-31.6,-192.6,-153.9,272.0,143.0,111.0,,-128.8,,-39.0,,252.7,-87.0,-237.3,-59.3,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False
Mississippi,3171,3245.9,3192.0,3051.7,3121.0,,3689.0,3116.4,2962.8,3054.1,3158.0,2998.5,3336.4,,3537.3,3365.0,,2934.0,,3193.8,,3172.8,3026.0,3080.2,3049.6,74.9,21.0,-119.3,-50.0,,518.0,-54.6,-208.2,-116.9,-13.0,-172.5,165.4,,366.3,194.0,,-237.0,,22.8,,1.8,-145.0,-90.8,-121.4,True,False,True,,False,True,False,False,True,False,False,,False,False,,False,,True,,True,False,False,False
Missouri,2595,1954.4,2924.0,2408.3,2213.0,,2061.0,2272.1,2269.3,2278.2,2194.7,2177.9,2330.0,,2309.8,2074.0,,1839.0,,2003.0,,2678.2,2111.0,1809.2,2104.9,-613.6,356.0,-159.7,-355.0,,-507.0,-295.9,-298.7,-289.8,-373.3,-390.1,-238.0,,-258.2,-494.0,,-729.0,,-565.0,,110.2,-457.0,-758.8,-463.1,True,True,True,,True,True,True,True,True,True,True,,True,True,,False,,True,,True,True,False,True
Montana,239,222.4,228.0,231.6,173.0,,312.0,204.1,177.5,230.0,213.4,171.4,263.1,,156.6,201.0,,148.0,,192.3,,190.5,198.0,165.6,203.5,-16.6,-11.0,-7.4,-66.0,,73.0,-34.9,-61.5,-9.0,-25.6,-67.6,24.1,,-82.4,-38.0,,-91.0,,-46.7,,-48.5,-41.0,-73.4,-35.5,True,True,False,,False,False,False,True,False,False,False,,False,False,,False,,False,,False,False,False,False
Nebraska,547,579.7,616.0,601.4,452.0,,662.0,556.0,534.3,602.1,576.3,491.4,560.6,,489.9,537.0,,482.3,,533.8,,554.7,543.0,480.4,522.4,32.7,69.0,54.4,-95.0,,115.0,9.0,-12.7,55.1,29.3,-55.6,13.6,,-57.1,-10.0,,-64.7,,-13.2,,7.7,-4.0,-66.6,-24.6,False,False,False,,False,True,True,False,True,False,True,,False,True,,False,,True,,True,True,False,True
Nevada,1707,1758.0,1655.0,1676.4,1718.0,,1792.0,1653.1,1570.4,1708.8,1705.2,1635.9,1989.7,,1547.9,1679.0,,1506.6,,1812.6,,1655.8,1627.0,1687.3,1674.6,51.0,-52.0,-30.6,11.0,,85.0,-53.9,-136.6,1.8,-1.8,-71.1,282.7,,-159.1,-28.0,,-200.4,,105.6,,-51.2,-80.0,-19.7,-32.4,False,True,True,,False,False,False,True,True,False,False,,False,True,,False,,False,,False,False,True,True
New Hampshire,466,450.6,462.0,453.9,438.0,,466.0,455.8,474.9,470.2,439.2,452.8,447.8,,462.0,439.0,,488.1,,455.2,,514.4,467.0,445.6,451.5,-15.4,-4.0,-12.1,-28.0,,0.0,-10.2,8.9,4.2,-26.8,-13.2,-18.2,,-4.0,-27.0,,22.1,,-10.8,,48.4,1.0,-20.4,-14.5,True,True,False,,True,True,True,True,False,True,False,,True,False,,False,,True,,False,True,False,True
New Jersey,16204,16235.0,16358.0,16254.1,16071.0,,16419.0,16228.0,16444.7,16207.6,16312.6,16153.3,16518.9,,16181.3,16168.0,,16096.9,,16184.3,,16861.0,16297.0,16315.3,16183.9,31.0,154.0,50.1,-133.0,,215.0,24.0,240.7,3.6,108.6,-50.7,314.9,,-22.7,-36.0,,-107.1,,-19.7,,657.0,93.0,111.3,-20.1,False,False,False,,False,True,False,True,False,False,False,,True,False,,False,,True,,False,False,False,True
New Mexico,929,920.1,945.0,910.0,885.0,,1012.0,897.9,885.6,979.8,890.4,889.1,1092.2,,908.7,839.0,,864.0,,897.1,,932.1,889.0,904.1,913.2,-8.9,16.0,-19.0,-44.0,,83.0,-31.1,-43.4,50.8,-38.6,-39.9,163.2,,-20.3,-90.0,,-65.0,,-31.9,,3.1,-40.0,-24.9,-15.8,False,False,False,,False,False,False,False,False,False,False,,False,False,,False,,False,,True,False,False,False
New York,33547,33197.9,33576.0,33368.0,33026.0,,33537.0,33356.4,33882.7,33815.2,33332.5,33175.7,34353.6,,33635.2,33046.0,,33843.3,,33188.7,,34864.9,33323.0,33164.8,33243.6,-349.1,29.0,-179.0,-521.0,,-10.0,-190.6,335.7,268.2,-214.5,-371.3,806.6,,88.2,-501.0,,296.3,,-358.3,,1317.9,-224.0,-382.2,-303.4,True,True,False,,True,True,True,True,True,False,False,,True,False,,True,,False,,False,True,False,True
North Carolina,3929,3838.9,4453.0,3894.1,3773.0,,4143.0,3746.4,3517.5,4014.0,3771.5,3576.2,3841.4,,3527.7,3319.0,,3377.3,,3701.9,,3751.9,3734.0,3477.3,3752.5,-90.1,524.0,-34.9,-156.0,,214.0,-182.6,-411.5,85.0,-157.5,-352.8,-87.6,,-401.3,-610.0,,-551.7,,-227.1,,-177.1,-195.0,-451.7,-176.5,False,True,False,,False,False,False,True,False,False,True,,False,False,,False,,False,,False,False,False,False
North Dakota,399,226.3,272.0,278.8,170.0,,258.0,264.1,233.9,244.1,275.4,232.0,233.6,,288.9,253.0,,195.1,,187.6,,320.4,232.0,192.1,223.2,-172.7,-127.0,-120.2,-229.0,,-141.0,-134.9,-165.1,-154.9,-123.6,-167.0,-165.4,,-110.1,-146.0,,-203.9,,-211.4,,-78.6,-167.0,-206.9,-175.8,True,True,False,,True,True,True,True,True,True,True,,True,True,,False,,False,,True,True,False,False
Ohio,4784,5172.7,5407.0,5036.9,5064.0,,5522.0,5148.3,5134.3,5451.0,5102.0,4849.5,5372.2,5768.0,4473.0,5014.0,,4709.3,,5067.6,,5688.9,5043.0,4855.8,5082.9,105.7,340.0,-30.1,-3.0,,455.0,81.3,67.3,384.0,35.0,-217.5,305.2,701.0,-594.0,-53.0,,-357.7,,0.6,,621.9,-24.0,-211.2,15.9,False,True,True,,False,True,True,False,True,False,False,False,False,True,,False,,True,,False,True,False,True
Oklahoma,1162,1157.6,1449.0,1174.9,1161.0,,1313.0,1244.0,1185.3,1343.4,1165.8,1085.4,1322.6,,1159.4,1181.0,,1003.6,,1129.7,,1297.9,1176.0,1041.0,1147.6,-4.4,287.0,12.9,-1.0,,151.0,82.0,23.3,181.4,3.8,-76.6,160.6,,-2.6,19.0,,-158.4,,-32.3,,135.9,14.0,-121.0,-14.4,False,False,True,,False,False,False,False,True,False,False,,True,False,,False,,False,,False,False,False,False
Oregon,619,645.0,602.0,600.1,605.0,,680.0,614.0,587.3,861.9,624.1,592.5,712.7,,596.4,582.0,,574.0,,624.9,,631.0,609.0,582.8,617.1,26.0,-17.0,-18.9,-14.0,,61.0,-5.0,-31.7,242.9,5.1,-26.5,93.7,,-22.6,-37.0,,-45.0,,5.9,,12.0,-10.0,-36.2,-1.9,True,True,True,,False,True,False,False,True,False,False,,True,False,,False,,True,,True,True,False,True
Pennsylvania,8442,8212.7,8652.0,8296.7,8025.0,,8276.0,8404.3,8611.7,8687.6,8283.9,8037.9,8253.9,,8216.4,8069.0,,7987.3,,8109.0,,9125.6,8333.0,8064.5,8178.7,-229.3,210.0,-145.3,-417.0,,-166.0,-37.7,169.7,245.6,-158.1,-404.1,-188.1,,-225.6,-373.0,,-454.7,,-333.0,,683.6,-109.0,-377.5,-263.3,True,True,False,,True,True,True,False,True,False,True,,True,False,,False,,False,,False,True,False,False
Rhode Island,1174,1148.7,1132.0,1127.8,1073.0,,1108.0,1123.6,1140.7,1216.9,1168.9,1089.7,1357.6,,1134.7,1094.0,,1112.2,,1121.8,,1206.8,1136.0,0.0,1116.0,-0.3,-17.0,-21.2,-76.0,,-41.0,-25.4,-8.3,67.9,19.9,-59.3,208.6,,-14.3,-55.0,,-36.8,,-27.2,,57.8,-13.0,-1149.0,-33.0,False,False,False,,False,False,False,False,False,False,False,,False,False,,False,,False,,False,False,False,False
South Carolina,3637,3923.7,4514.0,3948.6,3730.0,,3741.0,3857.9,3454.5,3581.3,3603.4,4014.0,3811.5,,3816.0,3596.0,,3422.1,,3730.9,,4078.8,3777.0,3505.2,3624.3,286.7,877.0,311.6,93.0,,104.0,220.9,-182.5,-55.7,-33.6,377.0,174.5,,179.0,-41.0,,-214.9,,93.9,,441.8,140.0,-131.8,-12.7,False,False,True,,True,True,True,True,True,False,True,,True,True,,True,,True,,False,True,True,True
South Dakota,315,237.4,211.0,265.4,193.0,,303.0,258.9,238.1,228.0,249.7,213.0,306.6,,257.6,217.0,,206.3,,218.1,,294.9,213.0,206.1,240.2,-77.6,-104.0,-49.6,-122.0,,-12.0,-56.1,-76.9,-87.0,-65.3,-102.0,-8.4,,-57.4,-98.0,,-108.7,,-96.9,,-20.1,-102.0,-108.9,-74.8,False,True,False,,True,True,True,False,True,False,True,,True,False,,False,,False,,True,False,False,True
Tennessee,2903,3112.6,3015.0,2690.7,2600.0,,2921.0,2701.8,2432.6,2883.3,2605.7,2522.7,3176.9,,2399.8,2994.0,,2434.3,,2918.7,,2564.6,2874.0,2423.7,2719.6,209.6,112.0,-212.3,-303.0,,18.0,-201.2,-470.4,-19.7,-297.3,-380.3,273.9,,-503.2,91.0,,-468.7,,15.7,,-338.4,-29.0,-479.3,-183.4,True,False,False,,True,True,False,True,False,False,False,,False,True,,False,,True,,False,True,False,True
Texas,17723,18052.7,16429.0,16523.2,17624.0,,17680.0,16886.8,16211.1,17484.6,17375.5,17055.8,19621.6,,16959.8,17160.0,,16106.5,17056.0,17499.9,,17015.3,16841.0,16458.4,16661.4,633.7,-990.0,-895.8,205.0,,261.0,-532.2,-1207.9,65.6,-43.5,-363.2,2202.6,,-459.2,-259.0,,-1312.5,-363.0,80.9,,-403.7,-578.0,-960.6,-757.6,False,False,True,,True,True,False,True,True,True,False,,True,True,,False,True,True,,True,True,False,False
Utah,540,486.4,549.0,592.8,481.0,,627.0,527.2,459.9,594.7,537.7,503.3,531.7,,558.5,461.0,,441.9,,514.7,,558.5,515.0,402.1,518.1,-53.6,9.0,52.8,-59.0,,87.0,-12.8,-80.1,54.7,-2.3,-36.7,-8.3,,18.5,-79.0,,-98.1,,-25.3,,18.5,-25.0,-137.9,-21.9,True,True,False,,False,True,False,False,True,True,True,,True,False,,False,,True,,True,True,False,True
Vermont,58,58.0,58.0,59.8,58.0,,71.0,58.0,67.6,74.8,58.8,59.4,63.8,,59.5,58.0,,58.0,,58.5,,65.4,58.0,58.0,62.4,0.0,0.0,1.8,0.0,,13.0,0.0,9.6,16.8,0.8,1.4,5.8,,1.5,0.0,,0.0,,0.5,,7.4,0.0,-0.0,4.4,True,False,True,,False,True,False,False,False,False,False,,False,True,,True,,False,,False,True,False,False
Virginia,3422,2947.4,3428.0,3129.5,2837.0,,3399.0,3178.2,3352.5,3360.5,3140.2,2996.4,3184.3,,2786.6,3124.0,,2848.2,,2905.8,,3524.0,2955.0,2967.2,3090.5,-474.6,6.0,-292.5,-585.0,,-23.0,-243.8,-69.5,-61.5,-281.8,-425.6,-237.7,,-635.4,-298.0,,-573.8,,-516.2,,102.0,-467.0,-454.8,-331.5,True,True,False,,True,True,True,True,True,True,True,,False,True,,False,,False,,True,True,True,True
Washington,2211,2175.6,2115.0,2143.9,2378.0,,2181.0,2175.8,2238.3,2410.0,2137.8,2148.0,2426.6,,2123.0,2038.0,,2064.2,,2233.7,,2362.4,2156.0,2157.4,2191.2,-43.4,-104.0,-75.1,159.0,,-38.0,-43.2,19.3,191.0,-81.2,-71.0,207.6,,-96.0,-181.0,,-154.8,,14.7,,143.4,-63.0,-61.6,-27.8,False,False,False,,True,True,True,False,False,False,False,,False,False,,False,,True,,False,False,False,True
West Virginia,401,354.4,795.0,490.6,350.0,,499.0,507.3,367.6,484.4,441.6,403.4,529.4,,306.1,684.0,,307.1,,346.6,,410.9,407.0,322.6,383.8,-46.6,394.0,89.6,-51.0,,98.0,106.3,-33.4,83.4,40.6,2.4,128.4,,-94.9,283.0,,-93.9,,-54.4,,9.9,6.0,-78.4,-17.2,False,False,False,,False,False,True,False,True,True,False,,False,False,,False,,False,,True,True,False,True
