,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,7607,7563.1,7478.6,7555.4,7547.0,7571.0,7551.0,7506.0,7527.0,7528.3,7607.0,7613.9,7530.7,7550.7,7596.0,7594.0,7523.6,7541.6,7548.6,7499.3,7559.2,7551.2,7536.9,7545.0,7524.6,,7612.3,7531.9,7414.0,,7719.3,7551.3,,7583.0,7363.0,7614.0,7574.8,,7502.6,7572.0,7613.3,7499.0,7522.5,7388.0,7563.7,7345.0,-43.9,-128.4,-51.6,-60.0,-36.0,-56.0,-101.0,-80.0,-78.7,0.0,6.9,-76.3,-56.3,-11.0,-13.0,-83.4,-65.4,-58.4,-107.7,-47.8,-55.8,-70.1,-62.0,-82.4,,5.3,-75.1,-193.0,,112.3,-55.7,,-24.0,-244.0,7.0,-32.2,,-104.4,-35.0,6.3,-108.0,-84.5,-219.0,-43.3,-262.0,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,,True,False,False,,False,False,,True,False,True,True,,False,True,True,False,False,False,True,False
Hawaii,186,200.6,219.7,199.8,185.0,197.0,179.0,168.0,173.0,157.8,169.0,189.9,,181.2,,,173.2,161.4,273.1,203.5,183.2,181.8,177.3,178.0,166.9,,174.7,188.2,176.0,,,173.0,,174.0,174.6,197.0,168.2,,163.6,187.0,189.2,193.0,192.0,176.0,187.8,163.0,14.6,33.7,13.8,-1.0,11.0,-7.0,-18.0,-13.0,-28.2,-17.0,3.9,,-4.8,,,-12.8,-24.6,87.1,17.5,-2.8,-4.2,-8.7,-8.0,-19.1,,-11.3,2.2,-10.0,,,-13.0,,-12.0,-11.4,11.0,-17.8,,-22.4,1.0,3.2,7.0,6.0,-10.0,1.8,-23.0,False,True,True,True,True,False,True,False,False,True,,True,,,True,False,False,False,True,True,True,True,False,,True,True,True,,,True,,True,True,True,False,,False,True,True,True,True,True,True,False
Idaho,529,522.9,534.1,519.7,527.0,520.0,525.0,548.0,553.0,515.4,531.0,515.5,524.2,531.6,530.0,532.0,532.2,560.8,560.5,554.1,533.3,515.0,531.4,560.0,511.7,,543.5,532.2,512.0,,,488.1,,527.0,451.8,562.0,521.1,,512.2,528.0,518.4,530.0,513.0,516.1,525.9,502.0,-6.1,5.1,-9.3,-2.0,-9.0,-4.0,19.0,24.0,-13.6,2.0,-13.5,-4.8,2.6,1.0,3.0,3.2,31.8,31.5,25.1,4.3,-14.0,2.4,31.0,-17.3,,14.5,3.2,-17.0,,,-40.9,,-2.0,-77.2,33.0,-7.9,,-16.8,-1.0,-10.6,1.0,-16.0,-12.9,-3.1,-27.0,True,False,True,False,True,False,False,False,True,False,True,True,True,True,True,False,False,False,True,False,True,False,False,,False,True,False,,,False,,True,False,False,False,,False,True,False,True,False,False,True,False
Illinois,9452,9402.1,9442.1,9396.7,9380.0,9405.4,9353.0,9401.0,9344.0,9247.6,9359.0,9320.7,9350.1,9233.7,9399.0,9327.0,9371.7,9389.3,9554.7,9378.0,9366.7,9287.6,9417.7,9341.0,9313.0,9197.0,9272.4,9464.7,9321.0,,9289.6,9449.2,,9371.0,9503.3,9418.0,9359.1,,9315.7,9354.0,9418.0,9435.0,9498.0,8942.4,9362.0,8943.0,-49.9,-9.9,-55.3,-72.0,-46.6,-99.0,-51.0,-108.0,-204.4,-93.0,-131.3,-101.9,-218.3,-53.0,-125.0,-80.3,-62.7,102.7,-74.0,-85.3,-164.4,-34.3,-111.0,-139.0,-255.0,-179.6,12.7,-131.0,,-162.4,-2.8,,-81.0,51.3,-34.0,-92.9,,-136.3,-98.0,-34.0,-17.0,46.0,-509.6,-90.0,-509.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,,False,True,,False,False,True,False,,False,False,True,True,True,False,False,False
Indiana,3918,3848.6,3825.8,3847.8,3846.0,3853.0,3846.0,3863.0,3838.0,3798.9,3840.0,3810.5,3776.1,3801.9,3842.0,3857.0,3833.1,3864.6,3885.6,3852.9,3834.5,3830.3,3861.8,3845.0,3875.5,3685.0,3812.9,3901.2,3820.0,,3793.1,3781.0,,3838.0,4512.9,3873.0,3829.0,,3878.7,3850.0,3855.2,3834.0,3861.0,3549.1,3867.3,3749.0,-69.4,-92.2,-70.2,-72.0,-65.0,-72.0,-55.0,-80.0,-119.1,-78.0,-107.5,-141.9,-116.1,-76.0,-61.0,-84.9,-53.4,-32.4,-65.1,-83.5,-87.7,-56.2,-73.0,-42.5,-233.0,-105.1,-16.8,-98.0,,-124.9,-137.0,,-80.0,594.9,-45.0,-89.0,,-39.3,-68.0,-62.8,-84.0,-57.0,-368.9,-50.7,-169.0,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,True,False,False,True,False,,False,False,,False,False,True,False,,True,True,True,False,True,False,True,False
Iowa,1528,1518.9,1532.6,1515.2,1506.0,1515.0,1496.0,1447.0,1484.0,1460.2,1512.0,1492.9,1500.2,1477.8,1502.0,1493.0,1518.3,1525.5,1519.1,1499.2,1519.6,1454.9,1516.1,1544.0,1519.5,,1454.4,1518.3,1467.0,,1477.7,1459.0,,1501.0,1614.3,1518.0,1507.9,,1520.9,1488.0,1491.9,1530.0,1511.0,1451.5,1502.3,1470.0,-9.1,4.6,-12.8,-22.0,-13.0,-32.0,-81.0,-44.0,-67.8,-16.0,-35.1,-27.8,-50.2,-26.0,-35.0,-9.7,-2.5,-8.9,-28.8,-8.4,-73.1,-11.9,16.0,-8.5,,-73.6,-9.7,-61.0,,-50.3,-69.0,,-27.0,86.3,-10.0,-20.1,,-7.1,-40.0,-36.1,2.0,-17.0,-76.5,-25.7,-58.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,,False,False,False,,False,False,,False,False,False,False,,True,False,False,True,False,False,False,False
Kansas,859,792.1,790.4,793.4,787.0,800.0,790.0,754.0,825.0,759.0,761.0,770.1,831.0,802.7,763.0,762.0,796.7,805.0,840.3,789.3,812.0,748.2,765.9,868.0,816.8,,764.2,799.7,808.0,,,716.8,,809.0,790.3,807.0,787.1,,820.5,797.0,777.2,796.0,781.0,735.6,773.6,752.0,-66.9,-68.6,-65.6,-72.0,-59.0,-69.0,-105.0,-34.0,-100.0,-98.0,-88.9,-28.0,-56.3,-96.0,-97.0,-62.3,-54.0,-18.7,-69.7,-47.0,-110.8,-93.1,9.0,-42.2,,-94.8,-59.3,-51.0,,,-142.2,,-50.0,-68.7,-52.0,-71.9,,-38.5,-62.0,-81.8,-63.0,-78.0,-123.4,-85.4,-107.0,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,True,True,False,True,False,False,True,True,,False,True,True,,,False,,True,False,True,False,,True,True,False,True,False,False,False,False
Kentucky,1312,1305.6,1313.9,1307.5,1310.0,1307.0,1313.0,1324.0,1307.0,1270.5,1326.0,1306.9,1316.8,1319.5,1293.0,1334.0,1323.9,1326.9,1346.3,1350.3,1311.9,1298.4,1317.0,1388.0,1329.0,1339.0,1255.9,1332.4,1340.0,,1287.1,1288.9,,1313.0,1399.2,1339.0,1315.4,,1330.0,1321.0,1292.9,1323.0,1294.0,1271.6,1319.3,1266.0,-6.4,1.9,-4.5,-2.0,-5.0,1.0,12.0,-5.0,-41.5,14.0,-5.1,4.8,7.5,-19.0,22.0,11.9,14.9,34.3,38.3,-0.1,-13.6,5.0,76.0,17.0,27.0,-56.1,20.4,28.0,,-24.9,-23.1,,1.0,87.2,27.0,3.4,,18.0,9.0,-19.1,11.0,-18.0,-40.4,7.3,-46.0,True,True,True,True,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,False,False,,True,False,False,True,,False,False,False,False,False,False,False,False
Louisiana,5727,5785.0,5780.6,5736.6,5717.0,5747.0,5729.0,5687.0,5685.0,5692.7,5715.0,5721.1,5770.7,5675.0,5727.0,5702.0,5718.4,5721.0,5724.0,5690.1,5718.3,5741.8,5708.6,5711.0,5761.0,,5737.7,5723.1,5691.0,,5673.7,5736.1,,5735.0,5418.2,5866.0,5780.9,,5749.0,5711.0,5811.9,5712.0,5729.0,5565.7,5779.6,5660.0,58.0,53.6,9.6,-10.0,20.0,2.0,-40.0,-42.0,-34.3,-12.0,-5.9,43.7,-52.0,0.0,-25.0,-8.6,-6.0,-3.0,-36.9,-8.7,14.8,-18.4,-16.0,34.0,,10.7,-3.9,-36.0,,-53.3,9.1,,8.0,-308.8,139.0,53.9,,22.0,-16.0,84.9,-15.0,2.0,-161.3,52.6,-67.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,,True,False,False,True,,True,True,False,True,True,False,True,False
Maine,146,145.7,145.2,145.3,146.0,146.0,146.0,143.0,145.0,145.2,148.0,147.7,146.7,148.4,146.0,141.0,146.9,145.8,152.9,154.6,147.0,145.8,142.0,161.0,145.2,,143.8,146.5,145.0,,,144.5,,146.0,154.6,154.0,143.9,,148.0,147.0,148.7,147.0,147.0,145.3,146.6,,-0.3,-0.8,-0.7,0.0,0.0,0.0,-3.0,-1.0,-0.8,2.0,1.7,0.7,2.4,0.0,-5.0,0.9,-0.2,6.9,8.6,1.0,-0.2,-4.0,15.0,-0.8,,-2.2,0.5,-1.0,,,-1.5,,0.0,8.6,8.0,-2.1,,2.0,1.0,2.7,1.0,1.0,-0.7,0.6,,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,,False,False,False,,,False,,True,False,False,False,,False,False,False,False,False,False,False,
Maryland,4036,4000.7,3981.0,4020.3,4026.0,4021.3,4033.0,4104.0,4036.0,4031.0,4003.0,4036.3,,4062.8,4025.0,4033.0,4028.8,4058.0,4052.7,4042.9,4038.6,4011.5,4021.6,4040.0,4020.7,,4085.5,4019.8,4025.0,,4036.0,4001.1,,4033.0,4344.9,4038.0,4011.2,,4021.2,4028.0,4042.7,4025.0,4064.0,3999.0,4049.6,4054.0,-35.3,-55.0,-15.7,-10.0,-14.7,-3.0,68.0,0.0,-5.0,-33.0,0.3,,26.8,-11.0,-3.0,-7.2,22.0,16.7,6.9,2.6,-24.5,-14.4,4.0,-15.3,,49.5,-16.2,-11.0,,-0.0,-34.9,,-3.0,308.9,2.0,-24.8,,-14.8,-8.0,6.7,-11.0,28.0,-37.0,13.6,18.0,False,True,True,True,True,False,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,,True,True,,True,False,True,True,,True,True,True,True,True,False,True,True
