,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Georgia,7607,8573.1,7719.0,7718.6,7672.0,,9084.5,7398.0,7608.8,7471.7,7470.3,8128.2,,7123.9,13153.5,,7055.7,,7615.7,7557.2,7671.0,6966.3,7821.4,966.1,112.0,111.6,65.0,,1477.5,-209.0,1.8,-135.3,-136.7,521.2,,-483.1,5546.5,,-551.3,,8.7,-49.8,64.0,-640.7,214.4,True,True,True,,False,True,True,True,True,True,,True,False,,True,,True,True,True,True,True
Hawaii,186,213.9,169.0,231.9,162.0,,120.7,,213.8,336.1,140.3,127.5,,146.0,389.0,,148.6,,219.5,143.4,216.0,116.7,206.6,27.9,-17.0,45.9,-24.0,,-65.3,,27.8,150.1,-45.7,-58.5,,-40.0,203.0,,-37.4,,33.5,-42.6,30.0,-69.3,20.6,True,False,True,,False,,True,False,False,False,,False,False,,False,,False,False,False,False,True
Idaho,529,537.3,534.0,529.1,513.0,,938.5,576.0,523.8,703.3,502.3,1200.8,,520.5,582.0,,403.6,,518.2,454.8,484.0,466.9,541.6,8.3,5.0,0.1,-16.0,,409.5,47.0,-5.2,174.3,-26.7,671.8,,-8.5,53.0,,-125.4,,-10.8,-74.2,-45.0,-62.1,12.6,True,True,False,,False,False,True,False,False,False,,False,False,,False,,False,False,False,False,False
Illinois,9452,9338.9,9611.0,9415.5,9061.0,,9713.3,8976.0,9387.1,9421.2,8888.2,8841.8,17229.5,9146.8,9689.0,,8632.2,,9366.7,12262.4,9499.0,8519.5,9112.8,-113.1,159.0,-36.5,-391.0,,261.3,-476.0,-64.9,-30.8,-563.8,-610.2,7777.5,-305.2,237.0,,-819.8,,-85.3,2810.4,47.0,-932.5,-339.2,False,True,False,,False,False,True,True,False,False,False,False,False,,False,,True,False,True,False,False
Indiana,3918,3791.6,3916.0,3758.7,3945.0,,3955.1,3783.0,3910.6,4211.6,3622.5,3920.3,8746.5,3928.8,3917.0,,3494.7,,3768.3,4727.0,3799.0,3406.4,3694.5,-126.4,-2.0,-159.3,27.0,,37.1,-135.0,-7.4,293.6,-295.5,2.3,4828.5,10.8,-1.0,,-423.3,,-149.7,809.0,-119.0,-511.6,-223.5,True,False,True,,True,False,True,False,False,True,False,True,True,,False,,False,False,True,False,False
Iowa,1528,1483.3,4510.0,1804.6,1632.0,,2155.8,1588.0,1828.0,1573.0,1315.0,1475.9,,1568.4,1768.5,,1280.3,,1491.7,1681.7,1522.0,1321.0,1570.2,-44.7,2982.0,276.6,104.0,,627.8,60.0,300.0,45.0,-213.0,-52.1,,40.4,240.5,,-247.7,,-36.3,153.7,-6.0,-207.0,42.2,False,False,False,,False,False,False,False,False,False,,True,False,,False,,True,False,True,False,True
Kansas,859,668.4,898.0,718.1,675.0,,677.2,606.0,664.2,793.4,543.3,653.9,,630.4,518.0,,515.7,,669.6,690.3,632.0,548.0,621.5,-190.6,39.0,-140.9,-184.0,,-181.8,-253.0,-194.8,-65.6,-315.7,-205.1,,-228.6,-341.0,,-343.3,,-189.4,-168.7,-227.0,-311.0,-237.5,True,True,True,,True,False,False,True,False,False,,False,False,,False,,True,True,False,False,False
Kentucky,1312,1388.4,1816.0,1450.0,1343.0,,1591.7,1193.0,1373.9,1532.9,1195.1,1276.2,4036.5,1299.6,2354.5,,1151.4,,1462.3,1529.4,1419.0,1138.8,1296.4,76.4,504.0,138.0,31.0,,279.7,-119.0,61.9,220.9,-116.9,-35.8,2724.5,-12.4,1042.5,,-160.6,,150.3,217.4,107.0,-173.2,-15.6,False,False,True,,False,False,True,False,False,True,False,True,False,,False,,False,False,False,False,True
Louisiana,5727,6041.9,6128.0,5596.1,5688.0,,6460.9,5753.0,5649.6,5493.6,5824.6,6229.0,,5482.1,5451.0,,5509.9,,5825.9,6012.0,5498.0,5474.3,5724.3,314.9,401.0,-130.9,-39.0,,733.9,26.0,-77.4,-233.4,97.6,502.0,,-244.9,-276.0,,-217.1,,98.9,285.0,-229.0,-252.7,-2.7,False,True,True,,False,True,True,True,True,False,,True,True,,True,,True,True,True,True,True
Maine,146,145.7,187.0,146.7,140.0,,157.3,169.0,152.8,182.5,146.4,167.4,,138.7,140.0,,136.5,,141.7,170.2,150.0,144.1,145.6,-0.3,41.0,0.7,-6.0,,11.3,23.0,6.8,36.5,0.4,21.4,,-7.3,-6.0,,-9.5,,-4.3,24.2,4.0,-1.9,-0.4,False,False,False,,False,False,False,False,False,False,,False,False,,False,,False,False,False,False,False
Maryland,4036,4074.3,4027.0,4082.9,3849.0,,4293.8,3986.0,4080.0,4071.0,3987.4,4014.8,,4092.7,4074.0,,3985.7,,3986.7,4817.6,4139.0,3941.4,4066.5,38.3,-9.0,46.9,-187.0,,257.8,-50.0,44.0,35.0,-48.6,-21.2,,56.7,38.0,,-50.3,,-49.3,781.6,103.0,-94.6,30.5,True,False,False,,False,False,False,True,False,True,,False,True,,False,,False,False,False,False,True
Massachusetts,9723,9570.1,9295.0,11534.3,9249.0,,10165.8,9292.0,9757.1,9574.9,9371.9,9377.2,,9365.5,9580.0,,9391.9,,9293.5,10274.2,9221.0,9348.5,9450.2,-152.9,-428.0,1811.3,-474.0,,442.8,-431.0,34.1,-148.1,-351.1,-345.8,,-357.5,-143.0,,-331.1,,-429.5,551.2,-502.0,-374.5,-272.8,False,False,False,,False,False,True,True,False,False,,False,True,,False,,False,False,False,False,False
Michigan,7340,7145.7,7791.0,7260.3,7167.0,,7512.4,7294.0,7299.7,7757.2,6971.6,7196.4,11439.0,6991.2,6976.0,,7309.3,,7149.9,8294.0,7228.0,6933.5,7135.6,-194.3,451.0,-79.7,-173.0,,172.4,-46.0,-40.3,417.2,-368.4,-143.6,4099.0,-348.8,-364.0,,-30.7,,-190.1,954.0,-112.0,-406.5,-204.4,False,True,True,,True,True,True,False,False,True,False,False,False,,True,,True,False,True,False,False
Minnesota,2270,2166.7,2860.0,2234.3,1944.0,,2628.9,2140.0,2283.6,2280.6,2116.0,2086.6,5916.0,2473.3,2487.0,,2077.6,,2155.9,2737.0,2217.0,1968.8,2180.2,-103.3,590.0,-35.7,-326.0,,358.9,-130.0,13.6,10.6,-154.0,-183.4,3646.0,203.3,217.0,,-192.4,,-114.1,467.0,-53.0,-301.2,-89.8,False,True,False,,False,False,True,True,False,False,False,False,False,,False,,False,False,True,False,True
Mississippi,3171,3421.6,3466.0,3343.4,3135.0,,3583.8,3448.0,3277.7,3078.7,3094.9,3351.0,,3367.2,3277.0,,2931.2,,3125.1,3256.8,3216.0,3038.0,3113.9,250.6,295.0,172.4,-36.0,,412.8,277.0,106.7,-92.3,-76.1,180.0,,196.2,106.0,,-239.8,,-45.9,85.8,45.0,-133.0,-57.1,False,True,True,,False,False,True,True,True,True,,True,True,,True,,True,True,True,True,True
Missouri,2581,2575.3,2547.0,2561.0,2253.0,,2096.3,1996.0,2175.4,2452.0,2150.7,2364.9,,2380.8,2877.5,,2049.4,,2204.6,2848.2,2625.0,1797.1,2176.4,-5.7,-34.0,-20.0,-328.0,,-484.7,-585.0,-405.6,-129.0,-430.3,-216.1,,-200.2,296.5,,-531.6,,-376.4,267.2,44.0,-783.9,-404.6,False,False,False,,False,False,False,False,False,False,,False,False,,False,,False,False,False,False,False
Montana,239,193.1,344.0,213.5,164.0,,157.5,228.0,190.4,233.1,173.2,259.1,,201.6,160.0,,146.0,,164.3,195.6,209.0,146.9,184.1,-45.9,105.0,-25.5,-75.0,,-81.5,-11.0,-48.6,-5.9,-65.8,20.1,,-37.4,-79.0,,-93.0,,-74.7,-43.4,-30.0,-92.1,-54.9,False,True,False,,False,True,False,True,False,True,,True,False,,False,,False,True,True,False,False
Nebraska,547,474.3,563.0,521.5,432.0,,498.5,502.0,512.0,604.3,439.5,540.6,,503.4,512.0,,449.5,,457.3,514.1,483.0,448.6,485.9,-72.7,16.0,-25.5,-115.0,,-48.5,-45.0,-35.0,57.3,-107.5,-6.4,,-43.6,-35.0,,-97.5,,-89.7,-32.9,-64.0,-98.4,-61.1,True,True,False,,True,True,True,True,False,True,,True,True,,False,,False,True,True,False,True
Nevada,1707,1898.6,1704.0,1703.2,1734.0,,1972.2,1805.0,1738.8,1813.1,1677.4,2021.9,,1745.3,1500.0,,1477.5,,1838.5,1695.9,1680.0,1671.1,1776.6,191.6,-3.0,-3.8,27.0,,265.2,98.0,31.8,106.1,-29.6,314.9,,38.3,-207.0,,-229.5,,131.5,-11.1,-27.0,-35.9,69.6,True,True,True,,False,True,True,True,True,False,,True,False,,False,,True,True,True,True,True
New Hampshire,466,438.9,444.0,449.0,436.0,,459.7,447.0,450.2,482.5,450.9,447.1,,464.4,472.0,,495.3,,449.0,508.3,440.0,446.8,451.8,-27.1,-22.0,-17.0,-30.0,,-6.3,-19.0,-15.8,16.5,-15.1,-18.9,,-1.6,6.0,,29.3,,-17.0,42.3,-26.0,-19.2,-14.2,True,True,False,,True,True,True,True,True,True,,True,True,,False,,True,False,True,True,True
New Jersey,16204,16293.6,16102.0,16114.4,16008.0,,16123.8,16280.0,16134.0,16258.0,16119.8,16585.1,,16220.3,16069.0,,16196.8,,16302.5,17095.2,16297.0,16368.7,16130.5,89.6,-102.0,-89.6,-196.0,,-80.2,76.0,-70.0,54.0,-84.2,381.1,,16.3,-135.0,,-7.2,,98.5,891.2,93.0,164.7,-73.5,False,True,False,,True,True,True,True,True,False,,True,False,,True,,False,False,False,False,True
New Mexico,929,996.3,1124.0,937.2,886.0,,997.5,967.0,901.5,1012.1,889.2,1106.0,,905.7,953.0,,852.9,,942.2,948.0,946.0,899.6,924.0,67.3,195.0,8.2,-43.0,,68.5,38.0,-27.5,83.1,-39.8,177.0,,-23.3,24.0,,-76.1,,13.2,19.0,17.0,-29.4,-5.0,False,True,True,,False,True,True,False,True,False,,True,True,,False,,True,True,True,True,True
New York,33547,33443.9,33844.0,33451.7,32992.0,,33566.8,33282.0,33280.5,33676.7,33207.2,34601.5,,33426.6,33307.0,,33152.9,,33334.3,35220.9,33717.0,33170.2,33286.8,-103.1,297.0,-95.3,-555.0,,19.8,-265.0,-266.5,129.7,-339.8,1054.5,,-120.4,-240.0,,-394.1,,-212.7,1673.9,170.0,-376.8,-260.2,False,True,False,,True,False,False,False,False,False,,False,False,,False,,False,False,False,False,False
North Carolina,3929,4049.7,6317.0,4192.5,3786.0,,4200.8,3812.0,3852.6,4059.6,3415.0,3818.1,,3468.5,3477.0,,3267.1,,3983.1,3809.6,4154.0,3368.9,3751.6,120.7,2388.0,263.5,-143.0,,271.8,-117.0,-76.4,130.6,-514.0,-110.9,,-460.5,-452.0,,-661.9,,54.1,-119.4,225.0,-560.1,-177.4,False,False,False,,False,True,True,False,False,True,,False,False,,False,,True,True,False,False,False
North Dakota,399,238.0,482.0,276.9,159.0,,225.5,209.0,273.1,249.5,217.6,231.1,,294.9,275.0,,187.4,,250.6,315.1,262.0,181.6,231.0,-161.0,83.0,-122.1,-240.0,,-173.5,-190.0,-125.9,-149.5,-181.4,-167.9,,-104.1,-124.0,,-211.6,,-148.4,-83.9,-137.0,-217.4,-168.0,True,True,False,,False,False,True,True,False,False,,True,True,,False,,True,True,True,False,False
Ohio,5067,5020.4,5986.0,5103.6,5050.0,,5393.9,5139.0,5172.6,5550.4,4729.0,5350.7,15358.5,4683.7,5374.0,,4710.8,,4668.9,5897.3,5173.0,4750.1,4825.8,-46.6,919.0,36.6,-17.0,,326.9,72.0,105.6,483.4,-338.0,283.7,10291.5,-383.3,307.0,,-356.2,,-398.1,830.3,106.0,-316.9,-241.2,False,True,True,,False,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False
Oklahoma,1162,1169.3,1461.0,1248.1,1167.0,,1631.3,1237.0,1232.9,1430.6,1083.2,1338.7,,1210.0,1296.0,,986.3,,1066.9,1336.1,1228.0,1007.4,1158.8,7.3,299.0,86.1,5.0,,469.3,75.0,70.9,268.6,-78.8,176.7,,48.0,134.0,,-175.7,,-95.1,174.1,66.0,-154.6,-3.2,False,False,True,,False,False,False,False,False,False,,False,False,,False,,False,False,False,False,True
Oregon,619,615.7,608.0,619.8,607.0,,753.3,589.0,623.5,901.1,584.6,715.9,,623.9,653.0,,523.0,,592.8,644.9,620.0,565.8,610.1,-3.3,-11.0,0.8,-12.0,,134.3,-30.0,4.5,282.1,-34.4,96.9,,4.9,34.0,,-96.0,,-26.2,25.9,1.0,-53.2,-8.9,False,True,False,,False,False,False,False,False,False,,False,False,,False,,False,False,True,False,False
Pennsylvania,8442,8288.9,8620.0,8252.9,7998.0,,8446.6,8094.0,8395.9,9062.9,8155.3,8250.7,,8457.6,10415.5,,7906.3,,8127.9,9719.0,8565.0,8036.8,8205.6,-153.1,178.0,-189.1,-444.0,,4.6,-348.0,-46.1,620.9,-286.7,-191.3,,15.6,1973.5,,-535.7,,-314.1,1277.0,123.0,-405.2,-236.4,False,False,False,,True,False,True,False,False,False,,True,False,,False,,False,False,True,False,False
Rhode Island,1152,1107.7,1123.0,1126.1,1058.0,,1262.5,1095.0,1113.3,1186.1,1066.5,1368.0,,1135.6,1437.0,,1152.0,,1096.3,1204.3,1086.0,0.0,1107.2,-30.3,-15.0,-11.9,-80.0,,124.5,-43.0,-24.7,48.1,-71.5,230.0,,-2.4,299.0,,14.0,,-41.7,66.3,-52.0,-1138.0,-30.8,True,True,False,,False,False,True,False,False,False,,True,False,,True,,False,False,False,False,False
South Carolina,3637,3929.6,6272.0,3966.2,3757.0,,4055.3,3592.0,3842.5,3621.2,3564.0,3804.8,,3557.6,3571.0,,3218.4,,3702.4,3767.0,4252.0,3372.9,3600.9,292.6,2635.0,329.2,120.0,,418.3,-45.0,205.5,-15.8,-73.0,167.8,,-79.4,-66.0,,-418.6,,65.4,130.0,615.0,-264.1,-36.1,False,False,True,,False,True,True,True,True,True,,True,True,,False,,True,True,False,True,True
South Dakota,315,208.1,907.0,285.9,185.0,,215.8,236.0,323.4,224.0,204.1,310.8,,263.2,215.0,,186.1,,243.3,294.1,267.0,196.3,233.9,-106.9,592.0,-29.1,-130.0,,-99.2,-79.0,8.4,-91.0,-110.9,-4.2,,-51.8,-100.0,,-128.9,,-71.7,-20.9,-48.0,-118.7,-81.1,False,True,False,,True,True,True,True,False,True,,True,True,,False,,True,True,True,False,True
Tennessee,2903,2556.1,3092.0,2605.0,2502.0,,3388.1,2600.0,2588.9,2845.1,2459.6,3103.0,,3510.0,2508.0,,2149.6,,2612.4,2532.2,2469.0,2204.4,2520.8,-346.9,189.0,-298.0,-401.0,,485.1,-303.0,-314.1,-57.9,-443.4,200.0,,607.0,-395.0,,-753.4,,-290.6,-370.8,-434.0,-698.6,-382.2,True,True,False,,False,True,True,True,False,True,,False,False,,False,,True,False,False,False,False
Texas,17445,19341.3,17512.0,17018.4,18333.0,,19632.6,18648.0,17544.4,17908.3,15875.5,19867.4,,18240.5,17513.0,,16500.7,16470.0,17979.2,16821.5,17263.0,15963.2,17306.1,1904.3,75.0,-418.6,896.0,,2195.6,1211.0,107.4,471.3,-1561.5,2430.4,,803.5,76.0,,-936.3,-967.0,542.2,-615.5,-174.0,-1473.8,-130.9,True,True,True,,False,True,True,True,True,False,,True,True,,True,True,True,True,True,True,True
Utah,540,509.9,589.0,593.9,479.0,,660.0,581.0,530.4,641.0,497.7,533.5,,581.8,484.0,,460.7,,521.9,537.1,503.0,400.7,532.0,-30.1,49.0,53.9,-61.0,,120.0,41.0,-9.6,101.0,-42.3,-6.5,,41.8,-56.0,,-79.3,,-18.1,-2.9,-37.0,-139.3,-8.0,False,False,False,,False,False,True,False,False,True,,False,False,,False,,True,True,False,False,True
Vermont,58,58.0,54.0,60.1,59.0,,58.5,58.0,59.5,75.0,58.7,64.3,,60.7,61.0,,58.0,,58.5,65.7,58.0,58.0,63.4,0.0,-4.0,2.1,1.0,,0.5,0.0,1.5,17.0,0.7,6.3,,2.7,3.0,,0.0,,0.5,7.7,0.0,0.0,5.4,False,False,False,,False,True,False,False,False,False,,False,False,,True,,False,False,True,False,False
Virginia,3422,3316.4,3401.0,3395.6,2793.0,,4232.6,3101.0,3240.5,3561.7,3076.0,3208.5,,3025.8,4621.0,,2893.4,,3014.7,3610.6,2996.0,2979.2,3171.1,-105.6,-21.0,-26.4,-629.0,,810.6,-321.0,-181.5,139.7,-346.0,-213.5,,-396.2,1199.0,,-528.6,,-407.3,188.6,-426.0,-442.8,-250.9,True,True,False,,False,False,False,False,False,False,,False,False,,False,,False,False,False,False,False
Washington,2239,2234.1,2185.0,2132.7,2427.0,,2268.4,2199.0,2248.5,2563.3,2139.6,2457.5,,2181.3,2576.0,,2107.4,,2278.9,2394.1,2171.0,2154.5,2232.4,-4.9,-54.0,-106.3,188.0,,29.4,-40.0,9.5,324.3,-99.4,218.5,,-57.7,337.0,,-131.6,,39.9,155.1,-68.0,-84.5,-6.6,False,False,False,,False,False,False,False,False,False,,False,False,,False,,False,False,False,False,False
West Virginia,401,454.0,,579.5,328.0,,546.6,325.0,486.7,520.5,410.1,538.8,,329.4,1000.0,,307.4,,330.2,433.3,660.0,312.2,410.0,53.0,,178.5,-73.0,,145.6,-76.0,85.7,119.5,9.1,137.8,,-71.6,599.0,,-93.6,,-70.8,32.3,259.0,-88.8,9.0,,False,False,,False,False,False,False,True,False,,False,False,,False,,False,True,False,False,True
Wisconsin,1761,1437.4,1649.0,1508.4,1507.0,,1542.6,1379.0,1395.0,1813.4,1365.0,1425.1,4506.0,3292.3,1460.0,,1272.9,,1439.5,1813.8,1442.0,1303.0,1437.1,-267.6,-56.0,-196.6,-198.0,,-162.4,-326.0,-310.0,108.4,-340.0,-279.9,2801.0,1587.3,-245.0,,-432.1,,-265.5,108.8,-263.0,-402.0,-267.9,True,True,True,,True,False,False,True,False,False,False,False,True,,False,,True,True,True,False,False
Wyoming,57,71.3,63.0,53.9,55.0,,49.0,59.0,55.6,84.5,49.8,138.0,,52.2,136.0,,45.9,,57.1,57.4,51.0,103.3,61.6,14.3,6.0,-3.1,-2.0,,-8.0,2.0,-1.4,27.5,-7.2,81.0,,-4.8,79.0,,-11.1,,0.1,0.4,-6.0,46.3,4.6,True,True,True,,True,True,True,False,True,False,,True,False,,True,,True,True,True,False,True
US,219681,223597.7,223552.0,215058.6,215586.0,230155.9,231033.5,217686.0,216409.5,225339.8,204830.7,,,223594.8,228648.0,216679.7,203088.3,199123.0,215536.7,228312.7,218601.0,209057.9,213660.1,3995.7,3950.0,-4543.4,-4016.0,10553.9,11431.5,-1916.0,-3192.5,5737.8,-14771.3,,,3992.8,9046.0,-2922.3,-16513.7,-20479.0,-4065.3,8710.7,-1001.0,-10544.1,-5941.9,True,False,False,False,False,True,True,False,False,,,True,False,True,False,False,False,False,True,False,False
