,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,7607,7928.9,7858.6,7742.0,7859.0,7642.0,7392.0,7653.0,7362.6,7659.0,7907.6,7667.1,7581.8,,7523.6,7607.0,7592.0,7262.2,7535.9,7585.1,7405.0,7668.7,7812.7,7525.0,7832.8,,7668.6,7826.4,7390.0,,7641.9,7438.4,7814.0,7363.0,7642.0,7768.8,,7846.1,7628.0,7778.3,7590.9,7811.0,7218.5,7379.2,7791.2,7465.0,321.9,251.6,135.0,252.0,35.0,-215.0,46.0,-244.4,52.0,300.6,60.1,-25.2,,-83.4,0.0,-15.0,-344.8,-71.1,-21.9,-202.0,61.7,205.7,-82.0,225.8,,61.6,219.4,-217.0,,34.9,-168.6,207.0,-244.0,35.0,161.8,,239.1,21.0,171.3,-16.1,204.0,-388.5,-227.8,184.2,-142.0,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,,True,True,True,True,True,True,,True,True,True,True,True,False,True,True,True
Hawaii,186,166.3,170.0,164.0,164.0,168.0,171.0,157.0,148.8,153.0,200.1,,189.3,,150.5,,156.3,152.6,202.0,165.6,168.3,155.6,200.4,169.0,214.6,,201.0,161.7,168.0,,,146.9,168.0,174.6,187.0,160.3,,229.3,161.0,158.7,147.9,153.0,175.0,157.1,172.5,156.0,-19.7,-16.0,-22.0,-22.0,-18.0,-15.0,-29.0,-37.2,-33.0,14.1,,3.3,,-35.5,,-29.7,-33.4,16.0,-20.4,-17.7,-30.4,14.4,-17.0,28.6,,15.0,-24.3,-18.0,,,-39.1,-18.0,-11.4,1.0,-25.7,,43.3,-25.0,-27.3,-38.1,-33.0,-11.0,-28.9,-13.5,-30.0,True,False,False,True,True,False,False,False,True,,True,,False,,False,False,True,False,True,False,True,True,False,,True,False,True,,,False,True,True,True,False,,False,False,False,False,False,True,False,True,False
Idaho,529,508.6,522.0,520.0,517.0,534.0,607.0,647.0,519.4,522.0,549.0,529.9,532.5,,556.3,532.0,540.8,573.3,584.1,543.1,526.4,526.4,556.9,576.0,572.6,,537.6,534.9,518.0,,,467.4,548.0,451.8,572.0,519.4,,586.6,519.0,520.7,539.9,543.0,490.0,510.8,523.3,484.0,-20.4,-7.0,-9.0,-12.0,5.0,78.0,118.0,-9.6,-7.0,20.0,0.9,3.5,,27.3,3.0,11.8,44.3,55.1,14.1,-2.6,-2.6,27.9,47.0,43.6,,8.6,5.9,-11.0,,,-61.6,19.0,-77.2,43.0,-9.6,,57.6,-10.0,-8.3,10.9,14.0,-39.0,-18.2,-5.7,-45.0,True,True,True,True,False,False,True,True,True,True,True,,False,True,True,False,False,True,True,True,False,False,False,,True,True,True,,,False,True,False,False,True,,False,True,True,True,True,False,True,True,False
Illinois,9452,9299.3,9306.6,9253.0,9312.8,9301.0,9515.0,9219.0,9185.9,9214.0,9248.1,9287.8,9417.3,,9069.3,9277.0,9306.8,9625.7,9367.9,9307.0,9170.4,9361.4,9362.8,9252.0,9375.7,10506.0,9247.9,9372.3,9126.0,,9213.6,9086.4,9315.0,9503.3,9415.0,9261.2,,9389.7,9296.0,9453.3,10215.1,9337.0,9124.0,8824.8,9270.9,8887.0,-152.7,-145.4,-199.0,-139.2,-151.0,63.0,-233.0,-266.1,-238.0,-203.9,-164.2,-34.7,,-382.7,-175.0,-145.2,173.7,-84.1,-145.0,-281.6,-90.6,-89.2,-200.0,-76.3,1054.0,-204.1,-79.7,-326.0,,-238.4,-365.6,-137.0,51.3,-37.0,-190.8,,-62.3,-156.0,1.3,763.1,-115.0,-328.0,-627.2,-181.1,-565.0,True,False,True,True,True,False,False,False,False,False,True,,False,False,True,False,True,True,False,True,True,False,True,False,False,True,False,,False,False,True,True,True,False,,True,False,True,False,True,False,False,False,False
Indiana,3918,3791.4,3801.6,3781.0,3799.5,3808.0,3894.0,3756.0,3732.7,3837.0,3785.9,3721.2,3894.1,,3865.1,3795.0,3793.6,3889.3,3880.2,3788.9,3756.9,3800.7,3942.3,3827.0,3835.0,4006.0,3768.6,3821.7,3805.0,,3749.4,3734.0,3803.0,4512.9,3831.0,3768.0,,3849.0,3808.0,3879.4,4232.1,3784.0,4427.5,3499.6,3813.0,3678.0,-126.6,-116.4,-137.0,-118.5,-110.0,-24.0,-162.0,-185.3,-81.0,-132.1,-196.8,-23.9,,-52.9,-123.0,-124.4,-28.7,-37.8,-129.1,-161.1,-117.3,24.3,-91.0,-83.0,88.0,-149.4,-96.3,-113.0,,-168.6,-184.0,-115.0,594.9,-87.0,-150.0,,-69.0,-110.0,-38.6,314.1,-134.0,509.5,-418.4,-105.0,-240.0,True,False,True,True,True,False,False,True,False,False,True,,True,True,True,True,True,False,False,True,True,True,True,True,False,True,True,,False,False,True,False,True,False,,True,True,True,False,False,False,False,True,False
Iowa,1528,1461.7,1460.5,1456.0,1461.0,1464.0,1603.0,1434.0,1421.3,1508.0,1503.3,1441.4,1487.0,,1427.4,1493.0,1512.8,1560.9,1495.0,1513.7,1437.3,1468.6,1531.4,1533.0,1468.7,,1419.8,1492.8,1541.0,,1461.1,1380.5,1482.0,1614.3,1485.0,1464.1,,1482.6,1449.0,1459.5,1610.4,1481.0,1373.0,1405.0,1470.8,1344.0,-66.3,-67.5,-72.0,-67.0,-64.0,75.0,-94.0,-106.7,-20.0,-24.7,-86.6,-41.0,,-100.6,-35.0,-15.2,32.9,-33.0,-14.3,-90.7,-59.4,3.4,5.0,-59.3,,-108.2,-35.2,13.0,,-66.9,-147.5,-46.0,86.3,-43.0,-63.9,,-45.4,-79.0,-68.5,82.4,-47.0,-155.0,-123.0,-57.2,-184.0,False,False,False,True,False,False,False,True,True,False,True,,False,True,True,True,True,True,False,True,True,True,True,,False,True,True,,False,False,True,False,True,True,,True,False,False,False,True,False,False,True,False
Kansas,859,749.3,742.7,760.0,758.0,757.0,757.0,792.0,818.5,745.0,754.4,801.5,800.7,,1087.4,745.0,768.0,826.0,790.8,812.3,735.3,746.2,807.1,887.0,708.0,,750.6,794.7,812.0,,,659.8,802.0,790.3,782.0,745.3,,721.9,729.0,720.7,756.3,778.0,713.0,694.5,751.3,729.0,-109.7,-116.3,-99.0,-101.0,-102.0,-102.0,-67.0,-40.5,-114.0,-104.6,-57.5,-58.3,,228.4,-114.0,-91.0,-33.0,-68.2,-46.7,-123.7,-112.8,-51.9,28.0,-151.0,,-108.4,-64.3,-47.0,,,-199.2,-57.0,-68.7,-77.0,-113.7,,-137.1,-130.0,-138.3,-102.7,-81.0,-146.0,-164.5,-107.7,-130.0,False,True,True,True,True,True,True,False,True,True,True,,False,False,True,True,True,True,False,False,True,True,False,,True,True,True,,,False,True,True,True,False,,False,False,False,True,True,False,False,True,False
Kentucky,1312,1288.4,1295.3,1287.0,1292.0,1324.0,1494.0,1317.0,1272.3,1330.0,1318.7,1410.7,1354.3,,1404.0,1306.0,1328.8,1330.6,1398.2,1329.4,1271.2,1303.0,1413.3,1407.0,1313.7,1328.5,1243.1,1327.3,1369.0,,,1200.6,1326.0,1399.2,1324.0,1315.3,,1327.5,1324.0,1280.0,1433.0,1309.0,1262.0,1245.3,1320.3,1278.0,-23.6,-16.7,-25.0,-20.0,12.0,182.0,5.0,-39.7,18.0,6.7,98.7,42.3,,92.0,-6.0,16.8,18.6,86.2,17.4,-40.8,-9.0,101.3,95.0,1.7,16.5,-68.9,15.3,57.0,,,-111.4,14.0,87.2,12.0,3.3,,15.5,12.0,-32.0,121.0,-3.0,-50.0,-66.7,8.3,-34.0,True,False,True,True,False,True,False,True,True,False,False,,False,True,True,True,False,True,False,True,False,False,True,True,False,True,False,,,False,True,False,True,True,,True,True,False,False,True,False,False,True,False
Louisiana,5727,5742.1,5756.0,5696.0,5750.5,5734.0,5587.0,5759.0,5746.4,5695.0,5774.3,5854.8,5692.3,,5918.5,5724.0,5697.0,5678.8,5642.7,5718.1,5689.8,5674.4,5833.7,5706.0,5757.6,,5650.4,5661.5,5643.0,,5709.4,5646.8,5791.0,5418.2,5874.0,5823.3,,5771.1,5716.0,5900.8,5855.7,5671.0,5616.0,5558.4,5764.0,5536.0,15.1,29.0,-31.0,23.5,7.0,-140.0,32.0,19.4,-32.0,47.3,127.8,-34.7,,191.5,-3.0,-30.0,-48.2,-84.3,-8.9,-37.2,-52.6,106.7,-21.0,30.6,,-76.6,-65.5,-84.0,,-17.6,-80.2,64.0,-308.8,147.0,96.3,,44.1,-11.0,173.8,128.7,-56.0,-111.0,-168.6,37.0,-191.0,False,False,False,True,False,False,False,False,False,False,False,,False,True,False,False,False,True,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,True,False,False,False,False,False,False,False
Maine,146,142.9,143.9,145.0,144.0,147.0,141.0,150.0,150.5,143.0,153.9,147.8,145.9,,147.9,168.0,148.7,149.3,158.2,147.7,144.2,140.0,159.2,167.0,145.2,,142.2,144.0,146.0,,,140.6,149.0,154.6,147.0,142.7,,159.2,147.0,151.4,158.3,148.0,143.0,145.1,145.7,,-3.1,-2.1,-1.0,-2.0,1.0,-5.0,4.0,4.5,-3.0,7.9,1.8,-0.1,,1.9,22.0,2.7,3.3,12.2,1.7,-1.8,-6.0,13.2,21.0,-0.8,,-3.8,-2.0,0.0,,,-5.4,3.0,8.6,1.0,-3.3,,13.2,1.0,5.4,12.3,2.0,-3.0,-0.9,-0.3,,True,True,True,True,False,False,False,True,False,True,True,,True,False,True,False,False,True,True,False,False,False,True,,False,True,True,,,False,True,False,True,False,,False,True,False,False,True,True,True,True,
Maryland,4036,4095.0,4068.1,4057.0,4072.8,4066.0,4081.0,4047.0,4018.3,3951.0,4078.6,4058.4,4144.5,,4023.6,4120.0,4041.3,4094.5,4064.7,4056.6,4017.1,4083.6,4138.9,4057.0,4105.3,,4082.8,4059.8,4039.0,,4017.0,3991.0,4067.0,4344.9,4111.0,4040.7,,4119.3,4050.0,4089.9,4323.0,4046.0,4065.0,3999.2,4093.6,4065.0,59.0,32.1,21.0,36.8,30.0,45.0,11.0,-17.7,-85.0,42.6,22.4,108.5,,-12.4,84.0,5.3,58.5,28.7,20.6,-18.9,47.6,102.9,21.0,69.3,,46.8,23.8,3.0,,-19.0,-45.0,31.0,308.9,75.0,4.7,,83.3,14.0,53.9,287.0,10.0,29.0,-36.8,57.6,29.0,True,True,True,True,True,True,True,False,True,True,False,,True,False,True,True,True,True,True,True,False,True,False,,True,True,True,,True,True,True,False,False,True,,False,True,True,False,True,True,True,True,True
