,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Maine,146,183.3,129.1,118.0,,133.1,179.2,37.3,-16.9,-28.0,,-12.9,33.2,True,True,,True,True
Maryland,4036,4372.1,3766.5,3652.0,,4144.6,4086.0,336.1,-269.5,-384.0,,108.6,50.0,True,False,,True,True
Massachusetts,9723,10292.7,8556.2,11846.0,,9091.4,9030.0,569.7,-1166.8,2123.0,,-631.6,-693.0,False,False,,False,False
Michigan,7340,7644.3,7191.8,6778.0,,7049.7,7808.5,304.3,-148.2,-562.0,,-290.3,468.5,True,False,,True,False
Minnesota,2270,1983.4,2477.2,2588.0,,1851.1,2125.5,-286.6,207.2,318.0,,-418.9,-144.5,True,False,,False,True
Mississippi,3171,3161.3,3076.2,2831.0,,2189.4,2798.8,-9.7,-94.8,-340.0,,-981.6,-372.2,False,False,,False,False
Missouri,2581,1660.1,2136.8,1832.0,,2157.6,2056.8,-920.9,-444.2,-749.0,,-423.4,-524.2,True,True,,True,True
Montana,239,112.1,382.5,68.0,,105.8,164.5,-126.9,143.5,-171.0,,-133.2,-74.5,False,False,,False,True
Nebraska,547,298.9,478.8,501.0,,338.0,437.4,-248.1,-68.2,-46.0,,-209.0,-109.6,True,True,,True,True
Nevada,1707,1410.6,2286.0,1068.0,,995.2,1981.4,-296.4,579.0,-639.0,,-711.8,274.4,False,False,,False,True
New Hampshire,466,529.6,448.7,474.0,,519.4,450.9,63.6,-17.3,8.0,,53.4,-15.1,True,True,,True,True
New Jersey,16204,19876.1,16428.6,19791.0,,16807.0,16691.9,3672.1,224.6,3587.0,,603.0,487.9,True,True,,True,True
New Mexico,929,988.4,1066.4,1375.0,,910.0,1005.8,59.4,137.4,446.0,,-19.0,76.8,False,False,,True,False
New York,33547,34345.4,32995.4,35286.0,,32997.6,33519.2,843.4,-506.6,1784.0,,-504.4,17.2,True,False,,True,True
North Carolina,3929,2893.9,3834.1,4860.0,,2915.7,3255.9,-1035.1,-94.9,931.0,,-1013.3,-673.1,True,True,,True,True
North Dakota,399,184.0,201.8,229.0,,128.9,176.6,-215.0,-197.2,-170.0,,-270.1,-222.4,True,True,,False,False
Ohio,5067,5095.0,5423.9,5086.0,,4813.4,6077.0,28.0,356.9,19.0,,-253.6,1010.0,False,True,,False,False
Oklahoma,1162,754.6,1569.2,2123.0,,645.7,784.1,-407.4,407.2,961.0,,-516.3,-377.9,True,False,,False,True
Oregon,619,497.3,740.5,645.0,,375.0,841.6,-121.7,121.5,26.0,,-244.0,222.6,True,True,,False,False
Pennsylvania,8442,8996.4,8455.4,8568.0,,8780.4,8957.1,554.4,13.4,126.0,,338.4,515.1,True,True,,True,True
Rhode Island,1152,1197.7,1104.2,1180.0,,1109.0,1115.8,56.7,-36.8,39.0,,-32.0,-25.2,True,True,,True,True
South Carolina,3637,2914.9,3822.9,3182.0,,2220.7,3724.7,-722.1,185.9,-455.0,,-1416.3,87.7,True,True,,False,True
South Dakota,315,275.3,173.6,205.0,,142.4,206.2,-39.7,-141.4,-110.0,,-172.6,-108.8,False,False,,False,False
Tennessee,2903,2071.3,3271.6,3461.0,,1493.4,3030.2,-831.7,368.6,558.0,,-1409.6,127.2,True,True,,False,True
Texas,17445,11183.9,22939.5,20492.0,10482.0,9579.5,12992.6,-5731.1,6024.5,3577.0,-6433.0,-7335.5,-3922.4,False,True,False,False,True
Utah,540,644.6,1086.3,809.0,,545.8,900.4,104.6,546.3,269.0,,5.8,360.4,False,False,,True,False
Vermont,58,56.0,60.0,57.0,,57.7,74.9,-2.0,2.0,-1.0,,-0.3,16.9,False,True,,True,False
Virginia,3422,3531.9,2584.7,2802.0,,2628.5,4201.6,109.9,-837.3,-620.0,,-793.5,779.6,False,False,,False,False
Washington,2239,2532.7,2814.5,2282.0,,2120.2,2635.5,293.7,575.5,43.0,,-118.8,396.5,False,True,,True,False
West Virginia,401,123.7,520.3,192.0,,135.1,144.3,-277.3,119.3,-209.0,,-265.9,-256.7,True,True,,True,True
Wisconsin,1761,1152.6,2103.2,1322.0,,1149.1,1586.3,-579.4,371.2,-410.0,,-582.9,-145.7,True,True,,False,True
Wyoming,57,34.9,114.8,47.0,,28.5,42.6,-22.1,57.8,-10.0,,-28.5,-14.4,False,True,,False,True
US,219681,207885.7,246593.6,203636.0,155608.0,183894.2,215126.6,-11180.3,27527.6,-15430.0,-63458.0,-35171.8,-3939.4,False,False,False,False,True
