,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,17054,21741.0,21896.2,19199.0,19199.0,,16354.4,20762.0,19826.5,20541.5,21978.0,16880.2,21559.6,14004.0,16850.5,19831.0,,16184.3,19572.5,20481.5,22805.7,16638.8,21273.0,4687.0,4842.2,2145.0,2145.0,,-699.6,3708.0,2772.5,3487.5,4924.0,-173.8,4505.6,-3050.0,-203.5,2777.0,,-869.7,2518.5,3427.5,5751.7,-415.2,4219.0,False,True,True,,True,True,True,True,False,True,True,True,True,True,,True,True,True,False,True,True
Hawaii,1531,1479.0,1493.9,1655.0,1570.0,,2422.4,1636.0,1750.0,2314.5,,2326.1,2919.3,1852.2,1578.5,2089.0,,1692.7,1414.0,1484.3,,2050.4,1626.0,-52.0,-37.1,124.0,39.0,,891.4,105.0,219.0,783.5,,795.1,1388.3,321.2,47.5,558.0,,161.7,-117.0,-46.7,,519.4,95.0,True,False,True,,False,False,False,False,,False,False,False,True,False,,False,False,True,,False,False
Idaho,2184,2978.0,3029.2,2782.0,2961.0,,1910.4,2784.0,8262.7,3101.8,2782.0,4369.1,3323.5,2019.8,2588.3,2814.0,,2148.1,3166.0,2604.1,2956.1,2308.1,2876.0,794.0,845.2,598.0,777.0,,-273.6,600.0,6078.7,917.8,598.0,2185.1,1139.5,-164.2,404.3,630.0,,-35.9,982.0,420.1,772.1,124.1,692.0,False,True,True,,True,True,False,False,True,False,False,True,True,True,,True,False,True,True,True,True
Illinois,13850,11853.0,11915.0,11839.0,12336.0,,11892.7,3048.0,11262.6,12838.0,11172.0,12518.6,15619.1,10876.5,11838.5,13602.0,,11515.0,7568.4,13046.9,8277.7,12839.8,12229.0,-1997.0,-1935.0,-2011.0,-1514.0,,-1957.3,-10802.0,-2587.4,-1012.0,-2678.0,-1331.4,1769.1,-2973.5,-2011.5,-248.0,,-2335.0,-6281.6,-803.1,-5572.3,-1010.2,-1621.0,True,False,True,,True,False,False,True,False,True,True,False,False,True,,False,False,True,False,True,True
Indiana,5641,6389.0,6550.1,6138.0,6859.0,,6560.4,3066.0,5347.7,6734.6,4851.0,7888.0,7014.8,5552.4,5595.2,6936.0,,5686.8,3734.9,6779.6,5319.3,6137.8,7162.0,748.0,909.1,497.0,1218.0,,919.4,-2575.0,-293.3,1093.6,-790.0,2247.0,1373.8,-88.6,-45.8,1295.0,,45.8,-1906.1,1138.6,-321.7,496.8,1521.0,False,True,False,,False,False,True,False,False,False,False,True,True,False,,True,False,False,True,True,False
Iowa,3931,3530.0,3510.4,3249.0,3598.0,,2498.0,1078.0,2551.4,3625.4,2694.0,3688.9,3142.3,3535.3,3249.4,3589.0,,2687.1,2557.7,3424.7,3045.2,4415.6,2674.0,-401.0,-420.6,-682.0,-333.0,,-1433.0,-2853.0,-1379.6,-305.6,-1237.0,-242.1,-788.7,-395.7,-681.6,-342.0,,-1243.9,-1373.3,-506.3,-885.8,484.6,-1257.0,False,False,True,,False,False,False,True,False,True,False,True,False,True,,False,False,False,False,False,False
Kansas,3503,3422.0,3347.4,3123.0,4113.0,,,2528.0,2264.8,4287.4,3795.0,4062.3,3060.1,2205.2,2628.1,3219.0,,1419.2,2434.7,3145.3,3454.8,3101.1,3343.0,-81.0,-155.6,-380.0,610.0,,,-975.0,-1238.2,784.4,292.0,559.3,-442.9,-1297.8,-874.9,-284.0,,-2083.8,-1068.3,-357.7,-48.2,-401.9,-160.0,False,False,False,,,False,False,False,False,False,False,False,False,False,,False,False,False,True,False,False
Kentucky,4136,4352.0,4289.0,3943.0,4794.0,,,3543.0,9559.3,4661.2,4561.0,4865.6,3676.4,2476.4,2761.9,4121.0,,1922.3,3527.7,4647.7,4447.9,3455.7,3891.0,216.0,153.0,-193.0,658.0,,,-593.0,5423.3,525.2,425.0,729.6,-459.6,-1659.6,-1374.1,-15.0,,-2213.7,-608.3,511.7,311.9,-680.3,-245.0,True,True,False,,,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False
Louisiana,4983,7991.0,7340.0,6835.0,6330.0,,,8640.0,11555.8,4810.7,9346.0,6397.6,9055.7,6083.1,5428.3,6118.0,,6018.1,13428.9,7716.6,,5328.7,5412.0,3008.0,2357.0,1852.0,1347.0,,,3657.0,6572.8,-172.3,4363.0,1414.6,4072.7,1100.1,445.3,1135.0,,1035.1,8445.9,2733.6,,345.7,429.0,True,True,True,,,False,False,True,False,True,False,True,True,True,,True,False,True,,True,True
Maine,174,116.0,119.6,118.0,111.0,,,61.0,104.2,111.6,36.0,213.0,92.3,145.7,128.2,120.0,,117.1,113.9,124.1,,168.3,101.0,-58.0,-54.4,-56.0,-63.0,,,-113.0,-69.8,-62.4,-138.0,39.0,-81.7,-28.3,-45.8,-54.0,,-56.9,-60.1,-49.9,,-5.7,-73.0,True,True,False,,,False,False,False,False,True,False,True,True,True,,True,False,True,,True,False
Maryland,3830,5112.0,5074.8,4466.0,5004.0,,,2453.0,4716.4,5017.1,4465.0,4717.2,4578.1,4002.1,4006.6,4565.0,,4299.4,611.8,5220.7,3178.6,4268.2,4615.0,1282.0,1244.8,636.0,1174.0,,,-1377.0,886.4,1187.1,635.0,887.2,748.1,172.1,176.6,735.0,,469.4,-3218.2,1390.7,-651.4,438.2,785.0,True,True,True,,,False,True,True,True,True,True,True,True,True,,True,False,False,True,True,True
Massachusetts,2069,2488.0,2522.3,2410.0,767.0,,,1967.0,2518.8,2560.2,2543.0,1501.0,3252.8,2409.3,2600.8,2699.0,,264.1,0.0,2673.4,122.3,948.7,2436.0,419.0,453.3,341.0,-1302.0,,,-102.0,449.8,491.2,474.0,-568.0,1183.8,340.3,531.8,630.0,,-1804.9,-2069.0,604.4,-1946.7,-1120.3,367.0,False,True,False,,,True,False,False,False,False,False,True,False,False,,False,False,False,False,False,True
Michigan,4262,5591.0,5487.5,5446.0,5657.0,,,517.0,5778.7,5868.4,5854.0,8701.6,5808.4,4594.2,5183.1,5650.0,,3983.6,7622.2,5908.9,,5009.1,5532.0,1329.0,1225.5,1184.0,1395.0,,,-3745.0,1516.7,1606.4,1592.0,4439.6,1546.4,332.2,921.1,1388.0,,-278.4,3360.2,1646.9,,747.1,1270.0,True,True,False,,,False,False,False,False,False,False,True,True,False,,True,False,False,,True,True
Minnesota,4454,4312.0,4376.3,4152.0,3862.0,,,2334.0,4315.0,4521.2,4074.0,4988.1,4767.3,4664.6,4040.8,4523.0,,4017.9,3233.1,3790.4,3581.4,4826.5,4128.0,-142.0,-77.7,-302.0,-592.0,,,-2120.0,-139.0,67.2,-380.0,534.1,313.3,210.6,-413.2,69.0,,-436.1,-1220.9,-663.6,-872.6,372.5,-326.0,True,False,False,,,False,True,True,False,False,False,False,False,True,,False,False,False,False,False,False
Mississippi,5513,5109.0,4976.4,4887.0,4580.0,,,6599.0,5628.3,5742.6,5764.0,5717.2,5641.6,3789.1,4000.4,4439.0,,3324.0,7163.3,4797.8,6587.9,3925.7,4592.0,-404.0,-536.6,-626.0,-933.0,,,1086.0,115.3,229.6,251.0,204.2,128.6,-1723.9,-1512.6,-1074.0,,-2189.0,1650.3,-715.2,1074.9,-1587.3,-921.0,False,False,False,,,False,True,True,True,True,True,False,False,False,,False,False,False,False,False,False
Missouri,7948,8983.0,8792.0,8154.0,8479.0,,,8035.0,8133.5,9027.6,6994.0,8983.6,8222.3,8240.0,8067.8,8324.0,,5448.7,15191.3,11708.5,10446.6,8956.3,7969.0,1035.0,844.0,206.0,531.0,,,87.0,185.5,1079.6,-954.0,1035.6,274.3,292.0,119.8,376.0,,-2499.3,7243.3,3760.5,2498.6,1008.3,21.0,True,True,True,,,True,True,False,True,False,True,True,True,True,,False,False,False,False,True,True
Montana,717,770.0,767.5,787.0,530.0,,,675.0,973.2,879.4,992.0,1076.2,892.1,806.8,719.5,788.0,,483.4,1346.3,657.5,606.8,829.4,796.0,53.0,50.5,70.0,-187.0,,,-42.0,256.2,162.4,275.0,359.2,175.1,89.8,2.5,71.0,,-233.6,629.3,-59.5,-110.2,112.4,79.0,True,False,False,,,True,False,False,False,False,False,False,True,False,,False,False,False,False,False,False
Nebraska,1539,1996.0,1972.9,1660.0,1948.0,,,511.0,1465.1,1892.2,1663.0,1732.1,2500.5,1485.8,1656.4,1853.0,,1308.6,99.6,1979.8,1187.9,1749.7,1812.0,457.0,433.9,121.0,409.0,,,-1028.0,-73.9,353.2,124.0,193.1,961.5,-53.2,117.4,314.0,,-230.4,-1439.4,440.8,-351.1,210.7,273.0,True,True,True,,,False,True,True,True,True,False,True,True,True,,True,False,True,True,True,True
Nevada,4461,5189.0,5250.9,4830.0,4515.0,,,6611.0,5479.8,5713.2,4777.0,4173.8,5238.7,4903.9,4312.9,4583.0,,4391.4,10333.9,4748.7,4156.3,4969.4,4748.0,728.0,789.9,369.0,54.0,,,2150.0,1018.8,1252.2,316.0,-287.2,777.7,442.9,-148.1,122.0,,-69.6,5872.9,287.7,-304.7,508.4,287.0,False,True,True,,,False,False,False,True,True,False,True,True,True,,True,False,True,True,True,True
New Hampshire,114,162.0,161.9,144.0,174.0,,,13.0,145.7,181.3,148.0,327.0,79.5,136.3,131.5,159.0,,133.5,0.0,162.2,121.5,152.4,166.0,48.0,47.9,30.0,60.0,,,-101.0,31.7,67.3,34.0,213.0,-34.5,22.3,17.5,45.0,,19.5,-114.0,48.2,7.5,38.4,52.0,True,True,False,,,False,True,False,True,False,True,True,True,True,,True,False,False,True,True,False
New Jersey,1904,3013.0,2861.8,2735.0,2967.0,,,176.0,1979.8,3106.5,2683.0,3376.8,2834.5,1972.8,2379.5,2653.0,,2481.1,3206.7,3294.9,,3083.5,2876.0,1109.0,957.8,831.0,1063.0,,,-1728.0,75.8,1202.5,779.0,1472.8,930.5,68.8,475.5,749.0,,577.1,1302.7,1390.9,,1179.5,972.0,True,True,True,,,False,True,False,True,False,True,True,True,True,,True,False,False,,False,True
New Mexico,1000,1187.0,1283.5,1133.0,1036.0,,,1206.0,1107.1,1063.5,1673.0,1635.3,1032.4,899.9,910.6,909.0,,877.4,2270.0,1199.0,1452.1,975.1,988.0,187.0,283.5,133.0,36.0,,,206.0,107.1,63.5,673.0,635.3,32.4,-100.1,-89.4,-91.0,,-122.6,1270.0,199.0,452.1,-24.9,-12.0,False,True,True,,,False,True,True,False,False,True,True,True,True,,True,False,False,False,True,True
New York,4264,4556.0,4583.8,4410.0,4382.0,,,105.0,4546.0,4880.1,3358.0,7232.6,4931.0,4201.5,4709.9,4623.0,,3635.1,4805.9,4438.5,,5450.6,4900.0,292.0,319.8,146.0,118.0,,,-4159.0,282.0,616.1,-906.0,2968.6,667.0,-62.5,445.9,359.0,,-628.9,541.9,174.5,,1186.6,636.0,False,True,True,,,False,True,False,False,False,False,True,False,False,,False,False,True,,False,False
North Carolina,10869,8756.0,8909.8,8450.0,8397.0,,,12169.0,7801.7,8689.0,8745.0,12983.6,9404.8,8105.9,7965.2,7847.0,,7343.8,10177.2,8503.8,6605.8,8224.5,8065.0,-2113.0,-1959.2,-2419.0,-2472.0,,,1300.0,-3067.3,-2180.0,-2124.0,2114.6,-1464.2,-2763.1,-2903.8,-3022.0,,-3525.2,-691.8,-2365.2,-4263.2,-2644.5,-2804.0,True,False,False,,,True,False,False,False,False,True,False,False,False,,False,True,False,False,False,False
North Dakota,1292,936.0,929.6,930.0,830.0,,,127.0,1113.0,1010.8,720.0,954.2,911.3,923.1,931.8,1069.0,,1070.0,1303.4,975.0,854.1,1016.5,971.0,-356.0,-362.4,-362.0,-462.0,,,-1165.0,-179.0,-281.2,-572.0,-337.8,-380.7,-368.9,-360.2,-223.0,,-222.0,11.4,-317.0,-437.9,-275.5,-321.0,False,False,False,,,False,True,True,False,True,False,False,False,True,,True,True,True,False,True,True
Ohio,6491,7705.0,7613.6,6686.0,7637.0,,,5979.0,6641.0,8044.8,6917.0,12486.3,7435.1,5661.0,6454.4,6823.0,,5194.9,7182.7,7617.7,7454.7,6066.6,7317.0,1214.0,1122.6,195.0,1146.0,,,-512.0,150.0,1553.8,426.0,5995.3,944.1,-830.0,-36.6,332.0,,-1296.1,691.7,1126.7,963.7,-424.4,826.0,True,True,True,,,True,True,False,True,False,True,True,True,True,,False,True,True,True,True,True
Oklahoma,4801,4718.0,4657.3,4652.0,4101.0,,,6004.0,4733.6,5295.9,5263.0,7623.9,4609.9,4226.5,4486.2,4567.0,,2601.4,7591.4,4600.3,4299.9,4986.7,4798.0,-83.0,-143.7,-149.0,-700.0,,,1203.0,-67.4,494.9,462.0,2822.9,-191.1,-574.5,-314.8,-234.0,,-2199.6,2790.4,-200.7,-501.1,185.7,-3.0,False,False,False,,,False,True,False,False,False,False,False,False,False,,False,False,False,False,False,True
Oregon,1692,2008.0,2033.5,1892.0,1876.0,,,2259.0,1824.3,2219.0,1889.0,4101.9,2274.2,1895.1,1876.2,1927.0,,1765.2,2421.6,1877.4,1734.9,2074.5,2030.0,316.0,341.5,200.0,184.0,,,567.0,132.3,527.0,197.0,2409.9,582.2,203.1,184.2,235.0,,73.2,729.6,185.4,42.9,382.5,338.0,False,True,True,,,False,True,False,True,False,False,True,True,True,,True,False,True,True,False,False
Pennsylvania,4629,5866.0,5944.5,5070.0,6471.0,,,2448.0,4972.5,5899.4,3880.0,8878.5,5384.9,4536.6,5166.4,5316.0,,4267.0,5148.8,6308.0,4335.7,5731.9,5349.0,1237.0,1315.5,441.0,1842.0,,,-2181.0,343.5,1270.4,-749.0,4249.5,755.9,-92.4,537.4,687.0,,-362.0,519.8,1679.0,-293.3,1102.9,720.0,False,True,False,,,False,True,False,True,False,True,True,True,True,,True,True,False,True,True,True
Rhode Island,687,597.0,594.8,528.0,738.0,,,6.0,590.1,501.3,785.0,192.7,838.1,283.7,471.6,521.0,,184.0,374.1,585.4,,615.0,480.0,-90.0,-92.2,-159.0,51.0,,,-681.0,-96.9,-185.7,98.0,-494.3,151.1,-403.3,-215.4,-166.0,,-503.0,-312.9,-101.6,,-72.0,-207.0,False,False,True,,,False,False,False,False,False,False,False,False,False,,False,False,False,,True,False
South Carolina,5413,6422.0,6459.3,5754.0,5570.0,,,7338.0,5603.1,6038.9,6980.0,8650.1,6915.8,4795.6,5102.1,5202.0,,4858.0,6940.9,5937.3,3859.2,5189.0,5257.0,1009.0,1046.3,341.0,157.0,,,1925.0,190.1,625.9,1567.0,3237.1,1502.8,-617.4,-310.9,-211.0,,-555.0,1527.9,524.3,-1553.8,-224.0,-156.0,False,True,True,,,False,True,True,False,False,False,True,True,True,,True,False,True,False,True,True
South Dakota,1017,641.0,635.6,642.0,570.0,,,149.0,621.9,648.8,465.0,459.6,710.1,782.7,760.6,790.0,,647.6,769.0,670.4,391.6,911.5,672.0,-376.0,-381.4,-375.0,-447.0,,,-868.0,-395.1,-368.2,-552.0,-557.4,-306.9,-234.3,-256.4,-227.0,,-369.4,-248.0,-346.6,-625.4,-105.5,-345.0,False,True,False,,,False,False,True,False,False,True,True,True,True,,True,True,True,False,True,True
Tennessee,10336,11162.0,11460.9,11171.0,10587.0,,,11744.0,12064.9,11172.1,9939.0,12145.5,11021.9,12169.8,10219.6,10433.0,,8778.5,13137.1,10556.3,12552.4,10880.4,9766.0,826.0,1124.9,835.0,251.0,,,1408.0,1728.9,836.1,-397.0,1809.5,685.9,1833.8,-116.4,97.0,,-1557.5,2801.1,220.3,2216.4,544.4,-570.0,False,False,True,,,False,False,False,True,False,True,False,True,True,,False,False,True,False,True,True
Texas,42786,48920.0,49686.6,49007.0,49569.0,,,52971.0,46521.8,50450.5,56492.0,43452.9,47997.4,57839.3,53785.5,46993.0,,28771.9,35893.4,44111.9,49486.7,48444.8,41975.0,6134.0,6900.6,6221.0,6783.0,,,10185.0,3735.8,7664.5,13706.0,666.9,5211.4,15053.3,10999.5,4207.0,,-14014.1,-6892.6,1325.9,6700.7,5658.8,-811.0,False,False,False,,,False,True,False,False,True,True,False,False,True,,False,False,True,False,True,True
Utah,2493,2570.0,2514.4,2313.0,2059.0,,,2650.0,2058.4,2712.3,2118.0,2769.3,2484.8,2328.5,2297.4,2267.0,,1728.5,2606.8,2609.9,1787.3,2056.1,2193.0,77.0,21.4,-180.0,-434.0,,,157.0,-434.6,219.3,-375.0,276.3,-8.2,-164.5,-195.6,-226.0,,-764.5,113.8,116.9,-705.7,-436.9,-300.0,True,False,False,,,False,False,False,False,False,True,False,False,False,,False,False,False,False,False,False
Vermont,44,55.0,59.0,45.0,42.0,,,6.0,39.8,81.6,31.0,143.6,62.5,50.0,48.5,68.0,,22.3,30.8,57.7,,59.6,46.0,11.0,15.0,1.0,-2.0,,,-38.0,-4.2,37.6,-13.0,99.6,18.5,6.0,4.5,24.0,,-21.7,-13.2,13.7,,15.6,2.0,False,True,True,,,False,True,False,False,False,False,True,True,False,,False,False,False,,False,True
Virginia,6322,6561.0,6670.0,6349.0,6354.0,,,4023.0,6507.6,7127.3,6090.0,7645.0,7702.3,6213.3,6428.2,7236.0,,4804.9,4198.8,5882.4,5756.0,6573.1,0.0,239.0,348.0,27.0,32.0,,,-2299.0,185.6,805.3,-232.0,1323.0,1380.3,-108.7,106.2,914.0,,-1517.1,-2123.2,-439.6,-566.0,251.1,-6322.0,False,True,True,,,False,True,False,True,False,False,True,True,False,,False,False,False,False,False,False
Washington,3710,4362.0,4389.9,4147.0,4063.0,,,5295.0,4441.8,4718.2,3964.0,6178.2,4568.8,4118.1,3980.3,4127.0,,3877.4,4478.0,4514.5,,4168.0,4452.0,652.0,679.9,437.0,353.0,,,1585.0,731.8,1008.2,254.0,2468.2,858.8,408.1,270.3,417.0,,167.4,768.0,804.5,,458.0,742.0,False,True,True,,,False,False,False,True,False,False,True,True,True,,True,False,False,,True,False
West Virginia,723,899.0,891.1,880.0,938.0,,,844.0,1002.3,969.4,706.0,1441.3,1025.2,869.0,803.1,880.0,,667.7,746.2,856.3,,990.5,924.0,176.0,168.1,157.0,215.0,,,121.0,279.3,246.4,-17.0,718.3,302.2,146.0,80.1,157.0,,-55.3,23.2,133.3,,267.5,201.0,True,True,False,,,True,False,False,True,False,False,True,True,True,,True,True,True,,False,False
Wisconsin,4953,5123.0,5170.7,5016.0,5038.0,,,4891.0,5527.6,5662.8,4134.0,6874.8,5320.4,4993.3,4608.2,5152.0,,4012.2,6117.0,4076.0,5045.5,5617.8,4972.0,170.0,217.7,63.0,85.0,,,-62.0,574.6,709.8,-819.0,1921.8,367.4,40.3,-344.8,199.0,,-940.8,1164.0,-877.0,92.5,664.8,19.0,False,True,True,,,True,False,False,False,False,False,True,False,False,,False,False,False,True,False,True
Wyoming,316,212.0,224.4,243.0,145.0,,,220.0,279.5,267.7,206.0,344.1,486.3,298.7,259.1,230.0,,159.4,239.3,226.7,,415.4,230.0,-104.0,-91.6,-73.0,-171.0,,,-96.0,-36.5,-48.3,-110.0,28.1,170.3,-17.3,-56.9,-86.0,,-156.6,-76.7,-89.3,,99.4,-86.0,True,True,False,,,True,True,True,False,True,False,True,True,True,,False,True,True,,True,True
US,306085,363236.0,363379.9,333170.0,358564.0,330934.0,263554.7,328712.0,338753.9,371449.6,347372.0,369785.8,353157.0,280694.0,332671.7,332585.0,343990.3,261292.3,332960.8,344805.6,309849.5,328312.9,315735.0,57151.0,57294.9,27085.0,52479.0,24849.0,-42530.3,22627.0,32668.9,65364.6,41287.0,63700.8,47072.0,-25391.0,26586.7,26500.0,37905.3,-44792.7,26875.8,38720.6,3764.5,22227.9,9650.0,False,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True
