,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,164,230.0,,241.2,,197.0,167.0,,,,,226.0,,143.3,159.9,184.0,149.0,,218.5,320.9,,,,,,66.0,,77.2,,33.0,3.0,,,,,62.0,,-20.7,-4.1,20.0,-15.0,,54.5,156.9,,,,,,,False,,True,True,,,,,True,,True,True,True,True,,True,False,,,,,
01023,28,20.0,,20.2,,20.0,28.0,,,,,29.0,,6.2,18.1,44.0,0.0,,20.2,21.7,,,,,,-8.0,,-7.8,,-8.0,0.0,,,,,1.0,,-21.8,-9.9,16.0,-28.0,,-7.8,-6.3,,,,,,,True,,False,True,,,,,True,,False,False,False,False,,True,True,,,,,
01025,245,366.0,,359.5,,277.0,226.0,,,,,101.9,,718.0,141.4,317.0,48.0,,33.5,327.3,,,,,,121.0,,114.5,,32.0,-19.0,,,,,-143.1,,473.0,-103.6,72.0,-197.0,,-211.5,82.3,,,,,,,True,,True,True,,,,,False,,False,True,True,False,,False,True,,,,,
01027,69,104.0,,103.6,,95.0,118.0,,,,,66.8,,51.9,79.7,77.0,112.0,,115.7,80.6,,,,,,35.0,,34.6,,26.0,49.0,,,,,-2.2,,-17.1,10.7,8.0,43.0,,46.7,11.6,,,,,,,True,,True,False,,,,,True,,True,True,True,False,,False,True,,,,,
01029,68,28.0,,31.4,,19.0,28.0,,,,,34.7,,3.4,15.8,23.0,0.0,,10.8,24.1,,,,,,-40.0,,-36.6,,-49.0,-40.0,,,,,-33.3,,-64.6,-52.2,-45.0,-68.0,,-57.2,-43.9,,,,,,,True,,False,False,,,,,True,,False,False,False,False,,False,False,,,,,
01031,192,122.0,184.5,108.5,,105.0,81.0,,,,,173.9,,79.9,100.3,146.0,101.0,,65.7,104.1,,,,,,-70.0,-7.5,-83.5,,-87.0,-111.0,,,,,-18.1,,-112.1,-91.7,-46.0,-91.0,,-126.3,-87.9,,,,,,True,False,,False,False,,,,,True,,False,False,True,False,,False,False,,,,,
01033,159,242.0,421.8,283.2,,223.0,193.0,,,,,231.2,,139.6,180.9,235.0,150.0,,225.6,250.7,,,,,,83.0,262.8,124.2,,64.0,34.0,,,,,72.2,,-19.4,21.9,76.0,-9.0,,66.6,91.7,,,,,,False,False,,True,True,,,,,True,,True,True,True,True,,True,False,,,,,
01035,43,50.0,,52.7,,47.0,51.0,,,,,63.9,,25.4,45.8,68.0,11.0,,28.9,39.0,,,,,,7.0,,9.7,,4.0,8.0,,,,,20.9,,-17.6,2.8,25.0,-32.0,,-14.1,-4.0,,,,,,,False,,True,False,,,,,False,,False,True,False,False,,False,True,,,,,
01037,18,24.0,,25.7,,17.0,16.0,,,,,22.7,,12.9,13.4,23.0,0.0,,19.4,26.9,,,,,,6.0,,7.7,,-1.0,-2.0,,,,,4.7,,-5.1,-4.6,5.0,-18.0,,1.4,8.9,,,,,,,False,,True,True,,,,,True,,True,True,True,False,,True,False,,,,,
01039,150,100.0,,99.9,,75.0,70.0,,,,,209.1,,20.3,55.7,116.0,11.0,,42.3,78.6,,,,,,-50.0,,-50.1,,-75.0,-80.0,,,,,59.1,,-129.7,-94.3,-34.0,-139.0,,-107.7,-71.4,,,,,,,False,,False,False,,,,,False,,False,False,True,False,,False,False,,,,,
01041,87,70.0,,70.1,,62.0,86.0,,,,,38.2,,24.3,53.7,73.0,24.0,,52.3,72.1,,,,,,-17.0,,-16.9,,-25.0,-1.0,,,,,-48.8,,-62.7,-33.3,-14.0,-63.0,,-34.7,-14.9,,,,,,,True,,False,True,,,,,False,,False,False,True,False,,False,True,,,,,
01043,212,260.0,607.0,285.5,,256.0,245.0,,,,,370.2,,100.7,168.1,235.0,187.0,,243.4,284.1,,,,,,48.0,395.0,73.5,,44.0,33.0,,,,,158.2,,-111.3,-43.9,23.0,-25.0,,31.4,72.1,,,,,,False,False,,True,True,,,,,False,,False,True,True,True,,True,False,,,,,
01045,164,128.0,,167.2,,118.0,60.0,,,,,223.6,,77.2,109.2,151.0,100.0,,60.4,141.9,,,,,,-36.0,,3.2,,-46.0,-104.0,,,,,59.6,,-86.8,-54.8,-13.0,-64.0,,-103.6,-22.1,,,,,,,True,,False,False,,,,,False,,False,False,True,False,,False,True,,,,,
01047,119,106.0,,112.4,,98.0,85.0,,,,,122.3,,36.4,89.7,196.0,75.0,,129.9,84.5,,,,,,-13.0,,-6.6,,-21.0,-34.0,,,,,3.3,,-82.6,-29.3,77.0,-44.0,,10.9,-34.5,,,,,,,True,,False,False,,,,,True,,False,False,False,False,,True,False,,,,,
01049,192,296.0,509.6,307.0,,284.0,279.0,,,,,368.7,,211.2,237.0,340.0,163.0,,231.5,262.9,,,,,,104.0,317.6,115.0,,92.0,87.0,,,,,176.7,,19.2,45.0,148.0,-29.0,,39.5,70.9,,,,,,False,False,,True,True,,,,,False,,True,True,False,True,,True,True,,,,,
01051,236,306.0,563.0,303.8,,284.0,205.0,,,,,286.4,,186.9,214.7,334.0,199.0,,288.3,298.1,,,,,,70.0,327.0,67.8,,48.0,-31.0,,,,,50.4,,-49.1,-21.3,98.0,-37.0,,52.3,62.1,,,,,,False,True,,True,True,,,,,True,,True,True,False,True,,True,True,,,,,
01053,141,246.0,,261.6,,187.0,182.0,,,,,307.9,,150.5,173.3,240.0,97.0,,54.8,184.3,,,,,,105.0,,120.6,,46.0,41.0,,,,,166.9,,9.5,32.3,99.0,-44.0,,-86.2,43.3,,,,,,,False,,True,True,,,,,False,,True,True,True,True,,True,True,,,,,
01055,431,440.0,787.0,444.7,,388.0,340.0,,,,,719.3,,365.2,302.1,456.0,380.0,,348.0,365.2,,,,,,9.0,356.0,13.7,,-43.0,-91.0,,,,,288.3,,-65.8,-128.9,25.0,-51.0,,-83.0,-65.8,,,,,,False,False,,False,False,,,,,False,,False,False,False,False,,False,False,,,,,
01057,78,74.0,,69.4,,64.0,100.0,,,,,77.9,,61.1,61.7,62.0,95.0,,44.7,59.2,,,,,,-4.0,,-8.6,,-14.0,22.0,,,,,-0.1,,-16.9,-16.3,-16.0,17.0,,-33.3,-18.8,,,,,,,False,,False,False,,,,,True,,False,False,False,False,,False,False,,,,,
01059,152,210.0,,219.8,,198.0,247.0,,,,,57.8,,106.3,159.1,235.0,186.0,,226.7,185.7,,,,,,58.0,,67.8,,46.0,95.0,,,,,-94.2,,-45.7,7.1,83.0,34.0,,74.7,33.7,,,,,,,False,,True,False,,,,,False,,True,True,False,True,,False,True,,,,,
01061,116,82.0,,81.9,,80.0,83.0,,,,,138.7,,22.1,58.5,63.0,38.0,,83.1,59.3,,,,,,-34.0,,-34.1,,-36.0,-33.0,,,,,22.7,,-93.9,-57.5,-53.0,-78.0,,-32.9,-56.7,,,,,,,False,,False,True,,,,,True,,False,False,False,False,,True,False,,,,,
01063,21,22.0,,20.3,,17.0,14.0,,,,,19.7,,4.9,14.0,39.0,21.0,,22.2,20.1,,,,,,1.0,,-0.7,,-4.0,-7.0,,,,,-1.3,,-16.1,-7.0,18.0,0.0,,1.2,-0.9,,,,,,,True,,False,False,,,,,False,,False,False,False,True,,False,True,,,,,
01065,45,50.0,,53.4,,49.0,48.0,,,,,37.8,,15.4,43.6,75.0,44.0,,51.7,53.0,,,,,,5.0,,8.4,,4.0,3.0,,,,,-7.2,,-29.6,-1.4,30.0,-1.0,,6.7,8.0,,,,,,,False,,True,True,,,,,False,,False,True,False,True,,False,False,,,,,
01067,64,42.0,,44.8,,36.0,44.0,,,,,53.4,,18.3,42.3,52.0,27.0,,22.3,30.1,,,,,,-22.0,,-19.2,,-28.0,-20.0,,,,,-10.6,,-45.7,-21.7,-12.0,-37.0,,-41.7,-33.9,,,,,,,True,,False,True,,,,,True,,False,True,True,False,,False,False,,,,,
01069,456,222.0,615.5,235.4,,222.0,111.0,,,,,383.3,,125.8,177.0,250.0,21.0,,81.4,639.9,,,,,,-234.0,159.5,-220.6,,-234.0,-345.0,,,,,-72.7,,-330.2,-279.0,-206.0,-435.0,,-374.6,183.9,,,,,,True,True,,False,False,,,,,True,,False,False,True,False,,False,True,,,,,
01071,230,370.0,437.5,386.3,,333.0,619.0,,,,,321.5,,291.4,297.7,296.0,372.0,,313.2,330.0,,,,,,140.0,207.5,156.3,,103.0,389.0,,,,,91.5,,61.4,67.7,66.0,142.0,,83.2,100.0,,,,,,False,False,,True,False,,,,,True,,True,True,True,False,,True,True,,,,,
01073,1706,3008.0,4040.0,2965.1,2702.0,2806.0,3774.0,,,,,2959.6,,2817.4,2249.9,2896.0,2178.0,,2805.8,2708.9,2295.0,,,,,1302.0,2334.0,1259.1,996.0,1100.0,2068.0,,,,,1253.6,,1111.4,543.9,1190.0,472.0,,1099.8,1002.9,589.0,,,,,False,True,True,True,False,,,,,True,,True,True,True,True,,True,True,True,,,,
01075,43,58.0,,65.5,,46.0,68.0,,,,,61.9,,27.0,48.6,52.0,24.0,,39.5,38.7,,,,,,15.0,,22.5,,3.0,25.0,,,,,18.9,,-16.0,5.6,9.0,-19.0,,-3.5,-4.3,,,,,,,False,,True,False,,,,,False,,False,True,True,False,,True,True,,,,,
01077,169,258.0,461.2,243.6,,242.0,216.0,,,,,428.0,,145.0,189.4,242.0,186.0,,176.2,251.8,,,,,,89.0,292.2,74.6,,73.0,47.0,,,,,259.0,,-24.0,20.4,73.0,17.0,,7.2,82.8,,,,,,False,True,,True,True,,,,,False,,True,True,True,True,,True,True,,,,,
01079,57,100.0,,100.0,,98.0,96.0,,,,,145.5,,33.5,68.4,84.0,69.0,,117.3,140.6,,,,,,43.0,,43.0,,41.0,39.0,,,,,88.5,,-23.5,11.4,27.0,12.0,,60.3,83.6,,,,,,,True,,True,True,,,,,False,,True,True,True,True,,False,False,,,,,
01081,480,410.0,1054.2,387.1,,379.0,420.0,,,,,659.4,,367.7,326.9,502.0,163.0,,320.9,343.9,307.0,,,,,-70.0,574.2,-92.9,,-101.0,-60.0,,,,,179.4,,-112.3,-153.1,22.0,-317.0,,-159.1,-136.1,-173.0,,,,,False,False,,False,True,,,,,False,,False,False,True,False,,False,False,False,,,,
01083,222,326.0,670.8,332.8,,310.0,310.0,,,,,375.4,,284.8,283.7,306.0,202.0,,203.5,350.0,,,,,,104.0,448.8,110.8,,88.0,88.0,,,,,153.4,,62.8,61.7,84.0,-20.0,,-18.5,128.0,,,,,,False,False,,True,True,,,,,False,,True,True,True,True,,True,False,,,,,
01085,20,52.0,,52.1,,27.0,14.0,,,,,15.8,,9.3,36.2,89.0,50.0,,20.9,39.2,,,,,,32.0,,32.1,,7.0,-6.0,,,,,-4.2,,-10.7,16.2,69.0,30.0,,0.9,19.2,,,,,,,False,,True,True,,,,,True,,True,True,False,True,,True,True,,,,,
01087,48,60.0,,57.3,,49.0,42.0,,,,,66.6,,20.4,41.5,70.0,56.0,,60.6,61.8,,,,,,12.0,,9.3,,1.0,-6.0,,,,,18.6,,-27.6,-6.5,22.0,8.0,,12.6,13.8,,,,,,,True,,True,True,,,,,False,,False,True,False,True,,False,False,,,,,
01089,585,994.0,2438.1,755.3,947.3,801.0,777.0,,,,,1946.9,,757.3,711.2,1021.0,818.0,,356.8,1060.1,658.0,,,,,409.0,1853.1,170.3,362.3,216.0,192.0,,,,,1361.9,,172.3,126.2,436.0,233.0,,-228.2,475.1,73.0,,,,,False,True,True,True,True,,,,,False,,True,True,False,True,,True,False,True,,,,
01091,60,94.0,,87.2,,74.0,78.0,,,,,59.4,,37.7,59.0,103.0,64.0,,70.6,117.6,,,,,,34.0,,27.2,,14.0,18.0,,,,,-0.6,,-22.3,-1.0,43.0,4.0,,10.6,57.6,,,,,,,True,,True,True,,,,,True,,True,True,False,True,,True,False,,,,,
01093,111,84.0,,80.4,,76.0,53.0,,,,,128.4,,42.1,64.9,102.0,62.0,,74.3,97.5,,,,,,-27.0,,-30.6,,-35.0,-58.0,,,,,17.4,,-68.9,-46.1,-9.0,-49.0,,-36.7,-13.5,,,,,,,False,,False,False,,,,,True,,False,False,True,False,,False,True,,,,,
01095,295,504.0,948.2,524.4,,457.0,457.0,,,,,562.6,,399.3,384.7,587.0,227.0,,428.4,386.9,,,,,,209.0,653.2,229.4,,162.0,162.0,,,,,267.6,,104.3,89.7,292.0,-68.0,,133.4,91.9,,,,,,False,False,,True,True,,,,,False,,True,True,False,True,,True,True,,,,,
01097,1636,2740.0,2769.2,2669.1,2179.7,2202.0,2413.0,,,,,1888.5,,1917.3,1734.2,2096.0,1833.0,,2144.6,3336.7,1860.0,,,,,1104.0,1133.2,1033.1,543.7,566.0,777.0,,,,,252.5,,281.3,98.2,460.0,197.0,,508.6,1700.7,224.0,,,,,False,True,True,True,True,,,,,True,,True,True,True,True,,True,False,True,,,,
01099,45,68.0,,67.5,,60.0,49.0,,,,,92.0,,21.7,48.5,80.0,76.0,,75.8,58.5,,,,,,23.0,,22.5,,15.0,4.0,,,,,47.0,,-23.3,3.5,35.0,31.0,,30.8,13.5,,,,,,,True,,True,True,,,,,False,,False,True,False,False,,False,True,,,,,
01101,734,1032.0,1820.4,1064.0,857.3,1064.0,1063.0,,,,,569.5,,1313.4,1404.0,1402.0,724.0,,908.8,1050.2,1184.0,,,,,298.0,1086.4,330.0,123.3,330.0,329.0,,,,,-164.5,,579.4,670.0,668.0,-10.0,,174.8,316.2,450.0,,,,,False,False,True,False,False,,,,,True,,False,False,False,True,,True,False,False,,,,
01103,263,426.0,748.2,406.2,,396.0,399.0,,,,,536.1,,301.3,324.1,464.0,212.0,,260.4,323.8,,,,,,163.0,485.2,143.2,,133.0,136.0,,,,,273.1,,38.3,61.1,201.0,-51.0,,-2.6,60.8,,,,,,False,True,,True,True,,,,,False,,True,True,False,True,,True,True,,,,,
01105,34,42.0,,48.5,,38.0,47.0,,,,,57.3,,11.0,29.1,67.0,44.0,,16.5,36.7,,,,,,8.0,,14.5,,4.0,13.0,,,,,23.3,,-23.0,-4.9,33.0,10.0,,-17.5,2.7,,,,,,,False,,True,False,,,,,False,,False,True,False,False,,False,True,,,,,
01107,114,66.0,,67.4,,61.0,54.0,,,,,64.2,,50.2,74.1,84.0,46.0,,97.6,50.9,,,,,,-48.0,,-46.6,,-53.0,-60.0,,,,,-49.8,,-63.8,-39.9,-30.0,-68.0,,-16.4,-63.1,,,,,,,True,,False,False,,,,,False,,False,True,True,False,,True,False,,,,,
01109,125,118.0,,111.8,,101.0,104.0,,,,,93.7,,54.3,97.7,136.0,79.0,,89.5,124.6,,,,,,-7.0,,-13.2,,-24.0,-21.0,,,,,-31.3,,-70.7,-27.3,11.0,-46.0,,-35.5,-0.4,,,,,,,False,,False,False,,,,,False,,False,False,False,False,,False,True,,,,,
01111,47,20.0,,24.0,,22.0,9.0,,,,,87.2,,12.6,30.9,61.0,8.0,,9.6,47.9,,,,,,-27.0,,-23.0,,-25.0,-38.0,,,,,40.2,,-34.4,-16.1,14.0,-39.0,,-37.4,0.9,,,,,,,True,,True,False,,,,,False,,False,True,True,False,,False,True,,,,,
01113,144,346.0,457.7,336.7,,341.0,351.0,,,,,252.1,,241.1,227.7,308.0,427.0,,430.3,432.4,,,,,,202.0,313.7,192.7,,197.0,207.0,,,,,108.1,,97.1,83.7,164.0,283.0,,286.3,288.4,,,,,,False,True,,True,False,,,,,True,,True,True,True,False,,False,False,,,,,
01115,252,318.0,577.3,329.3,,312.0,285.0,,,,,472.4,,218.7,242.4,291.0,,,314.9,273.2,,,,,,66.0,325.3,77.3,,60.0,33.0,,,,,220.4,,-33.3,-9.6,39.0,,,62.9,21.2,,,,,,False,False,,True,True,,,,,False,,True,True,True,,,True,True,,,,,
01117,469,612.0,1341.9,611.7,,572.0,584.0,,,,,921.0,,498.6,437.9,638.0,458.0,,316.2,572.3,417.0,,,,,143.0,872.9,142.7,,103.0,115.0,,,,,452.0,,29.6,-31.1,169.0,-11.0,,-152.8,103.3,-52.0,,,,,False,True,,True,True,,,,,False,,True,True,False,True,,False,True,True,,,,
01119,31,0.0,,0.0,,5.0,14.0,,,,,9.6,,0.2,8.1,,9.0,,7.8,6.4,,,,,,-31.0,,-31.0,,-26.0,-17.0,,,,,-21.4,,-30.8,-22.9,,-22.0,,-23.2,-24.6,,,,,,,False,,True,True,,,,,True,,True,True,,True,,True,True,,,,,
01121,288,294.0,671.7,290.1,,290.0,242.0,,,,,486.9,,220.9,238.0,237.0,231.0,,264.1,426.3,,,,,,6.0,383.7,2.1,,2.0,-46.0,,,,,198.9,,-67.1,-50.0,-51.0,-57.0,,-23.9,138.3,,,,,,False,True,,True,False,,,,,False,,False,False,False,False,,False,False,,,,,
01123,85,106.0,,114.6,,91.0,84.0,,,,,117.7,,42.0,78.4,147.0,76.0,,94.2,120.0,,,,,,21.0,,29.6,,6.0,-1.0,,,,,32.7,,-43.0,-6.6,62.0,-9.0,,9.2,35.0,,,,,,,False,,True,True,,,,,False,,False,True,False,True,,True,False,,,,,
01125,809,678.0,741.7,681.1,,598.0,690.0,,,,,639.4,,485.4,456.9,755.0,483.0,,612.2,558.8,576.0,,,,,-131.0,-67.3,-127.9,,-211.0,-119.0,,,,,-169.6,,-323.6,-352.1,-54.0,-326.0,,-196.8,-250.2,-233.0,,,,,True,True,,False,True,,,,,False,,False,False,True,False,,False,False,False,,,,
01127,239,140.0,177.3,133.6,,118.0,77.0,,,,,205.4,,70.1,112.9,243.0,1.0,,67.3,110.2,,,,,,-99.0,-61.7,-105.4,,-121.0,-162.0,,,,,-33.6,,-168.9,-126.1,4.0,-238.0,,-171.7,-128.8,,,,,,True,False,,False,False,,,,,True,,False,False,True,False,,False,False,,,,,
01129,106,164.0,,174.0,,120.0,135.0,,,,,85.1,,106.1,99.3,143.0,0.0,,19.0,142.0,,,,,,58.0,,68.0,,14.0,29.0,,,,,-20.9,,0.1,-6.7,37.0,-106.0,,-87.0,36.0,,,,,,,False,,True,True,,,,,True,,True,True,True,False,,False,True,,,,,
01131,53,52.0,,45.8,,44.0,42.0,,,,,29.0,,24.0,45.0,78.0,20.0,,52.6,44.8,,,,,,-1.0,,-7.2,,-9.0,-11.0,,,,,-24.0,,-29.0,-8.0,25.0,-33.0,,-0.4,-8.2,,,,,,,False,,False,False,,,,,False,,False,False,False,False,,True,False,,,,,
01133,60,48.0,,44.9,,47.0,45.0,,,,,104.0,,28.9,54.3,79.0,31.0,,76.4,36.7,,,,,,-12.0,,-15.1,,-13.0,-15.0,,,,,44.0,,-31.1,-5.7,19.0,-29.0,,16.4,-23.3,,,,,,,False,,False,False,,,,,False,,False,True,False,False,,False,False,,,,,
02013,0,2.0,,2.1,,2.0,0.0,,,,,6.7,,,0.2,0.0,1.0,,0.3,,,,,,,2.0,,2.1,,2.0,0.0,,,,,6.7,,,0.2,0.0,1.0,,0.3,,,,,,,,False,,False,True,,,,,False,,,True,True,True,,True,,,,,,
02016,1,0.0,,0.0,,0.0,0.0,,,,,7.7,,,0.4,,3.0,,1.7,,,,,,,-1.0,,-1.0,,-1.0,-1.0,,,,,6.7,,,-0.6,,2.0,,0.7,,,,,,,,False,,False,False,,,,,False,,,True,,False,,True,,,,,,
02020,586,662.0,1135.5,552.5,,593.0,398.0,,,,,1546.0,,453.4,557.5,637.0,592.0,,440.4,982.4,638.0,,,,,76.0,549.5,-33.5,,7.0,-188.0,,,,,960.0,,-132.6,-28.5,51.0,6.0,,-145.6,396.4,52.0,,,,,False,True,,True,False,,,,,False,,False,True,True,True,,False,False,True,,,,
02050,16,4.0,,4.1,,0.0,0.0,,,,,4.3,,0.5,0.5,,4.0,,3.2,,,,,,,-12.0,,-11.9,,-16.0,-16.0,,,,,-11.7,,-15.5,-15.5,,-12.0,,-12.8,,,,,,,,True,,False,False,,,,,True,,False,False,,False,,False,,,,,,
02060,0,6.0,,5.4,,3.0,0.0,,,,,0.0,,1.2,1.5,,9.0,,4.7,5.3,,,,,,6.0,,5.4,,3.0,0.0,,,,,0.0,,1.2,1.5,,9.0,,4.7,5.3,,,,,,,True,,True,True,,,,,True,,True,True,,False,,True,True,,,,,
02068,1,0.0,,0.5,,0.0,0.0,,,,,1.3,,,0.0,0.0,,,0.0,,,,,,,-1.0,,-0.5,,-1.0,-1.0,,,,,0.3,,,-1.0,-1.0,,,-1.0,,,,,,,,True,,False,False,,,,,True,,,True,False,,,False,,,,,,
02070,4,0.0,,0.1,,0.0,0.0,,,,,2.9,,0.0,0.1,0.0,0.0,,0.0,,,,,,,-4.0,,-3.9,,-4.0,-4.0,,,,,-1.1,,-4.0,-3.9,-4.0,-4.0,,-4.0,,,,,,,,True,,False,False,,,,,True,,True,True,False,False,,False,,,,,,
