,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Illinois,57916,38455.0,,39932.9,1034.0,44077.3,39491.0,92631.9,44686.7,26440.4,48954.7,56508.3,45141.6,-19461.0,,-17983.1,-56882.0,-13838.7,-18425.0,34715.9,-13229.3,-31475.6,-8961.3,-1407.7,-12774.4,,True,False,True,True,False,True,False,True,True,True
Indiana,29663,22875.0,,26365.6,5545.0,37929.9,21903.0,36233.5,60289.4,20485.4,47289.7,72789.6,24520.0,-6788.0,,-3297.4,-24118.0,8266.9,-7760.0,6570.5,30626.4,-9177.6,17626.7,43126.6,-5143.0,,True,False,False,False,True,False,False,False,False,True
Iowa,17683,18275.0,,26512.8,4528.0,15900.7,13606.0,19433.0,23605.1,13508.1,17595.6,15397.1,28785.9,592.0,,8829.8,-13155.0,-1782.3,-4077.0,1750.0,5922.1,-4174.9,-87.4,-2285.9,11102.9,,False,False,False,False,False,False,False,True,False,False
Kansas,15695,15030.0,,26542.7,2879.0,4270.7,14246.0,15624.4,51482.0,9874.8,16236.7,10738.4,49325.2,-665.0,,10847.7,-12816.0,-11424.3,-1449.0,-70.6,35787.0,-5820.2,541.7,-4956.6,33630.2,,False,False,False,False,True,False,False,True,False,False
Kentucky,20882,15315.0,,17946.2,11770.0,22822.3,15616.0,26997.7,66867.3,25472.9,29540.9,105278.7,6752.4,-5567.0,,-2935.8,-9112.0,1940.3,-5266.0,6115.7,45985.3,4590.9,8658.9,84396.7,-14129.6,,True,False,True,True,False,False,True,False,False,False
Louisiana,53130,58935.0,,93300.9,36366.0,70713.0,76170.0,39211.5,206383.9,70237.7,172071.2,47629.7,29778.0,5805.0,,40170.9,-16764.0,17583.0,23040.0,-13918.5,153253.9,17107.7,118941.2,-5500.3,-23352.0,,False,False,False,False,False,False,False,False,True,False
Maine,674,625.0,,397.2,375.0,1650.1,145.0,2042.8,404.0,550.8,609.8,469.9,1875.0,-49.0,,-276.8,-299.0,976.1,-529.0,1368.8,-270.0,-123.2,-64.2,-204.1,1201.0,,False,False,False,False,False,False,False,False,False,False
Maryland,26317,23695.0,,14108.0,3210.0,35181.4,14268.0,21217.9,31884.1,18884.1,49753.7,66240.3,23621.4,-2622.0,,-12209.0,-23107.0,8864.4,-12049.0,-5099.1,5567.1,-7432.9,23436.7,39923.3,-2695.6,,False,False,False,False,False,False,False,False,False,False
Massachusetts,9969,9200.0,,6541.6,497.0,55070.2,5920.0,14008.5,11163.9,5773.9,12109.4,12676.8,9720.1,-769.0,,-3427.4,-9472.0,45101.2,-4049.0,4039.5,1194.9,-4195.1,2140.4,2707.8,-248.9,,False,False,False,False,False,False,False,False,False,True
Michigan,24706,24840.0,,27863.6,4622.0,55396.0,30206.0,66446.2,85491.6,16181.9,44937.4,39912.3,49238.4,134.0,,3157.6,-20084.0,30690.0,5500.0,41740.2,60785.6,-8524.1,20231.4,15206.3,24532.4,,False,False,False,False,False,False,False,False,False,False
Minnesota,23397,19495.0,,19688.4,5250.0,7283.0,25472.0,26062.4,42758.2,15556.5,21993.5,24934.0,6733.5,-3902.0,,-3708.6,-18147.0,-16114.0,2075.0,2665.4,19361.2,-7840.5,-1403.5,1537.0,-16663.5,,True,False,False,True,True,False,False,True,True,False
Mississippi,35422,32135.0,,35790.6,18172.0,85651.9,29106.0,24013.8,63191.9,24188.1,32005.1,36048.1,28959.2,-3287.0,,368.6,-17250.0,50229.9,-6316.0,-11408.2,27769.9,-11233.9,-3416.9,626.1,-6462.8,,True,False,False,False,False,False,False,False,True,False
Missouri,42248,25490.0,,31440.5,16726.0,21843.2,22343.0,32229.1,60384.1,23833.5,46985.1,48668.6,20077.5,-16758.0,,-10807.5,-25522.0,-20404.8,-19905.0,-10018.9,18136.1,-18414.5,4737.1,6420.6,-22170.5,,True,False,False,False,True,False,False,True,True,False
Montana,3905,3970.0,,8406.7,2166.0,7122.1,5084.0,4412.6,43833.1,3810.5,3956.8,2712.9,12405.9,65.0,,4501.7,-1739.0,3217.1,1179.0,507.6,39928.1,-94.5,51.8,-1192.1,8500.9,,False,False,False,False,False,False,False,True,False,False
Nebraska,9299,7415.0,,5159.3,629.0,743.0,7240.0,12621.5,4298.5,3551.1,8294.1,4920.5,4626.7,-1884.0,,-4139.7,-8670.0,-8556.0,-2059.0,3322.5,-5000.5,-5747.9,-1004.9,-4378.5,-4672.3,,False,False,False,False,False,False,False,True,False,False
Nevada,30592,38195.0,,62307.4,27960.0,112737.3,32703.0,23859.9,97088.5,39786.1,42436.6,60055.6,48474.1,7603.0,,31715.4,-2632.0,82145.3,2111.0,-6732.1,66496.5,9194.1,11844.6,29463.6,17882.1,,False,True,False,True,True,False,False,False,False,False
New Hampshire,906,820.0,,196.1,129.0,2370.1,578.0,2960.0,206.9,454.9,584.7,942.7,359.9,-86.0,,-709.9,-777.0,1464.1,-328.0,2054.0,-699.1,-451.1,-321.3,36.7,-546.1,,False,False,False,False,False,False,False,False,True,False
New Jersey,12563,9275.0,,8338.2,451.0,115388.1,8579.0,26433.3,3718.6,3345.8,5037.4,3833.5,17540.7,-3288.0,,-4224.8,-12112.0,102825.1,-3984.0,13870.3,-8844.4,-9217.2,-7525.6,-8729.5,4977.7,,False,False,False,False,False,False,False,False,False,False
New Mexico,7566,9815.0,,10670.9,3584.0,21167.0,9429.0,13029.2,14854.8,6970.3,10705.3,8878.6,15163.4,2249.0,,3104.9,-3982.0,13601.0,1863.0,5463.2,7288.8,-595.7,3139.3,1312.6,7597.4,,False,False,False,True,False,False,True,False,True,False
New York,22860,26380.0,,21154.1,1722.0,103433.0,12826.0,99260.4,12621.5,14112.4,35454.5,24193.6,43073.7,3520.0,,-1705.9,-21138.0,80573.0,-10034.0,76400.4,-10238.5,-8747.6,12594.5,1333.6,20213.7,,True,False,False,False,False,False,False,False,True,False
North Carolina,58395,70930.0,,64945.7,93211.0,31367.4,82700.0,67531.0,114417.8,47280.5,82801.5,63843.8,57131.6,12535.0,,6550.7,34816.0,-27027.6,24305.0,9136.0,56022.8,-11114.5,24406.5,5448.8,-1263.4,,True,False,False,False,True,False,True,False,True,True
North Dakota,4829,3320.0,,4175.7,302.0,8246.3,2994.0,3474.6,2617.2,2803.1,6314.5,7619.1,5303.5,-1509.0,,-653.3,-4527.0,3417.3,-1835.0,-1354.4,-2211.8,-2025.9,1485.5,2790.1,474.5,,True,False,False,False,True,False,False,True,False,True
Ohio,40344,48035.0,,56943.9,21222.0,51372.9,43301.0,49617.1,94513.8,32275.0,55127.2,52889.7,98900.7,7691.0,,16599.9,-19122.0,11028.9,2957.0,9273.1,54169.8,-8069.0,14783.2,12545.7,58556.7,,False,False,False,True,False,False,False,False,False,False
Oklahoma,27542,26390.0,,34388.8,17801.0,20277.1,42385.0,26969.6,103844.9,12880.8,22213.9,9006.6,27438.1,-1152.0,,6846.8,-9741.0,-7264.9,14843.0,-572.4,76302.9,-14661.2,-5328.1,-18535.4,-103.9,,False,False,False,False,True,False,False,False,False,True
Oregon,10561,11490.0,,13422.1,10320.0,10273.7,10952.0,22650.2,36169.1,10889.7,11523.9,21310.6,18857.0,929.0,,2861.1,-241.0,-287.3,391.0,12089.2,25608.1,328.7,962.9,10749.6,8296.0,,False,True,True,True,False,False,True,False,False,False
Pennsylvania,28380,27820.0,,34043.1,3318.0,47335.9,18150.0,39136.2,63318.5,16744.0,32395.2,27067.2,42614.6,-560.0,,5663.1,-25062.0,18955.9,-10230.0,10756.2,34938.5,-11636.0,4015.2,-1312.8,14234.6,,False,False,False,False,False,False,False,False,False,False
Rhode Island,3229,2405.0,,1782.7,105.0,1970.8,6019.0,384.9,607.2,796.0,1841.1,2523.5,559.7,-824.0,,-1446.3,-3124.0,-1258.2,2790.0,-2844.1,-2621.8,-2433.0,-1387.9,-705.5,-2669.3,,False,False,False,False,False,False,False,False,True,False
South Carolina,43683,64565.0,,90172.1,33706.0,133878.2,64389.0,46050.5,79202.4,67324.7,57757.7,64181.7,67240.2,20882.0,,46489.1,-9977.0,90195.2,20706.0,2367.5,35519.4,23641.7,14074.7,20498.7,23557.2,,False,True,False,True,True,False,False,True,True,False
South Dakota,3273,2040.0,,1640.8,719.0,4518.4,1805.0,2594.6,1765.7,1458.6,7581.3,2036.9,3145.4,-1233.0,,-1632.2,-2554.0,1245.4,-1468.0,-678.4,-1507.3,-1814.4,4308.3,-1236.1,-127.6,,False,False,False,False,True,False,False,False,False,True
Tennessee,65747,76650.0,,91270.1,71509.0,50027.9,65866.0,50873.4,208549.5,53462.2,76910.4,72001.3,75496.4,10903.0,,25523.1,5762.0,-15719.1,119.0,-14873.6,142802.5,-12284.8,11163.4,6254.3,9749.4,,False,True,False,True,False,False,False,False,True,True
Texas,264525,363455.0,,486438.5,355984.0,1087210.4,497190.0,255170.5,1338667.2,231498.5,340614.4,218345.6,211640.7,98930.0,,221913.5,91459.0,822685.4,232665.0,-9354.5,1074142.2,-33026.5,76089.4,-46179.4,-52884.3,,False,True,False,False,True,False,True,True,True,True
Utah,15482,22385.0,,21027.2,25489.0,46642.4,18800.0,15956.4,48052.4,21070.7,21662.8,31184.2,12841.4,6903.0,,5545.2,10007.0,31160.4,3318.0,474.4,32570.4,5588.7,6180.8,15702.2,-2640.6,,True,False,False,True,True,False,True,True,False,True
Vermont,215,275.0,,94.7,15.0,10.2,205.0,936.2,433.3,191.6,285.1,395.5,186.4,60.0,,-120.3,-200.0,-204.8,-10.0,721.2,218.3,-23.4,70.1,180.5,-28.6,,False,False,False,True,False,False,True,False,False,True
Virginia,35699,32955.0,,26706.4,12287.0,79950.4,27799.0,47664.1,93279.5,24273.4,44962.0,61022.8,4911.1,-2744.0,,-8992.6,-23412.0,44251.4,-7900.0,11965.1,57580.5,-11425.6,9263.0,25323.8,-30787.9,,False,False,False,False,False,False,False,False,False,False
Washington,24569,34040.0,,32165.1,18053.0,47301.7,26451.0,26827.7,63295.4,24414.9,35473.6,50563.4,39491.0,9471.0,,7596.1,-6516.0,22732.7,1882.0,2258.7,38726.4,-154.1,10904.6,25994.4,14922.0,,True,True,False,True,True,False,True,False,False,False
West Virginia,4291,3740.0,,9034.1,3416.0,721.3,2591.0,7369.3,9452.6,2579.3,4701.2,2458.1,13421.4,-551.0,,4743.1,-875.0,-3569.7,-1700.0,3078.3,5161.6,-1711.7,410.2,-1832.9,9130.4,,False,False,False,False,False,False,False,True,False,False
Wisconsin,28524,29030.0,,33895.5,12771.0,5870.7,25182.0,40206.8,92363.2,23672.2,42892.6,37235.3,40148.4,506.0,,5371.5,-15753.0,-22653.3,-3342.0,11682.8,63839.2,-4851.8,14368.6,8711.3,11624.4,,False,False,False,False,False,False,False,False,False,False
Wyoming,1443,1345.0,,2032.2,772.0,13.9,1382.0,2358.0,3628.3,879.7,1656.2,865.0,1052.5,-98.0,,589.2,-671.0,-1429.1,-61.0,915.0,2185.3,-563.3,213.2,-578.0,-390.5,,False,False,False,True,False,False,False,False,False,False
US,1950226,2327440.0,2024987.0,3011672.8,1807416.0,3766715.5,2632570.0,2048700.6,,1637118.9,2647742.5,2066057.2,2949702.9,377214.0,74761.0,1061446.8,-142810.0,1816489.5,682344.0,98474.6,,-313107.1,697516.5,115831.2,999476.9,True,False,True,False,False,True,,True,False,True,False
