,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01021,496,520.0,,1226.0,,,,,572.0,463.1,1319.9,,,,,24.0,,730.0,,,,,76.0,-32.9,823.9,,,,,,False,,,,,False,False,False,,,,
01023,69,115.0,,0.0,,,,,117.0,63.1,37.3,,,,,46.0,,-69.0,,,,,48.0,-5.9,-31.7,,,,,,False,,,,,False,True,True,,,,
01025,513,320.0,,528.0,,,,,365.0,252.9,360.8,,,,,-193.0,,15.0,,,,,-148.0,-260.1,-152.2,,,,,,True,,,,,True,False,True,,,,
01027,209,115.0,,4.0,,,,,57.0,92.1,110.7,,,,,-94.0,,-205.0,,,,,-152.0,-116.9,-98.3,,,,,,False,,,,,False,False,False,,,,
01029,104,150.0,,234.0,,,,,64.0,67.4,69.7,,,,,46.0,,130.0,,,,,-40.0,-36.6,-34.3,,,,,,False,,,,,True,True,True,,,,
01031,380,475.0,283.8,1678.0,,,,,788.0,466.1,544.4,,,,,95.0,-96.2,1298.0,,,,,408.0,86.1,164.4,,,,,False,False,,,,,False,True,False,,,,
01033,635,1035.0,776.2,2688.0,,,,,621.0,659.8,1174.5,,,,,400.0,141.2,2053.0,,,,,-14.0,24.8,539.5,,,,,True,False,,,,,True,True,False,,,,
01035,142,245.0,,58.0,,,,,147.0,231.1,127.2,61.0,,,,103.0,,-84.0,,,,,5.0,89.1,-14.8,-81.0,,,,,True,,,,,True,True,True,True,,,
01037,44,20.0,,16.0,,,,,25.0,36.2,70.4,,,,,-24.0,,-28.0,,,,,-19.0,-7.8,26.4,,,,,,False,,,,,True,True,False,,,,
01039,297,530.0,,795.0,,,,,621.0,700.5,703.6,246.9,,,,233.0,,498.0,,,,,324.0,403.5,406.6,-50.1,,,,,False,,,,,False,False,False,True,,,
01041,216,120.0,,144.0,,,,,123.0,58.8,45.3,28.9,,,,-96.0,,-72.0,,,,,-93.0,-157.2,-170.7,-187.1,,,,,True,,,,,True,False,False,False,,,
01043,587,1015.0,883.7,1313.0,,,,,1457.0,1161.5,449.0,753.0,1021.1,,,428.0,296.7,726.0,,,,,870.0,574.5,-138.0,166.0,434.1,,,True,False,,,,,False,False,True,True,False,,
01045,451,560.0,,1412.0,,,,,641.0,669.3,772.4,349.4,,,,109.0,,961.0,,,,,190.0,218.3,321.4,-101.6,,,,,False,,,,,False,False,False,True,,,
01047,304,525.0,,419.0,,,,,550.0,531.4,327.2,136.5,,,,221.0,,115.0,,,,,246.0,227.4,23.2,-167.5,,,,,True,,,,,False,False,True,True,,,
01049,705,1650.0,1493.0,2330.0,,,,,1573.0,525.6,1277.4,701.5,1347.5,,,945.0,788.0,1625.0,,,,,868.0,-179.4,572.4,-3.5,642.5,,,True,False,,,,,True,True,True,True,True,,
01051,687,965.0,1370.5,1789.0,,,,,974.0,954.2,964.7,389.3,1535.3,,,278.0,683.5,1102.0,,,,,287.0,267.2,277.7,-297.7,848.3,,,False,False,,,,,False,True,True,False,False,,
01053,575,570.0,,525.0,,,,,754.0,684.0,403.1,198.8,,,,-5.0,,-50.0,,,,,179.0,109.0,-171.9,-376.2,,,,,False,,,,,False,False,False,False,,,
01055,1215,1565.0,1488.5,1554.0,,,,,1771.0,1092.2,1603.0,912.1,1015.7,,,350.0,273.5,339.0,,,,,556.0,-122.8,388.0,-302.9,-199.3,,,True,True,,,,,False,True,False,True,True,,
01057,148,175.0,,187.0,,,,,101.0,149.5,253.9,93.7,,,,27.0,,39.0,,,,,-47.0,1.5,105.9,-54.3,,,,,False,,,,,False,True,False,False,,,
01059,412,395.0,,439.0,,,,,625.0,243.5,223.4,73.5,,,,-17.0,,27.0,,,,,213.0,-168.5,-188.6,-338.5,,,,,False,,,,,False,False,False,False,,,
01061,211,190.0,,897.0,,,,,405.0,221.4,152.1,131.4,,,,-21.0,,686.0,,,,,194.0,10.4,-58.9,-79.6,,,,,False,,,,,False,True,False,False,,,
01063,52,110.0,,69.0,,,,,51.0,69.0,55.7,2.7,,,,58.0,,17.0,,,,,-1.0,17.0,3.7,-49.3,,,,,True,,,,,True,True,True,True,,,
01065,122,225.0,,375.0,,,,,169.0,94.2,61.6,85.2,,,,103.0,,253.0,,,,,47.0,-27.8,-60.4,-36.8,,,,,False,,,,,True,True,True,True,,,
01067,120,140.0,,289.0,,,,,119.0,103.9,85.9,51.7,,,,20.0,,169.0,,,,,-1.0,-16.1,-34.1,-68.3,,,,,False,,,,,True,True,False,False,,,
01069,952,940.0,979.8,2239.0,,,,,1647.0,917.4,1317.8,681.7,1279.7,,,-12.0,27.8,1287.0,,,,,695.0,-34.6,365.8,-270.3,327.7,,,False,False,,,,,False,False,False,False,False,,
01071,662,640.0,739.6,982.0,,,,,673.0,539.1,572.8,459.1,,,,-22.0,77.6,320.0,,,,,11.0,-122.9,-89.2,-202.9,,,,False,False,,,,,True,False,False,False,,,
01073,6179,9835.0,12177.4,17023.0,,,,,13653.0,5997.0,12873.0,6304.7,14475.8,,,3656.0,5998.4,10844.0,,,,,7474.0,-182.0,6694.0,125.7,8296.8,,,False,False,,,,,False,True,False,True,False,,
01075,143,150.0,,0.0,,,,,103.0,129.2,345.2,86.3,,,,7.0,,-143.0,,,,,-40.0,-13.8,202.2,-56.7,,,,,False,,,,,False,False,False,False,,,
01077,590,810.0,877.3,1594.0,,,,,1099.0,924.8,803.4,683.6,,,,220.0,287.3,1004.0,,,,,509.0,334.8,213.4,93.6,,,,False,False,,,,,False,False,True,True,,,
01079,213,290.0,,575.0,,,,,285.0,282.8,264.6,197.4,,,,77.0,,362.0,,,,,72.0,69.8,51.6,-15.6,,,,,False,,,,,True,True,True,True,,,
01081,957,1940.0,1817.3,3350.0,,,,,2309.0,694.9,2335.0,1147.3,1772.3,,,983.0,860.3,2393.0,,,,,1352.0,-262.1,1378.0,190.3,815.3,,,True,False,,,,,False,True,False,True,True,,
01083,708,960.0,814.8,1569.0,,,,,1259.0,927.2,1318.3,855.7,,,,252.0,106.8,861.0,,,,,551.0,219.2,610.3,147.7,,,,True,False,,,,,False,True,False,True,,,
01085,79,150.0,,256.0,,,,,73.0,61.6,16.8,3.5,,,,71.0,,177.0,,,,,-6.0,-17.4,-62.2,-75.5,,,,,False,,,,,True,True,True,False,,,
01087,125,165.0,,343.0,,,,,98.0,198.6,51.9,89.4,,,,40.0,,218.0,,,,,-27.0,73.6,-73.1,-35.6,,,,,False,,,,,True,False,False,True,,,
01089,2559,6020.0,4667.3,5348.0,,,,,4955.0,3278.8,8408.7,3689.3,7350.7,,,3461.0,2108.3,2789.0,,,,,2396.0,719.8,5849.7,1130.3,4791.7,,,True,True,,,,,True,True,False,True,False,,
01091,194,305.0,,541.0,,,,,272.0,132.4,229.4,96.7,,,,111.0,,347.0,,,,,78.0,-61.6,35.4,-97.3,,,,,False,,,,,True,True,True,True,,,
01093,240,670.0,,1909.0,,,,,346.0,296.7,921.0,224.2,,,,430.0,,1669.0,,,,,106.0,56.7,681.0,-15.8,,,,,False,,,,,True,True,False,True,,,
01095,1125,1790.0,1776.7,2279.0,,,,,2260.0,1456.2,1555.9,748.2,1124.3,,,665.0,651.7,1154.0,,,,,1135.0,331.2,430.9,-376.8,-0.7,,,True,False,,,,,False,True,True,True,True,,
01097,5611,5730.0,3010.9,10365.0,,,,,7693.0,2316.6,7251.7,2154.7,11208.0,,,119.0,-2600.1,4754.0,,,,,2082.0,-3294.4,1640.7,-3456.3,5597.0,,,False,False,,,,,False,False,False,False,False,,
01099,140,275.0,,239.0,,,,,250.0,282.5,62.2,112.7,,,,135.0,,99.0,,,,,110.0,142.5,-77.8,-27.3,,,,,True,,,,,True,False,True,True,,,
01101,2422,2775.0,1157.0,4970.0,,,,,4090.0,1492.2,1535.5,1267.8,2305.9,,,353.0,-1265.0,2548.0,,,,,1668.0,-929.8,-886.5,-1154.2,-116.1,,,False,False,,,,,False,False,False,False,True,,
01103,990,1765.0,1410.5,3224.0,,,,,2008.0,1559.7,1175.4,802.7,,,,775.0,420.5,2234.0,,,,,1018.0,569.7,185.4,-187.3,,,,True,False,,,,,False,True,True,True,,,
01105,157,380.0,,0.0,,,,,62.0,193.3,414.8,42.4,,,,223.0,,-157.0,,,,,-95.0,36.3,257.8,-114.6,,,,,True,,,,,True,True,False,True,,,
01107,193,150.0,,226.0,,,,,211.0,154.2,80.3,124.3,,,,-43.0,,33.0,,,,,18.0,-38.8,-112.7,-68.7,,,,,True,,,,,True,True,False,False,,,
01109,242,305.0,,550.0,,,,,486.0,222.2,90.3,127.7,,,,63.0,,308.0,,,,,244.0,-19.8,-151.7,-114.3,,,,,False,,,,,False,True,False,False,,,
01111,131,210.0,,450.0,,,,,193.0,170.7,162.1,124.5,,,,79.0,,319.0,,,,,62.0,39.7,31.1,-6.5,,,,,False,,,,,True,True,True,True,,,
01113,608,1050.0,1028.0,2208.0,,,,,563.0,422.5,1021.5,389.9,,,,442.0,420.0,1600.0,,,,,-45.0,-185.5,413.5,-218.1,,,,True,False,,,,,True,True,True,True,,,
01115,751,1250.0,957.9,1714.0,,,,,1018.0,728.4,1309.1,889.0,,,,499.0,206.9,963.0,,,,,267.0,-22.6,558.1,138.0,,,,True,False,,,,,True,True,False,True,,,
01117,1477,2530.0,2498.7,4959.0,,,,,2793.0,1221.4,3550.6,1769.1,3160.8,,,1053.0,1021.7,3482.0,,,,,1316.0,-255.6,2073.6,292.1,1683.8,,,True,False,,,,,False,True,False,True,False,,
01119,80,120.0,,65.0,,,,,141.0,28.9,14.0,6.3,,,,40.0,,-15.0,,,,,61.0,-51.1,-66.0,-73.7,,,,,True,,,,,False,False,False,False,,,
01121,646,890.0,643.4,2245.0,,,,,977.0,685.0,1463.0,646.6,822.4,,,244.0,-2.6,1599.0,,,,,331.0,39.0,817.0,0.6,176.4,,,True,False,,,,,False,True,False,True,True,,
01123,228,310.0,,569.0,,,,,456.0,190.9,230.9,109.2,,,,82.0,,341.0,,,,,228.0,-37.1,2.9,-118.8,,,,,False,,,,,False,True,True,False,,,
01125,1701,2180.0,3158.2,3028.0,,,,,3740.0,1453.1,2545.5,1107.3,1807.6,,,479.0,1457.2,1327.0,,,,,2039.0,-247.9,844.5,-593.7,106.6,,,False,False,,,,,False,True,False,False,True,,
01127,480,825.0,551.0,1064.0,,,,,1146.0,1041.0,337.4,338.7,1454.2,,,345.0,71.0,584.0,,,,,666.0,561.0,-142.6,-141.3,974.2,,,True,False,,,,,False,False,True,True,False,,
01129,285,285.0,,570.0,,,,,222.0,112.6,172.8,77.5,,,,0.0,,285.0,,,,,-63.0,-172.4,-112.2,-207.5,,,,,False,,,,,False,False,False,False,,,
01131,127,190.0,,0.0,,,,,77.0,78.4,40.0,46.5,,,,63.0,,-127.0,,,,,-50.0,-48.6,-87.0,-80.5,,,,,False,,,,,True,True,False,False,,,
01133,158,225.0,,236.0,,,,,258.0,321.6,103.1,151.3,,,,67.0,,78.0,,,,,100.0,163.6,-54.9,-6.7,,,,,False,,,,,False,False,True,True,,,
02013,2,0.0,,0.0,,,,,,25.6,,,,,,-2.0,,-2.0,,,,,,23.6,,,,,,,False,,,,,,False,,,,,
02016,78,0.0,,0.0,,,,,,96.0,,,,,,-78.0,,-78.0,,,,,,18.0,,,,,,,False,,,,,,True,,,,,
02020,1858,995.0,942.6,1418.0,,,,,,1223.8,869.1,1116.2,1031.1,,,-863.0,-915.4,-440.0,,,,,,-634.2,-988.9,-741.8,-826.9,,,False,True,,,,,,True,False,True,True,,
02050,22,15.0,,0.0,,,,,,3.5,2.7,,,,,-7.0,,-22.0,,,,,,-18.5,-19.3,,,,,,False,,,,,,False,False,,,,
02060,0,10.0,,0.0,,,,,,26.8,0.7,,,,,10.0,,0.0,,,,,,26.8,0.7,,,,,,True,,,,,,False,True,,,,
02068,2,0.0,,0.0,,,,,,15.2,,,,,,-2.0,,-2.0,,,,,,13.2,,,,,,,False,,,,,,False,,,,,
02070,5,5.0,,0.0,,,,,,102.5,0.1,,,,,0.0,,-5.0,,,,,,97.5,-4.9,,,,,,False,,,,,,False,False,,,,
02090,259,380.0,157.3,442.0,,,,,,380.4,339.5,289.9,,,,121.0,-101.7,183.0,,,,,,121.4,80.5,30.9,,,,True,False,,,,,,False,True,True,,,
02100,1,5.0,,0.0,,,,,,17.1,,,,,,4.0,,-1.0,,,,,,16.1,,,,,,,True,,,,,,False,,,,,
02105,0,0.0,,0.0,,,,,,10.9,,,,,,0.0,,0.0,,,,,,10.9,,,,,,,True,,,,,,False,,,,,
02110,176,50.0,,0.0,,,,,,97.7,23.9,,,,,-126.0,,-176.0,,,,,,-78.3,-152.1,,,,,,False,,,,,,True,False,,,,
02122,318,210.0,279.8,0.0,,,,,,324.7,61.6,234.9,,,,-108.0,-38.2,-318.0,,,,,,6.7,-256.4,-83.1,,,,True,False,,,,,,True,False,True,,,
02130,23,5.0,,0.0,,,,,,4.1,4.6,,,,,-18.0,,-23.0,,,,,,-18.9,-18.4,,,,,,False,,,,,,False,False,,,,
02150,43,5.0,,0.0,,,,,,29.6,0.3,,,,,-38.0,,-43.0,,,,,,-13.4,-42.7,,,,,,False,,,,,,True,False,,,,
02158,5,5.0,,0.0,,,,,,,,,,,,0.0,,-5.0,,,,,,,,,,,,,False,,,,,,,,,,,
02164,11,0.0,,0.0,,,,,,0.0,,,,,,-11.0,,-11.0,,,,,,-11.0,,,,,,,False,,,,,,False,,,,,
02170,258,200.0,216.5,0.0,,,,,,660.6,112.0,255.3,,,,-58.0,-41.5,-258.0,,,,,,402.6,-146.0,-2.7,,,,True,False,,,,,,False,False,True,,,
02180,15,15.0,,0.0,,,,,,2.5,2.6,,,,,0.0,,-15.0,,,,,,-12.5,-12.4,,,,,,False,,,,,,False,False,,,,
02185,30,10.0,,0.0,,,,,,6.4,0.4,,,,,-20.0,,-30.0,,,,,,-23.6,-29.6,,,,,,False,,,,,,False,False,,,,
02188,55,10.0,,0.0,,,,,,8.5,0.7,,,,,-45.0,,-55.0,,,,,,-46.5,-54.3,,,,,,False,,,,,,False,False,,,,
02195,2,0.0,,0.0,,,,,,7.1,0.5,,,,,-2.0,,-2.0,,,,,,5.1,-1.5,,,,,,False,,,,,,False,True,,,,
02198,18,0.0,,0.0,,,,,,8.2,0.1,,,,,-18.0,,-18.0,,,,,,-9.8,-17.9,,,,,,False,,,,,,True,True,,,,
02220,26,10.0,,0.0,,,,,,4.0,1.7,,,,,-16.0,,-26.0,,,,,,-22.0,-24.3,,,,,,False,,,,,,False,False,,,,
02230,0,0.0,,0.0,,,,,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,True,,,,,,True,,,,,
02240,10,0.0,,0.0,,,,,,2.0,1.9,,,,,-10.0,,-10.0,,,,,,-8.0,-8.1,,,,,,False,,,,,,True,True,,,,
02261,62,65.0,,0.0,,,,,,0.0,,,,,,3.0,,-62.0,,,,,,-62.0,,,,,,,False,,,,,,False,,,,,
02275,6,0.0,,0.0,,,,,,18.0,,,,,,-6.0,,-6.0,,,,,,12.0,,,,,,,False,,,,,,False,,,,,
02282,12,0.0,,0.0,,,,,,0.0,,,,,,-12.0,,-12.0,,,,,,-12.0,,,,,,,False,,,,,,False,,,,,
02290,49,60.0,,0.0,,,,,,6.4,17.8,,,,,11.0,,-49.0,,,,,,-42.6,-31.2,,,,,,False,,,,,,False,False,,,,
04001,567,920.0,1505.9,1067.0,,,,,759.0,431.3,285.9,56.1,870.4,,,353.0,938.9,500.0,,,,,192.0,-135.7,-281.1,-510.9,303.4,,,False,False,,,,,True,True,True,False,True,,
04003,580,985.0,1184.0,1202.0,,,,,916.0,1893.7,496.3,746.6,,,,405.0,604.0,622.0,,,,,336.0,1313.7,-83.7,166.6,,,,False,False,,,,,True,False,True,True,,,
04005,598,1100.0,1698.1,1196.0,,,,,1244.0,625.9,655.3,602.5,3477.6,,,502.0,1100.1,598.0,,,,,646.0,27.9,57.3,4.5,2879.6,,,False,False,,,,,False,True,True,True,False,,
04007,534,560.0,630.6,2549.0,,,,,295.0,923.5,666.4,246.1,,,,26.0,96.6,2015.0,,,,,-239.0,389.5,132.4,-287.9,,,,False,False,,,,,False,False,False,False,,,
04009,393,385.0,,1.0,,,,,277.0,341.7,570.8,177.5,,,,-8.0,,-392.0,,,,,-116.0,-51.3,177.8,-215.5,,,,,False,,,,,False,False,False,False,,,
04011,22,35.0,,0.0,,,,,43.0,72.2,4.6,,,,,13.0,,-22.0,,,,,21.0,50.2,-17.4,,,,,,False,,,,,False,False,False,,,,
04012,63,180.0,,0.0,,,,,254.0,243.1,24.4,47.5,,,,117.0,,-63.0,,,,,191.0,180.1,-38.6,-15.5,,,,,True,,,,,False,False,True,True,,,
04013,37815,76945.0,217293.3,117230.0,,,,,77499.0,26974.6,79748.4,44776.8,52216.9,,,39130.0,179478.3,79415.0,,,,,39684.0,-10840.4,41933.4,6961.8,14401.9,,,False,False,,,,,False,True,False,True,True,,
04015,1255,2350.0,2206.9,3573.0,,,,,2777.0,2556.4,1594.9,1516.0,4914.6,,,1095.0,951.9,2318.0,,,,,1522.0,1301.4,339.9,261.0,3659.6,,,True,False,,,,,False,False,True,True,False,,
04017,732,2445.0,1016.0,2331.0,,,,,1515.0,856.1,1532.7,922.8,1928.1,,,1713.0,284.0,1599.0,,,,,783.0,124.1,800.7,190.8,1196.1,,,True,True,,,,,True,True,True,True,True,,
04019,7176,9135.0,15101.0,8602.0,,,,,10201.0,12071.0,8188.8,5642.7,6787.7,,,1959.0,7925.0,1426.0,,,,,3025.0,4895.0,1012.8,-1533.3,-388.3,,,False,True,,,,,False,False,True,True,True,,
04021,2623,5115.0,9652.0,5866.0,,,,,4327.0,3422.0,5057.9,2584.1,3429.6,,,2492.0,7029.0,3243.0,,,,,1704.0,799.0,2434.9,-38.9,806.6,,,False,False,,,,,True,True,True,True,True,,
04023,471,540.0,,257.0,,,,,1022.0,505.2,236.9,57.1,,,,69.0,,-214.0,,,,,551.0,34.2,-234.1,-413.9,,,,,False,,,,,False,True,False,False,,,
04025,900,1265.0,2458.3,1914.0,,,,,1640.0,2492.3,1549.1,1157.7,1637.8,,,365.0,1558.3,1014.0,,,,,740.0,1592.3,649.1,257.7,737.8,,,False,False,,,,,False,False,False,True,False,,
04027,2959,4715.0,10225.0,2082.0,,,,,4561.0,2126.3,1858.6,526.4,4739.3,,,1756.0,7266.0,-877.0,,,,,1602.0,-832.7,-1100.4,-2432.6,1780.3,,,False,True,,,,,True,True,True,False,False,,
05001,156,260.0,,58.0,,,,,119.0,312.6,518.1,77.7,,,,104.0,,-98.0,,,,,-37.0,156.6,362.1,-78.3,,,,,True,,,,,True,False,False,True,,,
05003,252,140.0,,401.0,,,,,162.0,232.9,122.7,132.6,,,,-112.0,,149.0,,,,,-90.0,-19.1,-129.3,-119.4,,,,,False,,,,,True,True,False,False,,,
05005,69,55.0,,155.0,,,,,78.0,190.1,14.7,,,,,-14.0,,86.0,,,,,9.0,121.1,-54.3,,,,,,False,,,,,True,False,False,,,,
05007,1277,1865.0,2298.0,4024.0,,,,,2607.0,2525.5,924.5,974.6,1160.6,,,588.0,1021.0,2747.0,,,,,1330.0,1248.5,-352.5,-302.4,-116.4,,,False,False,,,,,False,False,True,True,True,,
05009,183,140.0,,400.0,,,,,184.0,303.8,50.3,,,,,-43.0,,217.0,,,,,1.0,120.8,-132.7,,,,,,False,,,,,True,False,False,,,,
05011,160,80.0,,25.0,,,,,99.0,105.9,54.3,,,,,-80.0,,-135.0,,,,,-61.0,-54.1,-105.7,,,,,,False,,,,,True,True,False,,,,
05013,20,15.0,,0.0,,,,,16.0,41.0,,,,,,-5.0,,-20.0,,,,,-4.0,21.0,,,,,,,False,,,,,True,False,,,,,
05015,167,185.0,,337.0,,,,,112.0,341.9,123.7,178.4,,,,18.0,,170.0,,,,,-55.0,174.9,-43.3,11.4,,,,,False,,,,,False,False,False,True,,,
05017,686,210.0,,0.0,,,,,122.0,146.6,53.9,105.5,,,,-476.0,,-686.0,,,,,-564.0,-539.4,-632.1,-580.5,,,,,False,,,,,False,False,False,False,,,
05019,113,95.0,,178.0,,,,,146.0,80.3,36.7,,,,,-18.0,,65.0,,,,,33.0,-32.7,-76.3,,,,,,False,,,,,False,False,False,,,,
05021,77,40.0,,1.0,,,,,63.0,120.7,84.0,,,,,-37.0,,-76.0,,,,,-14.0,43.7,7.0,,,,,,False,,,,,True,False,True,,,,
05023,90,115.0,,0.0,,,,,119.0,64.1,52.9,80.2,,,,25.0,,-90.0,,,,,29.0,-25.9,-37.1,-9.8,,,,,False,,,,,False,False,False,True,,,
05025,86,30.0,,0.0,,,,,44.0,40.8,7.7,,,,,-56.0,,-86.0,,,,,-42.0,-45.2,-78.3,,,,,,False,,,,,True,True,False,,,,
05027,141,125.0,,263.0,,,,,224.0,222.0,101.4,109.6,,,,-16.0,,122.0,,,,,83.0,81.0,-39.6,-31.4,,,,,False,,,,,False,False,False,False,,,
05029,77,110.0,,216.0,,,,,205.0,212.8,62.0,130.2,,,,33.0,,139.0,,,,,128.0,135.8,-15.0,53.2,,,,,False,,,,,False,False,True,False,,,
05031,974,800.0,635.2,3447.0,,,,,1096.0,847.5,261.7,477.4,626.4,,,-174.0,-338.8,2473.0,,,,,122.0,-126.5,-712.3,-496.6,-347.6,,,False,False,,,,,True,True,False,False,False,,
05033,480,385.0,752.4,725.0,,,,,762.0,812.2,239.4,418.0,,,,-95.0,272.4,245.0,,,,,282.0,332.2,-240.6,-62.0,,,,False,False,,,,,False,False,False,True,,,
05035,634,480.0,,559.0,,,,,428.0,496.1,189.2,128.4,,,,-154.0,,-75.0,,,,,-206.0,-137.9,-444.8,-505.6,,,,,True,,,,,False,True,False,False,,,
05037,125,90.0,,81.0,,,,,95.0,126.8,21.1,45.0,,,,-35.0,,-44.0,,,,,-30.0,1.8,-103.9,-80.0,,,,,False,,,,,True,True,False,False,,,
05039,69,50.0,,0.0,,,,,36.0,29.8,8.1,,,,,-19.0,,-69.0,,,,,-33.0,-39.2,-60.9,,,,,,False,,,,,False,False,False,,,,
05041,122,95.0,,0.0,,,,,84.0,129.6,61.3,,,,,-27.0,,-122.0,,,,,-38.0,7.6,-60.7,,,,,,False,,,,,False,True,False,,,,
05043,185,110.0,,0.0,,,,,165.0,190.3,69.2,90.6,,,,-75.0,,-185.0,,,,,-20.0,5.3,-115.8,-94.4,,,,,False,,,,,True,True,False,False,,,
05045,597,655.0,1542.9,615.0,,,,,1132.0,885.8,589.1,941.9,,,,58.0,945.9,18.0,,,,,535.0,288.8,-7.9,344.9,,,,False,True,,,,,False,False,True,False,,,
05047,112,35.0,,6.0,,,,,93.0,79.5,35.8,,,,,-77.0,,-106.0,,,,,-19.0,-32.5,-76.2,,,,,,False,,,,,True,True,True,,,,
05049,35,15.0,,0.0,,,,,28.0,43.3,6.3,,,,,-20.0,,-35.0,,,,,-7.0,8.3,-28.7,,,,,,False,,,,,True,True,False,,,,
05051,846,610.0,197.3,2581.0,,,,,1136.0,844.4,1942.6,517.1,,,,-236.0,-648.7,1735.0,,,,,290.0,-1.6,1096.6,-328.9,,,,False,False,,,,,False,True,False,False,,,
05053,87,120.0,,208.0,,,,,63.0,131.3,78.7,,,,,33.0,,121.0,,,,,-24.0,44.3,-8.3,,,,,,False,,,,,True,False,True,,,,
05055,406,105.0,,171.0,,,,,278.0,294.0,64.9,182.5,,,,-301.0,,-235.0,,,,,-128.0,-112.0,-341.1,-223.5,,,,,True,,,,,True,True,False,True,,,
05057,191,180.0,,401.0,,,,,191.0,279.5,200.1,139.5,,,,-11.0,,210.0,,,,,0.0,88.5,9.1,-51.5,,,,,False,,,,,True,False,True,False,,,
