,actual_cases,COVIDhub-baseline,COVIDhub-ensemble,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-COVIDhub-ensemble,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,87034,101232.0,89057.0,,147289.3,88582.0,60253.1,176970.8,82344.0,92578.1,82576.4,66717.5,92167.3,,89248.9,117973.9,148197.6,76676.2,67315.0,14198.0,2023.0,,60255.3,1548.0,-26780.9,89936.8,-4690.0,5544.1,-4457.6,-20316.5,5133.3,,2214.9,30939.9,61163.6,-10357.8,-19719.0,True,,False,True,False,False,True,True,True,False,True,,True,False,False,True,False
Hawaii,4736,1064.0,1110.0,,1272.4,88.0,618.7,52.6,,5818.2,264.1,1509.0,1618.8,,775.3,1469.2,,7541.9,2070.0,-3672.0,-3626.0,,-3463.6,-4648.0,-4117.3,-4683.4,,1082.2,-4471.9,-3227.0,-3117.2,,-3960.7,-3266.8,,2805.9,-2666.0,True,,True,False,False,False,,True,False,True,True,,False,True,,True,True
Idaho,11833,11848.0,12294.0,,30536.5,9836.0,21335.5,8015.6,13411.0,20122.5,26627.4,13827.5,11955.6,,8012.1,10566.5,,8632.6,8991.0,15.0,461.0,,18703.5,-1997.0,9502.5,-3817.4,1578.0,8289.5,14794.4,1994.5,122.6,,-3820.9,-1266.5,,-3200.4,-2842.0,False,,False,False,False,False,False,False,False,False,False,,False,False,,False,False
Illinois,48579,37348.0,44796.0,,44426.5,1088.0,25184.9,40464.8,35692.0,62726.1,57187.4,31186.5,51368.3,,44198.3,49237.6,26192.4,64610.2,45077.0,-11231.0,-3783.0,,-4152.5,-47491.0,-23394.1,-8114.2,-12887.0,14147.1,8608.4,-17392.5,2789.3,,-4380.7,658.6,-22386.6,16031.2,-3502.0,True,,True,False,False,True,False,False,True,False,True,,True,True,False,False,True
Indiana,23797,23464.0,23345.0,,24280.4,8413.0,14469.4,18481.1,22097.0,32767.6,41092.7,18525.7,27716.2,,21440.8,40926.9,17222.6,33453.0,31182.0,-333.0,-452.0,,483.4,-15384.0,-9327.6,-5315.9,-1700.0,8970.6,17295.7,-5271.3,3919.2,,-2356.2,17129.9,-6574.4,9656.0,7385.0,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Iowa,14110,14292.0,13760.0,,19282.8,3734.0,13121.9,26839.6,10678.0,17978.0,23701.6,10688.7,13635.7,,13616.9,14533.9,14597.9,12339.3,10960.0,182.0,-350.0,,5172.8,-10376.0,-988.1,12729.6,-3432.0,3868.0,9591.6,-3421.3,-474.3,,-493.1,423.9,487.9,-1770.7,-3150.0,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Kansas,12379,13264.0,12125.0,,21216.9,2931.0,12323.4,3462.6,13748.0,22094.0,31146.7,9110.3,12292.9,,26472.8,12698.3,,11545.1,11553.0,885.0,-254.0,,8837.9,-9448.0,-55.6,-8916.4,1369.0,9715.0,18767.7,-3268.7,-86.1,,14093.8,319.3,,-833.9,-826.0,True,,False,False,True,False,False,False,False,False,True,,False,True,,True,True
Kentucky,16302,18320.0,16758.0,,22833.2,12365.0,17238.5,14717.2,15734.0,27141.4,40293.3,11500.1,17699.1,,13044.3,29994.9,15729.2,22272.4,17410.0,2018.0,456.0,,6531.2,-3937.0,936.5,-1584.8,-568.0,10839.4,23991.3,-4801.9,1397.1,,-3257.7,13692.9,-572.8,5970.4,1108.0,True,,False,False,True,True,True,False,False,False,True,,False,False,True,False,True
Louisiana,37986,60576.0,61842.0,,80032.7,37501.0,32527.8,51200.9,73442.0,47342.2,74675.8,75228.0,55142.2,,441715.3,73998.2,,45799.3,46032.0,22590.0,23856.0,,42046.7,-485.0,-5458.2,13214.9,35456.0,9356.2,36689.8,37242.0,17156.2,,403729.3,36012.2,,7813.3,8046.0,False,,False,True,True,True,False,True,False,False,True,,False,False,,True,True
Maine,528,580.0,511.0,,280.2,252.0,528.1,1544.6,279.0,1425.8,389.1,353.4,676.7,,513.2,650.9,716.8,860.8,673.0,52.0,-17.0,,-247.8,-276.0,0.1,1016.6,-249.0,897.8,-138.9,-174.6,148.7,,-14.8,122.9,188.8,332.8,145.0,True,,False,False,True,False,False,False,False,False,False,,True,False,False,False,False
Maryland,20469,23392.0,20049.0,,21263.3,7578.0,14575.9,27827.1,16698.0,19240.6,32373.9,17028.3,27203.8,,15899.6,40293.4,,32465.1,29628.0,2923.0,-420.0,,794.3,-12891.0,-5893.1,7358.1,-3771.0,-1228.4,11904.9,-3440.7,6734.8,,-4569.4,19824.4,,11996.1,9159.0,True,,True,False,False,False,False,True,False,False,False,,False,False,,False,False
Massachusetts,8233,8120.0,8212.0,,7272.4,257.0,6027.0,46043.3,7388.0,18601.2,9420.4,5902.3,11560.8,,5104.4,14376.7,,16787.6,9057.0,-113.0,-21.0,,-960.6,-7976.0,-2206.0,37810.3,-845.0,10368.2,1187.4,-2330.7,3327.8,,-3128.6,6143.7,,8554.6,824.0,True,,False,False,False,False,False,False,False,False,False,,False,False,,False,False
Michigan,20422,17136.0,23562.0,,25021.4,4873.0,14019.1,29134.4,25239.0,51994.3,49779.8,16132.0,24288.3,,14106.1,25815.5,,21562.9,16477.0,-3286.0,3140.0,,4599.4,-15549.0,-6402.9,8712.4,4817.0,31572.3,29357.8,-4290.0,3866.3,,-6315.9,5393.5,,1140.9,-3945.0,True,,False,False,False,False,False,False,False,False,False,,False,False,,True,False
Minnesota,18576,19284.0,19788.0,,19091.3,4741.0,14478.6,10156.9,21885.0,21069.6,30307.2,17310.8,21568.0,,,29484.3,20328.3,32287.7,22555.0,708.0,1212.0,,515.3,-13835.0,-4097.4,-8419.1,3309.0,2493.6,11731.2,-1265.2,2992.0,,,10908.3,1752.3,13711.7,3979.0,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False
Mississippi,26287,36540.0,35357.0,,42159.3,27730.0,21955.8,41763.3,30813.0,27686.1,51726.5,28997.3,43041.6,,94727.1,33697.2,44784.4,40421.7,27306.0,10253.0,9070.0,,15872.3,1443.0,-4331.2,15476.3,4526.0,1399.1,25439.5,2710.3,16754.6,,68440.1,7410.2,18497.4,14134.7,1019.0,True,,False,True,True,False,True,True,False,True,False,,False,True,False,False,True
Missouri,33918,33320.0,34058.0,,44836.4,26151.0,17756.5,15980.6,24036.0,36193.6,45645.1,30924.2,43329.5,,102102.6,36243.4,36162.5,64012.3,37623.0,-598.0,140.0,,10918.4,-7767.0,-16161.5,-17937.4,-9882.0,2275.6,11727.1,-2993.8,9411.5,,68184.6,2325.4,2244.5,30094.3,3705.0,True,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Montana,3117,3152.0,2893.0,,7203.5,1511.0,2066.1,6711.2,3605.0,4506.7,2081.8,3083.0,4060.4,,2820.7,3289.9,,4362.0,2602.0,35.0,-224.0,,4086.5,-1606.0,-1050.9,3594.2,488.0,1389.7,-1035.2,-34.0,943.4,,-296.3,172.9,,1245.0,-515.0,False,,False,False,False,False,False,False,False,True,False,,False,False,,False,False
Nebraska,7385,7656.0,6848.0,,7622.7,1432.0,6748.0,1726.8,6438.0,9282.6,3669.0,5565.9,9107.9,,6791.1,9294.4,,10057.5,7787.0,271.0,-537.0,,237.7,-5953.0,-637.0,-5658.2,-947.0,1897.6,-3716.0,-1819.1,1722.9,,-593.9,1909.4,,2672.5,402.0,False,,True,False,False,False,False,False,False,False,False,,False,False,,False,False
Nevada,23253,29356.0,26823.0,,40790.1,28416.0,19915.7,41461.0,26698.0,24380.8,62728.3,22955.2,27142.9,,32171.6,26127.1,,19484.7,20588.0,6103.0,3570.0,,17537.1,5163.0,-3337.3,18208.0,3445.0,1127.8,39475.3,-297.8,3889.9,,8918.6,2874.1,,-3768.3,-2665.0,True,,False,True,True,False,True,True,False,True,True,,False,True,,True,True
New Hampshire,679,908.0,697.0,,446.4,95.0,704.9,1684.9,658.0,1911.0,268.3,636.7,1117.4,,451.4,974.1,699.2,1484.7,1074.0,229.0,18.0,,-232.6,-584.0,25.9,1005.9,-21.0,1232.0,-410.7,-42.3,438.4,,-227.6,295.1,20.2,805.7,395.0,True,,False,False,True,False,True,False,False,True,False,,True,False,True,False,False
New Jersey,10488,8176.0,7582.0,,7079.4,261.0,5709.8,65684.8,8155.0,13830.9,3379.5,7661.5,13808.8,,7667.2,5958.7,,9600.8,11536.0,-2312.0,-2906.0,,-3408.6,-10227.0,-4778.2,55196.8,-2333.0,3342.9,-7108.5,-2826.5,3320.8,,-2820.8,-4529.3,,-887.2,1048.0,False,,False,False,False,False,False,False,False,False,False,,False,False,,True,True
New Mexico,5514,8208.0,8567.0,,9552.5,3632.0,7037.5,10935.0,7168.0,14052.5,11285.8,6130.8,9597.7,,12098.3,8986.1,8585.3,8403.1,6999.0,2694.0,3053.0,,4038.5,-1882.0,1523.5,5421.0,1654.0,8538.5,5771.8,616.8,4083.7,,6584.3,3472.1,3071.3,2889.1,1485.0,False,,False,True,True,False,True,False,False,True,False,,False,False,False,False,True
New York,17226,19580.0,17197.0,,17603.1,618.0,10630.8,80207.0,11309.0,70912.3,22312.3,12302.0,22629.3,,11741.3,17541.9,,19367.8,18610.0,2354.0,-29.0,,377.1,-16608.0,-6595.2,62981.0,-5917.0,53686.3,5086.3,-4924.0,5403.3,,-5484.7,315.9,,2141.8,1384.0,True,,True,False,False,False,False,False,False,False,False,,False,True,,True,True
North Carolina,44762,53316.0,53891.0,,56937.3,70288.0,31876.0,50445.2,61407.0,68917.5,70592.6,35041.5,47085.3,,60668.9,52539.1,81608.0,43673.9,39126.0,8554.0,9129.0,,12175.3,25526.0,-12886.0,5683.2,16645.0,24155.5,25830.6,-9720.5,2323.3,,15906.9,7777.1,36846.0,-1088.1,-5636.0,False,,False,False,False,True,False,False,False,False,True,,False,True,False,True,True
North Dakota,4000,3316.0,3233.0,,4499.5,918.0,2849.2,2443.1,2792.0,3659.5,2462.1,3108.6,4081.7,,5028.7,4918.1,,4914.0,3583.0,-684.0,-767.0,,499.5,-3082.0,-1150.8,-1556.9,-1208.0,-340.5,-1537.9,-891.4,81.7,,1028.7,918.1,,914.0,-417.0,False,,True,False,False,False,False,True,False,False,True,,False,False,,False,True
Ohio,30981,37452.0,31967.0,,51875.0,18287.0,26204.2,22841.6,33483.0,73635.0,45805.2,23841.9,33689.7,,28918.8,35028.8,34321.1,32333.3,31733.0,6471.0,986.0,,20894.0,-12694.0,-4776.8,-8139.4,2502.0,42654.0,14824.2,-7139.1,2708.7,,-2062.2,4047.8,3340.1,1352.3,752.0,True,,False,False,True,False,True,False,False,False,True,,True,True,True,True,True
Oklahoma,22518,20096.0,27659.0,,25274.2,17336.0,15999.9,28880.5,28295.0,38267.7,31018.8,31182.5,28259.8,,69765.6,16535.2,,42476.5,25884.0,-2422.0,5141.0,,2756.2,-5182.0,-6518.1,6362.5,5777.0,15749.7,8500.8,8664.5,5741.8,,47247.6,-5982.8,,19958.5,3366.0,False,,False,False,False,False,False,False,False,False,False,,False,False,,False,False
Oregon,8218,7820.0,9155.0,,9937.3,9275.0,6399.1,11990.6,7660.0,20626.5,12956.1,9189.8,9496.0,,7933.7,8611.6,,8772.7,8215.0,-398.0,937.0,,1719.3,1057.0,-1818.9,3772.6,-558.0,12408.5,4738.1,971.8,1278.0,,-284.3,393.6,,554.7,-3.0,False,,False,False,False,False,False,False,False,False,False,,True,True,,False,True
Pennsylvania,22045,25340.0,26605.0,,31158.4,1916.0,16911.0,28247.0,20149.0,50581.1,41477.0,15231.6,29456.0,,18310.4,28984.5,11046.1,27836.1,26157.0,3295.0,4560.0,,9113.4,-20129.0,-5134.0,6202.0,-1896.0,28536.1,19432.0,-6813.4,7411.0,,-3734.6,6939.5,-10998.9,5791.1,4112.0,False,,False,False,False,False,True,False,False,False,False,,False,False,False,False,False
Rhode Island,2798,1724.0,1531.0,,2144.5,70.0,1706.0,2697.4,3282.0,297.3,592.0,814.5,1550.9,,1671.7,1601.0,1086.2,1701.5,1004.0,-1074.0,-1267.0,,-653.5,-2728.0,-1092.0,-100.6,484.0,-2500.7,-2206.0,-1983.5,-1247.1,,-1126.3,-1197.0,-1711.8,-1096.5,-1794.0,False,,True,False,False,True,True,False,False,False,False,,False,False,False,False,False
South Carolina,31287,49584.0,41615.0,,63884.6,55061.0,31305.3,59540.4,42226.0,47772.3,60701.8,29020.9,37876.5,,34670.6,40721.1,66028.6,26523.0,27240.0,18297.0,10328.0,,32597.6,23774.0,18.3,28253.4,10939.0,16485.3,29414.8,-2266.1,6589.5,,3383.6,9434.1,34741.6,-4764.0,-4047.0,True,,False,False,True,False,True,True,False,True,True,,True,True,False,True,True
South Dakota,2830,1772.0,1776.0,,1329.3,841.0,1917.5,3458.8,1271.0,2089.1,1536.5,1511.0,2681.9,,1278.8,2371.8,,3080.0,2041.0,-1058.0,-1054.0,,-1500.7,-1989.0,-912.5,628.8,-1559.0,-740.9,-1293.5,-1319.0,-148.1,,-1551.2,-458.2,,250.0,-789.0,True,,False,False,True,True,False,True,False,False,True,,False,True,,True,True
Tennessee,51287,57840.0,60527.0,,91518.5,61774.0,35922.3,44380.1,48286.0,54807.6,134813.3,73942.2,66110.2,,200292.9,55404.3,98000.4,56867.4,55810.0,6553.0,9240.0,,40231.5,10487.0,-15364.7,-6906.9,-3001.0,3520.6,83526.3,22655.2,14823.2,,149005.9,4117.3,46713.4,5580.4,4523.0,False,,False,False,False,False,True,True,False,False,False,,False,True,False,True,True
Texas,201264,252720.0,226157.0,,399498.7,315310.0,142698.7,906166.0,361506.0,248439.1,308225.7,84217.6,188773.3,,166134.1,221970.8,453476.3,118266.5,135164.0,51456.0,24893.0,,198234.7,114046.0,-58565.3,704902.0,160242.0,47175.1,106961.7,-117046.4,-12490.7,,-35129.9,20706.8,252212.3,-82997.5,-66100.0,True,,False,False,False,False,False,True,False,False,True,,True,True,False,False,False
Utah,11191,17164.0,15039.0,,18173.5,21529.0,10868.5,26302.2,14379.0,20086.6,21001.9,9903.6,13471.5,,12739.7,16729.3,26311.9,9468.9,11634.0,5973.0,3848.0,,6982.5,10338.0,-322.5,15111.2,3188.0,8895.6,9810.9,-1287.4,2280.5,,1548.7,5538.3,15120.9,-1722.1,443.0,True,,False,False,True,False,True,False,False,True,True,,True,True,False,True,True
Vermont,157,232.0,163.0,,181.6,16.0,155.2,4.3,128.0,956.4,344.6,121.8,257.3,,118.4,261.6,,279.3,172.0,75.0,6.0,,24.6,-141.0,-1.8,-152.7,-29.0,799.4,187.6,-35.2,100.3,,-38.6,104.6,,122.3,15.0,True,,True,False,True,False,True,False,False,True,False,,True,False,,False,True
Virginia,28463,28944.0,28907.0,,28922.5,10638.0,20008.7,17576.5,25756.0,39032.4,61687.0,21374.5,31044.3,,28604.6,45198.3,24276.9,31961.3,5032.0,481.0,444.0,,459.5,-17825.0,-8454.3,-10886.5,-2707.0,10569.4,33224.0,-7088.5,2581.3,,141.6,16735.3,-4186.1,3498.3,-23431.0,True,,True,False,False,False,False,False,False,False,False,,True,False,False,False,False
Washington,18802,23292.0,23281.0,,26482.5,21300.0,12680.8,44173.7,19946.0,32896.1,44675.8,17405.3,24825.9,,22153.8,25637.1,,20108.1,21093.0,4490.0,4479.0,,7680.5,2498.0,-6121.2,25371.7,1144.0,14094.1,25873.8,-1396.7,6023.9,,3351.8,6835.1,,1306.1,2291.0,True,,False,True,False,False,True,False,False,True,False,,True,False,,True,True
West Virginia,3410,3524.0,3471.0,,5975.0,2622.0,3584.9,659.3,1941.0,6752.5,4325.5,3398.8,3860.1,,6407.0,3759.1,,5132.1,3924.0,114.0,61.0,,2565.0,-788.0,174.9,-2750.7,-1469.0,3342.5,915.5,-11.2,450.1,,2997.0,349.1,,1722.1,514.0,True,,False,False,False,False,False,False,False,True,False,,False,False,,False,False
Wisconsin,22139,25540.0,25433.0,,30174.1,12253.0,16988.4,6453.8,21005.0,37854.9,55511.6,21180.2,26168.2,,34646.1,24953.2,29727.2,30692.7,23483.0,3401.0,3294.0,,8035.1,-9886.0,-5150.6,-15685.2,-1134.0,15715.9,33372.6,-958.8,4029.2,,12507.1,2814.2,7588.2,8553.7,1344.0,True,,False,False,False,False,True,False,False,True,False,,False,True,False,False,True
Wyoming,1105,1352.0,1533.0,,1724.0,781.0,1159.9,6.8,855.0,2169.9,2259.7,1021.3,1466.1,,2015.4,1844.9,,1603.5,1310.0,247.0,428.0,,619.0,-324.0,54.9,-1098.2,-250.0,1064.9,1154.7,-83.7,361.1,,910.4,739.9,,498.5,205.0,False,,False,False,True,False,False,False,False,True,False,,False,False,,False,True
US,1484102,1866432.0,1874625.0,1519223.0,2497924.6,1629741.0,1137699.1,3015230.6,1852210.0,2091137.5,2869171.9,1202776.1,2188811.9,1793195.1,2439695.3,2007925.8,1846280.5,1594262.3,1413155.0,382330.0,390523.0,35121.0,1013822.6,145639.0,-346402.9,1531128.6,368108.0,607035.5,1385069.9,-281325.9,704709.9,309093.1,955593.3,523823.8,362178.5,110160.3,-70947.0,False,True,False,True,True,False,True,False,False,True,False,True,False,False,True,True,True
