,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01059,348,256.0,,137.0,304.0,,,,,,616.0,134.2,,104.8,249.1,54.3,,,138.1,,,,,,-92.0,,-211.0,-44.0,,,,,,268.0,-213.8,,-243.2,-98.9,-293.7,,,-209.9,,,,,,,False,True,,,,,,False,False,,False,False,False,,,False,,,,,
01061,162,196.0,,175.0,398.0,,,,,,407.0,251.4,,98.9,186.9,130.5,,,189.3,,,,,,34.0,,13.0,236.0,,,,,,245.0,89.4,,-63.1,24.9,-31.5,,,27.3,,,,,,,True,False,,,,,,False,False,,False,True,True,,,True,,,,,
01063,38,56.0,,36.0,56.0,,,,,,78.0,51.0,,11.3,60.6,1.2,,,26.7,,,,,,18.0,,-2.0,18.0,,,,,,40.0,13.0,,-26.7,22.6,-36.8,,,-11.3,,,,,,,True,False,,,,,,False,True,,False,False,False,,,True,,,,,
01065,96,104.0,,53.0,124.0,,,,,,198.0,72.3,,41.1,151.4,8.4,,,50.6,,,,,,8.0,,-43.0,28.0,,,,,,102.0,-23.7,,-54.9,55.4,-87.6,,,-45.4,,,,,,,False,False,,,,,,False,False,,False,False,False,,,False,,,,,
01067,95,100.0,,72.0,190.0,,,,,,109.0,78.7,,38.0,119.8,52.9,,,71.4,,,,,,5.0,,-23.0,95.0,,,,,,14.0,-16.3,,-57.0,24.8,-42.1,,,-23.6,,,,,,,False,False,,,,,,False,False,,False,False,False,,,False,,,,,
01069,666,1144.0,722.3,847.0,1567.0,,,,,,1339.0,886.3,,699.9,857.0,787.0,,,1459.0,,,,,,478.0,56.3,181.0,901.0,,,,,,673.0,220.3,,33.9,191.0,121.0,,,793.0,,,,,,True,True,False,,,,,,False,True,,True,True,True,,,False,,,,,
01071,570,368.0,688.3,422.0,165.0,,,,,,488.0,653.4,,271.4,360.7,328.9,,,1585.3,,,,,,-202.0,118.3,-148.0,-405.0,,,,,,-82.0,83.4,,-298.6,-209.3,-241.1,,,1015.3,,,,,,True,True,False,,,,,,True,True,,False,False,False,,,False,,,,,
01073,4484,6780.0,10517.0,6849.0,7109.0,,,,,,8805.0,7465.8,,6979.6,6326.8,4804.3,,,7161.6,5400.0,,,,,2296.0,6033.0,2365.0,2625.0,,,,,,4321.0,2981.8,,2495.6,1842.8,320.3,,,2677.6,916.0,,,,,False,False,False,,,,,,False,False,,False,True,True,,,False,True,,,,
01075,98,180.0,,102.0,347.0,,,,,,142.0,125.8,,85.1,119.2,89.6,,,102.4,,,,,,82.0,,4.0,249.0,,,,,,44.0,27.8,,-12.9,21.2,-8.4,,,4.4,,,,,,,True,False,,,,,,True,True,,True,True,True,,,True,,,,,
01077,436,616.0,548.9,569.0,604.0,,,,,,1022.0,861.0,,453.5,587.8,569.9,,,522.2,,,,,,180.0,112.9,133.0,168.0,,,,,,586.0,425.0,,17.5,151.8,133.9,,,86.2,,,,,,True,True,True,,,,,,False,False,,True,True,True,,,True,,,,,
01079,156,228.0,,238.0,382.0,,,,,,254.0,304.6,,180.4,241.2,178.0,,,249.0,,,,,,72.0,,82.0,226.0,,,,,,98.0,148.6,,24.4,85.2,22.0,,,93.0,,,,,,,False,False,,,,,,False,False,,True,False,True,,,False,,,,,
01081,697,1040.0,1908.4,865.0,584.0,,,,,,1546.0,1363.5,,752.4,895.6,1003.4,,,556.0,737.0,,,,,343.0,1211.4,168.0,-113.0,,,,,,849.0,666.5,,55.4,198.6,306.4,,,-141.0,40.0,,,,,False,True,True,,,,,,False,False,,True,True,True,,,True,True,,,,
01083,521,748.0,978.5,673.0,572.0,,,,,,927.0,883.9,,484.3,602.1,730.9,,,771.8,,,,,,227.0,457.5,152.0,51.0,,,,,,406.0,362.9,,-36.7,81.1,209.9,,,250.8,,,,,,False,True,True,,,,,,False,False,,True,True,True,,,False,,,,,
01085,60,76.0,,29.0,28.0,,,,,,109.0,35.3,,9.4,82.5,2.2,,,38.4,,,,,,16.0,,-31.0,-32.0,,,,,,49.0,-24.7,,-50.6,22.5,-57.8,,,-21.6,,,,,,,False,False,,,,,,False,False,,False,False,False,,,False,,,,,
01087,89,144.0,,114.0,160.0,,,,,,117.0,147.6,,31.7,127.8,61.0,,,183.6,,,,,,55.0,,25.0,71.0,,,,,,28.0,58.6,,-57.3,38.8,-28.0,,,94.6,,,,,,,True,False,,,,,,True,False,,False,True,True,,,False,,,,,
01089,1740,3276.0,4052.0,3376.0,2060.0,,,,,,3403.0,4533.8,,3899.4,2971.5,2754.7,,,15603.3,3607.0,,,,,1536.0,2312.0,1636.0,320.0,,,,,,1663.0,2793.8,,2159.4,1231.5,1014.7,,,13863.3,1867.0,,,,,False,False,True,,,,,,False,False,,False,True,True,,,False,False,,,,
01091,134,240.0,,251.0,289.0,,,,,,343.0,134.2,,133.9,250.4,107.9,,,278.4,,,,,,106.0,,117.0,155.0,,,,,,209.0,0.2,,-0.1,116.4,-26.1,,,144.4,,,,,,,False,False,,,,,,False,True,,True,False,True,,,False,,,,,
01093,186,216.0,,190.0,150.0,,,,,,329.0,266.0,,150.4,212.7,176.5,,,720.7,,,,,,30.0,,4.0,-36.0,,,,,,143.0,80.0,,-35.6,26.7,-9.5,,,534.7,,,,,,,True,False,,,,,,False,False,,False,True,True,,,False,,,,,
01095,788,1348.0,1619.4,1186.0,1336.0,,,,,,1602.0,1268.4,,1209.8,1117.8,698.1,,,867.5,,,,,,560.0,831.4,398.0,548.0,,,,,,814.0,480.4,,421.8,329.8,-89.9,,,79.5,,,,,,False,True,True,,,,,,False,True,,True,True,True,,,True,,,,,
01097,4414,4788.0,2988.9,4479.0,4552.0,,,,,,5919.0,3804.9,,5868.0,4562.1,2265.5,,,8512.5,4368.0,,,,,374.0,-1425.1,65.0,138.0,,,,,,1505.0,-609.1,,1454.0,148.1,-2148.5,,,4098.5,-46.0,,,,,False,True,True,,,,,,False,False,,False,True,False,,,False,True,,,,
01099,98,152.0,,185.0,227.0,,,,,,316.0,243.1,,79.2,233.9,108.3,,,62.0,,,,,,54.0,,87.0,129.0,,,,,,218.0,145.1,,-18.8,135.9,10.3,,,-36.0,,,,,,,False,False,,,,,,False,False,,True,False,True,,,True,,,,,
01101,1803,2476.0,2859.9,2381.0,3047.0,,,,,,3385.0,1208.7,,1433.8,2301.9,1213.2,,,2356.9,2502.0,,,,,673.0,1056.9,578.0,1244.0,,,,,,1582.0,-594.3,,-369.2,498.9,-589.8,,,553.9,699.0,,,,,False,True,False,,,,,,False,True,,True,True,True,,,True,False,,,,
01103,698,1168.0,1184.5,928.0,771.0,,,,,,1538.0,1249.3,,696.3,997.3,693.8,,,954.3,,,,,,470.0,486.5,230.0,73.0,,,,,,840.0,551.3,,-1.7,299.3,-4.2,,,256.3,,,,,,False,True,True,,,,,,False,False,,True,True,True,,,True,,,,,
01105,92,260.0,,186.0,259.0,,,,,,80.0,152.4,,185.8,231.4,43.1,,,216.7,,,,,,168.0,,94.0,167.0,,,,,,-12.0,60.4,,93.8,139.4,-48.9,,,124.7,,,,,,,True,True,,,,,,True,True,,True,True,True,,,True,,,,,
01107,162,124.0,,103.0,103.0,,,,,,215.0,156.0,,60.0,119.3,89.3,,,85.0,,,,,,-38.0,,-59.0,-59.0,,,,,,53.0,-6.0,,-102.0,-42.7,-72.7,,,-77.0,,,,,,,False,False,,,,,,False,True,,False,False,False,,,False,,,,,
01109,191,204.0,,138.0,282.0,,,,,,472.0,191.1,,86.0,269.2,97.3,,,124.2,,,,,,13.0,,-53.0,91.0,,,,,,281.0,0.1,,-105.0,78.2,-93.7,,,-66.8,,,,,,,False,False,,,,,,False,True,,False,False,False,,,False,,,,,
01111,74,228.0,,160.0,435.0,,,,,,167.0,200.0,,45.6,168.6,113.5,,,195.3,,,,,,154.0,,86.0,361.0,,,,,,93.0,126.0,,-28.4,94.6,39.5,,,121.3,,,,,,,True,False,,,,,,True,True,,True,True,True,,,True,,,,,
01113,462,584.0,674.4,503.0,463.0,,,,,,511.0,589.3,,385.3,537.6,327.8,,,593.7,,,,,,122.0,212.4,41.0,1.0,,,,,,49.0,127.3,,-76.7,75.6,-134.2,,,131.7,,,,,,False,True,True,,,,,,True,False,,True,True,False,,,False,,,,,
01115,556,780.0,619.1,685.0,489.0,,,,,,671.0,1132.7,,675.4,695.4,748.0,,,1825.5,,,,,,224.0,63.1,129.0,-67.0,,,,,,115.0,576.7,,119.4,139.4,192.0,,,1269.5,,,,,,True,True,True,,,,,,True,False,,True,True,True,,,False,,,,,
01117,1030,1788.0,2025.9,1818.0,1188.0,,,,,,2138.0,2361.6,,1731.0,1668.8,1431.4,,,2119.4,1532.0,,,,,758.0,995.9,788.0,158.0,,,,,,1108.0,1331.6,,701.0,638.8,401.4,,,1089.4,502.0,,,,,False,False,True,,,,,,False,False,,True,True,True,,,False,True,,,,
01119,56,92.0,,37.0,64.0,,,,,,158.0,32.0,,12.6,90.7,1.5,,,47.5,,,,,,36.0,,-19.0,8.0,,,,,,102.0,-24.0,,-43.4,34.7,-54.5,,,-8.5,,,,,,,True,True,,,,,,False,True,,False,True,False,,,True,,,,,
01121,511,540.0,1100.7,663.0,540.0,,,,,,725.0,1120.4,,494.9,581.4,572.3,,,1343.6,,,,,,29.0,589.7,152.0,29.0,,,,,,214.0,609.4,,-16.1,70.4,61.3,,,832.6,,,,,,False,False,False,,,,,,False,False,,True,False,False,,,False,,,,,
01123,164,256.0,,196.0,366.0,,,,,,388.0,226.6,,164.2,254.6,98.5,,,194.7,,,,,,92.0,,32.0,202.0,,,,,,224.0,62.6,,0.2,90.6,-65.5,,,30.7,,,,,,,True,False,,,,,,False,True,,True,True,True,,,True,,,,,
01125,1263,1752.0,3281.0,1426.0,1683.0,,,,,,2741.0,1424.0,,1403.3,1601.6,1047.6,,,1476.6,1070.0,,,,,489.0,2018.0,163.0,420.0,,,,,,1478.0,161.0,,140.3,338.6,-215.4,,,213.6,-193.0,,,,,False,True,True,,,,,,False,True,,True,True,True,,,True,True,,,,
01127,350,520.0,1347.7,386.0,426.0,,,,,,891.0,563.2,,252.4,476.8,293.4,,,324.3,,,,,,170.0,997.7,36.0,76.0,,,,,,541.0,213.2,,-97.6,126.8,-56.6,,,-25.7,,,,,,False,True,True,,,,,,False,False,,True,True,True,,,True,,,,,
01129,214,284.0,,269.0,695.0,,,,,,285.0,150.8,,111.5,269.1,67.9,,,323.8,,,,,,70.0,,55.0,481.0,,,,,,71.0,-63.2,,-102.5,55.1,-146.1,,,109.8,,,,,,,True,False,,,,,,False,True,,False,True,False,,,False,,,,,
01131,88,156.0,,74.0,74.0,,,,,,92.0,56.4,,52.7,162.3,43.8,,,99.3,,,,,,68.0,,-14.0,-14.0,,,,,,4.0,-31.6,,-35.3,74.3,-44.2,,,11.3,,,,,,,True,True,,,,,,True,True,,True,False,True,,,True,,,,,
01133,121,148.0,,127.0,126.0,,,,,,245.0,259.4,,76.0,137.4,134.7,,,118.5,,,,,,27.0,,6.0,5.0,,,,,,124.0,138.4,,-45.0,16.4,13.7,,,-2.5,,,,,,,True,True,,,,,,False,False,,False,True,True,,,True,,,,,
02013,1,4.0,,0.0,0.0,,,,,,,11.9,,,0.7,,,,,,,,,,3.0,,-1.0,-1.0,,,,,,,10.9,,,-0.3,,,,,,,,,,,True,True,,,,,,,False,,,True,,,,,,,,,
02016,4,4.0,,2.0,0.0,,,,,,,31.4,,,3.0,,,,2.4,,,,,,0.0,,-2.0,-4.0,,,,,,,27.4,,,-1.0,,,,-1.6,,,,,,,False,False,,,,,,,False,,,False,,,,False,,,,,
02020,1531,1240.0,1351.9,1598.0,1980.0,,,,,,,2443.2,,1932.6,2066.4,1302.9,,,1360.1,4279.0,,,,,-291.0,-179.1,67.0,449.0,,,,,,,912.2,,401.6,535.4,-228.1,,,-170.9,2748.0,,,,,True,True,False,,,,,,,False,,False,False,True,,,True,False,,,,
02050,20,8.0,,2.0,0.0,,,,,,,8.9,,5.5,4.4,,,,,,,,,,-12.0,,-18.0,-20.0,,,,,,,-11.1,,-14.5,-15.6,,,,,,,,,,,False,False,,,,,,,True,,False,False,,,,,,,,,
02060,0,4.0,,0.0,0.0,,,,,,,0.0,,1.4,0.6,,,,3.8,,,,,,4.0,,0.0,0.0,,,,,,,0.0,,1.4,0.6,,,,3.8,,,,,,,True,True,,,,,,,True,,True,True,,,,True,,,,,
02068,1,4.0,,0.0,0.0,,,,,,,5.9,,,0.6,,,,,,,,,,3.0,,-1.0,-1.0,,,,,,,4.9,,,-0.4,,,,,,,,,,,True,True,,,,,,,False,,,True,,,,,,,,,
02070,5,0.0,,0.0,0.0,,,,,,,0.0,,0.1,0.6,,,,0.0,,,,,,-5.0,,-5.0,-5.0,,,,,,,-5.0,,-4.9,-4.4,,,,-5.0,,,,,,,False,False,,,,,,,False,,True,True,,,,False,,,,,
02090,205,232.0,310.2,271.0,,,,,,,,450.2,,238.9,263.6,300.1,,,573.8,,,,,,27.0,105.2,66.0,,,,,,,,245.2,,33.9,58.6,95.1,,,368.8,,,,,,False,False,,,,,,,,False,,False,False,False,,,False,,,,,
02100,0,4.0,,0.0,0.0,,,,,,,7.6,,,0.9,,,,2.8,,,,,,4.0,,0.0,0.0,,,,,,,7.6,,,0.9,,,,2.8,,,,,,,True,True,,,,,,,False,,,True,,,,True,,,,,
02105,0,0.0,,0.0,0.0,,,,,,,10.7,,,0.5,,,,,,,,,,0.0,,0.0,0.0,,,,,,,10.7,,,0.5,,,,,,,,,,,True,True,,,,,,,False,,,False,,,,,,,,,
02110,131,60.0,,41.0,64.0,,,,,,,127.9,,43.9,51.3,,,,39.0,,,,,,-71.0,,-90.0,-67.0,,,,,,,-3.1,,-87.1,-79.7,,,,-92.0,,,,,,,False,True,,,,,,,True,,False,False,,,,False,,,,,
02122,223,148.0,349.1,127.0,62.0,,,,,,,353.4,,25.3,146.5,223.1,,,130.5,,,,,,-75.0,126.1,-96.0,-161.0,,,,,,,130.4,,-197.7,-76.5,0.1,,,-92.5,,,,,,False,False,False,,,,,,,False,,False,False,True,,,False,,,,,
02130,15,32.0,,13.0,,,,,,,,2.0,,10.7,18.3,,,,20.2,,,,,,17.0,,-2.0,,,,,,,,-13.0,,-4.3,3.3,,,,5.2,,,,,,,True,,,,,,,,True,,True,True,,,,True,,,,,
02150,43,0.0,,0.0,0.0,,,,,,,4.7,,0.6,1.0,,,,0.0,,,,,,-43.0,,-43.0,-43.0,,,,,,,-38.3,,-42.4,-42.0,,,,-43.0,,,,,,,False,False,,,,,,,True,,True,True,,,,True,,,,,
02158,5,0.0,,0.0,0.0,,,,,,,,,,0.8,,,,0.0,,,,,,-5.0,,-5.0,-5.0,,,,,,,,,,-4.2,,,,-5.0,,,,,,,False,False,,,,,,,,,,True,,,,True,,,,,
02164,10,0.0,,1.0,0.0,,,,,,,23.2,,,0.5,,,,,,,,,,-10.0,,-9.0,-10.0,,,,,,,13.2,,,-9.5,,,,,,,,,,,True,False,,,,,,,False,,,True,,,,,,,,,
02170,207,196.0,200.8,196.0,93.0,,,,,,,661.4,,112.8,200.1,278.6,,,205.8,,,,,,-11.0,-6.2,-11.0,-114.0,,,,,,,454.4,,-94.2,-6.9,71.6,,,-1.2,,,,,,True,False,False,,,,,,,False,,False,True,False,,,True,,,,,
02180,13,8.0,,0.0,0.0,,,,,,,2.1,,3.0,2.6,,,,,,,,,,-5.0,,-13.0,-13.0,,,,,,,-10.9,,-10.0,-10.4,,,,,,,,,,,False,False,,,,,,,False,,False,False,,,,,,,,,
02185,28,8.0,,0.0,0.0,,,,,,,6.0,,1.0,2.2,,,,6.9,,,,,,-20.0,,-28.0,-28.0,,,,,,,-22.0,,-27.0,-25.8,,,,-21.1,,,,,,,False,False,,,,,,,False,,False,False,,,,False,,,,,
02188,49,24.0,,5.0,,,,,,,,4.8,,2.9,6.0,,,,17.5,,,,,,-25.0,,-44.0,,,,,,,,-44.2,,-46.1,-43.0,,,,-31.5,,,,,,,False,,,,,,,,False,,False,False,,,,False,,,,,
