,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
North Carolina,85110,76006.0,,74438.7,119152.0,144730.0,40210.1,60208.7,71576.5,81253.7,-9104.0,,-10671.3,34042.0,59620.0,-44899.9,-24901.3,-13533.5,-3856.3,,False,False,False,False,False,False,True
North Dakota,5957,2247.0,,1557.2,741.0,1323.0,1273.1,810.7,539.9,6367.7,-3710.0,,-4399.8,-5216.0,-4634.0,-4683.9,-5146.3,-5417.1,410.7,,False,False,False,False,False,False,True
Ohio,57982,47096.0,,59703.1,57670.0,30062.0,30350.2,68857.4,23324.1,120286.5,-10886.0,,1721.1,-312.0,-27920.0,-27631.8,10875.4,-34657.9,62304.5,,True,True,False,False,True,False,False
Oklahoma,36951,21014.0,,40937.0,15505.0,46603.0,13069.2,22216.9,24843.5,35203.3,-15937.0,,3986.0,-21446.0,9652.0,-23881.8,-14734.1,-12107.5,-1747.7,,True,False,True,False,True,True,True
Oregon,14780,12852.0,,17869.5,10759.0,17380.0,11452.4,14952.1,18238.5,23675.0,-1928.0,,3089.5,-4021.0,2600.0,-3327.6,172.1,3458.5,8895.0,,False,False,False,False,True,False,False
Pennsylvania,39238,31332.0,,30184.2,8772.0,33985.0,14810.8,40659.7,7520.0,54769.1,-7906.0,,-9053.8,-30466.0,-5253.0,-24427.2,1421.7,-31718.0,15531.1,,False,False,True,False,True,False,False
Rhode Island,4031,2310.0,,1267.8,489.0,1665.0,813.6,1045.9,119.0,1005.2,-1721.0,,-2763.2,-3542.0,-2366.0,-3217.4,-2985.1,-3912.0,-3025.8,,False,False,False,False,False,False,False
South Carolina,67909,80129.0,,119699.6,45304.0,116581.0,56319.5,55871.3,77972.5,98740.1,12220.0,,51790.6,-22605.0,48672.0,-11589.5,-12037.7,10063.5,30831.1,,False,False,False,True,True,True,False
South Dakota,4107,2814.0,,3386.1,1259.0,4681.0,1476.5,2208.2,653.2,4202.4,-1293.0,,-720.9,-2848.0,574.0,-2630.5,-1898.8,-3453.8,95.4,,True,False,True,False,False,False,True
Tennessee,91943,69776.0,,74963.1,83628.0,62797.0,43030.7,57719.9,49261.8,109428.9,-22167.0,,-16979.9,-8315.0,-29146.0,-48912.3,-34223.1,-42681.2,17485.9,,True,True,False,False,False,False,True
Texas,399517,323813.0,,548591.9,358113.0,861054.0,98315.4,229624.7,338462.5,329118.8,-75704.0,,149074.9,-41404.0,461537.0,-301201.6,-169892.3,-61054.5,-70398.2,,False,True,False,False,False,True,True
Utah,24272,27398.0,,35683.1,35542.0,49421.0,15444.5,21084.3,26448.4,20784.1,3126.0,,11411.1,11270.0,25149.0,-8827.5,-3187.7,2176.4,-3487.9,,False,False,False,False,False,True,False
Vermont,315,266.0,,93.9,33.0,214.0,189.4,358.0,0.2,268.5,-49.0,,-221.1,-282.0,-101.0,-125.6,43.0,-314.8,-46.5,,False,False,False,False,True,False,True
Virginia,46963,27034.0,,14219.0,9207.0,29084.0,15370.4,28300.5,8363.9,11455.7,-19929.0,,-32744.0,-37756.0,-17879.0,-31592.6,-18662.5,-38599.1,-35507.3,,False,False,True,False,True,False,False
Washington,35569,26901.0,,34683.7,15490.0,40596.0,17309.5,30123.9,13036.6,50047.9,-8668.0,,-885.3,-20079.0,5027.0,-18259.5,-5445.1,-22532.4,14478.9,,True,False,True,False,True,False,False
West Virginia,5980,2961.0,,3929.0,2430.0,2641.0,2209.2,4009.5,2025.6,15054.6,-3019.0,,-2051.0,-3550.0,-3339.0,-3770.8,-1970.5,-3954.4,9074.6,,True,False,False,False,True,False,False
Wisconsin,38954,26383.0,,24377.7,11240.0,22470.0,16879.0,33574.3,17255.8,51554.8,-12571.0,,-14576.3,-27714.0,-16484.0,-22075.0,-5379.7,-21698.2,12600.8,,False,False,False,False,True,False,False
Wyoming,1945,1498.0,,3709.3,1035.0,670.0,864.0,2193.4,1314.0,1502.7,-447.0,,1764.3,-910.0,-1275.0,-1081.0,248.4,-631.0,-442.3,,False,False,False,False,True,False,True
US,2817967,2304239.0,3744118.0,3667775.8,2154108.0,3136557.0,1494616.0,2537477.8,1797865.3,3875577.3,-513728.0,926151.0,849808.8,-663859.0,318590.0,-1323351.0,-280489.2,-1020101.7,1057610.3,False,False,False,True,False,True,False,False
