,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,38795,46830.0,44872.8,42954.0,47099.0,,42798.0,42915.9,112694.0,35138.9,42513.6,42167.4,42246.2,46254.0,,63979.6,47543.7,62211.2,43267.0,37333.0,8035.0,6077.8,4159.0,8304.0,,4003.0,4120.9,73899.0,-3656.1,3718.6,3372.4,3451.2,7459.0,,25184.6,8748.7,23416.2,4472.0,-1462.0,True,True,False,,True,True,False,True,True,True,True,True,,False,False,False,True,True
Hawaii,3010,2298.0,2167.6,2191.0,2806.0,,1935.0,1776.9,18.1,4048.0,2307.6,2811.7,2462.8,3563.0,,2268.1,2344.1,,4541.3,3981.0,-712.0,-842.4,-819.0,-204.0,,-1075.0,-1233.1,-2991.9,1038.0,-702.4,-198.3,-547.2,553.0,,-741.9,-665.9,,1531.3,971.0,False,False,True,,False,False,False,False,True,True,True,True,,False,True,,False,False
Idaho,5162,6774.0,6880.7,6789.0,8208.0,,5741.0,14008.9,11773.9,9037.0,6968.0,4754.2,5386.4,6175.0,,5549.5,6691.3,6941.7,5706.4,7171.0,1612.0,1718.7,1627.0,3046.0,,579.0,8846.9,6611.9,3875.0,1806.0,-407.8,224.4,1013.0,,387.5,1529.3,1779.7,544.4,2009.0,False,False,False,,True,False,False,False,False,True,True,True,,True,True,False,True,False
Illinois,25703,24488.0,24627.6,25068.0,29944.0,,1958.0,26104.1,27668.8,28182.5,30083.3,19773.6,24530.5,32176.0,,29259.3,29358.7,16869.8,28236.2,26713.0,-1215.0,-1075.4,-635.0,4241.0,,-23745.0,401.1,1965.8,2479.5,4380.3,-5929.4,-1172.5,6473.0,,3556.3,3655.7,-8833.2,2533.2,1010.0,True,True,False,,False,True,False,False,False,False,True,False,,False,False,False,False,True
Indiana,12030,12330.0,12117.7,13022.0,15009.0,,5061.0,13640.3,18260.6,15993.6,12532.7,12778.6,12958.9,15047.0,,18821.7,13535.3,11846.2,19383.3,12688.0,300.0,87.7,992.0,2979.0,,-6969.0,1610.3,6230.6,3963.6,502.7,748.6,928.9,3017.0,,6791.7,1505.3,-183.8,7353.3,658.0,True,False,False,,False,False,False,False,False,False,False,False,,False,False,True,False,False
Iowa,7461,6484.0,6519.3,6443.0,6990.0,,1925.0,6298.3,8205.4,7976.2,6422.1,5657.6,5420.3,6420.0,,7727.4,6233.7,6825.0,6410.2,6145.0,-977.0,-941.7,-1018.0,-471.0,,-5536.0,-1162.7,744.4,515.2,-1038.9,-1803.4,-2040.7,-1041.0,,266.4,-1227.3,-636.0,-1050.8,-1316.0,True,False,True,,False,False,True,True,False,False,False,False,,True,False,True,False,False
Kansas,6925,5742.0,5731.7,5564.0,6073.0,,4740.0,5363.4,13304.0,9264.4,4530.9,3897.4,4362.1,4867.0,,6055.2,6253.9,5185.6,4190.2,5121.0,-1183.0,-1193.3,-1361.0,-852.0,,-2185.0,-1561.6,6379.0,2339.4,-2394.1,-3027.6,-2562.9,-2058.0,,-869.8,-671.1,-1739.4,-2734.8,-1804.0,False,False,True,,False,False,False,False,False,False,False,False,,True,True,False,False,False
Kentucky,8488,7710.0,7793.7,7794.0,8761.0,,6279.0,18153.2,20058.7,10758.5,8455.5,6364.5,6872.6,8396.0,,8753.6,7936.7,8882.5,6964.2,7328.0,-778.0,-694.3,-694.0,273.0,,-2209.0,9665.2,11570.7,2270.5,-32.5,-2123.5,-1615.4,-92.0,,265.6,-551.3,394.5,-1523.8,-1160.0,True,True,True,,False,False,False,False,True,False,False,True,,True,True,True,False,False
Louisiana,12974,24932.0,25154.5,23334.0,23401.0,,18125.0,33494.9,55992.1,17588.7,22889.2,21230.4,19404.5,18343.0,,17245.2,23757.1,,16568.5,11990.0,11958.0,12180.5,10360.0,10427.0,,5151.0,20520.9,43018.1,4614.7,9915.2,8256.4,6430.5,5369.0,,4271.2,10783.1,,3594.5,-984.0,False,True,True,,True,False,False,True,True,True,True,True,,True,True,,True,True
Maine,290,182.0,181.0,180.0,217.0,,109.0,237.4,414.2,448.1,188.7,141.6,178.7,160.0,,160.2,186.1,281.4,179.9,169.0,-108.0,-109.0,-110.0,-73.0,,-181.0,-52.6,124.2,158.1,-101.3,-148.4,-111.3,-130.0,,-129.8,-103.9,-8.6,-110.1,-121.0,False,False,True,,False,True,False,False,True,False,False,False,,False,True,True,False,False
Maryland,8942,10432.0,10308.2,10103.0,8569.0,,5524.0,13341.2,16767.9,9364.8,16674.6,9195.7,10139.5,11371.0,,10261.3,10687.5,9080.0,9520.2,8605.0,1490.0,1366.2,1161.0,-373.0,,-3418.0,4399.2,7825.9,422.8,7732.6,253.7,1197.5,2429.0,,1319.3,1745.5,138.0,578.2,-337.0,True,True,True,,False,False,False,True,False,True,True,False,,True,False,True,True,True
Massachusetts,4077,5342.0,5287.1,5457.0,5513.0,,56.0,5769.8,14855.9,7364.9,9074.5,3998.2,5337.2,6990.0,,5428.1,7324.3,3084.4,6362.5,5686.0,1265.0,1210.1,1380.0,1436.0,,-4021.0,1692.8,10778.9,3287.9,4997.5,-78.8,1260.2,2913.0,,1351.1,3247.3,-992.6,2285.5,1609.0,True,False,False,,False,False,False,False,False,True,True,False,,False,False,True,False,False
Michigan,9853,9718.0,9623.9,9624.0,8962.0,,3207.0,11934.5,14672.2,18582.5,15276.8,7739.3,9090.0,10405.0,,15532.2,9366.3,,8254.5,8664.0,-135.0,-229.1,-229.0,-891.0,,-6646.0,2081.5,4819.2,8729.5,5423.8,-2113.7,-763.0,552.0,,5679.2,-486.7,,-1598.5,-1189.0,False,False,False,,False,False,False,False,False,False,False,False,,False,False,,False,False
Minnesota,8766,9826.0,10042.0,10251.0,10652.0,,3729.0,12260.5,7105.1,11171.2,13273.8,9475.9,9224.3,10847.0,,14160.1,10504.1,10089.4,11494.8,9602.0,1060.0,1276.0,1485.0,1886.0,,-5037.0,3494.5,-1660.9,2405.2,4507.8,709.9,458.3,2081.0,,5394.1,1738.1,1323.4,2728.8,836.0,False,False,False,,False,False,False,False,False,True,True,False,,False,False,False,False,True
Mississippi,10622,13530.0,13737.2,13530.0,12510.0,,15983.0,13996.1,39932.0,13179.1,28169.4,9047.5,11227.0,12913.0,,19692.6,17683.8,19063.5,9202.7,9616.0,2908.0,3115.2,2908.0,1888.0,,5361.0,3374.1,29310.0,2557.1,17547.4,-1574.5,605.0,2291.0,,9070.6,7061.8,8441.5,-1419.3,-1006.0,False,False,True,,False,False,False,True,False,True,True,True,,False,False,False,True,True
Missouri,16931,12778.0,14666.5,15307.0,8850.0,,17310.0,17435.8,37358.8,19216.6,39344.7,12428.3,13889.1,14046.0,,11779.2,16610.3,19970.2,7884.8,10734.0,-4153.0,-2264.5,-1624.0,-8081.0,,379.0,504.8,20427.8,2285.6,22413.7,-4502.7,-3041.9,-2885.0,,-5151.8,-320.7,3039.2,-9046.2,-6197.0,True,True,False,,True,True,False,True,False,False,True,True,,False,True,True,False,False
Montana,1487,1616.0,1613.0,1524.0,1411.0,,1223.0,1456.1,1559.3,2388.5,1880.8,1394.9,1324.4,1759.0,,2267.3,1518.0,2066.5,1523.4,1585.0,129.0,126.0,37.0,-76.0,,-264.0,-30.9,72.3,901.5,393.8,-92.1,-162.6,272.0,,780.3,31.0,579.5,36.4,98.0,True,True,True,,False,True,True,False,False,True,False,False,,False,True,False,True,True
Nebraska,3535,3708.0,3616.8,3544.0,3378.0,,919.0,4189.8,3534.6,3819.8,4995.7,2684.0,3127.9,3870.0,,4656.6,4249.1,2693.6,2929.0,3125.0,173.0,81.8,9.0,-157.0,,-2616.0,654.8,-0.4,284.8,1460.7,-851.0,-407.1,335.0,,1121.6,714.1,-841.4,-606.0,-410.0,True,True,True,,False,False,True,False,False,False,False,False,,False,False,False,False,False
Nevada,9650,12690.0,12893.5,11167.0,10295.0,,15591.0,11442.0,31943.9,9623.4,14255.7,9960.4,9844.9,10938.0,,11167.1,11843.5,16882.3,9161.8,10280.0,3040.0,3243.5,1517.0,645.0,,5941.0,1792.0,22293.9,-26.6,4605.7,310.4,194.9,1288.0,,1517.1,2193.5,7232.3,-488.2,630.0,False,True,True,,False,True,False,True,False,True,True,True,,True,True,False,True,True
New Hampshire,276,408.0,411.5,408.0,465.0,,31.0,441.5,1548.3,712.8,132.0,311.3,378.0,455.0,,434.7,415.6,372.1,384.3,410.0,132.0,135.5,132.0,189.0,,-245.0,165.5,1272.3,436.8,-144.0,35.3,102.0,179.0,,158.7,139.6,96.1,108.3,134.0,False,False,False,,False,False,False,False,False,True,True,False,,False,False,True,True,False
New Jersey,4917,4800.0,5001.9,5002.0,4872.0,,130.0,4900.3,7451.8,6744.6,5811.7,3850.8,5183.7,5777.0,,3979.1,7330.5,1526.3,8372.4,3401.0,-117.0,84.9,85.0,-45.0,,-4787.0,-16.7,2534.8,1827.6,894.7,-1066.2,266.7,860.0,,-937.9,2413.5,-3390.7,3455.4,-1516.0,True,True,True,,False,True,False,False,False,False,False,False,,False,False,False,False,False
New Mexico,2187,2638.0,2447.1,2575.0,2427.0,,2678.0,3261.0,8226.7,4260.8,4210.5,2194.5,2386.8,2089.0,,2265.0,3178.2,3559.0,1979.2,2075.0,451.0,260.1,388.0,240.0,,491.0,1074.0,6039.7,2073.8,2023.5,7.5,199.8,-98.0,,78.0,991.2,1372.0,-207.8,-112.0,True,True,True,,False,False,False,False,False,True,True,True,,True,False,False,True,True
New York,8820,9156.0,9303.4,9051.0,8917.0,,236.0,7954.1,12381.8,20738.9,10622.1,6982.4,8995.2,9209.0,,8300.7,9871.6,1758.3,8617.6,8788.0,336.0,483.4,231.0,97.0,,-8584.0,-865.9,3561.8,11918.9,1802.1,-1837.6,175.2,389.0,,-519.3,1051.6,-7061.7,-202.4,-32.0,False,True,True,,False,False,False,False,False,False,True,False,,False,False,False,True,True
North Carolina,20662,21884.0,21506.2,21358.0,21011.0,,27531.0,19257.7,49569.2,28842.2,23485.5,17670.7,18153.1,19380.0,,22271.3,23087.5,26192.9,17105.3,19416.0,1222.0,844.2,696.0,349.0,,6869.0,-1404.3,28907.2,8180.2,2823.5,-2991.3,-2508.9,-1282.0,,1609.3,2425.5,5530.9,-3556.7,-1246.0,True,True,True,,False,False,False,False,False,False,False,False,,False,False,False,False,False
North Dakota,2228,1812.0,1829.9,1782.0,1471.0,,327.0,2518.9,1106.8,1856.8,1785.3,1598.8,1615.9,2227.0,,1975.9,2123.3,1788.1,1959.4,1808.0,-416.0,-398.1,-446.0,-757.0,,-1901.0,290.9,-1121.2,-371.2,-442.7,-629.2,-612.1,-1.0,,-252.1,-104.7,-439.9,-268.6,-420.0,True,False,False,,False,True,False,True,False,False,False,True,,True,True,False,True,False
Ohio,14196,15764.0,16292.1,15091.0,16226.0,,10996.0,15244.2,47671.1,28017.5,15895.6,12047.9,14007.3,14536.0,,13667.8,15719.4,17974.3,13818.1,14268.0,1568.0,2096.1,895.0,2030.0,,-3200.0,1048.2,33475.1,13821.5,1699.6,-2148.1,-188.7,340.0,,-528.2,1523.4,3778.3,-377.9,72.0,False,True,False,,False,True,False,False,False,False,True,True,,True,True,False,True,True
Oklahoma,9519,10698.0,11082.2,10796.0,9777.0,,12332.0,9244.6,20487.6,17930.5,20348.7,7653.2,9042.4,11188.0,,16098.5,10480.0,14979.9,7804.3,9241.0,1179.0,1563.2,1277.0,258.0,,2813.0,-274.4,10968.6,8411.5,10829.7,-1865.8,-476.6,1669.0,,6579.5,961.0,5460.9,-1714.7,-278.0,False,False,True,,False,True,False,False,False,False,True,False,,False,True,False,False,True
Oregon,3700,4386.0,4371.1,4382.0,4596.0,,4976.0,3423.8,13288.4,9048.7,4817.0,3766.7,4068.4,4235.0,,4561.0,4425.3,5605.6,4141.3,4178.0,686.0,671.1,682.0,896.0,,1276.0,-276.2,9588.4,5348.7,1117.0,66.7,368.4,535.0,,861.0,725.3,1905.6,441.3,478.0,True,True,False,,False,True,False,False,False,True,True,True,,False,False,False,True,True
Pennsylvania,10495,10394.0,10518.7,10394.0,9042.0,,511.0,10577.8,15919.5,19978.1,16486.6,7886.8,9567.8,9527.0,,12354.9,9841.6,6343.0,9189.0,8148.0,-101.0,23.7,-101.0,-1453.0,,-9984.0,82.8,5424.5,9483.1,5991.6,-2608.2,-927.2,-968.0,,1859.9,-653.4,-4152.0,-1306.0,-2347.0,True,False,False,,False,True,False,False,False,False,False,False,,False,False,False,False,False
Rhode Island,1284,1432.0,1425.6,1077.0,1331.0,,16.0,1573.5,1103.7,275.6,651.3,688.1,1035.1,1767.0,,1266.1,1364.6,429.9,1156.9,1120.0,148.0,141.6,-207.0,47.0,,-1268.0,289.5,-180.3,-1008.4,-632.7,-595.9,-248.9,483.0,,-17.9,80.6,-854.1,-127.1,-164.0,True,False,True,,False,False,False,False,False,False,False,False,,True,True,False,True,False
South Carolina,11835,17722.0,17369.2,16254.0,16160.0,,18598.0,13060.8,38114.2,19839.3,17690.1,12760.0,14794.6,14399.0,,14727.0,16018.5,20604.1,13158.5,14228.0,5887.0,5534.2,4419.0,4325.0,,6763.0,1225.8,26279.2,8004.3,5855.1,925.0,2959.6,2564.0,,2892.0,4183.5,8769.1,1323.5,2393.0,True,True,True,,False,True,False,False,True,True,True,True,,True,True,False,True,True
South Dakota,1658,1220.0,1213.7,1248.0,1062.0,,335.0,1248.3,1308.8,912.8,1225.8,1286.7,1433.3,1626.0,,1833.8,1764.7,821.3,1941.0,1391.0,-438.0,-444.3,-410.0,-596.0,,-1323.0,-409.7,-349.2,-745.2,-432.2,-371.3,-224.7,-32.0,,175.8,106.7,-836.7,283.0,-267.0,False,True,False,,False,True,True,False,True,True,True,True,,True,True,False,True,True
Tennessee,21498,24802.0,27509.0,25579.0,22224.0,,27286.0,28433.6,20055.6,26306.8,25642.0,26041.1,23466.3,24893.0,,30163.6,26597.6,38180.4,23089.7,18461.0,3304.0,6011.0,4081.0,726.0,,5788.0,6935.6,-1442.4,4808.8,4144.0,4543.1,1968.3,3395.0,,8665.6,5099.6,16682.4,1591.7,-3037.0,False,False,True,,False,False,True,False,False,False,True,False,,False,False,False,True,True
Texas,92089,105788.0,98705.3,99501.0,109993.0,,107876.0,77140.5,347943.7,98270.9,99310.2,69163.9,89009.3,90103.0,,140853.8,105349.5,116134.8,86039.7,89528.0,13699.0,6616.3,7412.0,17904.0,,15787.0,-14948.5,255854.7,6181.9,7221.2,-22925.1,-3079.7,-1986.0,,48764.8,13260.5,24045.8,-6049.3,-2561.0,True,True,False,,False,False,False,True,True,False,True,True,,False,True,False,True,True
Utah,5063,6098.0,6466.1,5411.0,4961.0,,6395.0,4900.0,8822.7,6165.0,5802.9,4960.7,4768.1,4743.0,,3926.9,6683.6,8270.7,4450.8,4963.0,1035.0,1403.1,348.0,-102.0,,1332.0,-163.0,3759.7,1102.0,739.9,-102.3,-294.9,-320.0,,-1136.1,1620.6,3207.7,-612.2,-100.0,False,True,True,,False,True,False,False,True,True,True,True,,False,False,False,True,True
Vermont,99,66.0,59.6,64.0,84.0,,15.0,66.6,53.2,281.2,135.7,58.6,55.9,55.0,,214.3,94.1,,69.1,55.0,-33.0,-39.4,-35.0,-15.0,,-84.0,-32.4,-45.8,182.2,36.7,-40.4,-43.1,-44.0,,115.3,-4.9,,-29.9,-44.0,False,False,True,,False,True,False,False,False,False,False,False,,False,True,,True,False
Virginia,12883,16776.0,16767.4,17592.0,21027.0,,7311.0,17336.2,53501.2,18692.1,15075.3,12790.0,14362.6,19398.0,,25958.7,20605.5,15338.5,18980.8,0.0,3893.0,3884.4,4709.0,8144.0,,-5572.0,4453.2,40618.2,5809.1,2192.3,-93.0,1479.6,6515.0,,13075.7,7722.5,2455.5,6097.8,-12883.0,True,False,False,,False,False,False,False,True,True,True,False,,False,False,True,False,False
Washington,8072,9964.0,10189.1,10189.0,9896.0,,10729.0,9006.3,21068.3,12588.4,12326.6,8233.7,7869.0,9715.0,,11150.4,11354.7,10833.3,9136.9,9119.0,1892.0,2117.1,2117.0,1824.0,,2657.0,934.3,12996.3,4516.4,4254.6,161.7,-203.0,1643.0,,3078.4,3282.7,2761.3,1064.9,1047.0,False,False,True,,False,True,False,False,False,True,True,True,,False,False,False,True,True
West Virginia,1622,1650.0,1675.9,1685.0,1968.0,,1656.0,2144.4,1455.1,3100.2,2405.3,1606.9,1573.4,1752.0,,3692.1,1520.6,2168.1,1632.0,1746.0,28.0,53.9,63.0,346.0,,34.0,522.4,-166.9,1478.2,783.3,-15.1,-48.6,130.0,,2070.1,-101.4,546.1,10.0,124.0,False,False,False,,False,False,False,False,False,True,False,False,,False,False,False,True,False
Wisconsin,10076,11862.0,11912.5,11874.0,13921.0,,6683.0,13047.9,15616.3,16227.1,10932.7,9882.8,9821.3,12564.0,,12776.2,12881.5,13478.7,11950.1,11454.0,1786.0,1836.5,1798.0,3845.0,,-3393.0,2971.9,5540.3,6151.1,856.7,-193.2,-254.7,2488.0,,2700.2,2805.5,3402.7,1874.1,1378.0,False,False,False,,False,False,False,False,True,True,True,False,,False,False,False,False,True
Wyoming,536,492.0,499.3,493.0,363.0,,482.0,556.2,19.9,837.9,1102.0,388.3,438.4,425.0,,549.8,540.9,,346.4,513.0,-44.0,-36.7,-43.0,-173.0,,-54.0,20.2,-516.1,301.9,566.0,-147.7,-97.6,-111.0,,13.8,4.9,,-189.6,-23.0,True,True,False,,False,True,False,False,False,False,False,False,,True,True,,False,True
US,668205,754674.0,743664.9,737726.0,716956.0,608584.0,745724.0,714640.7,1664567.4,839296.0,854018.8,565962.1,663978.7,692897.0,676771.0,834837.7,699907.8,752560.8,637624.0,646520.0,86469.0,75459.9,69521.0,48751.0,-59621.0,77519.0,46435.7,996362.4,171091.0,185813.8,-102242.9,-4226.3,24692.0,8566.0,166632.7,31702.8,84355.8,-30581.0,-21685.0,True,True,True,True,True,True,False,False,False,False,True,True,True,False,True,True,True,True
