,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,137821,126492.0,,195593.1,91879.0,129003.0,75924.3,114562.1,91545.5,236461.0,-11329.0,,57772.1,-45942.0,-8818.0,-61896.7,-23258.9,-46275.5,98640.0,,False,False,True,False,False,False,False
Hawaii,5156,1206.0,,1986.4,139.0,,894.1,1557.9,418.6,2862.2,-3950.0,,-3169.6,-5017.0,,-4261.9,-3598.1,-4737.4,-2293.8,,True,False,,False,True,False,True
Idaho,19153,18816.0,,35622.2,10045.0,37128.0,17551.1,23842.9,7881.1,21295.9,-337.0,,16469.2,-9108.0,17975.0,-1601.9,4689.9,-11271.9,2142.9,,False,False,False,False,False,False,False
Illinois,65607,44892.0,,30335.4,1876.0,34657.0,23503.4,68948.3,3705.4,52534.9,-20715.0,,-35271.6,-63731.0,-30950.0,-42103.6,3341.3,-61901.6,-13072.1,,False,False,False,False,True,False,True
Indiana,34238,21882.0,,29076.9,5845.0,21674.0,15434.2,37828.7,7728.9,28574.9,-12356.0,,-5161.1,-28393.0,-12564.0,-18803.8,3590.7,-26509.1,-5663.1,,True,False,False,False,True,False,True
Iowa,21338,21582.0,,27575.7,3741.0,31099.0,18617.7,32959.1,9321.6,33276.5,244.0,,6237.7,-17597.0,9761.0,-2720.3,11621.1,-12016.4,11938.5,,False,False,False,False,False,False,False
Kansas,18701,16656.0,,28780.4,2993.0,24885.0,10560.7,22464.1,6905.4,54278.8,-2045.0,,10079.4,-15708.0,6184.0,-8140.3,3763.1,-11795.6,35577.8,,False,False,False,False,False,False,False
Kentucky,23945,16470.0,,17597.1,8967.0,14838.0,9291.7,13041.4,7481.3,8184.4,-7475.0,,-6347.9,-14978.0,-9107.0,-14653.3,-10903.6,-16463.7,-15760.6,,True,False,False,False,False,False,False
Louisiana,64917,81084.0,,100173.2,28656.0,159706.0,42450.4,78039.5,50669.7,40097.7,16167.0,,35256.2,-36261.0,94789.0,-22466.6,13122.5,-14247.3,-24819.3,,False,False,False,False,True,True,False
Maine,799,738.0,,720.6,556.0,691.0,356.9,417.7,598.6,2180.8,-61.0,,-78.4,-243.0,-108.0,-442.1,-381.3,-200.4,1381.8,,False,False,False,False,False,False,False
Maryland,31056,18756.0,,11383.2,2879.0,12769.0,12930.6,52715.4,4287.3,27668.4,-12300.0,,-19672.8,-28177.0,-18287.0,-18125.4,21659.4,-26768.7,-3387.6,,False,False,False,False,False,False,True
Massachusetts,11554,9360.0,,6275.8,931.0,7118.0,5249.1,7366.1,692.2,11493.2,-2194.0,,-5278.2,-10623.0,-4436.0,-6304.9,-4187.9,-10861.8,-60.8,,False,False,False,False,False,False,True
Michigan,29674,22734.0,,25222.0,5191.0,34129.0,12712.1,46622.7,3207.7,54432.1,-6940.0,,-4452.0,-24483.0,4455.0,-16961.9,16948.7,-26466.3,24758.1,,True,False,True,False,False,False,False
Minnesota,27296,23682.0,,20380.8,5031.0,37647.0,17736.3,23244.2,4042.6,8747.3,-3614.0,,-6915.2,-22265.0,10351.0,-9559.7,-4051.8,-23253.4,-18548.7,,False,False,False,False,False,False,False
Mississippi,41849,28470.0,,44868.2,18884.0,39538.0,23904.6,30846.6,19981.7,37702.5,-13379.0,,3019.2,-22965.0,-2311.0,-17944.4,-11002.4,-21867.3,-4146.5,,True,False,True,False,True,False,True
Missouri,47346,24138.0,,30661.6,14359.0,25438.0,11354.3,36430.9,16440.9,23869.0,-23208.0,,-16684.4,-32987.0,-21908.0,-35991.7,-10915.1,-30905.1,-23477.0,,True,False,True,False,True,False,False
Montana,4699,3060.0,,7264.0,1156.0,3678.0,3986.7,7445.1,12588.1,13209.2,-1639.0,,2565.0,-3543.0,-1021.0,-712.3,2746.1,7889.1,8510.2,,False,False,True,True,False,False,False
Nebraska,10782,7026.0,,5325.6,1029.0,19308.0,4480.6,5905.8,846.6,5753.5,-3756.0,,-5456.4,-9753.0,8526.0,-6301.4,-4876.2,-9935.4,-5028.5,,False,False,False,False,False,False,False
Nevada,38231,31578.0,,56702.2,27865.0,59018.0,26879.1,28967.4,42003.5,57966.6,-6653.0,,18471.2,-10366.0,20787.0,-11351.9,-9263.6,3772.5,19735.6,,False,False,False,False,False,True,False
New Hampshire,1070,912.0,,192.8,201.0,710.0,536.3,767.5,322.1,478.0,-158.0,,-877.2,-869.0,-360.0,-533.7,-302.5,-747.9,-592.0,,False,False,False,False,False,False,False
New Jersey,14418,11556.0,,8600.2,630.0,14917.0,5930.4,9564.8,200.4,20402.1,-2862.0,,-5817.8,-13788.0,499.0,-8487.6,-4853.2,-14217.6,5984.1,,False,False,True,False,False,False,False
New Mexico,9529,10260.0,,12862.5,3886.0,13387.0,6734.0,15087.6,5561.6,17386.8,731.0,,3333.5,-5643.0,3858.0,-2795.0,5558.6,-3967.4,7857.8,,False,False,False,False,False,False,False
New York,28136,26586.0,,23688.4,3492.0,107844.0,14142.3,24058.1,270.5,49867.2,-1550.0,,-4447.6,-24644.0,79708.0,-13993.7,-4077.9,-27865.5,21731.2,,False,False,False,False,False,False,False
North Carolina,72397,73416.0,,76203.5,106944.0,191197.0,53365.9,85905.5,66681.2,69478.8,1019.0,,3806.5,34547.0,118800.0,-19031.1,13508.5,-5715.8,-2918.2,,False,False,False,False,False,False,False
North Dakota,5493,2784.0,,2660.5,481.0,5263.0,2406.2,3727.9,1163.8,5914.8,-2709.0,,-2832.5,-5012.0,-230.0,-3086.8,-1765.1,-4329.2,421.8,,False,False,True,False,True,False,True
Ohio,49951,48186.0,,62811.3,44502.0,57410.0,39410.1,73572.5,28628.7,110927.1,-1765.0,,12860.3,-5449.0,7459.0,-10540.9,23621.5,-21322.3,60976.1,,False,False,False,False,False,False,False
Oklahoma,32820,24786.0,,36516.9,16520.0,184934.0,16750.0,31839.0,31533.3,31656.9,-8034.0,,3696.9,-16300.0,152114.0,-16070.0,-981.0,-1286.7,-1163.1,,True,False,False,False,True,True,True
Oregon,12859,11526.0,,16240.4,9480.0,22729.0,10115.7,11933.2,18416.1,21491.4,-1333.0,,3381.4,-3379.0,9870.0,-2743.3,-925.8,5557.1,8632.4,,False,False,False,False,True,False,False
Pennsylvania,33944,31764.0,,36203.6,5522.0,40894.0,16393.5,75002.3,6311.7,49167.4,-2180.0,,2259.6,-28422.0,6950.0,-17550.5,41058.3,-27632.3,15223.4,,False,False,False,False,False,False,False
Rhode Island,3710,1926.0,,1090.8,190.0,3837.0,621.6,1449.3,94.7,765.3,-1784.0,,-2619.2,-3520.0,127.0,-3088.4,-2260.7,-3615.3,-2944.7,,False,False,True,False,False,False,False
South Carolina,56596,67878.0,,104469.6,36691.0,65602.0,67405.0,61641.1,52983.8,84082.6,11282.0,,47873.6,-19905.0,9006.0,10809.0,5045.1,-3612.2,27486.6,,False,False,True,True,True,True,False
South Dakota,3681,2556.0,,2250.9,990.0,2585.0,1548.4,1653.9,783.8,3705.4,-1125.0,,-1430.1,-2691.0,-1096.0,-2132.6,-2027.1,-2897.2,24.4,,False,False,True,False,False,False,True
Tennessee,81077,65196.0,,85037.5,72480.0,74109.0,32172.8,54435.9,49400.6,94428.3,-15881.0,,3960.5,-8597.0,-6968.0,-48904.2,-26641.1,-31676.4,13351.3,,True,True,True,False,False,False,True
Texas,334864,362742.0,,625400.5,341500.0,784837.0,278165.9,477923.7,434757.5,272512.7,27878.0,,290536.5,6636.0,449973.0,-56698.1,143059.7,99893.5,-62351.3,,False,True,False,False,False,False,False
Utah,19959,25878.0,,31045.8,29771.0,34891.0,18603.2,28863.3,25775.7,16740.4,5919.0,,11086.8,9812.0,14932.0,-1355.8,8904.3,5816.7,-3218.6,,False,False,False,True,False,True,True
Vermont,270,270.0,,80.8,20.0,207.0,177.2,262.6,0.0,227.5,0.0,,-189.2,-250.0,-63.0,-92.8,-7.4,-270.0,-42.5,,False,False,False,False,False,False,False
Virginia,42290,28038.0,,19261.5,10136.0,33777.0,20514.1,35445.9,10176.4,7819.1,-14252.0,,-23028.5,-32154.0,-8513.0,-21775.9,-6844.1,-32113.6,-34470.9,,False,False,True,False,True,False,False
Washington,31377,23826.0,,39995.3,16261.0,24363.0,24875.9,48195.2,16691.8,45212.5,-7551.0,,8618.3,-15116.0,-7014.0,-6501.1,16818.2,-14685.2,13835.5,,False,False,True,True,False,False,False
West Virginia,5039,5646.0,,8648.4,5101.0,3553.0,4809.3,6983.7,6988.9,14393.9,607.0,,3609.4,62.0,-1486.0,-229.7,1944.7,1949.9,9354.9,,False,True,False,True,False,False,False
Wisconsin,34330,27744.0,,33076.0,11247.0,32526.0,22717.3,34256.8,18454.8,46471.3,-6586.0,,-1254.0,-23083.0,-1804.0,-11612.7,-73.2,-15875.2,12141.3,,True,False,True,False,True,False,False
Wyoming,1712,1398.0,,2828.4,889.0,1087.0,819.7,1338.3,1372.4,1279.5,-314.0,,1116.4,-823.0,-625.0,-892.3,-373.7,-339.6,-432.5,,False,False,False,False,False,False,False
US,2421996,2428104.0,2525411.0,3389817.6,1909237.0,3169875.0,1599459.7,2905012.8,1870462.1,3452570.5,6108.0,103415.0,967821.6,-512759.0,747879.0,-822536.3,483016.8,-551533.9,1030574.5,False,False,False,False,False,False,False,False
