,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01029,304,301.0,,,,,85.0,,189.4,96.2,,,,65.0,-3.0,,,,,-219.0,,-114.6,-207.8,,,,-239.0,,,,,False,,False,False,,,,False
01031,925,483.0,,,,,286.0,,429.2,214.7,,249.3,,523.0,-442.0,,,,,-639.0,,-495.8,-710.3,,-675.7,,-402.0,,,,,False,,False,False,,False,,True
01033,1306,574.0,,,,,518.0,,362.4,232.3,,469.1,,488.0,-732.0,,,,,-788.0,,-943.6,-1073.7,,-836.9,,-818.0,,,,,False,,False,False,,False,,False
01035,138,49.0,,,,,56.0,,34.0,5.4,0.0,,,16.0,-89.0,,,,,-82.0,,-104.0,-132.6,-138.0,,,-122.0,,,,,True,,False,False,False,,,False
01037,150,56.0,,,,,31.0,,55.4,12.2,0.0,,,90.0,-94.0,,,,,-119.0,,-94.6,-137.8,-150.0,,,-60.0,,,,,False,,False,False,False,,,True
01039,635,448.0,,,,,268.0,,400.5,331.8,0.3,151.4,,319.0,-187.0,,,,,-367.0,,-234.5,-303.2,-634.7,-483.6,,-316.0,,,,,False,,False,False,False,False,,False
01041,143,112.0,,,,,66.0,,71.1,39.1,0.0,,,48.0,-31.0,,,,,-77.0,,-71.9,-103.9,-143.0,,,-95.0,,,,,False,,False,False,False,,,False
01043,2358,630.0,,,,,760.0,,443.5,158.3,164.3,338.0,,694.0,-1728.0,,,,,-1598.0,,-1914.5,-2199.7,-2193.7,-2020.0,,-1664.0,,,,,True,,False,False,False,False,,True
01045,788,266.0,,,,,249.0,,242.0,79.8,0.5,216.7,,505.0,-522.0,,,,,-539.0,,-546.0,-708.2,-787.5,-571.3,,-283.0,,,,,False,,False,False,False,False,,True
01047,440,161.0,,,,,177.0,,117.9,37.3,0.2,88.5,,65.0,-279.0,,,,,-263.0,,-322.1,-402.7,-439.8,-351.5,,-375.0,,,,,True,,False,False,False,False,,False
01049,2015,1694.0,,,,,732.0,,1306.5,1378.5,28.1,976.1,,1415.0,-321.0,,,,,-1283.0,,-708.5,-636.5,-1986.9,-1038.9,,-600.0,,,,,False,,False,False,False,False,,False
01051,1130,896.0,,,,,296.0,,617.8,590.7,7.5,568.0,,831.0,-234.0,,,,,-834.0,,-512.2,-539.3,-1122.5,-562.0,,-299.0,,,,,False,,False,False,False,False,,False
01053,303,238.0,,,,,316.0,,196.5,56.9,0.2,82.9,,280.0,-65.0,,,,,13.0,,-106.5,-246.1,-302.8,-220.1,,-23.0,,,,,True,,False,False,False,False,,True
01055,2503,700.0,,,,,917.0,,500.8,463.7,6.7,412.8,,366.0,-1803.0,,,,,-1586.0,,-2002.2,-2039.3,-2496.3,-2090.2,,-2137.0,,,,,True,,False,False,False,False,,False
01057,398,147.0,,,,,117.0,,65.4,82.9,0.5,,,25.0,-251.0,,,,,-281.0,,-332.6,-315.1,-397.5,,,-373.0,,,,,False,,False,False,False,,,False
01059,642,350.0,,,,,351.0,,189.9,92.0,9.6,222.0,,541.0,-292.0,,,,,-291.0,,-452.1,-550.0,-632.4,-420.0,,-101.0,,,,,True,,False,False,False,False,,True
01061,433,385.0,,,,,179.0,,505.1,92.7,0.1,,,418.0,-48.0,,,,,-254.0,,72.1,-340.3,-432.9,,,-15.0,,,,,False,,False,False,False,,,True
01063,100,133.0,,,,,29.0,,92.3,29.7,0.0,,,145.0,33.0,,,,,-71.0,,-7.7,-70.3,-100.0,,,45.0,,,,,False,,True,False,False,,,False
01065,268,217.0,,,,,90.0,,160.8,39.5,0.8,,,107.0,-51.0,,,,,-178.0,,-107.2,-228.5,-267.2,,,-161.0,,,,,False,,False,False,False,,,False
01067,258,252.0,,,,,84.0,,264.2,41.7,0.1,,,267.0,-6.0,,,,,-174.0,,6.2,-216.3,-257.9,,,9.0,,,,,False,,False,False,False,,,False
01069,1759,1057.0,,,,,582.0,,1525.5,316.3,1.4,564.0,,1900.0,-702.0,,,,,-1177.0,,-233.5,-1442.7,-1757.6,-1195.0,,141.0,,,,,False,,True,False,False,False,,True
01071,1409,903.0,,,,,613.0,,661.1,682.4,2.0,383.1,,714.0,-506.0,,,,,-796.0,,-747.9,-726.6,-1407.0,-1025.9,,-695.0,,,,,False,,False,False,False,False,,False
01073,10992,5257.0,,,,,3250.0,,3174.2,3779.9,254.1,2751.6,,3176.0,-5735.0,,,,,-7742.0,,-7817.8,-7212.1,-10737.9,-8240.4,,-7816.0,,,,,False,,False,False,False,False,,False
01075,261,112.0,,,,,108.0,,65.9,64.1,0.3,,,49.0,-149.0,,,,,-153.0,,-195.1,-196.9,-260.7,,,-212.0,,,,,False,,False,False,False,,,False
01077,2164,749.0,,,,,854.0,,552.8,347.5,244.1,528.7,,708.0,-1415.0,,,,,-1310.0,,-1611.2,-1816.5,-1919.9,-1635.3,,-1456.0,,,,,True,,False,False,False,False,,False
01079,557,413.0,,,,,288.0,,305.9,248.1,118.1,,,82.0,-144.0,,,,,-269.0,,-251.1,-308.9,-438.9,,,-475.0,,,,,False,,False,False,False,,,False
01081,1507,1148.0,,,,,718.0,,842.7,693.7,5.6,659.7,,642.0,-359.0,,,,,-789.0,,-664.3,-813.3,-1501.4,-847.3,,-865.0,,,,,False,,False,False,False,False,,False
01083,1727,1743.0,,,,,775.0,,1394.3,1321.7,779.2,667.7,,1812.0,16.0,,,,,-952.0,,-332.7,-405.3,-947.8,-1059.3,,85.0,,,,,False,,False,False,False,False,,False
01085,118,119.0,,,,,25.0,,65.6,19.3,0.2,,,0.0,1.0,,,,,-93.0,,-52.4,-98.7,-117.8,,,-118.0,,,,,False,,False,False,False,,,False
01087,227,147.0,,,,,38.0,,98.5,18.2,0.0,,,315.0,-80.0,,,,,-189.0,,-128.5,-208.8,-227.0,,,88.0,,,,,False,,False,False,False,,,False
01089,4771,2107.0,,,,,2124.0,,1467.7,1636.8,204.0,900.1,,1012.0,-2664.0,,,,,-2647.0,,-3303.3,-3134.2,-4567.0,-3870.9,,-3759.0,,,,,True,,False,False,False,False,,False
01091,344,945.0,,,,,146.0,,527.2,649.5,113.8,,,253.0,601.0,,,,,-198.0,,183.2,305.5,-230.2,,,-91.0,,,,,True,,True,True,True,,,True
01093,395,196.0,,,,,231.0,,151.4,58.6,0.3,,,192.0,-199.0,,,,,-164.0,,-243.6,-336.4,-394.7,,,-203.0,,,,,True,,False,False,False,,,False
01095,2142,784.0,,,,,902.0,,523.9,530.6,11.1,416.9,,854.0,-1358.0,,,,,-1240.0,,-1618.1,-1611.4,-2130.9,-1725.1,,-1288.0,,,,,True,,False,False,False,False,,True
01097,5928,1596.0,,,,,3119.0,,988.1,1076.0,25.3,1203.6,,741.0,-4332.0,,,,,-2809.0,,-4939.9,-4852.0,-5902.7,-4724.4,,-5187.0,,,,,True,,False,False,False,False,,False
01099,181,91.0,,,,,126.0,,68.2,6.5,0.0,,,73.0,-90.0,,,,,-55.0,,-112.8,-174.5,-181.0,,,-108.0,,,,,True,,False,False,False,,,False
01101,3139,1554.0,,,,,807.0,,841.0,631.3,38.2,1117.0,,2089.0,-1585.0,,,,,-2332.0,,-2298.0,-2507.7,-3100.8,-2022.0,,-1050.0,,,,,False,,False,False,False,False,,True
01103,2947,1484.0,,,,,935.0,,1011.5,658.4,27.1,659.3,,1722.0,-1463.0,,,,,-2012.0,,-1935.5,-2288.6,-2919.9,-2287.7,,-1225.0,,,,,False,,False,False,False,False,,True
01105,118,161.0,,,,,25.0,,102.4,71.4,0.0,,,380.0,43.0,,,,,-93.0,,-15.6,-46.6,-118.0,,,262.0,,,,,False,,True,False,False,,,False
01107,518,231.0,,,,,127.0,,126.7,170.0,0.6,,,111.0,-287.0,,,,,-391.0,,-391.3,-348.0,-517.4,,,-407.0,,,,,False,,False,False,False,,,False
01109,326,224.0,,,,,164.0,,137.1,26.0,0.0,150.7,,89.0,-102.0,,,,,-162.0,,-188.9,-300.0,-326.0,-175.3,,-237.0,,,,,False,,False,False,False,False,,False
01111,290,315.0,,,,,119.0,,224.6,99.5,0.9,,,183.0,25.0,,,,,-171.0,,-65.4,-190.5,-289.1,,,-107.0,,,,,False,,False,False,False,,,False
01113,379,203.0,,,,,262.0,,162.0,76.4,0.3,115.7,,149.0,-176.0,,,,,-117.0,,-217.0,-302.6,-378.7,-263.3,,-230.0,,,,,True,,False,False,False,False,,False
01115,1620,882.0,,,,,444.0,,696.6,490.9,20.6,566.5,,460.0,-738.0,,,,,-1176.0,,-923.4,-1129.1,-1599.4,-1053.5,,-1160.0,,,,,False,,False,False,False,False,,False
01117,3640,2212.0,,,,,836.0,,1521.0,1400.8,177.7,849.2,,1301.0,-1428.0,,,,,-2804.0,,-2119.0,-2239.2,-3462.3,-2790.8,,-2339.0,,,,,False,,False,False,False,False,,False
01119,122,119.0,,,,,62.0,,78.2,11.2,0.1,,,154.0,-3.0,,,,,-60.0,,-43.8,-110.8,-121.9,,,32.0,,,,,False,,False,False,False,,,False
01121,1122,896.0,,,,,445.0,,663.7,585.9,0.7,501.6,,786.0,-226.0,,,,,-677.0,,-458.3,-536.1,-1121.3,-620.4,,-336.0,,,,,False,,False,False,False,False,,False
01123,552,210.0,,,,,169.0,,134.6,82.5,0.7,122.7,,155.0,-342.0,,,,,-383.0,,-417.4,-469.5,-551.3,-429.3,,-397.0,,,,,False,,False,False,False,False,,False
01125,3626,2093.0,,,,,1367.0,,1248.1,1032.7,7.4,2209.3,,310.0,-1533.0,,,,,-2259.0,,-2377.9,-2593.3,-3618.6,-1416.7,,-3316.0,,,,,False,,False,False,False,True,,False
01127,1138,784.0,,,,,519.0,,547.7,231.6,1.8,312.2,,512.0,-354.0,,,,,-619.0,,-590.3,-906.4,-1136.2,-825.8,,-626.0,,,,,False,,False,False,False,False,,False
01129,313,133.0,,,,,161.0,,71.5,23.0,0.1,,,197.0,-180.0,,,,,-152.0,,-241.5,-290.0,-312.9,,,-116.0,,,,,True,,False,False,False,,,True
01131,87,98.0,,,,,28.0,,68.0,18.9,0.1,,,71.0,11.0,,,,,-59.0,,-19.0,-68.1,-86.9,,,-16.0,,,,,False,,False,False,False,,,False
01133,511,371.0,,,,,203.0,,224.6,300.2,1.6,,,253.0,-140.0,,,,,-308.0,,-286.4,-210.8,-509.4,,,-258.0,,,,,False,,False,False,False,,,False
02013,20,7.0,,,,,,,0.3,,,,,19.0,-13.0,,,,,,,-19.7,,,,,-1.0,,,,,,,False,,,,,True
02016,12,0.0,,,,,,,0.1,,,,,0.0,-12.0,,,,,,,-11.9,,,,,-12.0,,,,,,,True,,,,,False
02020,10927,4662.0,,,,,,,3685.3,2704.5,1723.4,1932.8,,977.0,-6265.0,,,,,,,-7241.7,-8222.5,-9203.6,-8994.2,,-9950.0,,,,,,,False,False,False,False,,False
02050,1263,350.0,,,,,,,572.6,203.7,0.0,,,444.0,-913.0,,,,,,,-690.4,-1059.3,-1263.0,,,-819.0,,,,,,,True,False,False,,,True
02060,0,0.0,,,,,,,0.0,0.4,,,,0.0,0.0,,,,,,,0.0,0.4,,,,0.0,,,,,,,False,False,,,,True
02068,26,21.0,,,,,,,17.4,,,,,1.0,-5.0,,,,,,,-8.6,,,,,-25.0,,,,,,,False,,,,,False
02070,67,21.0,,,,,,,8.2,0.6,,,,3.0,-46.0,,,,,,,-58.8,-66.4,,,,-64.0,,,,,,,False,False,,,,False
02090,1823,1939.0,,,,,,,2207.5,2093.2,626.6,904.0,,656.0,116.0,,,,,,,384.5,270.2,-1196.4,-919.0,,-1167.0,,,,,,,False,False,False,False,,False
02100,7,0.0,,,,,,,0.1,,,,,0.0,-7.0,,,,,,,-6.9,,,,,-7.0,,,,,,,True,,,,,False
02105,0,0.0,,,,,,,0.1,,,,,,0.0,,,,,,,0.1,,,,,,,,,,,,False,,,,,
02110,441,91.0,,,,,,,56.1,39.3,246.3,,,38.0,-350.0,,,,,,,-384.9,-401.7,-194.7,,,-403.0,,,,,,,False,False,True,,,False
02122,1850,294.0,,,,,,,178.8,102.9,197.1,,,563.0,-1556.0,,,,,,,-1671.2,-1747.1,-1652.9,,,-1287.0,,,,,,,False,False,False,,,True
02130,124,28.0,,,,,,,27.1,2.2,,,,240.0,-96.0,,,,,,,-96.9,-121.8,,,,116.0,,,,,,,False,False,,,,False
02150,184,91.0,,,,,,,334.6,1.6,,,,206.0,-93.0,,,,,,,150.6,-182.4,,,,22.0,,,,,,,False,False,,,,True
02158,397,21.0,,,,,,,14.0,,,,,9.0,-376.0,,,,,,,-383.0,,,,,-388.0,,,,,,,False,,,,,False
02164,49,0.0,,,,,,,1.8,,,,,,-49.0,,,,,,,-47.2,,,,,,,,,,,,True,,,,,
02170,2515,476.0,,,,,,,372.3,332.5,315.9,,,413.0,-2039.0,,,,,,,-2142.7,-2182.5,-2199.1,,,-2102.0,,,,,,,False,False,False,,,False
02180,119,140.0,,,,,,,218.8,22.9,0.0,,,96.0,21.0,,,,,,,99.8,-96.1,-119.0,,,-23.0,,,,,,,False,False,False,,,False
02185,285,70.0,,,,,,,81.0,8.8,0.0,,,35.0,-215.0,,,,,,,-204.0,-276.2,-285.0,,,-250.0,,,,,,,True,False,False,,,False
02188,186,196.0,,,,,,,181.8,84.5,0.0,,,20.0,10.0,,,,,,,-4.2,-101.5,-186.0,,,-166.0,,,,,,,True,False,False,,,False
02195,12,0.0,,,,,,,0.2,0.2,,,,54.0,-12.0,,,,,,,-11.8,-11.8,,,,42.0,,,,,,,True,True,,,,False
02198,19,0.0,,,,,,,0.2,1.6,,,,0.0,-19.0,,,,,,,-18.8,-17.4,,,,-19.0,,,,,,,True,True,,,,False
02220,113,0.0,,,,,,,0.1,2.3,,,,1.0,-113.0,,,,,,,-112.9,-110.7,,,,-112.0,,,,,,,True,True,,,,True
02230,10,0.0,,,,,,,0.0,,,,,,-10.0,,,,,,,-10.0,,,,,,,,,,,,True,,,,,
02240,233,35.0,,,,,,,44.0,1.0,,,,40.0,-198.0,,,,,,,-189.0,-232.0,,,,-193.0,,,,,,,True,False,,,,True
02261,118,35.0,,,,,,,34.2,7.5,,,,59.0,-83.0,,,,,,,-83.8,-110.5,,,,-59.0,,,,,,,False,False,,,,True
02275,1,0.0,,,,,,,0.1,,,,,0.0,-1.0,,,,,,,-0.9,,,,,-1.0,,,,,,,True,,,,,False
02282,19,7.0,,,,,,,4.1,,,,,2.0,-12.0,,,,,,,-14.9,,,,,-17.0,,,,,,,False,,,,,False
02290,80,35.0,,,,,,,30.7,13.3,,,,96.0,-45.0,,,,,,,-49.3,-66.7,,,,16.0,,,,,,,False,False,,,,True
04001,1641,938.0,,,,,884.0,,336.9,179.5,1.3,434.0,,144.0,-703.0,,,,,-757.0,,-1304.1,-1461.5,-1639.7,-1207.0,,-1497.0,,,,,False,,False,False,False,False,,False
04003,1644,252.0,,,,,252.0,,158.1,58.3,0.0,134.1,,252.0,-1392.0,,,,,-1392.0,,-1485.9,-1585.7,-1644.0,-1509.9,,-1392.0,,,,,False,,False,False,False,False,,False
04005,3001,1274.0,,,,,621.0,,750.8,873.7,0.7,505.1,,419.0,-1727.0,,,,,-2380.0,,-2250.2,-2127.3,-3000.3,-2495.9,,-2582.0,,,,,False,,False,False,False,False,,False
04007,1390,553.0,,,,,124.0,,487.8,285.6,263.6,159.9,,783.0,-837.0,,,,,-1266.0,,-902.2,-1104.4,-1126.4,-1230.1,,-607.0,,,,,False,,False,False,False,False,,True
04009,1220,427.0,,,,,84.0,,326.0,136.4,0.0,,,184.0,-793.0,,,,,-1136.0,,-894.0,-1083.6,-1220.0,,,-1036.0,,,,,False,,False,False,False,,,False
04011,161,21.0,,,,,31.0,,18.3,0.1,,,,292.0,-140.0,,,,,-130.0,,-142.7,-160.9,,,,131.0,,,,,True,,False,False,,,,True
04012,261,140.0,,,,,22.0,,143.7,14.2,0.0,,,1407.0,-121.0,,,,,-239.0,,-117.3,-246.8,-261.0,,,1146.0,,,,,False,,True,False,False,,,False
04013,57816,20153.0,,,,,7664.0,,13424.2,15099.1,766.9,11434.7,,23665.0,-37663.0,,,,,-50152.0,,-44391.8,-42716.9,-57049.1,-46381.3,,-34151.0,,,,,False,,False,False,False,False,,True
04015,2068,294.0,,,,,449.0,,244.7,45.0,185.9,169.1,,183.0,-1774.0,,,,,-1619.0,,-1823.3,-2023.0,-1882.1,-1898.9,,-1885.0,,,,,True,,False,False,False,False,,False
04017,2191,483.0,,,,,727.0,,296.6,219.7,3.1,222.2,,1392.0,-1708.0,,,,,-1464.0,,-1894.4,-1971.3,-2187.9,-1968.8,,-799.0,,,,,True,,False,False,False,False,,True
04019,12935,3556.0,,,,,1022.0,,2520.9,1864.8,1117.1,1687.5,,2453.0,-9379.0,,,,,-11913.0,,-10414.1,-11070.2,-11817.9,-11247.5,,-10482.0,,,,,False,,False,False,False,False,,False
04021,5307,2016.0,,,,,484.0,,1524.0,1204.9,167.6,1415.9,,2079.0,-3291.0,,,,,-4823.0,,-3783.0,-4102.1,-5139.4,-3891.1,,-3228.0,,,,,False,,False,False,False,False,,True
04023,974,161.0,,,,,61.0,,123.3,16.5,0.4,47.3,,0.0,-813.0,,,,,-913.0,,-850.7,-957.5,-973.6,-926.7,,-974.0,,,,,False,,False,False,False,False,,False
04025,2488,588.0,,,,,393.0,,517.1,384.6,302.3,393.4,,364.0,-1900.0,,,,,-2095.0,,-1970.9,-2103.4,-2185.7,-2094.6,,-2124.0,,,,,False,,False,False,False,False,,False
04027,4761,1197.0,,,,,166.0,,710.4,256.2,2.5,593.6,,1830.0,-3564.0,,,,,-4595.0,,-4050.6,-4504.8,-4758.5,-4167.4,,-2931.0,,,,,False,,False,False,False,False,,True
05001,406,679.0,,,,,266.0,,821.1,269.9,183.9,,,57.0,273.0,,,,,-140.0,,415.1,-136.1,-222.1,,,-349.0,,,,,True,,False,True,True,,,False
05003,378,140.0,,,,,196.0,,102.8,79.1,0.6,,,220.0,-238.0,,,,,-182.0,,-275.2,-298.9,-377.4,,,-158.0,,,,,True,,False,False,False,,,True
05005,922,434.0,,,,,624.0,,496.8,149.2,226.6,,,261.0,-488.0,,,,,-298.0,,-425.2,-772.8,-695.4,,,-661.0,,,,,True,,True,False,False,,,False
05007,4729,2086.0,,,,,3192.0,,1625.9,700.0,94.4,1712.3,,1530.0,-2643.0,,,,,-1537.0,,-3103.1,-4029.0,-4634.6,-3016.7,,-3199.0,,,,,True,,False,False,False,False,,False
05009,877,525.0,,,,,830.0,,473.7,259.9,0.3,,,364.0,-352.0,,,,,-47.0,,-403.3,-617.1,-876.7,,,-513.0,,,,,True,,False,False,False,,,False
05011,141,21.0,,,,,118.0,,20.3,1.3,0.0,,,12.0,-120.0,,,,,-23.0,,-120.7,-139.7,-141.0,,,-129.0,,,,,True,,False,False,False,,,False
05013,110,14.0,,,,,37.0,,13.2,,,,,26.0,-96.0,,,,,-73.0,,-96.8,,,,,-84.0,,,,,True,,False,,,,,True
05015,564,700.0,,,,,446.0,,709.2,369.7,291.5,,,615.0,136.0,,,,,-118.0,,145.2,-194.3,-272.5,,,51.0,,,,,True,,False,False,False,,,True
05017,165,35.0,,,,,140.0,,17.4,1.7,0.3,56.3,,76.0,-130.0,,,,,-25.0,,-147.6,-163.3,-164.7,-108.7,,-89.0,,,,,True,,False,False,False,True,,True
05019,387,287.0,,,,,261.0,,285.5,58.3,95.5,,,157.0,-100.0,,,,,-126.0,,-101.5,-328.7,-291.5,,,-230.0,,,,,False,,False,False,False,,,False
05021,483,308.0,,,,,261.0,,318.6,186.7,71.8,,,227.0,-175.0,,,,,-222.0,,-164.4,-296.3,-411.2,,,-256.0,,,,,False,,True,False,False,,,False
05023,333,210.0,,,,,541.0,,213.1,80.4,48.8,,,255.0,-123.0,,,,,208.0,,-119.9,-252.6,-284.2,,,-78.0,,,,,False,,True,False,False,,,True
05025,165,42.0,,,,,71.0,,37.2,1.1,0.0,,,58.0,-123.0,,,,,-94.0,,-127.8,-163.9,-165.0,,,-107.0,,,,,True,,False,False,False,,,True
05027,473,455.0,,,,,204.0,,480.3,145.1,167.4,,,192.0,-18.0,,,,,-269.0,,7.3,-327.9,-305.6,,,-281.0,,,,,False,,True,False,False,,,False
05029,358,91.0,,,,,616.0,,119.9,24.9,68.2,,,132.0,-267.0,,,,,258.0,,-238.1,-333.1,-289.8,,,-226.0,,,,,True,,True,False,False,,,True
05031,3401,2597.0,,,,,1992.0,,2348.2,860.4,1405.7,1670.2,,2851.0,-804.0,,,,,-1409.0,,-1052.8,-2540.6,-1995.3,-1730.8,,-550.0,,,,,False,,False,False,False,False,,True
05033,1348,1127.0,,,,,1412.0,,1051.9,642.0,659.5,550.2,,907.0,-221.0,,,,,64.0,,-296.1,-706.0,-688.5,-797.8,,-441.0,,,,,True,,False,False,False,False,,False
05035,1177,378.0,,,,,795.0,,298.2,110.3,1.8,190.3,,251.0,-799.0,,,,,-382.0,,-878.8,-1066.7,-1175.2,-986.7,,-926.0,,,,,True,,False,False,False,False,,False
05037,348,175.0,,,,,399.0,,174.3,20.1,0.7,,,42.0,-173.0,,,,,51.0,,-173.7,-327.9,-347.3,,,-306.0,,,,,True,,False,False,False,,,False
05039,124,35.0,,,,,78.0,,31.6,2.1,0.0,,,26.0,-89.0,,,,,-46.0,,-92.4,-121.9,-124.0,,,-98.0,,,,,True,,False,False,False,,,False
05041,210,196.0,,,,,135.0,,174.3,51.6,0.1,,,215.0,-14.0,,,,,-75.0,,-35.7,-158.4,-209.9,,,5.0,,,,,False,,False,False,False,,,True
05043,353,77.0,,,,,225.0,,74.3,33.3,0.0,,,212.0,-276.0,,,,,-128.0,,-278.7,-319.7,-353.0,,,-141.0,,,,,True,,False,False,False,,,True
05045,1823,1547.0,,,,,1869.0,,1423.1,1066.2,1008.9,434.2,,1074.0,-276.0,,,,,46.0,,-399.9,-756.8,-814.1,-1388.8,,-749.0,,,,,True,,False,False,False,False,,False
05047,398,504.0,,,,,472.0,,546.1,710.0,119.4,,,18.0,106.0,,,,,74.0,,148.1,312.0,-278.6,,,-380.0,,,,,True,,False,False,False,,,False
05049,327,168.0,,,,,145.0,,181.6,67.7,1.1,,,46.0,-159.0,,,,,-182.0,,-145.4,-259.3,-325.9,,,-281.0,,,,,False,,True,False,False,,,False
05051,1683,518.0,,,,,1448.0,,429.5,303.4,33.5,391.0,,185.0,-1165.0,,,,,-235.0,,-1253.5,-1379.6,-1649.5,-1292.0,,-1498.0,,,,,True,,False,False,False,False,,False
05053,295,189.0,,,,,167.0,,149.6,125.1,75.3,,,126.0,-106.0,,,,,-128.0,,-145.4,-169.9,-219.7,,,-169.0,,,,,False,,False,False,False,,,False
05055,1810,889.0,,,,,749.0,,799.1,946.1,314.5,,,745.0,-921.0,,,,,-1061.0,,-1010.9,-863.9,-1495.5,,,-1065.0,,,,,False,,False,True,False,,,False
05057,397,322.0,,,,,176.0,,329.5,213.2,113.9,,,46.0,-75.0,,,,,-221.0,,-67.5,-183.8,-283.1,,,-351.0,,,,,False,,True,False,False,,,False
05059,869,679.0,,,,,469.0,,475.7,400.3,4.5,225.0,,13.0,-190.0,,,,,-400.0,,-393.3,-468.7,-864.5,-644.0,,-856.0,,,,,False,,False,False,False,False,,False
