,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF
Georgia,106774,44740.0,38849.9,44788.9,44404.0,48215.0,,45184.8,14864.0,48377.6,40989.5,,49699.0,43787.5,41026.7,50873.0,25279.6,57360.0,58752.5,48754.0,49593.9,47986.5,,39210.6,21951.8,26505.8,47130.1,57358.3,52322.0,53694.1,-62034.0,-67924.1,-61985.1,-62370.0,-58559.0,,-61589.2,-91910.0,-58396.4,-65784.5,,-57075.0,-62986.5,-65747.3,-55901.0,-81494.4,-49414.0,-48021.5,-58020.0,-57180.1,-58787.5,,-67563.4,-84822.2,-80268.2,-59643.9,-49415.7,-54452.0,-53079.9,False,True,False,True,,True,False,True,False,,True,False,False,True,False,True,True,True,True,True,,False,False,False,True,True,True,True
Hawaii,2798,2072.0,5109.9,2055.5,1947.0,1870.0,,2487.6,985.0,1560.5,2023.0,,,3009.3,2970.3,2142.0,2845.5,2223.0,1965.3,1755.0,2423.1,3482.8,,1765.0,1965.2,1226.5,2009.8,1772.9,644.0,3296.5,-726.0,2311.9,-742.5,-851.0,-928.0,,-310.4,-1813.0,-1237.5,-775.0,,,211.3,172.3,-656.0,47.5,-575.0,-832.7,-1043.0,-374.9,684.8,,-1033.0,-832.8,-1571.5,-788.2,-1025.1,-2154.0,498.5,False,False,False,False,,True,False,False,False,,,True,True,True,True,True,False,False,True,True,,False,False,False,False,False,False,True
Idaho,35052,23656.0,74372.7,23466.1,24688.0,22385.0,,24725.3,11829.0,30234.1,28935.3,,23111.0,30316.8,38769.5,33101.0,8467.1,30393.5,48233.6,24622.0,23680.0,27484.3,,26163.3,31442.7,9215.2,36103.7,24594.6,13269.0,28771.7,-11396.0,39320.7,-11585.9,-10364.0,-12667.0,,-10326.7,-23223.0,-4817.9,-6116.7,,-11941.0,-4735.2,3717.5,-1951.0,-26584.9,-4658.5,13181.6,-10430.0,-11372.0,-7567.7,,-8888.7,-3609.3,-25836.8,1051.7,-10457.4,-21783.0,-6280.3,False,False,True,False,,True,False,True,True,,False,True,True,True,False,True,False,True,True,True,,True,True,False,True,True,False,True
Illinois,296389,134988.0,198104.7,134339.3,158192.0,195317.0,,168084.7,91711.0,373113.6,101714.2,,137702.0,149056.7,152188.0,,85107.2,198629.0,335585.1,285406.5,237303.7,134256.7,,158092.5,72001.7,93048.0,171414.5,125069.4,97921.0,122173.1,-161401.0,-98284.3,-162049.7,-138197.0,-101072.0,,-128304.3,-204678.0,76724.6,-194674.8,,-158687.0,-147332.3,-144201.0,,-211281.8,-97760.0,39196.1,-10982.5,-59085.3,-162132.3,,-138296.5,-224387.3,-203341.0,-124974.5,-171319.6,-198468.0,-174215.9,True,False,True,True,,True,False,True,False,,True,True,True,,False,True,True,True,True,False,,True,False,False,True,False,False,False
Indiana,149650,75616.0,78273.4,74863.8,81521.0,101024.0,,68613.2,173359.0,135434.2,75175.6,,71521.0,79581.9,94358.2,88498.0,50567.2,94364.5,147509.8,97370.0,102298.9,69261.2,,79512.9,37679.1,48978.1,80902.3,128338.5,104646.0,97827.5,-74034.0,-71376.6,-74786.2,-68129.0,-48626.0,,-81036.8,23709.0,-14215.8,-74474.4,,-78129.0,-70068.1,-55291.8,-61152.0,-99082.8,-55285.5,-2140.2,-52280.0,-47351.1,-80388.8,,-70137.1,-111970.9,-100671.9,-68747.7,-21311.5,-45004.0,-51822.5,True,False,True,True,,False,True,True,False,,False,True,True,True,False,True,True,True,True,False,,True,False,False,True,True,True,True
Iowa,98669,54696.0,48179.5,54680.8,49251.0,67882.0,,50362.7,28545.0,95372.8,44374.3,,42923.0,48940.1,53919.1,50060.0,17149.8,53897.5,43007.8,75396.5,91028.6,49218.1,,45057.4,15284.8,32017.6,42553.9,66432.1,82979.0,72006.5,-43973.0,-50489.5,-43988.2,-49418.0,-30787.0,,-48306.3,-70124.0,-3296.2,-54294.7,,-55746.0,-49728.9,-44749.9,-48609.0,-81519.2,-44771.5,-55661.2,-23272.5,-7640.4,-49450.9,,-53611.6,-83384.2,-66651.4,-56115.1,-32236.9,-15690.0,-26662.5,False,False,False,True,,False,False,True,False,,False,False,False,False,False,False,False,True,True,False,,False,False,False,False,True,True,True
Kansas,68557,28980.0,26679.5,28475.5,28880.0,39762.0,,27566.3,28331.0,36557.9,31545.0,,25871.0,29433.5,35597.6,30955.0,9453.3,30168.0,21744.4,37905.0,34622.6,28925.8,,19975.7,22260.4,19847.0,29318.0,34551.1,20658.0,31161.9,-39577.0,-41877.5,-40081.5,-39677.0,-28795.0,,-40990.7,-40226.0,-31999.1,-37012.0,,-42686.0,-39123.5,-32959.4,-37602.0,-59103.7,-38389.0,-46812.6,-30652.0,-33934.4,-39631.2,,-48581.3,-46296.6,-48710.0,-39239.0,-34005.9,-47899.0,-37395.1,False,False,False,True,,False,False,True,True,,False,True,True,True,False,True,False,True,True,False,,False,False,False,True,True,False,True
Kentucky,66963,46956.0,51309.7,47557.1,48353.0,62201.0,,46384.2,29279.0,109690.4,52729.0,,44907.0,47865.1,76364.7,51392.0,17464.5,53514.0,57188.1,69118.5,59704.1,48599.8,,43781.3,22480.6,32377.7,47832.4,58496.5,64188.0,59813.5,-20007.0,-15653.3,-19405.9,-18610.0,-4762.0,,-20578.8,-37684.0,42727.4,-14234.0,,-22056.0,-19097.9,9401.7,-15571.0,-49498.6,-13449.0,-9774.9,2155.5,-7258.9,-18363.2,,-23181.7,-44482.4,-34585.3,-19130.6,-8466.5,-2775.0,-7149.5,True,True,True,True,,False,False,False,True,,False,True,True,True,False,True,True,True,True,True,,False,False,False,True,True,True,True
Louisiana,43953,13600.0,14539.7,13874.2,14728.0,11661.0,,15174.5,4388.0,43170.2,13632.3,,16731.0,17782.9,15136.2,16926.0,12069.2,18266.0,15845.6,16747.0,13960.7,18842.1,,14195.8,6344.6,8159.0,20398.8,20530.9,6710.0,17243.3,-30353.0,-29413.3,-30078.8,-29225.0,-32292.0,,-28778.5,-39565.0,-782.8,-30320.7,,-27222.0,-26170.1,-28816.8,-27027.0,-31883.8,-25687.0,-28107.4,-27206.0,-29992.3,-25110.9,,-29757.2,-37608.4,-35794.0,-23554.2,-23422.1,-37243.0,-26709.7,True,True,True,False,,True,False,True,True,,True,True,True,True,False,True,True,True,True,True,,True,False,False,True,True,False,True
Maine,4626,2104.0,217.3,2099.9,1788.0,5466.0,,1262.1,651.0,2225.9,1962.0,,2676.0,1164.7,9840.8,2701.0,2631.3,1724.5,1328.9,2421.0,2717.9,2939.7,,1566.9,1233.6,1477.6,1088.5,1666.2,4052.0,2742.7,-2522.0,-4408.7,-2526.1,-2838.0,840.0,,-3363.9,-3975.0,-2400.1,-2664.0,,-1950.0,-3461.3,5214.8,-1925.0,-1994.7,-2901.5,-3297.1,-2205.0,-1908.1,-1686.3,,-3059.1,-3392.4,-3148.4,-3537.5,-2959.8,-574.0,-1883.3,False,False,False,True,,False,False,True,False,,True,False,False,True,True,False,False,True,True,True,,False,False,False,False,False,True,True
Maryland,49167,23176.0,20048.3,22819.4,22624.0,32691.0,,23810.9,4856.0,39070.0,23331.3,,20718.0,20860.8,17444.0,28278.0,19083.4,22273.5,31556.5,27131.0,30058.6,26372.1,,17903.0,10035.9,18585.2,22273.8,21336.3,26383.0,26563.9,-25991.0,-29118.7,-26347.6,-26543.0,-16476.0,,-25356.1,-44311.0,-10097.0,-25835.7,,-28449.0,-28306.2,-31723.0,-20889.0,-30083.6,-26893.5,-17610.5,-22036.0,-19108.4,-22794.9,,-31264.0,-39131.1,-30581.8,-26893.2,-27830.7,-22784.0,-22603.1,False,False,False,True,,True,False,True,True,,False,False,False,True,False,False,True,True,True,True,,False,False,False,False,False,True,True
Massachusetts,63893,36352.0,26180.6,36426.9,35254.0,53624.0,,38261.5,21530.0,69331.5,46777.6,,33532.0,32705.4,28631.4,34747.0,29887.5,39045.5,62910.9,51323.5,48193.6,36752.9,,39157.7,38054.5,25163.9,36097.1,20403.0,41968.0,48362.3,-27541.0,-37712.4,-27466.1,-28639.0,-10269.0,,-25631.5,-42363.0,5438.5,-17115.4,,-30361.0,-31187.6,-35261.6,-29146.0,-34005.5,-24847.5,-982.1,-12569.5,-15699.4,-27140.1,,-24735.3,-25838.5,-38729.1,-27795.9,-43490.0,-21925.0,-15530.7,False,True,False,True,,True,False,True,True,,False,False,False,False,False,True,True,True,True,True,,True,True,False,False,False,True,True
Michigan,180746,87176.0,105242.1,85753.9,86318.0,132180.0,,93511.8,73579.0,85998.5,98499.0,,87214.0,84172.9,88489.5,93894.0,72004.9,107011.5,201046.9,157757.0,100832.2,69440.9,,63003.2,47818.1,57969.5,82625.4,166955.6,141992.0,103155.3,-93570.0,-75503.9,-94992.1,-94428.0,-48566.0,,-87234.2,-107167.0,-94747.5,-82247.0,,-93532.0,-96573.1,-92256.5,-86852.0,-108741.1,-73734.5,20300.9,-22989.0,-79913.8,-111305.1,,-117742.8,-132927.9,-122776.5,-98120.6,-13790.4,-38754.0,-77590.7,True,False,False,True,,True,False,False,True,,True,False,True,True,False,True,True,True,True,False,,False,False,False,False,True,True,True
Minnesota,155551,65400.0,62359.3,64064.3,67239.0,97329.0,,63057.1,77775.0,136134.8,64437.3,,78483.0,64974.9,64122.8,70035.0,22200.8,72027.5,100111.4,85274.5,90094.3,60726.0,,54481.5,42317.2,36133.1,62437.1,132465.1,61623.0,76308.8,-90151.0,-93191.7,-91486.7,-88312.0,-58222.0,,-92493.9,-77776.0,-19416.2,-91113.7,,-77068.0,-90576.1,-91428.2,-85516.0,-133350.2,-83523.5,-55439.6,-70276.5,-65456.7,-94825.0,,-101069.5,-113233.8,-119417.9,-93113.9,-23085.9,-93928.0,-79242.2,False,False,True,True,,False,True,True,False,,True,False,False,True,False,True,True,True,True,False,,False,False,False,False,True,False,True
Mississippi,29780,20288.0,21037.3,20248.9,20661.0,19704.0,,18717.6,8209.0,28225.4,27151.6,,20464.0,22659.6,23851.5,23618.0,7965.6,22954.0,28499.6,21242.5,21733.7,27013.9,,13818.6,1019.7,16489.5,29076.2,20423.7,19172.0,24897.0,-9492.0,-8742.7,-9531.1,-9119.0,-10076.0,,-11062.4,-21571.0,-1554.6,-2628.4,,-9316.0,-7120.4,-5928.5,-6162.0,-21814.4,-6826.0,-1280.4,-8537.5,-8046.3,-2766.1,,-15961.4,-28760.3,-13290.5,-703.8,-9356.3,-10608.0,-4883.0,True,False,True,False,,False,False,True,True,,True,True,True,True,False,True,True,True,True,True,,False,False,False,True,True,False,True
Missouri,113103,64652.0,57032.8,65704.1,63963.0,76279.0,,61174.0,41590.0,79742.7,59407.5,,54992.0,67553.7,70242.7,61440.0,20822.9,70325.0,75137.8,65608.5,73826.0,61285.0,,63516.3,54958.3,52752.5,64724.1,62889.0,39036.0,81887.9,-48451.0,-56070.2,-47398.9,-49140.0,-36824.0,,-51929.0,-71513.0,-33360.3,-53695.5,,-58111.0,-45549.3,-42860.3,-51663.0,-92280.1,-42778.0,-37965.2,-47494.5,-39277.0,-51818.0,,-49586.7,-58144.7,-60350.5,-48378.9,-50214.0,-74067.0,-31215.1,False,True,False,True,,False,False,True,False,,False,True,True,False,False,True,True,True,True,False,,False,False,False,True,False,False,True
Montana,28044,22636.0,22548.2,22498.1,22753.0,23314.0,,20576.6,17136.0,28421.4,27863.2,,21312.0,32670.3,55320.0,23807.0,2816.0,31884.0,35033.0,23009.0,26499.0,27066.6,,20620.4,49966.6,10578.0,30490.0,30810.2,16769.0,25814.9,-5408.0,-5495.8,-5545.9,-5291.0,-4730.0,,-7467.4,-10908.0,377.4,-180.8,,-6732.0,4626.3,27276.0,-4237.0,-25228.0,3840.0,6989.0,-5035.0,-1545.0,-977.4,,-7423.6,21922.6,-17466.0,2446.0,2766.2,-11275.0,-2229.1,False,False,True,True,,False,False,True,True,,False,True,False,True,False,True,False,True,True,True,,False,False,False,True,True,False,True
Nebraska,54591,30068.0,56444.0,29968.8,31138.0,39658.0,,28775.6,29540.0,70058.4,36159.2,,28571.0,30869.0,39449.0,31397.0,12407.2,34939.5,48618.8,38445.0,40548.6,32841.6,,19668.2,37880.1,19672.7,34893.6,44716.9,23499.0,33642.0,-24523.0,1853.0,-24622.2,-23453.0,-14933.0,,-25815.4,-25051.0,15467.4,-18431.8,,-26020.0,-23722.0,-15142.0,-23194.0,-42183.8,-19651.5,-5972.2,-16146.0,-14042.4,-21749.4,,-34922.8,-16710.9,-34918.3,-19697.4,-9874.1,-31092.0,-20949.0,True,False,True,True,,False,False,True,True,,False,True,True,True,False,True,True,True,True,True,,False,True,False,True,True,False,True
Nevada,48468,23796.0,11106.3,23730.1,23815.0,27145.0,,22754.5,6154.0,29993.8,23907.5,,19764.0,24889.8,18896.0,,14203.7,26793.5,38533.0,28001.5,27735.2,30358.9,,27618.3,7312.4,12436.1,29900.3,23743.4,26367.0,28681.0,-24672.0,-37361.7,-24737.9,-24653.0,-21323.0,,-25713.5,-42314.0,-18474.2,-24560.5,,-28704.0,-23578.2,-29572.0,,-34264.3,-21674.5,-9935.0,-20466.5,-20732.8,-18109.1,,-20849.7,-41155.6,-36031.9,-18567.7,-24724.6,-22101.0,-19787.0,False,False,True,True,,False,False,True,True,,False,True,False,,False,True,True,True,True,True,,True,False,False,True,False,True,True
New Hampshire,8941,3384.0,517.6,3389.6,3396.0,5073.0,,3177.7,3586.0,7080.0,3351.2,,2816.0,2853.6,3174.8,4410.0,4658.0,3463.0,5478.0,3733.0,5094.4,5069.6,,2558.6,6669.4,3245.3,3801.3,2972.8,4597.0,5361.5,-5557.0,-8423.4,-5551.4,-5545.0,-3868.0,,-5763.3,-5355.0,-1861.0,-5589.8,,-6125.0,-6087.4,-5766.2,-4531.0,-4283.0,-5478.0,-3463.0,-5208.0,-3846.6,-3871.4,,-6382.4,-2271.6,-5695.7,-5139.7,-5968.2,-4344.0,-3579.5,False,True,True,True,,False,True,True,False,,False,False,False,True,True,True,True,True,True,True,,False,True,False,True,False,True,True
New Jersey,91667,42188.0,53946.7,42709.2,47608.0,60657.0,,44098.8,46397.0,94126.5,56158.8,,38444.0,36511.7,29756.6,53237.0,54605.4,50563.0,78304.5,63086.0,61252.4,46146.3,,48403.6,31852.3,26072.4,47957.5,22564.4,59150.0,54182.9,-49479.0,-37720.3,-48957.8,-44059.0,-31010.0,,-47568.2,-45270.0,2459.5,-35508.2,,-53223.0,-55155.3,-61910.4,-38430.0,-37061.6,-41104.0,-13362.5,-28581.0,-30414.6,-45520.7,,-43263.4,-59814.7,-65594.6,-43709.5,-69102.6,-32517.0,-37484.1,True,True,True,True,,True,True,True,True,,False,False,False,True,True,True,True,True,True,True,,True,False,False,True,False,True,True
New Mexico,47492,21800.0,31240.2,21657.5,24662.0,24588.0,,22442.1,6756.0,54580.1,29308.0,,26234.0,24424.5,29615.0,26029.0,10036.0,33662.0,51746.6,33111.0,23003.1,26490.1,,33819.4,148492.3,15902.5,28905.1,15370.8,18708.0,25306.0,-25692.0,-16251.8,-25834.5,-22830.0,-22904.0,,-25049.9,-40736.0,7088.1,-18184.0,,-21258.0,-23067.5,-17877.0,-21463.0,-37456.0,-13830.0,4254.6,-14381.0,-24488.9,-21001.9,,-13672.6,101000.3,-31589.5,-18586.9,-32121.2,-28784.0,-22186.0,True,False,True,True,,True,False,True,True,,True,True,True,True,False,True,True,True,True,True,,True,False,False,True,False,False,True
New York,126895,54844.0,29486.6,55088.0,58659.0,76639.0,,72781.4,28646.0,113862.9,68144.8,,37197.0,47395.6,47991.2,68663.0,107672.0,60610.5,90313.8,63912.0,72091.1,63337.9,,29426.9,72469.2,42210.9,62745.7,33234.2,62765.0,70101.0,-72051.0,-97408.4,-71807.0,-68236.0,-50256.0,,-54113.6,-98249.0,-13032.1,-58750.2,,-89698.0,-79499.4,-78903.8,-58232.0,-19223.0,-66284.5,-36581.2,-62983.0,-54803.9,-63557.1,,-97468.1,-54425.8,-84684.1,-64149.3,-93660.8,-64130.0,-56794.0,False,True,True,True,,True,False,True,True,,False,False,False,True,True,True,True,True,True,True,,False,True,False,True,False,True,True
