,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01057,370,234.0,,171.0,,,,,115.0,,174.3,64.1,70.4,0.5,,403.0,-136.0,,-199.0,,,,,-255.0,,-195.7,-305.9,-299.6,-369.5,,33.0,,False,,,,,False,,False,False,False,False,,True
01059,552,528.0,,228.0,,,,,307.0,,224.1,127.0,288.7,7.3,330.9,614.0,-24.0,,-324.0,,,,,-245.0,,-327.9,-425.0,-263.3,-544.7,-221.1,62.0,,False,,,,,False,,False,False,False,False,False,False
01061,396,228.0,,372.0,,,,,145.0,,306.1,131.0,51.5,0.0,,75.0,-168.0,,-24.0,,,,,-251.0,,-89.9,-265.0,-344.5,-396.0,,-321.0,,True,,,,,False,,True,False,False,False,,False
01063,92,18.0,,0.0,,,,,37.0,,78.8,10.2,7.1,0.0,,72.0,-74.0,,-92.0,,,,,-55.0,,-13.2,-81.8,-84.9,-92.0,,-20.0,,False,,,,,True,,True,False,False,False,,True
01065,230,228.0,,81.0,,,,,90.0,,170.5,58.1,41.3,0.5,,76.0,-2.0,,-149.0,,,,,-140.0,,-59.5,-171.9,-188.7,-229.5,,-154.0,,False,,,,,False,,False,False,False,False,,False
01067,225,168.0,,107.0,,,,,66.0,,203.9,88.3,44.4,0.0,,101.0,-57.0,,-118.0,,,,,-159.0,,-21.1,-136.7,-180.6,-225.0,,-124.0,,False,,,,,False,,True,False,False,False,,False
01069,1623,702.0,,127.0,,,,,488.0,,627.2,471.2,396.6,0.8,470.1,214.0,-921.0,,-1496.0,,,,,-1135.0,,-995.8,-1151.8,-1226.4,-1622.2,-1152.9,-1409.0,,False,,,,,False,,False,False,False,False,False,False
01071,1245,990.0,,1502.0,,,,,529.0,,882.3,146.9,737.1,232.2,425.1,811.0,-255.0,,257.0,,,,,-716.0,,-362.7,-1098.1,-507.9,-1012.8,-819.9,-434.0,,False,,,,,False,,False,False,False,False,False,False
01073,10111,5154.0,,6957.0,,,,,2909.0,,3794.9,1796.6,3872.1,197.0,3163.5,5338.0,-4957.0,,-3154.0,,,,,-7202.0,,-6316.1,-8314.4,-6238.9,-9914.0,-6947.5,-4773.0,,True,,,,,False,,False,False,False,False,False,True
01075,228,198.0,,127.0,,,,,104.0,,123.5,34.9,131.5,0.3,,176.0,-30.0,,-101.0,,,,,-124.0,,-104.5,-193.1,-96.5,-227.7,,-52.0,,False,,,,,False,,False,False,False,False,,False
01077,2034,690.0,,627.0,,,,,799.0,,475.1,197.6,529.4,19.3,527.0,502.0,-1344.0,,-1407.0,,,,,-1235.0,,-1558.9,-1836.4,-1504.6,-2014.7,-1507.0,-1532.0,,False,,,,,True,,False,False,False,False,False,False
01079,486,426.0,,560.0,,,,,267.0,,473.9,75.7,272.9,87.3,,49.0,-60.0,,74.0,,,,,-219.0,,-12.1,-410.3,-213.1,-398.7,,-437.0,,False,,,,,False,,True,False,False,False,,False
01081,1349,840.0,,417.0,,,,,662.0,,548.1,519.3,450.0,5.1,573.3,407.0,-509.0,,-932.0,,,,,-687.0,,-800.9,-829.7,-899.0,-1343.9,-775.7,-942.0,,False,,,,,False,,False,False,False,False,False,False
01083,1551,1080.0,,1300.0,,,,,698.0,,1472.9,191.8,863.9,559.9,313.3,658.0,-471.0,,-251.0,,,,,-853.0,,-78.1,-1359.2,-687.1,-991.1,-1237.7,-893.0,,True,,,,,False,,True,False,False,False,False,False
01085,101,102.0,,0.0,,,,,30.0,,65.7,30.1,16.4,0.1,,0.0,1.0,,-101.0,,,,,-71.0,,-35.3,-70.9,-84.6,-100.9,,-101.0,,False,,,,,False,,False,False,False,False,,False
01087,211,90.0,,42.0,,,,,45.0,,105.5,32.4,7.7,0.0,,66.0,-121.0,,-169.0,,,,,-166.0,,-105.5,-178.6,-203.3,-211.0,,-145.0,,False,,,,,False,,True,False,False,False,,False
01089,4359,2460.0,,4003.0,,,,,1918.0,,1686.1,803.2,2051.0,70.6,1104.4,851.0,-1899.0,,-356.0,,,,,-2441.0,,-2672.9,-3555.8,-2308.0,-4288.4,-3254.6,-3508.0,,True,,,,,False,,False,False,False,False,False,False
01091,259,480.0,,33.0,,,,,143.0,,866.0,40.2,179.0,105.3,,194.0,221.0,,-226.0,,,,,-116.0,,607.0,-218.8,-80.0,-153.7,,-65.0,,False,,,,,True,,False,True,True,True,,True
01093,370,102.0,,56.0,,,,,226.0,,69.9,56.3,42.9,0.2,63.8,44.0,-268.0,,-314.0,,,,,-144.0,,-300.1,-313.7,-327.1,-369.8,-306.2,-326.0,,False,,,,,True,,False,False,False,False,False,False
01095,2039,618.0,,789.0,,,,,802.0,,477.4,166.4,362.7,7.4,257.2,750.0,-1421.0,,-1250.0,,,,,-1237.0,,-1561.6,-1872.6,-1676.3,-2031.6,-1781.8,-1289.0,,True,,,,,True,,False,False,False,False,False,True
01097,5603,1782.0,,1805.0,,,,,2798.0,,1073.5,839.4,1477.0,17.4,1317.1,2609.0,-3821.0,,-3798.0,,,,,-2805.0,,-4529.5,-4763.6,-4126.0,-5585.6,-4285.9,-2994.0,,True,,,,,True,,False,False,False,False,False,True
01099,164,96.0,,1.0,,,,,123.0,,69.5,22.2,8.6,0.0,,147.0,-68.0,,-163.0,,,,,-41.0,,-94.5,-141.8,-155.4,-164.0,,-17.0,,False,,,,,True,,False,False,False,False,,True
01101,2760,2244.0,,3195.0,,,,,770.0,,1339.9,503.4,1042.1,32.9,2033.6,7632.0,-516.0,,435.0,,,,,-1990.0,,-1420.1,-2256.6,-1717.9,-2727.1,-726.4,4872.0,,True,,,,,False,,False,False,False,False,False,False
01103,2682,1518.0,,2213.0,,,,,851.0,,1258.3,252.5,878.3,503.8,794.1,1792.0,-1164.0,,-469.0,,,,,-1831.0,,-1423.7,-2429.5,-1803.7,-2178.2,-1887.9,-890.0,,True,,,,,False,,False,False,False,False,False,True
01105,109,66.0,,0.0,,,,,32.0,,99.9,10.5,5.6,0.0,,235.0,-43.0,,-109.0,,,,,-77.0,,-9.1,-98.5,-103.4,-109.0,,126.0,,False,,,,,False,,True,False,False,False,,False
01107,443,396.0,,149.0,,,,,134.0,,299.2,66.8,298.1,63.5,,295.0,-47.0,,-294.0,,,,,-309.0,,-143.8,-376.2,-144.9,-379.5,,-148.0,,False,,,,,False,,False,False,False,False,,False
01109,288,198.0,,176.0,,,,,149.0,,160.3,94.8,26.1,0.0,303.1,254.0,-90.0,,-112.0,,,,,-139.0,,-127.7,-193.2,-261.9,-288.0,15.1,-34.0,,False,,,,,False,,False,False,False,False,True,True
01111,237,270.0,,344.0,,,,,112.0,,249.2,88.3,164.7,0.6,,138.0,33.0,,107.0,,,,,-125.0,,12.2,-148.7,-72.3,-236.4,,-99.0,,False,,,,,False,,True,False,False,False,,False
01113,327,330.0,,456.0,,,,,235.0,,178.6,121.1,60.0,0.2,178.5,547.0,3.0,,129.0,,,,,-92.0,,-148.4,-205.9,-267.0,-326.8,-148.5,220.0,,False,,,,,False,,False,False,False,False,False,False
01115,1435,972.0,,1218.0,,,,,421.0,,757.1,199.4,760.3,18.6,552.2,295.0,-463.0,,-217.0,,,,,-1014.0,,-677.9,-1235.6,-674.7,-1416.4,-882.8,-1140.0,,True,,,,,False,,False,False,False,False,False,False
01117,3303,1908.0,,2533.0,,,,,717.0,,1641.8,875.8,1404.2,152.3,1041.0,1574.0,-1395.0,,-770.0,,,,,-2586.0,,-1661.2,-2427.2,-1898.8,-3150.7,-2262.0,-1729.0,,True,,,,,False,,False,False,False,False,False,False
01119,117,60.0,,1.0,,,,,70.0,,71.8,30.9,3.4,0.0,,195.0,-57.0,,-116.0,,,,,-47.0,,-45.2,-86.1,-113.6,-117.0,,78.0,,False,,,,,True,,True,False,False,False,,False
01121,986,924.0,,792.0,,,,,424.0,,903.8,266.5,321.5,0.4,614.8,781.0,-62.0,,-194.0,,,,,-562.0,,-82.2,-719.5,-664.5,-985.6,-371.2,-205.0,,False,,,,,False,,False,False,False,False,False,False
01123,502,282.0,,133.0,,,,,161.0,,140.4,82.6,139.4,0.4,175.1,131.0,-220.0,,-369.0,,,,,-341.0,,-361.6,-419.4,-362.6,-501.6,-326.9,-371.0,,False,,,,,False,,False,False,False,False,False,False
01125,3221,2112.0,,2416.0,,,,,1201.0,,1506.4,952.5,1439.4,5.2,1688.1,817.0,-1109.0,,-805.0,,,,,-2020.0,,-1714.6,-2268.5,-1781.6,-3215.8,-1532.9,-2404.0,,True,,,,,False,,False,False,False,False,False,False
01127,1026,600.0,,653.0,,,,,482.0,,594.8,156.0,129.7,0.8,220.6,292.0,-426.0,,-373.0,,,,,-544.0,,-431.2,-870.0,-896.3,-1025.2,-805.4,-734.0,,True,,,,,False,,False,False,False,False,False,False
01129,297,90.0,,2.0,,,,,154.0,,128.5,27.3,15.3,0.0,,125.0,-207.0,,-295.0,,,,,-143.0,,-168.5,-269.7,-281.7,-297.0,,-172.0,,False,,,,,True,,True,False,False,False,,True
01131,83,18.0,,0.0,,,,,36.0,,38.6,13.5,0.2,0.0,,11.0,-65.0,,-83.0,,,,,-47.0,,-44.4,-69.5,-82.8,-83.0,,-72.0,,False,,,,,True,,True,False,False,False,,False
01133,454,396.0,,294.0,,,,,193.0,,419.4,71.8,154.7,80.5,,191.0,-58.0,,-160.0,,,,,-261.0,,-34.6,-382.2,-299.3,-373.5,,-263.0,,False,,,,,False,,True,False,False,False,,False
02013,20,0.0,,0.0,,,,,,,5.2,3.6,,,,0.0,-20.0,,-20.0,,,,,,,-14.8,-16.4,,,,-20.0,,False,,,,,,,True,True,,,,False
02016,11,6.0,,0.0,,,,,,,0.2,0.9,,,,0.0,-5.0,,-11.0,,,,,,,-10.8,-10.1,,,,-11.0,,False,,,,,,,False,False,,,,False
02020,10195,4266.0,,3928.0,,,,,,,6800.7,2038.7,2470.7,1547.0,1506.5,1169.0,-5929.0,,-6267.0,,,,,,,-3394.3,-8156.3,-7724.3,-8648.0,-8688.5,-9026.0,,False,,,,,,,True,False,False,False,False,False
02050,1193,396.0,,0.0,,,,,,,2063.8,42.2,279.0,0.0,,559.0,-797.0,,-1193.0,,,,,,,870.8,-1150.8,-914.0,-1193.0,,-634.0,,False,,,,,,,False,False,False,False,,True
02060,0,0.0,,0.0,,,,,,,0.2,0.0,0.7,,,0.0,0.0,,0.0,,,,,,,0.2,0.0,0.7,,,0.0,,True,,,,,,,False,True,False,,,True
02068,22,24.0,,0.0,,,,,,,56.1,9.0,,,,13.0,2.0,,-22.0,,,,,,,34.1,-13.0,,,,-9.0,,False,,,,,,,False,False,,,,False
02070,64,18.0,,0.0,,,,,,,37.0,9.6,1.7,,,156.0,-46.0,,-64.0,,,,,,,-27.0,-54.4,-62.3,,,92.0,,False,,,,,,,True,False,False,,,False
02090,1613,1236.0,,1413.0,,,,,,,3400.4,358.7,961.6,598.9,642.5,572.0,-377.0,,-200.0,,,,,,,1787.4,-1254.3,-651.4,-1014.1,-970.5,-1041.0,,True,,,,,,,False,False,False,False,False,False
02100,5,6.0,,0.0,,,,,,,6.1,0.5,,,,108.0,1.0,,-5.0,,,,,,,1.1,-4.5,,,,103.0,,False,,,,,,,False,False,,,,False
02105,0,0.0,,0.0,,,,,,,1.2,1.9,,,,,0.0,,0.0,,,,,,,1.2,1.9,,,,,,True,,,,,,,False,False,,,,
02110,395,276.0,,239.0,,,,,,,189.5,96.3,80.8,190.9,,578.0,-119.0,,-156.0,,,,,,,-205.5,-298.7,-314.2,-204.1,,183.0,,False,,,,,,,False,False,False,False,,False
02122,1800,288.0,,179.0,,,,,,,491.6,105.0,62.9,180.6,,824.0,-1512.0,,-1621.0,,,,,,,-1308.4,-1695.0,-1737.1,-1619.4,,-976.0,,False,,,,,,,True,False,False,False,,True
02130,120,24.0,,0.0,,,,,,,16.8,5.5,4.9,,,165.0,-96.0,,-120.0,,,,,,,-103.2,-114.5,-115.1,,,45.0,,False,,,,,,,False,False,False,,,True
02150,178,36.0,,0.0,,,,,,,59.4,17.0,3.8,,,25.0,-142.0,,-178.0,,,,,,,-118.6,-161.0,-174.2,,,-153.0,,False,,,,,,,True,False,False,,,False
02158,382,54.0,,,,,,,,,168.4,,,,,209.0,-328.0,,,,,,,,,-213.6,,,,,-173.0,,,,,,,,,True,,,,,True
02164,46,0.0,,0.0,,,,,,,7.8,1.3,,,,,-46.0,,-46.0,,,,,,,-38.2,-44.7,,,,,,False,,,,,,,True,True,,,,
02170,2417,582.0,,0.0,,,,,,,721.2,388.4,483.2,295.3,,699.0,-1835.0,,-2417.0,,,,,,,-1695.8,-2028.6,-1933.8,-2121.7,,-1718.0,,False,,,,,,,True,False,False,False,,True
02180,113,36.0,,0.0,,,,,,,188.2,16.3,0.9,0.0,,26.0,-77.0,,-113.0,,,,,,,75.2,-96.7,-112.1,-113.0,,-87.0,,False,,,,,,,True,False,False,False,,False
02185,242,252.0,,0.0,,,,,,,222.6,40.1,47.1,0.0,,173.0,10.0,,-242.0,,,,,,,-19.4,-201.9,-194.9,-242.0,,-69.0,,False,,,,,,,False,False,False,False,,False
02188,151,216.0,,0.0,,,,,,,666.1,17.4,35.4,0.0,,11.0,65.0,,-151.0,,,,,,,515.1,-133.6,-115.6,-151.0,,-140.0,,False,,,,,,,False,False,False,False,,False
02195,9,18.0,,0.0,,,,,,,0.6,0.3,0.5,,,0.0,9.0,,-9.0,,,,,,,-8.4,-8.7,-8.5,,,-9.0,,False,,,,,,,True,True,True,,,False
02198,17,18.0,,0.0,,,,,,,0.2,6.2,3.6,,,335.0,1.0,,-17.0,,,,,,,-16.8,-10.8,-13.4,,,318.0,,False,,,,,,,False,False,False,,,False
02220,112,6.0,,0.0,,,,,,,5.6,9.5,4.6,,,1.0,-106.0,,-112.0,,,,,,,-106.4,-102.5,-107.4,,,-111.0,,False,,,,,,,False,True,False,,,False
02230,9,6.0,,0.0,,,,,,,0.1,35.5,,,,0.0,-3.0,,-9.0,,,,,,,-8.9,26.5,,,,-9.0,,False,,,,,,,False,False,,,,False
02240,223,60.0,,0.0,,,,,,,12.0,3.4,7.3,,,4.0,-163.0,,-223.0,,,,,,,-211.0,-219.6,-215.7,,,-219.0,,False,,,,,,,False,False,False,,,False
02261,104,78.0,,,,,,,,,101.9,4.2,10.0,,,275.0,-26.0,,,,,,,,,-2.1,-99.8,-94.0,,,171.0,,,,,,,,,True,False,False,,,False
02275,1,0.0,,0.0,,,,,,,0.1,0.3,,,,0.0,-1.0,,-1.0,,,,,,,-0.9,-0.7,,,,-1.0,,False,,,,,,,True,True,,,,False
02282,17,6.0,,0.0,,,,,,,0.3,0.0,,,,3.0,-11.0,,-17.0,,,,,,,-16.7,-17.0,,,,-14.0,,False,,,,,,,False,False,,,,False
02290,71,54.0,,0.0,,,,,,,81.0,1.4,8.7,1.1,,88.0,-17.0,,-71.0,,,,,,,10.0,-69.6,-62.3,-69.9,,17.0,,False,,,,,,,True,False,False,False,,False
04001,1568,396.0,,454.0,,,,,982.0,,352.2,296.5,92.7,0.9,152.4,149.0,-1172.0,,-1114.0,,,,,-586.0,,-1215.8,-1271.5,-1475.3,-1567.1,-1415.6,-1419.0,,True,,,,,True,,False,False,False,False,False,False
04003,1573,426.0,,145.0,,,,,318.0,,254.2,320.5,106.1,0.1,205.6,585.0,-1147.0,,-1428.0,,,,,-1255.0,,-1318.8,-1252.5,-1466.9,-1572.9,-1367.4,-988.0,,False,,,,,False,,False,False,False,False,False,True
04005,2762,1434.0,,2017.0,,,,,662.0,,799.9,765.2,1015.8,0.5,674.1,929.0,-1328.0,,-745.0,,,,,-2100.0,,-1962.1,-1996.8,-1746.2,-2761.5,-2087.9,-1833.0,,True,,,,,False,,False,False,False,False,False,False
04007,1188,1212.0,,1273.0,,,,,134.0,,748.8,457.6,1325.1,419.4,474.7,3074.0,24.0,,85.0,,,,,-1054.0,,-439.2,-730.4,137.1,-768.6,-713.3,1886.0,,False,,,,,False,,False,False,False,False,False,False
04009,1136,504.0,,407.0,,,,,94.0,,340.1,152.7,321.1,0.0,,522.0,-632.0,,-729.0,,,,,-1042.0,,-795.9,-983.3,-814.9,-1136.0,,-614.0,,False,,,,,False,,False,False,False,False,,True
04011,149,60.0,,0.0,,,,,28.0,,36.5,17.4,4.6,,,145.0,-89.0,,-149.0,,,,,-121.0,,-112.5,-131.6,-144.4,,,-4.0,,False,,,,,False,,False,False,False,,,True
04012,240,126.0,,44.0,,,,,29.0,,200.2,68.7,20.2,0.0,,261.0,-114.0,,-196.0,,,,,-211.0,,-39.8,-171.3,-219.8,-240.0,,21.0,,False,,,,,False,,True,False,False,False,,True
04013,54461,20130.0,,23331.0,,,,,10237.0,,13346.9,5217.8,16044.0,469.9,12435.4,18329.0,-34331.0,,-31130.0,,,,,-44224.0,,-41114.1,-49243.2,-38417.0,-53991.1,-42025.6,-36132.0,,True,,,,,False,,False,False,False,False,False,False
04015,1979,528.0,,420.0,,,,,562.0,,304.1,845.2,228.5,107.2,345.7,410.0,-1451.0,,-1559.0,,,,,-1417.0,,-1674.9,-1133.8,-1750.5,-1871.8,-1633.3,-1569.0,,False,,,,,True,,False,True,False,False,False,False
04017,1942,1494.0,,175.0,,,,,781.0,,417.4,272.1,806.9,3.9,579.9,4975.0,-448.0,,-1767.0,,,,,-1161.0,,-1524.6,-1669.9,-1135.1,-1938.1,-1362.1,3033.0,,False,,,,,False,,False,False,False,False,False,False
04019,12455,2880.0,,863.0,,,,,1328.0,,2204.1,6294.2,1988.1,63.4,1422.4,2373.0,-9575.0,,-11592.0,,,,,-11127.0,,-10250.9,-6160.8,-10466.9,-12391.6,-11032.6,-10082.0,,False,,,,,False,,False,True,False,False,False,False
04021,5005,1812.0,,2706.0,,,,,635.0,,1321.6,1538.0,1140.0,10.1,975.6,1395.0,-3193.0,,-2299.0,,,,,-4370.0,,-3683.4,-3467.0,-3865.0,-4994.9,-4029.4,-3610.0,,True,,,,,False,,False,False,False,False,False,False
04023,936,222.0,,0.0,,,,,113.0,,119.1,68.9,38.7,0.4,93.6,0.0,-714.0,,-936.0,,,,,-823.0,,-816.9,-867.1,-897.3,-935.6,-842.4,-936.0,,False,,,,,False,,False,False,False,False,False,False
04025,2415,438.0,,457.0,,,,,501.0,,407.2,1170.2,248.8,369.1,306.0,212.0,-1977.0,,-1958.0,,,,,-1914.0,,-2007.8,-1244.8,-2166.2,-2045.9,-2109.0,-2203.0,,True,,,,,True,,False,True,False,False,False,False
04027,4556,1224.0,,1120.0,,,,,248.0,,801.0,638.3,204.5,2.0,496.0,2047.0,-3332.0,,-3436.0,,,,,-4308.0,,-3755.0,-3917.7,-4351.5,-4554.0,-4060.0,-2509.0,,False,,,,,False,,False,False,False,False,False,True
05001,358,288.0,,527.0,,,,,227.0,,875.7,101.0,79.7,153.3,,25.0,-70.0,,169.0,,,,,-131.0,,517.7,-257.0,-278.3,-204.7,,-333.0,,False,,,,,False,,False,False,False,False,,False
