,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Georgia,44659,35736.0,20266.4,41004.9,36849.0,41834.0,,13941.0,52480.3,90868.3,,37514.0,32868.0,52580.0,21036.9,49233.0,24715.0,33936.5,38528.5,35815.0,39632.9,64406.9,53086.0,,43515.7,9951.2,,21874.5,112167.4,61349.9,38150.9,8859.6,33002.0,45566.3,-8923.0,-24392.6,-3654.1,-7810.0,-2825.0,,-30718.0,7821.3,46209.3,,-7145.0,-11791.0,7921.0,-23622.1,4574.0,-19944.0,-10722.5,-6130.5,-8844.0,-5026.1,19747.9,8427.0,,-1143.3,-34707.8,,-22784.5,67508.4,16690.9,-6508.1,-35799.4,-11657.0,907.3,False,True,True,True,,False,True,False,,True,False,True,False,True,False,False,True,True,True,False,True,,True,False,,False,False,False,True,False,False,True
Hawaii,1323,1416.0,334.0,1351.9,1355.0,1047.0,,575.0,887.7,1511.1,,,,1771.5,1234.9,1943.0,2070.6,1386.5,1073.6,1247.0,1363.9,1971.6,1236.0,,1550.4,987.7,,962.0,1630.3,1581.1,2136.2,898.0,1322.0,1511.5,93.0,-989.0,28.9,32.0,-276.0,,-748.0,-435.3,188.1,,,,448.5,-88.1,620.0,747.6,63.5,-249.4,-76.0,40.9,648.6,-87.0,,227.4,-335.3,,-361.0,307.3,258.1,813.2,-425.0,-1.0,188.5,False,True,True,False,,False,False,False,,,,False,True,False,False,True,False,True,True,False,True,,False,False,,False,False,False,False,False,True,False
Idaho,18343,18010.0,22881.4,18288.4,19554.0,18003.0,,7475.0,34105.5,24869.8,,20295.0,20580.0,21682.4,19167.4,24636.0,9006.0,20060.0,24101.2,19335.0,21643.5,22181.0,21682.0,,24654.4,16349.6,,12835.1,20349.9,24913.3,18049.8,14521.5,13488.0,24696.0,-333.0,4538.4,-54.6,1211.0,-340.0,,-10868.0,15762.5,6526.8,,1952.0,2237.0,3339.4,824.4,6293.0,-9337.0,1717.0,5758.2,992.0,3300.5,3838.0,3339.0,,6311.4,-1993.4,,-5507.9,2006.9,6570.3,-293.2,-3821.5,-4855.0,6353.0,False,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,True,False,False,False
Illinois,149951,170014.0,271952.8,172890.8,186424.0,187027.0,,162730.0,231674.7,247790.9,,178444.0,156816.0,184699.9,297404.9,184832.0,111426.6,197449.5,260214.2,264148.5,194807.2,177213.8,213856.0,,226949.4,51255.2,,120317.0,166171.8,186944.0,266102.4,145723.2,134224.0,281154.6,20063.0,122001.8,22939.8,36473.0,37076.0,,12779.0,81723.7,97839.9,,28493.0,6865.0,34748.9,147453.9,34881.0,-38524.4,47498.5,110263.2,114197.5,44856.2,27262.8,63905.0,,76998.4,-98695.8,,-29634.0,16220.8,36993.0,116151.4,-4227.8,-15727.0,131203.6,False,False,False,False,,True,False,False,,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,,False,True,False,False,True,True,False
Indiana,84121,78330.0,100355.5,77742.1,97640.0,98483.0,,153645.0,116945.2,99309.5,,89936.0,88993.0,82178.4,109964.2,97771.0,59063.4,84654.5,100261.0,127536.5,118308.0,101509.7,103431.0,,107124.1,26049.1,,71813.2,70425.3,107487.2,149643.4,102339.9,104063.0,128079.5,-5791.0,16234.5,-6378.9,13519.0,14362.0,,69524.0,32824.2,15188.5,,5815.0,4872.0,-1942.6,25843.2,13650.0,-25057.6,533.5,16140.0,43415.5,34187.0,17388.7,19310.0,,23003.1,-58071.9,,-12307.8,-13695.7,23366.2,65522.4,18218.9,19942.0,43958.5,False,False,False,False,,False,False,False,,False,True,True,False,False,False,True,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Iowa,43624,66602.0,91929.9,64883.5,74545.0,73298.0,,78049.0,68892.6,97223.6,,68702.0,64270.0,64172.3,123117.0,82592.0,36825.3,77537.5,117950.4,102105.5,66122.0,76164.5,77253.0,,94520.8,26840.9,,52708.9,53483.3,78406.8,86781.6,36120.0,79217.0,91793.6,22978.0,48305.9,21259.5,30921.0,29674.0,,34425.0,25268.6,53599.6,,25078.0,20646.0,20548.3,79493.0,38968.0,-6798.7,33913.5,74326.4,58481.5,22498.0,32540.5,33629.0,,50896.8,-16783.1,,9084.9,9859.3,34782.8,43157.6,-7504.0,35593.0,48169.6,False,True,False,False,,False,False,False,,False,True,True,False,False,True,False,False,False,True,False,False,,False,True,,True,True,False,False,True,False,False
Kansas,38007,35502.0,41798.9,36215.8,34074.0,38193.0,,18788.0,20745.3,37921.0,,29914.0,41333.0,29918.5,27454.2,42649.0,21065.4,35443.0,54197.9,22801.0,22822.1,32758.7,32538.0,,37376.1,32545.7,,29553.3,31586.3,49477.4,49232.6,19369.3,21964.0,42874.4,-2505.0,3791.9,-1791.2,-3933.0,186.0,,-19219.0,-17261.7,-86.0,,-8093.0,3326.0,-8088.5,-10552.8,4642.0,-16941.6,-2564.0,16190.9,-15206.0,-15184.9,-5248.3,-5469.0,,-630.9,-5461.3,,-8453.7,-6420.7,11470.4,11225.6,-18637.7,-16043.0,4867.4,False,True,False,True,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,,False,False,False,False,False,False,False
Kentucky,38045,32952.0,45673.1,33013.1,37673.0,38601.0,,15667.0,74427.1,48032.6,,35095.0,31656.0,36113.7,32777.9,43383.0,24052.0,35905.5,35138.8,38343.0,42042.8,40573.2,37798.0,,44544.5,30642.1,,32448.4,34509.4,51336.7,44861.5,34576.3,40143.0,41612.9,-5093.0,7628.1,-5031.9,-372.0,556.0,,-22378.0,36382.1,9987.6,,-2950.0,-6389.0,-1931.3,-5267.1,5338.0,-13993.0,-2139.5,-2906.2,298.0,3997.8,2528.2,-247.0,,6499.5,-7402.9,,-5596.6,-3535.6,13291.7,6816.5,-3468.7,2098.0,3567.9,False,True,True,True,,False,False,False,,True,False,True,False,False,False,True,True,True,True,True,True,,False,False,,False,True,False,False,True,True,True
Louisiana,28621,20532.0,22125.3,19570.5,18082.0,18406.0,,3282.0,71678.0,70377.3,,26099.0,17370.0,11535.4,35014.5,25373.0,12754.9,14531.5,12330.2,10153.0,15288.4,20056.8,20955.0,,27731.2,2798.7,,16232.7,12100.0,25252.3,28009.8,14441.9,22395.0,19566.9,-8089.0,-6495.7,-9050.5,-10539.0,-10215.0,,-25339.0,43057.0,41756.3,,-2522.0,-11251.0,-17085.6,6393.5,-3248.0,-15866.1,-14089.5,-16290.8,-18468.0,-13332.6,-8564.2,-7666.0,,-889.8,-25822.3,,-12388.3,-16521.0,-3368.7,-611.2,-14179.1,-6226.0,-9054.1,True,False,False,False,,False,False,False,,True,False,False,True,True,False,False,False,False,False,False,True,,True,False,,False,False,True,True,False,True,False
Maine,2497,2382.0,3627.7,2368.1,2847.0,4165.0,,7715.0,2236.3,4970.4,,1999.0,2492.0,2508.0,7274.9,3039.0,3962.3,2557.5,7170.8,2736.0,3091.4,3354.9,3185.0,,3252.9,921.0,,1898.4,2278.7,3865.8,3519.7,2830.1,2771.0,3581.0,-115.0,1130.7,-128.9,350.0,1668.0,,5218.0,-260.7,2473.4,,-498.0,-5.0,11.0,4777.9,542.0,1465.3,60.5,4673.8,239.0,594.4,857.9,688.0,,755.9,-1576.0,,-598.6,-218.3,1368.8,1022.7,333.1,274.0,1084.0,False,False,False,False,,False,False,False,,False,True,True,False,False,False,True,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Maryland,30358,22350.0,38305.0,22656.8,27155.0,29857.0,,14849.0,30814.3,32388.1,,22929.0,23244.0,24857.9,29538.5,28976.0,21143.7,20679.0,38465.9,32873.0,33805.9,30773.6,31066.0,,35706.5,4686.3,,17222.1,19228.9,30535.2,35108.0,35674.7,25029.0,25060.1,-8008.0,7947.0,-7701.2,-3203.0,-501.0,,-15509.0,456.3,2030.1,,-7429.0,-7114.0,-5500.1,-819.5,-1382.0,-9214.3,-9679.0,8107.9,2515.0,3447.9,415.6,708.0,,5348.5,-25671.7,,-13135.9,-11129.1,177.2,4750.0,5316.7,-5329.0,-5297.9,True,True,True,True,,False,True,True,,True,True,True,True,True,False,False,False,True,True,True,True,,True,False,,False,False,True,True,True,True,True
Massachusetts,36327,33132.0,36503.2,33313.6,40371.0,40030.0,,22350.0,49375.6,99902.5,,27108.0,35860.0,34764.3,48735.0,44278.0,34605.1,33855.0,55159.3,45586.0,45172.5,44682.1,42393.0,,46627.5,29498.1,,29164.6,30458.5,44468.9,56087.9,44693.3,36568.0,47782.7,-3195.0,176.2,-3013.4,4044.0,3703.0,,-13977.0,13048.6,63575.5,,-9219.0,-467.0,-1562.7,12408.0,7951.0,-1721.9,-2472.0,18832.3,9259.0,8845.5,8355.1,6066.0,,10300.5,-6828.9,,-7162.4,-5868.5,8141.9,19760.9,8366.3,241.0,11455.7,True,True,False,False,,False,False,False,,False,True,True,False,False,True,True,False,False,False,False,False,,False,False,,False,False,False,False,False,True,False
Michigan,102360,93438.0,156577.0,93055.4,120520.0,113936.0,,200790.0,173126.0,117887.2,,101704.0,103942.0,95928.9,130075.3,124563.0,100515.9,105382.0,145812.6,153639.5,107383.1,103426.5,101430.0,,137085.0,136800.5,,79504.4,85597.5,114319.9,171120.2,69145.8,127355.0,147988.3,-8922.0,54217.0,-9304.6,18160.0,11576.0,,98430.0,70766.0,15527.2,,-656.0,1582.0,-6431.1,27715.3,22203.0,-1844.1,3022.0,43452.6,51279.5,5023.1,1066.5,-930.0,,34725.0,34440.5,,-22855.6,-16762.5,11959.9,68760.2,-33214.2,24995.0,45628.3,False,False,False,False,,False,False,False,,True,True,True,False,False,True,True,False,False,True,True,True,,False,False,,False,False,False,False,False,False,False
Minnesota,87995,82148.0,154174.3,82477.0,103015.0,102962.0,,108179.0,102209.0,121427.5,,93248.0,115644.0,79067.2,151775.4,95847.0,55755.4,92646.0,105592.9,166323.0,121016.0,103710.5,108122.0,,115199.5,22246.4,,61843.4,66390.8,85172.4,149323.0,106816.6,71336.0,136066.3,-5847.0,66179.3,-5518.0,15020.0,14967.0,,20184.0,14214.0,33432.5,,5253.0,27649.0,-8927.8,63780.4,7852.0,-32239.6,4651.0,17597.9,78328.0,33021.0,15715.5,20127.0,,27204.5,-65748.6,,-26151.6,-21604.2,-2822.6,61328.0,18821.6,-16659.0,48071.3,False,True,False,False,,False,False,False,,True,False,False,False,False,False,True,False,False,False,False,False,,False,False,,False,False,True,False,False,False,False
Mississippi,16600,14910.0,16840.1,15100.8,15577.0,12526.0,,5189.0,22552.0,16822.3,,15743.0,16656.0,17077.4,15783.3,18867.0,9824.8,13428.5,14642.0,16690.5,19246.0,19281.6,18892.0,,14743.9,8876.7,,13614.3,14925.0,18101.3,13970.1,17787.4,14691.0,17545.1,-1690.0,240.1,-1499.2,-1023.0,-4074.0,,-11411.0,5952.0,222.3,,-857.0,56.0,477.4,-816.7,2267.0,-6775.2,-3171.5,-1958.0,90.5,2646.0,2681.6,2292.0,,-1856.1,-7723.3,,-2985.7,-1675.0,1501.3,-2629.9,1187.4,-1909.0,945.1,True,True,True,False,,False,False,True,,True,True,True,True,False,False,False,False,True,False,False,False,,False,False,,False,True,True,False,True,False,True
Missouri,55152,69642.0,101711.8,69899.8,68897.0,74777.0,,26808.0,63626.8,109464.7,,78757.0,68471.0,70790.9,87093.2,87533.0,32262.9,68544.5,85568.2,64673.5,74650.5,70698.3,73978.0,,60608.1,38130.3,,57115.0,56573.4,88336.7,81993.7,55756.7,34198.0,76396.8,14490.0,46559.8,14747.8,13745.0,19625.0,,-28344.0,8474.8,54312.7,,23605.0,13319.0,15638.9,31941.2,32381.0,-22889.1,13392.5,30416.2,9521.5,19498.5,15546.3,18826.0,,5456.1,-17021.7,,1963.0,1421.4,33184.7,26841.7,604.7,-20954.0,21244.8,False,False,True,False,,False,True,False,,False,True,False,False,False,False,True,False,True,False,False,False,,True,False,,True,True,False,False,True,False,False
Montana,14959,13876.0,11939.1,13911.6,15625.0,12207.0,,11088.0,22040.0,16833.4,,16828.0,15769.0,16942.2,12012.3,17485.0,7096.5,16525.5,16423.6,15625.0,20355.7,18527.8,16119.0,,23648.9,24025.4,,9362.0,17363.4,21174.9,17136.9,19335.0,8884.0,19868.6,-1083.0,-3019.9,-1047.4,666.0,-2752.0,,-3871.0,7081.0,1874.4,,1869.0,810.0,1983.2,-2946.7,2526.0,-7862.5,1566.5,1464.6,666.0,5396.7,3568.8,1160.0,,8689.9,9066.4,,-5597.0,2404.4,6215.9,2177.9,4376.0,-6075.0,4909.6,False,True,True,False,,False,False,False,,False,True,False,False,False,False,False,False,True,False,False,False,,False,False,,False,False,False,False,False,False,False
Nebraska,28489,28878.0,54486.4,28691.8,33520.0,26384.0,,30527.0,44776.3,36409.3,,33312.0,32754.0,33575.5,45372.7,37175.0,16308.4,33371.0,43801.6,38585.5,32172.0,36976.8,35928.0,,40813.8,25304.7,,27424.5,29313.2,38468.6,36716.9,19306.5,18637.0,38331.9,389.0,25997.4,202.8,5031.0,-2105.0,,2038.0,16287.3,7920.3,,4823.0,4265.0,5086.5,16883.7,8686.0,-12180.6,4882.0,15312.6,10096.5,3683.0,8487.8,7439.0,,12324.8,-3184.3,,-1064.5,824.2,9979.6,8227.9,-9182.5,-9852.0,9842.9,False,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Nevada,30223,20520.0,24224.4,20357.9,23080.0,24180.0,,5090.0,25850.4,23651.8,,22122.0,19710.0,23204.8,24729.3,24481.0,16949.8,21189.0,25081.4,25598.5,25903.4,26263.8,25352.0,,30319.2,3777.8,,14107.7,21101.6,25785.2,21898.8,22141.5,21412.0,31796.9,-9703.0,-5998.6,-9865.1,-7143.0,-6043.0,,-25133.0,-4372.6,-6571.2,,-8101.0,-10513.0,-7018.2,-5493.7,-5742.0,-13273.2,-9034.0,-5141.6,-4624.5,-4319.6,-3959.2,-4871.0,,96.2,-26445.2,,-16115.3,-9121.4,-4437.8,-8324.2,-8081.5,-8811.0,1573.9,True,False,True,True,,False,True,True,,True,False,True,True,True,False,True,True,True,True,True,True,,True,False,,False,True,True,True,True,True,True
