,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Kentucky,94737,52108.0,,52908.7,35606.0,,35987.0,63802.9,57214.3,28962.1,44148.8,52506.9,81830.0,-42629.0,,-41828.3,-59131.0,,-58750.0,-30934.1,-37522.7,-65774.9,-50588.2,-42230.1,-12907.0,,True,False,,False,True,True,False,False,True,True
Louisiana,57196,24339.0,,24842.3,7545.0,,24830.0,8534.6,20130.4,15695.6,10888.4,15483.6,11961.0,-32857.0,,-32353.7,-49651.0,,-32366.0,-48661.4,-37065.6,-41500.4,-46307.6,-41712.4,-45235.0,,True,False,,True,False,False,False,False,False,False
Maine,5593,1477.0,,1422.4,596.0,,1691.0,1407.8,1424.7,723.2,1237.0,1176.0,1316.0,-4116.0,,-4170.6,-4997.0,,-3902.0,-4185.2,-4168.3,-4869.8,-4356.0,-4417.0,-4277.0,,False,False,,True,False,False,False,False,False,False
Maryland,63653,27832.0,,26294.8,2127.0,,18969.0,32211.1,17385.8,15874.5,16497.8,32055.1,33179.0,-35821.0,,-37358.2,-61526.0,,-44684.0,-31441.9,-46267.2,-47778.5,-47155.2,-31597.9,-30474.0,,False,False,,False,True,False,False,False,True,True
Massachusetts,84129,28259.0,,32909.7,16490.0,,18420.0,50246.7,19529.8,14550.1,15532.5,32615.4,23601.0,-55870.0,,-51219.3,-67639.0,,-65709.0,-33882.3,-64599.2,-69578.9,-68596.5,-51513.6,-60528.0,,True,False,,False,True,False,False,False,True,False
Michigan,228699,57274.0,,57196.7,17547.0,,44502.0,103567.5,42721.0,22504.7,36867.5,43905.3,92425.0,-171425.0,,-171502.3,-211152.0,,-184197.0,-125131.5,-185978.0,-206194.3,-191831.5,-184793.7,-136274.0,,False,False,,False,True,False,False,False,False,True
Minnesota,193195,56287.0,,51181.5,57648.0,,57032.0,74046.8,44239.9,40435.7,39539.3,77395.2,56897.0,-136908.0,,-142013.5,-135547.0,,-136163.0,-119148.2,-148955.1,-152759.3,-153655.7,-115799.8,-136298.0,,False,True,,True,True,False,False,False,True,True
Mississippi,45302,31297.0,,19324.4,7368.0,,21401.0,41435.4,24351.5,15152.7,20022.7,23115.1,32842.0,-14005.0,,-25977.6,-37934.0,,-23901.0,-3866.6,-20950.5,-30149.3,-25279.3,-22186.9,-12460.0,,False,False,,False,True,False,False,False,False,True
Missouri,153413,91364.0,,63581.7,62198.0,,49941.0,65219.2,72052.6,35036.4,53266.6,105868.5,54762.0,-62049.0,,-89831.3,-91215.0,,-103472.0,-88193.8,-81360.4,-118376.6,-100146.4,-47544.5,-98651.0,,False,False,,False,False,False,False,False,True,False
Montana,42728,26327.0,,30983.2,13243.0,,24548.0,29826.0,47808.4,24848.7,10360.6,26650.6,17926.0,-16401.0,,-11744.8,-29485.0,,-18180.0,-12902.0,5080.4,-17879.3,-32367.4,-16077.4,-24802.0,,True,False,,False,True,True,False,False,True,False
Nebraska,73436,31388.0,,24562.7,22590.0,,20520.0,21960.4,24899.1,21471.9,18420.6,35755.2,32096.0,-42048.0,,-48873.3,-50846.0,,-52916.0,-51475.6,-48536.9,-51964.1,-55015.4,-37680.8,-41340.0,,False,False,,False,False,False,False,False,True,True
Nevada,63830,25837.0,,27539.9,5692.0,,9053.0,44703.7,18683.9,14045.1,12311.5,26250.7,26408.0,-37993.0,,-36290.1,-58138.0,,-54777.0,-19126.3,-45146.1,-49784.9,-51518.5,-37579.3,-37422.0,,True,False,,False,True,False,False,False,True,True
New Hampshire,10933,3465.0,,3539.6,3113.0,,2738.0,2988.7,2739.1,2104.9,1970.2,13349.0,11239.0,-7468.0,,-7393.4,-7820.0,,-8195.0,-7944.3,-8193.9,-8828.1,-8962.8,2416.0,306.0,,True,False,,False,False,False,False,False,True,True
New Jersey,116676,37107.0,,44165.1,6866.0,,19640.0,71814.8,20537.4,21511.3,31134.3,40362.1,57804.0,-79569.0,,-72510.9,-109810.0,,-97036.0,-44861.2,-96138.6,-95164.7,-85541.7,-76313.9,-58872.0,,True,False,,False,True,False,False,False,True,True
New Mexico,61260,16982.0,,19125.0,3286.0,,10600.0,40744.7,15927.1,11028.9,9322.3,36415.8,21075.0,-44278.0,,-42135.0,-57974.0,,-50660.0,-20515.3,-45332.9,-50231.1,-51937.7,-24844.2,-40185.0,,True,False,,False,True,False,False,False,True,True
New York,161295,68481.0,,74146.9,13424.0,,34582.0,179891.0,46180.3,34895.2,48524.4,104411.8,129088.0,-92814.0,,-87148.1,-147871.0,,-126713.0,18596.0,-115114.7,-126399.8,-112770.6,-56883.2,-32207.0,,True,False,,False,True,False,False,False,True,True
North Carolina,128206,90062.0,,66596.2,44202.0,,75964.0,157229.4,80224.6,51642.6,88499.4,121014.8,106892.0,-38144.0,,-61609.8,-84004.0,,-52242.0,29023.4,-47981.4,-76563.4,-39706.6,-7191.2,-21314.0,,False,False,,False,True,False,False,False,True,True
North Dakota,51308,24451.0,,19164.8,16618.0,,19150.0,18845.1,26151.2,19076.8,27035.5,17786.8,28676.0,-26857.0,,-32143.2,-34690.0,,-32158.0,-32462.9,-25156.8,-32231.2,-24272.5,-33521.2,-22632.0,,False,False,,False,False,True,False,True,False,True
Ohio,239245,66444.0,,58864.5,38607.0,,55818.0,74089.8,63449.4,37475.0,34069.4,103358.2,64359.0,-172801.0,,-180380.5,-200638.0,,-183427.0,-165155.2,-175795.6,-201770.0,-205175.6,-135886.8,-174886.0,,False,False,,False,True,False,False,False,True,False
Oklahoma,95203,55111.0,,54544.0,39393.0,,51699.0,56279.7,43947.8,29312.5,22178.9,48143.0,41549.0,-40092.0,,-40659.0,-55810.0,,-43504.0,-38923.3,-51255.2,-65890.5,-73024.1,-47060.0,-53654.0,,False,False,,False,True,False,False,False,False,False
Oregon,35582,16891.0,,15425.3,7968.0,,8917.0,30010.6,18932.7,10376.2,8382.7,30158.2,22953.0,-18691.0,,-20156.7,-27614.0,,-26665.0,-5571.4,-16649.3,-25205.8,-27199.3,-5423.8,-12629.0,,False,False,,False,True,True,False,False,True,True
Pennsylvania,180148,66913.0,,52648.1,10145.0,,40561.0,81832.9,49772.4,31847.6,84288.9,85728.3,60388.0,-113235.0,,-127499.9,-170003.0,,-139587.0,-98315.1,-130375.6,-148300.4,-95859.1,-94419.7,-119760.0,,False,False,,False,True,False,False,True,True,False
Rhode Island,27660,8526.0,,6350.5,1128.0,,4699.0,7682.2,6305.2,3183.6,4997.4,4195.2,13829.0,-19134.0,,-21309.5,-26532.0,,-22961.0,-19977.8,-21354.8,-24476.4,-22662.6,-23464.8,-13831.0,,False,False,,False,False,False,False,False,False,True
South Carolina,58290,40110.0,,38809.6,17172.0,,35343.0,56098.7,34119.4,22152.9,18383.7,26231.5,27086.0,-18180.0,,-19480.4,-41118.0,,-22947.0,-2191.3,-24170.6,-36137.1,-39906.3,-32058.5,-31204.0,,False,False,,False,True,False,False,False,False,False
South Dakota,51152,27727.0,,21391.8,15145.0,,22972.0,23330.5,32763.3,22557.3,12201.9,20035.2,14944.0,-23425.0,,-29760.2,-36007.0,,-28180.0,-27821.5,-18388.7,-28594.7,-38950.1,-31116.8,-36208.0,,False,False,,False,False,True,False,False,False,False
Tennessee,150817,91378.0,,72537.9,36109.0,,62527.0,67976.1,79439.2,51232.0,48426.8,81849.7,65102.0,-59439.0,,-78279.1,-114708.0,,-88290.0,-82840.9,-71377.8,-99585.0,-102390.2,-68967.3,-85715.0,,False,False,,False,False,False,False,False,False,False
Texas,390986,199430.0,,230619.0,68464.0,,223210.0,247158.3,168738.0,82458.5,105123.1,110230.3,148619.0,-191556.0,,-160367.0,-322522.0,,-167776.0,-143827.7,-222248.0,-308527.5,-285862.9,-280755.7,-242367.0,,True,False,,True,True,False,False,False,False,False
Utah,107443,58933.0,,60863.5,16970.0,,41119.0,56555.2,33846.9,37592.6,24085.3,44011.9,42173.0,-48510.0,,-46579.5,-90473.0,,-66324.0,-50887.8,-73596.1,-69850.4,-83357.7,-63431.1,-65270.0,,True,False,,False,False,False,False,False,False,False
Vermont,2176,553.0,,776.6,100.0,,254.0,919.2,1289.5,229.0,409.8,1375.4,1968.0,-1623.0,,-1399.4,-2076.0,,-1922.0,-1256.8,-886.5,-1947.0,-1766.2,-800.6,-208.0,,True,False,,False,True,True,False,False,True,True
Virginia,75712,49182.0,,36618.6,11522.0,,29107.0,37311.0,46132.8,26774.0,39104.1,80762.8,74325.0,-26530.0,,-39093.4,-64190.0,,-46605.0,-38401.0,-29579.2,-48938.0,-36607.9,5050.8,-1387.0,,False,False,,False,False,False,False,False,True,True
Washington,67599,25312.0,,18998.8,30832.0,,12409.0,45470.0,22254.5,8621.2,12643.2,10665.1,23152.0,-42287.0,,-48600.2,-36767.0,,-55190.0,-22129.0,-45344.5,-58977.8,-54955.8,-56933.9,-44447.0,,False,True,,False,True,False,False,False,False,False
West Virginia,27918,10122.0,,7925.7,10784.0,,5945.0,7535.3,15359.7,6921.8,4376.1,16469.9,9948.0,-17796.0,,-19992.3,-17134.0,,-21973.0,-20382.7,-12558.3,-20996.2,-23541.9,-11448.1,-17970.0,,False,True,,False,False,True,False,False,True,False
Wisconsin,257439,117334.0,,118465.8,60653.0,,104896.0,112760.8,106455.1,84417.3,60630.4,84327.5,77854.0,-140105.0,,-138973.2,-196786.0,,-152543.0,-144678.2,-150983.9,-173021.7,-196808.6,-173111.5,-179585.0,,True,False,,False,False,False,False,False,False,False
Wyoming,24473,7630.0,,9453.6,4925.0,,6850.0,8874.9,10593.1,5415.0,3270.9,8990.9,8986.0,-16843.0,,-15019.4,-19548.0,,-17623.0,-15598.1,-13879.9,-19058.0,-21202.1,-15482.1,-15487.0,,True,False,,False,True,True,False,False,True,True
US,5540282,2349137.0,2737613.1,2480795.9,1057681.0,2107781.0,1702077.0,2842287.1,1977030.9,1238746.3,1576068.3,2402589.4,2044560.0,-3191145.0,-2802668.9,-3059486.1,-4482601.0,-3432501.0,-3838205.0,-2697994.9,-3563251.1,-4301535.7,-3964213.7,-3137692.6,-3495722.0,True,True,False,False,False,True,False,False,False,True,False
