,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,166,134.0,,131.2,,132.0,125.0,,,,114.8,,,162.0,,76.1,,87.3,154.0,,116.5,151.7,,140.0,35.0,,,,,129.0,130.1,,,,,229.2,-32.0,,-34.8,,-34.0,-41.0,,,,-51.2,,,-4.0,,-89.9,,-78.7,-12.0,,-49.5,-14.3,,-26.0,-131.0,,,,,-37.0,-35.9,,,,,63.2,,False,,False,False,,,,False,,,True,,False,,False,True,,False,True,,True,False,,,,,False,False,,,,,False
01023,12,6.0,,7.4,,7.0,0.0,,,,10.2,,,35.0,,6.8,,16.9,,,7.0,14.4,,,9.0,,,,,,10.8,,,,,14.3,-6.0,,-4.6,,-5.0,-12.0,,,,-1.8,,,23.0,,-5.2,,4.9,,,-5.0,2.4,,,-3.0,,,,,,-1.2,,,,,2.3,,True,,True,False,,,,True,,,False,,True,,True,,,True,True,,,True,,,,,,True,,,,,True
01025,90,120.0,,121.3,,111.0,86.0,,,,83.8,,,83.0,,58.6,,75.5,,,115.0,123.4,,120.0,0.0,,,,,108.8,91.4,,,,,134.2,30.0,,31.3,,21.0,-4.0,,,,-6.2,,,-7.0,,-31.4,,-14.5,,,25.0,33.4,,30.0,-90.0,,,,,18.8,1.4,,,,,44.2,,False,,True,True,,,,True,,,True,,False,,True,,,True,False,,False,False,,,,,True,True,,,,,False
01027,74,66.0,,65.8,,64.0,58.0,,,,59.9,,,53.0,,16.5,,30.1,,,68.0,85.7,,84.0,34.0,,,,,,73.0,,,,,89.5,-8.0,,-8.2,,-10.0,-16.0,,,,-14.1,,,-21.0,,-57.5,,-43.9,,,-6.0,11.7,,10.0,-40.0,,,,,,-1.0,,,,,15.5,,False,,False,False,,,,False,,,False,,False,,False,,,True,False,,False,False,,,,,,True,,,,,False
01029,113,74.0,,69.8,,68.0,38.0,,,,46.7,,,68.0,,40.0,,39.8,,,52.0,98.1,,109.0,10.0,,,,,,92.8,,,,,143.4,-39.0,,-43.2,,-45.0,-75.0,,,,-66.3,,,-45.0,,-73.0,,-73.2,,,-61.0,-14.9,,-4.0,-103.0,,,,,,-20.2,,,,,30.4,,False,,False,False,,,,False,,,False,,False,,False,,,False,True,,True,False,,,,,,True,,,,,True
01031,299,370.0,,344.8,,345.0,310.0,,,,221.1,,,148.0,,374.4,,249.5,326.0,,510.0,394.1,,462.0,35.0,,,,,317.4,479.3,,,,,408.3,71.0,,45.8,,46.0,11.0,,,,-77.9,,,-151.0,,75.4,,-49.5,27.0,,211.0,95.1,,163.0,-264.0,,,,,18.4,180.3,,,,,109.3,,True,,True,True,,,,False,,,False,,False,,True,True,,False,False,,False,False,,,,,True,False,,,,,False
01033,412,514.0,,558.7,,514.0,648.0,,,,269.3,,,332.0,,203.8,,316.9,525.5,,645.0,506.8,,427.0,245.0,,,,,306.4,651.1,,,,,694.7,102.0,,146.7,,102.0,236.0,,,,-142.7,,,-80.0,,-208.2,,-95.1,113.5,,233.0,94.8,,15.0,-167.0,,,,,-105.6,239.1,,,,,282.7,,False,,False,False,,,,False,,,True,,False,,True,False,,False,True,,True,False,,,,,False,False,,,,,False
01035,45,70.0,,70.8,,71.0,20.0,,,,30.1,,,33.0,,112.0,,25.9,,,135.0,88.2,,104.0,61.0,,,,,,61.4,,,,,100.2,25.0,,25.8,,26.0,-25.0,,,,-14.9,,,-12.0,,67.0,,-19.1,,,90.0,43.2,,59.0,16.0,,,,,,16.4,,,,,55.2,,False,,False,False,,,,True,,,True,,False,,True,,,False,False,,False,True,,,,,,True,,,,,False
01037,77,64.0,,67.4,,58.0,42.0,,,,40.5,,,30.0,,26.4,,20.8,,,71.0,68.7,,76.0,,,,,,,33.3,,,,,57.8,-13.0,,-9.6,,-19.0,-35.0,,,,-36.5,,,-47.0,,-50.6,,-56.2,,,-6.0,-8.3,,-1.0,,,,,,,-43.7,,,,,-19.2,,True,,False,False,,,,False,,,False,,False,,False,,,True,True,,True,,,,,,,False,,,,,False
01039,167,162.0,,174.9,,142.0,147.0,,,,130.4,,,121.0,,49.7,,119.5,175.5,,125.0,197.3,,159.0,955.0,,,,,135.6,168.2,,,,,160.3,-5.0,,7.9,,-25.0,-20.0,,,,-36.6,,,-46.0,,-117.3,,-47.5,8.5,,-42.0,30.3,,-8.0,788.0,,,,,-31.4,1.2,,,,,-6.7,,False,,False,False,,,,False,,,False,,False,,False,False,,False,False,,False,False,,,,,False,True,,,,,False
01041,40,60.0,,57.1,,60.0,27.0,,,,29.6,,,34.0,,87.1,,27.0,,,63.0,66.8,,77.0,41.0,,,,,,72.7,,,,,67.8,20.0,,17.1,,20.0,-13.0,,,,-10.4,,,-6.0,,47.1,,-13.0,,,23.0,26.8,,37.0,1.0,,,,,,32.7,,,,,27.8,,True,,False,True,,,,True,,,True,,False,,True,,,False,False,,False,True,,,,,,False,,,,,False
01043,743,1022.0,,1022.1,,1020.0,1170.0,,,,534.0,,,462.0,,821.8,,635.7,1093.5,,1177.5,1061.0,,1294.0,616.0,,,,,723.3,720.2,,,,,1485.8,279.0,,279.1,,277.0,427.0,,,,-209.0,,,-281.0,,78.8,,-107.3,350.5,,434.5,318.0,,551.0,-127.0,,,,,-19.7,-22.8,,,,,742.8,,False,,True,False,,,,True,,,False,,True,,True,False,,False,False,,False,True,,,,,True,True,,,,,False
01045,169,260.0,,261.9,,262.0,358.0,,,,167.2,,,154.0,,113.0,,241.5,295.5,,335.0,281.7,,252.0,56.0,,,,,191.6,341.2,,,,,494.3,91.0,,92.9,,93.0,189.0,,,,-1.8,,,-15.0,,-56.0,,72.5,126.5,,166.0,112.7,,83.0,-113.0,,,,,22.6,172.2,,,,,325.3,,False,,False,False,,,,True,,,True,,True,,True,False,,False,False,,True,False,,,,,True,False,,,,,False
01047,207,148.0,,143.9,,137.0,83.0,,,,100.4,,,118.0,,133.6,,101.5,132.0,,327.0,186.3,,215.0,167.0,,,,,88.4,156.8,,,,,148.9,-59.0,,-63.1,,-70.0,-124.0,,,,-106.6,,,-89.0,,-73.4,,-105.5,-75.0,,120.0,-20.7,,8.0,-40.0,,,,,-118.6,-50.2,,,,,-58.1,,False,,False,False,,,,False,,,False,,False,,False,False,,False,True,,True,True,,,,,False,True,,,,,True
01049,680,636.0,,679.6,,528.0,523.0,,,,481.0,,,388.0,,366.9,,381.4,577.0,,537.5,678.3,,615.0,730.0,,,,,469.4,332.0,,,,,553.2,-44.0,,-0.4,,-152.0,-157.0,,,,-199.0,,,-292.0,,-313.1,,-298.6,-103.0,,-142.5,-1.7,,-65.0,50.0,,,,,-210.6,-348.0,,,,,-126.8,,True,,False,False,,,,False,,,False,,False,,False,False,,False,True,,False,False,,,,,False,False,,,,,False
01051,444,372.0,,367.9,,356.0,399.0,,,,287.6,,,238.0,,358.0,,218.3,324.0,,388.0,471.3,,514.0,50.0,,,,,301.2,482.7,,,,,382.2,-72.0,,-76.1,,-88.0,-45.0,,,,-156.4,,,-206.0,,-86.0,,-225.7,-120.0,,-56.0,27.3,,70.0,-394.0,,,,,-142.8,38.7,,,,,-61.8,,False,,False,True,,,,False,,,False,,False,,False,False,,True,True,,True,False,,,,,False,True,,,,,True
01053,114,92.0,,90.6,,92.0,14.0,,,,77.3,,,133.0,,43.0,,74.0,98.0,,182.0,140.3,,163.0,92.0,,,,,82.1,114.0,,,,,103.3,-22.0,,-23.4,,-22.0,-100.0,,,,-36.7,,,19.0,,-71.0,,-40.0,-16.0,,68.0,26.3,,49.0,-22.0,,,,,-31.9,-0.0,,,,,-10.7,,False,,False,False,,,,False,,,True,,False,,False,True,,False,False,,False,False,,,,,False,True,,,,,True
01055,986,874.0,,876.1,,877.0,958.0,,,,1032.9,,,507.0,,491.3,,500.5,853.0,,985.0,1039.7,,1223.0,543.0,,,,,678.6,911.1,,,,,1065.9,-112.0,,-109.9,,-109.0,-28.0,,,,46.9,,,-479.0,,-494.7,,-485.5,-133.0,,-1.0,53.7,,237.0,-443.0,,,,,-307.4,-74.9,,,,,79.9,,True,,True,True,,,,True,,,False,,False,,False,False,,True,True,,False,False,,,,,False,True,,,,,True
01057,189,138.0,,138.0,,138.0,109.0,,,,71.3,,,74.0,,250.2,,65.3,,,192.0,155.8,,190.0,28.0,,,,,,149.6,,,,,149.5,-51.0,,-51.0,,-51.0,-80.0,,,,-117.7,,,-115.0,,61.2,,-123.7,,,3.0,-33.2,,1.0,-161.0,,,,,,-39.4,,,,,-39.5,,False,,False,False,,,,False,,,False,,False,,False,,,True,True,,True,False,,,,,,True,,,,,True
01059,206,150.0,,137.2,,138.0,72.0,,,,115.5,,,217.0,,33.9,,141.4,173.0,,109.0,186.0,,156.0,73.0,,,,,109.1,210.9,,,,,175.5,-56.0,,-68.8,,-68.0,-134.0,,,,-90.5,,,11.0,,-172.1,,-64.6,-33.0,,-97.0,-20.0,,-50.0,-133.0,,,,,-96.9,4.9,,,,,-30.5,,False,,False,False,,,,False,,,True,,False,,False,True,,False,True,,True,False,,,,,False,True,,,,,True
01061,137,136.0,,143.0,,131.0,142.0,,,,75.7,,,82.0,,75.9,,84.3,,,206.0,176.2,,166.0,30.0,,,,,122.0,161.0,,,,,142.7,-1.0,,6.0,,-6.0,5.0,,,,-61.3,,,-55.0,,-61.1,,-52.7,,,69.0,39.2,,29.0,-107.0,,,,,-15.0,24.0,,,,,5.7,,False,,False,False,,,,False,,,False,,False,,False,,,False,False,,False,False,,,,,False,False,,,,,False
01063,52,32.0,,30.5,,27.0,0.0,,,,22.6,,,23.0,,17.3,,15.5,,,23.0,28.9,,28.0,64.0,,,,,,24.5,,,,,41.9,-20.0,,-21.5,,-25.0,-52.0,,,,-29.4,,,-29.0,,-34.7,,-36.5,,,-29.0,-23.1,,-24.0,12.0,,,,,,-27.5,,,,,-10.1,,False,,False,False,,,,False,,,False,,False,,False,,,False,False,,False,True,,,,,,False,,,,,True
01065,102,90.0,,93.0,,58.0,28.0,,,,67.2,,,51.0,,35.2,,48.3,,,58.0,93.8,,114.0,37.0,,,,,,74.6,,,,,82.4,-12.0,,-9.0,,-44.0,-74.0,,,,-34.8,,,-51.0,,-66.8,,-53.7,,,-44.0,-8.2,,12.0,-65.0,,,,,,-27.4,,,,,-19.6,,True,,False,False,,,,False,,,False,,False,,False,,,False,True,,False,False,,,,,,False,,,,,False
01067,44,68.0,,82.6,,68.0,20.0,,,,44.7,,,41.0,,27.5,,48.5,,,70.0,77.8,,59.0,2.0,,,,,,77.4,,,,,92.7,24.0,,38.6,,24.0,-24.0,,,,0.7,,,-3.0,,-16.5,,4.5,,,26.0,33.8,,15.0,-42.0,,,,,,33.4,,,,,48.7,,False,,False,False,,,,True,,,True,,True,,True,,,False,False,,True,False,,,,,,False,,,,,False
01069,543,482.0,,559.8,,476.0,640.0,,,,408.7,,,358.0,,291.4,,335.3,446.0,,768.0,583.9,,532.0,0.0,,,,,445.5,689.7,,,,,447.6,-61.0,,16.8,,-67.0,97.0,,,,-134.3,,,-185.0,,-251.6,,-207.7,-97.0,,225.0,40.9,,-11.0,-543.0,,,,,-97.5,146.7,,,,,-95.4,,True,,False,False,,,,False,,,False,,False,,False,False,,False,True,,True,False,,,,,False,False,,,,,False
01071,516,446.0,,428.2,,424.0,426.0,,,,287.3,,,309.0,,236.0,,265.4,402.5,,427.5,520.8,,523.0,369.0,,,,,336.2,499.1,,,,,546.4,-70.0,,-87.8,,-92.0,-90.0,,,,-228.7,,,-207.0,,-280.0,,-250.6,-113.5,,-88.5,4.8,,7.0,-147.0,,,,,-179.8,-16.9,,,,,30.4,,False,,False,False,,,,False,,,False,,False,,False,False,,False,True,,True,False,,,,,False,True,,,,,True
01073,4735,3904.0,,3903.9,4601.4,3904.0,5881.0,,,,4791.4,,,2313.0,,3554.1,,2375.5,3521.5,,6165.0,5034.8,,5307.0,2081.0,,,,,2847.7,4914.2,7392.0,,,,4216.2,-831.0,,-831.1,-133.6,-831.0,1146.0,,,,56.4,,,-2422.0,,-1180.9,,-2359.5,-1213.5,,1430.0,299.8,,572.0,-2654.0,,,,,-1887.3,179.2,2657.0,,,,-518.8,,False,True,False,False,,,,True,,,False,,False,,False,False,,False,True,,True,False,,,,,False,True,False,,,,True
01075,98,56.0,,50.9,,56.0,60.0,,,,31.3,,,69.0,,52.9,,27.4,,,39.0,59.4,,47.0,16.0,,,,,,72.1,,,,,71.4,-42.0,,-47.1,,-42.0,-38.0,,,,-66.7,,,-29.0,,-45.1,,-70.6,,,-59.0,-38.6,,-51.0,-82.0,,,,,,-25.9,,,,,-26.6,,False,,False,True,,,,False,,,True,,False,,False,,,False,True,,False,False,,,,,,True,,,,,True
01077,819,696.0,,711.3,,667.0,566.0,,,,385.2,,,553.0,,269.7,,474.7,771.0,,679.0,690.3,,716.0,106.0,,,,,402.4,764.1,,,,,1192.5,-123.0,,-107.7,,-152.0,-253.0,,,,-433.8,,,-266.0,,-549.3,,-344.3,-48.0,,-140.0,-128.7,,-103.0,-713.0,,,,,-416.6,-54.9,,,,,373.5,,True,,False,False,,,,False,,,False,,False,,False,True,,False,False,,True,False,,,,,False,True,,,,,False
01079,208,152.0,,155.9,,148.0,134.0,,,,108.9,,,191.0,,47.3,,101.3,153.5,,120.0,157.1,,104.0,123.0,,,,,,148.7,,,,,211.1,-56.0,,-52.1,,-60.0,-74.0,,,,-99.1,,,-17.0,,-160.7,,-106.7,-54.5,,-88.0,-50.9,,-104.0,-85.0,,,,,,-59.3,,,,,3.1,,True,,False,False,,,,False,,,True,,False,,False,True,,False,True,,False,False,,,,,,False,,,,,True
01081,576,606.0,,607.8,,584.0,923.0,,,,945.9,,,489.0,,490.8,,263.0,481.5,,1150.0,817.6,,784.0,509.0,,,,,561.3,891.7,815.0,,,,0.0,30.0,,31.8,,8.0,347.0,,,,369.9,,,-87.0,,-85.2,,-313.0,-94.5,,574.0,241.6,,208.0,-67.0,,,,,-14.7,315.7,239.0,,,,-576.0,,False,,True,False,,,,False,,,False,,False,,False,False,,False,False,,False,False,,,,,True,False,False,,,,False
01083,636,608.0,,599.0,,596.0,703.0,,,,391.4,,,477.0,,433.0,,317.6,588.5,,635.0,674.3,,600.0,99.0,,,,,493.6,610.8,,,,,787.4,-28.0,,-37.0,,-40.0,67.0,,,,-244.6,,,-159.0,,-203.0,,-318.4,-47.5,,-1.0,38.3,,-36.0,-537.0,,,,,-142.4,-25.2,,,,,151.4,,False,,False,False,,,,False,,,False,,False,,False,False,,True,False,,False,False,,,,,False,True,,,,,False
01085,41,26.0,,24.6,,23.0,0.0,,,,22.1,,,24.0,,10.5,,20.6,,,22.0,38.4,,27.0,12.0,,,,,,26.9,,,,,39.6,-15.0,,-16.4,,-18.0,-41.0,,,,-18.9,,,-17.0,,-30.5,,-20.4,,,-19.0,-2.6,,-14.0,-29.0,,,,,,-14.1,,,,,-1.4,,False,,False,False,,,,False,,,False,,False,,False,,,False,True,,True,False,,,,,,True,,,,,True
01087,88,102.0,,99.0,,92.0,102.0,,,,42.7,,,39.0,,56.7,,52.4,,,122.0,93.6,,127.0,86.0,,,,,,76.5,,,,,69.8,14.0,,11.0,,4.0,14.0,,,,-45.3,,,-49.0,,-31.3,,-35.6,,,34.0,5.6,,39.0,-2.0,,,,,,-11.5,,,,,-18.2,,True,,True,False,,,,False,,,False,,False,,False,,,False,True,,False,True,,,,,,True,,,,,False
01089,2068,1742.0,,1768.7,,1824.0,2535.0,,,,2032.7,,,1335.0,,1866.8,,1146.2,1509.5,,2477.0,2298.1,,2083.0,608.0,,,,,1290.2,2520.4,2568.0,,,,2099.6,-326.0,,-299.3,,-244.0,467.0,,,,-35.3,,,-733.0,,-201.2,,-921.8,-558.5,,409.0,230.1,,15.0,-1460.0,,,,,-777.8,452.4,500.0,,,,31.6,,True,,True,False,,,,True,,,False,,True,,False,False,,False,True,,True,False,,,,,False,False,False,,,,True
01091,85,80.0,,73.7,,69.0,21.0,,,,61.0,,,70.0,,40.8,,60.9,,,44.0,79.8,,54.0,90.0,,,,,73.1,66.6,,,,,110.2,-5.0,,-11.3,,-16.0,-64.0,,,,-24.0,,,-15.0,,-44.2,,-24.1,,,-41.0,-5.2,,-31.0,5.0,,,,,-11.9,-18.4,,,,,25.2,,False,,False,False,,,,False,,,False,,False,,False,,,False,False,,False,False,,,,,False,False,,,,,False
01093,139,120.0,,122.7,,149.0,191.0,,,,68.1,,,153.0,,54.0,,78.5,141.5,,202.0,165.3,,186.0,38.0,,,,,83.7,182.9,,,,,164.7,-19.0,,-16.3,,10.0,52.0,,,,-70.9,,,14.0,,-85.0,,-60.5,2.5,,63.0,26.3,,47.0,-101.0,,,,,-55.3,43.9,,,,,25.7,,True,,True,False,,,,False,,,True,,False,,False,True,,False,False,,False,False,,,,,False,False,,,,,False
01095,1029,868.0,,855.5,,865.0,1030.0,,,,833.9,,,525.0,,917.6,,457.2,726.0,,1485.0,1139.5,,1233.0,401.0,,,,,584.1,798.6,,,,,1202.2,-161.0,,-173.5,,-164.0,1.0,,,,-195.1,,,-504.0,,-111.4,,-571.8,-303.0,,456.0,110.5,,204.0,-628.0,,,,,-444.9,-230.4,,,,,173.2,,False,,False,True,,,,False,,,False,,True,,False,False,,False,True,,False,False,,,,,False,False,,,,,False
