,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Georgia,20760,23899.0,7198.4,20629.9,23356.0,24554.0,,20441.7,39491.0,29648.5,35799.2,27238.3,,26341.0,23356.0,22891.7,10880.9,32493.0,13340.2,30928.0,23292.0,26279.0,27741.2,28547.0,23061.0,,38077.1,18580.1,,23144.5,44719.1,30708.2,17672.9,23968.4,26468.0,19847.5,3139.0,-13561.6,-130.1,2596.0,3794.0,,-318.3,18731.0,8888.5,15039.2,6478.3,,5581.0,2596.0,2131.7,-9879.1,11733.0,-7419.8,10168.0,2532.0,5519.0,6981.2,7787.0,2301.0,,17317.1,-2179.9,,2384.5,23959.1,9948.2,-3087.1,3208.4,5708.0,-912.5,False,True,True,False,,True,False,False,False,False,,False,True,True,False,False,False,False,True,False,False,False,True,,False,True,,True,False,False,True,False,False,True
Hawaii,721,602.0,955.5,595.3,624.0,486.0,,589.4,635.0,676.1,647.5,1031.3,,,,764.8,231.7,711.0,728.7,668.7,813.5,848.5,817.5,679.0,1070.0,,756.0,625.4,,575.7,1084.2,726.5,802.9,830.6,606.0,537.5,-119.0,234.5,-125.7,-97.0,-235.0,,-131.6,-86.0,-44.9,-73.5,310.3,,,,43.8,-489.3,-10.0,7.7,-52.3,92.5,127.5,96.5,-42.0,349.0,,35.0,-95.6,,-145.3,363.2,5.5,81.9,109.6,-115.0,-183.5,False,False,True,False,,False,True,True,True,False,,,,True,False,True,True,True,True,False,True,True,False,,True,True,,False,False,True,True,True,True,False
Idaho,8826,9517.0,12622.5,9395.6,9920.0,8559.0,,9425.9,10817.0,16638.0,11658.2,10401.3,,10374.0,11737.0,10699.2,8717.9,10832.0,5140.4,11935.3,9650.0,9205.7,10745.3,11192.0,11306.0,,10257.4,8978.4,,9920.0,14953.0,10205.9,8928.7,7420.7,10207.0,9909.3,691.0,3796.5,569.6,1094.0,-267.0,,599.9,1991.0,7812.0,2832.2,1575.3,,1548.0,2911.0,1873.2,-108.1,2006.0,-3685.6,3109.3,824.0,379.7,1919.3,2366.0,2480.0,,1431.4,152.4,,1094.0,6127.0,1379.9,102.7,-1405.3,1381.0,1083.3,False,True,False,True,,True,False,False,False,False,,False,False,False,True,False,False,False,False,True,False,False,False,,False,True,,False,False,False,True,False,False,False
Illinois,66650,83301.0,100234.7,83172.1,83301.0,76873.0,,82964.1,140890.0,98964.1,94324.8,102738.4,,89692.0,93374.0,104007.6,75671.7,84661.0,61135.9,81869.1,79343.5,76005.8,76791.7,96421.0,92776.0,,80892.2,45279.2,,87431.3,146795.7,82409.7,85049.7,63225.8,81624.0,84212.8,16651.0,33584.7,16522.1,16651.0,10223.0,,16314.1,74240.0,32314.1,27674.8,36088.4,,23042.0,26724.0,37357.6,9021.7,18011.0,-5514.1,15219.1,12693.5,9355.8,10141.7,29771.0,26126.0,,14242.2,-21370.8,,20781.3,80145.7,15759.7,18399.7,-3424.2,14974.0,17562.8,False,True,False,True,,True,False,False,False,False,,False,False,False,True,False,True,True,True,True,True,False,False,,True,False,,False,False,True,False,True,True,False
Indiana,39825,44296.0,53431.3,44480.4,50496.0,46052.0,,43198.0,63674.0,47680.9,52342.0,52125.0,,49672.0,50494.0,52660.1,52616.7,51572.0,30669.4,60707.9,44633.0,43933.9,50216.5,52375.0,50052.0,,51288.8,23084.1,,47265.9,66346.9,46614.5,51290.0,42626.0,54215.0,52014.8,4471.0,13606.3,4655.4,10671.0,6227.0,,3373.0,23849.0,7855.9,12517.0,12300.0,,9847.0,10669.0,12835.1,12791.7,11747.0,-9155.6,20882.9,4808.0,4108.9,10391.5,12550.0,10227.0,,11463.8,-16740.9,,7440.9,26521.9,6789.5,11465.0,2801.0,14390.0,12189.8,False,False,False,False,,True,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,,False,False,False,False,True,False,False
Iowa,17976,25648.0,28031.8,24382.8,25335.0,24068.0,,26330.7,41280.0,25730.0,24755.0,32341.6,,27434.0,30831.0,37940.0,21882.2,28492.0,14416.2,27079.6,19689.0,23406.5,27316.9,33045.0,25626.0,,19577.4,34371.2,,24538.8,48893.6,27266.4,20171.4,15367.6,25335.0,27299.2,7672.0,10055.8,6406.8,7359.0,6092.0,,8354.7,23304.0,7754.0,6779.0,14365.6,,9458.0,12855.0,19964.0,3906.2,10516.0,-3559.8,9103.6,1713.0,5430.5,9340.9,15069.0,7650.0,,1601.4,16395.2,,6562.8,30917.6,9290.4,2195.4,-2608.4,7359.0,9323.2,False,True,True,True,,False,False,False,True,False,,False,False,False,True,False,True,False,True,True,False,False,True,,True,False,,True,False,False,True,True,True,False
Kansas,18434,19543.0,23973.2,19587.0,19587.0,19302.0,,19396.8,29082.0,8886.5,29336.7,17658.7,,18428.0,20052.0,19750.1,27745.6,24314.0,11591.2,25881.1,4247.0,14386.5,17881.7,21832.0,22268.0,,19004.1,22269.4,,18351.0,25159.0,21574.5,13036.8,10953.7,20104.0,20000.6,1109.0,5539.2,1153.0,1153.0,868.0,,962.8,10648.0,-9547.5,10902.7,-775.3,,-6.0,1618.0,1316.1,9311.6,5880.0,-6842.8,7447.1,-14187.0,-4047.5,-552.3,3398.0,3834.0,,570.1,3835.4,,-83.0,6725.0,3140.5,-5397.2,-7480.3,1670.0,1566.6,False,False,False,True,,True,False,False,False,True,,True,False,False,False,False,False,False,False,False,True,False,False,,True,False,,True,False,False,False,False,False,False
Kentucky,18274,19771.0,26820.7,19683.8,22192.0,20349.0,,18516.8,19857.0,32533.6,23861.0,23795.7,,21288.0,26005.0,22192.5,19823.3,24865.0,12463.7,22483.1,22797.5,22242.5,24114.8,23502.0,22756.0,,29268.4,19613.4,,20448.4,26690.4,24133.3,25414.7,20832.3,22272.0,18896.7,1497.0,8546.7,1409.8,3918.0,2075.0,,242.8,1583.0,14259.6,5587.0,5521.7,,3014.0,7731.0,3918.5,1549.3,6591.0,-5810.3,4209.1,4523.5,3968.5,5840.8,5228.0,4482.0,,10994.4,1339.4,,2174.4,8416.4,5859.3,7140.7,2558.3,3998.0,622.7,False,True,False,False,,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,False,False,False,False,False,False,True
Louisiana,13893,14728.0,23183.8,14514.4,15741.0,15741.0,,14804.4,8648.0,46626.3,20363.4,12265.7,,14184.0,18970.0,12514.6,81720.9,15648.0,12245.4,22271.6,18528.0,19615.3,22945.8,16513.0,18053.0,,19205.4,4554.8,,13715.5,15618.2,23489.3,15506.4,21714.5,18818.0,20624.0,835.0,9290.8,621.4,1848.0,1848.0,,911.4,-5245.0,32733.3,6470.4,-1627.3,,291.0,5077.0,-1378.4,67827.9,1755.0,-1647.6,8378.6,4635.0,5722.3,9052.8,2620.0,4160.0,,5312.4,-9338.2,,-177.5,1725.2,9596.3,1613.4,7821.5,4925.0,6731.0,False,True,False,False,,False,False,False,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,,True,False,False,False,False,False,False
Maine,1165,1332.0,882.4,1343.5,1496.0,1461.0,,1338.1,2586.0,1242.1,1697.4,1406.4,,1193.0,1687.0,1601.4,1509.6,1627.0,1836.8,2636.2,1547.0,1574.1,2118.2,1656.0,2059.0,,1329.3,884.1,,1320.4,1838.5,1735.1,1361.1,1554.7,1333.0,1590.6,167.0,-282.6,178.5,331.0,296.0,,173.1,1421.0,77.1,532.4,241.4,,28.0,522.0,436.4,344.6,462.0,671.8,1471.2,382.0,409.1,953.2,491.0,894.0,,164.3,-280.9,,155.4,673.5,570.1,196.1,389.7,168.0,425.6,False,False,False,False,,False,False,True,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,,True,False,,True,False,False,False,False,False,False
Maryland,14477,15881.0,22026.5,15953.3,17886.0,18567.0,,14461.0,27770.0,15124.7,19607.8,17624.0,,16192.0,15930.0,15573.5,19312.5,20416.0,12171.8,24088.4,18303.0,17886.4,19812.3,18231.0,18636.0,,11570.1,13140.4,,15706.4,14960.6,16576.0,22690.8,19026.5,18634.0,18506.5,1404.0,7549.5,1476.3,3409.0,4090.0,,-16.0,13293.0,647.7,5130.8,3147.0,,1715.0,1453.0,1096.5,4835.5,5939.0,-2305.2,9611.4,3826.0,3409.4,5335.3,3754.0,4159.0,,-2906.9,-1336.6,,1229.4,483.6,2099.0,8213.8,4549.5,4157.0,4029.5,False,False,False,False,,True,False,True,False,False,,False,False,True,False,False,False,False,False,False,False,False,False,,False,True,,True,True,False,False,False,False,False
Massachusetts,18314,18013.0,20304.4,18157.5,20243.0,17151.0,,17950.4,26208.0,22901.1,18566.0,23267.2,,16716.0,19489.0,20758.8,22155.3,20037.0,16649.5,24664.8,23465.5,19688.7,23123.3,20822.0,21462.0,,20897.9,19362.9,,20857.2,23871.7,18874.8,22705.3,18733.9,17676.0,19372.5,-301.0,1990.4,-156.5,1929.0,-1163.0,,-363.6,7894.0,4587.1,252.0,4953.2,,-1598.0,1175.0,2444.8,3841.3,1723.0,-1664.5,6350.8,5151.5,1374.7,4809.3,2508.0,3148.0,,2583.9,1048.9,,2543.2,5557.7,560.8,4391.3,419.9,-638.0,1058.5,False,True,False,False,,False,False,False,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Michigan,49131,53229.0,56748.3,53620.9,61517.0,51851.0,,52825.5,84853.0,81055.8,56267.5,67371.6,,59265.0,67713.0,64133.2,62090.9,63072.0,50352.9,74174.3,76981.0,52375.4,54388.8,60991.0,60595.0,,67495.9,83028.3,,57460.1,77136.1,54240.0,69054.6,30035.3,60275.0,61517.4,4098.0,7617.3,4489.9,12386.0,2720.0,,3694.5,35722.0,31924.8,7136.5,18240.6,,10134.0,18582.0,15002.2,12959.9,13941.0,1221.9,25043.3,27850.0,3244.4,5257.8,11860.0,11464.0,,18364.9,33897.3,,8329.1,28005.1,5109.0,19923.6,-19095.7,11144.0,12386.4,False,False,False,True,,True,False,False,False,False,,False,False,False,False,False,True,False,False,True,False,False,False,,False,False,,False,False,False,False,False,False,False
Minnesota,41071,46924.0,57828.3,47322.6,50861.0,46598.0,,45543.5,81142.0,44586.9,52375.6,55308.2,,49398.0,61006.0,54062.0,67395.5,54536.0,23786.6,68318.6,43519.0,44946.0,52714.1,55388.0,54455.0,,48349.7,11440.8,,45726.4,65907.0,41818.8,54869.7,44801.9,50861.0,62096.6,5853.0,16757.3,6251.6,9790.0,5527.0,,4472.5,40071.0,3515.9,11304.6,14237.2,,8327.0,19935.0,12991.0,26324.5,13465.0,-17284.4,27247.6,2448.0,3875.0,11643.1,14317.0,13384.0,,7278.7,-29630.2,,4655.4,24836.0,747.8,13798.7,3730.9,9790.0,21025.6,False,False,False,True,,True,False,True,False,False,,False,False,False,False,False,False,False,True,True,False,False,False,,False,False,,True,False,True,False,True,False,False
Mississippi,7539,9061.0,10132.4,8881.9,9205.0,7186.0,,7968.0,6720.0,10603.9,11183.8,10973.3,,10009.0,11640.0,9857.4,8803.2,11424.0,5544.2,9838.0,7967.5,9205.4,10449.9,10817.0,10851.0,,11536.0,6330.5,,9213.6,11603.9,10451.0,9051.1,9395.2,10069.0,8585.4,1522.0,2593.4,1342.9,1666.0,-353.0,,429.0,-819.0,3064.9,3644.8,3434.3,,2470.0,4101.0,2318.4,1264.2,3885.0,-1994.8,2299.0,428.5,1666.4,2910.9,3278.0,3312.0,,3997.0,-1208.5,,1674.6,4064.9,2912.0,1512.1,1856.2,2530.0,1046.4,False,True,False,True,,True,True,False,False,False,,False,False,False,True,False,False,False,True,False,False,False,False,,False,True,,False,False,False,True,False,False,True
Missouri,26274,29059.0,36061.0,29856.4,32693.0,26459.0,,32692.6,52595.0,34213.4,32231.3,35734.4,,32537.0,33758.0,37829.1,33354.8,32460.0,17138.4,41882.1,28967.0,33767.8,36829.3,38964.0,35586.0,,31502.1,42597.8,,29357.5,55938.6,31489.0,28926.4,26477.4,35639.0,30066.7,2785.0,9787.0,3582.4,6419.0,185.0,,6418.6,26321.0,7939.4,5957.3,9460.4,,6263.0,7484.0,11555.1,7080.8,6186.0,-9135.6,15608.1,2693.0,7493.8,10555.3,12690.0,9312.0,,5228.1,16323.8,,3083.5,29664.6,5215.0,2652.4,203.4,9365.0,3792.7,False,False,False,True,,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,,False,False,False,True,True,False,False
Montana,6303,8656.0,10739.7,8651.6,8717.0,7314.0,,8432.9,6416.0,10089.2,10036.6,9209.3,,8744.0,10168.0,9930.3,13654.0,9915.0,3666.3,9112.9,8343.0,8297.6,9088.9,8838.0,9757.0,,11196.4,9504.0,,8283.0,11612.2,9993.4,9170.8,7441.5,9905.0,7718.8,2353.0,4436.7,2348.6,2414.0,1011.0,,2129.9,113.0,3786.2,3733.6,2906.3,,2441.0,3865.0,3627.3,7351.0,3612.0,-2636.7,2809.9,2040.0,1994.6,2785.9,2535.0,3454.0,,4893.4,3201.0,,1980.0,5309.2,3690.4,2867.8,1138.5,3602.0,1415.8,False,True,False,True,,True,True,False,False,False,,False,False,False,False,False,False,False,True,True,False,False,False,,False,False,,True,False,False,False,True,False,True
Nebraska,12294,16195.0,22180.6,16453.4,16453.0,14848.0,,16017.3,20211.0,14617.4,16288.7,17121.0,,16859.0,19770.0,19448.3,18945.2,19368.0,8835.8,20996.8,13086.5,13782.9,16167.7,18188.0,18906.0,,16002.9,15959.2,,16769.3,22971.4,17454.6,15505.0,9871.0,16301.0,16604.6,3901.0,9886.6,4159.4,4159.0,2554.0,,3723.3,7917.0,2323.4,3994.7,4827.0,,4565.0,7476.0,7154.3,6651.2,7074.0,-3458.2,8702.8,792.5,1488.9,3873.7,5894.0,6612.0,,3708.9,3665.2,,4475.3,10677.4,5160.6,3211.0,-2423.0,4007.0,4310.6,False,False,False,True,,True,False,True,False,False,,False,False,False,False,False,True,False,True,True,True,False,False,,True,True,,False,False,False,True,True,False,False
