,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Georgia,128180,54690.0,76452.2,73579.0,,43133.5,21139.0,,31774.0,47884.1,40885.5,41831.7,32771.3,33913.8,45688.0,-73490.0,-51727.8,-54601.0,,-85046.5,-107041.0,,-96406.0,-80295.9,-87294.5,-86348.3,-95408.7,-94266.2,-82492.0,True,True,,False,False,,False,False,False,False,False,False,False
Hawaii,3939,3468.0,3723.6,3018.0,,3712.9,542.0,,,5109.6,4270.7,8774.3,2164.3,1699.6,1727.0,-471.0,-215.4,-921.0,,-226.1,-3397.0,,,1170.6,331.7,4835.3,-1774.7,-2239.4,-2212.0,True,False,,True,False,,,False,True,False,False,False,False
Idaho,47078,29286.0,23660.2,32998.0,,24076.5,6435.0,,16713.0,24881.7,39109.2,11159.4,18234.5,12091.4,26817.0,-17792.0,-23417.8,-14080.0,,-23001.5,-40643.0,,-30365.0,-22196.3,-7968.8,-35918.6,-28843.5,-34986.6,-20261.0,False,True,,False,False,,False,False,True,False,False,False,False
Illinois,369550,143610.0,257440.1,187176.0,,127451.7,20869.0,,87948.0,119068.2,114242.0,116516.4,113465.2,82881.8,198072.0,-225940.0,-112109.9,-182374.0,,-242098.3,-348681.0,,-281602.0,-250481.8,-255308.0,-253033.6,-256084.8,-286668.2,-171478.0,True,True,,False,False,,False,False,False,False,False,False,True
Indiana,183031,75396.0,131827.6,110712.0,,67435.1,22921.0,,50754.0,71833.2,77937.5,77406.7,47778.8,40842.3,149202.0,-107635.0,-51203.4,-72319.0,,-115595.9,-160110.0,,-132277.0,-111197.8,-105093.5,-105624.3,-135252.2,-142188.7,-33829.0,True,True,,False,False,,False,False,True,True,False,False,True
Iowa,120481,45936.0,40967.8,55457.0,,42730.1,18751.0,,35219.0,45027.1,59524.7,22112.1,22219.2,19765.9,59535.0,-74545.0,-79513.2,-65024.0,,-77750.9,-101730.0,,-85262.0,-75453.9,-60956.3,-98368.9,-98261.8,-100715.1,-60946.0,False,True,,False,False,,False,False,True,False,False,False,True
Kansas,82851,29904.0,36771.1,32228.0,,25927.6,16209.0,,28348.0,32697.3,52969.7,14093.7,13614.8,18228.3,19401.0,-52947.0,-46079.9,-50623.0,,-56923.4,-66642.0,,-54503.0,-50153.7,-29881.3,-68757.3,-69236.2,-64622.7,-63450.0,True,True,,False,False,,False,True,True,False,False,False,False
Kentucky,87385,44112.0,94007.2,63996.0,,42946.0,41561.0,,38545.0,51691.7,49148.1,25248.5,25299.9,19823.9,60206.0,-43273.0,6622.2,-23389.0,,-44439.0,-45824.0,,-48840.0,-35693.3,-38236.9,-62136.5,-62085.1,-67561.1,-27179.0,True,True,,False,False,,False,True,True,False,False,False,True
Louisiana,52876,22560.0,15043.4,26145.0,,17447.8,5444.0,,19712.0,15523.1,17052.5,22964.6,14792.7,10965.1,11361.0,-30316.0,-37832.6,-26731.0,,-35428.2,-47432.0,,-33164.0,-37352.9,-35823.5,-29911.4,-38083.3,-41910.9,-41515.0,False,True,,False,False,,False,False,False,True,False,False,False
Maine,5376,1302.0,8952.5,1578.0,,1057.9,486.0,,1747.0,1523.4,1790.6,2162.6,736.1,945.9,1241.0,-4074.0,3576.5,-3798.0,,-4318.1,-4890.0,,-3629.0,-3852.6,-3585.4,-3213.4,-4639.9,-4430.1,-4135.0,True,True,,False,False,,True,True,True,True,False,False,False
Maryland,59321,25992.0,41781.2,29383.0,,22786.6,4717.0,,18931.0,27261.3,16366.7,30740.0,15522.0,17430.7,29052.0,-33329.0,-17539.8,-29938.0,,-36534.4,-54604.0,,-40390.0,-32059.7,-42954.3,-28581.0,-43799.0,-41890.3,-30269.0,True,True,,False,False,,False,True,False,True,False,False,True
Massachusetts,79539,27540.0,38725.8,27967.0,,20702.0,3965.0,,15146.0,30943.1,19567.3,49070.1,15556.0,15575.7,26315.0,-51999.0,-40813.2,-51572.0,,-58837.0,-75574.0,,-64393.0,-48595.9,-59971.7,-30468.9,-63983.0,-63963.3,-53224.0,True,True,,False,False,,False,True,False,True,False,False,False
Michigan,217047,69912.0,151615.8,109996.0,,59318.2,3829.0,,45961.0,77214.6,55656.1,104351.0,25028.3,43968.9,119978.0,-147135.0,-65431.2,-107051.0,,-157728.8,-213218.0,,-171086.0,-139832.4,-161390.9,-112696.0,-192018.7,-173078.1,-97069.0,True,True,,False,False,,False,True,False,True,False,False,True
Minnesota,182933,61572.0,114387.3,82160.0,,53280.1,52028.0,,61790.0,59433.3,59079.9,30041.6,46945.1,35522.4,55111.0,-121361.0,-68545.7,-100773.0,,-129652.9,-130905.0,,-121143.0,-123499.7,-123853.1,-152891.4,-135987.9,-147410.6,-127822.0,True,True,,False,False,,True,False,False,False,False,False,False
Mississippi,39934,32208.0,38385.0,38415.0,,20234.1,7735.0,,22706.0,27587.0,26521.0,11946.2,14538.7,15435.7,23400.0,-7726.0,-1549.0,-1519.0,,-19699.9,-32199.0,,-17228.0,-12347.0,-13413.0,-27987.8,-25395.3,-24498.3,-16534.0,True,True,,False,False,,False,False,False,False,False,False,False
Missouri,141987,68556.0,87717.6,76335.0,,68895.4,47068.0,,60500.0,71303.6,107658.2,29588.3,55894.6,28212.7,41927.0,-73431.0,-54269.4,-65652.0,,-73091.6,-94919.0,,-81487.0,-70683.4,-34328.8,-112398.7,-86092.4,-113774.3,-100060.0,True,True,,True,False,,False,True,True,False,False,False,False
Montana,38620,24648.0,43939.2,21421.0,,27479.3,15486.0,,26954.0,21547.8,112105.9,3909.1,18462.2,8169.7,14916.0,-13972.0,5319.2,-17199.0,,-11140.7,-23134.0,,-11666.0,-17072.2,73485.9,-34710.9,-20157.8,-30450.3,-23704.0,True,False,,True,False,,True,False,False,False,False,False,False
Nebraska,67991,32670.0,78450.8,39023.0,,31775.6,25273.0,,23944.0,27296.3,55737.8,20772.6,21759.9,17079.8,27730.0,-35321.0,10459.8,-28968.0,,-36215.4,-42718.0,,-44047.0,-40694.7,-12253.2,-47218.4,-46231.1,-50911.2,-40261.0,True,True,,False,False,,False,False,True,False,False,False,False
Nevada,59577,25518.0,40251.4,38061.0,,23296.2,4733.0,,14199.0,28710.8,21594.0,17472.2,17046.5,12196.0,31117.0,-34059.0,-19325.6,-21516.0,,-36280.8,-54844.0,,-45378.0,-30866.2,-37983.0,-42104.8,-42530.5,-47381.0,-28460.0,True,True,,False,False,,False,True,False,False,False,False,True
New Hampshire,10400,3198.0,1544.1,4287.0,,3298.6,4995.0,,2798.0,5647.6,4153.2,4467.0,1371.4,2239.7,4175.0,-7202.0,-8855.9,-6113.0,,-7101.4,-5405.0,,-7602.0,-4752.4,-6246.8,-5933.0,-9028.6,-8160.3,-6225.0,False,True,,True,True,,False,True,True,True,False,False,True
New Jersey,110815,35166.0,31848.5,45184.0,,25048.5,8031.0,,27437.0,42952.0,19348.6,75439.8,21152.7,23239.3,35612.0,-75649.0,-78966.5,-65631.0,,-85766.5,-102784.0,,-83378.0,-67863.0,-91466.4,-35375.2,-89662.3,-87575.7,-75203.0,False,True,,False,False,,False,True,False,True,False,False,True
New Mexico,57639,21726.0,38690.2,29563.0,,21520.8,2448.0,,17505.0,23318.0,24745.6,13321.4,15265.1,9035.0,22964.0,-35913.0,-18948.8,-28076.0,,-36118.2,-55191.0,,-40134.0,-34321.0,-32893.4,-44317.6,-42373.9,-48604.0,-34675.0,True,True,,False,False,,False,True,True,False,False,False,True
New York,156956,58488.0,18667.0,68620.0,,15071.4,15172.0,,32996.0,76143.7,51036.8,182087.5,35267.9,25826.9,49880.0,-98468.0,-138289.0,-88336.0,,-141884.6,-141784.0,,-123960.0,-80812.3,-105919.2,25131.5,-121688.1,-131129.1,-107076.0,False,True,,False,False,,False,True,False,True,False,False,False
North Carolina,114233,83838.0,218035.2,100426.0,,69888.2,31931.0,,71129.0,90474.8,87154.0,59305.7,58541.2,41650.8,76575.0,-30395.0,103802.2,-13807.0,,-44344.8,-82302.0,,-43104.0,-23758.2,-27079.0,-54927.3,-55691.8,-72582.2,-37658.0,False,True,,False,False,,False,True,True,False,False,False,False
North Dakota,46674,27804.0,26541.1,25894.0,,21587.1,11936.0,,22228.0,15662.8,45471.1,4692.7,21505.4,10781.7,36009.0,-18870.0,-20132.9,-20780.0,,-25086.9,-34738.0,,-24446.0,-31011.2,-1202.9,-41981.3,-25168.6,-35892.3,-10665.0,False,False,,False,False,,False,False,True,False,False,False,True
Ohio,226478,76602.0,43170.6,119146.0,,73483.1,27553.0,,64044.0,76716.3,86843.0,109429.8,47413.8,38529.2,80627.0,-149876.0,-183307.4,-107332.0,,-152994.9,-198925.0,,-162434.0,-149761.7,-139635.0,-117048.2,-179064.2,-187948.8,-145851.0,False,True,,False,False,,False,True,True,True,False,False,True
Oklahoma,87356,47082.0,130683.1,49964.0,,43945.6,27484.0,,48760.0,52880.8,55039.3,24540.5,26315.5,17430.3,31248.0,-40274.0,43327.1,-37392.0,,-43410.4,-59872.0,,-38596.0,-34475.2,-32316.7,-62815.5,-61040.5,-69925.7,-56108.0,False,True,,False,False,,True,True,True,False,False,False,False
Oregon,33191,14346.0,11035.5,16900.0,,13317.6,4251.0,,11435.0,19574.4,24264.6,16506.2,8273.5,5675.7,15776.0,-18845.0,-22155.5,-16291.0,,-19873.4,-28940.0,,-21756.0,-13616.6,-8926.4,-16684.8,-24917.5,-27515.3,-17415.0,False,True,,False,False,,False,True,True,True,False,False,True
Pennsylvania,170277,59226.0,57944.9,74807.0,,54549.0,16280.0,,51359.0,70539.8,71925.1,104906.6,31910.7,26018.0,74470.0,-111051.0,-112332.1,-95470.0,,-115728.0,-153997.0,,-118918.0,-99737.2,-98351.9,-65370.4,-138366.3,-144259.0,-95807.0,False,True,,False,False,,False,True,True,True,False,False,True
Rhode Island,26263,8382.0,27446.0,9527.0,,6270.1,1123.0,,5672.0,6643.6,6608.8,7521.1,3110.7,4067.6,9266.0,-17881.0,1183.0,-16736.0,,-19992.9,-25140.0,,-20591.0,-19619.4,-19654.2,-18741.9,-23152.3,-22195.4,-16997.0,True,True,,False,False,,False,False,False,False,False,False,True
South Carolina,51697,39558.0,38706.3,54265.0,,33116.7,13397.0,,28713.0,41032.0,33925.2,11258.1,23028.2,18630.3,30536.0,-12139.0,-12990.7,2568.0,,-18580.3,-38300.0,,-22984.0,-10665.0,-17771.8,-40438.9,-28668.8,-33066.7,-21161.0,False,True,,False,False,,False,True,False,False,False,False,False
South Dakota,46488,27984.0,23536.9,27804.0,,26036.6,12465.0,,27354.0,19678.3,57995.5,4308.1,21928.4,10955.0,14777.0,-18504.0,-22951.1,-18684.0,,-20451.4,-34023.0,,-19134.0,-26809.7,11507.5,-42179.9,-24559.6,-35533.0,-31711.0,False,False,,False,False,,False,False,True,False,False,False,False
Tennessee,137327,80940.0,69676.7,81372.0,,83146.8,35012.0,,59474.0,78641.9,98457.5,38314.6,61365.5,38700.0,62711.0,-56387.0,-67650.3,-55955.0,,-54180.2,-102315.0,,-77853.0,-58685.1,-38869.5,-99012.4,-75961.5,-98627.0,-74616.0,False,True,,True,False,,False,False,True,False,False,False,False
Texas,409528,195162.0,186722.6,297145.0,,144639.6,63112.0,,189915.0,196895.1,178448.6,182225.1,133829.2,103389.5,138571.0,-214366.0,-222805.4,-112383.0,,-264888.4,-346416.0,,-219613.0,-212632.9,-231079.4,-227302.9,-275698.8,-306138.5,-270957.0,False,True,,False,False,,False,True,False,False,False,False,False
Utah,98790,51918.0,16940.5,40911.0,,49496.6,19232.0,,41566.0,49131.5,42538.6,17924.1,32121.0,17184.7,29874.0,-46872.0,-81849.5,-57879.0,,-49293.4,-79558.0,,-57224.0,-49658.5,-56251.4,-80865.9,-66669.0,-81605.3,-68916.0,False,False,,False,False,,False,False,False,False,False,False,False
Vermont,2107,414.0,132.6,745.0,,443.2,39.0,,436.0,599.9,1804.5,801.3,241.0,272.8,615.0,-1693.0,-1974.4,-1362.0,,-1663.8,-2068.0,,-1671.0,-1507.1,-302.5,-1305.7,-1866.0,-1834.2,-1492.0,False,True,,True,False,,True,True,True,True,False,False,True
Virginia,68379,43116.0,64360.0,49917.0,,43345.1,8173.0,,30117.0,48883.4,60980.7,44675.8,23933.0,21239.0,43127.0,-25263.0,-4019.0,-18462.0,,-25033.9,-60206.0,,-38262.0,-19495.6,-7398.3,-23703.2,-44446.0,-47140.0,-25252.0,True,True,,True,False,,False,True,True,True,False,False,True
Washington,67126,27816.0,54149.0,41284.0,,14772.9,6444.0,,13725.0,28087.8,25417.9,24559.3,15419.4,15968.8,29813.0,-39310.0,-12977.0,-25842.0,,-52353.1,-60682.0,,-53401.0,-39038.2,-41708.1,-42566.7,-51706.6,-51157.2,-37313.0,True,True,,False,False,,False,True,False,False,False,False,True
West Virginia,26040,11268.0,16702.2,17536.0,,9370.3,5987.0,,6681.0,10872.8,30126.7,7913.2,8225.1,5810.2,9342.0,-14772.0,-9337.8,-8504.0,,-16669.7,-20053.0,,-19359.0,-15167.2,4086.7,-18126.8,-17814.9,-20229.8,-16698.0,True,True,,False,False,,False,False,True,False,False,False,False
Wisconsin,238813,111756.0,135699.1,123653.0,,109126.6,77525.0,,95170.0,100115.7,201140.2,50948.5,19532.1,100492.0,57591.0,-127057.0,-103113.9,-115160.0,,-129686.4,-161288.0,,-143643.0,-138697.3,-37672.8,-187864.5,-219280.9,-138321.0,-181222.0,True,True,,False,False,,False,False,True,False,False,False,False
Wyoming,23112,8166.0,12166.8,8623.0,,7499.5,4933.0,,7412.0,8556.0,24181.5,2884.6,6260.4,4200.7,5667.0,-14946.0,-10945.2,-14489.0,,-15612.5,-18179.0,,-15700.0,-14556.0,1069.5,-20227.4,-16851.6,-18911.3,-17445.0,True,True,,False,False,,False,True,True,False,False,False,False
US,5212647,2330712.0,3145539.0,2943577.0,3028035.2,1638549.0,920296.0,2377550.0,1754741.0,2326059.2,2565210.7,1994461.7,1218962.9,1522581.5,2060806.0,-2881935.0,-2067108.0,-2269070.0,-2184611.8,-3574098.0,-4292351.0,-2835097.0,-3457906.0,-2886587.8,-2647436.3,-3218185.3,-3993684.1,-3690065.5,-3151841.0,True,True,True,False,False,True,False,False,True,False,False,False,False
