,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UVA-Ensemble
01051,620,387.0,,379.1,,371.0,362.0,,,,,255.0,,241.0,,275.4,,365.5,,448.0,477.1,,358.0,,,,349.0,,,413.0,,368.2,-233.0,,-240.9,,-249.0,-258.0,,,,,-365.0,,-379.0,,-344.6,,-254.5,,-172.0,-142.9,,-262.0,,,,-271.0,,,-207.0,,-251.8,,False,,False,False,,,,,False,,False,,False,,False,,True,True,,False,,,,False,,,True,,False
01053,157,171.0,,173.4,,153.0,1.0,,,,,95.6,,158.0,,133.1,,127.5,,232.0,164.1,,262.0,,,,130.7,,,234.0,,92.6,14.0,,16.4,,-4.0,-156.0,,,,,-61.4,,1.0,,-23.9,,-29.5,,75.0,7.1,,105.0,,,,-26.3,,,77.0,,-64.4,,False,,True,False,,,,,False,,True,,False,,False,,False,True,,False,,,,False,,,False,,False
01055,1393,1023.0,,1023.3,,1028.0,1531.0,,,,,479.8,,538.0,,1033.6,,1047.0,,1144.0,952.5,,1603.0,,,,757.0,,,611.0,,981.7,-370.0,,-369.7,,-365.0,138.0,,,,,-913.2,,-855.0,,-359.4,,-346.0,,-249.0,-440.5,,210.0,,,,-636.0,,,-782.0,,-411.3,,True,,True,True,,,,,False,,False,,True,,True,,True,False,,True,,,,False,,,False,,False
01057,250,150.0,,145.1,,145.0,112.0,,,,,68.8,,72.0,,99.6,,,,192.0,179.1,,232.0,,,,,,,166.0,,146.1,-100.0,,-104.9,,-105.0,-138.0,,,,,-181.2,,-178.0,,-150.4,,,,-58.0,-70.9,,-18.0,,,,,,,-84.0,,-103.9,,False,,False,False,,,,,False,,False,,False,,,,True,True,,True,,,,,,,True,,False
01059,279,375.0,,402.1,,273.0,98.0,,,,,126.3,,244.0,,353.1,,341.5,,125.0,188.9,,429.0,,,,275.9,,,477.0,,394.8,96.0,,123.1,,-6.0,-181.0,,,,,-152.7,,-35.0,,74.1,,62.5,,-154.0,-90.1,,150.0,,,,-3.1,,,198.0,,115.8,,False,,True,False,,,,,False,,True,,True,,True,,False,True,,False,,,,True,,,False,,False
01061,195,135.0,,129.0,,135.0,104.0,,,,,73.5,,99.0,,167.6,,,,246.0,173.4,,119.0,,,,,,,82.0,,192.7,-60.0,,-66.0,,-60.0,-91.0,,,,,-121.5,,-96.0,,-27.4,,,,51.0,-21.6,,-76.0,,,,,,,-113.0,,-2.3,,False,,False,False,,,,,False,,False,,True,,,,True,True,,False,,,,,,,False,,True
01063,66,21.0,,27.6,,22.0,0.0,,,,,16.2,,22.0,,21.8,,,,31.0,30.7,,36.0,,,,,,,41.0,,28.6,-45.0,,-38.4,,-44.0,-66.0,,,,,-49.8,,-44.0,,-44.2,,,,-35.0,-35.3,,-30.0,,,,,,,-25.0,,-37.4,,True,,True,False,,,,,False,,True,,True,,,,True,True,,True,,,,,,,True,,True
01065,146,90.0,,94.1,,71.0,29.0,,,,,40.8,,52.0,,99.0,,,,63.0,70.9,,93.0,,,,,,,49.0,,94.1,-56.0,,-51.9,,-75.0,-117.0,,,,,-105.2,,-94.0,,-47.0,,,,-83.0,-75.1,,-53.0,,,,,,,-97.0,,-51.9,,True,,False,False,,,,,False,,False,,True,,,,False,False,,True,,,,,,,False,,True
01067,77,96.0,,111.5,,95.0,22.0,,,,,55.4,,46.0,,96.7,,,,101.0,80.8,,67.0,,,,,,,52.0,,149.0,19.0,,34.5,,18.0,-55.0,,,,,-21.6,,-31.0,,19.7,,,,24.0,3.8,,-10.0,,,,,,,-25.0,,72.0,,False,,True,False,,,,,False,,False,,False,,,,False,True,,True,,,,,,,False,,False
01069,771,516.0,,373.5,,502.0,692.0,,,,,386.3,,381.0,,446.7,,497.5,,805.0,484.7,,366.0,,,,472.1,,,258.0,,804.2,-255.0,,-397.5,,-269.0,-79.0,,,,,-384.7,,-390.0,,-324.3,,-273.5,,34.0,-286.3,,-405.0,,,,-298.9,,,-513.0,,33.2,,False,,False,True,,,,,False,,False,,False,,False,,True,False,,False,,,,False,,,False,,True
