,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UVA-Ensemble
01021,283,276.0,,279.7,,286.0,308.0,,,,,353.6,,335.0,,289.8,97.0,336.0,,323.0,277.9,,,,,170.4,,,172.0,,352.9,-7.0,,-3.3,,3.0,25.0,,,,,70.6,,52.0,,6.8,-186.0,53.0,,40.0,-5.1,,,,,-112.6,,,-111.0,,69.9,,True,,True,False,,,,,False,,False,,True,False,False,,False,True,,,,,False,,,False,,False
01023,27,20.0,,18.8,,20.0,3.0,,,,,44.3,,85.0,,26.3,11.7,,,4.0,23.4,,,,,,,,9.0,,26.8,-7.0,,-8.2,,-7.0,-24.0,,,,,17.3,,58.0,,-0.7,-15.3,,,-23.0,-3.6,,,,,,,,-18.0,,-0.2,,False,,False,False,,,,,False,,False,,True,False,,,False,True,,,,,,,,False,,True
01025,182,204.0,,210.5,,212.0,158.0,,,,,238.4,,283.0,,357.0,39.2,,,311.0,210.5,,,,,122.9,,,44.0,,271.7,22.0,,28.5,,30.0,-24.0,,,,,56.4,,101.0,,175.0,-142.8,,,129.0,28.5,,,,,-59.1,,,-138.0,,89.7,,False,,False,False,,,,,False,,False,,False,False,,,False,False,,,,,False,,,False,,False
01027,146,124.0,,106.8,,120.0,124.0,,,,,146.0,,90.0,,126.3,31.3,,,86.0,142.7,,,,,,,,74.0,,162.7,-22.0,,-39.2,,-26.0,-22.0,,,,,0.0,,-56.0,,-19.7,-114.7,,,-60.0,-3.3,,,,,,,,-72.0,,16.7,,False,,False,False,,,,,True,,False,,True,False,,,False,True,,,,,,,,False,,True
01029,181,108.0,,99.7,,109.0,88.0,,,,,136.4,,132.0,,191.4,20.7,,,108.0,109.7,,,,,,,,65.0,,138.4,-73.0,,-81.3,,-72.0,-93.0,,,,,-44.6,,-49.0,,10.4,-160.3,,,-73.0,-71.3,,,,,,,,-116.0,,-42.6,,False,,True,False,,,,,True,,True,,True,False,,,False,True,,,,,,,,False,,True
01031,579,408.0,,457.1,,453.0,476.0,,,,,435.0,,303.0,,610.0,187.7,498.5,,481.0,474.5,,,,,285.9,,,271.0,,522.0,-171.0,,-121.9,,-126.0,-103.0,,,,,-144.0,,-276.0,,31.0,-391.4,-80.5,,-98.0,-104.5,,,,,-293.1,,,-308.0,,-57.0,,True,,True,True,,,,,True,,False,,True,False,True,,True,True,,,,,False,,,False,,True
01033,816,584.0,,598.5,,594.0,823.0,,,,,537.4,,515.0,,587.7,120.4,525.0,,1035.0,1071.1,,,,,389.5,,,913.0,,779.7,-232.0,,-217.5,,-222.0,7.0,,,,,-278.6,,-301.0,,-228.3,-695.6,-291.0,,219.0,255.1,,,,,-426.5,,,97.0,,-36.3,,True,,True,True,,,,,False,,False,,True,False,False,,True,False,,,,,False,,,True,,True
01035,106,64.0,,66.8,,47.0,0.0,,,,,82.6,,66.0,,28.0,10.1,,,46.0,46.5,,,,,,,,62.0,,71.0,-42.0,,-39.2,,-59.0,-106.0,,,,,-23.4,,-40.0,,-78.0,-95.9,,,-60.0,-59.5,,,,,,,,-44.0,,-35.0,,True,,False,False,,,,,True,,True,,False,False,,,False,False,,,,,,,,False,,True
01037,115,76.0,,79.3,,68.0,62.0,,,,,69.1,,47.0,,69.8,18.7,,,99.0,71.5,,,,,,,,99.0,,69.5,-39.0,,-35.7,,-47.0,-53.0,,,,,-45.9,,-68.0,,-45.2,-96.3,,,-16.0,-43.5,,,,,,,,-16.0,,-45.5,,True,,False,False,,,,,False,,False,,False,False,,,True,False,,,,,,,,True,,False
01039,302,584.0,,560.4,,428.0,545.0,,,,,712.2,,282.0,,329.1,110.5,415.0,,471.0,345.6,,,,,305.4,,,250.0,,588.0,282.0,,258.4,,126.0,243.0,,,,,410.2,,-20.0,,27.1,-191.5,113.0,,169.0,43.6,,,,,3.4,,,-52.0,,286.0,,True,,True,True,,,,,False,,True,,True,True,True,,True,True,,,,,True,,,True,,False
01041,90,56.0,,60.7,,56.0,25.0,,,,,99.2,,83.0,,47.4,31.1,,,46.0,63.4,,,,,,,,28.0,,66.9,-34.0,,-29.3,,-34.0,-65.0,,,,,9.2,,-7.0,,-42.6,-58.9,,,-44.0,-26.6,,,,,,,,-62.0,,-23.1,,True,,False,False,,,,,True,,True,,False,False,,,False,True,,,,,,,,False,,True
01043,1573,1364.0,,1406.9,,1453.0,1904.0,,,,,1097.5,,763.0,,1513.0,109.4,1455.0,,2370.5,1708.2,,,,,772.6,,,742.0,,1626.3,-209.0,,-166.1,,-120.0,331.0,,,,,-475.5,,-810.0,,-60.0,-1463.6,-118.0,,797.5,135.2,,,,,-800.4,,,-831.0,,53.3,,True,,True,False,,,,,False,,False,,True,False,True,,False,True,,,,,False,,,False,,True
01045,402,620.0,,642.1,,607.0,348.0,,,,,613.5,,307.0,,768.7,107.3,553.0,,912.0,612.0,,,,,369.0,,,527.0,,772.7,218.0,,240.1,,205.0,-54.0,,,,,211.5,,-95.0,,366.7,-294.7,151.0,,510.0,210.0,,,,,-33.0,,,125.0,,370.7,,False,,True,True,,,,,True,,True,,False,False,True,,False,True,,,,,True,,,True,,False
01047,356,164.0,,164.5,,156.0,90.0,,,,,248.9,,246.0,,73.9,42.3,148.0,,231.0,142.5,,,,,121.4,,,207.0,,179.3,-192.0,,-191.5,,-200.0,-266.0,,,,,-107.1,,-110.0,,-282.1,-313.7,-208.0,,-125.0,-213.5,,,,,-234.6,,,-149.0,,-176.7,,True,,False,False,,,,,True,,True,,False,False,False,,True,False,,,,,False,,,True,,True
01049,1169,1080.0,,1087.5,,1076.0,919.0,,,,,1050.1,,815.0,,1081.2,157.3,1146.5,,1234.5,1181.6,,,,,445.7,,,518.0,,1311.9,-89.0,,-81.5,,-93.0,-250.0,,,,,-118.9,,-354.0,,-87.8,-1011.7,-22.5,,65.5,12.6,,,,,-723.3,,,-651.0,,142.9,,True,,False,False,,,,,False,,False,,True,False,True,,True,True,,,,,False,,,False,,False
01051,764,436.0,,443.5,,420.0,365.0,,,,,607.9,,406.0,,487.6,173.0,522.0,,395.0,460.2,,,,,281.6,,,307.0,,574.7,-328.0,,-320.5,,-344.0,-399.0,,,,,-156.1,,-358.0,,-276.4,-591.0,-242.0,,-369.0,-303.8,,,,,-482.4,,,-457.0,,-189.3,,True,,False,False,,,,,True,,False,,True,False,True,,False,True,,,,,False,,,False,,True
01053,212,164.0,,168.6,,151.0,10.0,,,,,232.0,,360.0,,137.3,48.3,159.5,,216.0,118.2,,,,,135.5,,,186.0,,176.4,-48.0,,-43.4,,-61.0,-202.0,,,,,20.0,,148.0,,-74.7,-163.7,-52.5,,4.0,-93.8,,,,,-76.5,,,-26.0,,-35.6,,True,,False,False,,,,,True,,False,,False,False,False,,True,False,,,,,False,,,True,,True
01055,1754,988.0,,994.1,,966.0,1431.0,,,,,1133.4,,917.0,,913.8,223.9,994.0,,1337.5,1044.4,,,,,506.5,,,560.0,,1061.1,-766.0,,-759.9,,-788.0,-323.0,,,,,-620.6,,-837.0,,-840.2,-1530.1,-760.0,,-416.5,-709.6,,,,,-1247.5,,,-1194.0,,-692.9,,True,,False,True,,,,,True,,False,,False,False,True,,True,True,,,,,False,,,False,,True
01057,303,136.0,,134.7,,136.0,89.0,,,,,140.3,,123.0,,157.8,46.1,,,172.0,136.0,,,,,,,,87.0,,172.7,-167.0,,-168.3,,-167.0,-214.0,,,,,-162.7,,-180.0,,-145.2,-256.9,,,-131.0,-167.0,,,,,,,,-216.0,,-130.3,,False,,False,False,,,,,True,,False,,True,False,,,True,True,,,,,,,,False,,True
01059,350,272.0,,264.9,,269.0,129.0,,,,,304.4,,360.0,,209.0,103.9,285.5,,363.0,523.0,,,,,215.1,,,789.0,,352.1,-78.0,,-85.1,,-81.0,-221.0,,,,,-45.6,,10.0,,-141.0,-246.1,-64.5,,13.0,173.0,,,,,-134.9,,,439.0,,2.1,,False,,False,False,,,,,True,,True,,False,False,True,,True,False,,,,,False,,,False,,True
01061,248,284.0,,296.2,,278.0,212.0,,,,,302.9,,194.0,,433.2,118.3,,,300.0,264.1,,,,,,,,219.0,,359.1,36.0,,48.2,,30.0,-36.0,,,,,54.9,,-54.0,,185.2,-129.7,,,52.0,16.1,,,,,,,,-29.0,,111.1,,False,,True,False,,,,,False,,False,,False,False,,,False,True,,,,,,,,True,,False
01063,76,36.0,,17.0,,25.0,0.0,,,,,58.1,,37.0,,25.4,10.7,,,0.0,27.7,,,,,,,,19.0,,39.7,-40.0,,-59.0,,-51.0,-76.0,,,,,-17.9,,-39.0,,-50.6,-65.3,,,-76.0,-48.3,,,,,,,,-57.0,,-36.3,,False,,False,False,,,,,True,,True,,False,False,,,False,False,,,,,,,,False,,True
01065,172,104.0,,106.6,,105.0,46.0,,,,,137.8,,117.0,,114.5,42.2,,,70.0,107.3,,,,,,,,48.0,,127.2,-68.0,,-65.4,,-67.0,-126.0,,,,,-34.2,,-55.0,,-57.5,-129.8,,,-102.0,-64.7,,,,,,,,-124.0,,-44.8,,True,,True,False,,,,,True,,True,,True,False,,,False,True,,,,,,,,False,,True
01067,105,144.0,,182.6,,142.0,65.0,,,,,195.8,,85.0,,502.5,52.9,,,145.0,113.0,,,,,,,,105.0,,241.7,39.0,,77.6,,37.0,-40.0,,,,,90.8,,-20.0,,397.5,-52.1,,,40.0,8.0,,,,,,,,0.0,,136.7,,False,,True,False,,,,,False,,True,,False,False,,,False,True,,,,,,,,True,,False
01069,938,608.0,,491.7,,665.0,1202.0,,,,,1116.2,,735.0,,3151.2,379.5,1123.5,,819.0,596.6,,,,,482.9,,,544.0,,1435.1,-330.0,,-446.3,,-273.0,264.0,,,,,178.2,,-203.0,,2213.2,-558.5,185.5,,-119.0,-341.4,,,,,-455.1,,,-394.0,,497.1,,False,,True,True,,,,,True,,True,,False,False,True,,True,False,,,,,False,,,False,,False
01071,876,688.0,,701.3,,692.0,890.0,,,,,708.8,,615.0,,674.3,141.2,792.5,,811.0,882.5,,,,,258.3,,,375.0,,775.8,-188.0,,-174.7,,-184.0,14.0,,,,,-167.2,,-261.0,,-201.7,-734.8,-83.5,,-65.0,6.5,,,,,-617.7,,,-501.0,,-100.2,,True,,True,True,,,,,True,,False,,False,False,True,,True,True,,,,,False,,,False,,True
01073,7934,4624.0,,4488.9,5327.1,4600.0,5231.0,,,,,5052.4,,3314.0,,3962.5,1138.2,4396.0,,5807.0,5918.3,,,,,3234.2,6935.0,,4639.0,,4728.4,-3310.0,,-3445.1,-2606.9,-3334.0,-2703.0,,,,,-2881.6,,-4620.0,,-3971.5,-6795.8,-3538.0,,-2127.0,-2015.7,,,,,-4699.8,-999.0,,-3295.0,,-3205.6,,False,True,False,True,,,,,True,,False,,False,False,False,,True,True,,,,,False,True,,True,,True
01075,150,160.0,,150.9,,159.0,158.0,,,,,146.7,,117.0,,281.3,28.5,,,197.0,144.6,,,,,,,,108.0,,206.3,10.0,,0.9,,9.0,8.0,,,,,-3.3,,-33.0,,131.3,-121.5,,,47.0,-5.4,,,,,,,,-42.0,,56.3,,True,,True,True,,,,,True,,False,,False,False,,,False,True,,,,,,,,False,,False
01077,1338,812.0,,765.9,,970.0,1024.0,,,,,795.3,,915.0,,1327.4,156.4,1005.5,,1649.0,1579.5,,,,,418.3,,,1636.0,,1238.8,-526.0,,-572.1,,-368.0,-314.0,,,,,-542.7,,-423.0,,-10.6,-1181.6,-332.5,,311.0,241.5,,,,,-919.7,,,298.0,,-99.2,,False,,True,True,,,,,False,,True,,True,False,True,,True,True,,,,,False,,,True,,True
01079,335,264.0,,262.3,,294.0,310.0,,,,,304.9,,285.0,,295.7,69.9,349.0,,301.0,402.4,,,,,,,,25.0,,344.9,-71.0,,-72.7,,-41.0,-25.0,,,,,-30.1,,-50.0,,-39.3,-265.1,14.0,,-34.0,67.4,,,,,,,,-310.0,,9.9,,False,,True,True,,,,,True,,True,,True,False,True,,True,True,,,,,,,,False,,True
01081,1051,672.0,,659.6,,687.0,1424.0,,,,,1040.3,,904.0,,497.1,259.1,581.5,,824.0,680.3,,,,,629.7,,,676.0,,881.4,-379.0,,-391.4,,-364.0,373.0,,,,,-10.7,,-147.0,,-553.9,-791.9,-469.5,,-227.0,-370.7,,,,,-421.3,,,-375.0,,-169.6,,False,,True,True,,,,,True,,True,,False,False,False,,True,True,,,,,False,,,True,,True
01083,1134,756.0,,711.8,,728.0,656.0,,,,,782.4,,826.0,,932.9,144.1,915.0,,681.0,1139.3,,,,,451.0,,,926.0,,793.0,-378.0,,-422.2,,-406.0,-478.0,,,,,-351.6,,-308.0,,-201.1,-990.0,-219.0,,-453.0,5.3,,,,,-683.0,,,-208.0,,-341.0,,False,,False,False,,,,,True,,True,,True,False,True,,False,True,,,,,False,,,True,,True
01085,71,68.0,,61.7,,52.0,0.0,,,,,73.9,,34.0,,54.2,15.5,,,41.0,72.2,,,,,,,,2.0,,74.2,-3.0,,-9.3,,-19.0,-71.0,,,,,2.9,,-37.0,,-16.8,-55.5,,,-30.0,1.2,,,,,,,,-69.0,,3.2,,False,,False,False,,,,,True,,False,,False,False,,,False,True,,,,,,,,False,,False
01087,173,96.0,,87.1,,77.0,40.0,,,,,126.7,,63.0,,51.8,23.9,,,89.0,103.8,,,,,,,,224.0,,88.1,-77.0,,-85.9,,-96.0,-133.0,,,,,-46.3,,-110.0,,-121.2,-149.1,,,-84.0,-69.2,,,,,,,,51.0,,-84.9,,False,,False,False,,,,,True,,False,,False,False,,,False,True,,,,,,,,True,,False
01089,3482,1600.0,,1602.3,1842.1,1711.0,1471.0,,,,,1979.6,,2290.0,,1328.2,529.3,1678.5,,2030.0,2236.6,,,,,1160.9,1844.0,,861.0,,2020.9,-1882.0,,-1879.7,-1639.9,-1771.0,-2011.0,,,,,-1502.4,,-1192.0,,-2153.8,-2952.7,-1803.5,,-1452.0,-1245.4,,,,,-2321.1,-1638.0,,-2621.0,,-1461.1,,True,True,True,False,,,,,True,,True,,False,False,True,,True,True,,,,,False,True,,False,,True
01091,154,212.0,,192.4,,187.0,0.0,,,,,221.2,,195.0,,193.2,41.9,,,179.0,215.1,,,,,121.3,,,60.0,,245.6,58.0,,38.4,,33.0,-154.0,,,,,67.2,,41.0,,39.2,-112.1,,,25.0,61.1,,,,,-32.7,,,-94.0,,91.6,,True,,True,False,,,,,False,,True,,True,False,,,True,False,,,,,True,,,False,,False
01093,280,180.0,,165.7,,183.0,199.0,,,,,194.7,,257.0,,191.0,49.0,198.0,,274.0,153.6,,,,,152.3,,,173.0,,245.0,-100.0,,-114.3,,-97.0,-81.0,,,,,-85.3,,-23.0,,-89.0,-231.0,-82.0,,-6.0,-126.4,,,,,-127.7,,,-107.0,,-35.0,,False,,True,True,,,,,True,,True,,True,False,True,,True,False,,,,,False,,,False,,True
01095,1717,624.0,,622.3,,673.0,799.0,,,,,720.9,,951.0,,480.7,164.7,636.0,,879.0,835.4,,,,,325.2,,,767.0,,709.0,-1093.0,,-1094.7,,-1044.0,-918.0,,,,,-996.1,,-766.0,,-1236.3,-1552.3,-1081.0,,-838.0,-881.6,,,,,-1391.8,,,-950.0,,-1008.0,,False,,True,True,,,,,True,,True,,False,False,True,,True,True,,,,,False,,,True,,True
01097,2597,1648.0,,2517.9,3159.9,2355.0,2282.0,,,,,4697.4,,4716.0,,14611.9,469.8,5362.0,,2413.5,1590.5,,,,,1058.9,,,879.0,,9439.9,-949.0,,-79.1,562.9,-242.0,-315.0,,,,,2100.4,,2119.0,,12014.9,-2127.2,2765.0,,-183.5,-1006.5,,,,,-1538.1,,,-1718.0,,6842.9,,True,True,True,True,,,,,False,,False,,False,False,False,,True,False,,,,,False,,,False,,False
01099,123,84.0,,81.9,,87.0,19.0,,,,,114.3,,155.0,,90.5,14.0,,,148.0,90.5,,,,,,,,59.0,,105.0,-39.0,,-41.1,,-36.0,-104.0,,,,,-8.7,,32.0,,-32.5,-109.0,,,25.0,-32.5,,,,,,,,-64.0,,-18.0,,False,,True,False,,,,,True,,True,,True,False,,,True,True,,,,,,,,False,,True
01101,1670,1828.0,,1948.3,2202.3,2087.0,2235.0,,,,,2100.2,,1071.0,,2318.1,347.9,2399.0,,2518.0,1956.6,,,,,1333.7,4424.0,,1716.0,,2509.3,158.0,,278.3,532.3,417.0,565.0,,,,,430.2,,-599.0,,648.1,-1322.1,729.0,,848.0,286.6,,,,,-336.3,2754.0,,46.0,,839.3,,False,False,False,False,,,,,False,,False,,False,False,False,,False,False,,,,,False,False,,True,,False
01103,2101,1416.0,,1435.6,,1333.0,1904.0,,,,,1257.2,,998.0,,1051.3,204.1,1402.5,,1239.0,1501.0,,,,,847.3,,,1212.0,,1812.5,-685.0,,-665.4,,-768.0,-197.0,,,,,-843.8,,-1103.0,,-1049.7,-1896.9,-698.5,,-862.0,-600.0,,,,,-1253.7,,,-889.0,,-288.5,,True,,False,True,,,,,False,,False,,False,False,False,,False,True,,,,,False,,,False,,True
01105,83,60.0,,36.7,,47.0,0.0,,,,,73.9,,37.0,,47.3,6.7,,,67.0,60.8,,,,,,,,73.0,,61.4,-23.0,,-46.3,,-36.0,-83.0,,,,,-9.1,,-46.0,,-35.7,-76.3,,,-16.0,-22.2,,,,,,,,-10.0,,-21.6,,False,,False,False,,,,,True,,False,,False,False,,,True,True,,,,,,,,True,,True
01107,306,276.0,,280.6,,272.0,112.0,,,,,268.5,,149.0,,246.7,46.4,,,402.0,338.2,,,,,,,,158.0,,294.3,-30.0,,-25.4,,-34.0,-194.0,,,,,-37.5,,-157.0,,-59.3,-259.6,,,96.0,32.2,,,,,,,,-148.0,,-11.7,,True,,False,False,,,,,False,,False,,False,False,,,False,False,,,,,,,,False,,True
01109,199,176.0,,167.6,,172.0,149.0,,,,,247.8,,205.0,,145.4,69.0,154.0,,194.0,201.0,,,,,154.3,,,218.0,,246.7,-23.0,,-31.4,,-27.0,-50.0,,,,,48.8,,6.0,,-53.6,-130.0,-45.0,,-5.0,2.0,,,,,-44.7,,,19.0,,47.7,,False,,False,False,,,,,False,,True,,False,False,False,,True,True,,,,,False,,,True,,False
01111,163,144.0,,146.4,,147.0,195.0,,,,,183.1,,173.0,,138.6,81.4,,,136.0,169.8,,,,,,,,99.0,,173.9,-19.0,,-16.6,,-16.0,32.0,,,,,20.1,,10.0,,-24.4,-81.6,,,-27.0,6.8,,,,,,,,-64.0,,10.9,,True,,True,False,,,,,False,,True,,False,False,,,False,True,,,,,,,,False,,True
01113,221,240.0,,243.0,,240.0,342.0,,,,,334.7,,349.0,,221.0,58.3,224.0,,259.0,221.2,,,,,169.8,,,249.0,,285.0,19.0,,22.0,,19.0,121.0,,,,,113.7,,128.0,,0.0,-162.7,3.0,,38.0,0.2,,,,,-51.2,,,28.0,,64.0,,False,,False,False,,,,,False,,False,,True,False,True,,False,True,,,,,False,,,False,,False
