,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01021,90,76.0,,77.6,,75.0,47.0,,,,,109.4,,107.1,,,150.0,,54.9,,55.7,,74.0,96.4,,86.0,99.0,,,,,70.9,82.0,,,,,81.2,47.6,-14.0,,-12.4,,-15.0,-43.0,,,,,19.4,,17.1,,,60.0,,-35.1,,-34.3,,-16.0,6.4,,-4.0,9.0,,,,,-19.1,-8.0,,,,,-8.8,-42.4,,True,,False,False,,,,,False,,False,,,False,,False,,False,,False,True,,True,True,,,,,False,True,,,,,True,False
01023,6,6.0,,5.7,,6.0,0.0,,,,,17.8,,13.9,,,34.0,,1.1,,7.1,,8.0,6.7,,7.0,16.0,,,,,,11.3,,,,,4.3,5.7,0.0,,-0.3,,0.0,-6.0,,,,,11.8,,7.9,,,28.0,,-4.9,,1.1,,2.0,0.7,,1.0,10.0,,,,,,5.3,,,,,-1.7,-0.3,,False,,True,False,,,,,False,,False,,,False,,False,,False,,False,False,,False,False,,,,,,False,,,,,False,False
01025,38,52.0,,54.7,,50.0,42.0,,,,,77.7,,76.5,,,76.0,,24.7,,46.4,,34.0,52.5,,61.0,70.0,,,,,48.5,46.6,,,,,51.7,47.1,14.0,,16.7,,12.0,4.0,,,,,39.7,,38.5,,,38.0,,-13.3,,8.4,,-4.0,14.5,,23.0,32.0,,,,,10.5,8.6,,,,,13.7,9.1,,False,,True,True,,,,,False,,False,,,False,,True,,True,,True,False,,False,False,,,,,True,True,,,,,True,True
01027,36,38.0,,38.3,,36.0,24.0,,,,,53.2,,53.9,,,48.0,,23.7,,15.8,,36.0,41.0,,46.0,49.0,,,,,,40.0,,,,,34.1,37.0,2.0,,2.3,,0.0,-12.0,,,,,17.2,,17.9,,,12.0,,-12.3,,-20.2,,0.0,5.0,,10.0,13.0,,,,,,4.0,,,,,-1.9,1.0,,False,,True,False,,,,,False,,False,,,False,,False,,False,,True,False,,False,False,,,,,,False,,,,,True,True
01029,32,81.0,,76.3,,64.0,15.0,,,,,65.0,,123.4,,,55.0,,64.0,,20.9,,70.0,60.7,,85.0,83.0,,,,,,63.3,,,,,65.4,19.8,49.0,,44.3,,32.0,-17.0,,,,,33.0,,91.4,,,23.0,,32.0,,-11.1,,38.0,28.7,,53.0,51.0,,,,,,31.3,,,,,33.4,-12.2,,True,,True,True,,,,,True,,False,,,True,,True,,True,,True,True,,False,False,,,,,,True,,,,,True,True
01031,173,126.0,,128.7,,145.0,153.0,,,,,171.6,,156.1,,,148.0,,162.0,,82.7,,142.0,147.2,,174.0,175.0,,,,,107.2,148.4,,,,,149.7,145.0,-47.0,,-44.3,,-28.0,-20.0,,,,,-1.4,,-16.9,,,-25.0,,-11.0,,-90.3,,-31.0,-25.8,,1.0,2.0,,,,,-65.8,-24.6,,,,,-23.3,-28.0,,True,,True,True,,,,,True,,True,,,True,,True,,False,,True,True,,True,True,,,,,False,True,,,,,True,True
01033,196,216.0,,236.1,,214.0,264.0,,,,,250.4,,263.3,,,293.0,,212.9,,159.0,,209.0,198.3,,309.0,276.0,,,,,171.5,264.1,,,,,278.6,270.1,20.0,,40.1,,18.0,68.0,,,,,54.4,,67.3,,,97.0,,16.9,,-37.0,,13.0,2.3,,113.0,80.0,,,,,-24.5,68.1,,,,,82.6,74.1,,False,,True,False,,,,,False,,False,,,False,,True,,False,,True,True,,False,False,,,,,False,False,,,,,False,False
01035,16,29.0,,30.2,,29.0,7.0,,,,,34.1,,29.0,,,32.0,,21.7,,18.1,,32.0,26.2,,39.0,40.0,,,,,,43.5,,,,,32.4,22.4,13.0,,14.2,,13.0,-9.0,,,,,18.1,,13.0,,,16.0,,5.7,,2.1,,16.0,10.2,,23.0,24.0,,,,,,27.5,,,,,16.4,6.4,,False,,False,True,,,,,False,,False,,,False,,True,,True,,False,True,,False,False,,,,,,False,,,,,False,True
01037,40,37.0,,36.6,,33.0,27.0,,,,,34.6,,42.2,,,26.0,,120.8,,13.1,,24.0,32.7,,48.0,43.0,,,,,,31.6,,,,,42.3,25.7,-3.0,,-3.4,,-7.0,-13.0,,,,,-5.4,,2.2,,,-14.0,,80.8,,-26.9,,-16.0,-7.3,,8.0,3.0,,,,,,-8.4,,,,,2.3,-14.3,,False,,False,False,,,,,False,,True,,,False,,False,,False,,False,False,,False,False,,,,,,False,,,,,True,False
01039,73,94.0,,110.2,,79.0,63.0,,,,,111.0,,115.4,,,124.0,,41.9,,69.4,,71.0,79.0,,100.0,125.0,,,,,79.5,108.4,,,,,98.2,66.1,21.0,,37.2,,6.0,-10.0,,,,,38.0,,42.4,,,51.0,,-31.1,,-3.6,,-2.0,6.0,,27.0,52.0,,,,,6.5,35.4,,,,,25.2,-6.9,,False,,True,True,,,,,False,,False,,,False,,False,,True,,True,True,,False,False,,,,,True,False,,,,,False,True
01041,11,29.0,,29.9,,27.0,8.0,,,,,34.9,,33.7,,,40.0,,12.7,,21.2,,19.0,27.4,,34.0,42.0,,,,,,62.3,,,,,32.3,11.8,18.0,,18.9,,16.0,-3.0,,,,,23.9,,22.7,,,29.0,,1.7,,10.2,,8.0,16.4,,23.0,31.0,,,,,,51.3,,,,,21.3,0.8,,False,,True,True,,,,,False,,False,,,False,,True,,True,,True,True,,False,False,,,,,,False,,,,,False,True
01043,329,414.0,,413.4,,400.0,423.0,,,,,444.8,,468.0,,,387.0,,458.4,,306.0,,371.0,362.7,,499.0,480.0,,,,,316.0,347.1,,,,,474.2,364.5,85.0,,84.4,,71.0,94.0,,,,,115.8,,139.0,,,58.0,,129.4,,-23.0,,42.0,33.7,,170.0,151.0,,,,,-13.0,18.1,,,,,145.2,35.5,,True,,True,False,,,,,False,,False,,,True,,False,,True,,True,True,,False,False,,,,,True,True,,,,,False,True
01045,84,85.0,,91.5,,89.0,116.0,,,,,130.4,,111.9,,,150.0,,96.7,,76.2,,100.0,78.5,,82.0,130.0,,,,,80.1,120.5,,,,,86.4,83.4,1.0,,7.5,,5.0,32.0,,,,,46.4,,27.9,,,66.0,,12.7,,-7.8,,16.0,-5.5,,-2.0,46.0,,,,,-3.9,36.5,,,,,2.4,-0.6,,False,,False,False,,,,,False,,False,,,False,,False,,False,,False,False,,False,False,,,,,False,False,,,,,False,True
01047,74,133.0,,129.0,,108.0,51.0,,,,,131.3,,145.5,,,103.0,,82.8,,73.1,,213.0,123.6,,147.0,143.0,,,,,113.1,105.7,,,,,98.2,50.1,59.0,,55.0,,34.0,-23.0,,,,,57.3,,71.5,,,29.0,,8.8,,-0.9,,139.0,49.6,,73.0,69.0,,,,,39.1,31.7,,,,,24.2,-23.9,,True,,True,True,,,,,True,,False,,,True,,True,,True,,False,True,,False,False,,,,,True,True,,,,,True,True
01049,278,402.0,,396.9,,385.0,445.0,,,,,386.2,,445.9,,,288.0,,401.0,,222.3,,465.0,373.2,,490.0,436.0,,,,,349.5,350.9,,,,,296.3,198.8,124.0,,118.9,,107.0,167.0,,,,,108.2,,167.9,,,10.0,,123.0,,-55.7,,187.0,95.2,,212.0,158.0,,,,,71.5,72.9,,,,,18.3,-79.2,,True,,True,False,,,,,True,,False,,,True,,True,,True,,False,True,,False,False,,,,,True,True,,,,,True,True
01051,183,261.0,,261.7,,243.0,287.0,,,,,274.6,,309.2,,,219.0,,332.7,,135.4,,240.0,243.8,,312.0,311.0,,,,,243.6,313.8,,,,,229.3,110.0,78.0,,78.7,,60.0,104.0,,,,,91.6,,126.2,,,36.0,,149.7,,-47.6,,57.0,60.8,,129.0,128.0,,,,,60.6,130.8,,,,,46.3,-73.0,,False,,True,False,,,,,False,,False,,,True,,False,,True,,True,True,,False,False,,,,,True,False,,,,,True,True
01053,43,71.0,,70.2,,64.0,4.0,,,,,78.9,,76.5,,,122.0,,67.0,,46.0,,48.0,59.5,,84.0,91.0,,,,,60.1,89.6,,,,,72.6,52.3,28.0,,27.2,,21.0,-39.0,,,,,35.9,,33.5,,,79.0,,24.0,,3.0,,5.0,16.5,,41.0,48.0,,,,,17.1,46.6,,,,,29.6,9.3,,True,,True,False,,,,,False,,False,,,False,,True,,True,,True,True,,False,False,,,,,True,False,,,,,False,True
01055,476,510.0,,509.3,,492.0,616.0,,,,,514.8,,503.0,,,397.0,,684.8,,287.4,,565.0,475.1,,652.0,562.0,,,,,426.8,556.5,,,,,362.8,255.0,34.0,,33.3,,16.0,140.0,,,,,38.8,,27.0,,,-79.0,,208.8,,-188.6,,89.0,-0.9,,176.0,86.0,,,,,-49.2,80.5,,,,,-113.2,-221.0,,True,,True,False,,,,,False,,True,,,False,,False,,False,,False,True,,False,False,,,,,False,False,,,,,False,False
01057,98,91.0,,91.2,,83.0,51.0,,,,,89.1,,105.5,,,75.0,,71.3,,36.4,,103.0,91.5,,105.0,101.0,,,,,,88.8,,,,,82.9,31.1,-7.0,,-6.8,,-15.0,-47.0,,,,,-8.9,,7.5,,,-23.0,,-26.7,,-61.6,,5.0,-6.5,,7.0,3.0,,,,,,-9.2,,,,,-15.1,-66.9,,True,,False,False,,,,,False,,False,,,False,,False,,False,,True,True,,False,True,,,,,,False,,,,,False,False
01059,106,100.0,,95.5,,86.0,45.0,,,,,144.6,,133.0,,,182.0,,48.9,,79.2,,76.0,105.6,,112.0,127.0,,,,,88.6,108.5,,,,,83.7,72.3,-6.0,,-10.5,,-20.0,-61.0,,,,,38.6,,27.0,,,76.0,,-57.1,,-26.8,,-30.0,-0.4,,6.0,21.0,,,,,-17.4,2.5,,,,,-22.3,-33.7,,False,,False,False,,,,,False,,False,,,False,,False,,False,,False,True,,False,False,,,,,False,True,,,,,False,False
01061,66,71.0,,71.6,,69.0,57.0,,,,,84.6,,82.0,,,87.0,,63.6,,50.6,,71.0,74.5,,74.0,87.0,,,,,66.1,88.4,,,,,67.4,35.5,5.0,,5.6,,3.0,-9.0,,,,,18.6,,16.0,,,21.0,,-2.4,,-15.4,,5.0,8.5,,8.0,21.0,,,,,0.1,22.4,,,,,1.4,-30.5,,False,,True,False,,,,,False,,False,,,False,,True,,False,,False,False,,False,False,,,,,True,False,,,,,True,False
01063,30,22.0,,22.2,,22.0,0.0,,,,,25.6,,24.0,,,18.0,,33.8,,8.7,,35.0,22.5,,28.0,24.0,,,,,,24.8,,,,,23.6,13.5,-8.0,,-7.8,,-8.0,-30.0,,,,,-4.4,,-6.0,,,-12.0,,3.8,,-21.3,,5.0,-7.5,,-2.0,-6.0,,,,,,-5.2,,,,,-6.4,-16.5,,True,,False,False,,,,,True,,True,,,False,,True,,False,,True,True,,True,True,,,,,,True,,,,,True,False
01065,60,42.0,,42.8,,42.0,7.0,,,,,59.4,,48.3,,,46.0,,57.4,,24.6,,32.0,42.4,,60.0,48.0,,,,,,39.1,,,,,46.2,36.8,-18.0,,-17.2,,-18.0,-53.0,,,,,-0.6,,-11.7,,,-14.0,,-2.6,,-35.4,,-28.0,-17.6,,0.0,-12.0,,,,,,-20.9,,,,,-13.8,-23.2,,True,,False,False,,,,,True,,True,,,True,,True,,False,,False,True,,True,True,,,,,,False,,,,,True,False
01067,18,26.0,,20.7,,21.0,7.0,,,,,45.1,,41.0,,,46.0,,8.5,,23.2,,20.0,27.0,,26.0,41.0,,,,,,27.5,,,,,29.2,21.1,8.0,,2.7,,3.0,-11.0,,,,,27.1,,23.0,,,28.0,,-9.5,,5.2,,2.0,9.0,,8.0,23.0,,,,,,9.5,,,,,11.2,3.1,,True,,True,False,,,,,False,,False,,,False,,False,,True,,True,False,,False,False,,,,,,False,,,,,False,True
01069,261,282.0,,298.8,,284.0,336.0,,,,,336.0,,318.6,,,287.0,,260.3,,184.3,,355.0,305.0,,354.0,348.0,,,,,260.5,319.4,,,,,228.2,213.7,21.0,,37.8,,23.0,75.0,,,,,75.0,,57.6,,,26.0,,-0.7,,-76.7,,94.0,44.0,,93.0,87.0,,,,,-0.5,58.4,,,,,-32.8,-47.3,,False,,False,False,,,,,False,,False,,,False,,True,,False,,False,False,,False,False,,,,,True,False,,,,,False,False
01071,319,197.0,,201.5,,188.0,167.0,,,,,227.1,,265.1,,,239.0,,165.1,,139.0,,185.0,193.7,,254.0,245.0,,,,,157.7,159.7,,,,,190.0,158.1,-122.0,,-117.5,,-131.0,-152.0,,,,,-91.9,,-53.9,,,-80.0,,-153.9,,-180.0,,-134.0,-125.3,,-65.0,-74.0,,,,,-161.3,-159.3,,,,,-129.0,-160.9,,True,,False,False,,,,,True,,True,,,True,,False,,False,,False,False,,True,True,,,,,False,False,,,,,False,False
01073,2287,2448.0,,2397.8,2745.7,2423.0,2673.0,,,,,2489.6,,2210.1,,,1837.0,,2817.4,,1310.3,,2743.5,2480.5,,3007.0,2744.0,,,,,2059.0,2746.5,2392.0,,,,1969.5,1465.5,161.0,,110.8,458.7,136.0,386.0,,,,,202.6,,-76.9,,,-450.0,,530.4,,-976.7,,456.5,193.5,,720.0,457.0,,,,,-228.0,459.5,105.0,,,,-317.5,-821.5,,True,False,True,False,,,,,False,,True,,,False,,False,,False,,False,False,,False,False,,,,,False,False,True,,,,False,False
01075,70,28.0,,27.7,,28.0,24.0,,,,,42.4,,43.3,,,59.0,,14.2,,20.1,,28.0,47.3,,27.0,41.0,,,,,,29.8,,,,,29.5,14.2,-42.0,,-42.3,,-42.0,-46.0,,,,,-27.6,,-26.7,,,-11.0,,-55.8,,-49.9,,-42.0,-22.7,,-43.0,-29.0,,,,,,-40.2,,,,,-40.5,-55.8,,False,,False,False,,,,,True,,True,,,True,,False,,False,,False,True,,False,True,,,,,,True,,,,,True,False
01077,366,453.0,,452.6,,448.0,416.0,,,,,427.9,,449.3,,,467.0,,444.3,,229.4,,608.0,474.5,,546.0,514.0,,,,,386.4,400.5,,,,,338.6,208.9,87.0,,86.6,,82.0,50.0,,,,,61.9,,83.3,,,101.0,,78.3,,-136.6,,242.0,108.5,,180.0,148.0,,,,,20.4,34.5,,,,,-27.4,-157.1,,True,,True,True,,,,,True,,True,,,False,,True,,False,,False,False,,False,False,,,,,True,True,,,,,True,False
01079,78,130.0,,131.1,,130.0,95.0,,,,,117.7,,149.7,,,165.0,,135.4,,61.6,,193.0,129.5,,145.0,143.0,,,,,112.2,105.9,,,,,77.7,56.4,52.0,,53.1,,52.0,17.0,,,,,39.7,,71.7,,,87.0,,57.4,,-16.4,,115.0,51.5,,67.0,65.0,,,,,34.2,27.9,,,,,-0.3,-21.6,,False,,False,True,,,,,True,,False,,,False,,False,,True,,False,True,,False,False,,,,,True,True,,,,,True,True
01081,279,297.0,,298.1,,325.0,325.0,,,,,388.6,,343.5,,,399.0,,441.1,,175.0,,397.5,339.5,,414.0,429.0,,,,,246.5,417.5,328.0,,,,303.9,316.0,18.0,,19.1,,46.0,46.0,,,,,109.6,,64.5,,,120.0,,162.1,,-104.0,,118.5,60.5,,135.0,150.0,,,,,-32.5,138.5,49.0,,,,24.9,37.0,,False,,False,False,,,,,False,,False,,,False,,False,,False,,False,False,,False,False,,,,,False,False,False,,,,False,False
01083,281,355.0,,355.1,,355.0,369.0,,,,,370.7,,413.6,,,363.0,,259.6,,194.6,,383.0,342.1,,430.0,415.0,,,,,300.9,346.6,,,,,408.5,158.8,74.0,,74.1,,74.0,88.0,,,,,89.7,,132.6,,,82.0,,-21.4,,-86.4,,102.0,61.1,,149.0,134.0,,,,,19.9,65.6,,,,,127.5,-122.2,,False,,False,False,,,,,False,,False,,,False,,True,,False,,False,True,,False,False,,,,,True,True,,,,,False,False
01085,17,24.0,,21.8,,19.0,0.0,,,,,44.8,,39.4,,,19.0,,19.3,,11.6,,15.0,25.9,,26.0,27.0,,,,,,28.9,,,,,20.4,7.9,7.0,,4.8,,2.0,-17.0,,,,,27.8,,22.4,,,2.0,,2.3,,-5.4,,-2.0,8.9,,9.0,10.0,,,,,,11.9,,,,,3.4,-9.1,,True,,True,False,,,,,False,,False,,,True,,True,,True,,True,False,,False,False,,,,,,False,,,,,True,False
01087,49,39.0,,36.7,,36.0,59.0,,,,,49.3,,46.3,,,34.0,,29.8,,25.3,,35.0,42.8,,50.0,53.0,,,,,,33.2,,,,,36.1,29.7,-10.0,,-12.3,,-13.0,10.0,,,,,0.3,,-2.7,,,-15.0,,-19.2,,-23.7,,-14.0,-6.2,,1.0,4.0,,,,,,-15.8,,,,,-12.9,-19.3,,False,,False,False,,,,,True,,True,,,False,,False,,False,,False,True,,True,True,,,,,,False,,,,,False,False
