,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IowaStateLW-STEM,JCB-PRM,RobertWalraven-ESG,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-JCB-PRM,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Michigan,236881,55184.0,,56590.7,62134.0,75744.7,8450.9,47632.3,66888.0,-181697.0,,-180290.3,-174747.0,-161136.3,-228430.1,-189248.7,-169993.0,,True,True,True,False,False,True
Minnesota,201236,57024.0,,46778.2,73202.0,94893.9,24635.1,38458.2,51284.0,-144212.0,,-154457.8,-128034.0,-106342.1,-176600.9,-162777.8,-149952.0,,False,True,True,False,False,False
Mississippi,49773,27920.0,,27323.0,23113.0,31160.6,9126.5,14361.3,21413.0,-21853.0,,-22450.0,-26660.0,-18612.4,-40646.5,-35411.7,-28360.0,,False,False,True,False,False,False
Missouri,177644,72992.0,,85710.0,51451.0,64246.7,52413.5,26624.0,39981.0,-104652.0,,-91934.0,-126193.0,-113397.3,-125230.5,-151020.0,-137663.0,,True,False,False,False,False,False
Montana,46489,19592.0,,26380.9,24341.0,41135.3,5759.5,7199.3,23782.0,-26897.0,,-20108.1,-22148.0,-5353.7,-40729.5,-39289.7,-22707.0,,True,True,True,False,False,True
Nebraska,77920,30456.0,,29360.7,19605.0,29778.5,12128.9,28997.5,20064.0,-47464.0,,-48559.3,-58315.0,-48141.5,-65791.1,-48922.5,-57856.0,,False,False,False,False,False,False
Nevada,67521,26824.0,,28549.2,9619.0,45146.9,15888.3,13279.3,23151.0,-40697.0,,-38971.8,-57902.0,-22374.1,-51632.7,-54241.7,-44370.0,,True,False,True,False,False,False
New Hampshire,11545,3808.0,,3746.4,1762.0,3667.2,1336.4,2602.4,12251.0,-7737.0,,-7798.6,-9783.0,-7877.8,-10208.6,-8942.6,706.0,,False,False,False,False,False,True
New Jersey,145616,37808.0,,31437.1,19209.0,67753.8,19278.7,27558.8,62502.0,-107808.0,,-114178.9,-126407.0,-77862.2,-126337.3,-118057.2,-83114.0,,False,False,True,False,False,True
New Mexico,63686,12832.0,,16710.0,8598.0,31756.1,4134.9,8493.4,15227.0,-50854.0,,-46976.0,-55088.0,-31929.9,-59551.1,-55192.6,-48459.0,,True,False,True,False,False,True
New York,176856,68800.0,,194586.8,22736.0,87744.1,50398.8,57796.5,114414.0,-108056.0,,17730.8,-154120.0,-89111.9,-126457.2,-119059.5,-62442.0,,True,False,True,False,False,True
North Carolina,141072,72896.0,,77385.4,69946.0,76164.6,29052.0,39418.9,64516.0,-68176.0,,-63686.6,-71126.0,-64907.4,-112020.0,-101653.1,-76556.0,,True,False,True,False,False,False
North Dakota,54801,22032.0,,21840.9,21039.0,32271.5,8783.8,15064.4,21744.0,-32769.0,,-32960.1,-33762.0,-22529.5,-46017.2,-39736.6,-33057.0,,False,False,True,False,False,False
Ohio,248737,63656.0,,54553.1,49496.0,64012.7,28346.1,40854.5,72129.0,-185081.0,,-194183.9,-199241.0,-184724.3,-220390.9,-207882.5,-176608.0,,False,False,True,False,False,True
Oklahoma,103076,57904.0,,61238.1,51564.0,70799.4,5227.5,18425.8,28377.0,-45172.0,,-41837.9,-51512.0,-32276.6,-97848.5,-84650.2,-74699.0,,True,False,True,False,False,False
Oregon,37995,15440.0,,15500.1,9873.0,30163.5,6362.9,5749.1,12515.0,-22555.0,,-22494.9,-28122.0,-7831.5,-31632.1,-32245.9,-25480.0,,True,False,True,False,False,False
Pennsylvania,189707,50440.0,,56936.3,31364.0,64915.6,39953.9,47465.8,52852.0,-139267.0,,-132770.7,-158343.0,-124791.4,-149753.1,-142241.2,-136855.0,,True,False,True,False,False,True
Rhode Island,28878,7160.0,,7363.1,3745.0,13772.0,288.0,5068.4,5251.0,-21718.0,,-21514.9,-25133.0,-15106.0,-28590.0,-23809.6,-23627.0,,True,False,True,False,False,False
South Carolina,64020,44944.0,,38905.5,37575.0,52989.5,18136.9,15716.2,28551.0,-19076.0,,-25114.5,-26445.0,-11030.5,-45883.1,-48303.8,-35469.0,,False,False,True,False,False,False
South Dakota,55113,22824.0,,25460.0,28212.0,31353.7,9674.5,15160.5,14963.0,-32289.0,,-29653.0,-26901.0,-23759.3,-45438.5,-39952.5,-40150.0,,True,True,True,False,False,False
Tennessee,163871,69632.0,,77514.6,60884.0,56543.6,29582.4,26930.4,41680.0,-94239.0,,-86356.4,-102987.0,-107327.4,-134288.6,-136940.6,-122191.0,,True,False,False,False,False,False
Texas,473952,264912.0,,263288.2,247358.0,366390.9,116343.7,117690.8,166995.0,-209040.0,,-210663.8,-226594.0,-107561.1,-357608.3,-356261.2,-306957.0,,False,False,True,False,False,False
Utah,115862,53424.0,,49144.3,45728.0,85755.8,19934.7,14470.7,27554.0,-62438.0,,-66717.7,-70134.0,-30106.2,-95927.3,-101391.3,-88308.0,,False,False,True,False,False,False
Vermont,2255,312.0,,545.0,106.0,439.6,75.8,366.8,1304.0,-1943.0,,-1710.0,-2149.0,-1815.4,-2179.2,-1888.2,-951.0,,True,False,True,False,True,True
Virginia,82814,42528.0,,36044.0,24392.0,44087.6,23751.8,27056.4,37557.0,-40286.0,,-46770.0,-58422.0,-38726.4,-59062.2,-55757.6,-45257.0,,False,False,True,False,False,False
Washington,75941,28712.0,,67070.0,15421.0,46613.7,23243.4,20523.9,45277.0,-47229.0,,-8871.0,-60520.0,-29327.3,-52697.6,-55417.1,-30664.0,,True,False,True,False,False,True
West Virginia,29364,10512.0,,8280.3,5796.0,9627.6,3117.4,4638.9,6778.0,-18852.0,,-21083.7,-23568.0,-19736.4,-26246.6,-24725.1,-22586.0,,False,False,False,False,False,False
Wisconsin,274201,137224.0,,157216.9,118943.0,244355.6,57723.9,127146.1,109391.0,-136977.0,,-116984.1,-155258.0,-29845.4,-216477.1,-147054.9,-164810.0,,True,False,True,False,False,False
Wyoming,25563,7200.0,,15953.5,7249.0,18467.2,3183.8,4183.9,9374.0,-18363.0,,-9609.5,-18314.0,-7095.8,-22379.2,-21379.1,-16189.0,,True,True,True,False,False,True
US,5985026,2420304.0,4241573.0,2625063.8,1780819.0,3117996.1,1067002.5,1446640.2,2109625.0,-3564722.0,-1743453.0,-3359962.2,-4204207.0,-2867029.9,-4918023.5,-4538385.8,-3875401.0,True,True,False,True,False,False,False
