,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01021,349,450.0,,351.0,,,,,312.0,,476.3,124.5,,287.4,,,351.4,,283.0,101.0,,2.0,,,,,-37.0,,127.3,-224.5,,-61.6,,,2.4,,-66.0,,True,,,,,True,,False,False,,True,,,True,,True
01023,31,20.0,,14.0,,,,,130.0,,157.1,18.4,,6.6,,,,,57.0,-11.0,,-17.0,,,,,99.0,,126.1,-12.6,,-24.4,,,,,26.0,,False,,,,,False,,False,False,,False,,,,,False
01025,237,420.0,,267.0,,,,,272.0,,279.4,41.0,,295.4,,,309.6,,84.0,183.0,,30.0,,,,,35.0,,42.4,-196.0,,58.4,,,72.6,,-153.0,,True,,,,,True,,True,False,,True,,,True,,True
01027,177,220.0,,181.0,,,,,83.0,,409.5,32.5,,52.2,,,,,253.0,43.0,,4.0,,,,,-94.0,,232.5,-144.5,,-124.8,,,,,76.0,,True,,,,,False,,False,False,,False,,,,,False
01029,204,205.0,,144.0,,,,,127.0,,446.1,31.2,,138.0,,,,,136.0,1.0,,-60.0,,,,,-77.0,,242.1,-172.8,,-66.0,,,,,-68.0,,False,,,,,False,,False,False,,False,,,,,False
01031,687,740.0,,916.0,,,,,301.0,,680.6,262.2,,507.2,,,458.5,,566.0,53.0,,229.0,,,,,-386.0,,-6.4,-424.8,,-179.8,,,-228.5,,-121.0,,False,,,,,False,,True,False,,False,,,False,,False
01033,1100,610.0,,821.0,,,,,587.0,,511.6,118.5,,405.4,,,419.2,,454.0,-490.0,,-279.0,,,,,-513.0,,-588.4,-981.5,,-694.6,,,-680.8,,-646.0,,True,,,,,False,,False,False,,False,,,False,,False
01035,122,35.0,,0.0,,,,,68.0,,44.4,14.5,,3.0,0.0,,,,49.0,-87.0,,-122.0,,,,,-54.0,,-77.6,-107.5,,-119.0,-122.0,,,,-73.0,,False,,,,,True,,True,False,,False,False,,,,True
01037,134,35.0,,35.0,,,,,43.0,,80.1,15.4,,11.8,0.0,,,,63.0,-99.0,,-99.0,,,,,-91.0,,-53.9,-118.6,,-122.2,-134.0,,,,-71.0,,False,,,,,True,,True,False,,False,False,,,,True
01039,450,500.0,,553.0,,,,,278.0,,416.4,127.0,,312.0,0.2,,186.1,,182.0,50.0,,103.0,,,,,-172.0,,-33.6,-323.0,,-138.0,-449.8,,-263.9,,-268.0,,False,,,,,False,,True,False,,False,False,,False,,False
01041,105,115.0,,28.0,,,,,76.0,,243.0,35.0,,28.5,0.0,,,,119.0,10.0,,-77.0,,,,,-29.0,,138.0,-70.0,,-76.5,-105.0,,,,14.0,,False,,,,,False,,False,False,,False,False,,,,False
01043,1924,1140.0,,2125.0,,,,,803.0,,1076.2,129.0,,691.2,5.4,,549.3,,469.0,-784.0,,201.0,,,,,-1121.0,,-847.8,-1795.0,,-1232.8,-1918.6,,-1374.7,,-1455.0,,True,,,,,False,,False,False,,False,False,,False,,False
01045,569,735.0,,297.0,,,,,290.0,,402.5,121.9,,599.0,0.8,,439.7,,269.0,166.0,,-272.0,,,,,-279.0,,-166.5,-447.1,,30.0,-568.2,,-129.3,,-300.0,,False,,,,,False,,False,False,,True,False,,True,,False
01047,402,100.0,,67.0,,,,,259.0,,189.6,48.5,,13.2,0.1,,47.2,,79.0,-302.0,,-335.0,,,,,-143.0,,-212.4,-353.5,,-388.8,-401.9,,-354.8,,-323.0,,False,,,,,True,,True,False,,False,False,,False,,False
01049,1435,1465.0,,1963.0,,,,,854.0,,1835.2,192.8,,1316.9,479.1,,578.2,,906.0,30.0,,528.0,,,,,-581.0,,400.2,-1242.2,,-118.1,-955.9,,-856.8,,-529.0,,False,,,,,False,,False,False,,False,False,,False,,False
01051,874,630.0,,513.0,,,,,378.0,,584.5,194.2,,424.5,2.8,,544.0,,559.0,-244.0,,-361.0,,,,,-496.0,,-289.5,-679.8,,-449.5,-871.2,,-330.0,,-315.0,,False,,,,,False,,False,False,,False,False,,False,,False
01053,256,115.0,,25.0,,,,,412.0,,202.7,65.5,,18.9,0.1,,77.2,,185.0,-141.0,,-231.0,,,,,156.0,,-53.3,-190.5,,-237.1,-255.9,,-178.8,,-71.0,,False,,,,,False,,True,False,,False,False,,False,,True
01055,2011,1570.0,,3743.0,,,,,1030.0,,1325.9,253.1,,1171.5,6.4,,902.4,,1138.0,-441.0,,1732.0,,,,,-981.0,,-685.1,-1757.9,,-839.5,-2004.6,,-1108.6,,-873.0,,False,,,,,False,,False,False,,False,False,,False,,False
01057,334,190.0,,114.0,,,,,131.0,,323.5,48.7,,79.1,0.6,,,,245.0,-144.0,,-220.0,,,,,-203.0,,-10.5,-285.3,,-254.9,-333.4,,,,-89.0,,False,,,,,False,,True,False,,False,False,,,,True
01059,477,390.0,,209.0,,,,,385.0,,503.1,121.3,,160.1,299.6,,210.8,,770.0,-87.0,,-268.0,,,,,-92.0,,26.1,-355.7,,-316.9,-177.4,,-266.2,,293.0,,False,,,,,False,,True,False,,False,False,,False,,False
01061,318,385.0,,225.0,,,,,185.0,,307.1,110.6,,150.5,0.1,,,,120.0,67.0,,-93.0,,,,,-133.0,,-10.9,-207.4,,-167.5,-317.9,,,,-198.0,,False,,,,,False,,True,False,,False,False,,,,False
01063,86,65.0,,0.0,,,,,43.0,,94.6,12.5,,3.0,0.0,,,,40.0,-21.0,,-86.0,,,,,-43.0,,8.6,-73.5,,-83.0,-86.0,,,,-46.0,,False,,,,,False,,True,False,,False,False,,,,False
01065,202,165.0,,66.0,,,,,137.0,,267.1,57.4,,27.5,0.4,,,,36.0,-37.0,,-136.0,,,,,-65.0,,65.1,-144.6,,-174.5,-201.6,,,,-166.0,,False,,,,,False,,False,False,,False,False,,,,False
01067,136,435.0,,71.0,,,,,82.0,,251.4,69.2,,180.0,111.7,,,,36.0,299.0,,-65.0,,,,,-54.0,,115.4,-66.8,,44.0,-24.3,,,,-100.0,,True,,,,,True,,True,True,,True,True,,,,True
01069,1082,2745.0,,223.0,,,,,705.0,,538.1,406.2,,2107.2,886.9,,1350.9,,404.0,1663.0,,-859.0,,,,,-377.0,,-543.9,-675.8,,1025.2,-195.1,,268.9,,-678.0,,True,,,,,True,,True,True,,True,True,,True,,True
01071,1071,925.0,,1293.0,,,,,687.0,,1069.5,129.5,,712.0,310.5,,384.4,,400.0,-146.0,,222.0,,,,,-384.0,,-1.5,-941.5,,-359.0,-760.5,,-686.6,,-671.0,,False,,,,,False,,True,False,,False,False,,False,,False
01073,9120,4675.0,,4662.0,,,,,3927.0,,4068.7,1463.0,,3991.5,224.8,,2717.0,,3729.0,-4445.0,,-4458.0,,,,,-5193.0,,-5051.3,-7657.0,,-5128.5,-8895.2,,-6403.0,,-5391.0,,False,,,,,False,,False,False,,False,False,,False,,False
01075,189,220.0,,161.0,,,,,120.0,,301.6,45.1,,140.2,64.1,,,,128.0,31.0,,-28.0,,,,,-69.0,,112.6,-143.9,,-48.8,-124.9,,,,-61.0,,True,,,,,False,,False,False,,False,False,,,,False
01077,1785,1165.0,,1116.0,,,,,967.0,,1029.2,178.9,,1192.8,500.3,,665.0,,817.0,-620.0,,-669.0,,,,,-818.0,,-755.8,-1606.1,,-592.2,-1284.7,,-1120.0,,-968.0,,False,,,,,False,,False,False,,True,False,,False,,False
01079,417,340.0,,439.0,,,,,319.0,,486.9,76.5,,306.8,96.3,,,,0.0,-77.0,,22.0,,,,,-98.0,,69.9,-340.5,,-110.2,-320.7,,,,-417.0,,True,,,,,False,,True,False,,False,False,,,,False
01081,1230,565.0,,297.0,,,,,818.0,,447.2,423.4,,393.6,11.7,,580.2,,567.0,-665.0,,-933.0,,,,,-412.0,,-782.8,-806.6,,-836.4,-1218.3,,-649.8,,-663.0,,False,,,,,True,,False,False,,False,False,,True,,True
01083,1352,920.0,,721.0,,,,,904.0,,877.2,185.1,,868.4,702.6,,521.9,,487.0,-432.0,,-631.0,,,,,-448.0,,-474.8,-1166.9,,-483.6,-649.4,,-830.1,,-865.0,,False,,,,,False,,False,False,,False,False,,False,,False
01085,86,65.0,,0.0,,,,,33.0,,88.4,23.2,,15.3,0.1,,,,0.0,-21.0,,-86.0,,,,,-53.0,,2.4,-62.8,,-70.7,-85.9,,,,-86.0,,False,,,,,False,,True,False,,False,False,,,,False
01087,202,35.0,,35.0,,,,,70.0,,172.1,29.4,,5.5,0.0,,,,10.0,-167.0,,-167.0,,,,,-132.0,,-29.9,-172.6,,-196.5,-202.0,,,,-192.0,,False,,,,,True,,True,False,,False,False,,,,False
01089,3953,1935.0,,1864.0,,,,,2472.0,,1714.1,703.5,,1721.3,75.1,,973.8,,747.0,-2018.0,,-2089.0,,,,,-1481.0,,-2238.9,-3249.5,,-2231.7,-3877.9,,-2979.2,,-3206.0,,False,,,,,True,,False,False,,False,False,,False,,False
01091,205,260.0,,11.0,,,,,212.0,,440.6,43.2,,138.9,0.2,,,,79.0,55.0,,-194.0,,,,,7.0,,235.6,-161.8,,-66.1,-204.8,,,,-126.0,,False,,,,,True,,False,False,,False,False,,,,False
01093,329,195.0,,116.0,,,,,260.0,,201.1,48.5,,120.2,0.2,,118.0,,241.0,-134.0,,-213.0,,,,,-69.0,,-127.9,-280.6,,-208.8,-328.8,,-211.0,,-88.0,,False,,,,,True,,True,False,,False,False,,False,,True
01095,1897,705.0,,987.0,,,,,1010.0,,610.6,169.2,,482.4,7.0,,349.2,,1239.0,-1192.0,,-910.0,,,,,-887.0,,-1286.4,-1727.8,,-1414.6,-1890.0,,-1547.8,,-658.0,,True,,,,,True,,False,False,,False,False,,False,,True
01097,2999,13160.0,,2868.0,,,,,5608.0,,1290.1,626.8,,13070.4,1894.9,,5574.2,,48164.0,10161.0,,-131.0,,,,,2609.0,,-1708.9,-2372.2,,10071.4,-1104.1,,2575.2,,45165.0,,True,,,,,True,,True,True,,True,True,,True,,False
01099,143,110.0,,12.0,,,,,167.0,,207.3,16.7,,13.2,0.0,,,,133.0,-33.0,,-131.0,,,,,24.0,,64.3,-126.3,,-129.8,-143.0,,,,-10.0,,False,,,,,True,,False,False,,False,False,,,,True
01101,2119,3065.0,,2985.0,,,,,1087.0,,1759.6,407.6,,1875.0,1350.0,,1756.3,,3180.0,946.0,,866.0,,,,,-1032.0,,-359.4,-1711.4,,-244.0,-769.0,,-362.7,,1061.0,,True,,,,,False,,True,False,,True,True,,True,,False
01103,2454,1175.0,,969.0,,,,,1091.0,,1192.6,233.8,,743.3,27.3,,864.3,,673.0,-1279.0,,-1485.0,,,,,-1363.0,,-1261.4,-2220.2,,-1710.7,-2426.7,,-1589.7,,-1781.0,,False,,,,,False,,True,False,,False,False,,False,,False
01105,98,60.0,,0.0,,,,,39.0,,47.9,6.5,,25.6,0.0,,,,7.0,-38.0,,-98.0,,,,,-59.0,,-50.1,-91.5,,-72.4,-98.0,,,,-91.0,,False,,,,,False,,False,False,,False,False,,,,False
01107,385,345.0,,145.0,,,,,172.0,,492.8,60.6,,181.4,69.0,,,,123.0,-40.0,,-240.0,,,,,-213.0,,107.8,-324.4,,-203.6,-316.0,,,,-262.0,,False,,,,,False,,False,False,,False,False,,,,False
01109,248,180.0,,139.0,,,,,206.0,,221.1,76.2,,56.3,0.0,,125.9,,185.0,-68.0,,-109.0,,,,,-42.0,,-26.9,-171.8,,-191.7,-248.0,,-122.1,,-63.0,,False,,,,,True,,True,False,,False,False,,False,,True
01111,200,210.0,,269.0,,,,,167.0,,342.3,85.8,,69.2,0.4,,,,185.0,10.0,,69.0,,,,,-33.0,,142.3,-114.2,,-130.8,-199.6,,,,-15.0,,False,,,,,False,,False,False,,False,False,,,,False
01113,280,230.0,,304.0,,,,,342.0,,222.5,61.9,,105.3,0.2,,101.9,,277.0,-50.0,,24.0,,,,,62.0,,-57.5,-218.1,,-174.7,-279.8,,-178.1,,-3.0,,True,,,,,False,,False,False,,False,False,,False,,True
01115,1248,950.0,,1142.0,,,,,521.0,,1115.8,194.6,,657.8,19.2,,573.8,,395.0,-298.0,,-106.0,,,,,-727.0,,-132.2,-1053.4,,-590.2,-1228.8,,-674.2,,-853.0,,True,,,,,False,,True,False,,False,False,,False,,False
01117,2914,1915.0,,2857.0,,,,,908.0,,1659.8,675.9,,1547.7,179.4,,1022.7,,1273.0,-999.0,,-57.0,,,,,-2006.0,,-1254.2,-2238.1,,-1366.3,-2734.6,,-1891.3,,-1641.0,,True,,,,,False,,False,False,,False,False,,False,,False
01119,110,40.0,,1.0,,,,,82.0,,53.9,25.8,,3.7,0.0,,,,29.0,-70.0,,-109.0,,,,,-28.0,,-56.1,-84.2,,-106.3,-110.0,,,,-81.0,,False,,,,,True,,True,False,,False,False,,,,False
01121,858,620.0,,505.0,,,,,584.0,,738.9,214.4,,267.5,0.4,,293.7,,482.0,-238.0,,-353.0,,,,,-274.0,,-119.1,-643.6,,-590.5,-857.6,,-564.3,,-376.0,,False,,,,,False,,True,False,,False,False,,False,,False
01123,440,250.0,,102.0,,,,,232.0,,373.7,87.5,,159.8,0.4,,170.6,,487.0,-190.0,,-338.0,,,,,-208.0,,-66.3,-352.6,,-280.2,-439.6,,-269.4,,47.0,,False,,,,,False,,True,False,,False,False,,False,,True
01125,2760,2570.0,,4781.0,,,,,1578.0,,1827.8,845.7,,1528.9,5.3,,2956.6,,992.0,-190.0,,2021.0,,,,,-1182.0,,-932.2,-1914.3,,-1231.1,-2754.7,,196.6,,-1768.0,,False,,,,,False,,False,False,,False,False,,False,,False
01127,868,725.0,,798.0,,,,,573.0,,616.0,127.3,,267.9,0.6,,449.9,,348.0,-143.0,,-70.0,,,,,-295.0,,-252.0,-740.7,,-600.1,-867.4,,-418.1,,-520.0,,True,,,,,False,,False,False,,False,False,,False,,False
01129,170,650.0,,1.0,,,,,219.0,,175.9,28.3,,210.8,64.7,,,,227.0,480.0,,-169.0,,,,,49.0,,5.9,-141.7,,40.8,-105.3,,,,57.0,,True,,,,,True,,True,True,,True,True,,,,True
01131,69,65.0,,0.0,,,,,36.0,,37.3,9.0,,10.3,0.0,,,,18.0,-4.0,,-69.0,,,,,-33.0,,-31.7,-60.0,,-58.7,-69.0,,,,-51.0,,False,,,,,False,,False,False,,False,False,,,,False
01133,408,200.0,,218.0,,,,,221.0,,376.4,66.3,,78.8,0.6,,,,99.0,-208.0,,-190.0,,,,,-187.0,,-31.6,-341.7,,-329.2,-407.4,,,,-309.0,,True,,,,,True,,True,False,,False,False,,,,False
02013,19,5.0,,0.0,,,,,,,293.7,3.7,,,,,,,0.0,-14.0,,-19.0,,,,,,,274.7,-15.3,,,,,,,-19.0,,False,,,,,,,False,False,,,,,,,False
02016,11,0.0,,0.0,,,,,,,125.0,0.7,,,,,,,35.0,-11.0,,-11.0,,,,,,,114.0,-10.3,,,,,,,24.0,,False,,,,,,,False,True,,,,,,,False
02020,9341,4280.0,,5630.0,,,,,,,4376.7,1815.6,,3747.0,1665.0,,1892.1,,860.0,-5061.0,,-3711.0,,,,,,,-4964.3,-7525.4,,-5594.0,-7676.0,,-7448.9,,-8481.0,,True,,,,,,,True,False,,False,False,,False,,False
02050,1066,640.0,,0.0,,,,,,,1771.0,37.4,,478.4,0.1,,,,326.0,-426.0,,-1066.0,,,,,,,705.0,-1028.6,,-587.6,-1065.9,,,,-740.0,,False,,,,,,,False,False,,False,False,,,,False
02060,0,0.0,,0.0,,,,,,,93.3,0.0,,,,,,,,0.0,,0.0,,,,,,,93.3,0.0,,,,,,,,,True,,,,,,,False,True,,,,,,,
02068,18,20.0,,0.0,,,,,,,395.5,8.1,,,,,,,51.0,2.0,,-18.0,,,,,,,377.5,-9.9,,,,,,,33.0,,False,,,,,,,False,False,,,,,,,False
02070,55,45.0,,0.0,,,,,,,1847.4,10.9,,4.7,,,,,150.0,-10.0,,-55.0,,,,,,,1792.4,-44.1,,-50.3,,,,,95.0,,False,,,,,,,False,False,,False,,,,,False
02090,1435,900.0,,800.0,,,,,,,1343.8,392.0,,880.8,506.0,,982.1,,379.0,-535.0,,-635.0,,,,,,,-91.2,-1043.0,,-554.2,-929.0,,-452.9,,-1056.0,,False,,,,,,,True,False,,False,False,,True,,False
02100,4,0.0,,0.0,,,,,,,121.0,0.4,,,,,,,0.0,-4.0,,-4.0,,,,,,,117.0,-3.6,,,,,,,-4.0,,False,,,,,,,False,True,,,,,,,False
02105,0,0.0,,0.0,,,,,,,95.5,1.9,,,,,,,,0.0,,0.0,,,,,,,95.5,1.9,,,,,,,,,True,,,,,,,False,False,,,,,,,
02110,360,165.0,,185.0,,,,,,,376.7,95.7,,181.6,122.8,,,,253.0,-195.0,,-175.0,,,,,,,16.7,-264.3,,-178.4,-237.2,,,,-107.0,,True,,,,,,,True,False,,True,False,,,,True
02122,1700,515.0,,340.0,,,,,,,628.9,77.9,,287.1,129.4,,,,781.0,-1185.0,,-1360.0,,,,,,,-1071.1,-1622.1,,-1412.9,-1570.6,,,,-919.0,,False,,,,,,,True,False,,False,False,,,,True
02130,119,5.0,,0.0,,,,,,,54.5,4.4,,3.5,,,,,10.0,-114.0,,-119.0,,,,,,,-64.5,-114.6,,-115.5,,,,,-109.0,,False,,,,,,,True,False,,False,,,,,True
02150,175,15.0,,0.0,,,,,,,99.6,16.3,,4.1,,,,,152.0,-160.0,,-175.0,,,,,,,-75.4,-158.7,,-170.9,,,,,-23.0,,False,,,,,,,True,True,,False,,,,,True
02158,249,690.0,,310.0,,,,,,,118.0,,,,,,,,348.0,441.0,,61.0,,,,,,,-131.0,,,,,,,,99.0,,True,,,,,,,True,,,,,,,,True
02164,41,185.0,,46.0,,,,,,,206.5,1.1,,,,,,,57.0,144.0,,5.0,,,,,,,165.5,-39.9,,,,,,,16.0,,True,,,,,,,False,True,,,,,,,True
02170,2248,850.0,,0.0,,,,,,,1099.0,330.5,,1530.6,211.4,,,,1276.0,-1398.0,,-2248.0,,,,,,,-1149.0,-1917.5,,-717.4,-2036.6,,,,-972.0,,False,,,,,,,True,False,,True,False,,,,True
02180,99,70.0,,0.0,,,,,,,64.5,15.9,,15.3,0.0,,,,66.0,-29.0,,-99.0,,,,,,,-34.5,-83.1,,-83.7,-99.0,,,,-33.0,,False,,,,,,,False,False,,False,False,,,,False
02185,210,150.0,,0.0,,,,,,,496.9,33.2,,33.3,0.0,,,,217.0,-60.0,,-210.0,,,,,,,286.9,-176.8,,-176.7,-210.0,,,,7.0,,False,,,,,,,False,False,,False,False,,,,True
02188,132,95.0,,0.0,,,,,,,133.4,14.8,,28.1,0.0,,,,0.0,-37.0,,-132.0,,,,,,,1.4,-117.2,,-103.9,-132.0,,,,-132.0,,False,,,,,,,True,False,,False,False,,,,False
02195,9,0.0,,0.0,,,,,,,130.5,0.2,,0.2,,,,,58.0,-9.0,,-9.0,,,,,,,121.5,-8.8,,-8.8,,,,,49.0,,False,,,,,,,False,True,,True,,,,,False
02198,17,0.0,,0.0,,,,,,,40.4,3.3,,2.7,,,,,38.0,-17.0,,-17.0,,,,,,,23.4,-13.7,,-14.3,,,,,21.0,,False,,,,,,,False,True,,True,,,,,False
02220,111,5.0,,0.0,,,,,,,32.2,6.0,,5.5,,,,,5.0,-106.0,,-111.0,,,,,,,-78.8,-105.0,,-105.5,,,,,-106.0,,False,,,,,,,True,True,,True,,,,,False
02230,4,25.0,,0.0,,,,,,,42.1,44.2,,,,,,,41.0,21.0,,-4.0,,,,,,,38.1,40.2,,,,,,,37.0,,True,,,,,,,False,False,,,,,,,False
02240,216,35.0,,0.0,,,,,,,627.6,3.7,,7.0,,,,,132.0,-181.0,,-216.0,,,,,,,411.6,-212.3,,-209.0,,,,,-84.0,,False,,,,,,,False,False,,False,,,,,True
02261,96,45.0,,,,,,,,,184.2,3.0,,10.2,83.7,,,,67.0,-51.0,,,,,,,,,88.2,-93.0,,-85.8,-12.3,,,,-29.0,,,,,,,,,False,False,,False,True,,,,True
02275,1,0.0,,0.0,,,,,,,37.2,0.4,,,,,,,0.0,-1.0,,-1.0,,,,,,,36.2,-0.6,,,,,,,-1.0,,False,,,,,,,False,True,,,,,,,False
02282,15,15.0,,0.0,,,,,,,119.6,0.0,,,,,,,6.0,0.0,,-15.0,,,,,,,104.6,-15.0,,,,,,,-9.0,,False,,,,,,,False,False,,,,,,,False
02290,64,35.0,,0.0,,,,,,,170.2,1.4,,9.7,0.0,,,,40.0,-29.0,,-64.0,,,,,,,106.2,-62.6,,-54.3,-64.0,,,,-24.0,,False,,,,,,,False,False,,False,False,,,,True
04001,1493,375.0,,366.0,,,,,930.0,,247.5,341.2,,127.4,0.7,,196.8,,145.0,-1118.0,,-1127.0,,,,,-563.0,,-1245.5,-1151.8,,-1365.6,-1492.3,,-1296.2,,-1348.0,,False,,,,,True,,False,False,,False,False,,False,,False
04003,1493,400.0,,728.0,,,,,654.0,,462.3,490.2,,108.3,0.2,,180.0,,528.0,-1093.0,,-765.0,,,,,-839.0,,-1030.7,-1002.8,,-1384.7,-1492.8,,-1313.0,,-965.0,,True,,,,,True,,True,True,,False,False,,False,,True
04005,2455,1535.0,,2011.0,,,,,888.0,,795.1,567.3,,1430.9,674.5,,900.6,,1112.0,-920.0,,-444.0,,,,,-1567.0,,-1659.9,-1887.7,,-1024.1,-1780.5,,-1554.4,,-1343.0,,True,,,,,False,,False,False,,False,False,,False,,False
04007,1072,580.0,,893.0,,,,,430.0,,1227.4,387.0,,362.3,444.3,,245.6,,1264.0,-492.0,,-179.0,,,,,-642.0,,155.4,-685.0,,-709.7,-627.7,,-826.4,,192.0,,True,,,,,False,,True,False,,False,False,,False,,True
04009,1048,440.0,,592.0,,,,,165.0,,682.8,93.7,,245.7,133.8,,258.8,,595.0,-608.0,,-456.0,,,,,-883.0,,-365.2,-954.3,,-802.3,-914.2,,-789.2,,-453.0,,True,,,,,False,,True,False,,False,False,,False,,True
04011,120,140.0,,0.0,,,,,60.0,,316.1,22.8,,36.8,0.0,,,,343.0,20.0,,-120.0,,,,,-60.0,,196.1,-97.2,,-83.2,-120.0,,,,223.0,,False,,,,,False,,False,False,,False,False,,,,False
04012,218,110.0,,64.0,,,,,36.0,,373.7,80.4,,5.3,0.0,,,,280.0,-108.0,,-154.0,,,,,-182.0,,155.7,-137.6,,-212.7,-218.0,,,,62.0,,False,,,,,False,,False,False,,False,False,,,,True
04013,50486,19875.0,,23250.0,,,,,14810.0,,14000.3,7830.2,,17645.1,528.7,,12295.3,,22550.0,-30611.0,,-27236.0,,,,,-35676.0,,-36485.7,-42655.8,,-32840.9,-49957.3,,-38190.7,,-27936.0,,True,,,,,False,,False,False,,False,False,,False,,True
