,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Hawaii,3324,3020.0,6759.4,3899.0,,3080.7,998.0,,,3570.0,3051.1,6589.3,2498.6,2285.4,,2795.1,4749.0,1973.0,-304.0,3435.4,575.0,,-243.3,-2326.0,,,246.0,-272.9,3265.3,-825.4,-1038.6,,-528.9,1425.0,-1351.0,False,False,,True,False,,,True,True,False,False,False,,False,False,False
Idaho,40966,30560.0,96075.9,44329.0,,30325.1,9972.0,,24664.0,40555.5,40495.8,9330.0,61489.8,19678.3,,13478.8,25042.0,23579.0,-10406.0,55109.9,3363.0,,-10640.9,-30994.0,,-16302.0,-410.5,-470.2,-31636.0,20523.8,-21287.7,,-27487.2,-15924.0,-17387.0,False,True,,False,False,,False,True,True,False,False,False,,False,False,False
Illinois,338035,157575.0,250748.2,182272.0,,167195.5,128049.0,,124726.0,192504.3,141856.9,104763.9,440325.0,104941.8,,86578.9,152604.1,158666.0,-180460.0,-87286.8,-155763.0,,-170839.5,-209986.0,,-213309.0,-145530.7,-196178.1,-233271.1,102290.0,-233093.2,,-251456.1,-185430.9,-179369.0,True,True,,True,False,,False,True,False,False,True,False,,False,False,True
Indiana,168554,72385.0,101838.1,88855.0,,71733.3,68490.0,,70283.0,112360.9,76175.6,63429.6,182135.0,56789.3,,39081.6,89219.1,98775.0,-96169.0,-66715.9,-79699.0,,-96820.7,-100064.0,,-98271.0,-56193.1,-92378.4,-105124.4,13581.0,-111764.7,,-129472.4,-79334.9,-69779.0,True,True,,False,False,,False,True,True,False,True,False,,False,True,True
Iowa,112343,40690.0,62515.8,42671.0,,42678.8,22153.0,,37052.0,54163.5,54739.4,18146.2,48259.4,33777.1,,17572.1,39721.6,44651.0,-71653.0,-49827.2,-69672.0,,-69664.2,-90190.0,,-75291.0,-58179.5,-57603.6,-94196.8,-64083.6,-78565.9,,-94770.9,-72621.4,-67692.0,True,True,,True,False,,False,True,True,False,True,False,,False,False,True
Kansas,77102,27575.0,36747.4,24957.0,,27641.2,30842.0,,25744.0,29517.0,51774.1,11693.6,24585.7,12565.1,,14692.3,16847.2,18181.0,-49527.0,-40354.6,-52145.0,,-49460.8,-46260.0,,-51358.0,-47585.0,-25327.9,-65408.4,-52516.3,-64536.9,,-62409.7,-60254.8,-58921.0,True,False,,True,True,,False,True,True,False,False,False,,False,False,False
Kentucky,78702,43415.0,67031.6,53615.0,,41273.1,32236.0,,43492.0,62046.1,55709.9,21349.8,63562.8,36406.3,,23878.6,60198.8,55260.0,-35287.0,-11670.4,-25087.0,,-37428.9,-46466.0,,-35210.0,-16655.9,-22992.1,-57352.2,-15139.2,-42295.7,,-54823.4,-18503.2,-23442.0,True,True,,False,False,,True,True,True,False,True,False,,False,True,True
Louisiana,47999,21160.0,17789.9,24014.0,,21232.2,5190.0,,22415.0,19826.0,20924.8,16684.1,19354.3,13883.7,,12058.8,17450.5,13436.0,-26839.0,-30209.1,-23985.0,,-26766.8,-42809.0,,-25584.0,-28173.0,-27074.2,-31314.9,-28644.7,-34115.3,,-35940.2,-30548.5,-34563.0,False,True,,True,False,,True,False,False,False,False,False,,False,False,False
Maine,5152,1120.0,355.1,1519.0,,1017.2,605.0,,1401.0,1333.2,5373.0,2069.0,1540.3,981.5,,884.0,3061.1,1515.0,-4032.0,-4796.9,-3633.0,,-4134.8,-4547.0,,-3751.0,-3818.8,221.0,-3083.0,-3611.7,-4170.5,,-4268.0,-2090.9,-3637.0,False,True,,False,False,,True,True,True,True,True,False,,False,True,True
Maryland,54961,21800.0,23350.7,24249.0,,22773.4,7037.0,,19390.0,27353.0,15883.9,23418.0,28493.4,16029.8,,14512.4,26755.6,23593.0,-33161.0,-31610.3,-30712.0,,-32187.6,-47924.0,,-35571.0,-27608.0,-39077.1,-31543.0,-26467.6,-38931.2,,-40448.6,-28205.4,-31368.0,True,True,,True,False,,False,True,False,True,True,False,,False,True,True
Massachusetts,72981,32790.0,31355.8,48407.0,,31120.3,20086.0,,22675.0,29648.4,19590.8,41069.1,43810.3,23730.3,,20367.8,46204.1,37235.0,-40191.0,-41625.2,-24574.0,,-41860.7,-52895.0,,-50306.0,-43332.6,-53390.2,-31911.9,-29170.7,-49250.7,,-52613.2,-26776.9,-35746.0,False,True,,False,False,,False,False,False,True,True,False,,False,True,True
Michigan,202540,72535.0,141204.6,89306.0,,79902.0,61251.0,,74571.0,110202.0,77385.2,82021.3,163713.9,27921.5,,40280.7,59950.4,119704.0,-130005.0,-61335.4,-113234.0,,-122638.0,-141289.0,,-127969.0,-92338.0,-125154.8,-120518.7,-38826.1,-174618.5,,-162259.3,-142589.6,-82836.0,True,True,,True,False,,True,True,True,True,True,False,,False,False,True
Minnesota,171901,55160.0,78775.0,58803.0,,73443.9,57862.0,,67564.0,73920.7,58588.6,24427.2,90712.8,42395.7,,23202.2,56014.5,54425.0,-116741.0,-93126.0,-113098.0,,-98457.1,-114039.0,,-104337.0,-97980.3,-113312.4,-147473.8,-81188.2,-129505.3,,-148698.8,-115886.5,-117476.0,True,True,,True,True,,True,True,True,False,True,False,,False,True,False
Mississippi,34852,25410.0,27454.6,24697.0,,21950.2,9166.0,,23507.0,40242.6,27483.7,10032.4,51250.4,11375.2,,10521.3,15389.3,20084.0,-9442.0,-7397.4,-10155.0,,-12901.8,-25686.0,,-11345.0,5390.6,-7368.3,-24819.6,16398.4,-23476.8,,-24330.7,-19462.7,-14768.0,True,False,,False,False,,False,True,True,False,False,False,,False,False,False
Missouri,129543,63605.0,62767.7,62997.0,,68279.5,49814.0,,51983.0,91726.0,97143.7,25968.1,95958.4,42067.7,,39818.1,54632.7,41762.0,-65938.0,-66775.3,-66546.0,,-61263.5,-79729.0,,-77560.0,-37817.0,-32399.3,-103574.9,-33584.6,-87475.3,,-89724.9,-74910.3,-87781.0,False,False,,True,False,,False,True,True,False,True,False,,False,False,False
Montana,33703,24585.0,28755.8,25244.0,,23594.6,16120.0,,25191.0,45916.9,81487.0,3287.3,47850.1,20340.9,,10206.3,18261.4,16935.0,-9118.0,-4947.2,-8459.0,,-10108.4,-17583.0,,-8512.0,12213.9,47784.0,-30415.7,14147.1,-13362.1,,-23496.7,-15441.6,-16768.0,True,True,,False,False,,True,False,False,False,False,False,,False,False,False
Nebraska,62108,29415.0,80017.2,28303.0,,32117.9,32851.0,,27817.0,39926.9,47680.1,16109.9,49878.6,17822.3,,16190.5,15982.9,15626.0,-32693.0,17909.2,-33805.0,,-29990.1,-29257.0,,-34291.0,-22181.1,-14427.9,-45998.1,-12229.4,-44285.7,,-45917.5,-46125.1,-46482.0,True,False,,True,True,,False,True,True,False,True,False,,False,False,False
Nevada,54417,25800.0,14223.7,31712.0,,26039.0,6088.0,,18291.0,32687.2,23017.4,16307.6,40530.3,20326.2,,12984.6,35015.9,23652.0,-28617.0,-40193.3,-22705.0,,-28378.0,-48329.0,,-36126.0,-21729.8,-31399.6,-38109.4,-13886.7,-34090.8,,-41432.4,-19401.1,-30765.0,False,True,,True,False,,False,True,False,False,True,False,,False,True,False
New Hampshire,9787,3065.0,606.3,3928.0,,2782.1,3805.0,,2652.0,4801.2,4440.8,3777.4,6522.3,2345.0,,1739.3,5611.8,3948.0,-6722.0,-9180.7,-5859.0,,-7004.9,-5982.0,,-7135.0,-4985.8,-5346.2,-6009.6,-3264.7,-7442.0,,-8047.7,-4175.2,-5839.0,False,True,,False,True,,False,True,True,True,True,False,,False,True,True
New Jersey,122026,43005.0,67513.5,62601.0,,64161.0,56903.0,,32460.0,38992.1,23102.1,62258.2,64067.0,27592.2,,30399.9,55132.3,50566.0,-79021.0,-54512.5,-59425.0,,-57865.0,-65123.0,,-89566.0,-83033.9,-98923.9,-59767.8,-57959.0,-94433.8,,-91626.1,-66893.7,-71460.0,True,True,,True,True,,False,False,False,True,True,False,,False,True,True
New Mexico,52942,23485.0,40094.3,26859.0,,23482.4,7132.0,,23014.0,36805.2,25870.5,11067.7,80142.8,20973.0,,10755.2,31565.5,31561.0,-29457.0,-12847.7,-26083.0,,-29459.6,-45810.0,,-29928.0,-16136.8,-27071.5,-41874.3,27200.8,-31969.0,,-42186.8,-21376.5,-21381.0,True,True,,False,False,,False,True,True,False,True,False,,False,True,True
New York,145431,54705.0,33118.7,71197.0,,58840.5,33034.0,,43075.0,64121.9,44246.2,131838.2,116487.3,38024.0,,29255.0,80215.1,61861.0,-90726.0,-112312.3,-74234.0,,-86590.5,-112397.0,,-102356.0,-81309.1,-101184.8,-13592.8,-28943.7,-107407.0,,-116176.0,-65215.9,-83570.0,False,True,,True,False,,False,True,False,True,True,False,,False,True,True
North Carolina,99666,72835.0,125644.6,73204.0,,68166.1,40723.0,,72130.0,95440.8,76284.6,46009.3,104674.8,47261.9,,43355.9,73774.0,67499.0,-26831.0,25978.6,-26462.0,,-31499.9,-58943.0,,-27536.0,-4225.2,-23381.4,-53656.7,5008.8,-52404.1,,-56310.1,-25892.0,-32167.0,True,True,,False,False,,False,True,True,False,True,False,,False,True,False
North Dakota,41061,28065.0,16712.6,22425.0,,25777.8,18046.0,,29242.0,32249.6,57011.0,5528.3,51811.4,21811.2,,26153.7,15429.0,31663.0,-12996.0,-24348.4,-18636.0,,-15283.2,-23015.0,,-11819.0,-8811.4,15950.0,-35532.7,10750.4,-19249.8,,-14907.3,-25632.0,-9398.0,False,False,,False,False,,True,True,False,False,True,False,,False,False,True
Ohio,210897,77905.0,411484.9,99249.0,,79685.9,40881.0,,76705.0,110201.0,68389.3,82236.9,157047.1,57666.3,,38741.1,114649.3,99437.0,-132992.0,200587.9,-111648.0,,-131211.1,-170016.0,,-134192.0,-100696.0,-142507.7,-128660.1,-53849.9,-153230.7,,-172155.9,-96247.7,-111460.0,False,True,,True,False,,False,True,False,True,True,False,,False,True,True
Oklahoma,78139,46085.0,69395.8,46992.0,,43684.1,36509.0,,46774.0,57758.8,53898.6,20340.3,53294.4,30323.7,,21984.1,42755.8,38953.0,-32054.0,-8743.2,-31147.0,,-34454.9,-41630.0,,-31365.0,-20380.2,-24240.4,-57798.7,-24844.6,-47815.3,,-56154.9,-35383.2,-39186.0,True,True,,False,False,,True,True,True,False,True,False,,False,False,False
Oregon,30767,12120.0,18798.7,13217.0,,11105.7,7940.0,,11839.0,15030.3,15486.7,13832.5,8750.5,9266.6,,5298.5,19655.7,12649.0,-18647.0,-11968.3,-17550.0,,-19661.3,-22827.0,,-18928.0,-15736.7,-15280.3,-16934.5,-22016.5,-21500.4,,-25468.5,-11111.3,-18118.0,True,True,,False,False,,False,True,True,True,False,False,,False,True,True
Pennsylvania,158575,58510.0,73086.2,69071.0,,62463.7,47197.0,,55916.0,68941.2,57819.1,82947.1,108098.5,35726.1,,29945.5,71031.9,58616.0,-100065.0,-85488.8,-89504.0,,-96111.3,-111378.0,,-102659.0,-89633.8,-100755.9,-75627.9,-50476.5,-122848.9,,-128629.5,-87543.1,-99959.0,True,True,,True,False,,False,True,False,True,True,False,,False,True,True
Rhode Island,23836,12135.0,14505.4,8894.0,,13455.0,9851.0,,9189.0,10947.9,9368.1,6016.3,21268.5,5116.0,,6558.1,5517.6,8227.0,-11701.0,-9330.6,-14942.0,,-10381.0,-13985.0,,-14647.0,-12888.1,-14467.9,-17819.7,-2567.5,-18720.0,,-17277.9,-18318.4,-15609.0,True,False,,True,False,,False,False,False,False,True,False,,False,False,False
South Carolina,45570,30635.0,74329.9,34373.0,,35556.7,14425.0,,33556.0,36399.8,29778.2,10217.3,30461.4,24180.0,,12533.6,32230.3,26962.0,-14935.0,28759.9,-11197.0,,-10013.3,-31145.0,,-12014.0,-9170.2,-15791.8,-35352.7,-15108.6,-21390.0,,-33036.4,-13339.7,-18608.0,False,True,,True,False,,True,True,False,False,False,False,,False,True,False
South Dakota,40958,27650.0,35243.5,24324.0,,26437.9,27200.0,,27868.0,38958.4,53402.5,3568.3,43542.3,28417.5,,20362.9,23527.2,14834.0,-13308.0,-5714.5,-16634.0,,-14520.1,-13758.0,,-13090.0,-1999.6,12444.5,-37389.7,2584.3,-12540.5,,-20595.1,-17430.8,-26124.0,True,False,,False,False,,True,True,True,False,True,True,,False,False,False
Tennessee,119379,89740.0,129380.0,127827.0,,82968.2,36428.0,,73400.0,107021.7,97288.1,32446.4,124247.7,79882.2,,46784.3,128308.0,64599.0,-29639.0,10001.0,8448.0,,-36410.8,-82951.0,,-45979.0,-12357.3,-22090.9,-86932.6,4868.7,-39496.8,,-72594.7,8929.0,-54780.0,True,True,,False,False,,False,True,True,False,True,False,,False,True,False
Texas,369386,199600.0,191206.5,259496.0,,186403.2,70318.0,,217499.0,175408.0,196654.1,122931.2,258534.6,103948.2,,111249.5,241349.6,168005.0,-169786.0,-178179.5,-109890.0,,-182982.8,-299068.0,,-151887.0,-193978.0,-172731.9,-246454.8,-110851.4,-265437.8,,-258136.5,-128036.4,-201381.0,False,True,,False,False,,True,False,False,False,True,False,,False,True,False
Utah,88970,49100.0,33328.9,45236.0,,46417.1,18204.0,,48646.0,57764.4,28517.9,22675.5,60585.6,42626.2,,27263.0,45381.0,41732.0,-39870.0,-55641.1,-43734.0,,-42552.9,-70766.0,,-40324.0,-31205.6,-60452.1,-66294.5,-28384.4,-46343.8,,-61707.0,-43589.0,-47238.0,False,False,,False,False,,False,True,False,False,True,False,,False,False,False
Vermont,1990,585.0,116.9,1201.0,,173.5,315.0,,468.0,525.9,2186.1,792.3,983.4,571.2,,375.2,5803.6,1116.0,-1405.0,-1873.1,-789.0,,-1816.5,-1675.0,,-1522.0,-1464.1,196.1,-1197.7,-1006.6,-1418.8,,-1614.8,3813.6,-874.0,False,True,,False,False,,False,False,True,True,True,False,,False,False,True
Virginia,61245,34980.0,93033.7,37426.0,,36669.6,9119.0,,31962.0,43265.0,41476.4,33754.2,45821.9,23803.9,,23699.9,32617.9,30957.0,-26265.0,31788.7,-23819.0,,-24575.4,-52126.0,,-29283.0,-17980.0,-19768.6,-27490.8,-15423.1,-37441.1,,-37545.1,-28627.1,-30288.0,False,True,,True,False,,False,True,True,False,True,False,,False,False,False
Washington,62162,22965.0,41038.7,23996.0,,26020.6,12042.0,,17673.0,28011.9,21145.1,29866.2,30145.6,16741.4,,10942.8,31465.6,26139.0,-39197.0,-21123.3,-38166.0,,-36141.4,-50120.0,,-44489.0,-34150.1,-41016.9,-32295.8,-32016.4,-45420.6,,-51219.2,-30696.4,-36023.0,True,True,,True,False,,False,True,False,True,True,False,,False,True,True
West Virginia,24129,9555.0,26671.9,13186.0,,10808.6,7135.0,,8322.0,12471.1,34940.6,8210.7,16282.6,6241.5,,4424.5,8114.4,6616.0,-14574.0,2542.9,-10943.0,,-13320.4,-16994.0,,-15807.0,-11657.9,10811.6,-15918.3,-7846.4,-17887.5,,-19704.5,-16014.6,-17513.0,True,True,,True,False,,False,True,True,False,True,False,,False,False,False
Wisconsin,199860,141770.0,273936.2,179579.0,,120961.3,57132.0,,138869.0,150639.3,191567.1,43320.6,295560.9,95552.8,,136548.0,83522.9,62319.0,-58090.0,74076.2,-20281.0,,-78898.7,-142728.0,,-60991.0,-49220.7,-8292.9,-156539.4,95700.9,-104307.2,,-63312.0,-116337.1,-137541.0,False,True,,False,False,,False,True,True,False,False,False,,False,False,False
Wyoming,21123,9945.0,41903.1,9556.0,,9557.3,4483.0,,9295.0,15040.0,25585.1,2561.2,17949.6,7941.5,,8436.5,9893.6,7158.0,-11178.0,20780.1,-11567.0,,-11565.7,-16640.0,,-11828.0,-6083.0,4462.1,-18561.8,-3173.4,-13181.5,,-12686.5,-11229.4,-13965.0,False,False,,False,False,,False,True,True,False,True,False,,False,False,False
US,4760683,2343965.0,3030489.1,2823594.0,3147419.0,3240115.0,1379430.0,2639542.0,2204687.0,2742028.9,2509569.6,1612418.9,3846433.4,1436868.7,2903818.3,2081309.4,2542674.2,2381590.5,-2416718.0,-1730193.9,-1937089.0,-1613264.0,-1520568.0,-3381253.0,-2121141.0,-2555996.0,-2018654.1,-2251113.4,-3148264.1,-914249.6,-3323814.3,-1856864.7,-2679373.6,-2218008.8,-2379092.5,True,True,True,True,False,True,False,True,True,False,True,False,True,False,True,True
