,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
New Mexico,6023,5130.0,,5707.6,2739.0,1776.8,6581.0,7245.3,3991.6,6780.0,8448.0,,4806.7,6841.3,,3082.3,7355.5,-893.0,,-315.4,-3284.0,-4246.2,558.0,1222.3,-2031.4,757.0,2425.0,,-1216.3,818.3,,-2940.7,1332.5,,True,False,False,True,False,False,True,False,,False,True,,False,False
New York,14738,13293.0,,11733.0,3112.0,4752.1,66471.0,39893.4,8964.6,14695.6,15643.0,,6984.2,12967.5,,226.1,21733.6,-1445.0,,-3005.0,-11626.0,-9985.9,51733.0,25155.4,-5773.4,-42.4,905.0,,-7753.8,-1770.5,,-14511.9,6995.6,,False,False,False,False,False,False,True,True,,False,False,,False,False
North Carolina,40588,36708.0,,38254.5,46062.0,13544.1,85465.0,35973.6,31089.2,45446.4,45222.0,,31865.2,42874.4,,36348.6,35630.1,-3880.0,,-2333.5,5474.0,-27043.9,44877.0,-4614.4,-9498.8,4858.4,4634.0,,-8722.8,2286.4,,-4239.4,-4957.9,,True,False,False,False,False,False,False,False,,False,True,,False,False
North Dakota,2359,1392.0,,1057.5,378.0,667.9,2317.0,1614.9,1397.7,2278.4,2736.0,,509.9,1641.7,,681.2,2243.0,-967.0,,-1301.5,-1981.0,-1691.1,-42.0,-744.1,-961.3,-80.6,377.0,,-1849.1,-717.3,,-1677.8,-116.0,,False,False,False,True,True,True,True,True,,False,True,,False,True
Ohio,27873,24093.0,,29486.0,29035.0,8683.9,26180.0,27144.7,22935.6,33935.4,45075.0,,25864.4,32781.7,,15488.6,42569.1,-3780.0,,1613.0,1162.0,-19189.1,-1693.0,-728.3,-4937.4,6062.4,17202.0,,-2008.6,4908.7,,-12384.4,14696.1,,True,True,False,True,True,False,False,False,,True,False,,False,False
Oklahoma,17952,12393.0,,17063.6,8589.0,4758.7,53769.0,13127.9,9296.3,15376.7,23588.0,,12793.6,16303.6,,15121.9,13499.6,-5559.0,,-888.4,-9363.0,-13193.3,35817.0,-4824.1,-8655.7,-2575.3,5636.0,,-5158.4,-1648.4,,-2830.1,-4452.4,,True,False,False,False,True,False,True,False,,True,True,,True,True
Oregon,6966,5763.0,,7689.5,4757.0,2140.9,10646.0,10619.1,5691.4,8337.9,9552.0,,5658.0,6469.5,,7826.2,8676.5,-1203.0,,723.5,-2209.0,-4825.1,3680.0,3653.1,-1274.6,1371.9,2586.0,,-1308.0,-496.5,,860.2,1710.5,,True,False,False,False,False,False,False,False,,False,True,,True,False
Pennsylvania,18252,15882.0,,16547.7,4478.0,5946.5,20689.0,21478.2,10134.0,18906.8,25959.0,,16291.1,26270.7,,4053.5,21161.9,-2370.0,,-1704.3,-13774.0,-12305.5,2437.0,3226.2,-8118.0,654.8,7707.0,,-1960.9,8018.7,,-14198.5,2909.9,,True,False,False,False,False,False,True,False,,True,False,,False,False
Rhode Island,1710,963.0,,598.1,164.0,310.0,2537.0,323.2,394.9,715.2,1258.0,,761.7,774.0,,76.9,488.2,-747.0,,-1111.9,-1546.0,-1400.0,827.0,-1386.8,-1315.1,-994.8,-452.0,,-948.3,-936.0,,-1633.1,-1221.8,,False,False,False,False,False,False,False,True,,False,False,,False,False
South Carolina,35900,33939.0,,53756.9,22855.0,12891.8,33501.0,25182.0,37211.4,44463.7,53203.0,,22452.6,34376.8,,35055.4,48874.8,-1961.0,,17856.9,-13045.0,-23008.2,-2399.0,-10718.0,1311.4,8563.7,17303.0,,-13447.4,-1523.2,,-844.6,12974.8,,False,False,False,False,False,True,False,False,,False,True,,True,False
South Dakota,1413,1278.0,,1086.6,665.0,440.9,1237.0,1773.0,951.5,1396.1,1455.0,,1232.6,1003.4,,519.6,1729.7,-135.0,,-326.4,-748.0,-972.1,-176.0,360.0,-461.5,-16.9,42.0,,-180.4,-409.6,,-893.4,316.7,,False,False,False,False,False,False,True,True,,False,False,,False,False
Tennessee,47178,32598.0,,41289.1,35220.0,12193.1,34917.0,23564.0,19058.5,34315.0,65992.0,,11906.8,30095.4,,27625.8,56965.9,-14580.0,,-5888.9,-11958.0,-34984.9,-12261.0,-23614.0,-28119.5,-12863.0,18814.0,,-35271.2,-17082.6,,-19552.2,9787.9,,True,True,False,True,False,False,True,False,,False,False,,False,True
Texas,190323,181371.0,,285398.4,164876.0,75454.2,319794.0,109884.6,155299.3,219437.2,343086.0,,121168.4,243912.8,,232329.6,166739.3,-8952.0,,95075.4,-25447.0,-114868.8,129471.0,-80438.4,-35023.7,29114.2,152763.0,,-69154.6,53589.8,,42006.6,-23583.7,,False,False,False,False,False,False,False,False,,False,False,,False,False
Utah,11847,12939.0,,15429.6,13854.0,4869.6,16782.0,10328.6,10767.6,15546.1,16816.0,,8955.2,14892.8,,13650.4,10168.9,1092.0,,3582.6,2007.0,-6977.4,4935.0,-1518.4,-1079.4,3699.1,4969.0,,-2891.8,3045.8,,1803.4,-1678.1,,False,False,False,False,False,True,False,False,,False,False,,False,False
Vermont,138,135.0,,76.1,16.0,46.6,111.0,400.1,111.3,207.6,113.0,,108.0,139.2,,0.0,114.6,-3.0,,-61.9,-122.0,-91.4,-27.0,262.1,-26.7,69.6,-25.0,,-30.0,1.2,,-138.0,-23.4,,False,False,False,False,False,False,False,False,,False,True,,False,False
Virginia,21019,14019.0,,9347.5,7613.0,5365.7,18351.0,20713.6,12311.2,20847.7,19558.0,,8412.2,16607.1,,6760.1,6132.4,-7000.0,,-11671.5,-13406.0,-15653.3,-2668.0,-305.4,-8707.8,-171.3,-1461.0,,-12606.8,-4411.9,,-14258.9,-14886.6,,False,False,False,True,True,False,True,True,,False,True,,False,False
Washington,18323,11913.0,,17574.6,9321.0,3489.9,14097.0,15018.4,14324.9,19807.0,14667.0,,11870.7,18947.9,,8853.9,18747.0,-6410.0,,-748.4,-9002.0,-14833.1,-4226.0,-3304.6,-3998.1,1484.0,-3656.0,,-6452.3,624.9,,-9469.1,424.0,,True,False,False,True,True,True,True,True,,False,True,,False,True
West Virginia,2592,2823.0,,3140.1,2808.0,1187.8,1655.0,2513.7,2599.5,3827.1,5053.0,,705.0,3237.2,,2860.8,4034.2,231.0,,548.1,216.0,-1404.2,-937.0,-78.3,7.5,1235.1,2461.0,,-1887.0,645.2,,268.8,1442.2,,False,True,False,False,True,True,False,False,,False,False,,False,False
Wisconsin,18323,13872.0,,13950.6,7585.0,5684.7,14640.0,17561.0,13132.9,19202.6,26801.0,,18086.2,17023.9,,10059.1,20967.3,-4451.0,,-4372.4,-10738.0,-12638.3,-3683.0,-762.0,-5190.1,879.6,8478.0,,-236.8,-1299.1,,-8263.9,2644.3,,True,False,False,True,True,False,True,False,,True,True,,False,True
Wyoming,930,699.0,,1220.8,516.0,229.4,536.0,1162.7,481.8,836.6,898.0,,619.8,693.5,,675.2,647.6,-231.0,,290.8,-414.0,-700.6,-394.0,232.7,-448.2,-93.4,-32.0,,-310.2,-236.5,,-254.8,-282.4,,False,False,False,False,False,False,True,True,,False,False,,False,False
US,1373928,1214052.0,1328045.0,1526517.9,990740.0,460803.6,1481967.0,984822.1,955073.4,1454824.5,2040356.0,1602629.7,1228302.1,1397986.1,1382145.1,1088550.8,1609149.2,-159876.0,-45883.0,152589.9,-383188.0,-913124.4,108039.0,-389105.9,-418854.6,80896.5,666428.0,228701.7,-145625.9,24058.1,8217.1,-285377.2,235221.2,True,True,False,False,True,False,False,True,False,False,True,True,True,False,False
