,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Nevada,27499,20944.0,,37891.0,23783.6,19613.0,18113.0,17471.3,21402.3,1634.4,20816.6,,31402.8,38076.6,-6555.0,,10392.0,-3715.4,-7886.0,-9386.0,-10027.7,-6096.7,-25864.6,-6682.4,,3903.8,10577.6,,False,True,False,False,False,True,False,False,,True,False
New Hampshire,742,620.0,,362.4,420.2,258.0,388.0,4206.7,336.2,124.9,476.2,,393.2,434.0,-122.0,,-379.6,-321.8,-484.0,-354.0,3464.7,-405.8,-617.1,-265.8,,-348.8,-308.0,,False,False,False,False,False,False,False,False,,False,False
New Jersey,9027,8640.0,,5922.3,7044.8,933.0,10307.0,44452.3,5597.7,790.4,11598.7,,280.5,11492.7,-387.0,,-3104.7,-1982.2,-8094.0,1280.0,35425.3,-3429.3,-8236.6,2571.7,,-8746.5,2465.7,,False,False,False,False,False,False,False,False,,False,False
New Mexico,7733,5776.0,,4590.6,5314.4,3515.0,5225.0,9466.1,4413.2,499.9,7579.2,,3378.5,9203.3,-1957.0,,-3142.4,-2418.6,-4218.0,-2508.0,1733.1,-3319.8,-7233.1,-153.8,,-4354.5,1470.3,,False,False,False,False,True,False,False,True,,False,True
New York,19169,18700.0,,15622.8,14816.7,6556.0,12856.0,69555.7,11784.8,1308.3,14693.5,,404.9,27591.1,-469.0,,-3546.2,-4352.3,-12613.0,-6313.0,50386.7,-7384.2,-17860.7,-4475.5,,-18764.1,8422.1,,False,False,False,False,False,False,False,False,,False,False
North Carolina,53301,43432.0,,44669.5,51873.5,58270.0,72290.0,50597.8,27916.5,5965.1,38854.5,,44278.8,47404.9,-9869.0,,-8631.5,-1427.5,4969.0,18989.0,-2703.2,-25384.5,-47335.9,-14446.5,,-9022.2,-5896.1,,True,True,True,False,True,False,False,False,,True,True
North Dakota,2823,1284.0,,845.5,1122.8,637.0,673.0,1473.5,888.7,122.6,639.3,,415.3,2695.9,-1539.0,,-1977.5,-1700.2,-2186.0,-2150.0,-1349.5,-1934.3,-2700.4,-2183.7,,-2407.7,-127.1,,False,False,False,False,True,False,False,False,,False,True
Ohio,35904,26912.0,,30027.2,25285.5,42203.0,21370.0,65789.9,20729.9,2375.5,40607.7,,14837.3,51928.5,-8992.0,,-5876.8,-10618.5,6299.0,-14534.0,29885.9,-15174.1,-33528.5,4703.7,,-21066.7,16024.5,,True,False,True,False,False,False,False,True,,False,False
Oklahoma,22083,12008.0,,20401.2,28212.0,9182.0,20436.0,5974.0,8701.1,1454.4,14720.7,,14279.3,17046.0,-10075.0,,-1681.8,6129.0,-12901.0,-1647.0,-16109.0,-13381.9,-20628.6,-7362.3,,-7803.7,-5037.0,,True,True,False,True,False,False,False,True,,True,True
Oregon,8887,7344.0,,9580.3,10205.0,5990.0,9816.0,13643.2,7388.5,961.5,9375.4,,9512.3,10860.2,-1543.0,,693.3,1318.0,-2897.0,929.0,4756.2,-1498.5,-7925.5,488.4,,625.3,1973.2,,True,True,False,True,False,True,False,True,,True,False
Pennsylvania,23546,17904.0,,15340.6,15481.2,7745.0,20219.0,38629.6,10613.7,1813.0,22330.2,,5476.0,26763.5,-5642.0,,-8205.4,-8064.8,-15801.0,-3327.0,15083.6,-12932.3,-21733.0,-1215.8,,-18070.0,3217.5,,False,False,False,True,False,False,False,True,,False,True
Rhode Island,2031,1320.0,,783.2,847.8,451.0,1177.0,1159.7,585.8,176.7,760.1,,106.2,728.1,-711.0,,-1247.8,-1183.2,-1580.0,-854.0,-871.3,-1445.2,-1854.3,-1270.9,,-1924.8,-1302.9,,False,False,False,False,False,False,False,False,,False,False
South Carolina,47213,45788.0,,64314.6,79737.7,31949.0,61566.0,22901.5,36558.6,4330.2,40239.9,,54157.4,63532.3,-1425.0,,17101.6,32524.7,-15264.0,14353.0,-24311.5,-10654.4,-42882.8,-6973.1,,6944.4,16319.3,,False,False,False,False,False,False,False,False,,False,False
South Dakota,1839,1608.0,,1672.1,1420.4,949.0,2617.0,2301.6,1043.9,231.1,1286.2,,511.4,2226.8,-231.0,,-166.9,-418.6,-890.0,778.0,462.6,-795.1,-1607.9,-552.8,,-1327.6,387.8,,True,False,False,False,False,False,False,False,,False,False
Tennessee,58044,39872.0,,40265.5,48047.7,46429.0,33763.0,22969.8,28462.3,3292.5,35695.0,,29851.8,71966.5,-18172.0,,-17778.5,-9996.3,-11615.0,-24281.0,-35074.2,-29581.7,-54751.5,-22349.0,,-28192.2,13922.5,,True,True,True,False,False,False,False,False,,False,True
Texas,250780,185036.0,,281605.8,623055.5,192242.0,411853.0,123991.8,67635.0,12001.6,161175.0,,226736.2,223345.4,-65744.0,,30825.8,372275.5,-58538.0,161073.0,-126788.2,-183145.0,-238778.4,-89605.0,,-24043.8,-27434.6,,True,False,True,False,False,False,False,False,,True,True
Utah,16160,15656.0,,20088.8,21649.9,18418.0,26312.0,12386.6,10517.0,1978.7,13944.4,,16214.9,14212.5,-504.0,,3928.8,5489.9,2258.0,10152.0,-3773.4,-5643.0,-14181.3,-2215.6,,54.9,-1947.5,,False,False,False,False,False,False,False,False,,True,False
Vermont,183,152.0,,91.8,149.2,29.0,127.0,618.7,135.1,15.0,199.4,,0.2,155.6,-31.0,,-91.2,-33.8,-154.0,-56.0,435.7,-47.9,-168.0,16.4,,-182.8,-27.4,,False,False,False,False,False,False,False,True,,False,True
Virginia,25692,15448.0,,8856.1,13456.7,7636.0,17630.0,38179.2,10943.6,2082.8,17048.6,,6606.4,9768.9,-10244.0,,-16835.9,-12235.3,-18056.0,-8062.0,12487.2,-14748.4,-23609.2,-8643.4,,-19085.6,-15923.1,,False,False,False,True,False,False,False,True,,False,False
Washington,22294,15372.0,,18448.0,15165.8,10245.0,25850.0,20259.9,12027.6,1190.8,17011.4,,8110.7,23582.4,-6922.0,,-3846.0,-7128.2,-12049.0,3556.0,-2034.1,-10266.4,-21103.2,-5282.6,,-14183.3,1288.4,,True,False,False,True,True,False,False,True,,False,True
West Virginia,3533,1692.0,,1841.6,8414.7,1487.0,1465.0,3138.1,1503.1,121.4,2234.8,,1155.5,4694.9,-1841.0,,-1691.4,4881.7,-2046.0,-2068.0,-394.9,-2029.9,-3411.6,-1298.2,,-2377.5,1161.9,,True,False,False,False,True,False,False,True,,False,True
Wisconsin,22947,15076.0,,11501.3,15080.6,8471.0,12407.0,20123.0,11592.9,1416.6,19280.4,,10803.3,26050.8,-7871.0,,-11445.7,-7866.4,-14476.0,-10540.0,-2824.0,-11354.1,-21530.4,-3666.6,,-12143.7,3103.8,,False,True,False,False,True,False,False,True,,False,True
Wyoming,1163,856.0,,1679.9,1608.7,682.0,397.0,503.8,595.0,59.8,1176.9,,762.0,870.8,-307.0,,516.9,445.7,-481.0,-766.0,-659.2,-568.0,-1103.2,13.9,,-401.0,-292.2,,False,False,False,False,False,False,False,True,,False,True
US,1779513,1316708.0,2140141.0,1815041.4,,1238902.0,1700192.0,1346444.9,1031227.7,108281.8,1448186.9,1176563.1,1229480.3,2032155.9,-462805.0,360628.0,35528.4,,-540611.0,-79321.0,-433068.1,-748285.3,-1671231.2,-331326.1,-602949.9,-550032.7,252642.9,True,True,,False,True,True,False,False,True,False,False,True
