,actual_cases,COVIDhub-baseline,COVIDhub-ensemble,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-COVIDhub-ensemble,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Hawaii,843,308.0,341.0,,556.5,103.0,11.2,,1113.5,1164.5,295.8,398.5,403.0,,270.9,361.7,,285.0,627.3,-535.0,-502.0,,-286.5,-740.0,-831.8,,270.5,321.5,-547.2,-444.5,-440.0,,-572.1,-481.3,,-558.0,-215.7,True,,True,False,False,,True,True,False,True,True,,False,True,,False,True
Idaho,6807,7594.0,8427.0,,13539.0,5020.0,3510.8,8231.0,4841.6,28572.5,8459.2,8956.3,12272.0,,8208.6,9094.2,,8874.3,7734.6,787.0,1620.0,,6732.0,-1787.0,-3296.2,1424.0,-1965.4,21765.5,1652.2,2149.3,5465.0,,1401.6,2287.2,,2067.3,927.6,False,,False,False,False,False,False,False,False,False,False,,False,False,,False,False
Illinois,19969,15382.0,15769.0,,15374.3,758.0,21970.9,17645.0,25239.0,16406.6,13585.9,17074.9,22623.0,,16626.8,17036.7,10566.5,19279.8,15778.2,-4587.0,-4200.0,,-4594.7,-19211.0,2001.9,-2324.0,5270.0,-3562.4,-6383.1,-2894.1,2654.0,,-3342.2,-2932.3,-9402.5,-689.2,-4190.8,True,,False,False,True,True,False,True,False,True,True,,True,True,False,True,True
Indiana,11468,9150.0,11466.0,,9066.7,3471.0,16843.4,8932.0,11591.9,16419.5,10367.0,13023.6,14009.0,,8073.9,13325.3,8127.3,18166.6,8773.6,-2318.0,-2.0,,-2401.3,-7997.0,5375.4,-2536.0,123.9,4951.5,-1101.0,1555.6,2541.0,,-3394.1,1857.3,-3340.7,6698.6,-2694.4,True,,False,False,False,False,True,False,True,True,False,,False,True,False,False,False
Iowa,6980,7310.0,7246.0,,9320.6,3019.0,6885.4,5645.0,6725.7,8463.8,6768.6,8294.2,9657.0,,5491.8,6609.3,5734.9,6764.8,10027.2,330.0,266.0,,2340.6,-3961.0,-94.6,-1335.0,-254.3,1483.8,-211.4,1314.2,2677.0,,-1488.2,-370.7,-1245.1,-215.2,3047.2,True,,False,False,True,False,True,False,True,False,False,,False,False,False,True,False
Kansas,5899,6012.0,5917.0,,9840.7,1936.0,2014.1,6306.0,4957.2,13334.1,4723.4,6670.3,8583.0,,5139.5,6287.6,,5111.2,14231.4,113.0,18.0,,3941.7,-3963.0,-3884.9,407.0,-941.8,7435.1,-1175.6,771.3,2684.0,,-759.5,388.6,,-787.8,8332.4,True,,False,False,False,False,False,False,False,False,False,,False,False,,False,False
Kentucky,8539,6126.0,9333.0,,6467.0,5478.0,10041.1,6706.0,7631.3,15288.6,11402.9,10785.2,10933.0,,40094.2,9019.8,7003.3,20509.8,2650.7,-2413.0,794.0,,-2072.0,-3061.0,1502.1,-1833.0,-907.7,6749.6,2863.9,2246.2,2394.0,,31555.2,480.8,-1535.7,11970.8,-5888.3,True,,True,False,True,True,True,False,False,True,True,,False,True,True,False,False
Louisiana,27690,23574.0,31874.0,,37255.4,18081.0,32555.5,30335.0,15277.9,55268.9,33532.8,32214.0,35350.0,,18781.5,38175.0,,24256.7,16349.2,-4116.0,4184.0,,9565.4,-9609.0,4865.5,2645.0,-12412.1,27578.9,5842.8,4524.0,7660.0,,-8908.5,10485.0,,-3433.3,-11340.8,False,,False,False,False,True,False,False,False,False,False,,False,False,,True,False
Maine,293,250.0,316.0,,236.7,204.0,707.9,83.0,636.4,186.1,295.9,414.8,213.0,,287.5,303.2,,215.6,642.0,-43.0,23.0,,-56.3,-89.0,414.9,-210.0,343.4,-106.9,2.9,121.8,-80.0,,-5.5,10.2,,-77.4,349.0,True,,False,False,False,False,False,False,True,False,False,,True,True,,False,False
Maryland,12159,9478.0,11235.0,,5381.4,2115.0,16356.6,6899.0,7613.3,10751.5,9751.3,12689.5,13817.0,,7810.0,13023.0,7331.2,16325.4,8699.4,-2681.0,-924.0,,-6777.6,-10044.0,4197.6,-5260.0,-4545.7,-1407.5,-2407.7,530.5,1658.0,,-4349.0,864.0,-4827.8,4166.4,-3459.6,True,,False,False,False,False,False,True,True,True,True,,False,True,False,False,False
Massachusetts,3830,3680.0,3742.0,,2568.9,371.0,25576.0,2901.0,5173.6,4065.5,3095.3,3936.8,4847.0,,2399.7,4254.6,1859.3,4241.9,3569.5,-150.0,-88.0,,-1261.1,-3459.0,21746.0,-929.0,1343.6,235.5,-734.7,106.8,1017.0,,-1430.3,424.6,-1970.7,411.9,-260.5,True,,False,False,False,False,False,False,False,True,False,,False,False,False,False,False
Michigan,9994,9936.0,10643.0,,10691.6,3121.0,23489.1,12298.0,16925.6,20836.7,8240.8,11656.3,14659.0,,7535.1,12741.8,,12776.4,13652.2,-58.0,649.0,,697.6,-6873.0,13495.1,2304.0,6931.6,10842.7,-1753.2,1662.3,4665.0,,-2458.9,2747.8,,2782.4,3658.2,False,,False,False,False,False,False,False,False,False,False,,False,False,,False,False
Minnesota,9718,7798.0,8291.0,,7573.6,3514.0,3892.0,9303.0,8429.7,12976.2,7848.2,9409.3,10908.0,,,8107.7,7039.5,9457.6,3125.6,-1920.0,-1427.0,,-2144.4,-6204.0,-5826.0,-415.0,-1288.3,3258.2,-1869.8,-308.7,1190.0,,,-1610.3,-2678.5,-260.4,-6592.4,True,,False,False,False,True,True,False,True,True,True,,,True,False,True,False
Mississippi,18035,12854.0,13155.0,,14621.6,8724.0,37052.5,11677.0,9507.7,19201.9,11614.1,14918.6,17254.0,,18497.2,13301.8,12716.9,14933.4,15772.7,-5181.0,-4880.0,,-3413.4,-9311.0,19017.5,-6358.0,-8527.3,1166.9,-6420.9,-3116.4,-781.0,,462.2,-4733.2,-5318.1,-3101.6,-2262.3,True,,True,False,False,False,False,True,False,True,True,,True,True,False,True,True
Missouri,18928,10196.0,12220.0,,12092.6,7469.0,10647.3,9773.0,9895.7,17054.8,11228.8,13879.0,16710.0,,11815.4,13578.4,,14053.5,7636.0,-8732.0,-6708.0,,-6835.4,-11459.0,-8280.7,-9155.0,-9032.3,-1873.2,-7699.2,-5049.0,-2218.0,,-7112.6,-5349.6,,-4874.5,-11292.0,True,,True,False,True,False,False,True,True,True,True,,True,True,,True,False
Montana,1610,1588.0,1624.0,,2594.1,1030.0,983.8,1890.0,1421.5,6611.3,1565.5,1802.2,2518.0,,1978.8,1812.9,3135.4,1275.4,2746.7,-22.0,14.0,,984.1,-580.0,-626.2,280.0,-188.5,5001.3,-44.5,192.2,908.0,,368.8,202.9,1525.4,-334.6,1136.7,True,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Nebraska,3910,2966.0,2622.0,,2134.9,425.0,388.4,2992.0,3911.8,2083.2,1832.9,2866.2,3581.0,,2199.0,2822.6,1943.4,2307.3,1989.4,-944.0,-1288.0,,-1775.1,-3485.0,-3521.6,-918.0,1.8,-1826.8,-2077.1,-1043.8,-329.0,,-1711.0,-1087.4,-1966.6,-1602.7,-1920.6,False,,False,False,False,True,True,False,False,False,True,,False,False,False,False,False
Nevada,14597,15278.0,17474.0,,22861.3,11387.0,40825.4,14287.0,8338.7,26735.6,17865.8,19412.6,22964.0,,22036.5,18040.0,20087.2,23373.9,21078.2,681.0,2877.0,,8264.3,-3210.0,26228.4,-310.0,-6258.3,12138.6,3268.8,4815.6,8367.0,,7439.5,3443.0,5490.2,8776.9,6481.2,False,,False,False,False,True,False,False,False,False,False,,False,False,False,False,False
New Hampshire,426,328.0,294.0,,162.7,84.0,1238.7,243.0,849.8,120.4,239.7,345.4,310.0,,238.7,262.2,,348.3,173.8,-98.0,-132.0,,-263.3,-342.0,812.7,-183.0,423.8,-305.6,-186.3,-80.6,-116.0,,-187.3,-163.8,,-77.7,-252.2,False,,False,False,False,False,False,False,False,True,False,,False,False,,True,False
New Jersey,5246,3710.0,2422.0,,3358.7,345.0,52803.1,4864.0,8505.8,1936.5,1707.4,2081.3,3012.0,,4432.0,2188.8,,1848.3,6073.9,-1536.0,-2824.0,,-1887.3,-4901.0,47557.1,-382.0,3259.8,-3309.5,-3538.6,-3164.7,-2234.0,,-814.0,-3057.2,,-3397.7,827.9,False,,False,False,False,True,False,False,False,False,False,,True,False,,False,True
New Mexico,4060,3926.0,4005.0,,4280.0,2065.0,9980.4,3963.0,4452.0,5006.5,3426.0,4553.9,4983.0,,4194.9,4112.7,3511.9,3715.7,5132.1,-134.0,-55.0,,220.0,-1995.0,5920.4,-97.0,392.0,946.5,-634.0,493.9,923.0,,134.9,52.7,-548.1,-344.3,1072.1,True,,False,False,False,True,False,False,False,False,False,,False,True,False,False,False
New York,9462,10552.0,9980.0,,8481.4,1342.0,46699.8,7153.0,24500.2,6043.7,7513.3,10674.3,11935.0,,11432.4,11178.8,,9890.1,14940.0,1090.0,518.0,,-980.6,-8120.0,37237.8,-2309.0,15038.2,-3418.3,-1948.7,1212.3,2473.0,,1970.4,1716.8,,428.1,5478.0,True,,True,False,False,False,False,False,False,False,False,,False,False,,True,False
North Carolina,26586,28372.0,28081.0,,27471.3,32329.0,15354.6,31735.0,24870.2,38007.0,23112.4,30590.8,34042.0,,30291.2,30249.7,33328.8,27727.0,23282.8,1786.0,1495.0,,885.3,5743.0,-11231.4,5149.0,-1715.8,11421.0,-3473.6,4004.8,7456.0,,3705.2,3663.7,6742.8,1141.0,-3303.2,True,,True,False,False,False,True,False,False,False,False,,False,False,False,True,False
North Dakota,1695,1328.0,1524.0,,1379.8,199.0,2556.5,1099.0,1230.9,1118.5,1359.2,1766.8,2175.0,,1061.0,1651.8,,2158.7,1631.7,-367.0,-171.0,,-315.2,-1496.0,861.5,-596.0,-464.1,-576.5,-335.8,71.8,480.0,,-634.0,-43.2,,463.7,-63.3,True,,True,False,False,False,False,False,True,True,False,,False,True,,False,True
Ohio,18266,19214.0,19452.0,,23529.1,11494.0,23802.5,17214.0,17968.5,28634.0,15798.1,22174.4,27776.0,,19928.5,20619.9,16964.9,20434.7,30542.7,948.0,1186.0,,5263.1,-6772.0,5536.5,-1052.0,-297.5,10368.0,-2467.9,3908.4,9510.0,,1662.5,2353.9,-1301.1,2168.7,12276.7,False,,False,False,False,False,True,False,False,False,False,,False,False,False,False,False
Oklahoma,12674,10556.0,9111.0,,13196.8,7291.0,8200.7,14336.0,9087.4,24401.7,6089.2,10732.0,16048.0,,11642.6,9696.8,,5627.5,9280.7,-2118.0,-3563.0,,522.8,-5383.0,-4473.3,1662.0,-3586.6,11727.7,-6584.8,-1942.0,3374.0,,-1031.4,-2977.2,,-7046.5,-3393.3,False,,True,False,False,True,False,False,False,True,False,,True,False,,False,False
Oregon,4668,4596.0,5186.0,,5528.7,4022.0,4230.7,4828.0,7173.6,9290.7,5166.1,6232.2,5911.0,,5530.8,5119.1,,6500.5,6042.1,-72.0,518.0,,860.7,-646.0,-437.3,160.0,2505.6,4622.7,498.1,1564.2,1243.0,,862.8,451.1,,1832.5,1374.1,False,,False,False,False,False,False,False,False,False,False,,False,False,,False,False
Pennsylvania,12688,11128.0,11150.0,,12963.6,2274.0,22356.7,7866.0,13250.9,18823.0,8642.9,12758.8,14530.0,,10430.4,12069.7,6460.2,10894.0,14609.0,-1560.0,-1538.0,,275.6,-10414.0,9668.7,-4822.0,562.9,6135.0,-4045.1,70.8,1842.0,,-2257.6,-618.3,-6227.8,-1794.0,1921.0,True,,True,False,False,False,True,False,False,True,False,,False,True,False,False,False
Rhode Island,1229,962.0,711.0,,638.9,78.0,1119.7,3341.0,85.4,351.9,406.4,673.6,1203.0,,1177.3,802.2,446.3,966.9,282.5,-267.0,-518.0,,-590.1,-1151.0,-109.3,2112.0,-1143.6,-877.1,-822.6,-555.4,-26.0,,-51.7,-426.8,-782.7,-262.1,-946.5,False,,False,False,True,False,False,False,False,False,True,,True,False,False,True,False
South Carolina,22987,25826.0,28023.0,,37224.6,16898.0,51091.6,27054.0,19042.2,29206.6,30827.6,29977.2,30515.0,,25785.6,27003.3,,28738.8,32032.4,2839.0,5036.0,,14237.6,-6089.0,28104.6,4067.0,-3944.8,6219.6,7840.6,6990.2,7528.0,,2798.6,4016.3,,5751.8,9045.4,False,,False,False,False,False,False,False,False,False,False,,True,False,,False,False
South Dakota,1005,816.0,886.0,,708.7,394.0,1909.5,724.0,1088.9,745.2,748.4,956.7,905.0,,736.5,1025.7,611.6,814.8,1169.8,-189.0,-119.0,,-296.3,-611.0,904.5,-281.0,83.9,-259.8,-256.6,-48.3,-100.0,,-268.5,20.7,-393.4,-190.2,164.8,True,,False,False,False,False,True,False,False,True,True,,False,True,False,False,True
Tennessee,31848,30660.0,31108.0,,36398.0,27856.0,24113.6,26361.0,18781.3,55896.3,25296.2,35669.1,46437.0,,37407.9,33125.3,36560.3,30502.0,38033.9,-1188.0,-740.0,,4550.0,-3992.0,-7734.4,-5487.0,-13066.7,24048.3,-6551.8,3821.1,14589.0,,5559.9,1277.3,4712.3,-1346.0,6185.9,True,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Texas,118956,145382.0,140543.0,,197668.2,135212.0,441660.7,190992.0,93543.9,324282.3,111273.8,161014.4,212416.0,,217657.6,149379.2,202862.8,116784.5,105867.3,26426.0,21587.0,,78712.2,16256.0,322704.7,72036.0,-25412.1,205326.3,-7682.2,42058.4,93460.0,,98701.6,30423.2,83906.8,-2171.5,-13088.7,True,,False,True,False,False,True,False,True,False,False,,False,False,False,True,True
Utah,7370,8954.0,9836.0,,9532.4,9536.0,18897.4,7509.0,5989.7,14757.3,10035.9,11165.7,10337.0,,11856.5,9332.9,11448.1,10391.6,6269.8,1584.0,2466.0,,2162.4,2166.0,11527.4,139.0,-1380.3,7387.3,2665.9,3795.7,2967.0,,4486.5,1962.9,4078.1,3021.6,-1100.2,False,,False,False,False,True,True,False,False,False,False,,False,False,False,False,True
Vermont,83,110.0,115.0,,75.6,10.0,6.1,85.0,221.7,143.3,102.6,134.7,106.0,,69.3,112.5,,126.9,73.5,27.0,32.0,,-7.4,-73.0,-76.9,2.0,138.7,60.3,19.6,51.7,23.0,,-13.7,29.5,,43.9,-9.5,False,,True,False,False,True,False,False,True,False,True,,True,False,,False,True
Virginia,14428,13182.0,14366.0,,9686.3,7670.0,30406.1,12468.0,13885.1,24317.7,12339.9,16403.3,19445.0,,13542.1,15538.4,10968.4,18800.8,3224.3,-1246.0,-62.0,,-4741.7,-6758.0,15978.1,-1960.0,-542.9,9889.7,-2088.1,1975.3,5017.0,,-885.9,1110.4,-3459.6,4372.8,-11203.7,True,,False,False,False,False,True,False,False,False,False,,True,True,False,False,False
Washington,11515,13616.0,13558.0,,12902.4,7973.0,17690.3,12112.0,8990.0,18420.4,11813.5,15226.3,17251.0,,12418.7,13576.7,10761.0,16208.3,13025.5,2101.0,2043.0,,1387.4,-3542.0,6175.3,597.0,-2525.0,6905.4,298.5,3711.3,5736.0,,903.7,2061.7,-754.0,4693.3,1510.5,True,,True,False,False,True,False,False,True,False,False,,True,True,True,False,True
West Virginia,1844,1496.0,1515.0,,2837.6,1524.0,344.7,1050.0,1911.2,2867.7,1362.1,1835.9,2729.0,,1461.5,1365.7,,1237.2,3061.7,-348.0,-329.0,,993.6,-320.0,-1499.3,-794.0,67.2,1023.7,-481.9,-8.1,885.0,,-382.5,-478.3,,-606.8,1217.7,True,,False,True,False,False,True,False,False,True,False,,False,False,,False,False
Wisconsin,12517,11612.0,12765.0,,13028.9,6982.0,2831.9,9553.0,12257.2,24135.2,11267.6,14204.6,18123.0,,14449.6,14063.9,11028.3,13776.0,14644.4,-905.0,248.0,,511.9,-5535.0,-9685.1,-2964.0,-259.8,11618.2,-1249.4,1687.6,5606.0,,1932.6,1546.9,-1488.7,1259.0,2127.4,True,,True,False,False,False,True,False,False,False,False,,False,False,False,False,False
Wyoming,661,538.0,522.0,,714.4,360.0,10.7,541.0,696.4,1023.6,426.6,546.1,649.0,,358.9,574.1,,413.7,420.6,-123.0,-139.0,,53.4,-301.0,-650.3,-120.0,35.4,362.6,-234.4,-114.9,-12.0,,-302.1,-86.9,,-247.3,-240.4,False,,True,False,False,True,True,False,False,True,True,,False,True,,False,False
US,907216,930976.0,1066554.0,917803.0,1179165.1,748958.0,1614787.5,1087254.0,686562.8,,812379.0,1651403.0,1273941.0,1137691.5,1044985.0,1010808.8,894781.6,879668.4,1106281.5,23760.0,159338.0,10587.0,271949.1,-158258.0,707571.5,180038.0,-220653.2,,-94837.0,744187.0,366725.0,230475.5,137769.0,103592.8,-12434.4,-27547.6,199065.5,False,True,False,False,False,False,False,,False,False,False,False,False,False,True,False,False
