,actual_cases,COVIDhub-baseline,COVIDhub-ensemble,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-COVIDhub-ensemble,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,24824,25308.0,23500.0,,39268.0,23314.0,18787.0,28387.5,48283.2,23599.0,22748.7,22557.2,19942.6,23892.7,29990.0,,23402.0,30858.1,25157.0,21964.1,22815.0,484.0,-1324.0,,14444.0,-1510.0,-6037.0,3563.5,23459.2,-1225.0,-2075.3,-2266.8,-4881.4,-931.3,5166.0,,-1422.0,6034.1,333.0,-2859.9,-2009.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,False,False
Hawaii,577,266.0,185.0,,299.5,39.0,179.3,342.8,26.5,,935.6,97.6,409.3,347.4,349.0,,184.9,363.8,,640.3,347.0,-311.0,-392.0,,-277.5,-538.0,-397.7,-234.2,-550.5,,358.6,-479.4,-167.7,-229.6,-228.0,,-392.1,-213.2,,63.3,-230.0,False,,True,False,False,True,False,,False,False,True,True,True,,False,True,,True,True
Idaho,3284,2962.0,3336.0,,7542.3,2862.0,6409.4,1902.6,1695.7,3625.0,4619.6,5110.7,4413.9,3047.7,3596.0,,2932.3,2899.4,,2862.3,3039.0,-322.0,52.0,,4258.3,-422.0,3125.4,-1381.4,-1588.3,341.0,1335.6,1826.7,1129.9,-236.3,312.0,,-351.7,-384.6,,-421.7,-245.0,True,,False,False,False,False,False,False,False,False,False,True,True,,False,False,,False,True
Illinois,10632,9337.0,10340.0,,10386.1,524.0,7063.9,10485.7,12675.9,10293.0,11043.8,10892.0,10024.6,11198.3,11633.0,,9389.5,11594.1,6702.6,12299.7,10269.0,-1295.0,-292.0,,-245.9,-10108.0,-3568.1,-146.3,2043.9,-339.0,411.8,260.0,-607.4,566.3,1001.0,,-1242.5,962.1,-3929.4,1667.7,-363.0,True,,True,False,False,True,False,True,True,True,True,True,True,,True,True,False,False,True
Indiana,5602,5866.0,5925.0,,6011.8,3301.0,4122.4,6380.2,5517.9,5568.0,6709.8,7230.6,5837.9,6243.1,7625.0,,5119.4,7536.9,4107.8,6843.3,6528.0,264.0,323.0,,409.8,-2301.0,-1479.6,778.2,-84.1,-34.0,1107.8,1628.6,235.9,641.1,2023.0,,-482.6,1934.9,-1494.2,1241.3,926.0,False,,False,False,False,False,True,True,False,False,True,False,False,,False,False,False,False,False
Iowa,3407,3573.0,3440.0,,4804.2,1621.0,3186.8,3631.1,6573.6,2824.0,4028.6,4859.0,3301.2,3403.5,3760.0,,3056.3,4007.3,3052.6,3477.4,3347.0,166.0,33.0,,1397.2,-1786.0,-220.2,224.1,3166.6,-583.0,621.6,1452.0,-105.8,-3.5,353.0,,-350.7,600.3,-354.4,70.4,-60.0,True,,False,False,False,False,False,False,False,False,True,True,False,,False,False,False,True,True
Kansas,2583,3316.0,3011.0,,5203.1,1230.0,2982.0,3584.7,1022.9,3876.0,4638.2,5277.0,2655.4,2984.1,3631.0,,2940.7,3812.3,,3038.5,2950.0,733.0,428.0,,2620.1,-1353.0,399.0,1001.7,-1560.1,1293.0,2055.2,2694.0,72.4,401.1,1048.0,,357.7,1229.3,,455.5,367.0,True,,False,False,True,False,False,False,False,False,True,True,False,,True,False,,True,True
Kentucky,3959,4580.0,4155.0,,4950.8,3554.0,4652.0,5096.5,4133.0,4264.0,4819.0,6079.9,3305.7,3964.8,5830.0,,3320.5,6032.8,2943.5,4576.5,4084.0,621.0,196.0,,991.8,-405.0,693.0,1137.5,174.0,305.0,860.0,2120.9,-653.3,5.8,1871.0,,-638.5,2073.8,-1015.5,617.5,125.0,True,,False,True,False,False,True,True,False,False,False,True,False,,False,False,False,True,True
Louisiana,12546,15144.0,16453.0,,21488.8,11067.0,11231.2,12363.0,15649.9,18176.0,10983.9,16981.3,21938.7,16125.9,17115.0,,18569.1,17145.3,,14655.9,16249.0,2598.0,3907.0,,8942.8,-1479.0,-1314.8,-183.0,3103.9,5630.0,-1562.1,4435.3,9392.7,3579.9,4569.0,,6023.1,4599.3,,2109.9,3703.0,False,,False,True,True,True,False,False,True,False,False,False,False,,False,False,,True,False
Maine,147,145.0,131.0,,109.1,89.0,128.5,150.7,395.2,78.0,241.1,113.3,121.3,147.6,141.0,,137.9,186.7,160.4,177.8,155.0,-2.0,-16.0,,-37.9,-58.0,-18.5,3.7,248.2,-69.0,94.1,-33.7,-25.7,0.6,-6.0,,-9.1,39.7,13.4,30.8,8.0,False,,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False
Maryland,6311,5848.0,5137.0,,4921.5,3304.0,3969.3,6667.3,8242.5,4948.0,4508.5,6320.4,5326.0,6087.1,7773.0,,3876.8,7973.3,,6790.4,6229.0,-463.0,-1174.0,,-1389.5,-3007.0,-2341.7,356.3,1931.5,-1363.0,-1802.5,9.4,-985.0,-223.9,1462.0,,-2434.2,1662.3,,479.4,-82.0,False,,False,False,False,True,False,False,False,True,False,True,False,,False,False,,False,True
Massachusetts,2094,2030.0,2036.0,,1828.8,131.0,1627.3,2142.6,13665.8,2050.0,2528.0,2120.3,2021.8,2448.3,2482.0,,1377.5,2683.7,,2950.8,2241.0,-64.0,-58.0,,-265.2,-1963.0,-466.7,48.6,11571.8,-44.0,434.0,26.3,-72.2,354.3,388.0,,-716.5,589.7,,856.8,147.0,True,,False,False,False,True,False,True,False,True,False,False,False,,False,False,,False,False
Michigan,5710,4284.0,5627.0,,6564.3,2120.0,4168.7,4366.2,8308.4,6416.0,8211.1,7968.5,5345.0,5908.9,5811.0,,3522.1,5020.4,,5139.8,4972.0,-1426.0,-83.0,,854.3,-3590.0,-1541.3,-1343.8,2598.4,706.0,2501.1,2258.5,-365.0,198.9,101.0,,-2187.9,-689.6,,-570.2,-738.0,True,,True,False,False,True,False,True,False,False,True,True,True,,False,True,,True,True
Minnesota,4897,4821.0,4805.0,,4804.7,2093.0,3434.7,5084.1,3201.5,4502.0,4745.1,5812.8,5375.2,5239.8,5602.0,,,6175.3,4447.1,6455.0,5276.0,-76.0,-92.0,,-92.3,-2804.0,-1462.3,187.1,-1695.5,-395.0,-151.9,915.8,478.2,342.8,705.0,,,1278.3,-449.9,1558.0,379.0,False,,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False
Mississippi,8900,9135.0,9608.0,,10010.1,6798.0,6316.2,10256.1,12631.8,7680.0,6871.2,9733.1,8354.3,9364.4,11574.0,,9874.1,10423.2,7724.9,9922.5,8830.0,235.0,708.0,,1110.1,-2102.0,-2583.8,1356.1,3731.8,-1220.0,-2028.8,833.1,-545.7,464.4,2674.0,,974.1,1523.2,-1175.1,1022.5,-70.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True
Missouri,10598,8330.0,8035.0,,9008.4,6517.0,5400.0,12353.9,4853.6,6727.0,7388.7,7977.8,8424.3,9368.7,10991.0,,10525.8,9969.0,6073.5,10144.5,8726.0,-2268.0,-2563.0,,-1589.6,-4081.0,-5198.0,1755.9,-5744.4,-3871.0,-3209.3,-2620.2,-2173.7,-1229.3,393.0,,-72.2,-629.0,-4524.5,-453.5,-1872.0,False,,True,False,False,True,False,False,False,False,True,True,True,,True,True,False,True,True
Montana,822,788.0,740.0,,1578.8,461.0,634.1,1007.2,572.9,748.0,883.7,602.3,859.9,847.5,1137.0,,732.0,1087.5,,978.9,722.0,-34.0,-82.0,,756.8,-361.0,-187.9,185.2,-249.1,-74.0,61.7,-219.7,37.9,25.5,315.0,,-90.0,265.5,,156.9,-100.0,False,,False,False,False,False,False,False,False,False,False,True,False,,False,False,,False,False
Nebraska,1996,1914.0,1654.0,,1665.3,643.0,1439.2,1699.1,526.7,1685.0,1936.2,1118.0,1719.2,2029.4,2234.0,,1413.5,2201.0,,2137.4,1851.0,-82.0,-342.0,,-330.7,-1353.0,-556.8,-296.9,-1469.3,-311.0,-59.8,-878.0,-276.8,33.4,238.0,,-582.5,205.0,,141.4,-145.0,False,,False,False,False,False,False,False,True,False,False,True,False,,False,False,,False,False
Nevada,7258,7339.0,7187.0,,10999.5,7136.0,5922.6,6510.4,10655.3,7634.0,6274.0,11087.4,6951.8,6936.7,8958.0,,7238.8,8143.8,,6431.6,7050.0,81.0,-71.0,,3741.5,-122.0,-1335.4,-747.6,3397.3,376.0,-984.0,3829.4,-306.2,-321.3,1700.0,,-19.2,885.8,,-826.4,-208.0,True,,False,False,False,False,False,False,False,False,False,False,False,,True,False,,False,False
New Hampshire,199,227.0,187.0,,103.4,41.0,163.0,308.3,545.0,171.0,324.9,87.5,202.2,232.2,255.0,,124.4,272.2,158.2,274.7,218.0,28.0,-12.0,,-95.6,-158.0,-36.0,109.3,346.0,-28.0,125.9,-111.5,3.2,33.2,56.0,,-74.6,73.2,-40.8,75.7,19.0,True,,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,True
New Jersey,3171,2044.0,2245.0,,1737.7,138.0,1736.5,2540.0,20303.3,2842.0,2652.8,1092.4,2659.8,2945.1,2456.0,,2052.6,2381.3,,2194.3,2530.0,-1127.0,-926.0,,-1433.3,-3033.0,-1434.5,-631.0,17132.3,-329.0,-518.2,-2078.6,-511.2,-225.9,-715.0,,-1118.4,-789.7,,-976.7,-641.0,True,,False,False,False,True,False,True,True,False,True,True,True,,True,True,,True,True
New Mexico,2008,2052.0,2073.0,,2471.6,1270.0,1762.2,2193.3,3391.8,1930.0,2723.2,2346.6,1894.1,2067.8,2334.0,,2075.4,2421.3,1704.6,2070.8,1953.0,44.0,65.0,,463.6,-738.0,-245.8,185.3,1383.8,-78.0,715.2,338.6,-113.9,59.8,326.0,,67.4,413.3,-303.4,62.8,-55.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
New York,4567,4895.0,4644.0,,4641.2,334.0,3548.2,5205.2,22870.3,4119.0,9988.9,5308.6,4070.6,4863.0,5209.0,,3192.1,5393.9,,4647.0,4728.0,328.0,77.0,,74.2,-4233.0,-1018.8,638.2,18303.3,-448.0,5421.9,741.6,-496.4,296.0,642.0,,-1374.9,826.9,,80.0,161.0,True,,True,False,False,False,False,False,False,False,False,True,False,,False,False,,True,True
North Carolina,12953,13329.0,14386.0,,14940.3,15696.0,9532.9,13926.8,15075.2,14669.0,17035.5,15777.5,10849.1,12470.8,14215.0,,12900.5,14832.8,15180.6,12366.7,12100.0,376.0,1433.0,,1987.3,2743.0,-3420.1,973.8,2122.2,1716.0,4082.5,2824.5,-2103.9,-482.2,1262.0,,-52.5,1879.8,2227.6,-586.3,-853.0,False,,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False
North Dakota,866,829.0,806.0,,1006.1,394.0,610.8,897.0,579.4,620.0,841.3,645.4,913.2,883.7,1153.0,,873.6,1036.4,,997.9,901.0,-37.0,-60.0,,140.1,-472.0,-255.2,31.0,-286.6,-246.0,-24.7,-220.6,47.2,17.7,287.0,,7.6,170.4,,131.9,35.0,False,,False,False,False,True,False,False,True,False,False,True,False,,True,False,,False,True
Ohio,8903,9363.0,8412.0,,14045.3,6203.0,7590.4,9931.9,7320.8,8395.0,14473.0,10379.3,7307.8,8430.0,10593.0,,7976.3,10707.0,6678.3,8597.3,8598.0,460.0,-491.0,,5142.3,-2700.0,-1312.6,1028.9,-1582.2,-508.0,5570.0,1476.3,-1595.2,-473.0,1690.0,,-926.7,1804.0,-2224.7,-305.7,-305.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,True
Oklahoma,7650,5024.0,6476.0,,6831.4,4375.0,4581.5,6621.7,6525.7,5708.0,8555.2,5899.9,8275.4,6904.2,7039.0,,8175.2,5737.1,,9111.5,6382.0,-2626.0,-1174.0,,-818.6,-3275.0,-3068.5,-1028.3,-1124.3,-1942.0,905.2,-1750.1,625.4,-745.8,-611.0,,525.2,-1912.9,,1461.5,-1268.0,True,,True,False,False,True,True,True,True,True,True,True,True,,True,True,,True,True
Oregon,2325,1955.0,2459.0,,2861.2,2214.0,1830.4,1392.2,3144.9,2226.0,4212.5,2781.7,2905.6,2191.0,2026.0,,2044.9,2713.0,,2270.1,2192.0,-370.0,134.0,,536.2,-111.0,-494.6,-932.8,819.9,-99.0,1887.5,456.7,580.6,-134.0,-299.0,,-280.1,388.0,,-54.9,-133.0,True,,False,True,False,False,False,True,False,False,False,True,True,,True,False,,True,True
Pennsylvania,6353,6335.0,6559.0,,7655.6,872.0,5054.4,6794.5,8694.4,5396.0,8597.3,8013.6,4904.0,6556.9,6966.0,,5014.4,7523.7,3031.5,6561.8,6079.0,-18.0,206.0,,1302.6,-5481.0,-1298.6,441.5,2341.4,-957.0,2244.3,1660.6,-1449.0,203.9,613.0,,-1338.6,1170.7,-3321.5,208.8,-274.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Rhode Island,798,431.0,374.0,,434.7,35.0,352.2,419.6,915.5,1125.0,32.1,216.9,239.9,342.7,434.0,,502.7,405.3,271.7,425.0,281.0,-367.0,-424.0,,-363.3,-763.0,-445.8,-378.4,117.5,327.0,-765.9,-581.1,-558.1,-455.3,-364.0,,-295.3,-392.7,-526.3,-373.0,-517.0,False,,True,False,False,False,True,True,False,False,False,False,True,,True,False,False,False,False
South Carolina,10591,12396.0,12142.0,,17849.6,13448.0,9652.5,10526.0,15055.8,11702.0,12783.4,14297.6,8662.7,9914.5,12097.0,,10379.0,13296.6,12050.3,9141.1,9962.0,1805.0,1551.0,,7258.6,2857.0,-938.5,-65.0,4464.8,1111.0,2192.4,3706.6,-1928.3,-676.5,1506.0,,-212.0,2705.6,1459.3,-1449.9,-629.0,True,,False,False,True,True,False,True,False,False,False,True,True,,True,False,True,True,True
South Dakota,562,443.0,465.0,,378.0,277.0,447.1,463.8,925.7,316.0,546.9,400.5,498.4,580.9,515.0,,336.2,541.0,,606.5,502.0,-119.0,-97.0,,-184.0,-285.0,-114.9,-98.2,363.7,-246.0,-15.1,-161.5,-63.6,18.9,-47.0,,-225.8,-21.0,,44.5,-60.0,True,,False,False,True,True,False,False,True,False,True,True,True,,False,True,,True,True
Tennessee,17388,14460.0,15935.0,,22460.4,15127.0,10977.2,13558.1,12887.2,12127.0,13326.0,23168.9,20730.9,17201.8,19186.0,,19556.9,16219.9,16051.8,15650.8,16473.0,-2928.0,-1453.0,,5072.4,-2261.0,-6410.8,-3829.9,-4500.8,-5261.0,-4062.0,5780.9,3342.9,-186.2,1798.0,,2168.9,-1168.1,-1336.2,-1737.2,-915.0,True,,False,True,False,False,False,False,False,False,False,True,True,,True,True,True,True,True
Texas,55695,63180.0,63174.0,,114378.2,73768.0,45187.6,57474.6,216702.4,84256.0,59319.2,72112.3,28911.4,49745.1,68872.0,,50109.7,71270.8,71547.7,42626.1,48460.0,7485.0,7479.0,,58683.2,18073.0,-10507.4,1779.6,161007.4,28561.0,3624.2,16417.3,-26783.6,-5949.9,13177.0,,-5585.3,15575.8,15852.7,-13068.9,-7235.0,True,,False,False,False,True,False,False,True,False,False,True,False,,True,False,False,False,True
Utah,3079,4291.0,3885.0,,4929.5,5003.0,3157.2,4442.7,6955.5,3579.0,4638.3,4925.8,3219.0,3499.2,4282.0,,3738.7,4914.5,4855.4,2806.6,3648.0,1212.0,806.0,,1850.5,1924.0,78.2,1363.7,3876.5,500.0,1559.3,1846.8,140.0,420.2,1203.0,,659.7,1835.5,1776.4,-272.4,569.0,True,,False,False,True,False,False,True,False,False,True,True,True,,True,False,False,True,True
Vermont,25,58.0,44.0,,45.6,7.0,44.0,57.3,1.7,37.0,139.9,71.5,38.8,50.8,54.0,,31.1,68.7,,61.3,46.0,33.0,19.0,,20.6,-18.0,19.0,32.3,-23.3,12.0,114.9,46.5,13.8,25.8,29.0,,6.1,43.7,,36.3,21.0,True,,True,True,True,True,True,True,False,False,True,True,True,,True,False,,False,True
Virginia,7192,7236.0,7099.0,,7080.3,4323.0,5478.8,7639.8,4946.0,7452.0,7472.2,10387.8,6680.2,7472.9,8837.0,,6420.3,9121.9,5394.0,7607.2,3847.0,44.0,-93.0,,-111.7,-2869.0,-1713.2,447.8,-2246.0,260.0,280.2,3195.8,-511.8,280.9,1645.0,,-771.7,1929.9,-1798.0,415.2,-3345.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Washington,5692,5823.0,5913.0,,7288.2,5324.0,4035.7,5954.4,10300.1,5971.0,6262.9,8104.9,5364.9,5896.5,6907.0,,5930.3,6610.7,,5484.8,5765.0,131.0,221.0,,1596.2,-368.0,-1656.3,262.4,4608.1,279.0,570.9,2412.9,-327.1,204.5,1215.0,,238.3,918.7,,-207.2,73.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,True
West Virginia,963,881.0,903.0,,1467.1,736.0,916.5,1039.1,196.7,492.0,1079.7,977.9,959.7,870.9,1068.0,,992.3,1083.3,,1061.8,901.0,-82.0,-60.0,,504.1,-227.0,-46.5,76.1,-766.3,-471.0,116.7,14.9,-3.3,-92.1,105.0,,29.3,120.3,,98.8,-62.0,True,,False,False,True,True,False,False,False,True,True,False,False,,True,False,,False,True
Wisconsin,6132,6385.0,6869.0,,8031.8,4189.0,4667.3,6872.0,1970.9,4880.0,7951.8,9550.0,6431.3,6606.8,7910.0,,7131.6,7376.6,5582.3,7143.6,6474.0,253.0,737.0,,1899.8,-1943.0,-1464.7,740.0,-4161.1,-1252.0,1819.8,3418.0,299.3,474.8,1778.0,,999.6,1244.6,-549.7,1011.6,342.0,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Wyoming,323,338.0,321.0,,379.4,220.0,278.5,351.9,3.6,217.0,414.8,414.4,292.1,317.1,377.0,,348.7,408.9,,325.5,308.0,15.0,-2.0,,56.4,-103.0,-44.5,28.9,-319.4,-106.0,91.8,91.4,-30.9,-5.9,54.0,,25.7,85.9,,2.5,-15.0,True,,False,False,False,False,False,False,False,False,False,True,False,,False,False,,True,False
US,441774,466608.0,454323.0,432387.0,643901.7,417014.0,348917.3,485117.7,806257.1,484069.0,457528.7,577645.5,380532.2,554233.9,523622.0,435981.4,425158.0,543622.8,376305.3,430783.0,430200.0,24834.0,12549.0,-9387.0,202127.7,-24760.0,-92856.7,43343.7,364483.1,42295.0,15754.7,135871.5,-61241.8,112459.9,81848.0,-5792.6,-16616.0,101848.8,-65468.7,-10991.0,-11574.0,True,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True
