,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01047,279,378.0,,,,,558.0,,34.1,1.6,37.9,165.5,,,99.0,,,,,279.0,,-244.9,-277.4,-241.1,-113.5,,,,,,,False,,False,False,False,False,,
01049,1752,490.0,,,,,1490.0,,224.2,16.6,104.0,275.1,,,-1262.0,,,,,-262.0,,-1527.8,-1735.4,-1648.0,-1476.9,,,,,,,True,,False,False,False,False,,
01051,970,1036.0,,,,,1022.0,,344.9,19.0,477.4,634.3,,,66.0,,,,,52.0,,-625.1,-951.0,-492.6,-335.7,,,,,,,True,,False,False,False,False,,
01053,272,357.0,,,,,658.0,,47.6,0.6,29.1,133.3,,,85.0,,,,,386.0,,-224.4,-271.4,-242.9,-138.7,,,,,,,False,,False,False,False,False,,
01055,1822,1092.0,,,,,1699.0,,640.3,24.6,443.6,411.5,,,-730.0,,,,,-123.0,,-1181.7,-1797.4,-1378.4,-1410.5,,,,,,,True,,False,False,False,False,,
01057,255,273.0,,,,,232.0,,175.9,0.8,178.6,194.4,,,18.0,,,,,-23.0,,-79.1,-254.2,-76.4,-60.6,,,,,,,False,,False,False,False,False,,
01059,553,210.0,,,,,845.0,,83.8,12.8,238.8,189.8,,,-343.0,,,,,292.0,,-469.2,-540.2,-314.2,-363.2,,,,,,,True,,False,False,True,False,,
01061,455,434.0,,,,,358.0,,101.5,2.0,148.1,213.8,,,-21.0,,,,,-97.0,,-353.5,-453.0,-306.9,-241.2,,,,,,,False,,False,False,False,False,,
01063,70,21.0,,,,,61.0,,0.2,0.0,8.0,12.8,,,-49.0,,,,,-9.0,,-69.8,-70.0,-62.0,-57.2,,,,,,,True,,False,False,False,False,,
01065,216,161.0,,,,,315.0,,45.2,1.9,100.3,84.9,,,-55.0,,,,,99.0,,-170.8,-214.1,-115.7,-131.1,,,,,,,False,,False,False,False,False,,
01067,308,266.0,,,,,149.0,,32.9,0.2,145.5,177.3,,,-42.0,,,,,-159.0,,-275.1,-307.8,-162.5,-130.7,,,,,,,False,,False,False,False,False,,
01069,1803,1428.0,,,,,1261.0,,518.7,24.1,380.1,692.2,,,-375.0,,,,,-542.0,,-1284.3,-1778.9,-1423.0,-1110.8,,,,,,,False,,False,False,False,False,,
01071,1136,567.0,,,,,935.0,,220.5,2.3,234.5,214.7,,,-569.0,,,,,-201.0,,-915.5,-1133.7,-901.5,-921.3,,,,,,,True,,False,False,False,False,,
01073,7999,5355.0,,,,,9384.0,,3170.8,318.1,793.7,2552.9,,,-2644.0,,,,,1385.0,,-4828.2,-7680.9,-7205.3,-5446.1,,,,,,,True,,False,False,False,False,,
01075,218,154.0,,,,,258.0,,44.6,3.3,75.1,102.1,,,-64.0,,,,,40.0,,-173.4,-214.7,-142.9,-115.9,,,,,,,True,,False,False,False,False,,
01077,1547,504.0,,,,,1371.0,,276.5,269.1,331.6,371.7,,,-1043.0,,,,,-176.0,,-1270.5,-1277.9,-1215.3,-1175.3,,,,,,,True,,False,False,False,False,,
01079,442,266.0,,,,,514.0,,58.7,72.1,15.9,200.3,,,-176.0,,,,,72.0,,-383.3,-369.9,-426.1,-241.7,,,,,,,True,,False,False,False,False,,
01081,1312,1344.0,,,,,2488.0,,460.6,8.4,1422.9,666.3,,,32.0,,,,,1176.0,,-851.4,-1303.6,110.9,-645.7,,,,,,,False,,False,False,False,False,,
01083,1464,896.0,,,,,1606.0,,569.3,194.0,393.0,309.1,,,-568.0,,,,,142.0,,-894.7,-1270.0,-1071.0,-1154.9,,,,,,,True,,False,False,False,False,,
01085,104,56.0,,,,,106.0,,2.2,0.2,13.4,26.3,,,-48.0,,,,,2.0,,-101.8,-103.8,-90.6,-77.7,,,,,,,True,,False,False,False,False,,
01087,168,28.0,,,,,103.0,,4.1,0.0,39.6,46.9,,,-140.0,,,,,-65.0,,-163.9,-168.0,-128.4,-121.1,,,,,,,True,,False,False,True,True,,
01089,3419,2618.0,,,,,3906.0,,1663.0,916.3,1219.7,801.8,,,-801.0,,,,,487.0,,-1756.0,-2502.7,-2199.3,-2617.2,,,,,,,True,,False,False,False,False,,
01091,420,147.0,,,,,356.0,,46.8,0.3,34.3,59.3,,,-273.0,,,,,-64.0,,-373.2,-419.7,-385.7,-360.7,,,,,,,True,,False,False,False,False,,
01093,314,189.0,,,,,420.0,,44.8,1.1,97.3,77.7,,,-125.0,,,,,106.0,,-269.2,-312.9,-216.7,-236.3,,,,,,,True,,False,False,False,False,,
01095,1326,854.0,,,,,1928.0,,258.0,19.2,82.8,385.9,,,-472.0,,,,,602.0,,-1068.0,-1306.8,-1243.2,-940.1,,,,,,,False,,False,False,False,False,,
01097,5077,2338.0,,,,,3918.0,,1456.0,409.7,1331.0,2307.5,,,-2739.0,,,,,-1159.0,,-3621.0,-4667.3,-3746.0,-2769.5,,,,,,,True,,False,False,False,False,,
01099,133,98.0,,,,,232.0,,5.5,0.1,22.8,46.0,,,-35.0,,,,,99.0,,-127.5,-132.9,-110.2,-87.0,,,,,,,False,,False,False,False,False,,
01101,2770,1442.0,,,,,2978.0,,415.0,58.3,632.6,814.5,,,-1328.0,,,,,208.0,,-2355.0,-2711.7,-2137.4,-1955.5,,,,,,,True,,False,False,False,False,,
01103,2018,777.0,,,,,1887.0,,274.9,184.7,411.0,419.9,,,-1241.0,,,,,-131.0,,-1743.1,-1833.3,-1607.0,-1598.1,,,,,,,True,,False,False,False,False,,
01105,101,28.0,,,,,68.0,,1.7,0.0,11.1,18.8,,,-73.0,,,,,-33.0,,-99.3,-101.0,-89.9,-82.2,,,,,,,True,,False,False,False,False,,
01107,404,217.0,,,,,322.0,,103.7,1.2,102.2,102.9,,,-187.0,,,,,-82.0,,-300.3,-402.8,-301.8,-301.1,,,,,,,True,,False,False,False,False,,
01109,298,329.0,,,,,909.0,,29.5,0.0,188.4,302.9,,,31.0,,,,,611.0,,-268.5,-298.0,-109.6,4.9,,,,,,,False,,False,False,False,True,,
01111,288,280.0,,,,,368.0,,71.9,3.1,191.1,98.2,,,-8.0,,,,,80.0,,-216.1,-284.9,-96.9,-189.8,,,,,,,False,,False,False,False,False,,
01113,321,343.0,,,,,649.0,,53.7,0.8,97.7,373.1,,,22.0,,,,,328.0,,-267.3,-320.2,-223.3,52.1,,,,,,,False,,False,False,False,False,,
01115,1398,763.0,,,,,1179.0,,265.2,94.6,107.2,352.8,,,-635.0,,,,,-219.0,,-1132.8,-1303.4,-1290.8,-1045.2,,,,,,,True,,False,False,False,False,,
01117,2927,2331.0,,,,,2581.0,,1365.7,246.4,1142.7,844.3,,,-596.0,,,,,-346.0,,-1561.3,-2680.6,-1784.3,-2082.7,,,,,,,True,,False,False,False,False,,
01119,88,140.0,,,,,126.0,,11.9,0.1,25.1,85.6,,,52.0,,,,,38.0,,-76.1,-87.9,-62.9,-2.4,,,,,,,True,,False,False,False,True,,
01121,971,812.0,,,,,1280.0,,157.9,1.4,483.1,324.0,,,-159.0,,,,,309.0,,-813.1,-969.6,-487.9,-647.0,,,,,,,False,,False,False,False,False,,
01123,442,203.0,,,,,620.0,,50.5,4.8,58.2,79.4,,,-239.0,,,,,178.0,,-391.5,-437.2,-383.8,-362.6,,,,,,,True,,False,False,False,False,,
01125,3199,10087.0,,,,,4120.0,,6082.9,3033.3,1482.4,2594.0,,,6888.0,,,,,921.0,,2883.9,-165.7,-1716.6,-605.0,,,,,,,True,,True,True,True,True,,
01127,977,763.0,,,,,1239.0,,125.8,4.8,529.2,264.8,,,-214.0,,,,,262.0,,-851.2,-972.2,-447.8,-712.2,,,,,,,False,,False,False,False,False,,
01129,315,91.0,,,,,234.0,,6.3,0.0,0.1,53.4,,,-224.0,,,,,-81.0,,-308.7,-315.0,-314.9,-261.6,,,,,,,True,,False,False,False,False,,
01131,77,7.0,,,,,67.0,,1.0,0.1,1.7,18.0,,,-70.0,,,,,-10.0,,-76.0,-76.9,-75.3,-59.0,,,,,,,True,,False,False,False,True,,
01133,397,315.0,,,,,403.0,,70.6,3.0,124.4,182.6,,,-82.0,,,,,6.0,,-326.4,-394.0,-272.6,-214.4,,,,,,,True,,False,False,False,False,,
02013,9,0.0,,,,,,,,,0.7,,,,-9.0,,,,,,,,,-8.3,,,,,,,,,,,,True,,,
02016,9,7.0,,,,,,,,,0.5,,,,-2.0,,,,,,,,,-8.5,,,,,,,,,,,,False,,,
02020,7591,2296.0,,,,,,,1412.3,1531.5,1879.9,952.2,,,-5295.0,,,,,,,-6178.7,-6059.5,-5711.1,-6638.8,,,,,,,,,False,False,False,False,,
02050,777,119.0,,,,,,,21.5,0.0,48.3,121.7,,,-658.0,,,,,,,-755.5,-777.0,-728.7,-655.3,,,,,,,,,False,False,False,True,,
02060,0,0.0,,,,,,,0.3,,0.0,,,,0.0,,,,,,,0.3,,0.0,,,,,,,,,,False,,True,,,
02068,28,28.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,-28.0,,,,,,,,,,,,False,,,
02070,50,7.0,,,,,,,1.3,,5.6,,,,-43.0,,,,,,,-48.7,,-44.4,,,,,,,,,,False,,False,,,
02090,1693,833.0,,,,,,,1000.3,548.9,609.0,453.5,,,-860.0,,,,,,,-692.7,-1144.1,-1084.0,-1239.5,,,,,,,,,True,False,False,False,,
02100,7,0.0,,,,,,,,,0.0,,,,-7.0,,,,,,,,,-7.0,,,,,,,,,,,,False,,,
02105,0,0.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,True,,,
02110,356,175.0,,,,,,,19.7,316.6,79.8,74.3,,,-181.0,,,,,,,-336.3,-39.4,-276.2,-281.7,,,,,,,,,False,True,False,False,,
02122,1062,84.0,,,,,,,9.7,131.2,15.3,59.2,,,-978.0,,,,,,,-1052.3,-930.8,-1046.7,-1002.8,,,,,,,,,False,True,False,False,,
02130,98,0.0,,,,,,,1.4,,3.4,7.6,,,-98.0,,,,,,,-96.6,,-94.6,-90.4,,,,,,,,,True,,True,True,,
02150,91,14.0,,,,,,,0.5,,2.8,,,,-77.0,,,,,,,-90.5,,-88.2,,,,,,,,,,False,,False,,,
02158,340,7.0,,,,,,,,,1.1,,,,-333.0,,,,,,,,,-338.9,,,,,,,,,,,,False,,,
02164,37,0.0,,,,,,,,,0.0,,,,-37.0,,,,,,,,,-37.0,,,,,,,,,,,,False,,,
02170,1673,140.0,,,,,,,52.1,423.3,139.4,90.8,,,-1533.0,,,,,,,-1620.9,-1249.7,-1533.6,-1582.2,,,,,,,,,False,True,False,False,,
02180,93,105.0,,,,,,,5.1,,8.4,,,,12.0,,,,,,,-87.9,,-84.6,,,,,,,,,,False,,False,,,
02185,244,259.0,,,,,,,51.6,0.0,16.6,,,,15.0,,,,,,,-192.4,-244.0,-227.4,,,,,,,,,,False,False,False,,,
02188,197,168.0,,,,,,,9.1,0.0,17.0,,,,-29.0,,,,,,,-187.9,-197.0,-180.0,,,,,,,,,,False,False,False,,,
02195,11,0.0,,,,,,,0.1,,0.0,,,,-11.0,,,,,,,-10.9,,-11.0,,,,,,,,,,True,,False,,,
02198,12,7.0,,,,,,,1.1,,0.8,,,,-5.0,,,,,,,-10.9,,-11.2,,,,,,,,,,False,,False,,,
02220,58,21.0,,,,,,,2.4,,33.6,29.9,,,-37.0,,,,,,,-55.6,,-24.4,-28.1,,,,,,,,,False,,True,True,,
02230,8,0.0,,,,,,,,,0.0,,,,-8.0,,,,,,,,,-8.0,,,,,,,,,,,,False,,,
02240,111,28.0,,,,,,,1.5,,59.2,,,,-83.0,,,,,,,-109.5,,-51.8,,,,,,,,,,False,,True,,,
02261,90,7.0,,,,,,,2.6,,0.0,,,,-83.0,,,,,,,-87.4,,-90.0,,,,,,,,,,False,,False,,,
02275,0,0.0,,,,,,,,,1.7,,,,0.0,,,,,,,,,1.7,,,,,,,,,,,,False,,,
02282,12,21.0,,,,,,,,,0.1,,,,9.0,,,,,,,,,-11.9,,,,,,,,,,,,False,,,
02290,51,14.0,,,,,,,6.1,,3.0,,,,-37.0,,,,,,,-44.9,,-48.0,,,,,,,,,,False,,False,,,
04001,846,490.0,,,,,306.0,,126.7,2.1,26.2,263.2,,,-356.0,,,,,-540.0,,-719.3,-843.9,-819.8,-582.8,,,,,,,False,,False,False,False,False,,
04003,781,161.0,,,,,485.0,,20.2,25.9,95.8,124.1,,,-620.0,,,,,-296.0,,-760.8,-755.1,-685.2,-656.9,,,,,,,True,,False,False,False,False,,
04005,2208,2289.0,,,,,809.0,,1773.3,307.0,2140.7,1737.2,,,81.0,,,,,-1399.0,,-434.7,-1901.0,-67.3,-470.8,,,,,,,False,,False,False,True,False,,
04007,1044,504.0,,,,,47.0,,276.7,0.0,20.6,322.9,,,-540.0,,,,,-997.0,,-767.3,-1044.0,-1023.4,-721.1,,,,,,,False,,False,False,False,False,,
04009,830,210.0,,,,,55.0,,65.2,0.0,45.1,135.4,,,-620.0,,,,,-775.0,,-764.8,-830.0,-784.9,-694.6,,,,,,,False,,False,False,False,False,,
04011,74,7.0,,,,,64.0,,5.9,,2.2,3.6,,,-67.0,,,,,-10.0,,-68.1,,-71.8,-70.4,,,,,,,True,,False,,False,False,,
04012,133,77.0,,,,,47.0,,8.5,0.0,46.5,36.2,,,-56.0,,,,,-86.0,,-124.5,-133.0,-86.5,-96.8,,,,,,,False,,False,False,False,False,,
04013,33994,9639.0,,,,,10234.0,,5300.3,953.8,1229.4,4917.1,,,-24355.0,,,,,-23760.0,,-28693.7,-33040.2,-32764.6,-29076.9,,,,,,,True,,False,False,False,False,,
04015,1088,581.0,,,,,465.0,,169.2,225.2,56.5,252.2,,,-507.0,,,,,-623.0,,-918.8,-862.8,-1031.5,-835.8,,,,,,,False,,False,False,False,False,,
04017,1368,287.0,,,,,871.0,,112.4,4.7,41.4,147.3,,,-1081.0,,,,,-497.0,,-1255.6,-1363.3,-1326.7,-1220.7,,,,,,,True,,False,False,False,False,,
04019,6878,5726.0,,,,,4124.0,,3111.9,4891.7,1617.2,2656.0,,,-1152.0,,,,,-2754.0,,-3766.1,-1986.3,-5260.8,-4222.0,,,,,,,False,,False,False,False,False,,
04021,3027,1372.0,,,,,716.0,,850.4,356.2,383.7,809.7,,,-1655.0,,,,,-2311.0,,-2176.6,-2670.8,-2643.3,-2217.3,,,,,,,False,,False,False,False,False,,
04023,433,119.0,,,,,410.0,,11.6,0.5,63.0,57.1,,,-314.0,,,,,-23.0,,-421.4,-432.5,-370.0,-375.9,,,,,,,True,,False,False,False,False,,
04025,1042,434.0,,,,,329.0,,197.1,260.5,121.9,228.9,,,-608.0,,,,,-713.0,,-844.9,-781.5,-920.1,-813.1,,,,,,,False,,False,False,False,False,,
04027,2558,1036.0,,,,,808.0,,186.3,4.1,129.4,569.5,,,-1522.0,,,,,-1750.0,,-2371.7,-2553.9,-2428.6,-1988.5,,,,,,,False,,False,False,False,False,,
05001,429,392.0,,,,,191.0,,176.7,94.9,68.5,169.0,,,-37.0,,,,,-238.0,,-252.3,-334.1,-360.5,-260.0,,,,,,,False,,False,False,False,False,,
05003,244,91.0,,,,,143.0,,9.7,0.4,10.3,53.0,,,-153.0,,,,,-101.0,,-234.3,-243.6,-233.7,-191.0,,,,,,,True,,False,False,False,False,,
05005,742,497.0,,,,,300.0,,184.1,307.9,89.2,367.1,,,-245.0,,,,,-442.0,,-557.9,-434.1,-652.8,-374.9,,,,,,,False,,False,False,False,False,,
05007,3757,2492.0,,,,,3607.0,,736.8,246.7,975.1,1368.4,,,-1265.0,,,,,-150.0,,-3020.2,-3510.3,-2781.9,-2388.6,,,,,,,True,,False,False,False,False,,
05009,639,735.0,,,,,649.0,,302.4,211.4,153.8,1117.9,,,96.0,,,,,10.0,,-336.6,-427.6,-485.2,478.9,,,,,,,True,,False,False,False,False,,
05011,51,56.0,,,,,130.0,,4.2,0.0,14.0,52.8,,,5.0,,,,,79.0,,-46.8,-51.0,-37.0,1.8,,,,,,,False,,False,False,False,True,,
05013,69,14.0,,,,,31.0,,,,2.4,,,,-55.0,,,,,-38.0,,,,-66.6,,,,,,,,True,,,,False,,,
05015,518,336.0,,,,,360.0,,123.2,216.4,360.0,113.2,,,-182.0,,,,,-158.0,,-394.8,-301.6,-158.0,-404.8,,,,,,,True,,False,False,True,False,,
05017,83,91.0,,,,,140.0,,4.6,0.5,39.3,101.5,,,8.0,,,,,57.0,,-78.4,-82.5,-43.7,18.5,,,,,,,False,,False,False,False,False,,
05019,340,217.0,,,,,261.0,,51.7,56.1,139.7,123.1,,,-123.0,,,,,-79.0,,-288.3,-283.9,-200.3,-216.9,,,,,,,True,,False,False,False,False,,
05021,376,252.0,,,,,257.0,,147.1,59.6,74.6,286.4,,,-124.0,,,,,-119.0,,-228.9,-316.4,-301.4,-89.6,,,,,,,True,,False,False,False,True,,
05023,265,119.0,,,,,306.0,,47.6,85.3,22.3,59.5,,,-146.0,,,,,41.0,,-217.4,-179.7,-242.7,-205.5,,,,,,,True,,False,False,False,False,,
05025,114,42.0,,,,,60.0,,1.2,0.0,11.0,22.0,,,-72.0,,,,,-54.0,,-112.8,-114.0,-103.0,-92.0,,,,,,,True,,False,False,False,False,,
05027,422,483.0,,,,,211.0,,433.5,122.7,245.6,204.5,,,61.0,,,,,-211.0,,11.5,-299.3,-176.4,-217.5,,,,,,,False,,True,False,False,False,,
05029,223,133.0,,,,,480.0,,54.0,92.2,77.6,66.3,,,-90.0,,,,,257.0,,-169.0,-130.8,-145.4,-156.7,,,,,,,False,,False,False,False,False,,
05031,3019,2450.0,,,,,1813.0,,822.5,1167.8,677.8,1591.3,,,-569.0,,,,,-1206.0,,-2196.5,-1851.2,-2341.2,-1427.7,,,,,,,False,,False,False,False,False,,
05033,1230,1050.0,,,,,994.0,,460.2,551.8,196.8,1042.0,,,-180.0,,,,,-236.0,,-769.8,-678.2,-1033.2,-188.0,,,,,,,False,,False,False,False,False,,
05035,932,532.0,,,,,554.0,,101.1,3.4,225.3,365.5,,,-400.0,,,,,-378.0,,-830.9,-928.6,-706.7,-566.5,,,,,,,True,,False,False,False,False,,
05037,246,210.0,,,,,255.0,,24.5,0.8,57.0,140.8,,,-36.0,,,,,9.0,,-221.5,-245.2,-189.0,-105.2,,,,,,,True,,False,False,False,False,,
05039,69,42.0,,,,,71.0,,2.0,0.0,1.0,59.5,,,-27.0,,,,,2.0,,-67.0,-69.0,-68.0,-9.5,,,,,,,True,,False,False,False,True,,
05041,182,112.0,,,,,110.0,,38.6,0.0,38.4,34.0,,,-70.0,,,,,-72.0,,-143.4,-182.0,-143.6,-148.0,,,,,,,False,,False,False,False,False,,
05043,154,70.0,,,,,206.0,,11.2,0.0,19.1,42.6,,,-84.0,,,,,52.0,,-142.8,-154.0,-134.9,-111.4,,,,,,,True,,False,False,False,False,,
05045,1620,1757.0,,,,,1750.0,,1226.0,859.9,429.0,591.9,,,137.0,,,,,130.0,,-394.0,-760.1,-1191.0,-1028.1,,,,,,,True,,False,False,False,False,,
05047,378,322.0,,,,,316.0,,186.1,69.5,29.7,268.7,,,-56.0,,,,,-62.0,,-191.9,-308.5,-348.3,-109.3,,,,,,,False,,False,False,False,False,,
05049,273,266.0,,,,,104.0,,206.4,53.9,223.1,281.7,,,-7.0,,,,,-169.0,,-66.6,-219.1,-49.9,8.7,,,,,,,False,,False,False,False,False,,
05051,1316,1036.0,,,,,1031.0,,872.8,451.7,263.1,546.1,,,-280.0,,,,,-285.0,,-443.2,-864.3,-1052.8,-769.9,,,,,,,False,,False,False,False,False,,
05053,190,126.0,,,,,119.0,,58.8,78.2,48.7,51.3,,,-64.0,,,,,-71.0,,-131.2,-111.8,-141.3,-138.7,,,,,,,False,,False,False,False,False,,
05055,1319,595.0,,,,,528.0,,399.6,161.1,269.3,457.7,,,-724.0,,,,,-791.0,,-919.4,-1157.9,-1049.7,-861.3,,,,,,,False,,False,False,False,False,,
05057,353,77.0,,,,,169.0,,25.9,0.1,10.2,78.9,,,-276.0,,,,,-184.0,,-327.1,-352.9,-342.8,-274.1,,,,,,,True,,False,False,False,True,,
05059,670,511.0,,,,,437.0,,324.9,4.7,262.8,175.2,,,-159.0,,,,,-233.0,,-345.1,-665.3,-407.2,-494.8,,,,,,,False,,False,False,False,False,,
05061,247,98.0,,,,,176.0,,19.9,0.5,28.0,55.3,,,-149.0,,,,,-71.0,,-227.1,-246.5,-219.0,-191.7,,,,,,,True,,False,False,False,False,,
05063,752,546.0,,,,,917.0,,165.2,1.5,59.5,336.5,,,-206.0,,,,,165.0,,-586.8,-750.5,-692.5,-415.5,,,,,,,True,,False,False,False,False,,
05065,642,665.0,,,,,181.0,,126.9,9.1,218.7,491.8,,,23.0,,,,,-461.0,,-515.1,-632.9,-423.3,-150.2,,,,,,,False,,False,False,False,False,,
05067,937,245.0,,,,,369.0,,216.9,1.6,32.0,253.2,,,-692.0,,,,,-568.0,,-720.1,-935.4,-905.0,-683.8,,,,,,,True,,False,False,False,True,,
05069,1608,2072.0,,,,,912.0,,3085.5,1002.0,1999.6,1195.8,,,464.0,,,,,-696.0,,1477.5,-606.0,391.6,-412.2,,,,,,,False,,False,False,True,True,,
05071,288,224.0,,,,,715.0,,62.1,2.2,91.3,90.4,,,-64.0,,,,,427.0,,-225.9,-285.8,-196.7,-197.6,,,,,,,False,,False,False,False,False,,
05073,125,112.0,,,,,54.0,,31.4,20.7,80.2,48.9,,,-13.0,,,,,-71.0,,-93.6,-104.3,-44.8,-76.1,,,,,,,False,,False,False,False,False,,
05075,578,546.0,,,,,250.0,,168.4,89.3,61.8,244.7,,,-32.0,,,,,-328.0,,-409.6,-488.7,-516.2,-333.3,,,,,,,False,,False,False,False,False,,
