,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,73300,30663.0,28667.4,30841.0,29127.0,34194.0,,30071.2,12017.0,32128.8,25698.1,,29152.0,30135.3,28107.1,36628.0,18603.4,37091.5,34430.4,24989.8,38188.9,34757.0,,16094.0,12078.3,21968.8,27144.1,39929.9,31639.1,30988.0,-42637.0,-44632.6,-42459.0,-44173.0,-39106.0,,-43228.8,-61283.0,-41171.2,-47601.9,,-44148.0,-43164.7,-45192.9,-36672.0,-54696.6,-36208.5,-38869.6,-48310.2,-35111.1,-38543.0,,-57206.0,-61221.7,-51331.2,-46155.9,-33370.1,-41660.9,-42312.0,False,True,False,True,,False,False,True,False,,False,False,False,True,False,True,True,False,True,True,,False,False,False,False,True,True,True
Hawaii,2001,1812.0,3307.1,1790.8,1783.0,2168.0,,1819.6,722.0,1535.2,1634.9,,,2096.7,1744.4,2272.0,3497.4,1843.0,1575.2,1640.5,2064.0,2345.0,,631.9,1113.5,1783.1,1420.3,1879.4,2597.2,1489.0,-189.0,1306.1,-210.2,-218.0,167.0,,-181.4,-1279.0,-465.8,-366.1,,,95.7,-256.6,271.0,1496.4,-158.0,-425.8,-360.5,63.0,344.0,,-1369.1,-887.5,-217.9,-580.7,-121.6,596.2,-512.0,False,False,False,True,,True,False,False,False,,,True,False,False,False,True,False,False,True,False,,False,False,False,False,True,False,False
Idaho,22623,18336.0,46986.4,18049.0,18134.0,24565.0,,17394.8,6373.0,33797.1,21050.2,,15570.0,21239.2,22366.6,20161.0,6061.8,20151.0,29591.2,13722.1,21314.3,27701.0,,17085.2,8254.9,10688.1,18358.8,19815.2,18597.2,17159.0,-4287.0,24363.4,-4574.0,-4489.0,1942.0,,-5228.2,-16250.0,11174.1,-1572.8,,-7053.0,-1383.8,-256.4,-2462.0,-16561.2,-2472.0,6968.2,-8900.9,-1308.7,5078.0,,-5537.8,-14368.1,-11934.9,-4264.2,-2807.8,-4025.8,-5464.0,False,False,False,True,,False,False,False,True,,False,True,True,True,False,True,False,False,True,False,,False,False,False,True,True,True,False
Illinois,188084,94545.0,136089.5,93821.7,90299.0,105544.0,,93819.9,76178.0,109178.1,81734.6,,79389.0,100342.9,83242.5,81020.0,54443.8,96926.0,186814.7,73524.8,116856.7,121461.0,,90426.9,55758.6,63685.4,84455.9,133547.2,104074.3,102372.0,-93539.0,-51994.5,-94262.3,-97785.0,-82540.0,,-94264.1,-111906.0,-78905.9,-106349.4,,-108695.0,-87741.1,-104841.5,-107064.0,-133640.2,-91158.0,-1269.3,-114559.2,-71227.3,-66623.0,,-97657.1,-132325.4,-124398.6,-103628.1,-54536.8,-84009.7,-85712.0,True,False,False,True,,False,False,True,False,,False,True,False,False,False,True,True,False,True,True,,False,False,False,False,True,True,True
Indiana,84433,43431.0,57952.5,43548.7,43283.0,51379.0,,41899.1,39398.0,56111.2,47057.4,,42758.0,54049.7,42966.0,46102.0,34416.3,49855.5,81595.6,39793.9,54820.3,59123.0,,41249.4,26232.2,28845.3,39337.4,59060.5,57204.6,53708.0,-41002.0,-26480.5,-40884.3,-41150.0,-33054.0,,-42533.9,-45035.0,-28321.8,-37375.6,,-41675.0,-30383.3,-41467.0,-38331.0,-50016.7,-34577.5,-2837.4,-44639.1,-29612.7,-25310.0,,-43183.6,-58200.8,-55587.7,-45095.6,-25372.5,-27228.4,-30725.0,True,True,False,True,,False,False,True,True,,False,True,False,True,False,True,True,False,True,True,,False,False,False,False,True,True,True
Iowa,68719,24414.0,34234.2,24612.2,24949.0,25039.0,,24661.0,15516.0,40765.7,22735.5,,22786.0,30157.3,28964.3,28089.0,10287.4,25641.5,27319.1,23775.3,32299.3,32908.0,,20369.1,3345.4,14042.7,29269.0,25532.9,28018.3,26117.0,-44305.0,-34484.8,-44106.8,-43770.0,-43680.0,,-44058.0,-53203.0,-27953.3,-45983.5,,-45933.0,-38561.7,-39754.7,-40630.0,-58431.6,-43077.5,-41399.9,-44943.7,-36419.7,-35811.0,,-48349.9,-65373.6,-54676.3,-39450.0,-43186.1,-40700.7,-42602.0,True,True,True,True,,True,False,True,False,,False,True,True,True,False,True,True,False,True,True,,False,False,False,True,True,True,True
Kansas,39095,16545.0,20401.9,16618.7,16441.0,14860.0,,16454.7,19136.0,23717.6,14919.3,,16408.0,18060.5,28435.0,20459.0,7587.3,15892.0,14484.1,8872.6,16257.1,22414.0,,14599.6,8853.6,10931.8,17988.3,16869.7,11723.3,13196.0,-22550.0,-18693.1,-22476.3,-22654.0,-24235.0,,-22640.3,-19959.0,-15377.4,-24175.7,,-22687.0,-21034.5,-10660.0,-18636.0,-31507.7,-23203.0,-24610.9,-30222.4,-22837.9,-16681.0,,-24495.4,-30241.3,-28163.2,-21106.7,-22225.3,-27371.7,-25899.0,True,True,False,False,,False,True,True,False,,False,True,True,True,False,False,False,False,False,True,,False,False,False,True,True,False,False
Kentucky,40657,26049.0,36258.9,25570.1,26839.0,30937.0,,24375.2,19239.0,61846.6,32659.1,,27681.0,32038.7,30053.7,27523.0,13524.6,26998.0,33709.0,25463.6,34742.0,37440.0,,15250.4,16199.8,17609.1,30617.7,28613.3,37421.6,30674.0,-14608.0,-4398.1,-15086.9,-13818.0,-9720.0,,-16281.8,-21418.0,21189.6,-7997.9,,-12976.0,-8618.3,-10603.3,-13134.0,-27132.4,-13659.0,-6948.0,-15193.4,-5915.0,-3217.0,,-25406.6,-24457.2,-23047.9,-10039.3,-12043.7,-3235.4,-9983.0,True,False,True,True,,False,False,False,True,,True,True,True,True,False,True,True,False,True,True,,False,False,False,True,True,True,True
Louisiana,19378,12696.0,11185.0,12698.8,12236.0,13779.0,,12552.6,3641.0,32809.5,9112.1,,13439.0,12347.2,12523.3,15924.0,9567.1,13764.0,11532.8,10040.6,12892.9,12649.0,,10210.1,0.0,8850.0,10617.4,16987.3,11276.1,9459.0,-6682.0,-8193.0,-6679.2,-7142.0,-5599.0,,-6825.4,-15737.0,13431.5,-10265.9,,-5939.0,-7030.8,-6854.7,-3454.0,-9810.9,-5614.0,-7845.2,-9337.4,-6485.1,-6729.0,,-9167.9,-19378.0,-10528.0,-8760.6,-2390.7,-8101.9,-9919.0,False,True,False,True,,False,False,False,False,,True,False,False,True,False,True,False,False,True,False,,False,False,False,False,True,False,False
Maine,2655,672.0,232.8,670.6,722.0,849.0,,620.2,443.0,1054.0,738.6,,824.0,760.1,1996.5,845.0,1013.8,608.0,869.9,701.9,960.1,940.0,,572.8,690.3,565.6,841.3,649.0,1422.8,831.0,-1983.0,-2422.2,-1984.4,-1933.0,-1806.0,,-2034.8,-2212.0,-1601.0,-1916.4,,-1831.0,-1894.9,-658.5,-1810.0,-1641.2,-2047.0,-1785.1,-1953.1,-1694.9,-1715.0,,-2082.2,-1964.7,-2089.4,-1813.7,-2006.0,-1232.2,-1824.0,False,False,True,True,,False,False,True,True,,True,True,True,True,True,False,True,True,True,True,,False,True,False,True,False,True,True
Maryland,24603,13080.0,13615.9,13173.1,13237.0,14037.0,,13379.3,5358.0,18543.6,14209.2,,12646.0,14840.9,10023.0,13961.0,13703.9,13473.0,15920.7,11524.0,16670.8,14860.0,,12098.4,10051.8,10017.6,14757.2,14433.5,16353.4,14239.0,-11523.0,-10987.1,-11429.9,-11366.0,-10566.0,,-11223.7,-19245.0,-6059.4,-10393.8,,-11957.0,-9762.1,-14580.0,-10642.0,-10899.1,-11130.0,-8682.3,-13079.0,-7932.2,-9743.0,,-12504.6,-14551.2,-14585.4,-9845.8,-10169.5,-8249.6,-10364.0,True,True,True,True,,True,False,True,True,,False,True,False,True,True,True,True,False,True,True,,False,False,False,True,True,True,True
Massachusetts,36654,19674.0,18777.1,19938.6,18632.0,26728.0,,17615.4,13482.0,32119.9,22989.5,,14449.0,16264.4,12643.1,20170.0,19808.1,18500.0,22626.9,16865.0,26059.1,20614.0,,16705.8,12204.9,14276.2,18353.8,12613.1,26347.2,21857.0,-16980.0,-17876.9,-16715.4,-18022.0,-9926.0,,-19038.6,-23172.0,-4534.1,-13664.5,,-22205.0,-20389.6,-24010.9,-16484.0,-16845.9,-18154.0,-14027.1,-19789.0,-10594.9,-16040.0,,-19948.2,-24449.1,-22377.8,-18300.2,-24040.9,-10306.8,-14797.0,False,True,False,True,,False,False,True,True,,False,False,False,True,True,False,True,False,True,True,,False,False,False,False,False,True,True
Michigan,100180,43521.0,74421.1,43090.3,42729.0,51386.0,,44593.5,35401.0,43151.8,47688.7,,45481.0,51121.8,44315.5,42622.0,45672.7,46102.5,73765.5,19453.5,47919.1,64313.0,,48378.4,31730.8,29550.6,35955.4,27609.5,36893.1,59713.0,-56659.0,-25758.9,-57089.7,-57451.0,-48794.0,,-55586.5,-64779.0,-57028.2,-52491.3,,-54699.0,-49058.2,-55864.5,-57558.0,-54507.3,-54077.5,-26414.5,-80726.5,-52260.9,-35867.0,,-51801.6,-68449.2,-70629.4,-64224.6,-72570.5,-63286.9,-40467.0,True,False,False,True,,True,False,False,True,,True,True,True,False,True,True,True,False,True,True,,True,False,False,False,False,False,True
Minnesota,83906,33096.0,43368.7,33618.5,34612.0,34813.0,,39057.7,34331.0,45785.3,35692.7,,39060.0,39546.9,33946.1,34671.0,15503.1,36917.0,46668.9,29905.9,37317.2,45179.0,,42910.8,16007.8,18657.1,32779.2,40982.1,37027.1,34793.0,-50810.0,-40537.3,-50287.5,-49294.0,-49093.0,,-44848.3,-49575.0,-38120.7,-48213.3,,-44846.0,-44359.1,-49959.9,-49235.0,-68402.9,-46989.0,-37237.1,-54000.1,-46588.8,-38727.0,,-40995.2,-67898.2,-65248.9,-51126.8,-42923.9,-46878.9,-49113.0,True,True,True,True,,True,True,True,True,,True,True,True,True,False,True,True,False,True,True,,True,False,False,False,True,True,True
Mississippi,18252,15246.0,16783.6,15255.6,14533.0,14515.0,,13950.7,6136.0,14667.0,17365.3,,14307.0,20536.2,15696.5,16506.0,6316.9,15769.5,25800.9,8447.2,16475.5,19731.0,,13100.9,365.0,8389.5,19298.5,15984.9,11047.6,13985.0,-3006.0,-1468.4,-2996.4,-3719.0,-3737.0,,-4301.3,-12116.0,-3585.0,-886.7,,-3945.0,2284.2,-2555.5,-1746.0,-11935.1,-2482.5,7548.9,-9804.8,-1776.5,1479.0,,-5151.1,-17887.0,-9862.5,1046.5,-2267.1,-7204.4,-4267.0,True,True,False,False,,False,False,False,True,,False,True,True,True,False,True,False,False,True,True,,False,False,False,True,True,False,False
Missouri,74391,38163.0,36429.8,37314.7,38315.0,36826.0,,40424.0,30999.0,52428.7,35940.7,,33532.0,47978.9,49848.6,38227.0,16962.4,42744.0,52056.5,31349.2,42771.1,54450.0,,45915.7,32481.3,28133.4,45326.7,40014.8,37868.5,31353.0,-36228.0,-37961.2,-37076.3,-36076.0,-37565.0,,-33967.0,-43392.0,-21962.3,-38450.3,,-40859.0,-26412.1,-24542.4,-36164.0,-57428.6,-31647.0,-22334.5,-43041.8,-31619.9,-19941.0,,-28475.3,-41909.7,-46257.6,-29064.3,-34376.2,-36522.5,-43038.0,False,False,True,False,,True,False,True,False,,False,True,True,True,False,True,True,False,True,True,,True,False,False,True,True,False,False
Montana,18744,14751.0,17338.6,14983.5,14963.0,14330.0,,13964.5,9652.0,22965.1,22515.4,,15123.0,23132.8,37858.8,17580.0,2153.2,18747.5,23644.0,13726.5,16495.8,24291.0,,13071.6,19528.6,8283.4,19673.9,18856.6,13866.7,12449.0,-3993.0,-1405.4,-3760.5,-3781.0,-4414.0,,-4779.5,-9092.0,4221.1,3771.4,,-3621.0,4388.8,19114.8,-1164.0,-16590.8,3.5,4900.0,-5017.5,-2248.2,5547.0,,-5672.4,784.6,-10460.6,929.9,112.6,-4877.3,-6295.0,True,True,True,False,,False,False,False,True,,True,False,False,True,False,True,False,False,True,False,,False,True,False,True,True,False,False
Nebraska,33619,17649.0,40248.2,17572.8,18386.0,16713.0,,18448.8,20038.0,31374.5,17488.9,,17183.0,21475.2,25363.0,19663.0,9571.1,21071.0,25521.1,12407.2,18565.6,26198.0,,20934.3,4533.2,11863.4,21190.3,23499.3,12023.4,12518.0,-15970.0,6629.2,-16046.2,-15233.0,-16906.0,,-15170.2,-13581.0,-2244.5,-16130.1,,-16436.0,-12143.8,-8256.0,-13956.0,-24047.9,-12548.0,-8097.9,-21211.8,-15053.4,-7421.0,,-12684.7,-29085.8,-21755.6,-12428.7,-10119.7,-21595.6,-21101.0,True,False,True,False,,True,True,True,False,,False,True,True,True,False,True,True,False,True,True,,True,False,False,True,True,False,False
Nevada,24194,15480.0,9217.9,15511.6,15287.0,18381.0,,15083.2,4110.0,19183.0,14304.2,,12087.0,16776.8,14341.1,12969.0,8399.3,16392.5,20703.9,14392.8,21630.1,19027.0,,15487.3,0.0,9829.9,17132.1,16267.0,22205.9,16248.0,-8714.0,-14976.1,-8682.4,-8907.0,-5813.0,,-9110.8,-20084.0,-5011.0,-9889.8,,-12107.0,-7417.2,-9852.9,-11225.0,-15794.7,-7801.5,-3490.1,-9801.2,-2563.9,-5167.0,,-8706.7,-24194.0,-14364.1,-7061.9,-7927.0,-1988.1,-7946.0,False,True,False,True,,False,False,True,False,,False,True,False,False,False,True,True,False,True,True,,True,False,False,True,True,True,True
New Hampshire,4083,1839.0,467.7,1822.6,1859.0,2231.0,,1659.9,2353.0,3116.1,3047.6,,1602.0,2258.5,2194.7,1911.0,2252.7,1981.5,3128.1,1657.2,2250.5,2828.0,,1371.5,2971.8,1232.7,2368.4,1716.7,2906.9,2197.0,-2244.0,-3615.3,-2260.4,-2224.0,-1852.0,,-2423.1,-1730.0,-966.9,-1035.4,,-2481.0,-1824.5,-1888.3,-2172.0,-1830.3,-2101.5,-954.9,-2425.8,-1832.5,-1255.0,,-2711.5,-1111.2,-2850.3,-1714.6,-2366.3,-1176.1,-1886.0,False,False,True,True,,False,True,True,True,,False,True,True,True,True,True,True,False,True,True,,False,True,False,True,False,True,True
New Jersey,58401,25803.0,39128.2,26349.0,26438.0,34874.0,,30682.3,30574.0,40795.1,22930.9,,21382.0,21294.3,15643.9,24595.0,34008.7,26752.0,31795.0,19903.1,31258.7,24398.0,,21026.8,9738.4,20107.3,24753.5,14601.7,32710.8,29746.0,-32598.0,-19272.8,-32052.0,-31963.0,-23527.0,,-27718.7,-27827.0,-17605.9,-35470.1,,-37019.0,-37106.7,-42757.1,-33806.0,-24392.3,-31649.0,-26606.0,-38497.9,-27142.3,-34003.0,,-37374.2,-48662.6,-38293.7,-33647.5,-43799.3,-25690.2,-28655.0,True,True,True,True,,True,True,True,False,,False,False,False,False,True,True,True,False,True,False,,False,False,False,False,False,True,True
New Mexico,22131,14091.0,21758.5,14299.1,14246.0,15342.0,,13351.7,4355.0,22542.9,19706.2,,14198.0,16981.2,14682.0,14113.0,5859.9,18388.5,31919.1,14439.9,20002.9,22503.0,,13873.6,11922.1,8389.5,16661.4,19059.1,20079.8,18707.0,-8040.0,-372.5,-7831.9,-7885.0,-6789.0,,-8779.3,-17776.0,411.9,-2424.8,,-7933.0,-5149.8,-7449.0,-8018.0,-16271.1,-3742.5,9788.1,-7691.1,-2128.1,372.0,,-8257.4,-10208.9,-13741.5,-5469.6,-3071.9,-2051.2,-3424.0,True,True,True,True,,False,False,True,True,,True,True,True,True,False,True,False,True,True,True,,False,False,False,True,True,True,True
New York,64189,32823.0,21964.7,32049.1,33050.0,40430.0,,33585.8,22970.0,57065.4,45451.0,,28364.0,34611.8,27085.4,35737.0,56403.6,36052.5,56919.0,27388.7,37959.6,37210.0,,26871.6,26558.0,21519.9,33378.1,23945.3,43847.3,36180.0,-31366.0,-42224.3,-32139.9,-31139.0,-23759.0,,-30603.2,-41219.0,-7123.6,-18738.0,,-35825.0,-29577.2,-37103.6,-28452.0,-7785.4,-28136.5,-7270.0,-36800.3,-26229.4,-26979.0,,-37317.4,-37631.0,-42669.1,-30810.9,-40243.7,-20341.7,-28009.0,False,False,True,True,,True,False,True,True,,False,True,False,True,True,True,True,False,True,True,,False,False,False,True,False,True,True
