,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,183,270.0,,280.6,,233.0,208.0,,,,,185.0,,205.0,,273.8,,83.8,237.5,,183.0,302.7,,262.0,,,,232.6,,,,225.0,,87.0,,97.6,,50.0,25.0,,,,,2.0,,22.0,,90.8,,-99.2,54.5,,0.0,119.7,,79.0,,,,49.6,,,,42.0,,,False,,True,True,,,,,True,,True,,False,,False,True,,True,False,,True,,,,True,,,,True,
01023,19,12.0,,9.6,,12.0,7.0,,,,,14.2,,84.0,,75.7,,12.1,,,5.3,25.2,,25.0,,,,,,,,35.0,,-7.0,,-9.4,,-7.0,-12.0,,,,,-4.8,,65.0,,56.7,,-6.9,,,-13.7,6.2,,6.0,,,,,,,,16.0,,,False,,False,False,,,,,True,,False,,False,,True,,,False,True,,True,,,,,,,,False,
01025,147,252.0,,251.8,,190.0,166.0,,,,,168.0,,182.0,,156.5,,27.5,,,184.8,209.7,,365.0,,,,207.0,,,,81.0,,105.0,,104.8,,43.0,19.0,,,,,21.0,,35.0,,9.5,,-119.5,,,37.8,62.7,,218.0,,,,60.0,,,,-66.0,,,True,,True,True,,,,,True,,True,,True,,False,,,True,True,,False,,,,True,,,,True,
01027,103,132.0,,117.8,,113.0,111.0,,,,,89.1,,54.0,,224.5,,22.8,,,38.3,125.3,,178.0,,,,,,,,165.0,,29.0,,14.8,,10.0,8.0,,,,,-13.9,,-49.0,,121.5,,-80.2,,,-64.7,22.3,,75.0,,,,,,,,62.0,,,True,,True,True,,,,,True,,False,,False,,False,,,False,True,,False,,,,,,,,False,
01029,91,123.0,,117.4,,108.0,88.0,,,,,85.1,,80.0,,228.5,,21.6,,,95.0,156.4,,195.0,,,,,,,,116.0,145.9,32.0,,26.4,,17.0,-3.0,,,,,-5.9,,-11.0,,137.5,,-69.4,,,4.0,65.4,,104.0,,,,,,,,25.0,54.9,,True,,True,True,,,,,True,,True,,False,,False,,,True,False,,False,,,,,,,,True,False
01031,388,444.0,,471.7,,388.0,513.0,,,,,349.7,,195.0,,387.2,,172.2,364.5,,313.6,404.7,,512.0,,,,327.6,,,,381.0,,56.0,,83.7,,0.0,125.0,,,,,-38.3,,-193.0,,-0.8,,-215.8,-23.5,,-74.4,16.7,,124.0,,,,-60.4,,,,-7.0,,,False,,True,False,,,,,True,,False,,True,,False,True,,False,True,,False,,,,False,,,,True,
01033,688,366.0,,371.2,,360.0,461.0,,,,,278.6,,368.0,,296.7,,80.9,317.0,,272.0,402.1,,419.0,,,,285.5,,,,341.0,,-322.0,,-316.8,,-328.0,-227.0,,,,,-409.4,,-320.0,,-391.3,,-607.1,-371.0,,-416.0,-285.9,,-269.0,,,,-402.5,,,,-347.0,,,True,,False,True,,,,,False,,True,,False,,False,False,,False,True,,True,,,,False,,,,False,
01035,77,21.0,,22.9,,20.0,0.0,,,,,24.2,,46.0,,25.6,,10.2,,,2.1,22.2,0.0,23.0,,,,,,,,30.0,,-56.0,,-54.1,,-57.0,-77.0,,,,,-52.8,,-31.0,,-51.4,,-66.8,,,-74.9,-54.8,-77.0,-54.0,,,,,,,,-47.0,,,True,,False,False,,,,,True,,True,,True,,False,,,False,True,False,True,,,,,,,,True,
01037,57,21.0,,21.3,,21.0,19.0,,,,,16.4,,27.0,,41.5,,10.1,,,8.0,26.7,0.0,26.0,,,,,,,,36.0,,-36.0,,-35.7,,-36.0,-38.0,,,,,-40.6,,-30.0,,-15.5,,-46.9,,,-49.0,-30.3,-57.0,-31.0,,,,,,,,-21.0,,,True,,False,False,,,,,False,,True,,True,,False,,,False,True,False,True,,,,,,,,True,
01039,283,300.0,,283.1,,226.0,325.0,,,,,318.8,,182.0,,240.0,,86.6,263.0,,199.5,288.7,0.2,417.0,,,,156.3,,,,158.0,,17.0,,0.1,,-57.0,42.0,,,,,35.8,,-101.0,,-43.0,,-196.4,-20.0,,-83.5,5.7,-282.8,134.0,,,,-126.7,,,,-125.0,,,True,,False,False,,,,,False,,False,,False,,False,False,,False,True,False,False,,,,False,,,,False,
01041,65,69.0,,72.4,,51.0,15.0,,,,,45.6,,51.0,,128.5,,23.3,,,20.5,66.9,0.0,100.0,,,,,,,,80.0,,4.0,,7.4,,-14.0,-50.0,,,,,-19.4,,-14.0,,63.5,,-41.7,,,-44.5,1.9,-65.0,35.0,,,,,,,,15.0,,,False,,False,False,,,,,False,,False,,False,,False,,,False,True,False,False,,,,,,,,False,
01043,1181,684.0,,731.1,,587.0,1181.0,,,,,446.9,,503.0,,606.6,,86.9,600.0,,533.1,845.5,4.2,1065.0,,,,419.0,,,,396.0,,-497.0,,-449.9,,-594.0,0.0,,,,,-734.1,,-678.0,,-574.4,,-1094.1,-581.0,,-647.9,-335.5,-1176.8,-116.0,,,,-762.0,,,,-785.0,,,True,,False,True,,,,,False,,False,,False,,False,False,,False,True,False,True,,,,False,,,,False,
01045,400,441.0,,480.0,,249.0,188.0,,,,,586.5,,188.0,,227.1,,81.3,253.5,,371.3,295.0,0.6,630.0,,,,311.3,,,,154.0,,41.0,,80.0,,-151.0,-212.0,,,,,186.5,,-212.0,,-172.9,,-318.7,-146.5,,-28.7,-105.0,-399.4,230.0,,,,-88.7,,,,-246.0,,,False,,False,False,,,,,False,,False,,False,,False,False,,True,False,False,False,,,,False,,,,False,
01047,195,60.0,,63.7,,51.0,42.0,,,,,50.6,,171.0,,102.7,,33.1,66.5,,9.8,64.8,0.0,47.0,,,,36.3,,,,52.0,,-135.0,,-131.3,,-144.0,-153.0,,,,,-144.4,,-24.0,,-92.3,,-161.9,-128.5,,-185.2,-130.2,-195.0,-148.0,,,,-158.7,,,,-143.0,,,True,,False,False,,,,,False,,True,,True,,False,True,,False,True,False,False,,,,False,,,,False,
01049,755,879.0,,882.3,,834.0,1161.0,,,,,484.3,,533.0,,1051.2,,126.6,1012.5,,801.3,876.8,333.1,1262.0,,,,466.6,,,,730.0,,124.0,,127.3,,79.0,406.0,,,,,-270.7,,-222.0,,296.2,,-628.4,257.5,,46.3,121.8,-421.9,507.0,,,,-288.4,,,,-25.0,,,False,,True,False,,,,,False,,False,,False,,False,False,,True,True,False,False,,,,False,,,,True,
01051,430,378.0,,383.8,,327.0,322.0,,,,,345.0,,247.0,,345.9,,129.2,388.5,,272.2,394.5,2.2,401.0,,,,339.4,,,,351.0,,-52.0,,-46.2,,-103.0,-108.0,,,,,-85.0,,-183.0,,-84.1,,-300.8,-41.5,,-157.8,-35.5,-427.8,-29.0,,,,-90.6,,,,-79.0,,,True,,False,False,,,,,False,,False,,False,,False,True,,False,True,False,True,,,,False,,,,False,
01053,142,69.0,,69.0,,60.0,5.0,,,,,74.1,,269.0,,109.4,,44.5,96.0,,14.8,69.2,0.1,58.0,,,,54.9,,,,105.0,,-73.0,,-73.0,,-82.0,-137.0,,,,,-67.9,,127.0,,-32.6,,-97.5,-46.0,,-127.2,-72.8,-141.9,-84.0,,,,-87.1,,,,-37.0,,,True,,False,False,,,,,True,,False,,True,,False,True,,False,True,False,False,,,,False,,,,True,
01055,1025,942.0,,915.0,,779.0,1943.0,,,,,652.4,,652.0,,796.2,,168.3,714.5,,738.6,881.1,5.1,1070.0,,,,647.9,,,,847.0,,-83.0,,-110.0,,-246.0,918.0,,,,,-372.6,,-373.0,,-228.8,,-856.7,-310.5,,-286.4,-143.9,-1019.9,45.0,,,,-377.1,,,,-178.0,,,False,,False,False,,,,,False,,False,,False,,False,False,,False,False,False,True,,,,False,,,,False,
01057,145,114.0,,117.5,,84.0,68.0,,,,,79.4,,84.0,,170.2,,33.0,,,48.6,103.6,0.4,130.0,,,,,,,,140.0,,-31.0,,-27.5,,-61.0,-77.0,,,,,-65.6,,-61.0,,25.2,,-112.0,,,-96.4,-41.4,-144.6,-15.0,,,,,,,,-5.0,,,True,,False,False,,,,,False,,False,,True,,False,,,False,False,False,True,,,,,,,,True,
01059,271,234.0,,228.6,,221.0,135.0,,,,,192.5,,245.0,,297.2,,80.4,255.0,,109.7,219.8,185.5,346.0,,,,150.6,,,,377.0,,-37.0,,-42.4,,-50.0,-136.0,,,,,-78.5,,-26.0,,26.2,,-190.6,-16.0,,-161.3,-51.2,-85.5,75.0,,,,-120.4,,,,106.0,,,False,,False,False,,,,,False,,True,,True,,False,True,,False,False,False,False,,,,False,,,,False,
01061,181,231.0,,247.8,,137.0,140.0,,,,,285.8,,120.0,,165.2,,73.9,,,117.9,175.6,0.1,320.0,,,,,,,,79.0,,50.0,,66.8,,-44.0,-41.0,,,,,104.8,,-61.0,,-15.8,,-107.1,,,-63.1,-5.4,-180.9,139.0,,,,,,,,-102.0,,,False,,True,True,,,,,False,,False,,True,,False,,,False,True,False,False,,,,,,,,False,
01063,34,39.0,,29.2,,19.0,0.0,,,,,13.0,,29.0,,52.9,,8.2,,,2.1,20.4,0.0,26.0,,,,,,,,29.0,27.3,5.0,,-4.8,,-15.0,-34.0,,,,,-21.0,,-5.0,,18.9,,-25.8,,,-31.9,-13.6,-34.0,-8.0,,,,,,,,-5.0,-6.7,,True,,False,False,,,,,False,,False,,False,,False,,,False,False,False,False,,,,,,,,False,False
01065,100,99.0,,100.8,,83.0,42.0,,,,,87.1,,90.0,,139.7,,37.6,,,21.5,89.4,0.3,121.0,,,,,,,,33.0,,-1.0,,0.8,,-17.0,-58.0,,,,,-12.9,,-10.0,,39.7,,-62.4,,,-78.5,-10.6,-99.7,21.0,,,,,,,,-67.0,,,True,,False,False,,,,,False,,False,,False,,False,,,False,False,False,False,,,,,,,,False,
01067,92,261.0,,277.9,,114.0,43.0,,,,,385.7,,53.0,,131.8,,46.0,,,138.1,136.4,77.2,358.0,,,,,,,,25.0,,169.0,,185.9,,22.0,-49.0,,,,,293.7,,-39.0,,39.8,,-46.0,,,46.1,44.4,-14.8,266.0,,,,,,,,-67.0,,,False,,True,True,,,,,False,,True,,True,,True,,,True,True,True,False,,,,,,,,True,
01069,539,1647.0,,1572.6,,704.0,139.0,,,,,2535.2,,454.0,,320.3,,270.5,683.0,,1390.0,634.0,594.8,2349.0,,,,1035.3,,,,245.0,665.1,1108.0,,1033.6,,165.0,-400.0,,,,,1996.2,,-85.0,,-218.7,,-268.5,144.0,,851.0,95.0,55.8,1810.0,,,,496.3,,,,-294.0,126.1,,True,,True,True,,,,,False,,True,,True,,True,True,,True,True,True,False,,,,True,,,,True,True
01071,555,555.0,,561.2,,467.0,747.0,,,,,365.1,,427.0,,608.3,,87.6,567.5,,448.7,480.4,213.7,895.0,,,,308.8,,,,355.0,,0.0,,6.2,,-88.0,192.0,,,,,-189.9,,-128.0,,53.3,,-467.4,12.5,,-106.3,-74.6,-341.3,340.0,,,,-246.2,,,,-200.0,,,False,,False,False,,,,,False,,False,,False,,False,False,,False,False,False,False,,,,False,,,,False,
01073,4385,2805.0,,2725.1,2790.8,2660.0,2824.0,,,,,3778.7,,2506.0,,2536.5,,957.2,2683.5,,2585.5,3481.7,178.7,2889.0,,,,1975.7,3244.0,,,2599.0,,-1580.0,,-1659.9,-1594.2,-1725.0,-1561.0,,,,,-606.3,,-1879.0,,-1848.5,,-3427.8,-1701.5,,-1799.5,-903.3,-4206.3,-1496.0,,,,-2409.3,-1141.0,,,-1786.0,,,False,False,False,True,,,,,True,,False,,False,,False,False,,False,True,False,True,,,,False,True,,,False,
01075,91,132.0,,127.8,,98.0,91.0,,,,,146.0,,77.0,,155.7,,29.0,,,86.6,119.7,44.2,179.0,,,,,,,,98.0,90.6,41.0,,36.8,,7.0,0.0,,,,,55.0,,-14.0,,64.7,,-62.0,,,-4.4,28.7,-46.8,88.0,,,,,,,,7.0,-0.4,,True,,True,True,,,,,False,,True,,False,,False,,,True,True,False,False,,,,,,,,True,True
01077,966,699.0,,675.0,,628.0,636.0,,,,,633.2,,599.0,,587.6,,118.1,540.0,,731.3,744.9,318.4,953.0,,,,476.9,,,,562.0,,-267.0,,-291.0,,-338.0,-330.0,,,,,-332.8,,-367.0,,-378.4,,-847.9,-426.0,,-234.7,-221.1,-647.6,-13.0,,,,-489.1,,,,-404.0,,,False,,False,False,,,,,False,,False,,False,,False,False,,True,True,False,True,,,,False,,,,False,
01079,209,204.0,,207.6,,204.0,257.0,,,,,163.1,,198.0,,256.3,,49.2,220.0,,179.4,215.3,70.9,352.0,,,,,,,,0.0,,-5.0,,-1.4,,-5.0,48.0,,,,,-45.9,,-11.0,,47.3,,-159.8,11.0,,-29.6,6.3,-138.1,143.0,,,,,,,,-209.0,,,True,,False,False,,,,,False,,False,,False,,False,False,,False,False,False,False,,,,,,,,False,
01081,654,339.0,,338.0,,273.0,196.0,,,,,396.3,,529.0,,272.9,,280.9,398.0,,253.3,407.9,7.9,346.0,,,,377.0,155.0,,,376.0,,-315.0,,-316.0,,-381.0,-458.0,,,,,-257.7,,-125.0,,-381.1,,-373.1,-256.0,,-400.7,-246.1,-646.1,-308.0,,,,-277.0,-499.0,,,-278.0,,,False,,False,False,,,,,True,,True,,False,,False,True,,False,True,False,True,,,,True,False,,,True,
01083,716,552.0,,509.3,,533.0,455.0,,,,,458.2,,564.0,,500.7,,127.0,592.0,,547.4,632.5,467.7,651.0,,,,371.3,,,,345.0,,-164.0,,-206.7,,-183.0,-261.0,,,,,-257.8,,-152.0,,-215.3,,-589.0,-124.0,,-168.6,-83.5,-248.3,-65.0,,,,-344.7,,,,-371.0,,,False,,False,False,,,,,False,,True,,False,,False,True,,False,True,False,True,,,,False,,,,False,
01085,45,39.0,,34.4,,22.0,0.0,,,,,37.5,,22.0,,50.6,,15.1,,,13.0,55.3,0.1,47.0,,,,,,,,0.0,,-6.0,,-10.6,,-23.0,-45.0,,,,,-7.5,,-23.0,,5.6,,-29.9,,,-32.0,10.3,-44.9,2.0,,,,,,,,-45.0,,,False,,False,False,,,,,False,,False,,True,,False,,,False,False,False,True,,,,,,,,False,
01087,114,21.0,,16.6,,21.0,21.0,,,,,34.4,,46.0,,84.7,,19.5,,,5.0,39.7,0.0,36.0,,,,,,,,8.0,,-93.0,,-97.4,,-93.0,-93.0,,,,,-79.6,,-68.0,,-29.3,,-94.5,,,-109.0,-74.3,-114.0,-78.0,,,,,,,,-106.0,,,False,,False,False,,,,,True,,True,,True,,False,,,False,True,False,True,,,,,,,,False,
01089,1885,1161.0,,1150.8,1345.0,1141.0,1141.0,,,,,1131.6,,1543.0,,1041.9,,483.5,1151.0,,1083.3,1445.3,58.2,1315.0,,,,726.5,1198.0,,,680.0,,-724.0,,-734.2,-540.0,-744.0,-744.0,,,,,-753.4,,-342.0,,-843.1,,-1401.5,-734.0,,-801.7,-439.7,-1826.8,-570.0,,,,-1158.5,-687.0,,,-1205.0,,,False,True,False,False,,,,,False,,True,,False,,False,False,,False,True,False,True,,,,False,True,,,False,
01091,120,156.0,,153.1,,130.0,4.0,,,,,105.9,,140.0,,244.1,,28.4,,,98.5,177.7,0.2,289.0,,,,,,,,73.0,,36.0,,33.1,,10.0,-116.0,,,,,-14.1,,20.0,,124.1,,-91.6,,,-21.5,57.7,-119.8,169.0,,,,,,,,-47.0,,,True,,True,False,,,,,True,,True,,False,,False,,,True,False,False,False,,,,,,,,False,
01093,190,117.0,,107.5,,94.0,68.0,,,,,110.8,,164.0,,106.1,,32.3,107.0,,74.9,126.2,0.2,121.0,,,,84.4,,,,139.0,,-73.0,,-82.5,,-96.0,-122.0,,,,,-79.2,,-26.0,,-83.9,,-157.7,-83.0,,-115.1,-63.8,-189.8,-69.0,,,,-105.6,,,,-51.0,,,False,,False,False,,,,,False,,True,,False,,False,False,,False,True,False,True,,,,False,,,,True,
01095,868,423.0,,418.2,,392.0,556.0,,,,,273.5,,642.0,,368.9,,113.9,423.0,,310.1,439.4,5.6,482.0,,,,265.1,,,,642.0,,-445.0,,-449.8,,-476.0,-312.0,,,,,-594.5,,-226.0,,-499.1,,-754.1,-445.0,,-557.9,-428.6,-862.4,-386.0,,,,-602.9,,,,-226.0,,,False,,False,True,,,,,False,,True,,False,,False,False,,False,True,False,True,,,,False,,,,True,
01097,1585,7896.0,,8165.1,1432.2,3130.0,1566.0,,,,,5597.5,,3630.0,,822.6,,418.9,4730.0,,7578.3,2836.0,1133.2,,,,,4433.6,42167.0,,,41309.0,,6311.0,,6580.1,-152.8,1545.0,-19.0,,,,,4012.5,,2045.0,,-762.4,,-1166.1,3145.0,,5993.3,1251.0,-451.8,,,,,2848.6,40582.0,,,39724.0,,,False,True,True,True,,,,,True,,True,,True,,True,True,,True,True,True,,,,,True,False,,,False,
01099,76,66.0,,63.9,,61.0,2.0,,,,,36.6,,108.0,,108.4,,11.6,,,11.4,67.0,0.0,111.0,,,,,,,,85.0,,-10.0,,-12.1,,-15.0,-74.0,,,,,-39.4,,32.0,,32.4,,-64.4,,,-64.6,-9.0,-76.0,35.0,,,,,,,,9.0,,,False,,False,False,,,,,False,,False,,False,,False,,,False,True,False,False,,,,,,,,True,
01101,1305,1839.0,,1905.1,1340.0,1412.0,1727.0,,,,,1787.8,,718.0,,1105.1,,268.9,1305.5,,1345.3,2005.3,871.1,2458.0,,,,1263.4,3009.0,,,1614.0,,534.0,,600.1,35.0,107.0,422.0,,,,,482.8,,-587.0,,-199.9,,-1036.1,0.5,,40.3,700.3,-433.9,1153.0,,,,-41.6,1704.0,,,309.0,,,False,True,True,True,,,,,True,,False,,True,,False,True,,True,False,True,False,,,,True,False,,,True,
01103,1161,705.0,,709.8,,643.0,623.0,,,,,543.5,,681.0,,702.3,,156.1,766.0,,543.6,831.9,21.3,896.0,,,,558.1,,,,520.0,720.3,-456.0,,-451.2,,-518.0,-538.0,,,,,-617.5,,-480.0,,-458.7,,-1004.9,-395.0,,-617.4,-329.1,-1139.7,-265.0,,,,-602.9,,,,-641.0,-440.7,,True,,False,False,,,,,False,,False,,False,,False,True,,False,True,False,True,,,,False,,,,False,True
01105,49,36.0,,20.1,,20.0,0.0,,,,,37.4,,27.0,,26.2,,4.4,,,17.1,44.0,0.0,38.0,,,,,,,,6.0,,-13.0,,-28.9,,-29.0,-49.0,,,,,-11.6,,-22.0,,-22.8,,-44.6,,,-31.9,-5.0,-49.0,-11.0,,,,,,,,-43.0,,,False,,False,False,,,,,True,,False,,False,,False,,,False,True,False,True,,,,,,,,False,
