,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01021,349,365.0,246.0,,,,,191.0,,267.4,143.3,,167.7,,,351.4,,236.0,16.0,-103.0,,,,,-158.0,,-81.6,-205.7,,-181.3,,,2.4,,-113.0,False,,,,,False,,False,False,,False,,,True,,False
01023,36,70.0,35.0,,,,,67.0,,55.0,23.1,,11.1,,,,,121.0,34.0,-1.0,,,,,31.0,,19.0,-12.9,,-24.9,,,,,85.0,True,,,,,True,,True,True,,True,,,,,False
01025,280,365.0,277.0,,,,,162.0,,253.4,42.1,,205.1,,,306.3,,149.0,85.0,-3.0,,,,,-118.0,,-26.6,-237.9,,-74.9,,,26.3,,-131.0,True,,,,,False,,True,False,,True,,,True,,False
01027,202,165.0,148.0,,,,,46.0,,120.1,43.0,,68.5,,,,,151.0,-37.0,-54.0,,,,,-156.0,,-81.9,-159.0,,-133.5,,,,,-51.0,False,,,,,False,,False,False,,False,,,,,False
01029,191,215.0,152.0,,,,,65.0,,144.3,45.5,,77.8,,,,,59.0,24.0,-39.0,,,,,-126.0,,-46.7,-145.5,,-113.2,,,,,-132.0,False,,,,,False,,False,False,,False,,,,,False
01031,626,345.0,461.0,,,,,212.0,,328.6,212.4,,167.8,,,204.9,,433.0,-281.0,-165.0,,,,,-414.0,,-297.4,-413.6,,-458.2,,,-421.1,,-193.0,True,,,,,False,,False,False,,False,,,False,,True
01033,894,410.0,582.0,,,,,377.0,,284.6,119.3,,189.6,,,356.1,,387.0,-484.0,-312.0,,,,,-517.0,,-609.4,-774.6,,-704.4,,,-537.9,,-507.0,True,,,,,False,,False,False,,False,,,False,,False
01035,93,35.0,0.0,,,,,43.0,,26.8,15.1,,4.7,0.0,,,,14.0,-58.0,-93.0,,,,,-50.0,,-66.2,-77.9,,-88.3,-93.0,,,,-79.0,False,,,,,True,,False,False,,False,False,,,,False
01037,73,40.0,23.0,,,,,24.0,,42.1,24.0,,9.6,0.0,,,,63.0,-33.0,-50.0,,,,,-49.0,,-30.9,-49.0,,-63.4,-73.0,,,,-10.0,False,,,,,False,,True,False,,False,False,,,,True
01039,468,320.0,450.0,,,,,201.0,,316.2,144.7,,258.7,0.2,,138.4,,288.0,-148.0,-18.0,,,,,-267.0,,-151.8,-323.3,,-209.3,-467.8,,-329.6,,-180.0,True,,,,,False,,False,False,,False,False,,False,,False
01041,103,80.0,5.0,,,,,51.0,,55.9,34.1,,33.2,0.0,,,,39.0,-23.0,-98.0,,,,,-52.0,,-47.1,-68.9,,-69.8,-103.0,,,,-64.0,False,,,,,False,,False,False,,False,False,,,,False
01043,1615,450.0,653.0,,,,,563.0,,346.1,160.7,,147.6,143.4,,278.0,,527.0,-1165.0,-962.0,,,,,-1052.0,,-1268.9,-1454.3,,-1467.4,-1471.6,,-1337.0,,-1088.0,True,,,,,True,,False,False,,False,False,,False,,True
01045,619,190.0,638.0,,,,,185.0,,178.0,136.8,,63.9,0.4,,167.7,,420.0,-429.0,19.0,,,,,-434.0,,-441.0,-482.2,,-555.1,-618.6,,-451.3,,-199.0,True,,,,,False,,False,False,,False,False,,False,,True
01047,233,115.0,81.0,,,,,139.0,,93.6,52.4,,31.9,0.2,,72.8,,57.0,-118.0,-152.0,,,,,-94.0,,-139.4,-180.7,,-201.1,-232.8,,-160.2,,-176.0,False,,,,,True,,False,False,,False,False,,False,,False
01049,1335,1210.0,3049.0,,,,,550.0,,1009.9,161.0,,1012.8,25.6,,775.6,,1303.0,-125.0,1714.0,,,,,-785.0,,-325.1,-1174.0,,-322.2,-1309.4,,-559.4,,-32.0,False,,,,,False,,False,False,,False,False,,False,,True
01051,686,640.0,776.0,,,,,229.0,,486.0,170.3,,452.5,6.9,,441.7,,620.0,-46.0,90.0,,,,,-457.0,,-200.0,-515.7,,-233.5,-679.1,,-244.3,,-66.0,False,,,,,False,,False,False,,False,False,,False,,False
01053,189,170.0,14.0,,,,,239.0,,156.5,92.2,,50.5,0.2,,74.3,,219.0,-19.0,-175.0,,,,,50.0,,-32.5,-96.8,,-138.5,-188.8,,-114.7,,30.0,False,,,,,False,,False,False,,False,False,,False,,False
01055,1517,500.0,260.0,,,,,688.0,,395.7,334.9,,366.2,6.2,,334.5,,327.0,-1017.0,-1257.0,,,,,-829.0,,-1121.3,-1182.1,,-1150.8,-1510.8,,-1182.5,,-1190.0,False,,,,,True,,False,False,,False,False,,False,,False
01057,209,105.0,77.0,,,,,87.0,,51.4,47.8,,64.4,0.5,,,,23.0,-104.0,-132.0,,,,,-122.0,,-157.6,-161.2,,-144.6,-208.5,,,,-186.0,False,,,,,False,,False,False,,False,False,,,,False
01059,436,250.0,151.0,,,,,260.0,,152.2,71.0,,77.1,8.9,,172.9,,357.0,-186.0,-285.0,,,,,-176.0,,-283.8,-365.0,,-358.9,-427.1,,-263.1,,-79.0,False,,,,,True,,False,False,,False,False,,False,,True
01061,296,275.0,563.0,,,,,132.0,,366.6,127.0,,86.0,0.1,,,,375.0,-21.0,267.0,,,,,-164.0,,70.6,-169.0,,-210.0,-295.9,,,,79.0,False,,,,,False,,False,False,,False,False,,,,False
01063,48,95.0,0.0,,,,,23.0,,73.6,11.9,,23.7,0.0,,,,137.0,47.0,-48.0,,,,,-25.0,,25.6,-36.1,,-24.3,-48.0,,,,89.0,False,,,,,True,,True,True,,True,False,,,,False
01065,166,155.0,46.0,,,,,70.0,,128.2,34.8,,35.9,0.7,,,,99.0,-11.0,-120.0,,,,,-96.0,,-37.8,-131.2,,-130.1,-165.3,,,,-67.0,False,,,,,False,,False,False,,False,False,,,,False
01067,214,180.0,128.0,,,,,62.0,,198.5,57.1,,38.5,0.1,,,,243.0,-34.0,-86.0,,,,,-152.0,,-15.5,-156.9,,-175.5,-213.9,,,,29.0,False,,,,,False,,True,False,,False,False,,,,True
01069,1216,755.0,564.0,,,,,425.0,,1085.4,425.8,,268.7,1.3,,466.9,,1753.0,-461.0,-652.0,,,,,-791.0,,-130.6,-790.2,,-947.3,-1214.7,,-749.1,,537.0,False,,,,,False,,True,False,,False,False,,False,,False
01071,893,645.0,1009.0,,,,,457.0,,512.9,139.1,,524.6,1.8,,324.0,,621.0,-248.0,116.0,,,,,-436.0,,-380.1,-753.9,,-368.4,-891.2,,-569.0,,-272.0,True,,,,,False,,False,False,,False,False,,False,,False
01073,6257,3755.0,4471.0,,,,,2472.0,,2520.7,1679.2,,2922.9,236.8,,2283.5,,2615.0,-2502.0,-1786.0,,,,,-3785.0,,-3736.3,-4577.8,,-3334.1,-6020.2,,-3973.5,,-3642.0,True,,,,,False,,False,False,,False,False,,False,,False
01075,163,80.0,50.0,,,,,80.0,,50.9,30.4,,50.3,0.3,,,,43.0,-83.0,-113.0,,,,,-83.0,,-112.1,-132.6,,-112.7,-162.7,,,,-120.0,False,,,,,False,,False,False,,False,False,,,,False
01077,1345,535.0,647.0,,,,,619.0,,424.6,160.2,,268.2,202.8,,408.4,,543.0,-810.0,-698.0,,,,,-726.0,,-920.4,-1184.8,,-1076.8,-1142.2,,-936.6,,-802.0,True,,,,,True,,False,False,,False,False,,False,,True
01079,349,295.0,267.0,,,,,210.0,,232.6,81.5,,177.8,99.4,,,,80.0,-54.0,-82.0,,,,,-139.0,,-116.4,-267.5,,-171.2,-249.6,,,,-269.0,False,,,,,False,,False,False,,False,False,,,,False
01081,931,820.0,1046.0,,,,,546.0,,668.9,617.4,,529.3,4.9,,562.7,,556.0,-111.0,115.0,,,,,-385.0,,-262.1,-313.6,,-401.7,-926.1,,-368.3,,-375.0,False,,,,,False,,False,False,,False,False,,False,,False
01083,1091,1245.0,1762.0,,,,,573.0,,1055.7,166.9,,982.7,630.3,,576.5,,1469.0,154.0,671.0,,,,,-518.0,,-35.3,-924.1,,-108.3,-460.7,,-514.5,,378.0,False,,,,,False,,True,False,,True,False,,False,,False
01085,77,85.0,0.0,,,,,20.0,,53.0,11.6,,17.8,0.1,,,,0.0,8.0,-77.0,,,,,-57.0,,-24.0,-65.4,,-59.2,-76.9,,,,-77.0,False,,,,,False,,False,False,,False,False,,,,False
01087,139,105.0,35.0,,,,,30.0,,76.4,27.8,,17.6,0.0,,,,221.0,-34.0,-104.0,,,,,-109.0,,-62.6,-111.2,,-121.4,-139.0,,,,82.0,False,,,,,False,,False,False,,False,False,,,,False
01089,2703,1505.0,1614.0,,,,,1564.0,,1143.1,931.7,,1238.3,184.0,,762.8,,918.0,-1198.0,-1089.0,,,,,-1139.0,,-1559.9,-1771.3,,-1464.7,-2519.0,,-1940.2,,-1785.0,True,,,,,True,,False,False,,False,False,,False,,False
01091,259,675.0,9.0,,,,,112.0,,431.3,31.3,,509.0,86.9,,,,252.0,416.0,-250.0,,,,,-147.0,,172.3,-227.7,,250.0,-172.1,,,,-7.0,True,,,,,True,,True,True,,True,True,,,,True
01093,256,140.0,91.0,,,,,171.0,,119.2,69.1,,43.9,0.3,,,,153.0,-116.0,-165.0,,,,,-85.0,,-136.8,-186.9,,-212.1,-255.7,,,,-103.0,False,,,,,True,,False,False,,False,False,,,,True
01095,1113,560.0,769.0,,,,,676.0,,416.1,240.1,,408.7,10.3,,342.7,,597.0,-553.0,-344.0,,,,,-437.0,,-696.9,-872.9,,-704.3,-1102.7,,-770.3,,-516.0,True,,,,,True,,False,False,,False,False,,False,,True
01097,4514,1140.0,880.0,,,,,2318.0,,778.7,803.1,,824.0,23.3,,958.2,,631.0,-3374.0,-3634.0,,,,,-2196.0,,-3735.3,-3710.9,,-3690.0,-4490.7,,-3555.8,,-3883.0,False,,,,,True,,False,False,,False,False,,False,,False
01099,114,65.0,0.0,,,,,95.0,,53.0,21.1,,6.2,0.0,,,,55.0,-49.0,-114.0,,,,,-19.0,,-61.0,-92.9,,-107.8,-114.0,,,,-59.0,False,,,,,True,,False,False,,False,False,,,,False
01101,2325,1110.0,1145.0,,,,,621.0,,676.9,364.0,,553.5,35.0,,879.3,,1320.0,-1215.0,-1180.0,,,,,-1704.0,,-1648.1,-1961.0,,-1771.5,-2290.0,,-1445.7,,-1005.0,True,,,,,False,,False,False,,False,False,,False,,True
01103,1654,1060.0,1993.0,,,,,692.0,,788.7,200.2,,569.4,24.7,,553.0,,1357.0,-594.0,339.0,,,,,-962.0,,-865.3,-1453.8,,-1084.6,-1629.3,,-1101.0,,-297.0,True,,,,,False,,False,False,,False,False,,False,,True
01105,69,115.0,0.0,,,,,20.0,,83.5,6.7,,54.0,0.0,,,,345.0,46.0,-69.0,,,,,-49.0,,14.5,-62.3,,-15.0,-69.0,,,,276.0,False,,,,,False,,True,False,,True,False,,,,False
01107,350,165.0,70.0,,,,,96.0,,99.8,53.9,,127.9,0.6,,,,90.0,-185.0,-280.0,,,,,-254.0,,-250.2,-296.1,,-222.1,-349.4,,,,-260.0,False,,,,,False,,False,False,,False,False,,,,False
01109,232,160.0,153.0,,,,,130.0,,108.3,75.2,,24.7,0.0,,118.5,,76.0,-72.0,-79.0,,,,,-102.0,,-123.7,-156.8,,-207.3,-232.0,,-113.5,,-156.0,False,,,,,False,,False,False,,False,False,,False,,False
01111,200,225.0,273.0,,,,,91.0,,174.4,84.7,,82.3,0.8,,,,157.0,25.0,73.0,,,,,-109.0,,-25.6,-115.3,,-117.7,-199.2,,,,-43.0,False,,,,,False,,False,False,,False,False,,,,False
01113,218,145.0,204.0,,,,,196.0,,127.1,83.5,,66.4,0.3,,95.4,,126.0,-73.0,-14.0,,,,,-22.0,,-90.9,-134.5,,-151.6,-217.7,,-122.6,,-92.0,True,,,,,True,,False,False,,False,False,,False,,False
01115,1134,630.0,814.0,,,,,339.0,,540.7,234.1,,380.6,19.3,,445.8,,426.0,-504.0,-320.0,,,,,-795.0,,-593.3,-899.9,,-753.4,-1114.7,,-688.2,,-708.0,True,,,,,False,,False,False,,False,False,,False,,False
01117,2238,1580.0,1697.0,,,,,644.0,,1189.8,909.7,,1088.1,164.5,,738.4,,1101.0,-658.0,-541.0,,,,,-1594.0,,-1048.2,-1328.3,,-1149.9,-2073.5,,-1499.6,,-1137.0,True,,,,,False,,False,False,,False,False,,False,,False
01119,68,85.0,0.0,,,,,48.0,,62.0,14.1,,10.9,0.0,,,,114.0,17.0,-68.0,,,,,-20.0,,-6.0,-53.9,,-57.1,-68.0,,,,46.0,False,,,,,False,,True,False,,False,False,,,,False
01121,728,640.0,449.0,,,,,339.0,,518.3,236.4,,477.5,0.6,,410.0,,640.0,-88.0,-279.0,,,,,-389.0,,-209.7,-491.6,,-250.5,-727.4,,-318.0,,-88.0,False,,,,,False,,False,False,,False,False,,False,,False
01123,381,150.0,76.0,,,,,130.0,,105.3,85.5,,62.1,0.6,,99.7,,121.0,-231.0,-305.0,,,,,-251.0,,-275.7,-295.5,,-318.9,-380.4,,-281.3,,-260.0,False,,,,,False,,False,False,,False,False,,False,,False
01125,2303,1495.0,892.0,,,,,1040.0,,996.2,668.8,,829.0,6.7,,1611.6,,306.0,-808.0,-1411.0,,,,,-1263.0,,-1306.8,-1634.2,,-1474.0,-2296.3,,-691.4,,-1997.0,False,,,,,False,,False,False,,False,False,,True,,False
01127,759,560.0,756.0,,,,,391.0,,432.8,107.4,,208.2,1.6,,269.9,,442.0,-199.0,-3.0,,,,,-368.0,,-326.2,-651.6,,-550.8,-757.4,,-489.1,,-317.0,True,,,,,False,,False,False,,False,False,,False,,False
01129,267,95.0,0.0,,,,,121.0,,54.1,38.2,,22.4,0.1,,,,155.0,-172.0,-267.0,,,,,-146.0,,-212.9,-228.8,,-244.6,-266.9,,,,-112.0,False,,,,,True,,False,False,,False,False,,,,True
01131,57,70.0,0.0,,,,,22.0,,54.3,11.9,,16.9,0.1,,,,69.0,13.0,-57.0,,,,,-35.0,,-2.7,-45.1,,-40.1,-56.9,,,,12.0,False,,,,,False,,True,False,,False,False,,,,True
01133,311,265.0,209.0,,,,,151.0,,176.2,73.7,,222.6,1.4,,,,203.0,-46.0,-102.0,,,,,-160.0,,-134.8,-237.3,,-88.4,-309.6,,,,-108.0,False,,,,,False,,False,False,,False,False,,,,False
02013,5,5.0,0.0,,,,,,,0.1,6.3,,,,,,,12.0,0.0,-5.0,,,,,,,-4.9,1.3,,,,,,,7.0,False,,,,,,,False,False,,,,,,,False
02016,9,0.0,0.0,,,,,,,0.1,0.6,,,,,,,0.0,-9.0,-9.0,,,,,,,-8.9,-8.4,,,,,,,-9.0,False,,,,,,,True,True,,,,,,,False
02020,6476,3330.0,4053.0,,,,,,,2709.0,1745.6,,2289.3,1484.1,,1645.8,,958.0,-3146.0,-2423.0,,,,,,,-3767.0,-4730.4,,-4186.7,-4991.9,,-4830.2,,-5518.0,True,,,,,,,False,False,,False,False,,False,,False
02050,715,250.0,0.0,,,,,,,382.9,36.6,,176.4,0.0,,,,378.0,-465.0,-715.0,,,,,,,-332.1,-678.4,,-538.6,-715.0,,,,-337.0,False,,,,,,,True,False,,False,False,,,,True
02060,0,0.0,0.0,,,,,,,0.0,0.0,,0.3,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.3,,,,,0.0,True,,,,,,,False,True,,False,,,,,True
02068,21,15.0,0.0,,,,,,,11.1,9.0,,,,,,,1.0,-6.0,-21.0,,,,,,,-9.9,-12.0,,,,,,,-20.0,False,,,,,,,False,False,,,,,,,False
02070,46,15.0,0.0,,,,,,,5.7,10.6,,0.5,,,,,2.0,-31.0,-46.0,,,,,,,-40.3,-35.4,,-45.5,,,,,-44.0,False,,,,,,,False,False,,False,,,,,False
02090,1250,1385.0,3126.0,,,,,,,1534.5,349.5,,1421.8,562.7,,771.4,,638.0,135.0,1876.0,,,,,,,284.5,-900.5,,171.8,-687.3,,-478.6,,-612.0,False,,,,,,,False,False,,False,False,,False,,False
02100,7,0.0,0.0,,,,,,,0.1,0.6,,,,,,,0.0,-7.0,-7.0,,,,,,,-6.9,-6.4,,,,,,,-7.0,False,,,,,,,True,True,,,,,,,False
02105,0,0.0,0.0,,,,,,,0.1,2.0,,,,,,,,0.0,0.0,,,,,,,0.1,2.0,,,,,,,,True,,,,,,,False,False,,,,,,,
02110,329,65.0,38.0,,,,,,,42.9,73.0,,37.0,182.8,,,,31.0,-264.0,-291.0,,,,,,,-286.1,-256.0,,-292.0,-146.2,,,,-298.0,False,,,,,,,False,True,,False,True,,,,False
02122,1006,210.0,70.0,,,,,,,134.2,67.3,,98.4,139.8,,,,333.0,-796.0,-936.0,,,,,,,-871.8,-938.7,,-907.6,-866.2,,,,-673.0,False,,,,,,,False,False,,False,False,,,,True
02130,92,20.0,0.0,,,,,,,20.3,7.7,,2.2,,,,,111.0,-72.0,-92.0,,,,,,,-71.7,-84.3,,-89.8,,,,,19.0,False,,,,,,,True,False,,False,,,,,True
02150,73,65.0,3.0,,,,,,,181.8,16.6,,1.5,,,,,142.0,-8.0,-70.0,,,,,,,108.8,-56.4,,-71.5,,,,,69.0,False,,,,,,,False,False,,False,,,,,False
02158,335,15.0,0.0,,,,,,,10.1,,,,,,,,6.0,-320.0,-335.0,,,,,,,-324.9,,,,,,,,-329.0,False,,,,,,,False,,,,,,,,False
02164,34,0.0,0.0,,,,,,,0.9,1.3,,,,,,,,-34.0,-34.0,,,,,,,-33.1,-32.7,,,,,,,,False,,,,,,,True,True,,,,,,,
02170,1544,340.0,0.0,,,,,,,272.7,284.4,,254.2,252.1,,,,317.0,-1204.0,-1544.0,,,,,,,-1271.3,-1259.6,,-1289.8,-1291.9,,,,-1227.0,False,,,,,,,False,False,,False,False,,,,False
02180,57,100.0,0.0,,,,,,,146.7,15.5,,22.0,0.0,,,,81.0,43.0,-57.0,,,,,,,89.7,-41.5,,-35.0,-57.0,,,,24.0,False,,,,,,,False,True,,True,False,,,,True
02185,208,50.0,0.0,,,,,,,59.7,30.8,,8.6,0.0,,,,33.0,-158.0,-208.0,,,,,,,-148.3,-177.2,,-199.4,-208.0,,,,-175.0,False,,,,,,,True,False,,False,False,,,,False
02188,135,140.0,1.0,,,,,,,132.2,17.5,,79.4,0.0,,,,20.0,5.0,-134.0,,,,,,,-2.8,-117.5,,-55.6,-135.0,,,,-115.0,False,,,,,,,True,False,,False,False,,,,False
02195,10,0.0,0.0,,,,,,,0.1,0.2,,0.1,,,,,25.0,-10.0,-10.0,,,,,,,-9.9,-9.8,,-9.9,,,,,15.0,False,,,,,,,True,True,,True,,,,,False
02198,12,0.0,0.0,,,,,,,0.1,3.8,,1.4,,,,,0.0,-12.0,-12.0,,,,,,,-11.9,-8.2,,-10.6,,,,,-12.0,False,,,,,,,True,True,,True,,,,,False
02220,49,0.0,0.0,,,,,,,0.1,10.3,,2.2,,,,,1.0,-49.0,-49.0,,,,,,,-48.9,-38.7,,-46.8,,,,,-48.0,False,,,,,,,True,True,,True,,,,,True
02230,8,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,-8.0,-8.0,,,,,,,-8.0,-8.0,,,,,,,,False,,,,,,,True,False,,,,,,,
02240,103,25.0,0.0,,,,,,,29.9,4.4,,1.0,,,,,29.0,-78.0,-103.0,,,,,,,-73.1,-98.6,,-102.0,,,,,-74.0,False,,,,,,,True,False,,False,,,,,True
02261,80,25.0,0.0,,,,,,,24.8,3.6,,7.3,,,,,39.0,-55.0,-80.0,,,,,,,-55.2,-76.3,,-72.7,,,,,-41.0,False,,,,,,,False,False,,False,,,,,True
02275,0,0.0,0.0,,,,,,,0.0,0.5,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.5,,,,,,,0.0,True,,,,,,,False,False,,,,,,,True
02282,11,5.0,0.0,,,,,,,3.3,0.0,,,,,,,2.0,-6.0,-11.0,,,,,,,-7.7,-11.0,,,,,,,-9.0,False,,,,,,,False,False,,,,,,,False
02290,43,25.0,0.0,,,,,,,22.6,2.0,,12.4,,,,,70.0,-18.0,-43.0,,,,,,,-20.4,-41.0,,-30.6,,,,,27.0,False,,,,,,,False,False,,False,,,,,False
04001,658,670.0,436.0,,,,,699.0,,274.5,86.9,,165.9,1.2,,359.4,,134.0,12.0,-222.0,,,,,41.0,,-383.5,-571.1,,-492.1,-656.8,,-298.6,,-524.0,False,,,,,False,,False,False,,False,False,,False,,False
04003,726,180.0,59.0,,,,,211.0,,121.1,118.4,,56.5,0.0,,108.9,,177.0,-546.0,-667.0,,,,,-515.0,,-604.9,-607.6,,-669.5,-726.0,,-617.1,,-549.0,False,,,,,True,,False,False,,False,False,,False,,False
04005,1803,910.0,1586.0,,,,,506.0,,599.6,295.6,,691.1,0.7,,429.1,,383.0,-893.0,-217.0,,,,,-1297.0,,-1203.4,-1507.3,,-1111.9,-1802.3,,-1373.9,,-1420.0,True,,,,,False,,False,False,,False,False,,False,,False
04007,824,395.0,440.0,,,,,97.0,,362.8,70.6,,219.5,205.8,,147.1,,573.0,-429.0,-384.0,,,,,-727.0,,-461.2,-753.4,,-604.5,-618.2,,-676.9,,-251.0,True,,,,,False,,False,False,,False,False,,False,,True
04009,710,305.0,158.0,,,,,68.0,,246.3,61.8,,110.1,0.0,,,,163.0,-405.0,-552.0,,,,,-642.0,,-463.7,-648.2,,-599.9,-710.0,,,,-547.0,False,,,,,False,,False,False,,False,False,,,,False
04011,71,15.0,0.0,,,,,24.0,,13.6,7.1,,0.1,,,,,164.0,-56.0,-71.0,,,,,-47.0,,-57.4,-63.9,,-70.9,,,,,93.0,False,,,,,True,,False,False,,False,,,,,False
04012,108,100.0,31.0,,,,,18.0,,102.2,20.7,,13.9,0.0,,,,510.0,-8.0,-77.0,,,,,-90.0,,-5.8,-87.3,,-94.1,-108.0,,,,402.0,False,,,,,False,,True,False,,False,False,,,,False
04013,29110,14395.0,23869.0,,,,,6624.0,,10484.4,5761.3,,11877.7,669.1,,9259.8,,17393.0,-14715.0,-5241.0,,,,,-22486.0,,-18625.6,-23348.7,,-17232.3,-28440.9,,-19850.2,,-11717.0,True,,,,,False,,False,False,,False,False,,False,,True
04015,974,210.0,283.0,,,,,370.0,,183.9,165.1,,40.3,154.6,,140.8,,156.0,-764.0,-691.0,,,,,-604.0,,-790.1,-808.9,,-933.7,-819.4,,-833.2,,-818.0,True,,,,,True,,False,False,,False,False,,False,,False
04017,1260,345.0,83.0,,,,,600.0,,237.8,93.2,,179.1,2.8,,185.3,,727.0,-915.0,-1177.0,,,,,-660.0,,-1022.2,-1166.8,,-1080.9,-1257.2,,-1074.7,,-533.0,False,,,,,True,,False,False,,False,False,,False,,True
04019,5844,2540.0,249.0,,,,,892.0,,1956.1,1198.3,,1512.5,974.8,,1411.2,,1970.0,-3304.0,-5595.0,,,,,-4952.0,,-3887.9,-4645.7,,-4331.5,-4869.2,,-4432.8,,-3874.0,False,,,,,False,,False,False,,False,False,,False,,False
