,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
North Carolina,101344,96691.0,,74679.6,65110.0,,65515.0,52400.8,44425.6,34449.6,52498.3,220395.5,84637.0,-4653.0,,-26664.4,-36234.0,,-35829.0,-48943.2,-56918.4,-66894.4,-48845.7,119051.5,-16707.0,,False,False,,False,False,False,False,False,False,False
North Dakota,42492,19411.0,,17007.9,14.0,,25583.0,20880.4,13233.6,9112.7,14146.3,12278.8,6344.0,-23081.0,,-25484.1,-42478.0,,-16909.0,-21611.6,-29258.4,-33379.3,-28345.7,-30213.2,-36148.0,,False,False,,True,True,False,False,False,False,False
Ohio,140234,45234.0,,35558.3,35852.0,,33302.0,35697.1,25138.0,18088.0,21327.5,38256.7,31375.0,-95000.0,,-104675.7,-104382.0,,-106932.0,-104536.9,-115096.0,-122146.0,-118906.5,-101977.3,-108859.0,,False,False,,False,False,False,False,False,False,False
Oklahoma,66695,53942.0,,48218.8,34839.0,,44825.0,68380.2,26848.1,21009.1,23239.4,32912.6,28741.0,-12753.0,,-18476.2,-31856.0,,-21870.0,1685.2,-39846.9,-45685.9,-43455.6,-33782.4,-37954.0,,False,False,,False,True,False,False,False,False,False
Oregon,23437,13874.0,,11460.1,5658.0,,10785.0,15730.9,7970.5,7218.6,7251.2,29700.2,18039.0,-9563.0,,-11976.9,-17779.0,,-12652.0,-7706.1,-15466.5,-16218.4,-16185.8,6263.2,-5398.0,,False,False,,False,True,False,False,False,True,True
Pennsylvania,104289,39879.0,,31531.3,3134.0,,26975.0,48814.2,21512.1,16846.9,34499.1,40616.7,30305.0,-64410.0,,-72757.7,-101155.0,,-77314.0,-55474.8,-82776.9,-87442.1,-69789.9,-63672.3,-73984.0,,False,False,,False,True,False,False,False,True,False
Rhode Island,17348,3927.0,,4075.7,0.0,,5946.0,7997.5,1207.6,359.8,3326.6,2550.6,1208.0,-13421.0,,-13272.3,-17348.0,,-11402.0,-9350.5,-16140.4,-16988.2,-14021.4,-14797.4,-16140.0,,True,False,,True,True,False,False,False,False,False
South Carolina,48741,56231.0,,36077.6,14960.0,,40190.0,47859.7,23469.1,,28359.5,30729.4,27967.0,7490.0,,-12663.4,-33781.0,,-8551.0,-881.3,-25271.9,,-20381.5,-18011.6,-20774.0,,False,False,,False,True,False,,False,False,False
South Dakota,43049,18823.0,,14558.5,107.0,,17288.0,17454.0,15012.0,11724.5,14833.4,21167.1,8237.0,-24226.0,,-28490.5,-42942.0,,-25761.0,-25595.0,-28037.0,-31324.5,-28215.6,-21881.9,-34812.0,,False,False,,False,False,False,False,False,True,False
Tennessee,114229,66164.0,,57914.6,30888.0,,60184.0,43811.1,50141.7,37149.1,24406.3,49818.6,35960.0,-48065.0,,-56314.4,-83341.0,,-54045.0,-70417.9,-64087.3,-77079.9,-89822.7,-64410.4,-78269.0,,False,False,,False,False,False,False,False,False,False
Texas,306989,324597.0,,225946.3,75679.0,,342961.0,193542.5,95135.7,47183.7,215473.9,147192.8,139680.0,17608.0,,-81042.7,-231310.0,,35972.0,-113446.5,-211853.3,-259805.4,-91515.1,-159796.2,-167309.0,,False,False,,False,False,False,False,False,False,False
Utah,81594,46865.0,,46913.7,14931.0,,44086.0,77200.5,33793.1,24255.7,19276.3,52400.3,43189.0,-34729.0,,-34680.3,-66663.0,,-37508.0,-4393.5,-47800.9,-57338.3,-62317.7,-29193.7,-38405.0,,True,False,,False,True,False,False,False,True,False
Vermont,1104,203.0,,291.8,70.0,,59.0,92.4,89.5,74.8,320.7,164.9,134.0,-901.0,,-812.2,-1034.0,,-1045.0,-1011.6,-1014.5,-1029.2,-783.3,-939.1,-970.0,,True,False,,False,False,False,False,True,False,False
Virginia,55391,40047.0,,30166.8,4663.0,,35701.0,37369.8,20924.8,19221.2,27399.8,26359.7,0.0,-15344.0,,-25224.2,-50728.0,,-19690.0,-18021.2,-34466.2,-36169.8,-27991.2,-29031.3,-55391.0,,False,False,,False,False,False,False,False,False,False
Washington,41901,25417.0,,17630.6,32642.0,,10948.0,27263.0,15684.2,8501.7,16103.2,71048.6,37537.0,-16484.0,,-24270.4,-9259.0,,-30953.0,-14638.0,-26216.8,-33399.3,-25797.8,29147.6,-4364.0,,False,True,,False,True,False,False,False,False,True
West Virginia,17625,8946.0,,8395.3,9604.0,,4939.0,12675.4,5413.8,3483.8,3383.4,8440.4,6059.0,-8679.0,,-9229.7,-8021.0,,-12686.0,-4949.6,-12211.2,-14141.2,-14241.6,-9184.6,-11566.0,,False,True,,False,True,False,False,False,False,False
Wisconsin,209959,98581.0,,103263.1,44126.0,,83639.0,149831.1,73406.0,49012.1,98726.9,113889.7,81333.0,-111378.0,,-106695.9,-165833.0,,-126320.0,-60127.9,-136553.0,-160946.9,-111232.1,-96069.3,-128626.0,,True,False,,False,True,False,False,True,True,False
Wyoming,16416,4788.0,,6721.1,648.0,,8359.0,6349.0,4163.1,2514.3,2758.3,12065.7,7316.0,-11628.0,,-9694.9,-15768.0,,-8057.0,-10067.0,-12252.9,-13901.7,-13657.7,-4350.3,-9100.0,,True,False,,True,True,False,False,False,True,True
US,3852987,2169790.0,3002038.0,1157575.8,781912.0,1982504.0,1883573.0,2072032.4,993822.9,,1414649.7,1948669.9,1535486.0,-1683197.0,-850949.0,-2695411.2,-3071075.0,-1870483.0,-1969414.0,-1780954.6,-2859164.1,,-2438337.3,-1904317.1,-2317501.0,True,False,False,False,False,False,False,,False,False,False
