,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha
Georgia,83521,36460.0,47493.8,36603.5,30669.0,47321.0,,30369.8,16497.0,36969.6,,23871.0,35459.9,28289.8,48869.6,27283.6,21364.9,26014.2,41895.4,36642.2,,43556.1,531.6,25812.8,47287.8,33914.0,-47061.0,-36027.2,-46917.5,-52852.0,-36200.0,,-53151.2,-67024.0,-46551.4,,-59650.0,-48061.1,-55231.2,-34651.4,-56237.4,-62156.1,-57506.8,-41625.6,-46878.8,,-39964.9,-82989.4,-57708.2,-36233.2,-49607.0,True,True,False,True,,False,False,True,,False,False,False,True,False,False,False,True,True,,True,False,False,True,False
Hawaii,2616,2312.0,2289.8,2297.6,2277.0,2044.0,,2495.6,467.0,1633.3,,,3231.7,2641.9,2897.6,4902.9,2204.5,1727.0,2380.4,3546.7,,1798.1,1650.7,1391.1,2084.9,1489.0,-304.0,-326.2,-318.4,-339.0,-572.0,,-120.4,-2149.0,-982.7,,,615.7,25.9,281.6,2286.9,-411.5,-889.0,-235.6,930.7,,-817.9,-965.3,-1224.9,-531.1,-1127.0,False,False,False,False,,True,False,False,,,False,True,True,False,False,False,True,False,,False,False,False,False,False
Idaho,28735,19524.0,15523.5,19436.7,19171.0,21347.0,,16192.5,4751.0,29208.8,,11922.0,18562.0,24320.7,23334.7,8043.1,38071.6,14231.6,22467.8,19160.3,,22601.4,3110.5,10088.5,18375.5,19896.0,-9211.0,-13211.5,-9298.3,-9564.0,-7388.0,,-12542.5,-23984.0,473.8,,-16813.0,-10173.0,-4414.3,-5400.3,-20691.9,9336.6,-14503.4,-6267.2,-9574.7,,-6133.6,-25624.5,-18646.5,-10359.5,-8839.0,False,False,False,True,,False,False,True,,False,False,True,True,False,False,False,True,False,,True,False,False,False,True
Illinois,219599,95740.0,158030.2,95019.2,89400.0,121050.0,,83656.8,18897.0,118917.6,,63268.0,79079.8,75450.9,87266.9,68099.0,133104.0,88334.8,129432.0,67490.7,,131484.7,71491.0,63844.5,89429.3,128730.0,-123859.0,-61568.8,-124579.8,-130199.0,-98549.0,,-135942.2,-200702.0,-100681.4,,-156331.0,-140519.2,-144148.1,-132332.1,-151500.0,-86495.0,-131264.2,-90167.0,-152108.3,,-88114.3,-148108.0,-155754.5,-130169.7,-90869.0,True,False,False,True,,False,False,True,,False,False,False,False,False,True,False,True,False,,True,False,False,False,True
Indiana,98910,50264.0,81630.8,50422.6,49840.0,70847.0,,44522.1,18658.0,56890.9,,34688.0,45719.2,48897.8,54733.5,46260.3,69668.4,37313.0,60017.8,39193.3,,58048.8,36501.5,31829.6,84229.2,80298.0,-48646.0,-17279.2,-48487.4,-49070.0,-28063.0,,-54387.9,-80252.0,-42019.1,,-64222.0,-53190.8,-50012.2,-44176.5,-52649.7,-29241.6,-61597.0,-38892.2,-59716.7,,-40861.2,-62408.5,-67080.4,-14680.8,-18612.0,True,True,False,True,,False,False,True,,False,False,False,True,False,True,False,True,False,,True,False,False,True,True
Iowa,76857,30624.0,26810.7,30529.4,30256.0,35917.0,,28806.0,15521.0,42978.2,,24171.0,32623.3,36919.0,39257.5,13828.3,35518.6,17792.8,30858.5,29359.9,,34051.1,5206.5,16455.9,31103.0,37155.0,-46233.0,-50046.3,-46327.6,-46601.0,-40940.0,,-48051.0,-61336.0,-33878.8,,-52686.0,-44233.7,-39938.0,-37599.5,-63028.7,-41338.4,-59064.2,-45998.5,-47497.1,,-42805.9,-71650.5,-60401.1,-45754.0,-39702.0,False,False,False,True,,False,False,True,,False,True,True,True,False,True,False,True,False,,True,False,False,True,True
Kansas,44874,19936.0,23160.5,20130.5,19500.0,20965.0,,17674.0,11494.0,24340.4,,20241.0,21699.1,34732.3,24883.5,10219.3,18539.2,10593.0,19162.0,20741.4,,22501.8,13382.4,13878.9,21007.6,15420.0,-24938.0,-21713.5,-24743.5,-25374.0,-23909.0,,-27200.0,-33380.0,-20533.6,,-24633.0,-23174.9,-10141.7,-19990.5,-34654.7,-26334.8,-34281.0,-25712.0,-24132.6,,-22372.2,-31491.6,-30995.1,-23866.4,-29454.0,True,True,False,True,,False,False,True,,True,True,True,True,False,False,False,False,True,,True,False,False,True,False
Kentucky,49340,29408.0,55364.4,29221.2,29434.0,40494.0,,28833.9,27443.0,57214.9,,27517.0,34582.9,30598.0,32406.8,17638.0,44587.5,20269.5,31754.0,30756.7,,36308.6,21490.8,16036.2,32941.5,36318.0,-19932.0,6024.4,-20118.8,-19906.0,-8846.0,,-20506.1,-21897.0,7874.9,,-21823.0,-14757.1,-18742.0,-16933.2,-31702.0,-4752.5,-29070.5,-17586.0,-18583.3,,-13031.4,-27849.2,-33303.8,-16398.5,-13022.0,True,False,True,True,,False,False,True,,False,True,True,True,False,True,False,True,True,,True,False,False,True,True
Louisiana,24255,15040.0,10798.8,15185.3,12222.0,16781.0,,12391.1,4307.0,39397.5,,13169.0,12143.6,11724.5,21079.0,14145.6,9945.5,11913.0,16187.7,17192.4,,11377.5,0.0,8791.3,22445.4,9103.0,-9215.0,-13456.2,-9069.7,-12033.0,-7474.0,,-11863.9,-19948.0,15142.5,,-11086.0,-12111.4,-12530.5,-3176.0,-10109.4,-14309.5,-12342.0,-8067.3,-7062.6,,-12877.5,-24255.0,-15463.7,-1809.6,-15152.0,False,True,False,True,,False,False,False,,False,False,False,True,False,False,False,True,True,,False,False,False,True,False
Maine,2879,868.0,4455.4,870.7,898.0,1007.0,,734.9,412.0,1199.5,,1150.0,1005.1,1066.7,1018.4,1457.1,1174.8,583.8,893.4,1759.5,,871.9,610.2,673.7,841.9,838.0,-2011.0,1576.4,-2008.3,-1981.0,-1872.0,,-2144.1,-2467.0,-1679.5,,-1729.0,-1873.9,-1812.3,-1860.6,-1421.9,-1704.2,-2295.2,-1985.6,-1119.5,,-2007.1,-2268.8,-2205.3,-2037.1,-2041.0,True,True,True,True,,False,False,True,,True,True,True,True,True,True,False,True,True,,True,False,False,False,False
Maryland,28963,17328.0,25603.8,17196.1,15874.0,19243.0,,15568.8,4287.0,22987.2,,13845.0,17682.5,11787.5,19075.9,19467.6,15146.3,12308.8,19651.0,18670.9,,19516.2,13644.8,13043.0,19772.0,19098.0,-11635.0,-3359.2,-11766.9,-13089.0,-9720.0,,-13394.2,-24676.0,-5975.8,,-15118.0,-11280.5,-17175.5,-9887.1,-9495.4,-13816.7,-16654.2,-9312.0,-10292.1,,-9446.8,-15318.2,-15920.0,-9191.0,-9865.0,True,False,False,True,,False,False,True,,False,True,False,True,True,False,False,True,True,,True,False,False,True,True
Massachusetts,43212,18360.0,25699.2,18403.3,17375.0,18484.0,,14783.7,3638.0,31587.9,,11336.0,18702.7,13974.1,19819.5,25413.5,27659.8,12385.8,20221.1,15682.3,,16751.7,10878.3,11985.5,13073.1,18360.0,-24852.0,-17512.8,-24808.7,-25837.0,-24728.0,,-28428.3,-39574.0,-11624.1,,-31876.0,-24509.3,-29237.9,-23392.5,-17798.5,-15552.2,-30826.2,-22990.9,-27529.7,,-26460.3,-32333.7,-31226.5,-30138.9,-24852.0,True,True,False,True,,False,False,True,,False,True,False,True,True,True,False,True,False,,False,False,False,False,False
Michigan,114687,46608.0,90479.1,46094.6,46052.0,69626.0,,39218.2,3365.0,41362.6,,32018.0,43023.9,36810.1,52667.4,64982.2,73238.6,19626.9,50533.9,36654.5,,60253.8,41746.2,32903.5,24966.1,67261.0,-68079.0,-24207.9,-68592.4,-68635.0,-45061.0,,-75468.8,-111322.0,-73324.4,,-82669.0,-71663.1,-77876.9,-62019.6,-49704.8,-41448.4,-95060.1,-64153.1,-78032.5,,-54433.2,-72940.8,-81783.5,-89720.9,-47426.0,True,False,False,True,,False,False,False,,False,False,False,True,True,True,False,True,False,,True,False,False,False,True
Minnesota,94938,41048.0,68234.6,41121.5,41103.0,53073.0,,35338.3,36841.0,51633.8,,40647.0,40082.3,37715.8,46112.2,21332.4,48487.1,36431.1,47899.5,37798.8,,44520.3,22233.9,27123.2,52915.1,41644.0,-53890.0,-26703.4,-53816.5,-53835.0,-41865.0,,-59599.7,-58097.0,-43304.2,,-54291.0,-54855.7,-57222.2,-48825.8,-73605.6,-46450.9,-58506.9,-47038.5,-57139.2,,-50417.7,-72704.1,-67814.8,-42022.9,-53294.0,True,True,True,True,,False,False,True,,False,False,False,True,False,True,False,True,False,,True,False,False,True,True
Mississippi,23334,21472.0,25766.3,21983.6,20973.0,24514.0,,14944.2,5962.0,15861.1,,15325.0,18598.0,17596.0,26747.0,8161.1,37683.4,11459.5,21513.2,20430.6,,25414.9,834.6,12385.4,21785.9,19117.0,-1862.0,2432.3,-1350.4,-2361.0,1180.0,,-8389.8,-17372.0,-7472.9,,-8009.0,-4736.0,-5738.0,3413.0,-15172.9,14349.4,-11874.5,-1820.8,-2903.4,,2080.9,-22499.4,-10948.6,-1548.1,-4217.0,False,True,False,True,,False,False,False,,False,False,False,False,False,False,False,True,False,,False,False,False,True,False
Missouri,86654,45704.0,55318.1,46910.7,47247.0,49517.0,,46740.0,33171.0,57085.6,,43476.0,50504.1,65633.9,53309.8,21508.2,71463.6,43518.0,48428.2,49624.7,,52880.0,28788.1,23338.1,52462.3,37171.0,-40950.0,-31335.9,-39743.3,-39407.0,-37137.0,,-39914.0,-53483.0,-29568.4,,-43178.0,-36149.9,-21020.1,-33344.2,-65145.8,-15190.4,-43136.0,-38225.8,-37029.3,,-33774.0,-57865.9,-63315.9,-34191.7,-49483.0,True,True,True,True,,True,False,True,,False,True,True,True,False,True,False,True,True,,True,False,False,True,False
Montana,23661,16432.0,28069.7,16638.9,16729.0,13987.0,,17673.1,10309.0,15898.1,,18066.0,18732.5,58498.9,18791.4,2869.4,17166.9,14185.8,18447.1,15680.9,,20630.8,23811.7,7138.0,28045.1,12914.0,-7229.0,4408.7,-7022.1,-6932.0,-9674.0,,-5987.9,-13352.0,-7762.9,,-5595.0,-4928.5,34837.9,-4869.6,-20791.6,-6494.1,-9475.2,-5213.9,-7980.1,,-3030.2,150.7,-16523.0,4384.1,-10747.0,True,True,True,False,,True,False,False,,True,True,False,True,False,True,False,True,False,,True,True,False,True,False
Nebraska,39502,21780.0,44175.1,21822.8,21830.0,25264.0,,20698.7,19248.0,35927.0,,16436.0,19500.3,34059.9,27450.0,13586.0,30405.7,16906.3,26132.9,20965.2,,27608.9,6277.3,13508.0,32991.6,23413.0,-17722.0,4673.1,-17679.2,-17672.0,-14238.0,,-18803.3,-20254.0,-3575.0,,-23066.0,-20001.7,-5442.1,-12052.0,-25916.0,-9096.3,-22595.7,-13369.1,-18536.8,,-11893.1,-33224.7,-25994.0,-6510.4,-16089.0,True,True,True,True,,False,False,True,,False,False,True,True,False,True,False,True,False,,True,False,False,True,True
Nevada,29354,17012.0,25525.4,17028.8,15820.0,24172.0,,15618.9,3656.0,16388.0,,10559.0,17855.3,14324.7,15187.0,10285.6,32042.4,13432.3,21936.2,18222.9,,19189.4,0.0,9751.0,19226.3,20760.0,-12342.0,-3828.6,-12325.2,-13534.0,-5182.0,,-13735.1,-25698.0,-12966.0,,-18795.0,-11498.7,-15029.3,-14167.0,-19068.4,2688.4,-15921.7,-7417.8,-11131.1,,-10164.6,-29354.0,-19603.0,-10127.7,-8594.0,True,True,False,True,,False,False,False,,False,True,False,False,False,True,False,True,True,,True,False,False,True,True
New Hampshire,4696,2132.0,1160.8,2148.0,2135.0,2779.0,,2179.0,3320.0,2707.5,,1895.0,2583.0,2580.1,2671.8,2965.6,4013.4,1115.5,1890.7,2670.7,,2770.0,1493.4,1575.1,2038.5,2698.0,-2564.0,-3535.2,-2548.0,-2561.0,-1917.0,,-2517.0,-1376.0,-1988.5,,-2801.0,-2113.0,-2115.9,-2024.2,-1730.4,-682.6,-3580.5,-2805.3,-2025.3,,-1926.0,-3202.6,-3120.9,-2657.5,-1998.0,False,True,True,True,,True,True,True,,False,True,True,True,True,True,False,False,True,,True,False,False,False,True
New Jersey,55998,23444.0,22767.5,23404.4,23402.0,29249.0,,18847.5,7055.0,41360.4,,20199.0,24398.2,14611.1,26837.9,45693.3,38351.1,16799.4,27776.7,22041.1,,25416.6,11951.5,16933.2,16691.5,24809.0,-32554.0,-33230.5,-32593.6,-32596.0,-26749.0,,-37150.5,-48943.0,-14637.6,,-35799.0,-31599.8,-41386.9,-29160.1,-10304.7,-17646.9,-39198.6,-28221.3,-33956.9,,-30581.4,-44046.5,-39064.8,-39306.5,-31189.0,False,False,False,True,,False,False,True,,False,True,False,True,True,True,False,True,False,,True,False,False,False,True
New Mexico,26828,14484.0,23450.1,14589.4,14423.0,18910.0,,13314.3,1862.0,16165.6,,12159.0,12261.5,15056.7,14604.6,8486.1,37188.1,11836.1,18790.7,13710.4,,18662.0,4805.5,7460.6,22097.2,16618.0,-12344.0,-3377.9,-12238.6,-12405.0,-7918.0,,-13513.7,-24966.0,-10662.4,,-14669.0,-14566.5,-11771.3,-12223.4,-18341.9,10360.1,-14991.9,-8037.3,-13117.6,,-8166.0,-22022.5,-19367.4,-4730.8,-10210.0,True,True,False,True,,False,False,True,,False,False,True,True,False,True,False,True,False,,True,False,False,True,True
New York,73660,38992.0,14997.6,37853.6,36871.0,44933.0,,14265.6,13548.0,64577.9,,24179.0,41854.4,33792.7,41563.1,93479.7,83474.3,28119.0,44120.3,34728.9,,38276.0,21529.6,20968.9,29022.5,36014.0,-34668.0,-58662.4,-35806.4,-36789.0,-28727.0,,-59394.4,-60112.0,-9082.1,,-49481.0,-31805.6,-39867.3,-32096.9,19819.7,9814.3,-45541.0,-29539.7,-38931.1,,-35384.0,-52130.4,-52691.1,-44637.5,-37646.0,False,False,False,True,,False,False,True,,False,True,False,True,True,True,False,True,False,,False,False,False,False,False
North Carolina,65393,55892.0,124410.9,55799.0,55954.0,65794.0,,48505.4,23039.0,64567.6,,47791.0,57423.3,55915.2,66278.5,35170.0,69999.9,46059.2,69612.1,51728.4,,63869.0,16073.7,32891.2,51115.7,56909.0,-9501.0,59017.9,-9594.0,-9439.0,401.0,,-16887.6,-42354.0,-825.4,,-17602.0,-7969.7,-9477.8,885.5,-30223.0,4606.9,-19333.8,4219.1,-13664.6,,-1524.0,-49319.3,-32501.8,-14277.3,-8484.0,False,False,True,True,,False,False,True,,False,True,True,True,False,True,False,True,False,,True,False,False,False,True
North Dakota,31611,18536.0,18800.6,18283.6,18242.0,16935.0,,14964.5,9986.0,23141.5,,14829.0,14800.9,27767.6,19962.0,3434.0,22038.0,16393.1,23063.4,16097.7,,22302.1,9475.3,9615.1,25470.5,23448.0,-13075.0,-12810.4,-13327.4,-13369.0,-14676.0,,-16646.5,-21625.0,-8469.5,,-16782.0,-16810.1,-3843.4,-11649.0,-28177.0,-9573.0,-15217.9,-8547.6,-15513.3,,-9308.9,-22135.7,-21995.9,-6140.5,-8163.0,True,False,False,False,,False,False,True,,False,False,True,True,False,True,False,True,False,,True,False,False,True,True
Ohio,110018,51068.0,27548.1,52422.9,50510.0,75394.0,,46980.3,19725.0,56471.6,,43143.0,46197.6,52716.0,53566.5,65224.2,87449.7,36952.0,66731.4,45408.3,,65278.7,9124.9,30540.3,53073.1,55679.0,-58950.0,-82469.9,-57595.1,-59508.0,-34624.0,,-63037.7,-90293.0,-53546.4,,-66875.0,-63820.4,-57302.0,-56451.5,-44793.8,-22568.3,-73066.0,-43286.6,-64609.7,,-44739.3,-100893.1,-79477.7,-56944.9,-54339.0,False,True,False,True,,False,False,True,,False,False,True,True,True,True,False,True,False,,True,False,False,True,True
Oklahoma,43737,31388.0,74853.9,31504.7,32009.0,33065.0,,29814.2,19431.0,39366.7,,32625.0,39120.3,35167.2,35215.0,17654.0,40452.4,20672.7,32375.1,38386.0,,34153.5,17892.9,14751.5,33679.7,25630.0,-12349.0,31116.9,-12232.3,-11728.0,-10672.0,,-13922.8,-24306.0,-4370.3,,-11112.0,-4616.7,-8569.8,-8522.0,-26083.0,-3284.6,-23064.3,-11361.9,-5351.0,,-9583.5,-25844.1,-28985.5,-10057.3,-18107.0,False,True,True,True,,False,False,True,,True,True,True,True,False,True,False,True,True,,True,False,False,True,False
Oregon,16703,9564.0,7090.8,9566.9,9099.0,11125.0,,9141.1,3099.0,9631.3,,8295.0,11532.1,13671.4,11956.9,11404.9,7747.9,6486.9,9817.8,12138.1,,9633.2,3734.3,4740.2,9572.1,10674.0,-7139.0,-9612.2,-7136.1,-7604.0,-5578.0,,-7561.9,-13604.0,-7071.7,,-8408.0,-5170.9,-3031.6,-4746.1,-5298.1,-8955.1,-10216.1,-6885.2,-4564.9,,-7069.8,-12968.7,-11962.8,-7130.9,-6029.0,False,True,False,True,,False,False,True,,False,True,True,True,True,False,False,True,True,,True,False,False,True,True
Pennsylvania,78554,39484.0,37987.0,39537.2,39626.0,48781.0,,36650.5,13902.0,56578.0,,35345.0,40790.8,42865.2,45399.5,61445.2,70116.1,25221.0,44899.7,33999.5,,43194.1,26469.5,21207.1,33438.7,47634.0,-39070.0,-40567.0,-39016.8,-38928.0,-29773.0,,-41903.5,-64652.0,-21976.0,,-43209.0,-37763.2,-35688.8,-33154.5,-17108.8,-8437.9,-53333.0,-33654.3,-44554.5,,-35359.9,-52084.5,-57346.9,-45115.3,-30920.0,False,True,True,True,,False,False,True,,False,True,True,True,True,True,False,True,False,,True,False,False,False,True
Rhode Island,13838,5588.0,17369.2,5776.1,5089.0,6161.0,,4359.2,1023.0,38317.3,,4682.0,4410.0,4583.3,5568.8,5204.6,8109.7,2425.4,5081.2,6925.6,,8412.8,3764.2,3254.0,3838.5,6286.0,-8250.0,3531.2,-8061.9,-8749.0,-7677.0,,-9478.8,-12815.0,24479.3,,-9156.0,-9428.0,-9254.7,-8269.2,-8633.4,-5728.3,-11412.6,-8756.8,-6912.4,,-5425.2,-10073.8,-10584.0,-9999.5,-7552.0,True,True,False,True,,False,False,False,,False,False,False,False,False,True,False,False,True,,True,False,False,False,True
