,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MSRA-DeepST,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MSRA-DeepST,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MSRA-DeepST,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01051,554,516.0,,576.5,,410.0,524.0,,,,,786.0,,208.0,,468.4,207.4,,280.5,500.4,3.1,,,,,357.8,,,512.0,465.1,-38.0,,22.5,,-144.0,-30.0,,,,,232.0,,-346.0,,-85.6,-346.6,,-273.5,-53.6,-550.9,,,,,-196.2,,,-42.0,-88.9,,True,,False,True,,,,,False,,False,,False,False,,False,False,False,,,,,False,,,False,False
01053,166,72.0,,103.8,,55.0,7.0,,,,,228.4,,195.0,,74.5,62.4,,12.2,98.2,0.1,,,,,44.3,,,40.0,102.9,-94.0,,-62.2,,-111.0,-159.0,,,,,62.4,,29.0,,-91.5,-103.6,,-153.8,-67.8,-165.9,,,,,-121.7,,,-126.0,-63.1,,True,,False,False,,,,,True,,True,,True,False,,False,True,False,,,,,False,,,False,True
01055,1320,728.0,,738.3,,581.0,637.0,,,,,920.6,,574.0,,506.7,272.5,,605.7,865.5,4.4,,,,,527.9,,,629.0,449.4,-592.0,,-581.7,,-739.0,-683.0,,,,,-399.4,,-746.0,,-813.3,-1047.5,,-714.3,-454.5,-1315.6,,,,,-792.1,,,-691.0,-870.6,,True,,False,False,,,,,True,,False,,False,False,,False,True,False,,,,,False,,,False,False
01057,181,156.0,,152.8,,109.0,112.0,,,,,87.0,,80.0,,119.4,47.8,,49.1,110.5,0.4,,,,,,,,252.0,77.0,-25.0,,-28.2,,-72.0,-69.0,,,,,-94.0,,-101.0,,-61.6,-133.2,,-131.9,-70.5,-180.6,,,,,,,,71.0,-104.0,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,,,,,,,False,False
01059,346,352.0,,337.7,,217.0,157.0,,,,,247.4,,216.0,,161.6,95.4,,217.9,334.1,6.7,,,,,247.2,,,359.0,210.2,6.0,,-8.3,,-129.0,-189.0,,,,,-98.6,,-130.0,,-184.4,-250.6,,-128.1,-11.9,-339.3,,,,,-98.8,,,13.0,-135.8,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,,,,False,,,False,False
01061,259,152.0,,170.7,,147.0,252.0,,,,,157.5,,101.0,,198.0,96.8,,46.0,152.7,0.0,,,,,,,,67.0,157.8,-107.0,,-88.3,,-112.0,-7.0,,,,,-101.5,,-158.0,,-61.0,-162.2,,-213.0,-106.3,-259.0,,,,,,,,-192.0,-101.2,,True,,False,True,,,,,True,,False,,True,False,,False,True,False,,,,,,,,False,True
01063,40,12.0,,1.9,,5.0,0.0,,,,,45.1,,27.0,,54.7,7.7,,6.4,43.2,0.0,,,,,,,,59.0,26.0,-28.0,,-38.1,,-35.0,-40.0,,,,,5.1,,-13.0,,14.7,-32.3,,-33.6,3.2,-40.0,,,,,,,,19.0,-14.0,,False,,False,False,,,,,True,,True,,True,False,,False,True,False,,,,,,,,True,True
01065,128,152.0,,160.8,,66.0,53.0,,,,,92.5,,66.0,,118.1,43.5,,35.6,133.2,0.4,,,,,,,,74.0,94.1,24.0,,32.8,,-62.0,-75.0,,,,,-35.5,,-62.0,,-9.9,-84.5,,-92.4,5.2,-127.6,,,,,,,,-54.0,-33.9,,False,,False,False,,,,,False,,False,,True,False,,False,True,False,,,,,,,,False,False
01067,181,112.0,,142.0,,70.0,70.0,,,,,91.6,,46.0,,136.2,64.7,,39.3,113.9,0.0,,,,,,,,86.0,60.3,-69.0,,-39.0,,-111.0,-111.0,,,,,-89.4,,-135.0,,-44.8,-116.3,,-141.7,-67.1,-181.0,,,,,,,,-95.0,-120.7,,True,,False,False,,,,,False,,False,,True,False,,False,True,False,,,,,,,,False,False
01069,1080,468.0,,368.9,,347.0,113.0,,,,,1727.8,,339.0,,430.0,343.0,,314.8,527.5,0.7,,,,,358.6,,,198.0,678.0,-612.0,,-711.1,,-733.0,-967.0,,,,,647.8,,-741.0,,-650.0,-737.0,,-765.2,-552.5,-1079.3,,,,,-721.4,,,-882.0,-402.0,,False,,False,False,,,,,False,,False,,False,False,,False,True,False,,,,,False,,,False,True
01071,729,660.0,,686.2,,557.0,963.0,,,,,463.2,,371.0,,586.7,108.1,,523.0,598.1,193.9,,,,,350.3,,,668.0,403.0,-69.0,,-42.8,,-172.0,234.0,,,,,-265.8,,-358.0,,-142.3,-620.9,,-206.0,-130.9,-535.1,,,,,-378.7,,,-61.0,-326.0,,True,,False,False,,,,,False,,False,,False,False,,False,False,False,,,,,False,,,True,False
01073,5376,3436.0,,3036.2,3040.4,2895.0,4497.0,,,,,3467.5,,2051.0,,2669.0,1296.4,,2786.7,3740.8,179.0,,,,,2406.7,3527.0,,3948.0,3594.8,-1940.0,,-2339.8,-2335.6,-2481.0,-879.0,,,,,-1908.5,,-3325.0,,-2707.0,-4079.6,,-2589.3,-1635.2,-5197.0,,,,,-2969.3,-1849.0,,-1428.0,-1781.2,,False,False,False,True,,,,,True,,False,,False,False,,False,True,False,,,,,False,True,,True,True
01075,130,132.0,,117.2,,86.0,82.0,,,,,80.9,,72.0,,84.8,26.1,,93.1,126.9,0.3,,,,,,,,149.0,93.0,2.0,,-12.8,,-44.0,-48.0,,,,,-49.1,,-58.0,,-45.2,-103.9,,-36.9,-3.1,-129.7,,,,,,,,19.0,-37.0,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,,,,,,,False,False
01077,1215,460.0,,435.9,,407.0,426.0,,,,,498.7,,546.0,,316.8,140.7,,378.3,545.9,16.9,,,,,378.7,,,355.0,277.9,-755.0,,-779.1,,-808.0,-789.0,,,,,-716.3,,-669.0,,-898.2,-1074.3,,-836.7,-669.1,-1198.1,,,,,-836.3,,,-860.0,-937.1,,False,,False,False,,,,,True,,True,,False,False,,False,True,False,,,,,False,,,False,False
