,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF
Georgia,62115,22370.0,18863.1,22502.4,22076.0,22363.0,,22223.2,8547.0,23233.9,22256.5,,23943.0,26400.0,21923.4,20726.0,23694.0,12746.5,28176.0,26122.0,22721.0,23816.9,25918.2,27375.0,,20656.8,12000.6,16876.3,22896.9,26752.2,25234.0,28393.0,-39745.0,-43251.9,-39612.6,-40039.0,-39752.0,,-39891.8,-53568.0,-38881.1,-39858.5,,-38172.0,-35715.0,-40191.6,-41389.0,-38421.0,-49368.5,-33939.0,-35993.0,-39394.0,-38298.1,-36196.8,-34740.0,,-41458.2,-50114.4,-45238.7,-39218.1,-35362.8,-36881.0,-33722.0,False,True,False,False,,False,False,True,False,,True,True,False,False,True,False,True,True,True,True,True,True,,False,False,False,True,True,True,True
Hawaii,1475,1036.0,2028.1,1031.6,1017.0,964.0,,1207.5,581.0,876.9,995.4,,,,1215.0,1322.4,1040.0,1277.5,1119.0,1031.8,905.0,1108.9,1360.1,1021.0,,991.3,1035.0,750.9,1095.8,890.8,478.0,1282.1,-439.0,553.1,-443.4,-458.0,-511.0,,-267.5,-894.0,-598.1,-479.6,,,,-260.0,-152.6,-435.0,-197.5,-356.0,-443.2,-570.0,-366.1,-114.9,-454.0,,-483.7,-440.0,-724.1,-379.2,-584.2,-997.0,-192.9,False,False,False,False,,True,False,False,False,,,,True,True,True,True,True,False,False,True,True,False,,False,False,False,True,False,False,True
Idaho,16709,11828.0,28128.3,11752.9,12477.0,11461.0,,12319.3,6154.0,15167.6,13881.3,,12634.0,12097.0,14697.0,16538.7,14428.0,4548.3,13696.5,19791.5,12137.0,11669.1,13698.5,14467.0,,13827.5,15051.4,7025.7,16302.5,12584.1,9393.0,13870.1,-4881.0,11419.3,-4956.1,-4232.0,-5248.0,,-4389.7,-10555.0,-1541.4,-2827.7,,-4075.0,-4612.0,-2012.0,-170.3,-2281.0,-12160.7,-3012.5,3082.5,-4572.0,-5039.9,-3010.5,-2242.0,,-2881.5,-1657.6,-9683.3,-406.5,-4124.9,-7316.0,-2838.9,False,False,True,False,,True,False,True,True,,True,True,True,True,True,False,True,True,True,False,True,True,,True,True,False,True,True,False,True
Illinois,146438,67494.0,86898.1,67156.6,78102.0,91727.0,,78101.7,46655.0,143439.2,48166.8,,63616.0,72932.0,74407.4,73065.5,,38449.7,82650.5,124527.6,127218.5,119297.7,90497.5,75541.0,,87208.2,36060.7,56393.7,77233.0,68496.9,61437.0,64212.0,-78944.0,-59539.9,-79281.4,-68336.0,-54711.0,,-68336.3,-99783.0,-2998.8,-98271.2,,-82822.0,-73506.0,-72030.6,-73372.5,,-107988.3,-63787.5,-21910.4,-19219.5,-27140.3,-55940.5,-70897.0,,-59229.8,-110377.3,-90044.3,-69205.0,-77941.1,-85001.0,-82226.0,True,False,True,True,,True,False,True,False,,False,True,True,True,,False,True,True,True,True,True,True,,True,False,False,True,True,False,False
Indiana,65529,37808.0,36790.9,37401.4,38733.0,46055.0,,34154.2,59603.0,53906.9,38567.4,,40906.0,36249.0,38870.5,41367.7,40223.0,23168.1,40056.0,56672.6,46133.5,48718.4,42713.0,43560.0,,41125.4,18861.1,30596.5,36684.9,50769.2,45183.0,46280.2,-27721.0,-28738.1,-28127.6,-26796.0,-19474.0,,-31374.8,-5926.0,-11622.1,-26961.6,,-24623.0,-29280.0,-26658.5,-24161.3,-25306.0,-42360.9,-25473.0,-8856.4,-19395.5,-16810.6,-22816.0,-21969.0,,-24403.6,-46667.9,-34932.5,-28844.1,-14759.8,-20346.0,-19248.8,False,False,True,True,,False,True,True,True,,True,False,True,True,True,False,True,True,True,True,True,True,,True,False,False,False,True,True,True
Iowa,55045,27348.0,21646.6,28186.4,23361.0,30014.0,,23397.6,15567.0,38799.4,25380.0,,28687.0,21813.0,24020.6,24717.2,23454.0,7967.9,24184.0,20160.1,34228.5,42734.9,27993.6,30101.0,,22756.9,8967.7,20819.3,20304.7,28987.9,34075.0,30202.8,-27697.0,-33398.4,-26858.6,-31684.0,-25031.0,,-31647.4,-39478.0,-16245.6,-29665.0,,-26358.0,-33232.0,-31024.4,-30327.8,-31591.0,-47077.1,-30861.0,-34884.9,-20816.5,-12310.1,-27051.4,-24944.0,,-32288.1,-46077.3,-34225.7,-34740.3,-26057.1,-20970.0,-24842.2,False,True,False,True,,False,False,True,False,,True,False,False,False,False,False,False,False,True,True,True,True,,False,False,False,False,True,True,True
Kansas,30580,14490.0,12467.0,14373.0,14303.0,17188.0,,13020.6,14596.0,16958.9,15250.5,,14790.0,13916.0,14412.4,16192.8,14643.0,5161.6,13811.5,10599.2,17298.0,16448.0,15416.9,16377.0,,10226.7,11290.0,12060.4,13796.1,16234.1,12337.0,14954.8,-16090.0,-18113.0,-16207.0,-16277.0,-13392.0,,-17559.4,-15984.0,-13621.1,-15329.5,,-15790.0,-16664.0,-16167.6,-14387.2,-15937.0,-25418.4,-16768.5,-19980.8,-13282.0,-14132.0,-15163.1,-14203.0,,-20353.3,-19290.0,-18519.6,-16783.9,-14345.9,-18243.0,-15625.2,False,False,False,True,,False,True,True,True,,True,False,False,True,True,False,False,False,True,True,True,True,,False,False,False,False,True,False,True
Kentucky,28918,23478.0,22954.4,23725.5,23370.0,28327.0,,22150.9,14556.0,48338.3,26229.2,,25606.0,23811.0,23105.2,35639.1,24646.0,9213.3,23596.0,25128.1,29893.0,28345.8,24669.6,28404.0,,22335.8,11616.7,19686.5,22245.9,25664.5,27901.0,28037.3,-5440.0,-5963.6,-5192.5,-5548.0,-591.0,,-6767.1,-14362.0,19420.3,-2688.8,,-3312.0,-5107.0,-5812.8,6721.1,-4272.0,-19704.7,-5322.0,-3789.9,975.0,-572.2,-4248.4,-514.0,,-6582.2,-17301.3,-9231.5,-6672.1,-3253.5,-1017.0,-880.7,False,True,False,True,,False,False,False,True,,True,True,False,False,True,False,True,True,True,True,True,True,,False,False,False,False,True,True,True
Louisiana,15332,6800.0,7553.3,7033.7,7474.0,6032.0,,7668.8,2559.0,15719.0,5766.8,,5044.0,8316.0,8008.0,7702.5,7658.0,5808.1,8949.5,7849.8,7341.0,7234.5,9016.9,6280.0,,7254.7,3545.9,5154.5,9759.8,9167.6,4456.0,8309.5,-8532.0,-7778.7,-8298.3,-7858.0,-9300.0,,-7663.2,-12773.0,387.0,-9565.2,,-10288.0,-7016.0,-7324.0,-7629.5,-7674.0,-9523.9,-6382.5,-7482.2,-7991.0,-8097.5,-6315.1,-9052.0,,-8077.3,-11786.1,-10177.5,-5572.2,-6164.4,-10876.0,-7022.5,True,True,True,False,,True,False,True,False,,False,True,True,True,True,False,True,True,True,True,True,False,,True,False,False,True,True,False,True
Maine,2129,1052.0,123.9,1074.5,912.0,1983.0,,602.1,400.0,917.6,981.1,,949.0,1307.0,588.7,2151.7,1206.0,1037.2,809.5,623.4,1098.0,1240.9,1217.2,1226.0,,840.5,587.2,867.3,542.8,928.6,1435.0,995.4,-1077.0,-2005.1,-1054.5,-1217.0,-146.0,,-1526.9,-1729.0,-1211.4,-1147.9,,-1180.0,-822.0,-1540.3,22.7,-923.0,-1091.8,-1319.5,-1505.6,-1031.0,-888.1,-911.8,-903.0,,-1288.5,-1541.8,-1261.7,-1586.2,-1200.4,-694.0,-1133.6,False,True,False,True,,False,False,False,False,,False,True,False,True,True,False,False,False,True,True,True,True,,False,False,False,False,False,True,False
Maryland,18809,11588.0,9535.1,11283.6,11130.0,14622.0,,11141.0,3161.0,16190.1,11612.7,,11321.0,11309.0,10372.6,9087.0,13091.0,9288.6,10607.0,13767.9,12569.0,14059.9,13757.6,13468.0,,9112.7,5349.5,10548.3,10774.1,11167.0,12793.0,12751.9,-7221.0,-9273.9,-7525.4,-7679.0,-4187.0,,-7668.0,-15648.0,-2618.9,-7196.3,,-7488.0,-7500.0,-8436.4,-9722.0,-5718.0,-9520.4,-8202.0,-5041.1,-6240.0,-4749.1,-5051.4,-5341.0,,-9696.3,-13459.5,-8260.7,-8034.9,-7642.0,-6016.0,-6057.1,False,False,False,True,,False,False,True,True,,False,False,False,False,True,False,False,True,True,True,True,True,,False,False,False,False,False,True,True
Massachusetts,27566,18176.0,12795.0,17844.8,17308.0,23993.0,,17546.9,11765.0,27597.7,20802.6,,14136.0,16570.0,16745.5,14817.4,17407.0,12322.7,16788.5,24317.9,24178.5,22115.5,20351.9,16451.0,,21658.6,16463.3,15191.2,16437.0,11149.8,20454.0,20256.3,-9390.0,-14771.0,-9721.2,-10258.0,-3573.0,,-10019.1,-15801.0,31.7,-6763.4,,-13430.0,-10996.0,-10820.5,-12748.6,-10159.0,-15243.3,-10777.5,-3248.1,-3387.5,-5450.5,-7214.1,-11115.0,,-5907.4,-11102.7,-12374.8,-11129.0,-16416.2,-7112.0,-7309.7,False,False,False,True,,False,False,True,True,,False,False,False,False,False,False,False,True,True,True,True,False,,True,False,False,False,False,True,True
Michigan,78386,43588.0,44979.6,43130.4,41865.0,57988.0,,41852.9,34365.0,37286.4,47419.7,,44555.0,44055.0,41998.4,41208.4,44431.0,30112.3,42486.5,70215.5,65595.5,48483.8,46110.7,49365.0,,32990.1,22191.0,35682.9,37364.5,61694.3,56508.0,49624.2,-34798.0,-33406.4,-35255.6,-36521.0,-20398.0,,-36533.1,-44021.0,-41099.6,-30966.3,,-33831.0,-34331.0,-36387.6,-37177.6,-33955.0,-48273.7,-35899.5,-8170.5,-12790.5,-29902.2,-32275.3,-29021.0,,-45395.9,-56195.0,-42703.1,-41021.5,-16691.7,-21878.0,-28761.8,True,False,False,True,,False,False,False,True,,True,True,False,False,True,False,False,True,True,True,True,True,,False,False,False,False,True,True,True
Minnesota,67556,32700.0,28328.3,32301.0,32707.0,42293.0,,28941.8,34673.0,47874.6,33099.0,,36296.0,37051.0,32148.3,29333.7,33962.0,11775.5,31554.5,40592.0,37914.5,42828.7,34323.5,37058.0,,28263.1,20191.5,24150.3,28732.2,48232.7,34582.0,35246.3,-34856.0,-39227.7,-35255.0,-34849.0,-25263.0,,-38614.2,-32883.0,-19681.4,-34457.0,,-31260.0,-30505.0,-35407.7,-38222.3,-33594.0,-55780.5,-36001.5,-26964.0,-29641.5,-24727.3,-33232.5,-30498.0,,-39292.9,-47364.5,-43405.7,-38823.8,-19323.3,-32974.0,-32309.7,False,False,True,True,,False,True,True,True,,True,True,False,False,True,False,False,True,True,True,True,True,,False,False,False,False,True,True,True
Mississippi,13180,10144.0,10680.3,10152.0,10405.0,9588.0,,9990.6,4541.0,12743.0,13027.5,,11105.0,10395.0,11090.7,11442.9,11067.0,4171.3,10820.0,13072.5,10435.0,10534.4,13334.1,11995.0,,8237.1,666.5,8961.9,13526.7,10548.1,10477.0,12074.0,-3036.0,-2499.7,-3028.0,-2775.0,-3592.0,,-3189.4,-8639.0,-437.0,-152.5,,-2075.0,-2785.0,-2089.3,-1737.1,-2113.0,-9008.7,-2360.0,-107.5,-2745.0,-2645.6,154.1,-1185.0,,-4942.9,-12513.5,-4218.1,346.7,-2631.9,-2703.0,-1106.0,True,True,True,False,,False,False,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,,False,False,False,True,True,True,True
Missouri,57770,32326.0,26728.1,32971.7,31406.0,34422.0,,29354.4,21407.0,36843.6,31132.9,,33447.0,29564.0,33402.8,31781.9,30337.0,11353.5,32740.0,34427.8,30733.5,36106.7,33387.3,38217.0,,31556.4,27731.1,29693.3,31231.2,29806.0,27460.0,34855.5,-25444.0,-31041.9,-24798.3,-26364.0,-23348.0,,-28415.6,-36363.0,-20926.4,-26637.1,,-24323.0,-28206.0,-24367.2,-25988.1,-27433.0,-46416.5,-25030.0,-23342.2,-27036.5,-21663.3,-24382.7,-19553.0,,-26213.6,-30038.9,-28076.7,-26538.8,-27964.0,-30310.0,-22914.5,False,True,False,True,,False,False,True,False,,True,False,True,False,False,False,True,True,False,True,True,True,,False,False,False,False,False,False,True
Montana,13085,11318.0,11285.5,11225.1,11278.0,10757.0,,10483.6,8555.0,12994.6,13917.4,,14868.0,10632.0,14806.4,20341.1,11486.0,1538.3,13678.5,15014.8,11392.5,12722.8,13461.9,12773.0,,10526.7,21723.7,7561.0,13642.8,13003.6,10155.0,13054.9,-1767.0,-1799.5,-1859.9,-1807.0,-2328.0,,-2601.4,-4530.0,-90.4,832.4,,1783.0,-2453.0,1721.4,7256.1,-1599.0,-11546.7,593.5,1929.8,-1692.5,-362.2,376.9,-312.0,,-2558.3,8638.7,-5524.0,557.8,-81.4,-2930.0,-30.1,False,False,False,False,,False,False,True,True,,False,False,True,False,True,False,True,False,True,True,True,True,,False,False,False,True,True,False,True
Nebraska,26102,15034.0,23136.7,15054.2,15210.0,17381.0,,13692.5,14954.0,26540.0,17581.7,,16762.0,14639.0,15142.0,16655.8,14678.0,5622.3,15557.0,20231.0,17771.5,19289.1,16482.3,17969.0,,10390.2,17204.4,12272.5,15971.9,18603.1,13729.0,15548.7,-11068.0,-2965.3,-11047.8,-10892.0,-8721.0,,-12409.5,-11148.0,438.0,-8520.3,,-9340.0,-11463.0,-10960.0,-9446.2,-11424.0,-20479.7,-10545.0,-5871.0,-8330.5,-6812.9,-9619.7,-8133.0,,-15711.8,-8897.6,-13829.5,-10130.1,-7498.9,-12373.0,-10553.3,True,True,True,True,,False,False,True,True,,True,False,True,True,False,False,True,True,True,True,True,True,,False,True,False,True,True,False,True
Nevada,18245,11898.0,6221.4,11910.8,11917.0,12923.0,,11312.9,3414.0,13542.3,12138.1,,12269.0,10792.0,12244.8,9691.5,,6509.9,12153.5,16110.4,13307.5,13257.5,15034.5,14832.0,,13762.8,4087.0,8399.3,13646.0,12244.2,13343.0,13625.9,-6347.0,-12023.6,-6334.2,-6328.0,-5322.0,,-6932.1,-14831.0,-4702.7,-6106.9,,-5976.0,-7453.0,-6000.2,-8553.5,,-11735.1,-6091.5,-2134.6,-4937.5,-4987.5,-3210.5,-3413.0,,-4482.2,-14158.0,-9845.7,-4599.0,-6000.8,-4902.0,-4619.1,False,True,True,True,,False,False,True,True,,True,False,True,False,,False,True,True,True,True,True,True,,True,False,False,True,True,True,True
New Hampshire,3237,1692.0,354.3,1709.6,1701.0,2191.0,,1526.6,1802.0,2686.5,1740.6,,1643.0,1398.0,1444.7,1514.9,1911.0,1834.0,1580.5,2214.0,1810.0,2316.9,2126.1,2081.0,,1322.6,2549.0,1665.8,1744.2,1515.4,2033.0,1831.5,-1545.0,-2882.7,-1527.4,-1536.0,-1046.0,,-1710.4,-1435.0,-550.5,-1496.4,,-1594.0,-1839.0,-1792.3,-1722.1,-1326.0,-1403.0,-1656.5,-1023.0,-1427.0,-920.1,-1110.9,-1156.0,,-1914.4,-688.0,-1571.2,-1492.8,-1721.6,-1204.0,-1405.5,False,True,True,True,,False,True,True,True,,False,False,False,False,True,True,False,True,True,True,True,True,,False,True,False,True,False,True,True
