,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Oklahoma,59457,43428.0,46703.0,,45948.5,34147.0,38896.0,53353.6,43915.8,29823.6,13720.6,5105.7,16853.1,25934.0,-16029.0,-12754.0,,-13508.5,-25310.0,-20561.0,-6103.4,-15541.2,-29633.4,-45736.4,-54351.3,-42603.9,-33523.0,True,,True,False,False,True,True,False,False,False,False,False
Oregon,21507,11580.0,12629.0,,11650.5,6001.0,8089.0,19041.4,13375.5,19031.2,7310.8,5750.1,5044.7,10151.0,-9927.0,-8878.0,,-9856.5,-15506.0,-13418.0,-2465.6,-8131.5,-2475.8,-14196.2,-15756.9,-16462.3,-11356.0,True,,True,False,False,True,True,True,False,False,False,False
Pennsylvania,97984,37830.0,46341.0,,41241.7,4618.0,24701.0,44175.4,40258.2,103607.5,27191.3,36565.9,37303.6,39972.0,-60154.0,-51643.0,,-56742.3,-93366.0,-73283.0,-53808.6,-57725.8,5623.5,-70792.7,-61418.1,-60680.4,-58012.0,True,,True,False,False,True,True,True,False,False,False,True
Rhode Island,16453,5370.0,4805.0,,5199.0,442.0,3454.0,8722.7,4739.9,6741.1,2220.1,280.3,4115.6,4200.0,-11083.0,-11648.0,,-11254.0,-16011.0,-12999.0,-7730.3,-11713.1,-9711.9,-14232.9,-16172.7,-12337.4,-12253.0,False,,False,False,False,True,False,True,False,False,False,False
South Carolina,43123,33708.0,37404.0,,31684.5,17744.0,29156.0,40368.3,26779.4,13336.0,19717.7,16472.8,14030.6,24806.0,-9415.0,-5719.0,,-11438.5,-25379.0,-13967.0,-2754.7,-16343.6,-29787.0,-23405.3,-26650.2,-29092.4,-18317.0,True,,False,False,False,True,False,False,False,False,False,False
South Dakota,40196,17118.0,18497.0,,18390.3,10529.0,21142.0,22594.9,23663.8,2621.4,13384.0,8524.8,12447.8,13551.0,-23078.0,-21699.0,,-21805.7,-29667.0,-19054.0,-17601.1,-16532.2,-37574.6,-26812.0,-31671.2,-27748.2,-26645.0,True,,True,False,True,True,True,False,False,False,False,False
Tennessee,105525,52224.0,50567.0,,57916.8,29873.0,45772.0,45877.3,50295.1,29605.1,34082.6,26345.8,23766.3,36097.0,-53301.0,-54958.0,,-47608.2,-75652.0,-59753.0,-59647.7,-55229.9,-75919.9,-71442.4,-79179.2,-81758.7,-69428.0,False,,True,False,False,False,False,False,False,False,False,False
Texas,273395,198684.0,397793.0,,205100.1,68368.0,189389.0,258704.9,167404.7,198824.2,87143.3,108021.5,102462.3,144450.0,-74711.0,124398.0,,-68294.9,-205027.0,-84006.0,-14690.1,-105990.3,-74570.8,-186251.7,-165373.5,-170932.7,-128945.0,False,,True,False,False,True,False,True,False,False,False,False
Utah,74916,40068.0,25588.0,,36872.9,17307.0,34948.0,62919.4,22496.7,19917.2,35120.2,18853.9,13476.1,25357.0,-34848.0,-49328.0,,-38043.1,-57609.0,-39968.0,-11996.6,-52419.3,-54998.8,-39795.8,-56062.1,-61439.9,-49559.0,False,,False,False,False,True,False,False,False,False,False,False
Vermont,1065,234.0,249.0,,375.3,96.0,82.0,258.9,1217.8,742.6,160.9,63.2,275.7,691.0,-831.0,-816.0,,-689.7,-969.0,-983.0,-806.1,152.8,-322.4,-904.1,-1001.8,-789.3,-374.0,True,,True,False,False,True,True,True,False,False,True,True
Virginia,49996,31896.0,33417.0,,28341.9,8067.0,19770.0,33678.0,37699.7,34116.3,22619.5,21221.8,22352.1,29956.0,-18100.0,-16579.0,,-21654.1,-41929.0,-30226.0,-16318.0,-12296.3,-15879.7,-27376.5,-28774.2,-27643.9,-20040.0,True,,False,False,False,True,True,True,False,False,False,False
Washington,38312,21534.0,26047.0,,39672.7,27625.0,12867.0,29655.8,21142.8,24708.7,13662.8,22051.9,16657.7,32108.0,-16778.0,-12265.0,,1360.7,-10687.0,-25445.0,-8656.2,-17169.2,-13603.3,-24649.2,-16260.1,-21654.3,-6204.0,True,,True,True,False,True,False,True,False,True,False,True
West Virginia,16311,7884.0,10245.0,,6563.0,8910.0,4518.0,7390.6,13014.7,9104.6,4757.1,2902.7,3990.5,5739.0,-8427.0,-6066.0,,-9748.0,-7401.0,-11793.0,-8920.4,-3296.3,-7206.4,-11553.9,-13408.3,-12320.5,-10572.0,True,,False,True,False,False,True,True,False,False,False,False
Wisconsin,192806,102918.0,115200.0,,114750.9,56514.0,89216.0,175570.2,96512.9,42495.8,58537.0,53773.4,94801.6,96054.0,-89888.0,-77606.0,,-78055.1,-136292.0,-103590.0,-17235.8,-96293.1,-150310.2,-134269.0,-139032.6,-98004.4,-96752.0,True,,True,False,False,True,False,False,False,False,False,False
Wyoming,15516,5400.0,5804.0,,9350.1,3440.0,5410.0,11753.1,7970.3,1957.1,4254.3,2917.7,3474.2,7162.0,-10116.0,-9712.0,,-6165.9,-12076.0,-10106.0,-3762.9,-7545.7,-13558.9,-11261.7,-12598.3,-12041.8,-8354.0,True,,True,False,True,True,True,False,False,False,False,True
US,3551055,1815228.0,2252445.0,2806639.0,1930286.5,792657.0,1391673.0,2241078.1,1602721.0,1826126.9,992688.8,970638.1,1193754.6,1691020.0,-1735827.0,-1298610.0,-744416.0,-1620768.5,-2758398.0,-2159382.0,-1309976.9,-1948334.0,-1724928.1,-2558366.2,-2580416.9,-2357300.4,-1860035.0,True,True,True,False,False,True,False,True,False,False,False,False
