,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01057,235,114.0,123.0,,,,97.0,,107.8,64.8,66.6,57.5,99.8,42.0,-121.0,-112.0,,,,-138.0,,-127.2,-170.2,-168.4,-177.5,-135.2,-193.0,True,,,,False,,False,False,False,False,False,False
01059,488,390.0,252.0,,,,335.0,,214.1,127.1,150.1,198.1,266.0,497.0,-98.0,-236.0,,,,-153.0,,-273.9,-360.9,-337.9,-289.9,-222.0,9.0,False,,,,False,,False,False,False,False,False,True
01061,357,630.0,1151.0,,,,122.0,,298.5,220.9,233.1,38.0,343.8,410.0,273.0,794.0,,,,-235.0,,-58.5,-136.1,-123.9,-319.0,-13.2,53.0,False,,,,True,,True,True,True,False,True,True
01063,65,24.0,0.0,,,,26.0,,30.6,16.6,2.7,19.0,15.9,5.0,-41.0,-65.0,,,,-39.0,,-34.4,-48.4,-62.3,-46.0,-49.1,-60.0,False,,,,True,,True,False,False,False,False,False
01065,196,180.0,42.0,,,,91.0,,130.6,42.1,19.2,58.9,118.7,63.0,-16.0,-154.0,,,,-105.0,,-65.4,-153.9,-176.8,-137.1,-77.3,-133.0,False,,,,False,,False,False,False,False,False,False
01067,244,312.0,228.0,,,,54.0,,129.3,99.5,142.1,77.9,232.7,201.0,68.0,-16.0,,,,-190.0,,-114.7,-144.5,-101.9,-166.1,-11.3,-43.0,True,,,,False,,False,False,False,False,True,True
01069,1368,2568.0,5707.0,,,,478.0,,617.2,826.3,1683.7,311.0,1702.6,1788.0,1200.0,4339.0,,,,-890.0,,-750.8,-541.7,315.7,-1057.0,334.6,420.0,False,,,,True,,True,True,True,True,True,True
01071,1025,570.0,697.0,,,,482.0,,424.2,198.7,499.5,116.7,282.0,380.0,-455.0,-328.0,,,,-543.0,,-600.8,-826.3,-525.5,-908.3,-743.0,-645.0,True,,,,False,,False,False,False,False,False,False
01073,7048,5448.0,3880.0,,,,3407.0,,4033.4,2727.2,4480.9,2612.6,3130.1,3636.0,-1600.0,-3168.0,,,,-3641.0,,-3014.6,-4320.8,-2567.1,-4435.4,-3917.9,-3412.0,False,,,,False,,False,False,False,False,False,False
01075,186,180.0,52.0,,,,91.0,,138.2,41.0,56.2,23.7,124.9,75.0,-6.0,-134.0,,,,-95.0,,-47.8,-145.0,-129.8,-162.3,-61.1,-111.0,False,,,,False,,False,False,False,False,False,False
01077,1452,564.0,1234.0,,,,800.0,,414.5,232.3,304.5,271.4,444.2,456.0,-888.0,-218.0,,,,-652.0,,-1037.5,-1219.7,-1147.5,-1180.6,-1007.8,-996.0,True,,,,True,,False,False,False,False,False,False
01079,414,192.0,189.0,,,,238.0,,161.4,84.7,71.1,26.7,128.3,59.0,-222.0,-225.0,,,,-176.0,,-252.6,-329.3,-342.9,-387.3,-285.7,-355.0,False,,,,True,,False,False,False,False,False,False
01081,1087,1320.0,4466.0,,,,734.0,,846.9,894.2,935.3,681.0,673.7,145.0,233.0,3379.0,,,,-353.0,,-240.1,-192.8,-151.7,-406.0,-413.3,-942.0,False,,,,False,,False,True,True,False,False,False
01083,1310,768.0,717.0,,,,688.0,,571.8,250.4,663.1,95.8,311.9,446.0,-542.0,-593.0,,,,-622.0,,-738.2,-1059.6,-646.9,-1214.2,-998.1,-864.0,False,,,,False,,False,False,False,False,False,False
01085,96,54.0,0.0,,,,25.0,,29.3,14.9,2.1,5.1,52.1,0.0,-42.0,-96.0,,,,-71.0,,-66.7,-81.1,-93.9,-90.9,-43.9,-96.0,False,,,,False,,False,False,False,False,False,False
01087,159,66.0,37.0,,,,35.0,,42.8,35.0,5.6,1.9,58.8,9.0,-93.0,-122.0,,,,-124.0,,-116.2,-124.0,-153.4,-157.1,-100.2,-150.0,False,,,,False,,False,False,False,False,False,False
01089,3082,1806.0,1413.0,,,,1805.0,,1323.3,1546.4,1550.5,1223.3,741.1,649.0,-1276.0,-1669.0,,,,-1277.0,,-1758.7,-1535.6,-1531.5,-1858.7,-2340.9,-2433.0,False,,,,False,,False,False,False,False,False,False
01091,398,126.0,9.0,,,,134.0,,74.7,45.7,33.2,29.1,71.7,71.0,-272.0,-389.0,,,,-264.0,,-323.3,-352.3,-364.8,-368.9,-326.3,-327.0,False,,,,True,,False,False,False,False,False,False
01093,284,168.0,139.0,,,,187.0,,121.8,120.0,81.8,108.6,89.4,31.0,-116.0,-145.0,,,,-97.0,,-162.2,-164.0,-202.2,-175.4,-194.6,-253.0,False,,,,True,,False,False,False,False,False,False
01095,1234,492.0,946.0,,,,724.0,,302.6,361.2,219.3,73.5,280.8,139.0,-742.0,-288.0,,,,-510.0,,-931.4,-872.8,-1014.7,-1160.5,-953.2,-1095.0,True,,,,True,,False,False,False,False,False,False
01097,4750,1914.0,2205.0,,,,2413.0,,1284.8,1057.1,1380.4,1058.3,1610.1,1344.0,-2836.0,-2545.0,,,,-2337.0,,-3465.2,-3692.9,-3369.6,-3691.7,-3139.9,-3406.0,True,,,,True,,False,False,False,False,False,False
01099,126,36.0,0.0,,,,91.0,,40.2,30.1,4.9,18.4,23.0,6.0,-90.0,-126.0,,,,-35.0,,-85.8,-95.9,-121.1,-107.6,-103.0,-120.0,False,,,,True,,True,False,False,False,False,False
01101,2577,924.0,661.0,,,,928.0,,606.8,540.8,423.7,311.0,799.7,330.0,-1653.0,-1916.0,,,,-1649.0,,-1970.2,-2036.2,-2153.3,-2266.0,-1777.3,-2247.0,False,,,,True,,False,False,False,False,False,False
01103,1866,768.0,957.0,,,,822.0,,497.0,234.0,478.1,886.4,498.0,508.0,-1098.0,-909.0,,,,-1044.0,,-1369.0,-1632.0,-1387.9,-979.6,-1368.0,-1358.0,True,,,,True,,False,False,False,True,False,False
01105,97,12.0,0.0,,,,22.0,,11.3,11.1,1.9,6.6,12.6,1.0,-85.0,-97.0,,,,-75.0,,-85.7,-85.9,-95.1,-90.4,-84.4,-96.0,False,,,,True,,False,False,False,False,True,False
01107,388,102.0,85.0,,,,119.0,,85.3,69.1,42.8,77.6,80.1,35.0,-286.0,-303.0,,,,-269.0,,-302.7,-318.9,-345.2,-310.4,-307.9,-353.0,False,,,,True,,False,False,False,False,False,False
01109,265,216.0,266.0,,,,197.0,,146.7,107.0,32.4,173.3,121.1,34.0,-49.0,1.0,,,,-68.0,,-118.3,-158.0,-232.6,-91.7,-143.9,-231.0,True,,,,False,,False,False,False,False,False,False
01111,236,264.0,196.0,,,,118.0,,190.5,141.7,118.5,324.8,146.5,95.0,28.0,-40.0,,,,-118.0,,-45.5,-94.3,-117.5,88.8,-89.5,-141.0,False,,,,False,,False,False,False,False,False,False
01113,259,324.0,224.0,,,,241.0,,251.2,127.2,150.3,83.2,194.0,122.0,65.0,-35.0,,,,-18.0,,-7.8,-131.8,-108.7,-175.8,-65.0,-137.0,True,,,,True,,True,False,False,False,False,False
01115,1258,750.0,692.0,,,,365.0,,538.4,379.0,516.8,343.5,508.8,216.0,-508.0,-566.0,,,,-893.0,,-719.6,-879.0,-741.2,-914.5,-749.2,-1042.0,False,,,,False,,False,False,False,False,False,False
01117,2554,2058.0,1406.0,,,,749.0,,1668.3,1459.8,1854.8,1777.3,916.9,711.0,-496.0,-1148.0,,,,-1805.0,,-885.7,-1094.2,-699.2,-776.7,-1637.1,-1843.0,False,,,,False,,False,False,False,False,False,False
01119,85,0.0,0.0,,,,57.0,,3.4,21.9,1.3,5.1,22.2,1.0,-85.0,-85.0,,,,-28.0,,-81.6,-63.1,-83.7,-80.0,-62.8,-84.0,False,,,,True,,True,True,True,True,True,True
01121,884,486.0,378.0,,,,419.0,,224.9,339.3,238.9,43.9,261.0,75.0,-398.0,-506.0,,,,-465.0,,-659.1,-544.7,-645.1,-840.1,-623.0,-809.0,False,,,,False,,False,False,False,False,False,False
01123,409,180.0,134.0,,,,161.0,,118.0,135.5,84.8,102.0,107.9,34.0,-229.0,-275.0,,,,-248.0,,-291.0,-273.5,-324.2,-306.9,-301.1,-375.0,False,,,,False,,False,False,False,False,False,False
01125,2633,3060.0,1416.0,,,,1607.0,,2656.0,1020.8,1396.5,1126.8,3141.1,1279.0,427.0,-1217.0,,,,-1026.0,,23.0,-1612.2,-1236.5,-1506.2,508.1,-1354.0,False,,,,False,,True,False,False,False,False,False
01127,875,594.0,890.0,,,,442.0,,489.4,154.9,167.8,116.6,308.1,251.0,-281.0,15.0,,,,-433.0,,-385.6,-720.1,-707.2,-758.4,-566.9,-624.0,True,,,,False,,False,False,False,False,False,False
01129,289,138.0,4.0,,,,107.0,,44.4,41.8,19.1,23.3,70.0,121.0,-151.0,-285.0,,,,-182.0,,-244.6,-247.2,-269.9,-265.7,-219.0,-168.0,False,,,,False,,False,False,False,False,False,False
01131,71,36.0,0.0,,,,24.0,,18.9,13.4,2.9,1.3,26.0,3.0,-35.0,-71.0,,,,-47.0,,-52.1,-57.5,-68.1,-69.7,-45.0,-68.0,False,,,,False,,False,False,False,False,False,False
01133,374,114.0,205.0,,,,164.0,,95.5,75.0,29.3,13.5,69.5,32.0,-260.0,-169.0,,,,-210.0,,-278.5,-299.0,-344.7,-360.4,-304.5,-342.0,True,,,,True,,False,False,False,False,False,False
02013,6,18.0,0.0,,,,,,4.5,10.3,,0.4,,118.0,12.0,-6.0,,,,,,-1.5,4.3,,-5.6,,112.0,True,,,,,,True,True,,True,,False
02016,9,0.0,0.0,,,,,,0.2,4.3,,0.7,,0.0,-9.0,-9.0,,,,,,-8.8,-4.7,,-8.3,,-9.0,False,,,,,,True,True,,True,,False
02020,7103,2922.0,4190.0,,,,,,2590.1,1754.8,1950.1,2167.8,1198.8,1336.0,-4181.0,-2913.0,,,,,,-4512.9,-5348.2,-5152.9,-4935.2,-5904.2,-5767.0,True,,,,,,False,False,False,False,False,False
02050,765,66.0,0.0,,,,,,90.0,50.1,5.8,35.1,83.7,39.0,-699.0,-765.0,,,,,,-675.0,-714.9,-759.2,-729.9,-681.3,-726.0,False,,,,,,True,False,False,False,True,False
02060,0,0.0,0.0,,,,,,0.0,0.0,0.3,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.3,0.0,,0.0,True,,,,,,False,True,False,True,,True
02068,24,24.0,0.0,,,,,,824.5,12.3,,2.4,,51.0,0.0,-24.0,,,,,,800.5,-11.7,,-21.6,,27.0,False,,,,,,False,False,,False,,False
02070,49,6.0,0.0,,,,,,5.0,8.8,0.3,2.6,,2.0,-43.0,-49.0,,,,,,-44.0,-40.2,-48.7,-46.4,,-47.0,False,,,,,,False,True,False,False,,False
02090,1517,954.0,1401.0,,,,,,928.9,442.3,1239.3,929.6,481.9,611.0,-563.0,-116.0,,,,,,-588.1,-1074.7,-277.7,-587.4,-1035.1,-906.0,True,,,,,,False,False,True,False,False,False
02100,7,0.0,0.0,,,,,,0.2,1.0,,0.0,,0.0,-7.0,-7.0,,,,,,-6.8,-6.0,,-7.0,,-7.0,False,,,,,,True,True,,False,,False
02105,0,0.0,0.0,,,,,,0.5,3.5,,0.0,,,0.0,0.0,,,,,,0.5,3.5,,0.0,,,True,,,,,,False,False,,True,,
02110,343,72.0,65.0,,,,,,69.7,106.8,10.2,20.4,60.6,32.0,-271.0,-278.0,,,,,,-273.3,-236.2,-332.8,-322.6,-282.4,-311.0,False,,,,,,False,True,False,False,False,False
02122,1046,96.0,42.0,,,,,,99.0,91.4,15.8,66.2,68.4,188.0,-950.0,-1004.0,,,,,,-947.0,-954.6,-1030.2,-979.8,-977.6,-858.0,False,,,,,,True,False,False,False,False,True
02130,97,6.0,0.0,,,,,,5.0,10.1,1.9,1.5,8.2,30.0,-91.0,-97.0,,,,,,-92.0,-86.9,-95.1,-95.5,-88.8,-67.0,False,,,,,,False,True,False,False,True,True
02150,85,36.0,,,,,,,44.4,18.8,1.9,47.5,,167.0,-49.0,,,,,,,-40.6,-66.2,-83.1,-37.5,,82.0,,,,,,,True,False,False,True,,False
02158,338,12.0,0.0,,,,,,11.7,,,0.7,,16.0,-326.0,-338.0,,,,,,-326.3,,,-337.3,,-322.0,False,,,,,,False,,,False,,True
02164,34,0.0,0.0,,,,,,0.8,2.9,,0.0,,,-34.0,-34.0,,,,,,-33.2,-31.1,,-34.0,,,False,,,,,,True,True,,False,,
02170,1613,354.0,0.0,,,,,,255.2,307.5,182.2,567.6,202.2,625.0,-1259.0,-1613.0,,,,,,-1357.8,-1305.5,-1430.8,-1045.4,-1410.8,-988.0,False,,,,,,False,False,False,True,False,True
02180,77,96.0,0.0,,,,,,170.5,22.0,3.5,12.1,,90.0,19.0,-77.0,,,,,,93.5,-55.0,-73.5,-64.9,,13.0,False,,,,,,False,False,False,False,,True
02185,219,156.0,0.0,,,,,,292.2,46.8,20.0,10.9,,69.0,-63.0,-219.0,,,,,,73.2,-172.2,-199.0,-208.1,,-150.0,False,,,,,,False,False,False,False,,False
02188,164,150.0,4.0,,,,,,212.4,24.1,30.2,49.6,,30.0,-14.0,-160.0,,,,,,48.4,-139.9,-133.8,-114.4,,-134.0,False,,,,,,False,False,False,False,,False
02195,10,6.0,0.0,,,,,,6.5,0.7,0.2,6.8,,63.0,-4.0,-10.0,,,,,,-3.5,-9.3,-9.8,-3.2,,53.0,False,,,,,,True,False,False,True,,False
02198,12,0.0,0.0,,,,,,6.0,10.6,1.4,28.5,,0.0,-12.0,-12.0,,,,,,-6.0,-1.4,-10.6,16.5,,-12.0,False,,,,,,True,True,True,False,,False
02220,49,54.0,,,,,,,46.5,13.7,2.2,4.4,38.2,94.0,5.0,,,,,,,-2.5,-35.3,-46.8,-44.6,-10.8,45.0,,,,,,,True,False,False,False,False,False
02230,8,0.0,0.0,,,,,,0.0,0.0,,0.0,,,-8.0,-8.0,,,,,,-8.0,-8.0,,-8.0,,,False,,,,,,False,False,,False,,
02240,108,18.0,0.0,,,,,,23.5,4.3,4.9,69.0,,21.0,-90.0,-108.0,,,,,,-84.5,-103.7,-103.1,-39.0,,-87.0,False,,,,,,True,False,False,True,,True
02261,85,24.0,0.0,,,,,,24.4,3.6,3.6,0.0,,119.0,-61.0,-85.0,,,,,,-60.6,-81.4,-81.4,-85.0,,34.0,False,,,,,,True,False,False,False,,True
02275,0,0.0,0.0,,,,,,0.1,1.5,,1.0,,0.0,0.0,0.0,,,,,,0.1,1.5,,1.0,,0.0,True,,,,,,False,False,,False,,True
02282,12,0.0,0.0,,,,,,0.2,0.0,,0.0,,1.0,-12.0,-12.0,,,,,,-11.8,-12.0,,-12.0,,-11.0,False,,,,,,True,False,,False,,True
02290,48,18.0,0.0,,,,,,20.7,2.9,6.5,28.5,,19.0,-30.0,-48.0,,,,,,-27.3,-45.1,-41.5,-19.5,,-29.0,False,,,,,,True,False,False,True,,True
04001,792,324.0,247.0,,,,482.0,,278.9,113.4,80.9,23.3,174.6,188.0,-468.0,-545.0,,,,-310.0,,-513.1,-678.6,-711.1,-768.7,-617.4,-604.0,False,,,,True,,False,False,False,False,False,False
04003,762,102.0,37.0,,,,271.0,,113.7,207.9,11.7,35.8,75.7,117.0,-660.0,-725.0,,,,-491.0,,-648.3,-554.1,-750.3,-726.2,-686.3,-645.0,False,,,,True,,True,True,False,False,False,True
04005,1985,1338.0,3020.0,,,,591.0,,1241.6,365.8,680.1,158.4,407.6,920.0,-647.0,1035.0,,,,-1394.0,,-743.4,-1619.2,-1304.9,-1826.6,-1577.4,-1065.0,False,,,,False,,False,False,False,False,False,False
04007,903,840.0,430.0,,,,99.0,,779.0,142.5,681.8,326.7,411.8,3221.0,-63.0,-473.0,,,,-804.0,,-124.0,-760.5,-221.2,-576.3,-491.2,2318.0,False,,,,False,,False,False,False,False,False,False
04009,771,354.0,85.0,,,,72.0,,300.6,54.1,141.7,128.1,208.8,407.0,-417.0,-686.0,,,,-699.0,,-470.4,-716.9,-629.3,-642.9,-562.2,-364.0,False,,,,False,,False,False,False,False,False,True
04011,74,0.0,0.0,,,,38.0,,2.6,10.5,1.0,2.9,0.9,0.0,-74.0,-74.0,,,,-36.0,,-71.4,-63.5,-73.0,-71.1,-73.1,-74.0,False,,,,True,,True,True,True,True,True,False
04012,128,24.0,6.0,,,,31.0,,102.9,34.0,1.3,2.1,14.2,19.0,-104.0,-122.0,,,,-97.0,,-25.1,-94.0,-126.7,-125.9,-113.8,-109.0,False,,,,True,,True,True,False,False,False,False
04013,31989,12030.0,15976.0,,,,6346.0,,7789.8,5845.5,7975.3,4735.4,9231.9,8756.0,-19959.0,-16013.0,,,,-25643.0,,-24199.2,-26143.5,-24013.7,-27253.6,-22757.1,-23233.0,True,,,,False,,False,False,False,False,False,False
04015,1017,420.0,401.0,,,,478.0,,406.3,369.2,114.3,46.3,203.6,319.0,-597.0,-616.0,,,,-539.0,,-610.7,-647.8,-902.7,-970.7,-813.4,-698.0,False,,,,True,,False,False,False,False,False,False
04017,1331,198.0,92.0,,,,733.0,,142.2,97.8,44.0,28.6,113.7,140.0,-1133.0,-1239.0,,,,-598.0,,-1188.8,-1233.2,-1287.0,-1302.4,-1217.3,-1191.0,False,,,,True,,False,False,False,False,False,False
04019,6352,3156.0,423.0,,,,1309.0,,2456.2,2222.7,1658.1,507.1,1762.0,908.0,-3196.0,-5929.0,,,,-5043.0,,-3895.8,-4129.3,-4693.9,-5844.9,-4590.0,-5444.0,False,,,,False,,False,False,False,False,False,False
04021,2848,1074.0,1984.0,,,,532.0,,839.4,736.8,618.6,325.8,633.0,931.0,-1774.0,-864.0,,,,-2316.0,,-2008.6,-2111.2,-2229.4,-2522.2,-2215.0,-1917.0,True,,,,False,,False,False,False,False,False,False
04023,385,288.0,6.0,,,,130.0,,201.8,58.3,40.6,419.1,227.0,0.0,-97.0,-379.0,,,,-255.0,,-183.2,-326.7,-344.4,34.1,-158.0,-385.0,False,,,,False,,False,False,False,True,False,False
04025,961,486.0,882.0,,,,369.0,,389.9,401.6,272.8,129.9,374.3,411.0,-475.0,-79.0,,,,-592.0,,-571.1,-559.4,-688.2,-831.1,-586.7,-550.0,True,,,,False,,False,False,False,False,False,False
04027,2422,816.0,634.0,,,,226.0,,574.9,220.8,161.0,38.6,1336.7,737.0,-1606.0,-1788.0,,,,-2196.0,,-1847.1,-2201.2,-2261.0,-2383.4,-1085.3,-1685.0,False,,,,False,,False,False,False,False,True,False
05001,379,300.0,547.0,,,,227.0,,360.3,90.6,152.9,65.2,80.1,127.0,-79.0,168.0,,,,-152.0,,-18.7,-288.4,-226.1,-313.8,-298.9,-252.0,False,,,,False,,True,False,False,False,False,False
05003,224,120.0,0.0,,,,156.0,,96.2,47.3,46.3,42.8,81.1,101.0,-104.0,-224.0,,,,-68.0,,-127.8,-176.7,-177.7,-181.2,-142.9,-123.0,False,,,,True,,False,False,False,False,False,False
05005,682,360.0,282.0,,,,386.0,,570.4,251.1,117.5,96.9,460.7,177.0,-322.0,-400.0,,,,-296.0,,-111.6,-430.9,-564.5,-585.1,-221.3,-505.0,False,,,,True,,True,False,False,False,True,False
05007,3413,2064.0,1574.0,,,,2595.0,,1694.4,458.5,736.7,395.4,1014.0,1091.0,-1349.0,-1839.0,,,,-818.0,,-1718.6,-2954.5,-2676.3,-3017.6,-2399.0,-2322.0,False,,,,True,,False,False,False,False,False,False
