,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,92636,40500.0,60404.0,,38674.7,20443.0,,24380.0,37145.5,34321.9,24718.1,28458.9,27683.8,,26577.9,22581.0,37330.0,-52136.0,-32232.0,,-53961.3,-72193.0,,-68256.0,-55490.5,-58314.1,-67917.9,-64177.1,-64952.2,,-66058.1,-70055.0,-55306.0,True,,False,False,,False,False,False,False,False,False,,False,False,False
Hawaii,3194,3185.0,4325.0,,3364.5,1129.0,,,4563.0,3293.4,6135.0,2949.6,2383.0,,1575.5,3314.7,1090.0,-9.0,1131.0,,170.5,-2065.0,,,1369.0,99.4,2941.0,-244.4,-811.0,,-1618.5,120.7,-2104.0,False,,False,False,,,False,False,False,False,False,,False,False,False
Idaho,33616,19995.0,23060.0,,18713.5,6516.0,,12592.0,30183.0,20528.5,9354.0,14238.7,12050.6,,9455.8,16552.7,13646.0,-13621.0,-10556.0,,-14902.5,-27100.0,,-21024.0,-3433.0,-13087.5,-24262.0,-19377.3,-21565.4,,-24160.2,-17063.3,-19970.0,True,,False,False,,False,True,True,False,False,False,,False,False,False
Illinois,243534,83345.0,106489.0,,74685.4,17768.0,,57953.0,108864.3,65059.6,49565.0,59606.9,64689.2,,69272.0,130962.1,75899.0,-160189.0,-137045.0,,-168848.6,-225766.0,,-185581.0,-134669.7,-178474.4,-193969.0,-183927.1,-178844.8,,-174262.0,-112571.9,-167635.0,True,,False,False,,False,True,False,False,False,False,,False,True,False
Indiana,111476,46760.0,65956.0,,41198.8,23353.0,,32338.0,60238.4,38245.0,48545.1,57028.3,39561.2,,27387.1,90717.4,68081.0,-64716.0,-45520.0,,-70277.2,-88123.0,,-79138.0,-51237.6,-73231.0,-62930.9,-54447.7,-71914.8,,-84088.9,-20758.6,-43395.0,True,,False,False,,False,True,False,True,True,False,,False,True,True
Iowa,84513,33705.0,35846.0,,33672.0,22537.0,,25291.0,40012.6,31018.8,15207.2,43152.7,25420.9,,18515.7,34316.1,37132.0,-50808.0,-48667.0,,-50841.0,-61976.0,,-59222.0,-44500.4,-53494.2,-69305.8,-41360.3,-59092.1,,-65997.3,-50196.9,-47381.0,True,,False,False,,False,True,False,False,True,False,,False,True,True
Kansas,50090,21570.0,22257.0,,21096.4,21717.0,,18498.0,13434.4,28340.2,12383.0,22710.5,11522.3,,17836.1,14508.4,17965.0,-28520.0,-27833.0,,-28993.6,-28373.0,,-31592.0,-36655.6,-21749.8,-37707.0,-27379.5,-38567.7,,-32253.9,-35581.6,-32125.0,True,,False,True,,False,False,True,False,True,False,,False,False,False
Kentucky,56692,37220.0,32721.0,,35794.3,25711.0,,27886.0,44317.1,41533.1,20950.8,55133.3,24018.7,,33496.3,40165.1,52558.0,-19472.0,-23971.0,,-20897.7,-30981.0,,-28806.0,-12374.9,-15158.9,-35741.2,-1558.7,-32673.3,,-23195.7,-16526.9,-4134.0,False,,False,False,,False,True,True,False,True,False,,False,True,True
Louisiana,28575,17385.0,21302.0,,17512.7,6330.0,,17813.0,6654.6,15539.1,18918.3,12288.6,13389.4,,9172.9,12619.4,10234.0,-11190.0,-7273.0,,-11062.3,-22245.0,,-10762.0,-21920.4,-13035.9,-9656.7,-16286.4,-15185.6,,-19402.1,-15955.6,-18341.0,True,,True,False,,True,False,False,True,False,False,,False,False,False
Maine,3096,1055.0,1568.0,,1037.3,537.0,,1224.0,994.9,1034.2,1985.1,1480.9,625.6,,903.0,890.8,976.0,-2041.0,-1528.0,,-2058.7,-2559.0,,-1872.0,-2101.1,-2061.8,-1110.9,-1615.1,-2470.4,,-2193.0,-2205.2,-2120.0,True,,False,False,,True,False,False,True,True,False,,False,False,False
Maryland,33295,19880.0,22741.0,,18671.3,2049.0,,14937.0,23959.6,13880.8,26341.1,18343.2,13445.8,,13256.9,23348.2,23337.0,-13415.0,-10554.0,,-14623.7,-31246.0,,-18358.0,-9335.4,-19414.2,-6953.9,-14951.8,-19849.2,,-20038.1,-9946.8,-9958.0,True,,False,False,,False,True,False,True,False,False,,False,True,True
Massachusetts,47802,20185.0,17930.0,,22646.6,14282.0,,14268.0,31591.4,15180.3,21591.4,32317.7,12346.4,,12471.6,23790.3,18413.0,-27617.0,-29872.0,,-25155.4,-33520.0,,-33534.0,-16210.6,-32621.7,-26210.6,-15484.3,-35455.6,,-35330.4,-24011.7,-29389.0,False,,True,False,,False,True,False,True,True,False,,False,True,False
Michigan,126339,40910.0,60975.0,,39005.6,14895.0,,33075.0,65607.7,32804.8,43019.4,46784.8,18722.8,,29212.9,33085.0,57960.0,-85429.0,-65364.0,,-87333.4,-111444.0,,-93264.0,-60731.3,-93534.2,-83319.6,-79554.2,-107616.2,,-97126.1,-93254.0,-68379.0,True,,False,False,,False,True,False,True,True,False,,False,False,True
Minnesota,105200,40205.0,48284.0,,36787.5,42473.0,,40303.0,52862.0,33331.9,19597.2,52099.6,33840.6,,30379.9,59489.7,42934.0,-64995.0,-56916.0,,-68412.5,-62727.0,,-64897.0,-52338.0,-71868.1,-85602.8,-53100.4,-71359.4,,-74820.1,-45710.3,-62266.0,True,,False,True,,True,True,False,False,True,False,,False,True,True
Mississippi,28702,22355.0,25061.0,,14948.0,6197.0,,15423.0,31154.0,18414.7,8975.9,21530.8,12799.0,,15875.6,18760.7,24702.0,-6347.0,-3641.0,,-13754.0,-22505.0,,-13279.0,2452.0,-10287.3,-19726.1,-7171.2,-15903.0,,-12826.4,-9941.3,-4000.0,True,,False,False,,False,True,False,False,False,False,,False,False,True
Missouri,104198,65260.0,54781.0,,46255.1,46028.0,,38548.0,51062.5,51510.0,25691.4,48707.4,29354.5,,42965.5,83521.9,50592.0,-38938.0,-49417.0,,-57942.9,-58170.0,,-65650.0,-53135.5,-52688.0,-78506.6,-55490.6,-74843.5,,-61232.5,-20676.1,-53606.0,False,,False,False,,False,False,False,False,False,False,,False,True,False
Montana,27769,18805.0,23833.0,,19342.1,9506.0,,17506.0,26384.9,32258.7,3198.8,20337.4,19767.2,,8888.0,24244.9,15950.0,-8964.0,-3936.0,,-8426.9,-18263.0,,-10263.0,-1384.1,4489.7,-24570.2,-7431.6,-8001.8,,-18881.0,-3524.1,-11819.0,True,,True,False,,False,True,True,False,True,True,,False,True,False
Nebraska,44947,22420.0,26916.0,,17755.0,17930.0,,15059.0,16961.1,17399.2,15025.0,28864.5,17884.2,,14529.8,30011.5,24582.0,-22527.0,-18031.0,,-27192.0,-27017.0,,-29888.0,-27985.9,-27547.8,-29922.0,-16082.5,-27062.8,,-30417.2,-14935.5,-20365.0,True,,False,False,,False,False,False,False,True,False,,False,True,True
Nevada,33607,18455.0,20106.0,,18950.3,4692.0,,7637.0,29941.4,14275.0,14663.9,42814.0,11879.3,,10181.7,20415.6,20031.0,-15152.0,-13501.0,,-14656.7,-28915.0,,-25970.0,-3665.6,-19332.0,-18943.1,9207.0,-21727.7,,-23425.3,-13191.4,-13576.0,True,,True,False,,False,True,False,False,True,False,,False,True,True
New Hampshire,5120,2475.0,6383.0,,2322.6,2321.0,,1952.0,2042.0,2070.4,3100.4,4347.9,1770.2,,1532.2,7313.8,6219.0,-2645.0,1263.0,,-2797.4,-2799.0,,-3168.0,-3078.0,-3049.6,-2019.6,-772.1,-3349.8,,-3587.8,2193.8,1099.0,True,,False,False,,False,False,False,True,True,False,,False,True,True
New Jersey,75956,26505.0,35335.0,,29505.4,6399.0,,16342.0,42884.0,16815.3,64232.8,43099.3,18279.9,,22687.1,29480.3,38566.0,-49451.0,-40621.0,,-46450.6,-69557.0,,-59614.0,-33072.0,-59140.7,-11723.2,-32856.7,-57676.1,,-53268.9,-46475.7,-37390.0,True,,True,False,,False,True,False,True,True,False,,False,True,True
New Mexico,30449,12130.0,18824.0,,11981.4,2624.0,,7996.0,24881.5,11593.6,10482.3,8464.2,9199.3,,7509.7,24710.3,15599.0,-18319.0,-11625.0,,-18467.6,-27825.0,,-22453.0,-5567.5,-18855.4,-19966.7,-21984.8,-21249.7,,-22939.3,-5738.7,-14850.0,True,,False,False,,False,True,False,False,False,False,,False,True,True
New York,85524,48915.0,73953.0,,49352.2,12427.0,,27598.0,102982.4,36541.4,110662.5,118378.2,29554.3,,37528.8,70624.0,82298.0,-36609.0,-11571.0,,-36171.8,-73097.0,,-57926.0,17458.4,-48982.6,25138.5,32854.2,-55969.7,,-47995.2,-14900.0,-3226.0,True,,True,False,,False,True,False,True,True,False,,False,True,True
North Carolina,79366,64330.0,103925.0,,47919.7,33572.0,,54545.0,103676.4,59563.1,40490.3,72894.3,43599.7,,64363.6,91328.5,82120.0,-15036.0,24559.0,,-31446.3,-45794.0,,-24821.0,24310.4,-19802.9,-38875.7,-6471.7,-35766.3,,-15002.4,11962.5,2754.0,False,,False,False,,False,False,False,False,True,False,,True,True,True
North Dakota,36245,17465.0,15687.0,,14064.4,12807.0,,13705.0,18128.1,18999.5,6318.1,25928.3,15618.6,,19616.5,16430.4,20366.0,-18780.0,-20558.0,,-22180.6,-23438.0,,-22540.0,-18116.9,-17245.5,-29926.9,-10316.7,-20626.4,,-16628.5,-19814.6,-15879.0,False,,False,False,,False,True,True,False,True,False,,True,False,True
Ohio,122785,47460.0,67971.0,,40971.1,28750.0,,40514.0,52849.7,46292.7,79256.7,74621.5,31642.2,,27853.4,70908.2,48473.0,-75325.0,-54814.0,,-81813.9,-94035.0,,-82271.0,-69935.3,-76492.3,-43528.3,-48163.5,-91142.8,,-94931.6,-51876.8,-74312.0,True,,False,False,,False,True,False,True,True,False,,False,True,True
Oklahoma,51584,39365.0,48517.0,,38662.3,29147.0,,37045.0,46300.9,33449.3,20913.7,48512.7,24432.9,,19101.2,39705.4,33908.0,-12219.0,-3067.0,,-12921.7,-22437.0,,-14539.0,-5283.1,-18134.7,-30670.3,-3071.3,-27151.1,,-32482.8,-11878.6,-17676.0,True,,False,False,,False,True,False,False,True,False,,False,True,False
Oregon,19094,12065.0,15669.0,,10957.6,5987.0,,7022.0,18326.4,13183.1,13355.6,10069.8,8675.3,,6885.9,19820.3,15408.0,-7029.0,-3425.0,,-8136.4,-13107.0,,-12072.0,-767.6,-5910.9,-5738.4,-9024.2,-10418.7,,-12208.1,726.3,-3686.0,True,,False,False,,False,True,True,True,False,False,,False,True,True
Pennsylvania,88425,47795.0,88847.0,,36809.3,9384.0,,30134.0,55377.1,37125.5,74487.8,89013.3,26866.5,,58033.2,59157.7,44518.0,-40630.0,422.0,,-51615.7,-79041.0,,-58291.0,-33047.9,-51299.5,-13937.2,588.3,-61558.5,,-30391.8,-29267.3,-43907.0,True,,False,False,,False,True,False,True,True,False,,True,True,False
Rhode Island,15235,6090.0,6753.0,,4409.8,1067.0,,4073.0,5340.9,5017.3,5021.1,4848.1,2669.3,,4000.9,3203.7,9089.0,-9145.0,-8482.0,,-10825.2,-14168.0,,-11162.0,-9894.1,-10217.7,-10213.9,-10386.9,-12565.7,,-11234.1,-12031.3,-6146.0,True,,False,False,,False,False,False,False,False,False,,False,False,True
South Carolina,37393,28650.0,33813.0,,28891.9,13712.0,,26309.0,41728.7,25785.2,9970.8,37982.6,18823.4,,15351.5,21703.8,22073.0,-8743.0,-3580.0,,-8501.1,-23681.0,,-11084.0,4335.7,-11607.8,-27422.2,589.6,-18569.6,,-22041.5,-15689.2,-15320.0,True,,True,False,,False,True,False,False,True,False,,False,False,False
South Dakota,36235,19805.0,20947.0,,15488.9,12313.0,,16447.0,22889.8,23319.3,6979.8,22247.4,18392.0,,10044.6,18770.6,13534.0,-16430.0,-15288.0,,-20746.1,-23922.0,,-19788.0,-13345.2,-12915.7,-29255.2,-13987.6,-17843.0,,-26190.4,-17464.4,-22701.0,True,,False,False,,False,True,True,False,True,False,,False,False,False
Tennessee,92471,65270.0,98866.0,,51370.6,28388.0,,44824.0,50932.4,59152.0,27101.8,27136.1,43236.4,,39733.0,65997.9,55359.0,-27201.0,6395.0,,-41100.4,-64083.0,,-47647.0,-41538.6,-33319.0,-65369.2,-65334.9,-49234.6,,-52738.0,-26473.1,-37112.0,True,,False,False,,False,False,False,False,False,False,,False,True,False
Texas,283337,142450.0,170457.0,,169705.4,57048.0,,163300.0,182666.1,128812.8,126946.5,195750.3,69579.1,,86389.1,92379.1,118892.0,-140887.0,-112880.0,,-113631.6,-226289.0,,-120037.0,-100670.9,-154524.2,-156390.5,-87586.7,-213757.9,,-196947.9,-190957.9,-164445.0,True,,True,False,,True,True,False,False,True,False,,False,False,False
Utah,66497,42095.0,46319.0,,43933.0,12846.0,,30020.0,48768.6,26465.9,27446.4,56016.0,31209.5,,20550.8,36037.5,34892.0,-24402.0,-20178.0,,-22564.0,-53651.0,,-36477.0,-17728.4,-40031.1,-39050.6,-10481.0,-35287.5,,-45946.2,-30459.5,-31605.0,True,,True,False,,False,True,False,False,True,False,,False,False,False
Vermont,986,395.0,476.0,,455.1,78.0,,190.0,460.7,803.6,558.6,145.5,196.1,,310.0,718.5,982.0,-591.0,-510.0,,-530.9,-908.0,,-796.0,-525.3,-182.4,-427.4,-840.5,-789.9,,-676.0,-267.5,-4.0,True,,True,False,,False,True,True,True,False,False,,False,True,True
Virginia,42894,35130.0,58263.0,,26689.9,10690.0,,22395.0,27907.4,33473.8,24956.4,27846.6,22659.0,,29670.3,56141.4,49794.0,-7764.0,15369.0,,-16204.1,-32204.0,,-20499.0,-14986.6,-9420.2,-17937.6,-15047.4,-20235.0,,-13223.7,13247.4,6900.0,False,,False,False,,False,False,False,False,False,False,,False,False,True
Washington,37852,18080.0,18575.0,,14695.8,22713.0,,10285.0,29409.9,16648.9,17856.9,12906.5,7562.5,,10395.5,8863.2,17527.0,-19772.0,-19277.0,,-23156.2,-15139.0,,-27567.0,-8442.1,-21203.1,-19995.1,-24945.5,-30289.5,,-27456.5,-28988.8,-20325.0,True,,False,True,,False,True,False,False,False,False,,False,False,False
West Virginia,14865,7230.0,8800.0,,5893.8,7535.0,,4433.0,5937.4,10010.8,6220.2,8133.7,5769.0,,3687.7,11283.8,7383.0,-7635.0,-6065.0,,-8971.2,-7330.0,,-10432.0,-8927.6,-4854.2,-8644.8,-6731.3,-9096.0,,-11177.3,-3581.2,-7482.0,True,,False,True,,False,False,True,False,True,False,,False,True,True
Wisconsin,176044,83810.0,89952.0,,86475.7,43640.0,,75420.0,103569.9,79741.4,43861.9,109781.3,69746.5,,48902.0,73461.0,66266.0,-92234.0,-86092.0,,-89568.3,-132404.0,,-100624.0,-72474.1,-96302.6,-132182.1,-66262.7,-106297.5,,-127142.0,-102583.0,-109778.0,True,,True,False,,False,True,False,False,True,False,,False,False,False
Wyoming,14426,5450.0,5848.0,,5963.5,3379.0,,4877.0,6486.4,7235.6,1945.1,4899.6,4412.3,,2781.4,6915.9,6657.0,-8976.0,-8578.0,,-8462.5,-11047.0,,-9549.0,-7939.6,-7190.4,-12480.9,-9526.4,-10013.7,,-11644.6,-7510.1,-7769.0,True,,True,False,,False,True,True,False,False,False,,False,True,True
US,3282152,1677955.0,2067531.0,1845983.1,1740888.2,818496.0,1507892.0,1273033.0,2048143.0,1483068.4,1370472.8,1950783.1,1045633.6,2246225.2,1233347.7,1840199.7,1608058.0,-1604197.0,-1214621.0,-1436168.9,-1541263.8,-2463656.0,-1774260.0,-2009119.0,-1234009.0,-1799083.6,-1911679.2,-1331368.9,-2236518.4,-1035926.8,-2048804.3,-1441952.3,-1674094.0,True,True,True,False,False,False,True,False,False,True,False,True,False,True,False
