,actual_cases,COVIDhub-baseline,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01033,1110,688.0,,,957.0,,,40.8,572.0,,,-422.0,,,-153.0,,,-1069.2,-538.0,,,,,True,,,False,False,,
01035,119,640.0,,,138.0,,29.5,6.5,,,,521.0,,,19.0,,-89.5,-112.5,,,,,,True,,True,True,,,
01037,98,376.0,,,148.0,,19.8,80.4,,,,278.0,,,50.0,,-78.2,-17.6,,,,,,True,,True,True,,,
01039,730,3712.0,,,751.0,,182.5,219.9,,,,2982.0,,,21.0,,-547.5,-510.1,,,,,,True,,True,True,,,
01041,149,840.0,,,331.0,,78.9,2.6,,,,691.0,,,182.0,,-70.1,-146.4,,,,,,True,,True,True,,,
01043,1840,2592.0,,,1926.0,,411.8,133.9,948.4,,,752.0,,,86.0,,-1428.2,-1706.1,-891.6,,,,,True,,False,False,False,,
01045,849,1920.0,,,719.0,,231.8,6.6,892.9,,,1071.0,,,-130.0,,-617.2,-842.4,43.9,,,,,True,,True,True,True,,
01047,325,2104.0,,,682.0,,165.7,211.2,734.2,,,1779.0,,,357.0,,-159.3,-113.8,409.2,,,,,True,,True,True,True,,
01049,1833,1632.0,,,1324.0,,79.2,130.4,1066.7,,,-201.0,,,-509.0,,-1753.8,-1702.6,-766.3,,,,,False,,False,False,False,,
01051,1096,2648.0,,,1316.0,,492.0,379.5,1648.7,,,1552.0,,,220.0,,-604.0,-716.5,552.7,,,,,True,,True,True,True,,
01053,324,2152.0,,,707.0,,167.0,108.9,692.9,,,1828.0,,,383.0,,-157.0,-215.1,368.9,,,,,True,,True,True,True,,
01055,1985,3832.0,,,1664.0,,788.5,421.1,1341.9,,,1847.0,,,-321.0,,-1196.5,-1563.9,-643.1,,,,,True,,True,True,True,,
01057,293,616.0,,,224.0,,118.5,79.4,,,,323.0,,,-69.0,,-174.5,-213.6,,,,,,True,,True,True,,,
01059,592,792.0,,,853.0,,324.4,152.4,442.7,,,200.0,,,261.0,,-267.6,-439.6,-149.3,,,,,False,,False,False,True,,
01061,518,1216.0,,,417.0,,108.7,122.2,,,,698.0,,,-101.0,,-409.3,-395.8,,,,,,True,,True,True,,,
01063,73,144.0,,,58.0,,0.0,12.0,,,,71.0,,,-15.0,,-73.0,-61.0,,,,,,True,,False,True,,,
01065,246,488.0,,,290.0,,55.6,6.5,,,,242.0,,,44.0,,-190.4,-239.5,,,,,,True,,True,True,,,
01067,339,864.0,,,141.0,,90.0,167.0,,,,525.0,,,-198.0,,-249.0,-172.0,,,,,,True,,True,True,,,
01069,2013,5640.0,,,1426.0,,704.6,590.9,2439.9,,,3627.0,,,-587.0,,-1308.4,-1422.1,426.9,,,,,True,,True,True,True,,
01071,1212,1120.0,,,871.0,,142.5,221.2,669.4,,,-92.0,,,-341.0,,-1069.5,-990.8,-542.6,,,,,False,,False,False,False,,
01073,8750,13072.0,,,9822.0,,3599.9,3560.4,5822.4,,,4322.0,,,1072.0,,-5150.1,-5189.6,-2927.6,,,,,True,,False,False,True,,
01075,242,448.0,,,247.0,,53.6,71.0,,,,206.0,,,5.0,,-188.4,-171.0,,,,,,True,,True,True,,,
01077,1625,984.0,,,1670.0,,254.7,276.9,661.0,,,-641.0,,,45.0,,-1370.3,-1348.1,-964.0,,,,,True,,False,False,False,,
01079,475,424.0,,,526.0,,118.0,81.5,,,,-51.0,,,51.0,,-357.0,-393.5,,,,,,False,,False,False,,,
01081,1535,16896.0,,,3409.0,,2637.6,730.8,5218.8,,,15361.0,,,1874.0,,1102.6,-804.2,3683.8,,,,,True,,True,True,True,,
01083,1582,1576.0,,,1717.0,,532.0,245.3,631.0,,,-6.0,,,135.0,,-1050.0,-1336.7,-951.0,,,,,False,,False,False,False,,
01085,112,328.0,,,94.0,,0.3,19.7,,,,216.0,,,-18.0,,-111.7,-92.2,,,,,,True,,True,True,,,
01087,175,448.0,,,109.0,,46.9,34.7,,,,273.0,,,-66.0,,-128.1,-140.3,,,,,,True,,True,True,,,
01089,3778,5728.0,,,4411.0,,735.6,683.8,2118.2,,,1950.0,,,633.0,,-3042.4,-3094.2,-1659.8,,,,,True,,False,False,True,,
01091,444,344.0,,,378.0,,0.3,31.1,,,,-100.0,,,-66.0,,-443.7,-412.9,,,,,,True,,False,False,,,
01093,348,1264.0,,,431.0,,179.9,43.2,,,,916.0,,,83.0,,-168.1,-304.8,,,,,,True,,True,True,,,
01095,1461,2280.0,,,1932.0,,460.8,75.2,952.3,,,819.0,,,471.0,,-1000.2,-1385.8,-508.7,,,,,True,,False,False,True,,
01097,5470,4488.0,,,3644.0,,428.8,59.8,4072.4,,,-982.0,,,-1826.0,,-5041.2,-5410.2,-1397.6,,,,,False,,False,False,False,,
01099,149,1048.0,,,268.0,,30.8,35.0,,,,899.0,,,119.0,,-118.2,-114.0,,,,,,True,,True,True,,,
01101,2966,4256.0,,,3196.0,,1131.0,589.0,3261.1,,,1290.0,,,230.0,,-1835.0,-2377.0,295.1,,,,,True,,False,False,True,,
01103,2131,1896.0,,,1945.0,,192.1,314.0,1055.4,,,-235.0,,,-186.0,,-1938.9,-1817.0,-1075.6,,,,,True,,False,False,False,,
01105,105,416.0,,,75.0,,0.0,3.1,,,,311.0,,,-30.0,,-105.0,-101.9,,,,,,True,,True,True,,,
01107,436,560.0,,,300.0,,97.1,113.5,,,,124.0,,,-136.0,,-338.9,-322.5,,,,,,False,,False,False,,,
01109,348,2176.0,,,1071.0,,187.0,157.9,,,,1828.0,,,723.0,,-161.0,-190.1,,,,,,True,,True,True,,,
01111,331,840.0,,,408.0,,73.6,0.8,,,,509.0,,,77.0,,-257.4,-330.2,,,,,,True,,True,True,,,
01113,372,1088.0,,,895.0,,37.6,57.7,472.7,,,716.0,,,523.0,,-334.4,-314.3,100.7,,,,,True,,True,True,True,,
01115,1493,3352.0,,,1254.0,,551.7,162.2,1286.5,,,1859.0,,,-239.0,,-941.3,-1330.8,-206.5,,,,,True,,True,True,True,,
01117,3274,8552.0,,,2993.0,,2135.8,673.6,2914.9,,,5278.0,,,-281.0,,-1138.2,-2600.4,-359.1,,,,,True,,True,True,True,,
01119,105,112.0,,,138.0,,0.1,3.8,,,,7.0,,,33.0,,-104.9,-101.2,,,,,,False,,False,False,,,
01121,1071,5592.0,,,1297.0,,788.5,178.0,1813.2,,,4521.0,,,226.0,,-282.5,-893.0,742.2,,,,,True,,True,True,True,,
01123,471,1424.0,,,707.0,,83.5,77.0,,,,953.0,,,236.0,,-387.5,-394.0,,,,,,True,,True,True,,,
01125,4588,13440.0,,,5545.0,,1887.2,1713.4,4873.4,,,8852.0,,,957.0,,-2700.8,-2874.6,285.4,,,,,True,,True,True,True,,
01127,1066,1600.0,,,1284.0,,274.5,315.8,595.1,,,534.0,,,218.0,,-791.5,-750.2,-470.9,,,,,True,,False,False,True,,
01129,327,304.0,,,230.0,,0.0,1.9,,,,-23.0,,,-97.0,,-327.0,-325.1,,,,,,False,,False,False,,,
01131,79,408.0,,,78.0,,23.6,3.2,,,,329.0,,,-1.0,,-55.4,-75.8,,,,,,True,,True,True,,,
01133,434,712.0,,,410.0,,146.3,220.3,,,,278.0,,,-24.0,,-287.7,-213.7,,,,,,True,,False,True,,,
02013,9,0.0,,,,,,0.0,,,,-9.0,,,,,,-9.0,,,,,,,,,False,,,
02016,10,0.0,,,,,,0.1,,,,-10.0,,,,,,-9.9,,,,,,,,,True,,,
02020,7989,2304.0,,,,,1324.7,635.8,987.6,,,-5685.0,,,,,-6664.3,-7353.2,-7001.4,,,,,,,False,False,False,,
02050,794,80.0,,,,,,91.5,,,,-714.0,,,,,,-702.5,,,,,,,,,True,,,
02060,0,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,True,,,
02068,32,0.0,,,,,,0.0,,,,-32.0,,,,,,-32.0,,,,,,,,,False,,,
02070,51,8.0,,,,,,5.9,,,,-43.0,,,,,,-45.1,,,,,,,,,False,,,
02090,1819,720.0,,,,,571.6,336.3,,,,-1099.0,,,,,-1247.4,-1482.7,,,,,,,,False,False,,,
02100,7,8.0,,,,,,0.0,,,,1.0,,,,,,-7.0,,,,,,,,,False,,,
02105,0,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,True,,,
02110,383,264.0,,,,,164.6,206.6,,,,-119.0,,,,,-218.4,-176.4,,,,,,,,False,False,,,
02122,1076,72.0,,,,,188.0,0.8,,,,-1004.0,,,,,-888.0,-1075.2,,,,,,,,True,False,,,
02130,98,8.0,,,,,,2.6,,,,-90.0,,,,,,-95.4,,,,,,,,,False,,,
02150,93,8.0,,,,,,0.4,,,,-85.0,,,,,,-92.6,,,,,,,,,False,,,
02158,341,16.0,,,,,,5.7,,,,-325.0,,,,,,-335.3,,,,,,,,,False,,,
02164,39,0.0,,,,,,0.0,,,,-39.0,,,,,,-39.0,,,,,,,,,False,,,
02170,1696,352.0,,,,,482.8,147.2,,,,-1344.0,,,,,-1213.2,-1548.8,,,,,,,,True,False,,,
02180,108,8.0,,,,,,7.1,,,,-100.0,,,,,,-100.9,,,,,,,,,False,,,
02185,280,184.0,,,,,,141.1,,,,-96.0,,,,,,-138.9,,,,,,,,,False,,,
02188,220,72.0,,,,,,32.8,,,,-148.0,,,,,,-187.2,,,,,,,,,False,,,
02195,11,0.0,,,,,,0.0,,,,-11.0,,,,,,-11.0,,,,,,,,,False,,,
02198,13,8.0,,,,,,0.0,,,,-5.0,,,,,,-13.0,,,,,,,,,False,,,
02220,61,16.0,,,,,,7.7,,,,-45.0,,,,,,-53.3,,,,,,,,,False,,,
02230,8,0.0,,,,,,0.0,,,,-8.0,,,,,,-8.0,,,,,,,,,False,,,
02240,114,8.0,,,,,,3.3,,,,-106.0,,,,,,-110.7,,,,,,,,,False,,,
02261,91,0.0,,,,,,0.0,,,,-91.0,,,,,,-91.0,,,,,,,,,False,,,
02275,0,8.0,,,,,,8.2,,,,8.0,,,,,,8.2,,,,,,,,,False,,,
02282,16,0.0,,,,,,19.7,,,,-16.0,,,,,,3.7,,,,,,,,,True,,,
02290,53,32.0,,,,,,0.1,,,,-21.0,,,,,,-52.9,,,,,,,,,False,,,
04001,920,448.0,,,906.0,,2.9,20.5,321.3,,,-472.0,,,-14.0,,-917.1,-899.5,-598.7,,,,,True,,False,False,False,,
04003,805,104.0,,,245.0,,91.5,21.8,98.3,,,-701.0,,,-560.0,,-713.5,-783.2,-706.7,,,,,True,,False,False,False,,
04005,2535,1976.0,,,1110.0,,218.2,272.7,729.2,,,-559.0,,,-1425.0,,-2316.8,-2262.3,-1805.8,,,,,False,,False,False,False,,
04007,1118,400.0,,,63.0,,0.4,58.3,276.6,,,-718.0,,,-1055.0,,-1117.6,-1059.7,-841.4,,,,,False,,False,False,False,,
04009,860,112.0,,,89.0,,0.0,54.3,,,,-748.0,,,-771.0,,-860.0,-805.7,,,,,,False,,False,False,,,
04011,75,0.0,,,39.0,,,0.0,,,,-75.0,,,-36.0,,,-75.0,,,,,,True,,,False,,,
04012,145,72.0,,,31.0,,0.0,137.6,,,,-73.0,,,-114.0,,-145.0,-7.4,,,,,,False,,False,True,,,
04013,35371,15624.0,,,10986.0,,1142.4,1500.8,12035.3,,,-19747.0,,,-24385.0,,-34228.6,-33870.2,-23335.7,,,,,False,,False,False,False,,
04015,1172,792.0,,,519.0,,248.0,1054.7,418.0,,,-380.0,,,-653.0,,-924.0,-117.3,-754.0,,,,,False,,False,True,False,,
04017,1410,456.0,,,859.0,,7.6,268.8,263.9,,,-954.0,,,-551.0,,-1402.4,-1141.2,-1146.1,,,,,True,,False,False,False,,
04019,7696,15648.0,,,2844.0,,4996.5,3583.9,5905.5,,,7952.0,,,-4852.0,,-2699.5,-4112.1,-1790.5,,,,,True,,True,True,True,,
04021,3223,1336.0,,,622.0,,421.3,236.1,794.9,,,-1887.0,,,-2601.0,,-2801.7,-2986.9,-2428.1,,,,,False,,False,False,False,,
04023,452,248.0,,,207.0,,1.0,18.2,107.1,,,-204.0,,,-245.0,,-451.0,-433.8,-344.9,,,,,False,,False,False,False,,
04025,1104,312.0,,,449.0,,348.3,46.6,385.7,,,-792.0,,,-655.0,,-755.7,-1057.4,-718.3,,,,,True,,True,False,True,,
04027,2706,960.0,,,478.0,,7.3,494.5,399.7,,,-1746.0,,,-2228.0,,-2698.7,-2211.5,-2306.3,,,,,False,,False,False,False,,
05001,485,296.0,,,225.0,,0.1,576.8,,,,-189.0,,,-260.0,,-484.9,91.8,,,,,,False,,False,True,,,
05003,257,160.0,,,159.0,,0.5,163.3,,,,-97.0,,,-98.0,,-256.5,-93.7,,,,,,False,,False,True,,,
05005,813,536.0,,,271.0,,340.4,324.8,,,,-277.0,,,-542.0,,-472.6,-488.2,,,,,,False,,False,False,,,
05007,4113,2720.0,,,3877.0,,279.2,2155.6,1169.3,,,-1393.0,,,-236.0,,-3833.8,-1957.4,-2943.7,,,,,True,,False,False,False,,
05009,744,1032.0,,,739.0,,156.6,289.8,,,,288.0,,,-5.0,,-587.4,-454.2,,,,,,True,,False,False,,,
05011,59,112.0,,,132.0,,0.0,69.7,,,,53.0,,,73.0,,-59.0,10.7,,,,,,False,,False,True,,,
05013,71,48.0,,,32.0,,,0.5,,,,-23.0,,,-39.0,,,-70.5,,,,,,False,,,False,,,
05015,566,488.0,,,408.0,,201.0,403.8,,,,-78.0,,,-158.0,,-365.0,-162.2,,,,,,False,,False,False,,,
05017,96,128.0,,,129.0,,0.7,7.5,,,,32.0,,,33.0,,-95.3,-88.5,,,,,,False,,False,False,,,
05019,371,256.0,,,384.0,,54.5,89.8,,,,-115.0,,,13.0,,-316.5,-281.2,,,,,,True,,False,False,,,
05021,412,232.0,,,256.0,,60.4,160.6,,,,-180.0,,,-156.0,,-351.6,-251.4,,,,,,True,,False,False,,,
05023,283,144.0,,,310.0,,92.6,9.9,,,,-139.0,,,27.0,,-190.4,-273.1,,,,,,True,,False,False,,,
05025,120,168.0,,,66.0,,32.3,27.5,,,,48.0,,,-54.0,,-87.7,-92.5,,,,,,False,,False,False,,,
05027,491,296.0,,,296.0,,94.1,116.2,,,,-195.0,,,-195.0,,-396.9,-374.9,,,,,,False,,False,False,,,
05029,242,112.0,,,569.0,,128.4,38.6,,,,-130.0,,,327.0,,-113.6,-203.3,,,,,,False,,True,False,,,
05031,3369,1976.0,,,2416.0,,1034.1,770.0,1077.7,,,-1393.0,,,-953.0,,-2334.9,-2599.0,-2291.3,,,,,True,,False,False,False,,
05033,1380,1240.0,,,1208.0,,475.4,363.7,1666.2,,,-140.0,,,-172.0,,-904.6,-1016.3,286.2,,,,,False,,False,False,False,,
05035,1008,552.0,,,716.0,,5.0,178.0,352.3,,,-456.0,,,-292.0,,-1003.0,-830.0,-655.7,,,,,True,,False,False,False,,
05037,276,328.0,,,297.0,,1.6,284.5,,,,52.0,,,21.0,,-274.4,8.5,,,,,,True,,False,True,,,
05039,75,24.0,,,63.0,,0.0,32.9,,,,-51.0,,,-12.0,,-75.0,-42.1,,,,,,True,,False,True,,,
05041,198,144.0,,,121.0,,0.0,42.4,,,,-54.0,,,-77.0,,-198.0,-155.6,,,,,,False,,False,False,,,
05043,164,128.0,,,254.0,,0.0,1.0,,,,-36.0,,,90.0,,-164.0,-163.0,,,,,,False,,False,False,,,
05045,1871,1912.0,,,2198.0,,782.1,1014.1,812.3,,,41.0,,,327.0,,-1088.9,-856.9,-1058.7,,,,,False,,False,False,False,,
05047,424,200.0,,,427.0,,72.4,69.6,,,,-224.0,,,3.0,,-351.6,-354.4,,,,,,True,,False,False,,,
05049,311,168.0,,,93.0,,87.7,109.8,,,,-143.0,,,-218.0,,-223.3,-201.2,,,,,,False,,False,False,,,
05051,1464,1008.0,,,1249.0,,532.6,244.2,570.7,,,-456.0,,,-215.0,,-931.4,-1219.8,-893.3,,,,,True,,False,False,False,,
05053,208,192.0,,,151.0,,107.4,47.2,,,,-16.0,,,-57.0,,-100.6,-160.8,,,,,,False,,False,False,,,
05055,1404,576.0,,,684.0,,185.8,87.9,,,,-828.0,,,-720.0,,-1218.2,-1316.1,,,,,,True,,False,False,,,
05057,364,88.0,,,217.0,,0.1,14.2,,,,-276.0,,,-147.0,,-363.9,-349.8,,,,,,True,,False,False,,,
05059,743,392.0,,,458.0,,5.5,55.5,133.7,,,-351.0,,,-285.0,,-737.5,-687.5,-609.3,,,,,True,,False,False,False,,
05061,261,56.0,,,213.0,,0.5,25.5,,,,-205.0,,,-48.0,,-260.5,-235.5,,,,,,True,,False,False,,,
05063,830,864.0,,,915.0,,319.2,0.0,,,,34.0,,,85.0,,-510.8,-830.0,,,,,,False,,False,False,,,
05065,737,152.0,,,169.0,,37.6,86.9,,,,-585.0,,,-568.0,,-699.4,-650.1,,,,,,True,,False,False,,,
05067,972,352.0,,,379.0,,86.0,20.7,,,,-620.0,,,-593.0,,-886.0,-951.3,,,,,,True,,False,False,,,
05069,1904,2952.0,,,847.0,,935.9,2083.4,1667.0,,,1048.0,,,-1057.0,,-968.1,179.4,-237.0,,,,,False,,True,True,True,,
05071,320,128.0,,,866.0,,2.0,8.2,,,,-192.0,,,546.0,,-318.0,-311.8,,,,,,False,,False,False,,,
05073,141,64.0,,,56.0,,,37.7,,,,-77.0,,,-85.0,,,-103.3,,,,,,False,,,False,,,
05075,656,400.0,,,254.0,,79.1,164.7,,,,-256.0,,,-402.0,,-576.9,-491.3,,,,,,False,,False,False,,,
05077,93,184.0,,,109.0,,0.9,9.9,175.1,,,91.0,,,16.0,,-92.1,-83.1,82.1,,,,,True,,False,True,True,,
05079,448,1136.0,,,273.0,,1.7,162.1,678.7,,,688.0,,,-175.0,,-446.3,-285.9,230.7,,,,,True,,True,True,True,,
05081,212,168.0,,,135.0,,0.0,9.2,,,,-44.0,,,-77.0,,-212.0,-202.8,,,,,,False,,False,False,,,
05083,342,72.0,,,472.0,,0.0,5.4,,,,-270.0,,,130.0,,-342.0,-336.6,,,,,,True,,False,False,,,
05085,1229,936.0,,,923.0,,514.8,348.1,,,,-293.0,,,-306.0,,-714.2,-880.9,,,,,,False,,False,False,,,
05087,192,96.0,,,413.0,,6.6,55.2,,,,-96.0,,,221.0,,-185.4,-136.8,,,,,,False,,False,False,,,
05089,201,120.0,,,112.0,,,19.2,,,,-81.0,,,-89.0,,,-181.8,,,,,,False,,,False,,,
05091,1123,448.0,,,527.0,,125.0,234.9,,,,-675.0,,,-596.0,,-998.0,-888.1,,,,,,True,,False,False,,,
05093,1220,744.0,,,941.0,,3.9,486.3,501.7,,,-476.0,,,-279.0,,-1216.1,-733.7,-718.3,,,,,True,,False,False,False,,
05095,149,96.0,,,99.0,,16.6,40.6,,,,-53.0,,,-50.0,,-132.4,-108.4,,,,,,True,,False,False,,,
05097,80,120.0,,,116.0,,33.7,3.2,,,,40.0,,,36.0,,-46.3,-76.8,,,,,,True,,False,False,,,
05099,185,200.0,,,95.0,,0.6,348.9,,,,15.0,,,-90.0,,-184.4,163.9,,,,,,False,,False,False,,,
05101,163,296.0,,,115.0,,0.0,108.6,,,,133.0,,,-48.0,,-163.0,-54.4,,,,,,True,,False,True,,,
05103,248,248.0,,,193.0,,129.5,44.5,,,,0.0,,,-55.0,,-118.5,-203.5,,,,,,False,,False,False,,,
05105,117,64.0,,,100.0,,,94.8,,,,-53.0,,,-17.0,,,-22.2,,,,,,True,,,True,,,
05107,381,184.0,,,226.0,,0.0,142.4,,,,-197.0,,,-155.0,,-381.0,-238.6,,,,,,True,,False,False,,,
05109,98,48.0,,,167.0,,0.0,24.9,,,,-50.0,,,69.0,,-98.0,-73.1,,,,,,False,,False,False,,,
05111,848,336.0,,,371.0,,0.2,125.4,,,,-512.0,,,-477.0,,-847.8,-722.6,,,,,,True,,False,False,,,
05113,306,32.0,,,267.0,,60.8,58.5,,,,-274.0,,,-39.0,,-245.2,-247.6,,,,,,True,,True,True,,,
05115,1199,480.0,,,1338.0,,3.4,197.7,251.6,,,-719.0,,,139.0,,-1195.6,-1001.3,-947.4,,,,,True,,False,False,False,,
05117,176,48.0,,,87.0,,25.1,1.0,,,,-128.0,,,-89.0,,-150.9,-175.0,,,,,,True,,False,False,,,
05119,5700,4368.0,,,4066.0,,2517.7,1262.9,1723.2,,,-1332.0,,,-1634.0,,-3182.3,-4437.1,-3976.8,,,,,False,,False,False,False,,
05121,447,320.0,,,425.0,,64.6,78.8,,,,-127.0,,,-22.0,,-382.4,-368.1,,,,,,True,,False,False,,,
05123,438,632.0,,,567.0,,2.9,135.4,344.9,,,194.0,,,129.0,,-435.1,-302.6,-93.1,,,,,True,,False,False,True,,
05125,1893,864.0,,,1233.0,,595.9,251.4,486.2,,,-1029.0,,,-660.0,,-1297.1,-1641.6,-1406.8,,,,,True,,False,False,False,,
05127,202,24.0,,,196.0,,,17.4,,,,-178.0,,,-6.0,,,-184.6,,,,,,True,,,False,,,
05129,117,96.0,,,139.0,,0.0,39.2,,,,-21.0,,,22.0,,-117.0,-77.8,,,,,,False,,False,False,,,
05131,2657,1976.0,,,2894.0,,10.0,716.7,1607.4,,,-681.0,,,237.0,,-2647.0,-1940.3,-1049.6,,,,,True,,False,False,False,,
05133,378,96.0,,,323.0,,6.2,29.0,26.6,,,-282.0,,,-55.0,,-371.8,-349.0,-351.4,,,,,True,,False,False,False,,
05135,332,184.0,,,145.0,,88.7,78.9,,,,-148.0,,,-187.0,,-243.3,-253.1,,,,,,False,,False,False,,,
05137,129,288.0,,,152.0,,0.0,45.5,,,,159.0,,,23.0,,-129.0,-83.5,,,,,,True,,True,True,,,
05139,494,432.0,,,425.0,,278.2,33.8,,,,-62.0,,,-69.0,,-215.8,-460.2,,,,,,False,,False,False,,,
05141,99,104.0,,,229.0,,136.8,8.4,,,,5.0,,,130.0,,37.8,-90.7,,,,,,False,,False,False,,,
05143,4511,5760.0,,,5033.0,,2089.6,445.0,2562.1,,,1249.0,,,522.0,,-2421.4,-4066.0,-1948.9,,,,,True,,False,False,False,,
05145,1567,648.0,,,1562.0,,658.3,178.1,,,,-919.0,,,-5.0,,-908.7,-1388.9,,,,,,True,,True,False,,,
05147,126,72.0,,,76.0,,,362.4,,,,-54.0,,,-50.0,,,236.4,,,,,,True,,,False,,,
05149,269,216.0,,,359.0,,1.6,156.6,137.5,,,-53.0,,,90.0,,-267.4,-112.4,-131.5,,,,,False,,False,False,False,,
06001,5266,5256.0,,,4570.0,,2227.3,1824.1,5736.3,,,-10.0,,,-696.0,,-3038.7,-3441.9,470.3,,,,,False,,False,False,False,,
06003,28,0.0,,,0.0,,,0.0,,,,-28.0,,,-28.0,,,-28.0,,,,,,False,,,False,,,
06005,111,48.0,,,19.0,,99.3,8.9,,,,-63.0,,,-92.0,,-11.7,-102.1,,,,,,False,,True,False,,,
06007,664,1064.0,,,497.0,,2061.3,93.0,538.0,,,400.0,,,-167.0,,1397.3,-571.0,-126.0,,,,,True,,False,False,True,,
06009,79,104.0,,,19.0,,304.3,38.0,,,,25.0,,,-60.0,,225.3,-41.0,,,,,,False,,False,False,,,
06011,90,160.0,,,21.0,,0.6,3.7,,,,70.0,,,-69.0,,-89.4,-86.3,,,,,,True,,False,False,,,
06013,5134,5408.0,,,3091.0,,2085.4,1085.0,3731.4,,,274.0,,,-2043.0,,-3048.6,-4049.0,-1402.6,,,,,False,,False,False,False,,
06015,84,56.0,,,13.0,,56.8,2.0,,,,-28.0,,,-71.0,,-27.2,-82.0,,,,,,False,,True,False,,,
06017,573,256.0,,,236.0,,319.9,95.0,819.9,,,-317.0,,,-337.0,,-253.1,-478.0,246.9,,,,,False,,True,False,True,,
06019,6200,5144.0,,,2940.0,,1616.4,726.0,4389.1,,,-1056.0,,,-3260.0,,-4583.6,-5474.0,-1810.9,,,,,False,,False,False,False,,
06021,220,224.0,,,96.0,,0.0,74.0,,,,4.0,,,-124.0,,-220.0,-146.1,,,,,,False,,False,False,,,
06023,176,280.0,,,159.0,,582.6,20.5,,,,104.0,,,-17.0,,406.6,-155.5,,,,,,True,,False,False,,,
06025,2288,2272.0,,,832.0,,8.6,340.1,1253.7,,,-16.0,,,-1456.0,,-2279.4,-1947.9,-1034.3,,,,,False,,False,False,False,,
06027,75,8.0,,,23.0,,43.7,0.0,,,,-67.0,,,-52.0,,-31.3,-75.0,,,,,,True,,True,False,,,
