,actual_cases,COVIDhub-baseline,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
South Carolina,56774,58096.0,44906.5,,43629.0,45660.7,8254.9,30878.8,24738.4,26669.0,1322.0,-11867.5,,-13145.0,-11113.3,-48519.1,-25895.2,-32035.6,-30105.0,False,,False,False,False,False,False,False
South Dakota,45738,16056.0,12332.3,,16520.0,17029.4,8664.6,10872.9,18529.6,7617.0,-29682.0,-33405.7,,-29218.0,-28708.6,-37073.4,-34865.1,-27208.4,-38121.0,False,,True,True,False,False,True,False
Tennessee,123681,84384.0,61590.3,,73039.0,39327.6,43428.1,38948.0,62812.1,46620.0,-39297.0,-62090.7,,-50642.0,-84353.4,-80252.9,-84733.0,-60868.9,-77061.0,False,,False,False,False,False,False,False
Texas,395405,242520.0,125678.9,,249621.0,103281.7,57064.3,157524.6,204465.1,173700.0,-152885.0,-269726.1,,-145784.0,-292123.3,-338340.7,-237880.4,-190939.9,-221705.0,False,,True,False,False,False,False,False
Utah,88289,44840.0,42261.8,,31084.0,46643.4,30091.8,19746.3,91423.8,34889.0,-43449.0,-46027.2,,-57205.0,-41645.6,-58197.2,-68542.7,3134.8,-53400.0,False,,False,True,False,False,True,False
Vermont,1133,264.0,508.9,,271.0,87.7,182.6,405.2,170.7,183.0,-869.0,-624.1,,-862.0,-1045.3,-950.4,-727.8,-962.3,-950.0,True,,True,False,False,True,False,False
Virginia,61144,53424.0,47561.9,,31163.0,53401.1,29901.8,33261.4,38546.8,849.0,-7720.0,-13582.1,,-29981.0,-7742.9,-31242.2,-27882.6,-22597.2,-60295.0,False,,False,False,False,False,False,False
Washington,49769,21784.0,14317.9,,9979.0,19551.3,8999.4,15779.1,25568.3,16858.0,-27985.0,-35451.1,,-39790.0,-30217.7,-40769.6,-33989.9,-24200.7,-32911.0,False,,False,False,False,False,True,False
West Virginia,18903,10888.0,12390.9,,7006.0,16781.0,4742.1,4662.7,13022.4,9726.0,-8015.0,-6512.1,,-11897.0,-2122.0,-14160.9,-14240.3,-5880.6,-9177.0,True,,False,True,False,False,True,False
Wisconsin,224042,77408.0,89282.4,,58286.0,83877.6,65297.2,47029.1,196549.8,85875.0,-146634.0,-134759.6,,-165756.0,-140164.4,-158744.8,-177012.9,-27492.2,-138167.0,True,,False,True,False,False,True,True
Wyoming,17100,3872.0,3797.3,,4277.0,3200.4,2527.5,1947.0,11792.5,4883.0,-13228.0,-13302.7,,-12823.0,-13899.6,-14572.5,-15153.0,-5307.5,-12217.0,False,,True,False,False,False,True,True
US,4235725,2238776.0,972920.2,2245582.0,1841025.0,1841963.3,978019.4,1484210.2,2225622.5,1626825.0,-1996949.0,-3262804.8,-1990143.0,-2394700.0,-2393761.7,-3257705.6,-2751514.8,-2010102.5,-2608900.0,False,True,False,False,False,False,False,False
