,mean_abs_error_2020-07-06_2020-07-25,mean_abs_error_2020-07-13_2020-08-01,mean_abs_error_2020-07-20_2020-08-08,mean_abs_error_2020-07-27_2020-08-15,mean_abs_error_2020-08-03_2020-08-22,mean_abs_error_2020-08-10_2020-08-29,mean_abs_error_2020-08-17_2020-09-05,mean_abs_error_2020-08-24_2020-09-12,mean_abs_error_2020-08-31_2020-09-19,mean_abs_error_2020-09-07_2020-09-26,mean_abs_error_2020-09-14_2020-10-03,mean_abs_error_2020-09-21_2020-10-10,mean_abs_error_2020-09-28_2020-10-17,mean_abs_error_2020-10-05_2020-10-24,mean_abs_error_2020-10-12_2020-10-31,mean_abs_error_2020-10-19_2020-11-07,mean_abs_error_2020-10-26_2020-11-14,mean_abs_error_2020-11-02_2020-11-21,mean_abs_error_2020-11-09_2020-11-28,mean_abs_error_2020-11-16_2020-12-05,mean_abs_error_2020-11-23_2020-12-12,mean_abs_error_2020-11-30_2020-12-19,mean_abs_error_2020-12-07_2020-12-26,mean_abs_error_2020-12-14_2021-01-02,mean_abs_error_2020-12-21_2021-01-09,mean_abs_error_2020-12-28_2021-01-16,mean_abs_error_2021-01-04_2021-01-23,mean_abs_error_2021-01-11_2021-01-30,mean_abs_error_2021-01-18_2021-02-06,mean_abs_error_2021-01-25_2021-02-13,mean_abs_error_2021-02-01_2021-02-20,mean_abs_error_2021-02-08_2021-02-27,mean_abs_error_2021-02-15_2021-03-06,mean_sq_abs_error_2020-07-06_2020-07-25,mean_sq_abs_error_2020-07-13_2020-08-01,mean_sq_abs_error_2020-07-20_2020-08-08,mean_sq_abs_error_2020-07-27_2020-08-15,mean_sq_abs_error_2020-08-03_2020-08-22,mean_sq_abs_error_2020-08-10_2020-08-29,mean_sq_abs_error_2020-08-17_2020-09-05,mean_sq_abs_error_2020-08-24_2020-09-12,mean_sq_abs_error_2020-08-31_2020-09-19,mean_sq_abs_error_2020-09-07_2020-09-26,mean_sq_abs_error_2020-09-14_2020-10-03,mean_sq_abs_error_2020-09-21_2020-10-10,mean_sq_abs_error_2020-09-28_2020-10-17,mean_sq_abs_error_2020-10-05_2020-10-24,mean_sq_abs_error_2020-10-12_2020-10-31,mean_sq_abs_error_2020-10-19_2020-11-07,mean_sq_abs_error_2020-10-26_2020-11-14,mean_sq_abs_error_2020-11-02_2020-11-21,mean_sq_abs_error_2020-11-09_2020-11-28,mean_sq_abs_error_2020-11-16_2020-12-05,mean_sq_abs_error_2020-11-23_2020-12-12,mean_sq_abs_error_2020-11-30_2020-12-19,mean_sq_abs_error_2020-12-07_2020-12-26,mean_sq_abs_error_2020-12-14_2021-01-02,mean_sq_abs_error_2020-12-21_2021-01-09,mean_sq_abs_error_2020-12-28_2021-01-16,mean_sq_abs_error_2021-01-04_2021-01-23,mean_sq_abs_error_2021-01-11_2021-01-30,mean_sq_abs_error_2021-01-18_2021-02-06,mean_sq_abs_error_2021-01-25_2021-02-13,mean_sq_abs_error_2021-02-01_2021-02-20,mean_sq_abs_error_2021-02-08_2021-02-27,mean_sq_abs_error_2021-02-15_2021-03-06
CU-select,,,,,,4453.2,9129.1,3214.3,5814.6,7276.3,5338.9,5490.5,5826.2,6420.1,7199.2,10525.3,16974.8,21514.9,12992.0,13359.7,15234.8,25705.1,20162.7,14461.4,13357.7,26550.0,40497.0,77753.8,39160.5,21241.7,22477.1,18647.0,4900.1,,,,,,77441348.5,945242848.3,29977370.7,167985481.8,203397123.0,76707694.7,140006663.8,82521036.1,130412251.5,124893168.1,257168266.9,594853237.5,1018937549.5,480609949.1,502065880.2,660119453.8,3433496128.7,1738410354.9,531843993.5,629691067.1,1560676703.8,5885806505.7,24516748389.0,12570343019.5,1608646610.7,2315050661.5,1835519182.1,80134566.5
Karlen-pypm,,,29261.0,17049.1,14291.5,7599.2,4315.9,4539.6,3936.5,4451.6,5488.7,5526.3,5875.1,8678.9,8353.9,10279.7,12240.6,15770.7,14759.3,31743.2,34648.1,26707.1,23320.8,33061.0,30411.8,44767.6,16886.4,21729.0,30787.2,19585.9,7197.1,6339.6,4717.7,,,5392434112.4,1582877016.5,699203302.0,179987861.6,61159901.3,71090402.2,35632233.1,54115142.0,88171759.6,89209661.3,67783667.6,163212006.0,182703740.1,276630761.2,358010242.7,613525663.4,586384514.2,2793093871.9,2744466177.4,1923226955.6,1482848085.7,3526459410.8,10806423603.9,34417684364.2,652577233.1,2216132055.5,3975670765.4,1931516703.1,177271255.9,292632244.5,68111718.5
IowaStateLW-STEM,6170.8,9861.2,9420.4,6494.0,6554.9,,5412.1,6726.4,4221.2,4673.0,4211.5,5063.6,6081.7,8827.3,12044.5,17740.1,21216.6,27974.9,25936.4,18630.4,23339.3,23860.7,22266.6,21524.8,13173.0,12536.8,12901.2,21294.9,35058.8,23571.6,19605.5,16751.6,12760.5,198944158.3,529879187.0,902997735.0,310641258.4,230921569.2,,194739448.8,321450134.7,95127058.5,204853111.2,42378482.4,49944142.7,105533786.2,145810893.2,284528839.1,682617693.9,945389323.1,1541882560.3,1481938270.9,948965700.4,1817572937.1,3185735465.1,3325724550.4,1587197097.1,430886483.1,474234796.5,662787287.7,1121919794.3,4902411339.4,2338531617.5,1083790880.7,1387813420.6,544548312.4
RobertWalraven-ESG,23948.5,14024.3,14314.7,9589.8,5064.8,10425.2,4440.2,4218.8,6248.3,7114.3,9114.0,9042.7,10647.7,10672.6,11713.8,11474.1,23182.6,27164.2,15328.0,21335.2,20313.9,30459.1,26566.5,16861.2,15586.3,30163.3,15733.9,25889.5,23896.8,16064.5,7573.5,6212.5,4508.4,2410885788.1,1078699755.6,2021628576.4,515191436.2,92466689.5,571454251.8,52003046.5,30523263.3,91791901.9,139825410.6,231634893.5,237635698.1,239351358.7,215949972.1,321216611.5,343382649.4,1170143546.0,1597742764.2,585468803.8,1199251742.8,965761655.4,3011621804.4,3703466634.9,682696230.9,1502536129.7,2533310738.9,752396347.3,2159937368.3,2599821146.9,973745768.0,156967517.5,213450133.4,99695130.4
JHU_IDD-CovidSP,13953.7,10729.8,6938.9,6900.1,8236.1,6866.3,5555.8,3792.7,3493.4,4537.0,5962.1,7222.8,6956.1,9017.6,13960.7,19810.3,29860.0,40869.1,,21326.5,21243.5,29197.2,27132.9,23153.9,19997.6,28063.7,29828.9,14117.8,10669.0,12717.3,12229.0,10783.1,15988.1,878984752.7,680192134.9,269642590.8,167761617.6,184903209.8,109889425.8,92915771.1,54469204.9,28857700.3,61818652.0,124608872.7,154899424.5,104906885.2,173679161.0,409996001.5,835457152.6,1824144381.4,3270126819.9,,1137076429.8,1619460930.5,3919556491.2,4270094539.0,3876729019.9,1716514933.3,2573130194.1,2523681500.8,559771802.3,784067757.1,897237541.9,692909931.3,721425555.7,1397350742.9
JHUAPL-Bucky,,,,,,,,,3985.0,4142.7,3355.1,3608.5,4964.2,7437.8,10117.0,14400.0,20741.8,25814.3,23837.7,40031.4,39376.1,21036.4,21453.3,31713.4,32499.8,38724.7,12112.1,27638.4,27411.6,14429.4,15211.9,11835.4,11084.9,,,,,,,,,35859825.4,43591695.4,43036509.9,24535195.9,54477730.7,110214482.5,227202159.6,542091623.8,992449161.4,1424662639.5,1233647723.3,4721033538.0,6870788189.1,1304119125.1,1679351879.7,5040364716.7,10865871098.7,7784767174.3,571621146.4,2553290877.5,2367307944.0,861172847.0,1182093087.3,602187264.2,762360096.5
JCB-PRM,,,,,,,,,,3077.6,4776.0,4368.7,3518.6,4574.0,6516.9,13836.8,17897.5,25568.6,24456.9,17820.1,25754.4,30484.9,28061.6,23780.4,28267.6,22264.1,,,,,,,,,,,,,,,,,42924432.6,109841057.4,55699399.5,22674562.7,45208604.3,88312161.9,457600354.5,770339303.9,1436799733.5,1280369851.5,962420015.7,2269716151.2,3084447480.4,3165813032.5,1212951767.3,4263850588.8,4816033055.9,,,,,,,
DDS-NBDS,,,,5663.1,4740.7,4365.3,6441.3,3193.7,3847.0,3762.7,5107.5,6697.3,6724.2,6701.6,7144.4,11142.8,13180.3,16582.0,16055.8,62844.4,43418.5,24312.5,42485.7,26146.7,29982.3,335150.4,40297.3,83848.1,193780.5,63401.9,128230.8,156326.1,,,,,136956113.0,129266207.3,62109349.4,142881588.8,23699307.0,33789131.4,45709205.5,84928545.9,155486090.3,157581281.7,88884742.1,119950978.4,298317098.5,459774443.1,628514874.7,787898538.4,44799096945.7,4663716429.4,2198214876.5,8445592941.8,4364492619.0,5073000353.2,1936168780425.3,11367581503.7,33665280372.8,890311755761.3,42865093744.4,179901244897.8,233629742042.2,
JHU_CSSE-DECOM,,,,,,,,,,,,,,5587.1,,11959.8,18688.6,24560.0,19582.4,17230.9,25366.5,21993.1,24928.7,19952.0,18109.5,20781.6,14020.6,35205.5,40709.2,23645.6,23680.3,14004.3,7048.9,,,,,,,,,,,,,,82053921.0,,370575416.1,835058831.4,1294220087.7,902770314.9,861720453.6,1442197931.2,2555772434.8,6467216447.0,1226429521.3,2684024560.5,1237910551.5,703306086.6,3896790314.4,8160661856.4,3084425300.6,1882997403.2,1192691806.5,112997550.9
OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,22329.4,19298.5,19529.6,14653.8,9525.9,13871.4,11156.0,15810.6,15631.0,16352.1,13946.3,14997.3,9681.4,,,,,,,,,,,,,,,,,,,,,1298683302.6,2049257846.0,2028743075.2,1136152745.4,391376094.7,563045058.0,325025210.2,577219425.0,1258367701.1,496040692.4,371832419.0,620478393.2,270824216.2
UMich-RidgeTfReg,,,,,,11342.1,,,3691.0,3720.1,4307.4,4873.5,5592.5,5984.9,8630.8,12391.4,16391.6,22758.0,28099.1,44219.9,27648.7,,,,33026.7,23523.0,22223.8,36562.0,36039.9,28309.7,26355.9,21117.9,13541.2,,,,,,565014476.1,,,46109000.8,52631028.9,51150814.4,47166682.1,67160028.4,83342405.6,195217517.6,427328766.0,635567827.9,1233756408.4,1952535920.5,5384747203.3,1677241967.2,,,,14349013366.3,1977604048.9,2204636852.3,5661694520.3,7684978205.7,2250651705.4,1728492763.4,1929366335.2,649837131.4
BPagano-RtDriven,,,,,,,,,,,,,,,,12603.9,19052.8,27861.1,19145.2,28185.8,30967.6,23544.2,26456.0,24526.9,22519.6,23620.9,16219.4,22936.9,31398.6,20229.5,18137.7,7915.4,9103.6,,,,,,,,,,,,,,,,406075866.3,791687058.3,1559550689.2,756806786.6,2448096728.3,2747293403.1,1437483040.3,1703695807.2,1387142406.1,4396762463.9,6287953969.0,941412311.0,1843569178.1,5762086617.7,2536333744.9,1554233008.5,312469544.1,330340076.5
CovidActNow-SEIR_CAN,13655.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1805638989.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,18256.1,17241.2,13698.9,15661.7,8183.5,23528.7,31329.8,28971.5,15925.9,6518.1,5233.7,,,,,,,,,,,,,,,,,,,,,,,3378501295.2,1113335450.6,595045991.8,894695854.6,209521878.0,1400244495.2,3646100489.6,3056659879.6,868025110.1,410077960.6,128599654.3
JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,19462.1,24592.3,20588.2,22882.2,,,22156.7,23171.7,16543.4,35766.7,22426.9,15234.7,,21325.0,13350.4,10384.9,11024.5,,,,,,,,,,,,,,,,,904773638.3,1346097076.0,984409742.1,1465929807.2,,,2514094385.2,1796939814.2,1336591438.8,3806584673.5,1332431683.5,876531923.4,,1289287100.7,614380865.2,829872237.9,422459350.0
Google_Harvard-CPF,,,,,,,,,,,,,,,14406.8,,19643.8,28470.2,18454.3,27712.2,24985.5,27025.6,24456.9,24915.1,43562.5,30468.5,18270.7,34500.1,35982.1,21754.9,14947.3,11748.0,8571.1,,,,,,,,,,,,,,,422695073.1,,864457289.9,1939356719.3,643620219.2,2296305797.7,2230024859.1,2724179314.4,2284721781.7,1785275783.5,15028164720.7,6682788118.2,1186492081.3,2473426975.8,3181111619.2,2194677601.5,749799188.9,912770850.9,258041398.0
MSRA-DeepST,,,,,,,,,,,,,,,,14825.2,,25330.4,20088.2,16673.1,20438.2,21762.0,19954.4,,,,,,,,,,,,,,,,,,,,,,,,,,570492590.4,,1518905663.0,1060325135.3,836098250.7,1276407551.9,3478880252.2,4016905163.4,,,,,,,,,,
CovidAnalytics-DELPHI,9380.4,9152.2,8170.9,9385.2,11037.8,9949.2,8108.7,6796.3,6637.4,7125.5,8443.2,10013.6,11990.5,14494.2,17538.8,25693.1,30576.4,40194.8,44825.6,54764.3,42536.4,41200.9,40842.6,33142.6,26805.0,26867.0,26963.6,59898.5,74420.4,52477.2,27454.5,11907.1,10568.8,248313682.2,182409694.0,131483818.4,287575419.5,495220831.6,475458660.6,278650084.6,119379119.7,112323778.6,99539423.8,164386640.5,218130863.1,266925456.8,412932273.8,658824851.5,1403310620.8,1961970325.1,3420527113.5,4345267458.2,7387829827.0,5122708096.3,3970414452.4,4523608689.4,2928004122.2,7737878824.7,2452472274.0,1917795342.9,47558314222.9,79231975077.2,27899974050.4,3281340893.3,929820008.1,728475696.0
IEM_MED-CovidProject,,,,,,,,,,,,,,,,,,,,,,,17596.2,38250.9,33041.9,28953.3,17805.4,53333.5,38050.8,13825.3,8708.0,6748.6,3788.6,,,,,,,,,,,,,,,,,,,,,,,803536868.9,7023307160.0,15977478561.3,7152331299.3,1387022974.3,8963906886.8,5139366268.7,486670246.2,244723351.5,357481968.5,38638385.3
TTU-squider,,,,,,,5445.5,11095.2,,,12924.7,,12014.7,13551.5,17503.7,25975.2,33132.8,37279.2,38818.3,39990.7,42214.4,58051.8,37105.7,27872.5,23231.5,26232.3,27741.9,26671.9,23243.2,22618.1,19832.1,18844.1,15372.7,,,,,,,69831116.6,1102087063.3,,,592859164.2,,508750706.9,416719895.9,628805137.6,1377439324.4,2179551134.6,3128158974.7,3583847390.8,4487976803.6,6421685790.3,14053977708.1,12904590859.0,1824431844.5,1186373429.4,1407771778.5,2471378037.2,3003040916.7,3535417869.5,3152564929.0,2629983037.5,1917057097.8,1315013044.6
UVA-Ensemble,,,,,,,,,,,,,,,,,,,,24607.5,21526.0,24553.7,27209.9,34603.2,38505.1,34394.8,30773.6,42645.6,55634.2,46341.7,14648.9,,7196.7,,,,,,,,,,,,,,,,,,,,2245982043.6,1275047644.5,1721248759.6,2083163790.1,4425684396.9,17677719393.3,5668708827.1,15800376253.4,7847192559.1,15357713537.4,8265106876.4,802029782.6,,283403194.1
UCSB-ACTS,,,,,,,,,,,,,,,,,20606.9,24176.0,25069.7,21817.6,38888.8,55063.3,46451.3,41815.1,22233.7,40574.4,35288.8,26732.2,57590.2,66882.2,,,,,,,,,,,,,,,,,,,,1059070418.2,1309179407.6,1398197372.2,1395427305.3,4749233467.5,7478667693.5,4974472944.0,3397149745.1,1193487956.1,11351476050.1,10830920555.1,4158235935.7,11937119767.8,17065276946.1,,,
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,9884.2,25734.2,16222.5,15654.8,13730.6,14726.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,228601883.6,5568804375.3,2337067641.3,1419956658.5,886832674.3,983420006.2
USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,23833.8,17278.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1517108412.3,946281300.5,,,,,,,,,,,,,,
MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31462.4,21236.9,17470.5,14914.5,9798.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3031404426.4,1504369475.8,1297731519.3,1855374642.3,649381359.2
IHME-CurveFit,,,26574.5,25794.7,27311.5,31011.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6397605960.6,6447174081.5,5152591107.7,5526648939.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16321.3,10047.5,32644.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649310391.0,365830876.3,2398130917.4
Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,55513.1,22839.9,39978.6,,27017.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6867106679.0,1467838483.3,5569962249.9,,2204640101.0,,,,,,
SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20899.4,,9626.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1211697031.7,,415026145.2
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,,,,,27300.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2889427030.3,,,,,,,,,
