,perc_error_2020-07-06_2020-08-08,perc_error_2020-07-13_2020-08-15,perc_error_2020-07-20_2020-08-22,perc_error_2020-07-27_2020-08-29,perc_error_2020-08-03_2020-09-05,perc_error_2020-08-10_2020-09-12,perc_error_2020-08-17_2020-09-19,perc_error_2020-08-24_2020-09-26,perc_error_2020-08-31_2020-10-03,perc_error_2020-09-07_2020-10-10,perc_error_2020-09-14_2020-10-17,perc_error_2020-09-21_2020-10-24,perc_error_2020-09-28_2020-10-31,perc_error_2020-10-05_2020-11-07,perc_error_2020-10-12_2020-11-14,perc_error_2020-10-19_2020-11-21,perc_error_2020-10-26_2020-11-28,perc_error_2020-11-02_2020-12-05,perc_error_2020-11-09_2020-12-12,perc_error_2020-11-16_2020-12-19,perc_error_2020-11-23_2020-12-26,perc_error_2020-11-30_2021-01-02,perc_error_2020-12-07_2021-01-09,perc_error_2020-12-14_2021-01-16,perc_error_2020-12-21_2021-01-23,perc_error_2020-12-28_2021-01-30,perc_error_2021-01-04_2021-02-06
LANL-GrowthRate,-0.434,-0.325,-0.160,-0.218,-0.271,-0.257,-0.294,-0.415,-0.430,-0.510,-0.507,-0.508,-0.595,-0.651,-0.681,-0.728,-0.698,-0.258,0.020,0.241,-0.131,-0.196,-0.052,0.133,-0.148,-0.073,0.016
JHU_IDD-CovidSP,-0.200,-0.124,0.052,0.497,0.535,0.459,0.326,0.069,-0.104,-0.223,-0.381,-0.475,-0.397,-0.426,-0.582,-0.608,-0.661,-0.688,,-0.263,-0.212,-0.255,-0.266,-0.200,-0.140,-0.191,-0.182
CovidAnalytics-DELPHI,-0.281,-0.235,-0.072,0.137,0.241,0.148,-0.011,-0.232,-0.325,-0.434,-0.557,-0.637,-0.701,-0.730,-0.750,-0.803,-0.710,-0.640,-0.506,-0.295,0.495,0.369,0.238,0.172,-0.021,0.022,-0.133
IBF-TimeSeries,,,,,,,,,,-0.159,-0.343,-0.232,-0.322,,-0.540,-0.516,-0.446,-0.476,-0.349,-0.174,-0.097,-0.198,-0.040,0.059,0.033,-0.086,0.222
JCB-PRM,,,,,,,,,,-0.143,-0.274,-0.312,-0.281,-0.295,-0.375,-0.520,-0.424,-0.472,-0.472,-0.041,0.253,0.265,0.209,0.389,0.546,0.441,
JHUAPL-Bucky,,,,,,,,,,,-0.195,-0.154,-0.302,-0.473,-0.547,-0.491,-0.473,-0.402,-0.283,0.693,0.715,0.068,0.015,0.338,0.238,-0.077,0.176
BPagano-RtDriven,,,,,,,,,,,,,,,,-0.376,-0.363,-0.444,-0.205,0.075,,,,,,,
UCF-AEM,,,,,,,,,,,,,,,,,,,,-0.316,-0.029,-0.177,-0.015,0.071,0.067,-0.035,0.188
RobertWalraven-ESG,,,,,,,-0.274,-0.327,-0.401,-0.526,-0.619,-0.590,,-0.650,,,,,,,,,,,,,
IHME-CurveFit,,,0.934,1.034,1.243,1.824,,,,,,,,,,,,,,,,,,,,,
OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,0.628,0.321,,,,,
