,mean_abs_error_2020-07-06_2020-07-11,mean_abs_error_2020-07-13_2020-07-18,mean_abs_error_2020-07-20_2020-07-25,mean_abs_error_2020-07-27_2020-08-01,mean_abs_error_2020-08-03_2020-08-08,mean_abs_error_2020-08-10_2020-08-15,mean_abs_error_2020-08-17_2020-08-22,mean_abs_error_2020-08-24_2020-08-29,mean_abs_error_2020-08-31_2020-09-05,mean_abs_error_2020-09-07_2020-09-12,mean_abs_error_2020-09-14_2020-09-19,mean_abs_error_2020-09-21_2020-09-26,mean_abs_error_2020-09-28_2020-10-03,mean_abs_error_2020-10-05_2020-10-10,mean_abs_error_2020-10-12_2020-10-17,mean_abs_error_2020-10-19_2020-10-24,mean_abs_error_2020-10-26_2020-10-31,mean_abs_error_2020-11-02_2020-11-07,mean_abs_error_2020-11-09_2020-11-14,mean_abs_error_2020-11-16_2020-11-21,mean_abs_error_2020-11-23_2020-11-28,mean_abs_error_2020-11-30_2020-12-05,mean_abs_error_2020-12-07_2020-12-12,mean_abs_error_2020-12-14_2020-12-19,mean_abs_error_2020-12-21_2020-12-26,mean_abs_error_2020-12-28_2021-01-02,mean_abs_error_2021-01-04_2021-01-09,mean_abs_error_2021-01-11_2021-01-16,mean_abs_error_2021-01-18_2021-01-23,mean_abs_error_2021-01-25_2021-01-30,mean_abs_error_2021-02-01_2021-02-06,mean_abs_error_2021-02-08_2021-02-13,mean_abs_error_2021-02-15_2021-02-20,mean_abs_error_2021-02-22_2021-02-27,mean_abs_error_2021-03-01_2021-03-06,mean_sq_abs_error_2020-07-06_2020-07-11,mean_sq_abs_error_2020-07-13_2020-07-18,mean_sq_abs_error_2020-07-20_2020-07-25,mean_sq_abs_error_2020-07-27_2020-08-01,mean_sq_abs_error_2020-08-03_2020-08-08,mean_sq_abs_error_2020-08-10_2020-08-15,mean_sq_abs_error_2020-08-17_2020-08-22,mean_sq_abs_error_2020-08-24_2020-08-29,mean_sq_abs_error_2020-08-31_2020-09-05,mean_sq_abs_error_2020-09-07_2020-09-12,mean_sq_abs_error_2020-09-14_2020-09-19,mean_sq_abs_error_2020-09-21_2020-09-26,mean_sq_abs_error_2020-09-28_2020-10-03,mean_sq_abs_error_2020-10-05_2020-10-10,mean_sq_abs_error_2020-10-12_2020-10-17,mean_sq_abs_error_2020-10-19_2020-10-24,mean_sq_abs_error_2020-10-26_2020-10-31,mean_sq_abs_error_2020-11-02_2020-11-07,mean_sq_abs_error_2020-11-09_2020-11-14,mean_sq_abs_error_2020-11-16_2020-11-21,mean_sq_abs_error_2020-11-23_2020-11-28,mean_sq_abs_error_2020-11-30_2020-12-05,mean_sq_abs_error_2020-12-07_2020-12-12,mean_sq_abs_error_2020-12-14_2020-12-19,mean_sq_abs_error_2020-12-21_2020-12-26,mean_sq_abs_error_2020-12-28_2021-01-02,mean_sq_abs_error_2021-01-04_2021-01-09,mean_sq_abs_error_2021-01-11_2021-01-16,mean_sq_abs_error_2021-01-18_2021-01-23,mean_sq_abs_error_2021-01-25_2021-01-30,mean_sq_abs_error_2021-02-01_2021-02-06,mean_sq_abs_error_2021-02-08_2021-02-13,mean_sq_abs_error_2021-02-15_2021-02-20,mean_sq_abs_error_2021-02-22_2021-02-27,mean_sq_abs_error_2021-03-01_2021-03-06
USACE-ERDC_SEIR,2749.9,1908.3,1223.3,1268.3,1133.4,1138.9,1064.3,788.4,987.9,932.1,1052.0,1740.3,932.8,,1151.2,,1840.3,,,4060.3,2823.0,8011.5,,,,,,,,,,,,,,29973010.0,7162863.0,9700789.7,8489232.4,6145725.5,8061342.8,6383890.0,2431490.2,3718864.7,2637662.7,2691208.1,23226047.4,3687749.6,,3701432.7,,8840505.8,,,37987773.9,18620924.2,157499557.9,,,,,,,,,,,,,
UCLA-SuEIR,1142.4,757.9,1026.0,2070.2,2356.0,1567.9,1361.1,997.8,772.2,1070.1,1238.2,1173.4,964.3,1330.0,1620.7,2755.9,3001.6,6046.4,7132.3,5774.4,3538.6,5386.3,5402.0,5623.9,4339.8,4151.0,5833.5,4074.7,2268.3,3029.6,4419.9,3866.9,,3111.4,2988.3,8987918.4,1665455.5,4044737.0,18953002.8,26051543.8,6186350.2,11703544.7,4398171.1,1800481.3,4262635.6,4247729.5,8185160.8,4000592.6,3635231.3,6827475.9,21039668.4,17247582.7,121992489.4,104231645.8,87293350.9,28013334.8,94666089.1,141898337.2,159449894.3,50633606.6,74143363.8,73036668.7,33035638.3,43761939.4,46441123.8,77975467.5,73833873.5,,71125656.2,38293964.5
Karlen-pypm,,,5268.0,3181.6,3239.3,1975.1,1227.2,1255.1,979.9,1221.7,1310.5,1586.5,1048.8,1610.8,1579.0,1703.4,1540.9,3710.3,4024.8,4370.4,7118.3,5539.9,4860.5,5874.1,8322.4,9156.8,5650.9,4169.7,6903.5,4599.6,2384.9,1931.6,1775.7,1650.2,1269.4,,,178513285.7,56984695.8,43792735.1,12446088.8,5798781.3,6586741.6,2397306.6,5521970.4,4645414.3,14926872.4,2241320.6,5427921.2,7121117.3,12252961.3,4328084.5,61930870.2,35046939.2,59736263.3,101824046.1,81307387.1,86493637.8,73742964.5,311500602.6,1272373285.1,60531996.0,45830723.8,210402746.5,120670303.0,14278197.9,18469002.3,26530482.2,7000385.7,4650936.3
RobertWalraven-ESG,7076.8,4569.4,1439.1,1050.6,1359.7,1608.8,1058.2,1180.9,2037.3,1282.1,2308.8,2549.7,2209.7,1726.2,1729.8,1491.8,2719.1,5361.6,2910.0,4425.0,6061.2,7015.0,6806.2,4862.7,5232.7,5808.1,7114.7,5124.9,6759.5,4029.2,2643.0,1849.4,1895.5,1908.6,1973.5,217125234.6,137428575.5,18373885.6,3663225.5,7790400.8,13091637.2,4531371.7,2977010.0,10217629.6,3896093.7,14630498.7,34351596.6,15560022.8,5974409.5,12287431.6,13371860.3,15392454.7,108128795.2,19137596.4,48191157.4,95555256.8,103011518.2,114840066.1,63930675.6,109621092.5,133687725.1,114420917.9,62460035.7,206559994.3,63531595.1,20435855.6,11812532.9,35406144.2,15911881.3,14891686.3
Covid19Sim-Simulator,2043.5,2770.3,4258.1,5048.9,3186.9,,,1540.3,731.9,937.3,948.9,1345.4,943.2,1242.4,1628.5,2482.8,2593.6,5423.8,7228.3,,3466.9,5188.7,6473.5,5355.6,4727.4,3936.9,7003.4,2589.5,8389.7,5442.5,4822.3,3880.5,3532.0,1387.3,1315.4,20687512.9,57158213.1,150765497.5,204594076.6,47455758.9,,,6071573.7,1436143.0,4854366.8,2704745.7,12615749.7,1946731.7,3361347.6,6202441.4,19042581.7,13775331.9,96984239.3,102851423.8,,32655910.3,95155625.4,188012715.3,158812438.8,52912752.9,84994953.4,112762919.6,20060012.9,311124912.7,132993988.6,81548098.4,78783157.6,61043873.4,9038196.9,7121054.6
IowaStateLW-STEM,1347.4,2196.4,2552.6,1700.6,1905.4,,1554.1,2092.8,1166.6,1849.3,1152.9,1485.4,1483.3,1431.0,1895.1,2768.1,2288.5,4992.8,6174.4,3590.6,5413.2,4479.3,5470.6,6199.1,5034.2,3360.9,6829.4,3901.0,9241.8,5231.8,3978.6,3988.9,4434.8,1331.1,1493.3,8443583.2,21543625.3,68658648.7,21281291.5,24122911.4,,16734617.4,33482223.4,7449098.6,32023766.7,3802881.0,7211861.3,9600260.9,4046695.4,7389042.2,23082575.2,10790747.1,81296282.4,82582178.8,29006872.7,68404417.8,62366338.1,143982518.5,155909990.8,57943635.4,33837277.4,132816866.6,30505399.0,349511585.9,136733372.6,39193163.2,70804718.5,80529780.9,9143923.5,7878265.8
JHUAPL-Bucky,,,,,,,,,998.9,1753.9,708.6,1107.5,1024.9,1102.1,1374.1,2581.6,2866.0,5494.3,6037.2,5403.6,6743.2,4496.2,4976.6,5838.0,7302.5,7388.7,3572.2,4630.1,7476.9,4410.1,4143.1,3506.3,4212.4,2075.6,2414.2,,,,,,,,,2681831.1,9767072.2,1480598.6,6222144.2,4537504.2,2798304.8,4772055.8,18002168.2,17330384.3,89271090.9,78217459.8,88829676.0,150993802.4,38288427.6,79835915.7,102994636.9,464232707.3,434356747.0,24752749.4,72543760.3,170192459.7,132182597.7,75736031.5,49728866.8,267854502.1,11934423.9,26028570.1
JCB-PRM,,,,,,,,,,990.0,927.3,1212.8,756.0,1030.6,1129.8,2272.8,2173.3,4928.7,5988.4,4904.7,5595.0,6251.0,6571.1,6192.4,8128.3,5580.3,,,,,,,,,,,,,,,,,,,2420612.7,3944056.7,10227582.7,1073840.4,2615663.3,2887920.6,15161214.7,10222269.4,90167869.3,75484686.0,61081470.1,85524575.9,101998936.2,209941838.4,173059590.0,178258017.1,194286675.0,,,,,,,,,
IQVIA_ACOE-STAN,,,,,,,,1351.5,1038.2,1514.2,761.0,1180.2,961.1,1056.6,1254.5,,2093.4,5064.9,5680.7,4481.0,4486.5,6041.1,5435.1,6900.4,,,,,,,,,,,,,,,,,,,6864886.4,2887700.1,7962151.8,1859129.7,8166169.2,2434410.3,2493205.4,4784388.6,,8668903.1,91046600.2,67323344.3,55272869.0,50705474.3,114212281.3,148027351.9,335836089.2,,,,,,,,,,,
JHU_CSSE-DECOM,,,,,,,,,,,,,,1341.8,,2017.9,2634.2,5019.7,5326.7,2883.9,5486.9,4647.6,6128.0,5346.3,5687.4,3923.9,7504.5,5197.8,8754.2,4215.0,3962.1,3064.5,2317.2,1164.5,1066.2,,,,,,,,,,,,,,5194717.3,,14047493.2,15243739.4,89875900.8,67653408.8,27393210.1,60243048.5,72598554.4,332077311.9,147252979.8,157141210.2,46338549.2,133438814.6,60953254.9,413578366.8,110819472.9,61434591.4,61906798.8,19676568.2,2615570.0,2785006.6
OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,4648.5,4562.0,4507.3,3977.9,4499.5,3777.1,5192.4,3554.1,2904.4,2443.5,2614.0,2571.1,2462.2,2149.0,1700.4,,,,,,,,,,,,,,,,,,,,,49714918.2,63411490.1,121673499.1,114495168.3,79795847.0,50212092.6,54732909.3,26810776.2,68387457.8,10558759.9,19496423.0,33221825.9,29121928.0,15357605.0,14348582.7
UMich-RidgeTfReg,,,,,,1465.6,,,1284.3,1341.0,874.8,1368.4,1322.7,1326.4,1433.1,2016.6,2022.7,4488.9,4111.0,5665.7,4611.1,,,,7497.7,4656.0,5860.2,6180.3,7736.2,4988.6,5451.3,5323.3,4220.5,4941.6,3696.6,,,,,,6510971.1,,,4431336.3,7295290.7,2049939.0,8397540.5,4171435.9,4101545.4,5779809.0,16019637.3,9294180.8,85571524.4,47533416.3,90449066.4,44760574.5,,,,389822508.9,122060364.0,95357882.5,118366308.5,407188136.0,63743336.6,67324530.7,122045977.3,100715084.0,70414753.0,65941168.5
JHU_IDD-CovidSP,4226.4,4162.8,3446.5,1638.0,1812.2,1531.7,1475.7,1218.5,1007.7,963.5,1677.0,2245.9,1698.3,2046.5,3197.7,4449.1,5816.0,10134.7,,9042.5,5571.0,9240.3,11396.5,10701.9,6073.9,8060.1,14316.2,10915.8,3176.0,2740.0,3104.1,2603.0,4922.0,1913.5,2135.0,78593013.6,120695563.2,71476082.3,7529582.7,10216381.4,5030853.1,5370014.5,4333867.1,2114392.3,2523433.7,7241833.2,24913710.1,7547672.7,8490557.9,20596732.7,49066048.6,69211929.1,256801639.0,,162625367.3,66480923.3,220691911.5,431013801.7,690859522.3,269126991.1,245671364.0,548808978.4,393887789.7,24677487.0,27331403.0,47367494.4,39957751.0,145556866.8,29586806.7,18173090.3
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,4445.1,4669.5,5044.9,4226.5,5127.3,3986.3,8007.7,2764.3,2540.8,1834.9,2048.6,1867.8,856.1,,,,,,,,,,,,,,,,,,,,,,,124934828.8,112135901.8,65202562.8,45517345.1,77592346.7,38415212.5,259943917.1,45172394.5,22783994.1,19356341.7,35575322.5,15145962.8,1873625.7
DDS-NBDS,,,,1973.0,1379.2,1364.5,1168.6,1025.3,969.5,1040.5,1390.4,1186.9,1005.9,1598.8,1450.9,2299.7,1925.8,3561.9,4831.7,7229.7,8022.0,6417.0,15453.3,7929.8,9480.2,49275.9,11977.2,12184.4,27608.6,11904.7,27893.0,75232.1,,12492.7,5650.4,,,,12892402.8,11070475.8,12116381.2,5391423.0,3245077.1,2391568.0,3831582.7,5188246.1,8280162.1,2205763.2,4584051.2,4925722.5,17658926.0,9681191.0,64578299.3,55104935.4,277787569.9,205127876.6,100552992.2,1895736567.3,366423377.5,775498081.1,59952920670.8,425792611.1,770343771.2,14270855419.9,1302735733.5,10548382729.3,72772611596.7,,1498184200.6,230232314.5
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,3408.2,2643.8,3743.8,6012.5,5593.3,5670.6,4147.4,,8295.5,4063.4,2987.0,2821.0,2611.5,2471.2,,2220.0,1332.0,,,,,,,,,,,,,,,,,,,22244876.5,16213965.4,32085338.7,105230207.8,148218542.8,226040125.9,55144736.6,,202275410.0,38134165.9,50397336.1,23792429.7,27295857.2,22996969.7,,24589320.5,5733827.6
BPagano-RtDriven,,,,,,,,,,,,,,,,2228.9,2648.2,6269.9,4763.2,5338.7,8001.1,4842.4,5593.3,5882.8,7077.2,6358.8,5062.7,4307.9,7166.8,4124.7,4019.0,2020.3,3255.7,1908.8,1668.4,,,,,,,,,,,,,,,,15741428.9,13960937.2,122578270.0,41809616.6,83604712.8,165475222.0,54332741.4,89142434.6,68307284.7,196625484.5,379500439.2,82565451.6,47490564.0,315353261.2,146870078.1,95312946.5,15600452.8,63399204.7,10315979.1,7120073.4
Google_Harvard-CPF,,,,,,,,,,,,,,,2820.6,,1993.9,5422.7,4919.0,5049.2,4697.6,5315.1,5080.7,5902.5,9845.4,10796.6,6692.3,4259.5,5997.5,3647.6,2914.5,2296.5,2448.8,2645.3,2105.9,,,,,,,,,,,,,,,17837890.1,,7815384.4,119846834.0,46020580.4,65862177.2,66296301.6,83589410.1,65167484.6,115676845.1,423282915.3,606022291.8,113738920.2,63605055.8,125652788.0,59229719.7,29422392.9,19593689.8,18583997.8,20924635.9,21831245.6
IEM_MED-CovidProject,,,,,,,,,,,,,,,,,,,,,,,4306.1,4672.8,7993.8,5536.5,6682.1,6814.8,8216.7,2891.0,2572.5,1776.4,1593.1,1872.9,1157.8,,,,,,,,,,,,,,,,,,,,,,,53672528.5,54026406.4,492369727.9,280014372.4,120274753.8,153496492.0,263031305.6,20812726.0,26583484.2,19096136.7,22549299.2,18170347.8,5760090.7
MSRA-DeepST,,,,,,,,,,,,,,,,1871.2,,4040.3,3962.8,2831.8,4278.8,5124.0,4504.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,16540762.6,,75320096.4,45504949.3,31323066.8,31927372.7,104303677.3,125812029.1,,,,,,,,,,,,
CovidAnalytics-DELPHI,2137.3,2832.0,2122.5,2372.5,3115.0,2569.6,2209.6,2030.9,2028.2,1829.0,2243.3,2844.4,2904.8,3202.8,3778.9,5537.1,5521.0,9289.0,11829.5,13426.9,8796.4,8753.6,9003.8,9429.5,6782.0,8669.8,8751.4,11435.1,14956.3,8829.6,6337.7,3793.4,3978.4,3016.3,3415.8,18639264.9,25359292.5,8548981.5,15219861.5,40910295.1,23353922.6,19752050.1,10846124.5,11019265.0,7909469.1,9632819.7,26312687.1,17105039.3,18819540.9,31200034.2,69285527.4,65572376.4,245193574.8,299392893.2,424652796.3,242836430.2,188145963.2,211278835.8,246538188.1,371381982.7,300674463.7,191237035.4,537574792.3,2291337719.3,393035532.5,124831644.9,73934776.5,139612684.3,48766110.6,40847196.2
JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,2671.5,5305.2,6648.8,5349.7,,,6453.3,6277.1,6760.9,9270.7,11064.7,5769.2,,3951.4,3141.5,3254.1,3559.7,4736.6,1837.6,,,,,,,,,,,,,,,,,16208403.7,102261716.6,93440050.4,74948369.7,,,209366544.0,286516337.7,341839565.9,416224330.7,342252134.9,429260944.8,,42574485.2,38874740.0,66653502.6,44411023.8,65106459.5,14057142.6
UVA-Ensemble,,,,,,,,,,,,,,,,,,,,5370.0,4030.6,6741.3,6318.1,14579.2,20463.6,17805.3,18239.1,15554.6,21078.2,15156.3,2683.1,,2517.4,2198.2,1127.8,,,,,,,,,,,,,,,,,,,,77095603.6,40386971.4,134675703.2,93697873.0,1726729581.8,5489756607.3,4384135280.3,7684227275.7,2899278380.6,4848961893.7,1758343813.6,23299136.1,,58759966.2,22993881.0,4311033.9
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,4829.8,6158.1,4756.5,4817.7,3962.6,5505.1,1354.0,1309.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,148070986.6,329091043.5,173500233.9,140014228.6,72962843.7,154155666.4,7563763.2,4962477.1
COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2682.2,1500.8,9700.2,1284.9,1260.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20187364.4,8726971.4,263102836.9,5884107.2,5007597.6
TTU-squider,,,,,,,1886.1,3897.4,,,4098.4,,4015.4,3210.5,3831.2,5777.4,6101.5,8464.1,11147.6,11505.8,9368.8,14426.9,10054.5,8868.6,8172.1,7803.4,9585.0,9168.4,7690.9,7259.2,7355.2,6678.0,6791.5,3983.4,2876.7,,,,,,,8774632.2,115784660.2,,,67145402.8,,59474126.0,22453113.7,33862713.9,77145362.7,71610008.8,206387358.7,293906845.0,360943617.1,288894161.2,771453380.5,1002864155.5,310377397.7,172380950.1,136281834.6,225133470.8,235345273.5,394217130.5,391036114.7,402063942.0,291800148.1,282119828.2,45675561.8,21710664.0
