,mean_abs_error_2020-07-06_2020-07-25,mean_abs_error_2020-07-13_2020-08-01,mean_abs_error_2020-07-20_2020-08-08,mean_abs_error_2020-07-27_2020-08-15,mean_abs_error_2020-08-03_2020-08-22,mean_abs_error_2020-08-10_2020-08-29,mean_abs_error_2020-08-17_2020-09-05,mean_abs_error_2020-08-24_2020-09-12,mean_abs_error_2020-08-31_2020-09-19,mean_abs_error_2020-09-07_2020-09-26,mean_abs_error_2020-09-14_2020-10-03,mean_abs_error_2020-09-21_2020-10-10,mean_abs_error_2020-09-28_2020-10-17,mean_abs_error_2020-10-05_2020-10-24,mean_abs_error_2020-10-12_2020-10-31,mean_abs_error_2020-10-19_2020-11-07,mean_abs_error_2020-10-26_2020-11-14,mean_abs_error_2020-11-02_2020-11-21,mean_abs_error_2020-11-09_2020-11-28,mean_abs_error_2020-11-16_2020-12-05,mean_abs_error_2020-11-23_2020-12-12,mean_abs_error_2020-11-30_2020-12-19,mean_abs_error_2020-12-07_2020-12-26,mean_abs_error_2020-12-14_2021-01-02,mean_abs_error_2020-12-21_2021-01-09,mean_abs_error_2020-12-28_2021-01-16,mean_abs_error_2021-01-04_2021-01-23,mean_abs_error_2021-01-11_2021-01-30,mean_abs_error_2021-01-18_2021-02-06,mean_abs_error_2021-01-25_2021-02-13,mean_abs_error_2021-02-01_2021-02-20,mean_abs_error_2021-02-08_2021-02-27,mean_abs_error_2021-02-15_2021-03-06,mean_sq_abs_error_2020-07-06_2020-07-25,mean_sq_abs_error_2020-07-13_2020-08-01,mean_sq_abs_error_2020-07-20_2020-08-08,mean_sq_abs_error_2020-07-27_2020-08-15,mean_sq_abs_error_2020-08-03_2020-08-22,mean_sq_abs_error_2020-08-10_2020-08-29,mean_sq_abs_error_2020-08-17_2020-09-05,mean_sq_abs_error_2020-08-24_2020-09-12,mean_sq_abs_error_2020-08-31_2020-09-19,mean_sq_abs_error_2020-09-07_2020-09-26,mean_sq_abs_error_2020-09-14_2020-10-03,mean_sq_abs_error_2020-09-21_2020-10-10,mean_sq_abs_error_2020-09-28_2020-10-17,mean_sq_abs_error_2020-10-05_2020-10-24,mean_sq_abs_error_2020-10-12_2020-10-31,mean_sq_abs_error_2020-10-19_2020-11-07,mean_sq_abs_error_2020-10-26_2020-11-14,mean_sq_abs_error_2020-11-02_2020-11-21,mean_sq_abs_error_2020-11-09_2020-11-28,mean_sq_abs_error_2020-11-16_2020-12-05,mean_sq_abs_error_2020-11-23_2020-12-12,mean_sq_abs_error_2020-11-30_2020-12-19,mean_sq_abs_error_2020-12-07_2020-12-26,mean_sq_abs_error_2020-12-14_2021-01-02,mean_sq_abs_error_2020-12-21_2021-01-09,mean_sq_abs_error_2020-12-28_2021-01-16,mean_sq_abs_error_2021-01-04_2021-01-23,mean_sq_abs_error_2021-01-11_2021-01-30,mean_sq_abs_error_2021-01-18_2021-02-06,mean_sq_abs_error_2021-01-25_2021-02-13,mean_sq_abs_error_2021-02-01_2021-02-20,mean_sq_abs_error_2021-02-08_2021-02-27,mean_sq_abs_error_2021-02-15_2021-03-06
CU-select,381.7,305.7,288.5,215.2,213.5,163.0,226.0,142.6,151.0,200.9,217.5,219.4,225.8,190.8,186.5,230.1,336.1,398.6,372.8,397.0,416.1,504.0,509.2,429.5,390.2,550.9,917.4,1377.3,784.7,503.0,432.3,379.8,145.7,6257489.9,3708683.2,4109228.3,1475049.5,2246028.6,476721.9,2169319.4,337763.3,267527.2,947816.9,990891.5,879430.2,784653.8,1887303.8,319374.8,481872.2,1329445.0,1839479.7,1262736.0,1683203.5,2466332.1,10110903.2,6114439.5,3695827.7,4052110.5,5193420.3,27277267.5,74082526.6,60457904.3,8594373.6,5784626.3,7092139.3,315390.8
JHUAPL-Bucky,,,,,,,,,116.3,136.8,132.1,135.7,149.3,155.8,197.0,302.8,420.8,516.1,512.1,813.7,936.0,574.1,508.5,696.0,768.8,699.7,432.6,627.2,548.2,330.0,344.8,270.9,262.2,,,,,,,,,115608.4,214087.1,273232.5,174017.0,603437.8,269408.6,517992.2,1159261.8,2249863.5,3009971.4,3535329.8,9108412.3,15661945.4,5296952.4,5138866.4,18607672.8,24620349.0,20102531.3,4637385.4,9335054.8,4992052.5,2456360.1,3083758.4,1303808.0,1004130.2
RobertWalraven-ESG,,,,,159.4,266.9,128.0,122.6,162.1,155.8,173.6,183.4,188.2,239.4,,,,,,,,,,,,,,,,,,,,,,,,1043953.7,4706571.1,193249.8,153542.6,253221.2,303988.6,411225.5,400750.0,315985.9,548438.9,,,,,,,,,,,,,,,,,,,
Google_Harvard-CPF,,,,,,,,,,,,,165.0,,271.0,305.6,379.4,451.9,536.0,527.4,552.3,612.6,535.1,504.7,1340.7,480.4,651.6,814.9,753.4,260.9,302.2,172.3,156.9,,,,,,,,,,,,,303196.6,,1303853.5,1492218.0,1786558.8,2419092.6,2149443.6,3294192.1,8417872.0,11058746.8,8784974.3,6898075.5,792496853.3,4564350.0,8687248.1,22301872.5,16700073.6,2822441.2,1423851.8,368610.2,444236.3
UVA-Ensemble,,,,,,,,142.0,242.4,234.3,145.7,154.5,141.8,199.5,268.3,376.9,,343.5,929.8,507.6,464.9,518.5,584.4,688.7,713.6,747.6,709.9,901.8,963.7,801.2,308.5,,164.3,,,,,,,,514092.8,2257643.8,2464712.2,333115.1,299999.7,274252.3,319100.3,746191.9,1658831.2,,906922.8,29292934.4,6877957.6,2567265.0,3855542.4,5348341.1,13004961.0,29280034.2,23848480.5,66556509.0,89200954.4,53125351.3,18459328.2,1908633.5,,423860.7
FAIR-NRAR,,,,,,,,,,,,,,,,,,,,,,,,,319.4,411.8,413.6,640.2,438.8,182.3,164.9,123.1,114.9,,,,,,,,,,,,,,,,,,,,,,,,,1554517.7,2898473.9,2950645.8,9553965.4,7028844.2,973234.1,908562.5,183297.6,227592.4
PandemicCentral-USCounty,,,,,,,,,,,,,,,,,,,,,,,1187.8,365.1,321.4,423.9,413.1,315.7,400.0,416.3,500.5,398.4,322.9,,,,,,,,,,,,,,,,,,,,,,,35164149.7,2648728.6,2079818.9,3335245.2,2910808.4,1535544.7,1884855.1,2773194.0,3931006.6,2126081.5,1542358.8
UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,344.1,357.3,415.4,448.2,299.9,267.8,,,,,,,,,,,,,,,,,,,,,,,,,,,3905426.2,1273914.5,2817479.5,4511536.9,5442615.7,1610420.3,1215490.0
MITCovAlliance-SIR,,,,,,,156.7,,157.9,161.5,180.6,190.2,208.8,,307.0,399.1,550.1,,,,,,,,,1152.3,1169.0,,,,,,,,,,,,,523411.0,,347123.6,515702.2,682985.5,661518.3,627243.6,,1411471.1,1629773.3,2800721.1,,,,,,,,,23529725.6,20607973.5,,,,,,
COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.4,147.3,644.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1224708.3,333261.9,2905110.8
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,367.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8263833.9,,,,,,,,,
Yu_Group-CLEP,,,,,,,747.2,,483.7,437.5,429.6,515.6,384.2,,,,,,,,,,,,,,,,,,,,,,,,,,,15973455.5,,3039171.9,2516585.3,2130947.0,4963291.6,3078220.7,,,,,,,,,,,,,,,,,,,,
