,perc_error_2020-07-06_2020-07-11,perc_error_2020-07-13_2020-07-18,perc_error_2020-07-20_2020-07-25,perc_error_2020-07-27_2020-08-01,perc_error_2020-08-03_2020-08-08,perc_error_2020-08-10_2020-08-15,perc_error_2020-08-17_2020-08-22,perc_error_2020-08-24_2020-08-29,perc_error_2020-08-31_2020-09-05,perc_error_2020-09-07_2020-09-12,perc_error_2020-09-14_2020-09-19,perc_error_2020-09-21_2020-09-26,perc_error_2020-09-28_2020-10-03,perc_error_2020-10-05_2020-10-10,perc_error_2020-10-12_2020-10-17,perc_error_2020-10-19_2020-10-24,perc_error_2020-10-26_2020-10-31,perc_error_2020-11-02_2020-11-07,perc_error_2020-11-09_2020-11-14,perc_error_2020-11-16_2020-11-21,perc_error_2020-11-23_2020-11-28,perc_error_2020-11-30_2020-12-05,perc_error_2020-12-07_2020-12-12,perc_error_2020-12-14_2020-12-19,perc_error_2020-12-21_2020-12-26,perc_error_2020-12-28_2021-01-02,perc_error_2021-01-04_2021-01-09,perc_error_2021-01-11_2021-01-16,perc_error_2021-01-18_2021-01-23,perc_error_2021-01-25_2021-01-30,perc_error_2021-02-01_2021-02-06,perc_error_2021-02-08_2021-02-13,perc_error_2021-02-15_2021-02-20,perc_error_2021-02-22_2021-02-27,perc_error_2021-03-01_2021-03-06
LANL-GrowthRate,-0.387,-0.368,-0.066,-0.140,-0.139,-0.152,-0.076,-0.199,-0.186,-0.127,-0.191,-0.160,-0.187,-0.238,-0.233,-0.337,-0.273,-0.202,-0.144,0.053,0.074,-0.151,-0.053,-0.035,0.029,-0.072,-0.216,0.011,0.127,-0.182,-0.101,-0.131,-0.104,-0.278,-0.031
Karlen-pypm,,,,0.306,0.413,0.182,0.162,0.072,-0.046,0.110,-0.130,-0.213,-0.123,-0.203,-0.134,-0.135,-0.050,-0.187,-0.183,0.006,0.304,-0.042,-0.014,0.115,0.315,0.250,-0.133,0.011,0.273,0.201,0.073,0.086,0.132,-0.158,-0.089
UCLA-SuEIR,-0.144,-0.067,0.039,0.229,0.297,0.115,0.135,-0.025,0.001,0.117,-0.240,-0.131,-0.043,-0.180,-0.200,-0.273,-0.159,-0.295,-0.240,-0.100,0.096,-0.184,-0.072,-0.019,0.110,-0.126,-0.177,0.147,0.027,0.160,0.329,0.220,,0.175,0.263
CU-select,,,,,,-0.020,0.180,-0.034,-0.033,0.240,-0.135,-0.172,-0.083,-0.112,-0.138,-0.166,-0.167,-0.285,-0.233,-0.090,0.036,-0.183,-0.124,-0.027,0.083,-0.164,-0.107,0.267,0.310,0.048,0.142,0.202,0.199,-0.167,-0.083
RobertWalraven-ESG,-0.902,-0.106,0.032,-0.039,0.052,0.069,-0.140,-0.184,-0.282,-0.211,-0.407,-0.392,,-0.215,-0.169,-0.116,0.042,-0.149,-0.106,0.169,0.322,-0.308,0.077,0.095,0.232,-0.115,-0.179,0.051,0.282,0.196,0.077,0.109,0.075,-0.216,-0.181
IowaStateLW-STEM,-0.005,0.030,0.184,0.094,0.206,,0.143,0.178,0.180,0.351,0.018,-0.102,0.026,-0.186,-0.243,-0.296,-0.165,-0.298,-0.355,-0.115,0.180,-0.086,-0.094,0.046,0.182,-0.008,-0.240,0.029,0.384,0.199,0.202,0.291,0.459,0.041,0.183
Covid19Sim-Simulator,-0.007,0.034,0.273,0.456,0.384,,-0.133,-0.288,-0.139,0.011,-0.183,-0.256,-0.150,-0.105,-0.162,-0.285,-0.164,-0.303,-0.316,,0.008,-0.152,-0.133,-0.011,0.152,-0.021,-0.213,0.033,0.334,0.228,0.291,0.309,0.298,0.027,0.062
CEID-Walk,,,,,,0.033,0.196,0.047,0.009,0.168,-0.159,-0.101,0.034,-0.085,-0.141,-0.193,-0.181,-0.317,-0.304,-0.149,0.027,-0.178,-0.115,-0.024,0.129,-0.103,-0.182,0.084,0.262,0.151,0.278,0.243,0.411,0.388,0.139
JHUAPL-Bucky,,,,,,,,,-0.109,0.326,-0.077,-0.049,-0.001,-0.140,-0.164,-0.234,-0.228,-0.293,-0.276,-0.003,0.251,-0.086,-0.013,0.124,0.228,-0.026,-0.079,0.096,0.299,0.061,0.135,0.203,0.221,-0.146,0.074
DDS-NBDS,,,,-0.211,0.080,-0.009,0.115,-0.031,-0.042,0.132,-0.149,-0.047,0.050,-0.173,-0.143,-0.155,-0.056,-0.148,-0.189,0.172,0.273,-0.103,0.178,0.026,0.253,1.463,-0.106,0.377,1.113,0.455,1.611,6.297,,1.240,0.519
BPagano-RtDriven,,,,,,,,,,,,,,,,-0.132,-0.129,-0.367,-0.198,-0.001,0.284,-0.009,0.028,0.126,0.222,0.100,-0.123,0.047,0.275,0.184,0.207,0.058,0.183,-0.098,-0.036
JCB-PRM,,,,,,,,,,0.175,-0.108,-0.120,-0.035,-0.049,-0.063,-0.233,-0.174,-0.299,-0.290,-0.168,0.135,0.033,-0.044,0.054,0.310,0.153,,,,,,,,,
IBF-TimeSeries,,,,,,,,,,0.023,-0.250,-0.123,-0.103,,-0.230,-0.204,0.174,-0.293,-0.228,0.080,0.164,-0.190,0.075,0.132,0.120,-0.232,0.004,0.281,0.129,-0.124,0.097,0.198,0.384,-0.406,0.062
IQVIA_ACOE-STAN,,,,,,,,,0.100,0.247,-0.125,-0.103,-0.010,-0.113,-0.140,,-0.164,-0.322,-0.287,-0.146,0.048,-0.148,-0.093,-0.054,,,,,,,,,,,
CovidAnalytics-DELPHI,-0.234,-0.272,-0.185,-0.057,0.132,0.063,0.082,-0.055,-0.148,-0.103,-0.337,-0.446,-0.473,-0.481,-0.498,-0.590,-0.502,-0.589,-0.557,-0.431,0.328,0.214,0.140,0.174,0.187,0.185,-0.145,-0.101,0.344,0.280,0.238,0.116,0.208,-0.110,-0.264
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,-0.149,0.002,0.102,-0.210,-0.072,-0.051,0.014,,-0.245,0.040,0.032,-0.095,0.056,0.056,,-0.158,0.060
UCF-AEM,,,,,,,,,,,,,,,,,,,,-0.242,0.083,-0.155,-0.071,0.023,0.104,-0.069,-0.116,0.150,0.255,0.101,0.152,0.136,0.231,-0.090,0.022
JHU_IDD-CovidSP,-0.281,-0.393,-0.323,0.034,0.194,0.133,0.217,0.086,-0.059,0.032,-0.247,-0.344,-0.180,-0.205,-0.394,-0.455,-0.526,-0.644,,-0.381,-0.238,-0.345,-0.386,-0.354,-0.170,-0.276,-0.423,-0.346,-0.100,-0.033,0.059,0.151,0.511,0.124,-0.187
OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,0.139,-0.032,0.099,-0.094,0.118,-0.019,-0.091,0.121,0.260,0.092,0.220,0.129,0.110,0.010,-0.560
TTU-squider,,,,,,,0.096,0.379,,,0.326,,0.135,-0.487,-0.526,-0.614,-0.548,-0.500,-0.521,-0.442,-0.152,0.002,-0.263,-0.102,0.130,0.050,-0.156,-0.116,0.058,0.119,0.226,0.391,0.550,0.210,0.036
IEM_MED-CovidProject,,,,,,,,,,,,,,,,,,,,,,,-0.053,0.060,0.183,0.007,-0.216,0.177,0.290,0.021,0.054,0.057,0.092,-0.154,-0.029
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,-0.055,0.017,0.188,-0.137,-0.153,0.094,0.329,0.114,0.099,0.109,0.203,-0.152,0.007
MSRA-DeepST,,,,,,,,,,,,,,,,-0.215,,-0.272,-0.215,-0.046,0.142,-0.160,-0.048,,,,,,,,,,,,
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,-0.226,,-0.265,-0.031,0.215,-0.102,-0.134,,,-0.112,,,,,0.235,0.151,0.240,-0.058,0.083
UVA-Ensemble,,,,,,,,,,,,,,,,,,,,0.122,0.098,0.146,0.102,0.448,0.766,0.223,0.370,0.418,0.869,0.719,0.070,,0.206,-0.080,-0.090
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.093,0.202,0.077,0.167,0.260,0.558,-0.047,-0.106
FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,0.167,0.171,0.206,-0.085,-0.046
UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.372,-0.010,-0.079,0.127,0.239,0.396,-0.128,-0.157
SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192,0.146,0.227,0.345,0.030,0.185,-0.145,0.090
COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207,0.160,0.794,-0.048,-0.089
MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.531,0.206,0.231,0.254,0.454,-0.026,-0.249
USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,-0.284,-0.252,,,,,,,,,,,,,,,,
IHME-CurveFit,,,0.753,0.823,1.163,1.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IUPUI-HkPrMobiDyR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.095,
