,mean_abs_error_2020-07-06_2020-07-11,mean_abs_error_2020-07-13_2020-07-18,mean_abs_error_2020-07-20_2020-07-25,mean_abs_error_2020-07-27_2020-08-01,mean_abs_error_2020-08-03_2020-08-08,mean_abs_error_2020-08-10_2020-08-15,mean_abs_error_2020-08-17_2020-08-22,mean_abs_error_2020-08-24_2020-08-29,mean_abs_error_2020-08-31_2020-09-05,mean_abs_error_2020-09-07_2020-09-12,mean_abs_error_2020-09-14_2020-09-19,mean_abs_error_2020-09-21_2020-09-26,mean_abs_error_2020-09-28_2020-10-03,mean_abs_error_2020-10-05_2020-10-10,mean_abs_error_2020-10-12_2020-10-17,mean_abs_error_2020-10-19_2020-10-24,mean_abs_error_2020-10-26_2020-10-31,mean_abs_error_2020-11-02_2020-11-07,mean_abs_error_2020-11-09_2020-11-14,mean_abs_error_2020-11-16_2020-11-21,mean_abs_error_2020-11-23_2020-11-28,mean_abs_error_2020-11-30_2020-12-05,mean_abs_error_2020-12-07_2020-12-12,mean_abs_error_2020-12-14_2020-12-19,mean_abs_error_2020-12-21_2020-12-26,mean_abs_error_2020-12-28_2021-01-02,mean_abs_error_2021-01-04_2021-01-09,mean_abs_error_2021-01-11_2021-01-16,mean_abs_error_2021-01-18_2021-01-23,mean_abs_error_2021-01-25_2021-01-30,mean_abs_error_2021-02-01_2021-02-06,mean_abs_error_2021-02-08_2021-02-13,mean_abs_error_2021-02-15_2021-02-20,mean_abs_error_2021-02-22_2021-02-27,mean_abs_error_2021-03-01_2021-03-06,mean_sq_abs_error_2020-07-06_2020-07-11,mean_sq_abs_error_2020-07-13_2020-07-18,mean_sq_abs_error_2020-07-20_2020-07-25,mean_sq_abs_error_2020-07-27_2020-08-01,mean_sq_abs_error_2020-08-03_2020-08-08,mean_sq_abs_error_2020-08-10_2020-08-15,mean_sq_abs_error_2020-08-17_2020-08-22,mean_sq_abs_error_2020-08-24_2020-08-29,mean_sq_abs_error_2020-08-31_2020-09-05,mean_sq_abs_error_2020-09-07_2020-09-12,mean_sq_abs_error_2020-09-14_2020-09-19,mean_sq_abs_error_2020-09-21_2020-09-26,mean_sq_abs_error_2020-09-28_2020-10-03,mean_sq_abs_error_2020-10-05_2020-10-10,mean_sq_abs_error_2020-10-12_2020-10-17,mean_sq_abs_error_2020-10-19_2020-10-24,mean_sq_abs_error_2020-10-26_2020-10-31,mean_sq_abs_error_2020-11-02_2020-11-07,mean_sq_abs_error_2020-11-09_2020-11-14,mean_sq_abs_error_2020-11-16_2020-11-21,mean_sq_abs_error_2020-11-23_2020-11-28,mean_sq_abs_error_2020-11-30_2020-12-05,mean_sq_abs_error_2020-12-07_2020-12-12,mean_sq_abs_error_2020-12-14_2020-12-19,mean_sq_abs_error_2020-12-21_2020-12-26,mean_sq_abs_error_2020-12-28_2021-01-02,mean_sq_abs_error_2021-01-04_2021-01-09,mean_sq_abs_error_2021-01-11_2021-01-16,mean_sq_abs_error_2021-01-18_2021-01-23,mean_sq_abs_error_2021-01-25_2021-01-30,mean_sq_abs_error_2021-02-01_2021-02-06,mean_sq_abs_error_2021-02-08_2021-02-13,mean_sq_abs_error_2021-02-15_2021-02-20,mean_sq_abs_error_2021-02-22_2021-02-27,mean_sq_abs_error_2021-03-01_2021-03-06
OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,93.1,86.0,96.3,93.6,86.5,78.2,110.8,80.9,72.7,54.7,64.7,54.7,53.4,54.6,43.3,,,,,,,,,,,,,,,,,,,,,87065.7,157193.4,328560.2,386974.2,80393.4,122952.9,172637.1,63281.4,234118.2,28122.5,52151.7,36666.8,45179.8,61031.0,45213.7
IowaStateLW-STEM,53.8,87.9,72.3,53.3,54.6,,45.1,49.0,41.7,43.8,34.8,44.8,44.4,38.0,44.7,59.5,60.1,96.5,122.1,115.8,107.3,114.5,151.5,144.4,117.9,111.2,155.5,97.8,159.9,128.6,122.0,91.5,92.8,56.6,96.2,52200.1,295761.4,1611547.9,56584.5,107343.6,,46080.4,63873.9,50202.0,115614.8,12263.3,60241.2,27295.8,11612.6,19231.2,50579.0,51068.8,110456.0,140330.2,161777.5,147647.3,261250.0,723037.5,628694.3,156070.4,307731.8,382271.7,111000.4,743662.2,636907.9,597165.7,188666.7,140454.2,51121.7,168929.5
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,71.4,86.1,92.5,112.4,119.8,119.7,89.8,,145.4,111.7,76.9,67.7,71.1,60.2,,49.1,35.7,,,,,,,,,,,,,,,,,,,57151.4,64924.4,68798.9,248330.8,381550.3,600035.6,169468.5,,464272.1,216121.7,188487.6,70009.3,72922.2,46539.2,,39649.6,15867.2
JHUAPL-Bucky,,,,,,,,,33.8,41.5,33.3,38.7,37.1,33.0,36.6,56.7,67.7,110.0,121.5,149.5,169.2,127.9,129.5,156.0,168.3,151.5,111.4,138.1,157.6,103.2,112.1,88.1,91.1,60.0,60.5,,,,,,,,,11634.3,16194.6,13601.5,54342.0,55104.0,11156.2,14024.1,46726.5,63252.6,140977.9,183733.8,234081.6,327057.9,147789.7,237009.0,476164.6,1122804.0,1044218.8,230275.8,311980.0,415235.5,375405.3,264884.1,124019.6,200825.5,47439.3,65184.6
RobertWalraven-ESG,,,,,42.6,54.8,35.8,35.9,47.8,35.9,45.5,52.4,44.4,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,42644.8,69228.8,24379.0,14240.7,23573.5,11819.7,24005.9,93878.6,24054.3,19790.2,,,,,,,,,,,,,,,,,,,,,
Google_Harvard-CPF,,,,,,,,,,,,,42.1,60.5,76.8,66.5,52.4,93.6,121.3,118.9,119.2,133.9,117.9,136.1,396.7,155.1,259.0,139.9,159.4,69.5,112.4,61.4,49.2,55.9,56.2,,,,,,,,,,,,,21156.5,37880.4,88619.2,65356.1,40422.6,140915.7,99920.7,141751.5,284033.0,347738.3,327712.6,387761.2,153219538.1,813714.3,1167037.1,329840.4,849328.5,151510.8,161143.8,44987.2,39692.3,45000.8,60684.9
UVA-Ensemble,,,,,,,,45.8,81.4,78.4,43.2,50.4,33.7,49.6,60.4,80.7,73.9,73.0,127.4,149.3,120.0,177.9,198.1,322.2,309.7,427.2,398.8,369.3,379.4,286.7,75.4,,56.9,50.3,37.2,,,,,,,,53194.5,282256.7,193864.2,22458.9,46801.5,22132.2,17780.2,34340.3,82648.1,64363.6,42966.6,362856.8,620355.7,194841.4,1118014.5,780489.6,17795690.5,13036976.8,29013038.6,38651455.9,43819734.5,34791786.2,7283593.2,77398.5,,67586.5,43181.6,22118.8
FAIR-NRAR,,,,,,,,,,,,,,,,,,,,,84.5,218.9,194.7,163.9,112.8,171.0,199.8,116.8,84.9,101.2,75.3,60.5,42.0,69.6,53.7,,,,,,,,,,,,,,,,,,,,,64091.4,747194.8,762928.8,1206382.4,325905.5,708240.0,567301.1,333739.6,125964.8,137158.4,68337.5,48902.2,20465.3,75334.6,61782.5
PandemicCentral-USCounty,,,,,,,,,51.5,42.9,49.7,53.8,54.0,54.0,56.3,67.8,116.8,121.4,184.2,237.9,,,407.7,137.7,112.2,112.7,170.0,122.7,119.0,111.0,136.7,99.7,97.1,,,,,,,,,,,49179.4,27890.3,28441.1,53043.0,49902.8,69475.6,26201.8,46725.1,716623.3,139468.7,341457.2,643770.7,,,2975403.4,746169.7,258555.3,244846.8,441253.1,467680.2,186780.3,176277.5,231426.8,132518.3,177904.1,,
COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6,43.1,197.0,39.9,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58352.4,20606.8,287248.6,23663.4,16981.8
UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,186.6,135.8,91.0,81.1,127.3,102.0,110.7,47.5,41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,533189.6,417703.2,154015.9,130618.9,376460.8,205820.7,251330.2,31266.9,23231.0
Yu_Group-CLEP,,,,,,55.1,55.7,,44.1,39.8,39.2,50.2,57.1,,,,,,,,138.2,,,,,,,,,,,,,,,,,,,,42962.4,65296.9,,15864.8,12698.6,12316.3,54308.5,47762.4,,,,,,,,161169.5,,,,,,,,,,,,,,
MITCovAlliance-SIR,,,,,,,43.7,,53.4,42.2,53.7,60.3,57.1,,75.5,95.0,106.9,,,,,,,,,326.2,427.3,,,,,,,,,,,,,,,55287.0,,43306.0,23353.5,50441.2,136854.8,51948.0,,90191.2,148679.3,142236.0,,,,,,,,,1956282.1,2488625.8,,,,,,,,
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,92.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657774.2,,,,,,,,,,,
IUPUI-HkPrMobiDyR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50194.1,
