,perc_error_2020-07-06_2020-07-18,perc_error_2020-07-13_2020-07-25,perc_error_2020-07-20_2020-08-01,perc_error_2020-07-27_2020-08-08,perc_error_2020-08-03_2020-08-15,perc_error_2020-08-10_2020-08-22,perc_error_2020-08-17_2020-08-29,perc_error_2020-08-24_2020-09-05,perc_error_2020-08-31_2020-09-12,perc_error_2020-09-07_2020-09-19,perc_error_2020-09-14_2020-09-26,perc_error_2020-09-21_2020-10-03,perc_error_2020-09-28_2020-10-10,perc_error_2020-10-05_2020-10-17,perc_error_2020-10-12_2020-10-24,perc_error_2020-10-19_2020-10-31,perc_error_2020-10-26_2020-11-07,perc_error_2020-11-02_2020-11-14,perc_error_2020-11-09_2020-11-21,perc_error_2020-11-16_2020-11-28,perc_error_2020-11-23_2020-12-05,perc_error_2020-11-30_2020-12-12,perc_error_2020-12-07_2020-12-19,perc_error_2020-12-14_2020-12-26,perc_error_2020-12-21_2021-01-02,perc_error_2020-12-28_2021-01-09,perc_error_2021-01-04_2021-01-16,perc_error_2021-01-11_2021-01-23,perc_error_2021-01-18_2021-01-30,perc_error_2021-01-25_2021-02-06,perc_error_2021-02-01_2021-02-13,perc_error_2021-02-08_2021-02-20,perc_error_2021-02-15_2021-02-27,perc_error_2021-02-22_2021-03-06
COVIDhub-baseline,-0.243,-0.128,0.027,0.139,0.196,0.135,0.220,0.052,0.106,0.081,-0.190,-0.086,-0.038,-0.173,-0.232,-0.259,-0.317,-0.404,-0.351,-0.138,-0.060,-0.207,-0.119,0.038,0.086,-0.163,-0.126,0.218,0.362,0.295,0.402,0.484,0.382,0.100
UCLA-SuEIR,-0.188,-0.024,0.115,0.264,0.214,0.053,0.088,-0.073,0.087,-0.051,-0.346,-0.175,-0.168,-0.299,-0.335,-0.387,-0.321,-0.370,-0.251,-0.029,0.091,-0.238,-0.046,0.028,0.028,-0.231,-0.163,0.307,0.166,0.288,0.562,0.291,,0.257
LANL-GrowthRate,-0.365,-0.302,-0.104,-0.140,-0.186,-0.149,-0.136,-0.265,-0.195,-0.272,-0.296,-0.228,-0.307,-0.350,-0.375,-0.445,-0.454,-0.238,-0.103,0.241,0.007,-0.194,-0.039,0.067,-0.041,-0.152,-0.193,0.178,0.222,-0.150,-0.051,-0.072,-0.230,-0.321
IowaStateLW-STEM,-0.058,0.045,0.199,0.163,0.206,,0.127,0.142,0.258,0.216,-0.051,-0.129,-0.071,-0.276,-0.354,-0.377,-0.326,-0.395,-0.417,-0.105,0.069,-0.144,-0.107,0.107,0.119,-0.103,-0.219,0.128,0.461,0.302,0.310,0.481,0.427,0.094
Covid19Sim-Simulator,-0.044,0.060,0.301,0.545,0.380,,-0.119,-0.294,-0.134,-0.102,-0.254,-0.324,-0.267,-0.156,-0.237,-0.375,-0.253,-0.352,-0.310,,-0.029,-0.188,-0.080,0.098,0.117,-0.121,-0.157,0.191,0.400,0.290,0.423,0.499,0.093,-0.063
JHUAPL-Bucky,,,,,,,,,-0.010,0.211,-0.111,-0.020,-0.069,-0.214,-0.272,-0.275,-0.338,-0.357,-0.297,0.208,0.325,-0.093,-0.017,0.249,0.205,-0.128,-0.043,0.237,0.358,0.026,0.173,0.284,0.085,-0.221
RobertWalraven-ESG,-0.923,-0.113,0.153,0.080,0.059,0.256,-0.179,-0.232,-0.237,-0.323,-0.473,-0.410,,-0.308,-0.287,-0.180,-0.104,-0.226,-0.035,0.355,0.307,-0.437,0.183,0.238,0.207,-0.218,-0.144,0.160,0.343,0.285,0.107,0.176,-0.067,-0.280
DDS-NBDS,,,,-0.173,0.086,0.075,0.226,-0.022,0.060,0.093,-0.184,0.128,0.150,-0.152,-0.169,-0.142,-0.128,-0.157,-0.090,0.421,0.369,-0.027,0.209,0.129,0.204,2.352,-0.008,0.752,3.024,0.745,2.132,5.615,,2.014
CEID-Walk,,,,,,0.118,0.214,0.042,0.106,0.079,-0.202,-0.091,-0.028,-0.154,-0.235,-0.258,-0.322,-0.403,-0.347,-0.131,-0.058,-0.206,-0.114,0.042,0.073,-0.177,-0.135,0.217,0.336,0.301,0.409,0.496,0.393,0.478
IBF-TimeSeries,,,,,,,,,,-0.058,-0.281,-0.097,-0.138,,-0.311,-0.253,-0.156,-0.372,-0.276,0.009,0.022,-0.211,0.003,0.160,0.057,-0.231,-0.008,0.347,0.291,0.131,0.322,0.446,0.455,-0.140
JCB-PRM,,,,,,,,,,0.068,-0.161,-0.115,-0.081,-0.085,-0.126,-0.276,-0.295,-0.372,-0.340,-0.096,0.115,0.043,0.005,0.196,0.329,0.108,,,,,,,,
CovidAnalytics-DELPHI,-0.287,-0.281,-0.174,0.010,0.141,0.122,0.058,-0.109,-0.128,-0.230,-0.409,-0.477,-0.537,-0.545,-0.572,-0.642,-0.592,-0.631,-0.559,-0.354,0.344,0.231,0.185,0.278,0.131,0.059,-0.154,0.107,0.631,0.524,0.344,0.184,0.079,-0.162
BPagano-RtDriven,,,,,,,,,,,,,,,,-0.152,-0.232,-0.410,-0.206,0.102,0.261,-0.051,0.067,0.240,0.189,0.031,-0.081,0.166,0.365,0.286,0.313,0.164,0.085,-0.138
IQVIA_ACOE-STAN,,,,,,,,,0.205,0.146,-0.166,-0.096,-0.078,-0.179,-0.238,,-0.310,-0.406,-0.342,-0.117,-0.015,-0.166,-0.050,0.025,,,,,,,,,,
TTU-squider,,,,,,,0.070,0.328,,,0.272,,0.050,-0.547,-0.599,-0.662,-0.641,-0.546,-0.538,-0.393,-0.172,0.001,-0.263,-0.030,0.086,-0.045,-0.142,-0.054,0.073,0.161,0.268,0.491,0.395,0.163
JHU_IDD-CovidSP,-0.288,-0.345,-0.243,0.180,0.269,0.262,0.256,0.081,0.014,-0.069,-0.292,-0.348,-0.233,-0.252,-0.446,-0.474,-0.594,-0.673,,-0.304,-0.241,-0.340,-0.360,-0.265,-0.166,-0.314,-0.390,-0.243,0.003,0.102,0.173,0.286,0.508,0.202
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,-0.134,0.114,0.047,-0.257,-0.051,0.016,-0.041,,-0.209,0.209,0.071,-0.057,0.137,0.166,,-0.174
UCF-AEM,,,,,,,,,,,,,,,,,,,,-0.226,0.012,-0.196,-0.054,0.107,0.072,-0.123,-0.060,0.307,0.312,0.186,0.241,0.271,0.161,-0.109
OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,0.386,-0.033,0.235,0.134,0.126,-0.084,-0.044,0.183,0.383,0.334,0.363,0.260,-0.079,-0.060
IEM_MED-CovidProject,,,,,,,,,,,,,,,,,,,,,,,-0.003,0.180,0.145,-0.088,-0.185,0.382,0.384,0.042,0.094,0.120,-0.036,-0.198
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,-0.107,0.131,0.158,-0.159,-0.134,0.196,0.363,0.420,0.261,0.218,0.064,-0.128
UVA-Ensemble,,,,,,,,,,,,,,,,,,,,0.177,0.029,0.056,0.064,0.417,0.532,-0.103,0.214,0.491,0.809,0.797,0.220,,0.108,-0.095
MSRA-DeepST,,,,,,,,,,,,,,,,-0.338,,-0.349,-0.290,0.033,0.134,-0.155,-0.121,,,,,,,,,,,
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,-0.328,,-0.301,0.076,0.218,-0.095,-0.148,,,-0.201,,,,,0.395,0.326,0.212,-0.015
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009,0.274,0.151,0.248,0.389,0.475,-0.056
UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.347,-0.033,-0.013,0.218,0.288,0.297,-0.160
SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.300,0.296,0.433,0.429,0.155,0.123,-0.148
FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141,0.286,0.336,0.117,-0.106
MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.745,0.294,0.272,0.322,0.297,-0.110
USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,-0.347,-0.271,,,,,,,,,,,,,,,
COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.363,0.286,0.724,-0.047
IHME-CurveFit,,,0.781,0.937,1.169,1.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IUPUI-HkPrMobiDyR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249
