,mean_abs_error_2020-07-06_2020-07-18,mean_abs_error_2020-07-13_2020-07-25,mean_abs_error_2020-07-20_2020-08-01,mean_abs_error_2020-07-27_2020-08-08,mean_abs_error_2020-08-03_2020-08-15,mean_abs_error_2020-08-10_2020-08-22,mean_abs_error_2020-08-17_2020-08-29,mean_abs_error_2020-08-24_2020-09-05,mean_abs_error_2020-08-31_2020-09-12,mean_abs_error_2020-09-07_2020-09-19,mean_abs_error_2020-09-14_2020-09-26,mean_abs_error_2020-09-21_2020-10-03,mean_abs_error_2020-09-28_2020-10-10,mean_abs_error_2020-10-05_2020-10-17,mean_abs_error_2020-10-12_2020-10-24,mean_abs_error_2020-10-19_2020-10-31,mean_abs_error_2020-10-26_2020-11-07,mean_abs_error_2020-11-02_2020-11-14,mean_abs_error_2020-11-09_2020-11-21,mean_abs_error_2020-11-16_2020-11-28,mean_abs_error_2020-11-23_2020-12-05,mean_abs_error_2020-11-30_2020-12-12,mean_abs_error_2020-12-07_2020-12-19,mean_abs_error_2020-12-14_2020-12-26,mean_abs_error_2020-12-21_2021-01-02,mean_abs_error_2020-12-28_2021-01-09,mean_abs_error_2021-01-04_2021-01-16,mean_abs_error_2021-01-11_2021-01-23,mean_abs_error_2021-01-18_2021-01-30,mean_abs_error_2021-01-25_2021-02-06,mean_abs_error_2021-02-01_2021-02-13,mean_abs_error_2021-02-08_2021-02-20,mean_abs_error_2021-02-15_2021-02-27,mean_abs_error_2021-02-22_2021-03-06,mean_sq_abs_error_2020-07-06_2020-07-18,mean_sq_abs_error_2020-07-13_2020-07-25,mean_sq_abs_error_2020-07-20_2020-08-01,mean_sq_abs_error_2020-07-27_2020-08-08,mean_sq_abs_error_2020-08-03_2020-08-15,mean_sq_abs_error_2020-08-10_2020-08-22,mean_sq_abs_error_2020-08-17_2020-08-29,mean_sq_abs_error_2020-08-24_2020-09-05,mean_sq_abs_error_2020-08-31_2020-09-12,mean_sq_abs_error_2020-09-07_2020-09-19,mean_sq_abs_error_2020-09-14_2020-09-26,mean_sq_abs_error_2020-09-21_2020-10-03,mean_sq_abs_error_2020-09-28_2020-10-10,mean_sq_abs_error_2020-10-05_2020-10-17,mean_sq_abs_error_2020-10-12_2020-10-24,mean_sq_abs_error_2020-10-19_2020-10-31,mean_sq_abs_error_2020-10-26_2020-11-07,mean_sq_abs_error_2020-11-02_2020-11-14,mean_sq_abs_error_2020-11-09_2020-11-21,mean_sq_abs_error_2020-11-16_2020-11-28,mean_sq_abs_error_2020-11-23_2020-12-05,mean_sq_abs_error_2020-11-30_2020-12-12,mean_sq_abs_error_2020-12-07_2020-12-19,mean_sq_abs_error_2020-12-14_2020-12-26,mean_sq_abs_error_2020-12-21_2021-01-02,mean_sq_abs_error_2020-12-28_2021-01-09,mean_sq_abs_error_2021-01-04_2021-01-16,mean_sq_abs_error_2021-01-11_2021-01-23,mean_sq_abs_error_2021-01-18_2021-01-30,mean_sq_abs_error_2021-01-25_2021-02-06,mean_sq_abs_error_2021-02-01_2021-02-13,mean_sq_abs_error_2021-02-08_2021-02-20,mean_sq_abs_error_2021-02-15_2021-02-27,mean_sq_abs_error_2021-02-22_2021-03-06
UCLA-SuEIR,3506.0,2312.4,3143.4,3942.5,3787.8,2475.3,3120.0,2436.5,2174.8,1956.8,3545.3,2630.0,2911.1,4508.6,6075.3,8828.3,12669.2,18525.3,19994.1,15238.6,8686.1,13922.0,13659.0,12634.8,8109.3,14249.1,10688.5,13098.2,6996.9,9039.9,10746.9,11210.2,,8287.5,72055171.7,21831852.3,44489257.2,68772305.7,54829075.3,17090218.4,59565974.6,22390570.7,17783426.1,12572168.8,48860344.8,21745144.1,18898732.9,35623786.9,87183686.4,150648295.4,352165301.0,781331334.1,817064111.1,600667937.2,236594622.0,755322352.8,1090955118.2,618307849.7,201916129.9,607064470.5,278701023.0,453313172.1,557387320.3,446877005.4,464640610.3,658134436.5,,589357459.8
Karlen-pypm,,,14530.6,8897.7,7702.0,4584.6,2830.5,2688.8,2266.1,2582.6,3326.2,3133.7,2933.4,4229.9,4289.1,4144.4,5890.9,9280.4,8691.2,13952.3,17492.5,13551.5,12399.3,16782.0,18696.9,23437.3,10801.0,11482.3,16899.3,11379.4,3981.0,4801.9,2910.9,4154.0,,,1366393828.6,475604430.4,214947659.4,62707777.7,28609399.0,22991630.4,14676181.8,18657703.6,36558463.8,39695500.3,15647941.0,39546693.2,52598319.3,49445268.2,102961248.3,224974390.5,180362934.4,578011428.8,670565192.9,461759180.0,553058330.9,640282379.0,2643475409.0,8911390332.1,247149895.7,502060615.4,1237848713.8,690662768.2,40376542.7,173964576.8,29941756.0,47652733.6
RobertWalraven-ESG,15451.0,9329.8,4769.0,3626.2,2745.3,4970.3,2703.9,2824.2,3642.3,3680.1,5575.7,5227.5,5707.9,4925.9,5484.7,4036.3,10465.5,14411.4,8419.7,12451.7,11405.5,18019.2,16288.7,11448.8,9071.5,18331.2,12787.5,15089.0,14523.2,9317.5,4140.5,4732.8,2901.5,4412.5,1037325382.0,521362757.6,221688633.7,54294056.6,27944482.1,111335211.1,22334278.0,14103936.1,30356495.7,32896454.5,102174411.4,105105485.2,77674136.7,45049208.3,83501600.0,53984598.5,283355375.4,524602275.9,175248455.8,386304834.9,325161615.2,777046569.8,1175360606.4,267779322.6,577251348.9,888625825.8,489210672.4,673622576.5,960833868.4,361979259.7,44064525.4,128619499.0,52287822.2,77463202.5
Covid19Sim-Simulator,4138.5,6117.6,8652.0,10420.9,6164.1,,,3161.1,1676.3,1826.9,2579.5,2772.1,2608.3,2973.0,4702.7,6897.0,9605.8,14955.0,17393.7,,9502.9,14566.5,14495.0,11581.8,9302.3,11042.4,11778.9,9467.6,19415.5,14094.0,11853.0,9783.3,5176.7,3014.3,72329420.5,279903768.6,618400598.2,831244880.7,158681003.5,,,23710568.7,8216544.9,16110395.4,33403973.1,34638098.5,12657128.7,18615268.3,49783403.7,108205963.0,228104943.1,496811288.7,570775049.8,,287873335.6,876786337.9,1244745599.2,422961806.5,313893039.4,532131117.2,367500035.2,380388585.1,1636026896.4,795821771.2,419578330.2,561654810.5,116236111.4,34119668.8
IowaStateLW-STEM,3167.0,5409.8,5647.7,3906.4,3774.8,,3402.1,4281.7,2747.3,3330.7,2613.2,2880.3,3428.9,4123.0,5892.6,7697.0,9355.7,14716.1,16244.9,8999.8,11568.4,12348.0,13737.7,14787.6,8956.4,7282.2,11883.9,10994.8,20541.3,13086.1,10358.0,10562.6,8274.4,2810.6,44784897.2,143011187.8,328796742.6,117496572.2,75540974.7,,78924305.1,125462006.6,46037525.3,104321455.6,18429230.2,19961530.1,41310383.7,29904354.6,73617482.1,131531303.7,209460930.1,465816059.1,549570739.1,200111274.9,378262676.2,697051499.6,1243950135.3,689414989.5,163049374.7,151485274.3,516659261.1,264926964.7,1731323506.1,789438182.2,263858845.4,578514517.9,234532917.0,29748002.0
JCB-PRM,,,,,,,,,,1751.5,2793.1,2299.0,1749.2,2447.4,3114.8,5881.9,8340.6,13574.2,15065.4,10131.6,13104.7,16074.2,15151.4,15348.4,17937.6,12232.1,,,,,,,,,,,,,,,,,,7970340.6,47996754.9,23101501.7,5943728.0,13315269.4,21747967.9,80583729.4,195709870.1,457084220.6,460333864.6,267930544.9,546492144.8,775801291.7,1343127269.7,515466099.9,1190919776.6,1212887914.2,,,,,,,,
JHUAPL-Bucky,,,,,,,,,2277.0,2833.5,2065.2,2149.1,2629.5,3235.8,4816.6,6311.3,9951.0,14147.6,14652.8,17674.0,19240.5,11427.5,12271.9,17106.4,17139.2,22640.5,7118.6,13512.5,16343.8,9336.4,9272.5,8154.4,7480.4,4908.3,,,,,,,,,11741565.0,22749189.8,21017050.7,11993533.5,19578062.1,21628147.8,55447248.6,96502121.3,250918479.4,461920590.2,459365914.9,959057916.9,1689791840.7,319612678.6,602441249.6,1113310457.3,3244189258.1,2539738868.7,113347775.1,617663010.6,842588574.9,419333650.5,380837006.0,330849076.8,478605637.3,68531435.9
JHU_IDD-CovidSP,9206.0,7848.6,5752.2,3713.4,4089.6,3695.0,3454.8,2315.0,1857.9,2452.5,3946.6,4295.1,3855.1,4835.7,7993.7,10046.4,15894.2,24170.6,,14388.5,12587.2,19400.1,21622.0,16463.2,11776.4,19771.6,25344.7,14620.3,5055.6,6328.6,6269.3,7076.0,9678.7,4384.3,397125724.1,394373448.0,194861477.2,50558318.9,43986654.1,27312910.2,34188184.6,16388024.6,9523445.9,13635777.6,57846964.8,70946174.7,35205319.1,44688698.8,139839939.7,216186108.5,570074539.4,1215173960.0,,436361244.5,419484100.2,1244471229.7,2171137482.8,2139076956.8,810091289.1,1198831108.9,1924485085.7,613739577.8,128938879.2,242872009.9,215547273.2,306563108.9,540136646.0,140810101.5
IQVIA_ACOE-STAN,,,,,,,,2681.1,2706.9,2700.9,2226.3,2376.1,2262.4,2707.4,4213.1,,8531.7,14540.7,14798.9,11169.6,12247.1,17235.9,15643.4,15854.9,,,,,,,,,,,,,,,,,,22173968.4,23072344.6,24174361.6,24926320.0,19432178.0,11258925.8,14929115.8,46232496.0,,177573856.9,505298769.1,445521343.9,324359121.6,419367956.4,1002189215.1,1306408687.6,1257758038.6,,,,,,,,,,
DDS-NBDS,,,,3371.7,2933.6,2913.6,3614.1,2008.1,2262.6,2195.8,3131.4,2728.6,2936.6,3241.1,3747.6,4743.1,6744.4,8803.7,8749.1,23768.5,20720.5,14361.6,27592.6,16882.6,18544.9,155793.1,23993.8,41840.7,118951.0,31405.7,63402.6,118444.0,,36582.1,,,,37983648.4,45746078.4,32739199.6,47350927.1,10469240.0,13084359.0,16353920.4,38180904.2,23863539.6,25784100.9,20723641.9,34150634.9,56850754.8,133475862.4,212598426.5,213021265.7,3464698200.4,1164051167.9,621512580.6,4409051685.4,1872469808.4,2428490740.8,568145025940.7,2495180550.5,8473560309.2,382431792220.4,9332613498.7,42737643497.6,143790598183.1,,16702667056.7
OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,11363.1,9577.3,10261.3,8487.6,7341.7,9673.4,9472.8,9305.2,7122.4,7949.0,5805.8,6195.3,5283.1,5876.3,,,,,,,,,,,,,,,,,,,,,302886761.0,431112469.3,819428166.1,380325514.1,283045085.3,236655420.0,235391202.2,190841059.2,360596010.5,133337329.8,68557922.0,201325997.8,98117617.9,111565708.4
JHU_CSSE-DECOM,,,,,,,,,,,,,,3140.1,,4896.3,9070.3,13423.7,13174.2,8485.1,12612.5,11431.0,14853.0,12093.9,10989.9,13219.8,12452.0,17783.6,22337.1,12121.8,11641.3,8539.2,4168.5,2663.0,,,,,,,,,,,,,,24940493.2,,63808378.0,214882156.0,432990211.1,382328837.4,190605021.7,324546131.8,593914680.8,2491479978.8,468874390.2,795269708.0,456665336.5,455862973.9,918150918.9,2678983903.2,891913210.1,444596660.1,508902775.5,42036922.1,17138094.1
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,6474.0,8472.1,8181.3,15076.0,12926.4,12672.8,8246.6,,13952.8,12190.8,6747.3,5859.9,5007.0,6479.0,,4497.7,,,,,,,,,,,,,,,,,,,82251316.0,158856500.8,143348941.1,886649026.8,1095192245.5,827307505.2,181301728.7,,698588585.1,258025822.6,334440627.4,110591936.9,137813249.5,208980553.0,,87754483.7
UMich-RidgeTfReg,,,,,,5490.1,,,2286.4,2461.8,2525.1,2810.5,3169.3,3137.7,4193.8,5172.2,7415.0,12351.8,12455.3,19358.9,12002.6,,,,17846.5,13587.5,12508.5,19069.9,19601.5,14367.9,14079.0,13509.2,8180.5,13191.8,,,,,,118961372.5,,,18090543.9,22962704.2,21731354.5,19866098.3,23577144.0,21876542.9,51631355.8,78722715.6,153904119.8,414070692.6,381612960.9,980217821.1,316339998.3,,,,3478471732.3,638733139.7,490053498.5,1491980503.2,2412497674.2,553015007.0,452701767.2,845714678.4,272369160.9,523358873.9
BPagano-RtDriven,,,,,,,,,,,,,,,,5392.3,9251.3,15652.0,11487.9,14332.1,18242.1,12195.8,15168.0,15344.1,15050.5,13604.3,10112.2,12489.2,17379.0,10996.5,9906.5,5377.9,6069.9,4076.6,,,,,,,,,,,,,,,,75129971.2,219070125.7,548799010.1,255947749.4,678633803.0,937884183.2,336531750.3,680462430.5,430856352.4,1381707445.2,2081717567.7,321099448.4,435880745.7,1864494528.4,902224530.4,503409829.9,157087274.0,157330804.8,51588395.6
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,11478.4,12627.4,9407.3,10571.2,9038.8,10989.2,16417.2,15733.0,7881.1,5098.2,2862.9,3640.7,,,,,,,,,,,,,,,,,,,,,,,1330811911.0,471773816.3,223179005.2,377148675.6,314474259.1,277810851.9,1041965735.1,961110305.9,229539171.6,224892569.8,69355309.8,54172172.1
Google_Harvard-CPF,,,,,,,,,,,,,,,7683.1,,8743.2,15248.1,12596.5,14501.3,11909.4,13523.3,12990.3,14205.7,25120.3,20307.4,14111.8,16456.1,19727.7,13107.4,8236.9,7406.2,4550.1,5483.5,,,,,,,,,,,,,,,129588355.4,,195594886.8,629451320.7,285991207.2,608320605.9,489433480.0,634776399.4,721256505.1,537659553.8,3859868494.5,2401583631.6,722555344.0,575571411.3,954125345.0,696116918.6,186943449.7,334506926.7,55164553.0,80912674.3
MSRA-DeepST,,,,,,,,,,,,,,,,5718.0,,11831.0,11385.2,8057.1,11296.0,12039.8,12166.8,,,,,,,,,,,,,,,,,,,,,,,,,,,95643789.3,,369821681.2,343653776.2,177675404.4,279327935.1,929831880.2,1469629954.0,,,,,,,,,,,
IEM_MED-CovidProject,,,,,,,,,,,,,,,,,,,,,,,9733.3,17718.7,18882.1,16797.7,11174.2,25308.9,20634.6,7478.0,4535.3,4726.1,2193.1,4353.9,,,,,,,,,,,,,,,,,,,,,,,271823059.1,1009436478.0,3888230607.5,1908302491.3,492031737.7,2006368855.2,1577454218.4,147940753.3,71972591.1,192489681.3,18158701.6,77389592.2
JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,9214.5,13897.2,14831.2,11151.2,,,13779.9,14657.7,12262.4,23837.8,19735.6,9884.6,,11130.2,7380.4,7556.5,7118.1,9527.3,,,,,,,,,,,,,,,,,240109419.5,476474214.1,452420439.1,339798052.8,,,1235881871.5,925300098.1,823831280.3,1887598633.2,1167977607.4,733341571.8,,347730935.9,161022365.0,420350922.6,177076166.0,253514666.3
CovidAnalytics-DELPHI,5637.5,6003.8,4720.8,5659.6,6633.3,5976.7,5057.8,4328.5,4178.9,3961.1,5222.8,5955.9,6787.7,7773.0,9690.3,13074.8,15774.5,22904.9,27599.4,30211.0,22722.4,21914.6,23218.3,21965.8,14311.9,17484.8,18491.4,29740.5,42025.2,24977.4,15012.6,8481.2,7046.2,6680.2,104880546.3,91542135.5,42317457.0,103853907.7,165645625.6,157928141.7,105522334.9,47200894.9,49480880.1,32448447.0,66668381.7,89231962.7,86395174.6,113401873.8,211561272.4,353531899.6,587585550.8,1186871816.7,1594573138.7,2145892437.2,1535436354.6,1107333993.0,1531982088.0,1185374235.4,2559083680.2,1069323258.6,885781456.9,7711988273.9,23305944461.8,4789550844.4,765205640.4,476701946.5,361140170.5,228900706.0
UVA-Ensemble,,,,,,,,,,,,,,,,,,,,12746.4,10990.1,13370.6,15862.7,24195.1,29924.0,24775.2,21856.8,27006.3,36489.3,29932.9,7289.9,,4347.4,4986.5,,,,,,,,,,,,,,,,,,,,643617562.1,281225932.8,443061358.7,856752035.7,2302357983.9,8592461916.4,3360730451.9,8470916105.8,4813599602.4,8306685015.3,4456867907.9,230012711.4,,124383517.9,94841983.0
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,7467.1,14200.2,9965.3,9882.4,9431.3,9877.5,3044.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,178762670.2,1833561077.7,917384552.0,563284675.7,398359861.7,467609806.4,29829882.2
UCSB-ACTS,,,,,,,,,,,,,,,,,9731.4,13515.6,17158.8,12667.1,22007.6,30679.5,26230.5,26747.6,14642.0,23038.1,18352.4,12918.9,32407.4,39638.6,,,,,,,,,,,,,,,,,,,,,267842186.6,456601305.3,629012500.6,426358651.6,1498695096.6,2391503528.4,1786791078.2,1546076237.3,501106528.2,3339417646.5,2880867338.8,1042082788.2,3850858784.2,6086817183.1,,,,
TTU-squider,,,,,,,3807.4,7491.6,,,8090.3,,7859.0,7292.8,9756.4,13402.9,17225.6,21241.7,25084.5,23252.3,23763.7,33867.6,23061.5,18446.7,15427.1,16932.6,18944.4,17799.2,15440.7,15600.5,13535.5,13864.5,11592.8,7237.0,,,,,,,35045293.3,473686947.5,,,245348030.0,,220235738.0,120708802.0,214189848.5,362655850.5,618666365.7,1070313985.1,1476319140.0,1465350843.4,1844043823.4,4517338592.5,5426536861.2,974125088.9,550442848.3,590822881.2,921827599.3,1226235269.1,1568840380.2,1593411022.4,1343428398.6,1078480172.8,796180064.7,143372888.4
COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7691.9,4610.7,20031.5,2622.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153238792.6,133015828.7,961360597.1,20887189.9
USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,12895.6,12208.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511567040.4,420087150.8,,,,,,,,,,,,,,,
MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17755.5,12512.2,10167.2,9683.3,6271.3,5953.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963533073.8,559270916.5,383004197.0,811612189.9,313424001.1,91925048.7
SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11475.2,,5914.7,3634.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453940192.9,,172341538.3,46413664.7
