,perc_error_2020-07-06_2020-08-01,perc_error_2020-07-13_2020-08-08,perc_error_2020-07-20_2020-08-15,perc_error_2020-07-27_2020-08-22,perc_error_2020-08-03_2020-08-29,perc_error_2020-08-10_2020-09-05,perc_error_2020-08-17_2020-09-12,perc_error_2020-08-24_2020-09-19,perc_error_2020-08-31_2020-09-26,perc_error_2020-09-07_2020-10-03,perc_error_2020-09-14_2020-10-10,perc_error_2020-09-21_2020-10-17,perc_error_2020-09-28_2020-10-24,perc_error_2020-10-05_2020-10-31,perc_error_2020-10-12_2020-11-07,perc_error_2020-10-19_2020-11-14,perc_error_2020-10-26_2020-11-21,perc_error_2020-11-02_2020-11-28,perc_error_2020-11-09_2020-12-05,perc_error_2020-11-16_2020-12-12,perc_error_2020-11-23_2020-12-19,perc_error_2020-11-30_2020-12-26,perc_error_2020-12-07_2021-01-02,perc_error_2020-12-14_2021-01-09,perc_error_2020-12-21_2021-01-16,perc_error_2020-12-28_2021-01-23,perc_error_2021-01-04_2021-01-30,perc_error_2021-01-11_2021-02-06,perc_error_2021-01-18_2021-02-13,perc_error_2021-01-25_2021-02-20,perc_error_2021-02-01_2021-02-27,perc_error_2021-02-08_2021-03-06
CEID-Walk,,,,,,0.186,0.266,0.104,0.045,0.001,-0.248,-0.164,-0.158,-0.302,-0.404,-0.459,-0.483,-0.479,-0.378,-0.219,-0.146,-0.195,-0.078,,,-0.113,0.016,0.434,0.630,0.655,0.708,0.680
RobertWalraven-ESG,-0.939,-0.067,1.076,0.644,0.234,0.533,-0.233,-0.278,-0.349,-0.467,-0.567,-0.522,,-0.541,-0.540,-0.424,-0.312,-0.319,0.199,0.441,0.292,-0.591,0.293,0.275,0.117,-0.229,-0.033,0.328,0.527,0.505,0.146,0.088
JHU_IDD-CovidSP,-0.242,-0.197,-0.041,0.409,0.481,0.389,0.336,0.112,-0.072,-0.174,-0.340,-0.422,-0.344,-0.354,-0.533,-0.576,-0.659,-0.683,,-0.263,-0.236,-0.278,-0.266,-0.217,-0.180,-0.247,-0.261,-0.020,0.287,0.364,0.343,0.343
TTU-squider,,,,,,,0.029,,,,0.215,,-0.148,-0.666,-0.720,-0.778,-0.751,-0.572,-0.528,-0.387,-0.172,0.067,-0.236,-0.073,-0.020,-0.030,-0.074,0.007,0.130,0.251,0.309,0.392
CovidAnalytics-DELPHI,-0.302,-0.253,-0.110,0.098,0.228,0.129,0.029,-0.168,-0.273,-0.375,-0.504,-0.582,-0.653,-0.669,-0.696,-0.766,-0.693,-0.643,-0.508,-0.304,0.415,0.346,0.284,0.206,-0.013,0.022,-0.137,0.522,0.993,1.225,0.636,0.091
IBF-TimeSeries,,,,,,,,,,-0.128,-0.310,-0.168,-0.259,,-0.463,-0.453,-0.406,-0.446,-0.315,-0.136,-0.098,-0.198,0.004,0.073,-0.009,-0.148,0.132,0.547,0.606,0.517,0.678,0.637
JCB-PRM,,,,,,,,,,-0.064,-0.224,-0.229,-0.211,-0.204,-0.278,-0.457,-0.417,-0.442,-0.417,-0.068,0.166,0.193,0.172,0.296,0.384,0.301,,,,,,
BPagano-RtDriven,,,,,,,,,,,,,,,,-0.320,-0.352,-0.430,-0.181,0.089,0.229,-0.037,0.135,0.180,0.125,0.113,0.057,0.356,0.609,0.515,0.480,0.121
UCF-AEM,,,,,,,,,,,,,,,,,,,,-0.297,-0.050,-0.185,0.009,0.067,0.014,-0.074,0.105,0.553,0.482,0.390,0.412,0.308
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,-0.019,0.012,0.090,-0.104,0.012,0.441,0.678,0.744,0.486,0.115
IEM_MED-CovidProject,,,,,,,,,,,,,,,,,,,,,,,0.157,0.215,0.075,-0.052,-0.052,0.816,0.655,0.109,0.156,0.033
UVA-Ensemble,,,,,,,,,,,,,,,,,,,,0.089,0.008,0.049,0.107,0.328,0.388,-0.110,0.340,0.676,1.054,1.030,0.396,
MSRA-DeepST,,,,,,,,,,,,,,,,-0.566,,-0.483,-0.414,0.063,0.168,-0.120,-0.038,,,,,,,,,
UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.309,0.157,0.098,0.237,0.113
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,-0.442,,-0.302,0.151,0.305,0.015,-0.118,,,-0.167,,,,,0.752,0.463
OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,0.682,0.219,0.469,0.307,0.200,0.004,0.086,0.515,0.741,0.719,0.696,0.294
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128,0.485,0.330,0.390,0.390
MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.193,0.522,0.305,0.185
IHME-CurveFit,,,0.897,1.031,1.241,1.667,,,,,,,,,,,,,,,,,,,,,,,,,,
USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,-0.394,-0.251,,,,,,,,,,,,,
SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.588,0.670,0.737,0.458,0.395
FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.447,0.522,0.445
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,
COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.631,0.309
