,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Michigan,6153,6153.4,6213.0,6161.0,6188.2,6179.0,6179.4,6202.2,6124.0,6198.0,,6079.3,,,6317.0,6245.3,6292.0,6158.5,6290.5,6117.6,6168.2,6158.0,6137.0,6216.4,6146.0,5886.8,6140.5,6151.6,,0.4,60.0,8.0,35.2,26.0,26.4,49.2,-29.0,45.0,,-73.7,,,164.0,92.3,139.0,5.5,137.5,-35.4,15.2,5.0,-16.0,63.4,-7.0,-266.2,-12.5,-1.4,,False,False,False,False,False,False,False,False,,False,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Minnesota,1452,1483.1,1539.0,1494.0,1494.3,1491.0,1553.7,1497.3,1480.0,1482.3,,1482.7,,,1432.0,1530.9,1515.0,1533.3,1585.5,1451.3,1481.4,1493.0,1464.0,1500.6,1477.0,1317.6,1504.0,1490.6,,31.1,87.0,42.0,42.3,39.0,101.7,45.3,28.0,30.3,,30.7,,,-20.0,78.9,63.0,81.3,133.5,-0.7,29.4,41.0,12.0,48.6,25.0,-134.4,52.0,38.6,,False,False,False,False,False,False,True,True,,True,,,True,False,False,False,False,True,True,False,True,False,True,False,False,False,
Mississippi,1035,978.3,997.0,987.0,989.1,989.0,1072.8,1059.8,1013.0,992.0,,984.4,,,963.0,998.9,969.9,1005.2,,984.7,969.5,996.0,993.0,982.1,961.0,919.8,982.0,985.7,,-56.7,-38.0,-48.0,-45.9,-46.0,37.8,24.8,-22.0,-43.0,,-50.6,,,-72.0,-36.1,-65.1,-29.8,,-50.3,-65.5,-39.0,-42.0,-52.9,-74.0,-115.2,-53.0,-49.3,,True,True,True,True,True,True,True,True,,True,,,False,True,False,True,,True,False,True,True,True,False,False,True,True,
Missouri,1014,1033.6,1015.0,1045.0,1029.4,1012.0,1012.2,1127.6,1017.0,1055.5,,1041.6,,,1059.0,1035.9,1058.1,993.1,,987.7,1045.2,980.0,1015.0,1043.8,1035.0,1006.1,1009.0,999.6,,29.6,11.0,41.0,25.4,8.0,8.2,123.6,13.0,51.5,,37.6,,,55.0,31.9,54.1,-10.9,,-16.3,41.2,-24.0,11.0,39.8,31.0,2.1,5.0,-4.4,,True,False,True,True,True,False,True,False,,False,,,False,False,False,True,,True,False,True,True,False,False,True,True,True,
Montana,22,20.9,21.0,22.0,21.1,20.0,18.8,22.9,20.0,21.7,,19.7,,,20.0,28.2,24.0,20.3,,19.7,22.9,20.0,20.0,20.6,22.0,19.9,21.0,20.8,,-1.1,-1.0,0.0,-0.9,-2.0,-3.2,0.9,-2.0,-0.3,,-2.3,,,-2.0,6.2,2.0,-1.7,,-2.3,0.9,-2.0,-2.0,-1.4,0.0,-2.1,-1.0,-1.2,,True,True,True,False,False,True,False,True,,False,,,False,False,False,False,,False,True,False,False,False,True,False,True,False,
Nebraska,267,268.9,279.0,273.0,266.3,277.0,252.4,276.7,251.0,,,272.5,,,262.0,290.6,259.9,270.3,,255.5,270.8,279.0,262.0,261.2,258.0,230.6,264.0,266.5,,1.9,12.0,6.0,-0.7,10.0,-14.6,9.7,-16.0,,,5.5,,,-5.0,23.6,-7.1,3.3,,-11.5,3.8,12.0,-5.0,-5.8,-9.0,-36.4,-3.0,-0.5,,False,False,True,False,False,False,False,,,False,,,False,False,False,False,,False,False,False,False,False,False,False,False,True,
Nevada,500,507.6,515.0,510.0,518.1,543.0,517.6,,526.0,517.7,,542.0,,,535.0,532.4,531.9,501.9,,503.6,522.9,496.0,510.0,508.9,514.0,458.0,519.0,506.9,,7.6,15.0,10.0,18.1,43.0,17.6,,26.0,17.7,,42.0,,,35.0,32.4,31.9,1.9,,3.6,22.9,-4.0,10.0,8.9,14.0,-42.0,19.0,6.9,,False,False,False,False,False,,False,False,,False,,,False,False,False,True,,True,False,True,False,False,False,False,False,True,
New Hampshire,367,355.3,370.0,360.0,360.9,353.0,360.4,351.4,363.0,358.3,,381.7,,,334.0,366.1,358.4,372.7,,351.4,354.2,361.0,356.0,361.7,353.0,356.2,374.0,356.0,,-11.7,3.0,-7.0,-6.1,-14.0,-6.6,-15.6,-4.0,-8.7,,14.7,,,-33.0,-0.9,-8.6,5.7,,-15.6,-12.8,-6.0,-11.0,-5.3,-14.0,-10.8,7.0,-11.0,,True,True,True,False,True,False,True,True,,False,,,False,True,True,True,,False,False,True,True,True,False,True,True,True,
New Jersey,14948,13179.0,13349.0,13227.0,13164.7,13078.0,13008.6,13048.5,13051.0,,,12975.8,,,13355.0,13137.8,13163.8,13139.8,,12909.9,13129.6,13160.0,13054.0,13186.4,13127.0,12827.7,13197.0,13119.1,13300.0,94.0,264.0,142.0,79.7,-7.0,-76.4,-36.5,-34.0,,,-109.2,,,270.0,52.8,78.8,54.8,,-175.1,44.6,75.0,-31.0,101.4,42.0,-257.3,112.0,34.1,215.0,False,False,True,True,True,True,True,,,False,,,False,True,True,True,,False,True,True,True,False,True,False,False,True,False
New Mexico,491,498.1,495.0,501.0,497.0,480.0,508.0,509.4,497.0,503.4,,517.2,,,487.0,508.9,497.1,501.3,,493.1,495.8,485.5,505.0,493.0,494.0,459.3,501.0,496.0,,7.1,4.0,10.0,6.0,-11.0,17.0,18.4,6.0,12.4,,26.2,,,-4.0,17.9,6.1,10.3,,2.1,4.8,-5.5,14.0,2.0,3.0,-31.7,10.0,5.0,,True,False,True,False,False,False,True,False,,False,,,True,False,True,False,,True,True,True,False,True,True,False,False,True,
New York,31938,31382.1,31837.0,31371.0,31363.4,31326.0,31127.5,31148.7,31175.0,,,31201.7,,,31418.0,31260.3,31354.1,31201.8,,24789.2,31357.6,31227.0,31232.0,31351.2,31340.0,32462.5,31473.0,31310.9,31638.0,58.1,513.0,47.0,39.4,2.0,-196.5,-175.3,-149.0,,,-122.3,,,94.0,-63.7,30.1,-122.2,,-6534.8,33.6,-97.0,-92.0,27.2,16.0,1138.5,149.0,-13.1,314.0,False,True,True,True,False,False,False,,,False,,,False,False,True,False,,False,True,False,False,True,True,False,False,True,False
North Carolina,1353,1286.1,1351.0,1303.0,1340.8,1597.0,1402.0,,1455.0,1314.4,1513.3,1294.4,,,1294.0,1405.3,1318.4,1300.1,,1305.4,1285.3,1285.0,1310.0,1314.9,1281.0,1013.5,1300.0,1285.3,,-58.9,6.0,-42.0,-4.2,252.0,57.0,,110.0,-30.6,168.3,-50.6,,,-51.0,60.3,-26.6,-44.9,,-39.6,-59.7,-60.0,-35.0,-30.1,-64.0,-331.5,-45.0,-59.7,,True,True,True,False,True,,False,True,False,True,,,True,False,True,True,,True,False,False,True,True,False,False,True,False,
North Dakota,78,79.6,83.0,78.0,82.2,78.0,75.4,93.9,80.0,80.4,,79.5,,,83.0,90.2,79.9,80.6,,88.4,80.2,86.0,81.0,80.8,80.0,76.2,84.0,81.1,,1.6,5.0,0.0,4.2,0.0,-2.6,15.9,2.0,2.4,,1.5,,,5.0,12.2,1.9,2.6,,10.4,2.2,8.0,3.0,2.8,2.0,-1.8,6.0,3.1,,False,True,False,True,False,False,False,False,,True,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,
Ohio,2804,2820.9,2861.0,2838.0,2837.5,2829.0,2827.7,2818.7,2818.0,2863.5,,2766.9,,,2889.0,2951.4,2890.6,2859.5,2824.0,2782.4,2863.1,2832.0,2811.0,2821.7,2826.0,2828.9,2839.0,2820.3,2887.0,16.9,57.0,34.0,33.5,25.0,23.7,14.7,14.0,59.5,,-37.1,,,85.0,147.4,86.6,55.5,20.0,-21.6,59.1,28.0,7.0,17.7,22.0,24.9,35.0,16.3,83.0,False,False,False,False,False,True,True,False,,False,,,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
Oklahoma,384,377.6,390.0,377.0,384.9,410.0,386.9,,399.0,390.6,,388.9,,,376.0,421.3,400.3,372.9,,372.9,382.3,373.0,379.0,379.2,386.0,310.4,382.0,380.2,,-6.4,6.0,-7.0,0.9,26.0,2.9,,15.0,6.6,,4.9,,,-8.0,37.3,16.3,-11.1,,-11.1,-1.7,-11.0,-5.0,-4.8,2.0,-73.6,-2.0,-3.8,,True,False,True,False,True,,False,False,,True,,,False,False,False,False,,False,True,False,True,True,True,False,True,True,
Oregon,202,198.3,203.0,203.0,200.0,202.0,180.3,,202.0,207.8,,214.9,,,202.0,218.7,200.8,194.5,,194.6,205.0,188.0,196.0,195.8,199.0,183.2,198.0,196.4,,-1.7,3.0,3.0,-0.0,2.0,-19.7,,2.0,7.8,,14.9,,,2.0,18.7,0.8,-5.5,,-5.4,5.0,-12.0,-4.0,-4.2,-1.0,-16.8,-2.0,-3.6,,False,False,True,False,False,,False,False,,False,,,False,False,True,False,,False,False,False,False,False,True,False,False,False,
Pennsylvania,6603,6601.3,6695.0,6627.0,6625.0,6597.0,6799.5,6627.2,6597.0,,,6425.7,,,6572.0,6659.3,6653.5,6660.3,,6766.8,6582.8,6621.0,6549.0,6603.2,6565.0,6517.0,6612.0,6583.5,6694.0,-1.7,92.0,24.0,22.0,-6.0,196.5,24.2,-6.0,,,-177.3,,,-31.0,56.3,50.5,57.3,,163.8,-20.2,18.0,-54.0,0.2,-38.0,-86.0,9.0,-19.5,91.0,False,False,False,False,False,False,False,,,False,,,False,False,False,False,,False,False,False,False,True,False,False,False,False,False
Rhode Island,927,946.3,927.0,955.0,932.3,914.0,926.8,920.3,924.0,972.2,,940.8,,,941.0,902.7,922.2,952.1,,927.4,940.8,942.0,910.0,930.9,919.0,731.0,940.0,931.1,,19.3,0.0,28.0,5.3,-13.0,-0.2,-6.7,-3.0,45.2,,13.8,,,14.0,-24.3,-4.8,25.1,,0.4,13.8,15.0,-17.0,3.9,-8.0,-196.0,13.0,4.1,,True,False,True,True,True,True,True,False,,True,,,True,False,True,False,,True,True,True,True,True,True,False,True,True,
South Carolina,711,698.4,721.0,689.0,710.2,825.0,771.9,,706.0,707.0,,695.1,,,686.0,729.0,720.2,682.3,,692.9,705.1,676.0,721.0,706.7,724.0,440.2,702.0,702.7,,-12.6,10.0,-22.0,-0.8,114.0,60.9,,-5.0,-4.0,,-15.9,,,-25.0,18.0,9.2,-28.7,,-18.1,-5.9,-35.0,10.0,-4.3,13.0,-270.8,-9.0,-8.3,,True,False,True,False,False,,True,True,,False,,,False,False,True,False,,False,True,False,True,True,False,False,True,True,
South Dakota,91,86.1,93.0,87.0,88.6,88.0,82.1,99.1,87.0,87.3,,92.1,,,83.0,97.6,86.6,86.3,,82.5,86.8,91.0,85.0,84.4,86.0,85.7,91.0,86.8,,-4.9,2.0,-4.0,-2.4,-3.0,-8.9,8.1,-4.0,-3.7,,1.1,,,-8.0,6.6,-4.4,-4.7,,-8.5,-4.2,0.0,-6.0,-6.6,-5.0,-5.3,0.0,-4.2,,True,True,True,True,False,False,True,True,,True,,,False,False,True,True,,False,True,True,False,False,False,False,True,True,
