,actual_deaths,Baseline,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,NotreDame-FRED,PSI-DRAFT,SWC-TerminusCM,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-NotreDame-FRED,error-PSI-DRAFT,error-SWC-TerminusCM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Maryland,3157,3661.3,3045.8,3818.0,3343.0,3179.2,,3239.0,4694.0,3469.1,3090.0,3510.4,3507.5,504.3,-111.2,661.0,186.0,22.2,,82.0,1537.0,312.1,-67.0,353.4,350.5,True,False,True,True,,True,False,True,True,True,True
Massachusetts,8041,9164.9,7370.4,7814.0,8227.0,8142.6,,7995.0,8110.0,8409.0,7564.0,6959.3,8243.8,1123.9,-670.6,-227.0,186.0,101.6,,-46.0,69.0,368.0,-477.0,-1081.7,202.8,True,True,True,True,,True,True,True,True,True,True
Michigan,6153,6864.9,5739.7,5763.0,5980.0,6336.3,11231.5,5504.0,5864.0,6138.6,5842.0,5754.4,6144.0,949.9,-175.3,-152.0,65.0,421.3,5316.5,-411.0,-51.0,223.6,-73.0,-160.6,229.0,True,True,True,True,False,True,True,True,True,True,True
Minnesota,1452,1592.0,1502.6,3018.0,2109.0,1608.3,2151.5,1538.0,2196.0,1554.8,1348.0,1291.6,1656.4,140.0,50.6,1566.0,657.0,156.3,699.5,86.0,744.0,102.8,-104.0,-160.4,204.4,True,False,False,False,False,True,False,True,True,False,False
Mississippi,1035,1130.1,998.1,963.0,799.0,1082.0,,1186.0,1286.0,900.0,1031.0,873.5,1382.2,95.1,-36.9,-72.0,-236.0,47.0,,151.0,251.0,-135.0,-4.0,-161.5,347.2,True,True,False,True,,False,False,False,True,False,False
Missouri,1014,1103.7,771.7,999.0,1004.0,986.7,,1365.5,1196.0,1143.4,878.0,841.7,1314.5,171.7,-160.3,67.0,72.0,54.7,,433.5,264.0,211.4,-54.0,-90.3,382.5,True,True,True,True,,False,False,False,True,True,False
Montana,22,16.0,16.9,16.0,16.0,17.7,,20.0,133.0,19.6,17.0,17.5,18.8,-6.0,-5.1,-6.0,-6.0,-4.3,,-2.0,111.0,-2.4,-5.0,-4.5,-3.2,True,False,False,True,,True,False,True,True,True,True
Nebraska,267,263.6,268.8,292.0,352.0,212.5,,275.0,,294.3,212.0,165.7,326.4,-3.4,1.8,25.0,85.0,-54.5,,8.0,,27.3,-55.0,-101.3,59.4,True,False,False,False,,False,,False,False,False,False
Nevada,500,525.7,428.0,474.0,572.0,625.4,,560.0,,504.8,480.0,503.7,542.9,25.7,-72.0,-26.0,72.0,125.4,,60.0,,4.8,-20.0,3.7,42.9,False,False,False,False,,False,,True,True,True,False
New Hampshire,367,388.7,213.6,451.0,300.0,368.2,,416.0,454.0,355.6,317.0,317.4,449.0,21.7,-153.4,84.0,-67.0,1.2,,49.0,87.0,-11.4,-50.0,-49.6,82.0,False,False,False,True,,False,False,True,False,False,False
New Jersey,14948,14902.3,12245.7,12685.0,13068.0,13294.3,,13608.0,15400.0,13393.6,12656.0,11619.3,13671.0,1743.3,-913.3,-474.0,-91.0,135.3,,449.0,2241.0,234.6,-503.0,-1539.7,512.0,True,True,True,True,,True,False,True,True,True,True
New Mexico,491,569.6,352.2,546.0,414.0,567.7,,586.0,,514.6,492.0,476.1,612.7,78.6,-138.8,55.0,-77.0,76.7,,95.0,,23.6,1.0,-14.9,121.7,False,True,True,True,,False,,True,True,True,False
New York,32051,33556.1,31544.4,30163.0,32170.0,32225.7,,28441.0,29623.0,31633.5,30832.0,29309.2,31700.0,2489.1,477.4,-904.0,1103.0,1158.7,,-2626.0,-1444.0,566.5,-235.0,-1757.8,633.0,True,True,True,True,,False,True,True,True,True,True
North Carolina,1353,1260.0,1051.0,1745.0,1121.0,1280.9,,1170.5,1015.0,1376.6,1212.0,1516.3,1250.4,-93.0,-302.0,392.0,-232.0,-72.1,,-182.5,-338.0,23.6,-141.0,163.3,-102.6,False,False,False,True,,False,False,True,False,False,False
North Dakota,78,101.6,77.3,95.0,295.0,113.4,,91.0,2559.0,84.9,100.0,101.0,116.0,23.6,-0.7,17.0,217.0,35.4,,13.0,2481.0,6.9,22.0,23.0,38.0,True,True,False,False,,True,False,True,True,True,False
Ohio,2804,3639.9,2628.4,2759.0,2524.0,3092.4,924.0,3690.0,,2812.2,3044.0,3057.6,3764.9,835.9,-175.6,-45.0,-280.0,288.4,-1880.0,886.0,,8.2,240.0,253.6,960.9,True,True,True,True,False,False,,True,True,True,False
Oklahoma,384,422.7,351.3,407.0,401.0,411.8,,360.0,,374.1,386.0,443.4,406.3,38.7,-32.7,23.0,17.0,27.8,,-24.0,,-9.9,2.0,59.4,22.3,True,True,True,True,,True,,True,True,False,True
Oregon,202,201.4,171.1,195.0,158.0,173.0,,184.0,219.0,197.1,170.0,209.9,183.0,-0.6,-30.9,-7.0,-44.0,-29.0,,-18.0,17.0,-4.9,-32.0,7.9,-19.0,False,False,False,False,,False,False,False,False,False,False
Pennsylvania,6603,8249.4,5887.0,7260.0,5784.0,7096.8,,8816.5,9422.0,7131.2,6592.0,5553.8,7467.7,1646.4,-716.0,657.0,-819.0,493.8,,2213.5,2819.0,528.2,-11.0,-1049.2,864.7,True,True,True,True,,False,False,True,True,True,True
Rhode Island,927,1137.4,669.2,750.0,810.0,916.6,,861.0,921.0,861.0,968.0,617.2,1034.6,221.4,-246.8,-166.0,-106.0,0.6,,-55.0,5.0,-55.0,52.0,-298.8,118.6,False,True,True,True,,True,True,True,True,False,True
South Carolina,711,677.9,498.7,676.0,546.0,694.8,,650.0,693.0,668.7,653.0,620.2,758.4,-33.1,-212.3,-35.0,-165.0,-16.2,,-61.0,-18.0,-42.3,-58.0,-90.8,47.4,False,False,False,True,,False,True,False,False,False,False
South Dakota,91,79.1,84.6,96.0,112.0,92.3,,66.0,146.0,71.5,72.0,62.3,118.9,-11.9,-6.4,5.0,21.0,1.3,,-25.0,55.0,-19.5,-19.0,-28.7,27.9,True,True,False,True,,False,False,False,False,False,False
Tennessee,584,520.6,485.0,480.0,533.0,468.5,,466.0,,419.2,487.0,475.2,503.8,-63.4,-99.0,-104.0,-51.0,-115.5,,-118.0,,-164.8,-97.0,-108.8,-80.2,False,False,True,False,,False,,False,False,False,False
Texas,2725,2426.6,2110.5,2088.0,2738.0,2114.4,,2930.5,3059.0,2390.8,2180.0,2468.5,2988.5,-143.4,-459.5,-482.0,168.0,-455.6,,360.5,489.0,-179.2,-390.0,-101.5,418.5,False,False,False,False,,False,False,False,False,True,False
Utah,167,179.6,166.2,148.0,117.0,157.3,,195.0,275.0,168.3,153.0,153.8,209.6,12.6,-0.8,-19.0,-50.0,-9.7,,28.0,108.0,1.3,-14.0,-13.2,42.6,True,False,False,True,,False,False,True,False,False,False
Vermont,56,54.0,56.1,56.0,55.0,57.7,,60.0,,66.1,55.0,56.3,62.1,-2.0,0.1,0.0,-1.0,1.7,,4.0,,10.1,-1.0,0.3,6.1,True,True,True,True,,False,,False,True,True,False
Virginia,1724,1953.0,1550.5,2035.0,1643.0,1582.1,,1694.0,2274.0,1769.8,1708.0,1979.6,1830.4,229.0,-173.5,311.0,-81.0,-141.9,,-30.0,550.0,45.8,-16.0,255.6,106.4,True,False,True,True,,True,False,True,True,False,True
Washington,1288,1352.4,1167.0,1151.0,1231.0,1308.6,,1224.0,1244.0,1214.8,1230.0,1210.5,1257.2,87.4,-98.0,-114.0,-34.0,43.6,,-41.0,-21.0,-50.2,-35.0,-54.5,-7.8,False,False,True,True,,True,True,True,True,True,True
West Virginia,93,96.3,81.9,93.0,75.0,167.3,,94.0,134.0,110.2,105.0,106.0,98.2,3.3,-11.1,0.0,-18.0,74.3,,1.0,41.0,17.2,12.0,13.0,5.2,False,True,False,False,,True,False,False,False,False,False
Wisconsin,807,786.9,657.9,949.0,819.0,792.0,668.5,731.0,737.0,736.3,776.0,915.4,717.4,33.9,-95.1,196.0,66.0,39.0,-84.5,-22.0,-16.0,-16.7,23.0,162.4,-35.6,False,False,False,False,False,True,True,True,True,False,False
Wyoming,20,31.4,16.5,15.0,12.0,17.3,,8.0,0.0,13.8,19.0,31.1,21.6,11.4,-3.5,-5.0,-8.0,-2.7,,-12.0,-20.0,-6.2,-1.0,11.1,1.6,True,True,True,True,,False,False,True,True,True,True
US,126578,137344.6,113964.4,123637.0,122618.0,124934.0,,126967.5,,122310.6,119928.0,115221.2,133176.7,14101.6,-9278.6,394.0,-625.0,1691.0,,3724.5,,-932.4,-3315.0,-8021.8,9933.7,True,True,True,True,,True,,True,True,True,True
