,actual_deaths,Baseline,Baseline_0.98,Auquan-SEIR,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MIT_CovidAnalytics-DELPHI,MOBS_NEU-GLEAM_COVID,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MIT_CovidAnalytics-DELPHI,error-MOBS_NEU-GLEAM_COVID,error-NotreDame-FRED,error-OliverWyman-Navigator,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MIT_CovidAnalytics-DELPHI,beat_baseline-MOBS_NEU-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Maryland,3157,3291.9,3252.5,4143.0,3257.7,3210.0,3224.7,3369.2,3227.3,,3288.2,3476.0,3409.8,3205.6,3263.0,3243.1,,3173.7,3215.0,3200.0,3082.0,3180.3,3170.0,3209.2,3291.0,3240.8,3441.0,134.9,986.0,100.7,53.0,67.7,212.2,70.3,,131.2,319.0,252.8,48.6,106.0,86.1,,16.7,58.0,43.0,-75.0,23.3,13.0,52.2,134.0,83.8,284.0,False,True,True,True,False,True,,True,False,False,True,True,True,,True,True,True,True,True,True,True,True,True,False
Massachusetts,8041,8196.0,8132.2,9678.0,8037.2,7922.0,7961.0,8064.0,,,7862.4,8420.0,8094.8,7997.7,7905.0,8165.0,,7954.3,8122.0,8083.0,7828.0,7984.3,7982.0,8021.9,8057.0,8055.7,8186.0,155.0,1637.0,-3.8,-119.0,-80.0,23.0,,,-178.6,379.0,53.8,-43.3,-136.0,124.0,,-86.7,81.0,42.0,-213.0,-56.7,-59.0,-19.1,16.0,14.7,145.0,False,True,True,True,True,,,False,False,True,True,True,True,,True,True,True,False,True,True,True,True,True,True
Michigan,6153,6181.3,6162.8,6976.0,6281.8,6369.0,6218.3,6446.3,6315.2,,6424.6,6518.0,6325.6,6205.1,6349.0,6184.9,6277.0,6134.3,6459.0,6144.0,6158.0,6317.4,6129.0,5812.9,6232.0,6200.7,,28.3,823.0,128.8,216.0,65.3,293.3,162.2,,271.6,365.0,172.6,52.1,196.0,31.9,124.0,-18.7,306.0,-9.0,5.0,164.4,-24.0,-340.1,79.0,47.7,,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,
Minnesota,1452,1574.1,1546.8,1944.0,1557.1,1611.0,1628.0,1508.7,1540.6,,1511.5,1399.0,1594.5,1548.7,1561.0,1616.4,1572.5,1516.7,1536.0,1744.0,1363.0,1533.1,1504.0,1300.5,1606.0,1571.3,1672.0,122.1,492.0,105.1,159.0,176.0,56.7,88.6,,59.5,-53.0,142.5,96.7,109.0,164.4,120.5,64.7,84.0,292.0,-89.0,81.1,52.0,-151.5,154.0,119.3,220.0,False,True,False,False,True,True,,True,True,False,True,True,False,True,True,True,False,True,True,True,False,False,True,False
Mississippi,1035,1028.4,1013.1,1452.0,1037.8,1087.0,1139.8,1134.4,1020.5,,1016.4,921.0,1026.1,1045.3,1047.0,1064.6,,1047.0,1047.0,1075.0,933.0,998.6,995.0,993.4,1054.0,1046.0,,-6.6,417.0,2.8,52.0,104.8,99.4,-14.5,,-18.6,-114.0,-8.9,10.3,12.0,29.6,,12.0,12.0,40.0,-102.0,-36.4,-40.0,-41.6,19.0,11.0,,False,True,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,
Missouri,1014,961.4,953.3,1160.0,997.3,981.0,1024.3,1179.7,971.2,,1013.9,1032.0,977.5,1020.0,1019.0,930.5,,955.6,927.5,1018.0,908.0,1059.7,931.0,970.0,992.0,1028.2,,-52.6,146.0,-16.7,-33.0,10.3,165.7,-42.8,,-0.1,18.0,-36.5,6.0,5.0,-83.5,,-58.4,-86.5,4.0,-106.0,45.7,-83.0,-44.0,-22.0,14.2,,False,True,True,True,False,True,,True,True,True,True,True,False,,False,False,True,False,True,False,True,True,True,
Montana,22,20.9,20.6,27.0,21.0,18.0,18.5,30.7,20.3,,17.9,18.0,23.3,22.9,19.0,18.5,,21.7,19.0,21.0,22.0,20.1,22.0,18.2,20.0,20.3,,-1.1,5.0,-1.0,-4.0,-3.5,8.7,-1.7,,-4.1,-4.0,1.3,0.9,-3.0,-3.5,,-0.3,-3.0,-1.0,0.0,-1.9,0.0,-3.8,-2.0,-1.7,,False,True,False,False,False,False,,False,False,False,True,False,False,,True,False,True,True,False,True,False,False,False,
Nebraska,267,267.0,261.2,446.0,260.3,291.0,252.0,275.0,,,260.4,253.0,310.8,239.0,230.0,263.0,,263.6,288.0,258.0,237.0,256.4,242.0,217.1,263.0,266.6,,0.0,179.0,-6.7,24.0,-15.0,8.0,,,-6.6,-14.0,43.8,-28.0,-37.0,-4.0,,-3.4,21.0,-9.0,-30.0,-10.6,-25.0,-49.9,-4.0,-0.4,,False,False,False,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,
Nevada,500,509.4,504.2,690.0,530.6,498.0,530.5,668.6,535.8,,538.7,556.0,556.5,546.1,572.0,494.2,,538.2,493.0,511.0,512.0,508.7,517.0,505.1,495.0,510.9,,9.4,190.0,30.6,-2.0,30.5,168.6,35.8,,38.7,56.0,56.5,46.1,72.0,-5.8,,38.2,-7.0,11.0,12.0,8.7,17.0,5.1,-5.0,10.9,,False,False,True,False,False,False,,False,False,False,False,False,True,,False,True,False,False,True,False,True,True,False,
New Hampshire,367,383.1,376.1,431.0,379.3,353.0,361.5,371.7,369.2,,393.4,322.0,374.7,358.0,387.0,404.8,,379.4,367.0,404.0,371.0,372.0,362.0,362.8,425.0,386.2,,16.1,64.0,12.3,-14.0,-5.5,4.7,2.2,,26.4,-45.0,7.7,-9.0,20.0,37.8,,12.4,0.0,37.0,4.0,5.0,-5.0,-4.2,58.0,19.2,,False,True,True,True,True,True,,False,False,True,True,False,False,,True,True,False,True,True,True,True,False,False,
