,actual_deaths,Baseline,Baseline_0.98,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,PSI-DRAFT,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Baseline_0.98,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-PSI-DRAFT,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-PSI-DRAFT,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Iowa,704,854.7,697.0,904.5,547.0,621.7,1690.5,812.4,419.3,1384.9,150.7,-7.0,200.5,-157.0,-82.3,986.5,108.4,-284.7,680.9,False,False,True,False,True,False,False
Kansas,268,318.0,279.5,306.5,273.0,230.2,272.0,283.2,408.4,297.2,50.0,11.5,38.5,5.0,-37.8,4.0,15.2,140.4,29.2,True,True,True,True,True,False,True
Kentucky,554,509.7,454.7,487.3,443.0,462.6,516.0,435.4,683.6,496.4,-44.3,-99.3,-66.7,-111.0,-91.4,-38.0,-118.6,129.6,-57.6,False,False,False,True,False,False,False
Louisiana,3190,3691.7,3315.7,3103.0,3009.0,3582.1,3224.0,3042.1,2713.9,3325.0,501.7,125.7,-87.0,-181.0,392.1,34.0,-147.9,-476.1,135.0,True,True,True,True,True,True,True
Maine,104,105.1,94.1,79.5,434.0,117.8,76.0,111.4,122.2,100.5,1.1,-9.9,-24.5,330.0,13.8,-28.0,7.4,18.2,-3.5,False,False,False,False,False,False,False
Maryland,3157,4030.3,3392.0,3693.6,3032.0,2993.7,3678.0,3376.1,2893.1,3767.9,873.3,235.0,536.6,-125.0,-163.3,521.0,219.1,-263.9,610.9,True,True,True,True,True,True,True
Massachusetts,8041,10588.1,9087.8,8692.4,8176.5,8034.0,9168.0,9176.4,6495.4,8851.4,2547.1,1046.8,651.4,135.5,-7.0,1127.0,1135.4,-1545.6,810.4,True,True,True,True,True,True,True
Michigan,6153,6859.0,6242.7,5978.8,5803.0,6477.0,5347.5,6055.1,4928.2,6177.1,939.0,322.7,58.8,-117.0,557.0,-572.5,135.1,-991.8,257.1,True,True,True,True,True,False,True
Minnesota,1452,1627.1,1346.5,1629.7,1615.0,1316.1,1818.0,1629.6,2278.3,1787.4,175.1,-105.5,177.7,163.0,-135.9,366.0,177.6,826.3,335.4,False,True,True,False,False,False,False
Mississippi,1035,1054.0,887.1,916.5,746.0,876.7,1562.0,900.4,827.0,1483.3,19.0,-147.9,-118.5,-289.0,-158.3,527.0,-134.6,-208.0,448.3,False,False,False,False,False,False,False
Missouri,1014,1168.1,990.2,1287.4,938.0,883.0,1352.0,921.5,811.1,1453.9,252.1,74.2,371.4,22.0,-33.0,436.0,5.5,-104.9,537.9,False,True,True,False,True,True,False
Montana,22,16.0,16.0,12.0,16.0,17.3,16.0,20.6,17.8,20.9,-6.0,-6.0,-10.0,-6.0,-4.7,-6.0,-1.4,-4.2,-1.1,False,False,True,False,True,True,True
Nebraska,267,316.3,255.8,225.5,322.5,168.8,192.0,376.0,141.2,348.4,49.3,-11.2,-41.5,55.5,-98.2,-75.0,109.0,-125.8,81.4,True,False,False,False,False,False,False
Nevada,500,584.3,510.9,564.6,510.0,543.6,638.0,513.1,484.2,594.1,84.3,10.9,64.6,10.0,43.6,138.0,13.1,-15.8,94.1,True,True,True,False,True,True,False
New Hampshire,367,400.4,328.9,304.5,303.0,266.4,929.5,383.5,307.2,507.2,33.4,-38.1,-62.5,-64.0,-100.6,562.5,16.5,-59.8,140.2,False,False,False,False,True,False,False
New Jersey,14948,16846.9,14816.4,13838.6,13089.0,12642.3,14663.0,13144.2,10953.1,14488.3,1898.9,-131.6,-1109.4,-1859.0,-2305.7,-285.0,-1803.8,-3994.9,-459.7,True,True,False,True,True,False,True
New Mexico,491,645.7,526.5,494.4,329.0,462.9,794.0,713.7,486.7,704.7,154.7,35.5,3.4,-162.0,-28.1,303.0,222.7,-4.3,213.7,True,False,True,False,False,True,False
New York,31938,37550.7,34632.5,32002.3,32692.5,32525.7,27238.0,31779.8,29086.2,32307.6,6363.7,3445.5,815.3,1505.5,1338.7,-3949.0,592.8,-2100.8,1120.6,True,True,True,True,True,True,True
North Carolina,1353,1400.6,1176.8,1773.3,727.0,1272.0,1520.5,1257.6,1554.7,1353.7,47.6,-176.2,420.3,-626.0,-81.0,167.5,-95.4,201.7,0.7,False,False,False,False,False,False,True
North Dakota,78,89.9,75.2,120.6,83.0,100.7,75.0,73.9,99.1,122.6,11.9,-2.8,42.6,5.0,22.7,-3.0,-4.1,21.1,44.6,False,True,False,True,True,False,False
Ohio,2804,3288.4,2767.5,2816.4,2137.0,2404.4,4434.5,2651.2,2993.6,3669.3,484.4,-36.5,12.4,-667.0,-399.6,1630.5,-152.8,189.6,865.3,True,False,True,False,True,True,False
Oklahoma,384,381.7,352.4,363.9,291.0,430.0,442.0,414.1,448.9,417.1,-2.3,-31.6,-20.1,-93.0,46.0,58.0,30.1,64.9,33.1,False,False,False,False,False,False,False
Oregon,202,195.6,177.2,218.3,157.0,171.4,194.0,214.4,222.3,186.7,-6.4,-24.8,16.3,-45.0,-30.6,-8.0,12.4,20.3,-15.3,False,False,False,False,False,False,False
Pennsylvania,6603,8530.6,7266.8,8729.4,6333.0,6006.8,10138.0,6815.5,5294.2,8268.8,1927.6,663.8,2126.4,-270.0,-596.2,3535.0,212.5,-1308.8,1665.8,False,True,True,False,True,True,True
Rhode Island,927,950.0,808.8,756.0,1084.0,750.7,942.0,826.0,544.9,918.3,23.0,-118.2,-171.0,157.0,-176.3,15.0,-101.0,-382.1,-8.7,False,False,False,True,False,False,True
South Carolina,711,701.3,602.2,484.7,407.0,654.1,1019.5,609.3,593.3,904.7,-9.7,-108.8,-226.3,-304.0,-56.9,308.5,-101.7,-117.7,193.7,False,False,False,False,False,False,False
South Dakota,91,102.6,84.2,118.1,145.0,65.5,106.0,69.8,56.4,130.5,11.6,-6.8,27.1,54.0,-25.5,15.0,-21.2,-34.6,39.5,False,False,False,False,False,False,False
Tennessee,584,620.1,519.3,468.7,598.0,377.5,383.5,536.1,475.0,477.1,36.1,-64.7,-115.3,14.0,-206.5,-200.5,-47.9,-109.0,-106.9,False,True,False,False,False,False,False
Texas,2388,2801.4,2344.7,2961.1,1943.5,2176.3,2734.5,2482.4,2705.2,3787.2,413.4,-43.3,573.1,-444.5,-211.7,346.5,94.4,317.2,1399.2,False,False,True,True,True,True,False
Utah,167,156.1,132.3,139.4,88.0,133.6,212.0,125.2,148.1,190.8,-10.9,-34.7,-27.6,-79.0,-33.4,45.0,-41.8,-18.9,23.8,False,False,False,False,False,False,False
Vermont,56,59.9,58.0,49.0,53.0,57.9,62.0,72.4,63.5,67.9,3.9,2.0,-7.0,-3.0,1.9,6.0,16.4,7.5,11.9,False,True,True,False,False,False,False
Virginia,1724,2011.6,1697.9,1848.9,1434.0,1638.5,2272.0,1704.1,1949.2,2018.5,287.6,-26.1,124.9,-290.0,-85.5,548.0,-19.9,225.2,294.5,True,False,True,False,True,True,False
Washington,1310,1411.0,1282.6,1241.2,1246.0,1226.0,1360.0,1239.6,1202.7,1269.8,101.0,-27.4,-68.8,-64.0,-84.0,50.0,-70.4,-107.3,-40.2,True,True,True,True,True,False,True
West Virginia,93,143.1,119.3,104.2,63.0,99.4,80.0,103.7,100.3,114.5,50.1,26.3,11.2,-30.0,6.4,-13.0,10.7,7.3,21.5,True,True,True,True,True,True,True
Wisconsin,777,763.4,666.2,698.2,832.0,721.7,655.0,686.6,968.3,704.7,-13.6,-110.8,-78.8,55.0,-55.3,-122.0,-90.4,191.3,-72.3,False,False,False,False,False,False,False
Wyoming,20,13.9,12.0,4.0,7.0,13.8,9.0,12.4,9.3,13.8,-6.1,-8.0,-16.0,-13.0,-6.2,-11.0,-7.6,-10.7,-6.2,False,False,False,False,False,False,False
US,126120,148344.3,129936.4,132106.4,117284.5,118406.8,140288.5,127039.2,112194.5,141054.4,23306.3,4898.4,7068.4,-7753.5,-6631.2,15250.5,2001.2,-12843.5,16016.4,True,True,True,True,True,True,True
