,actual_deaths,Baseline,Baseline_0.98,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Baseline_0.98,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
North Dakota,78,87.9,63.3,37.7,149.0,50.6,69.9,9.9,-14.7,-40.3,71.0,-27.4,-8.1,False,False,False,True
Ohio,2804,3482.6,2529.2,2483.6,1626.0,1824.1,2691.3,678.6,-274.8,-320.4,-1178.0,-979.9,-112.7,True,False,False,True
Oklahoma,384,575.9,444.0,478.3,445.0,417.2,563.2,191.9,60.0,94.3,61.0,33.2,179.2,True,True,True,True
Oregon,202,242.6,190.5,191.8,153.0,179.9,208.2,40.6,-11.5,-10.2,-49.0,-22.1,6.2,True,False,True,True
Pennsylvania,6603,9822.9,7051.6,8094.2,4568.0,4562.5,6859.3,3219.9,448.6,1491.2,-2035.0,-2040.5,256.3,True,True,True,True
Rhode Island,927,1058.6,770.4,485.3,780.0,741.2,745.6,131.6,-156.6,-441.7,-147.0,-185.8,-181.4,False,False,False,False
South Carolina,711,1068.6,758.9,1034.3,289.0,407.2,877.2,357.6,47.9,323.3,-422.0,-303.8,166.2,True,False,True,True
South Dakota,91,99.6,68.9,172.0,682.0,37.3,62.2,8.6,-22.1,81.0,591.0,-53.7,-28.8,False,False,False,False
Tennessee,584,437.9,349.0,523.2,913.0,500.4,375.1,-146.1,-235.0,-60.8,329.0,-83.6,-208.9,True,False,True,False
Texas,2388,2661.6,1965.7,2985.8,3698.0,1631.8,2589.7,273.6,-422.3,597.8,1310.0,-756.2,201.7,False,False,False,True
Utah,167,120.7,93.1,85.7,178.0,95.7,140.1,-46.3,-73.9,-81.3,11.0,-71.3,-26.9,False,True,False,True
Vermont,56,108.0,86.5,53.6,59.0,71.7,95.3,52.0,30.5,-2.4,3.0,15.7,39.3,True,True,True,True
Virginia,1724,2317.9,1671.0,1189.2,1194.0,1394.6,1720.6,593.9,-53.0,-534.8,-530.0,-329.4,-3.4,True,True,True,True
Washington,1310,1501.9,1241.3,1158.4,1287.0,1284.1,1252.1,191.9,-68.7,-151.6,-23.0,-25.9,-57.9,True,True,True,True
West Virginia,93,158.0,115.1,106.1,50.0,75.5,156.8,65.0,22.1,13.1,-43.0,-17.5,63.8,True,True,True,True
Wisconsin,777,865.4,660.0,681.8,584.0,673.2,582.2,88.4,-117.0,-95.2,-193.0,-103.8,-194.8,False,False,False,False
Wyoming,20,7.0,7.0,6.0,7.0,11.8,25.3,-13.0,-13.0,-14.0,-13.0,-8.2,5.3,False,False,True,True
US,126120,168261.3,129018.9,127540.9,101032.0,110703.6,129528.5,43236.3,3993.9,2515.9,-23993.0,-14321.4,4503.5,True,True,True,True
