,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-OliverWyman-Navigator,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Georgia,2776,2542.9,3538.0,2699.9,2592.5,2513.0,2364.3,2600.4,2457.0,,2794.3,2777.0,2535.0,2936.6,2594.4,2538.7,,,2545.5,2700.0,2502.0,2543.4,2546.0,2281.4,2462.4,2680.5,-233.1,762.0,-76.1,-183.5,-263.0,-411.7,-175.6,-319.0,,18.3,1.0,-241.0,160.6,-181.6,-237.3,,,-230.5,-76.0,-274.0,-232.6,-230.0,-494.6,-313.6,-95.5,False,True,True,False,False,True,False,,True,True,False,True,True,False,,,True,True,False,True,True,False,False,True
Hawaii,18,17.0,28.0,18.0,18.2,17.0,17.5,20.8,18.0,,,17.7,,21.3,20.3,18.0,,17.0,15.0,54.0,23.0,17.8,19.0,17.6,17.9,18.3,-1.0,10.0,0.0,0.2,-1.0,-0.5,2.8,0.0,,,-0.3,,3.3,2.3,-0.0,,-1.0,-3.0,36.0,5.0,-0.2,1.0,-0.4,-0.1,0.3,False,True,True,False,True,False,True,,,True,,False,False,True,,False,False,False,False,True,False,True,True,True
Idaho,91,85.9,137.0,88.0,94.8,87.0,93.5,112.6,108.0,93.6,,103.0,83.0,136.7,95.7,86.9,,86.9,85.0,93.0,107.0,88.7,91.0,80.8,88.3,88.6,-5.1,46.0,-3.0,3.8,-4.0,2.5,21.6,17.0,2.6,,12.0,-8.0,45.7,4.7,-4.1,,-4.1,-6.0,2.0,16.0,-2.3,0.0,-10.2,-2.7,-2.4,False,True,True,True,True,False,False,True,,False,False,False,True,True,,True,False,True,False,True,True,False,True,True
Illinois,6873,7372.6,9303.0,7466.3,6981.3,6545.0,6264.8,6650.0,6687.0,6450.4,,6641.8,7228.0,7506.4,6727.1,7314.2,7117.5,6700.5,12506.5,7410.0,6420.0,7354.7,6734.0,6428.6,6949.3,7006.0,499.6,2430.0,593.3,108.3,-328.0,-608.2,-223.0,-186.0,-422.6,,-231.2,355.0,633.4,-145.9,441.2,244.5,-172.5,5633.5,537.0,-453.0,481.7,-139.0,-444.4,76.3,133.0,False,False,True,True,False,True,True,True,,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True
Indiana,2541,2785.9,3487.0,2793.3,2685.6,2707.0,2426.6,2770.9,2626.0,,,2481.2,2401.0,2852.6,2662.6,2750.7,2926.5,2684.3,2410.0,2702.0,2697.0,2686.4,2665.0,2598.9,2618.6,2825.0,189.9,891.0,197.3,89.6,111.0,-169.4,174.9,30.0,,,-114.8,-195.0,256.6,66.6,154.7,330.5,88.3,-186.0,106.0,101.0,90.4,69.0,2.9,22.6,229.0,False,False,True,True,True,True,True,,,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False
Iowa,704,805.0,1365.0,803.0,812.7,878.0,671.5,803.8,729.0,866.3,,866.0,690.0,993.9,769.1,884.4,,760.1,1068.5,866.0,696.0,750.8,749.0,648.0,798.3,832.9,101.0,661.0,99.0,108.7,174.0,-32.5,99.8,25.0,162.3,,162.0,-14.0,289.9,65.1,180.4,,56.1,364.5,162.0,-8.0,46.8,45.0,-56.0,94.3,128.9,False,True,False,False,True,True,True,False,,False,True,False,True,False,,True,False,False,True,True,True,True,True,False
Kansas,268,284.4,416.0,287.0,276.6,263.0,262.4,294.6,261.0,291.4,,284.4,305.0,408.1,250.2,255.7,,269.8,265.0,247.0,258.0,271.4,255.0,230.1,253.1,273.2,16.4,148.0,19.0,8.6,-5.0,-5.6,26.6,-7.0,23.4,,16.4,37.0,140.1,-17.8,-12.3,,1.8,-3.0,-21.0,-10.0,3.4,-13.0,-37.9,-14.9,5.2,False,False,True,True,True,False,True,False,,True,False,False,False,True,,True,True,False,True,True,True,False,True,True
Kentucky,554,581.4,693.0,586.9,610.1,818.0,495.4,759.4,560.0,690.7,,656.5,544.0,740.8,569.3,555.9,581.5,590.3,480.0,617.0,498.0,649.5,563.0,588.1,541.2,585.3,27.4,139.0,32.9,56.1,264.0,-58.6,205.4,6.0,136.7,,102.5,-10.0,186.8,15.3,1.9,27.5,36.3,-74.0,63.0,-56.0,95.5,9.0,34.1,-12.8,31.3,False,False,False,False,False,False,True,False,,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False
Louisiana,3190,3350.3,3885.0,3341.9,3171.1,3226.0,3000.2,3297.7,3094.0,,,3090.8,3103.0,3290.5,3286.7,3094.2,,3350.9,3118.5,3044.0,3399.0,3165.6,3248.0,2830.0,3093.6,3293.7,160.3,695.0,151.9,-18.9,36.0,-189.8,107.7,-96.0,,,-99.2,-87.0,100.5,96.7,-95.8,,160.9,-71.5,-146.0,209.0,-24.4,58.0,-360.0,-96.4,103.7,False,True,True,True,False,True,True,,,True,True,True,True,True,,False,True,True,False,True,True,False,True,True
Maine,104,127.6,151.0,125.0,123.1,134.0,104.7,131.7,139.0,127.7,,139.8,113.0,148.9,118.5,113.7,,117.6,100.0,106.0,145.0,105.6,120.0,125.3,119.8,113.2,23.6,47.0,21.0,19.1,30.0,0.7,27.7,35.0,23.7,,35.8,9.0,44.9,14.5,9.7,,13.6,-4.0,2.0,41.0,1.6,16.0,21.3,15.8,9.2,False,True,True,False,True,False,False,False,,False,True,False,True,True,,True,True,True,False,True,True,True,True,True
Maryland,3157,3369.0,4285.0,3432.8,3358.4,3320.0,3009.1,3647.1,3456.0,3185.4,,3237.0,3488.0,3837.0,3123.0,3262.7,,3162.2,2992.0,3776.0,2987.0,3488.2,3160.0,3266.7,3167.3,3451.8,212.0,1128.0,275.8,201.4,163.0,-147.9,490.1,299.0,28.4,,80.0,331.0,680.0,-34.0,105.7,,5.2,-165.0,619.0,-170.0,331.2,3.0,109.7,10.3,294.8,False,False,True,True,True,False,False,True,,True,False,False,True,True,,True,True,False,True,False,True,True,True,False
Massachusetts,8041,8658.9,9266.0,8852.1,8084.6,8103.0,7695.9,8116.4,7833.0,,,7798.9,8510.0,8184.9,7935.6,8368.3,,8169.2,7233.0,8081.0,7439.0,8233.3,7961.0,7287.5,7895.3,8017.3,617.9,1225.0,811.1,43.6,62.0,-345.1,75.4,-208.0,,,-242.1,469.0,143.9,-105.4,327.3,,128.2,-808.0,40.0,-602.0,192.3,-80.0,-753.5,-145.7,-23.7,False,False,True,True,True,True,True,,,True,True,True,True,True,,True,False,True,True,True,True,False,True,True
Michigan,6153,7049.3,7529.0,6071.1,6343.6,6143.0,5821.8,6448.7,6377.0,,,6014.5,6603.0,6690.5,6767.9,5910.9,6316.0,6131.4,5757.0,6499.0,6603.0,6405.7,5896.0,5461.3,6764.0,6260.1,928.3,1408.0,-49.9,222.6,22.0,-299.2,327.7,256.0,,,-106.5,482.0,569.5,646.9,-210.1,195.0,10.4,-364.0,378.0,482.0,284.7,-225.0,-659.7,643.0,139.1,False,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Minnesota,1452,1617.0,2129.0,1616.0,1613.3,1816.0,1384.5,1776.8,1697.0,,,1566.7,1384.0,1926.5,1518.2,1690.6,1673.0,1482.8,1293.0,1643.0,1509.0,1541.3,1525.0,1367.8,1608.5,1670.0,165.0,677.0,164.0,161.3,364.0,-67.5,324.8,245.0,,,114.7,-68.0,474.5,66.2,238.6,221.0,30.8,-159.0,191.0,57.0,89.3,73.0,-84.2,156.5,218.0,False,True,True,False,True,False,False,,,True,True,False,True,False,False,True,True,False,True,True,True,True,True,False
Mississippi,1035,1054.1,1371.0,1075.0,1039.3,1089.0,861.5,1156.7,1072.0,894.1,,1092.8,880.0,1165.1,984.7,1117.8,,1011.8,1053.0,1179.0,1159.0,979.9,976.0,999.0,1006.6,1090.7,19.1,336.0,40.0,4.3,54.0,-173.5,121.7,37.0,-140.9,,57.8,-155.0,130.1,-50.3,82.8,,-23.2,18.0,144.0,124.0,-55.1,-59.0,-36.0,-28.4,55.7,False,False,True,False,False,False,False,False,,False,False,False,False,False,,False,True,False,False,False,False,False,False,False
Missouri,1024,926.4,1214.0,938.0,1007.0,984.0,858.3,1524.4,1043.0,1028.4,,1010.7,993.0,1101.6,987.9,961.8,,1043.7,972.5,1145.0,890.0,1108.0,948.0,929.2,942.2,1047.7,-54.6,233.0,-43.0,26.0,3.0,-122.7,543.4,62.0,47.4,,29.7,12.0,120.6,6.9,-19.2,,62.7,-8.5,164.0,-91.0,127.0,-33.0,-51.8,-38.8,66.7,False,True,True,True,False,False,False,True,,True,True,False,True,True,,False,True,False,False,False,True,True,True,False
Montana,22,20.9,28.0,21.0,21.5,18.0,18.5,70.3,19.0,21.3,,18.4,18.0,47.4,23.1,18.9,,20.1,10.0,24.0,23.0,19.7,22.0,16.3,20.6,19.6,-1.1,6.0,-1.0,-0.5,-4.0,-3.5,48.3,-3.0,-0.7,,-3.6,-4.0,25.4,1.1,-3.1,,-1.9,-12.0,2.0,1.0,-2.3,0.0,-5.7,-1.4,-2.4,False,True,True,False,False,False,False,True,,False,False,False,True,False,,False,False,False,True,False,True,False,False,False
Nebraska,267,235.6,462.0,238.0,269.9,416.0,253.6,289.2,215.0,,,295.0,249.0,386.6,220.1,247.2,,223.9,306.5,248.0,286.0,255.8,224.0,204.5,243.9,257.5,-31.4,195.0,-29.0,2.9,149.0,-13.4,22.2,-52.0,,,28.0,-18.0,119.6,-46.9,-19.8,,-43.1,39.5,-19.0,19.0,-11.2,-43.0,-62.5,-23.1,-9.5,False,True,True,False,True,True,False,,,True,True,False,False,True,,False,False,True,True,True,False,False,True,True
Nevada,500,498.0,656.0,496.9,526.1,582.0,463.8,2065.9,572.0,571.8,,540.0,543.0,574.8,526.8,487.8,,501.1,435.0,528.0,634.0,508.3,510.0,483.2,483.7,511.7,-2.0,156.0,-3.1,26.1,82.0,-36.2,1565.9,72.0,71.8,,40.0,43.0,74.8,26.8,-12.2,,1.1,-65.0,28.0,134.0,8.3,10.0,-16.8,-16.3,11.7,False,False,False,False,False,False,False,False,,False,False,False,False,False,,True,False,False,False,False,False,False,False,False
New Hampshire,367,403.1,431.0,418.0,380.9,364.0,269.8,328.5,407.0,457.1,,371.2,302.0,426.9,352.1,434.3,,375.4,389.5,462.0,310.0,376.7,359.0,328.7,405.4,388.1,36.1,64.0,51.0,13.9,-3.0,-97.2,-38.5,40.0,90.1,,4.2,-65.0,59.9,-14.9,67.3,,8.4,22.5,95.0,-57.0,9.7,-8.0,-38.3,38.4,21.1,False,False,True,True,False,False,False,False,,True,False,False,True,False,,True,True,False,False,True,True,False,False,True
New Jersey,14948,13541.7,15985.0,13522.4,12997.2,12901.0,12388.3,12922.8,12721.0,,,12896.2,13375.0,12968.1,12925.3,12982.6,,12994.0,13468.0,12986.0,12511.0,13262.7,12944.0,11848.4,12898.3,13182.9,433.7,2877.0,414.4,-110.8,-207.0,-719.7,-185.2,-387.0,,,-211.8,267.0,-139.9,-182.7,-125.4,,-114.0,360.0,-122.0,-597.0,154.7,-164.0,-1259.6,-209.7,74.9,False,True,True,True,False,True,True,,,True,True,True,True,True,,True,True,True,False,True,True,False,True,True
New Mexico,491,510.3,579.0,514.7,504.3,491.0,409.1,1002.6,496.0,523.5,,531.8,464.0,521.0,533.0,515.2,,544.6,430.5,532.0,512.0,533.6,495.0,414.7,483.3,510.5,19.3,88.0,23.7,13.3,0.0,-81.9,511.6,5.0,32.5,,40.8,-27.0,30.0,42.0,24.2,,53.6,-60.5,41.0,21.0,42.6,4.0,-76.3,-7.7,19.5,False,False,True,True,False,False,True,False,,False,False,False,False,False,,False,False,False,False,False,True,False,True,False
New York,32051,32059.7,36354.0,32175.5,31196.9,30983.0,31178.8,31618.4,30721.0,,,31438.8,31939.0,31277.3,31394.0,30864.4,,31319.4,28889.5,30661.0,31024.0,31101.7,31278.0,29525.4,30848.4,31387.6,860.7,5155.0,976.5,-2.1,-216.0,-20.2,419.4,-478.0,,,239.8,740.0,78.3,195.0,-334.6,,120.4,-2309.5,-538.0,-175.0,-97.3,79.0,-1673.6,-350.6,188.6,False,False,True,True,True,True,True,,,True,True,True,True,True,,True,False,True,True,True,True,False,True,True
North Carolina,1353,1303.4,2284.0,1325.1,1538.3,2285.0,1231.2,1530.1,1827.0,1486.8,,1562.8,1245.0,1906.6,1395.6,1316.1,,,1284.5,1589.0,1707.0,1421.0,1346.0,1614.9,1286.5,1367.2,-49.6,931.0,-27.9,185.3,932.0,-121.8,177.1,474.0,133.8,,209.8,-108.0,553.6,42.6,-36.9,,,-68.5,236.0,354.0,68.0,-7.0,261.9,-66.5,14.2,False,True,False,False,False,False,False,False,,False,False,False,True,True,,,False,False,False,False,True,False,False,True
North Dakota,78,103.4,149.0,108.0,98.6,85.0,76.6,116.5,92.0,117.2,,92.3,90.0,141.1,90.8,109.3,,105.0,85.0,559.0,121.0,86.4,92.0,76.3,113.2,101.7,25.4,71.0,30.0,20.6,7.0,-1.4,38.5,14.0,39.2,,14.3,12.0,63.1,12.8,31.3,,27.0,7.0,481.0,43.0,8.4,14.0,-1.7,35.2,23.7,False,False,True,True,True,False,True,False,,True,True,False,True,False,,False,True,False,False,True,True,True,False,True
Ohio,2531,3019.0,3379.0,3041.7,2960.2,2782.0,2524.2,2805.3,2783.0,3317.9,,2928.9,2907.0,3652.1,2822.6,2975.9,3207.0,2816.9,3244.0,3329.0,2651.0,2862.1,2736.0,2783.4,2885.5,3048.7,368.0,728.0,390.7,309.2,131.0,-126.8,154.3,132.0,666.9,,277.9,256.0,1001.1,171.6,324.9,556.0,165.9,593.0,678.0,0.0,211.1,85.0,132.4,234.5,397.7,False,False,True,True,True,True,True,False,,True,True,False,True,True,False,True,False,False,True,True,True,True,True,False
Oklahoma,384,388.0,542.0,386.1,393.3,367.0,369.1,458.2,425.0,443.4,,394.8,354.0,520.8,390.9,367.1,,382.0,350.0,422.0,460.0,380.3,385.0,384.6,375.3,398.9,4.0,158.0,2.1,9.3,-17.0,-14.9,74.2,41.0,59.4,,10.8,-30.0,136.8,6.9,-16.9,,-2.0,-34.0,38.0,76.0,-3.7,1.0,0.6,-8.7,14.9,False,True,False,False,False,False,False,False,,False,False,False,False,False,,True,False,False,False,True,True,True,False,False
Oregon,202,191.6,242.0,185.0,189.2,172.0,171.7,347.0,186.0,195.8,,183.2,181.0,295.8,190.5,173.5,,192.7,155.0,168.0,267.0,190.1,191.0,186.5,177.2,180.6,-10.4,40.0,-17.0,-12.8,-30.0,-30.3,145.0,-16.0,-6.2,,-18.8,-21.0,93.8,-11.5,-28.5,,-9.3,-47.0,-34.0,65.0,-11.9,-11.0,-15.5,-24.8,-21.4,False,False,False,False,False,False,False,True,,False,False,False,False,False,,True,False,False,False,False,False,False,False,False
Pennsylvania,6603,7051.6,8453.0,7112.8,6789.0,6524.0,6117.0,6566.5,6952.0,,,6656.6,6413.0,7423.6,6738.8,6965.2,,6593.3,7246.0,7398.0,6327.0,7017.0,6606.0,6044.4,6651.6,6816.0,448.6,1850.0,509.8,186.0,-79.0,-486.0,-36.5,349.0,,,53.6,-190.0,820.6,135.8,362.2,,-9.7,643.0,795.0,-276.0,414.0,3.0,-558.6,48.6,213.0,False,False,True,True,False,True,True,,,True,True,False,True,True,,True,False,False,True,True,True,False,True,True
Rhode Island,965,926.3,1287.0,955.3,891.7,833.0,793.9,854.4,904.0,,,915.1,905.0,835.5,847.6,993.4,,834.1,914.0,1008.0,802.0,887.1,850.0,632.3,908.1,967.1,75.3,436.0,104.3,40.7,-18.0,-57.1,3.4,53.0,,,64.1,54.0,-15.5,-3.4,142.4,,-16.9,63.0,157.0,-49.0,36.1,-1.0,-218.7,57.1,116.1,False,False,True,True,True,True,True,,,True,True,True,True,False,,True,True,False,True,True,True,False,True,False
South Carolina,711,694.6,885.0,694.8,763.4,1046.0,580.3,903.6,841.0,768.3,,687.3,610.0,883.5,779.1,652.6,,887.9,614.0,735.0,1156.0,682.5,839.0,714.6,659.8,744.9,-16.4,174.0,-16.2,52.4,335.0,-130.7,192.6,130.0,57.3,,-23.7,-101.0,172.5,68.1,-58.4,,176.9,-97.0,24.0,445.0,-28.5,128.0,3.6,-51.2,33.9,False,True,False,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,True,False,False
South Dakota,91,73.6,159.0,74.2,91.6,128.0,82.8,113.1,84.0,86.4,,78.5,76.0,142.0,83.6,80.6,,78.9,90.0,87.0,127.0,77.7,79.0,71.4,85.2,88.3,-17.4,68.0,-16.8,0.6,37.0,-8.2,22.1,-7.0,-4.6,,-12.5,-15.0,51.0,-7.4,-10.4,,-12.1,-1.0,-4.0,36.0,-13.3,-12.0,-19.6,-5.8,-2.7,False,True,True,False,True,False,True,True,,True,True,False,True,True,,True,True,True,False,True,True,False,True,True
Tennessee,584,572.3,885.0,576.0,569.0,748.0,521.6,605.0,527.0,722.9,,551.1,567.0,733.0,503.5,543.5,,587.4,431.0,522.0,581.0,513.0,564.0,519.8,509.6,563.9,-11.7,301.0,-8.0,-15.0,164.0,-62.4,21.0,-57.0,138.9,,-32.9,-17.0,149.0,-80.5,-40.5,,3.4,-153.0,-62.0,-3.0,-71.0,-20.0,-64.2,-74.4,-20.1,False,True,False,False,False,False,False,False,,False,False,False,False,False,,True,False,False,True,False,False,False,False,False
Texas,2725,2315.3,3715.0,2375.8,2407.8,2834.0,2144.1,2663.3,2375.0,2390.1,,2332.1,2104.0,3130.6,2173.2,2258.1,,2427.8,2241.0,2652.0,2829.0,2303.5,2402.0,2489.0,2221.0,2456.8,-208.7,1191.0,-148.2,-116.2,310.0,-379.9,139.3,-149.0,-133.9,,-191.9,-420.0,606.6,-350.8,-265.9,,-96.2,-283.0,128.0,305.0,-220.5,-122.0,-35.0,-303.0,-67.2,False,True,True,False,False,True,True,True,,True,False,False,False,False,,True,False,True,False,False,True,True,False,True
Utah,167,143.9,343.0,148.0,186.5,318.0,174.5,511.9,176.0,188.0,,176.1,184.0,229.2,178.8,157.1,,,185.5,1570.0,343.0,170.9,189.0,163.0,155.8,162.4,-23.1,176.0,-19.0,19.5,151.0,7.5,344.9,9.0,21.0,,9.1,17.0,62.2,11.8,-9.9,,,18.5,1403.0,176.0,3.9,22.0,-4.0,-11.2,-4.6,False,True,True,False,True,False,True,True,,True,True,False,True,True,,,True,False,False,True,True,True,True,True
