,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Montana,669,422.6,654.6,419.0,931.5,478.8,393.0,,430.1,423.0,473.3,894.6,331.7,353.6,332.2,,419.1,401.5,,,368.7,539.0,296.4,-246.4,-14.4,-250.0,262.5,-190.2,-276.0,,-238.9,-246.0,-195.7,225.6,-337.3,-315.4,-336.8,,-249.9,-267.5,,,-300.3,-130.0,-372.6,True,False,False,True,False,,True,True,True,True,False,False,False,,False,False,,,False,True,False
Nebraska,989,717.9,1055.6,715.2,938.1,758.4,647.0,,931.0,678.0,702.5,927.4,816.6,666.4,669.7,,675.6,724.0,,,594.1,815.0,613.7,-271.1,66.6,-273.8,-50.9,-230.6,-342.0,,-58.0,-311.0,-286.5,-61.6,-172.4,-322.6,-319.3,,-313.4,-265.0,,,-394.9,-174.0,-375.3,True,False,True,True,False,,True,False,False,True,True,False,False,,False,True,,,False,True,False
Nevada,2119,1997.0,2233.2,1994.5,2297.4,2016.6,1875.0,,1975.8,1920.0,1992.7,1999.2,2022.6,1908.0,1952.3,,2746.2,1945.0,,,2089.9,2115.0,1901.2,-122.0,114.2,-124.5,178.4,-102.4,-244.0,,-143.2,-199.0,-126.3,-119.8,-96.4,-211.0,-166.7,,627.2,-174.0,,,-29.1,-4.0,-217.8,True,False,False,True,False,,False,False,False,True,True,False,False,,False,False,,,True,True,False
New Hampshire,523,524.6,516.7,532.8,696.6,537.4,567.0,,579.9,511.0,518.9,586.5,510.5,486.7,527.8,,525.1,509.0,,,493.1,582.0,479.2,1.6,-6.3,9.8,173.6,14.4,44.0,,56.9,-12.0,-4.1,63.5,-12.5,-36.3,4.8,,2.1,-14.0,,,-29.9,59.0,-43.8,False,False,False,False,False,,False,False,False,False,False,False,False,,False,False,,,False,False,False
New Jersey,16965,16427.7,16423.3,16675.1,16486.0,16621.1,16470.0,,16277.6,16363.0,16519.2,16837.5,16684.5,16373.3,17097.4,,16542.6,16222.0,,,16349.9,16495.0,16385.7,-537.3,-541.7,-289.9,-479.0,-343.9,-495.0,,-687.4,-602.0,-445.8,-127.5,-280.5,-591.7,132.4,,-422.4,-743.0,,,-615.1,-470.0,-579.3,False,True,True,True,True,,False,False,True,True,True,False,True,,True,False,,,False,True,False
New Mexico,1527,1068.7,1200.3,1061.0,2046.6,1234.1,988.0,,1081.6,1026.0,1183.8,1285.7,1135.3,1072.6,1113.1,,1121.6,980.0,,,1013.7,1328.0,1017.6,-458.3,-326.7,-466.0,519.6,-292.9,-539.0,,-445.4,-501.0,-343.2,-241.3,-391.7,-454.4,-413.9,,-405.4,-547.0,,,-513.3,-199.0,-509.4,True,False,False,True,False,,True,False,True,True,True,True,True,,True,False,,,False,True,False
New York,34526,33726.0,33511.2,34233.5,34488.6,33995.4,33686.0,,34148.6,33629.0,34024.4,34707.4,34163.0,33556.7,35652.3,,33793.6,33349.0,,,33585.6,34026.0,33361.3,-598.0,-812.8,-90.5,164.6,-328.6,-638.0,,-175.4,-695.0,-299.6,383.4,-161.0,-767.3,1328.3,,-530.4,-975.0,,,-738.4,-298.0,-962.7,False,True,True,True,False,,True,False,True,True,True,False,False,,True,False,,,False,True,False
North Carolina,5219,4894.6,6589.3,4912.1,7002.3,4974.3,4489.0,,4914.7,4644.0,5314.3,4894.8,4981.6,4583.8,4791.2,,4512.3,4632.0,,,4683.9,5254.0,4454.7,-324.4,1370.3,-306.9,1783.3,-244.7,-730.0,,-304.3,-575.0,95.3,-324.2,-237.4,-635.2,-427.8,,-706.7,-587.0,,,-535.1,35.0,-764.3,False,True,False,True,False,,True,False,True,True,True,False,False,,False,False,,,False,True,False
North Dakota,921,796.4,926.0,777.1,1439.4,841.5,517.0,,809.2,702.0,797.9,860.4,480.5,726.1,591.2,,992.2,823.0,,,591.8,1093.0,527.2,-124.6,5.0,-143.9,518.4,-79.5,-404.0,,-111.8,-219.0,-123.1,-60.6,-440.5,-194.9,-329.8,,71.2,-98.0,,,-329.2,172.0,-393.8,True,False,False,True,False,,True,False,True,True,False,False,False,,True,True,,,False,False,False
Ohio,6378,5465.3,5359.2,5510.5,6675.7,6002.8,5545.0,,6147.4,5884.0,5789.4,6496.2,6389.8,5467.6,6016.9,6911.0,5489.0,5598.0,,,5595.1,5715.0,5546.5,-912.7,-1018.8,-867.5,297.7,-375.2,-833.0,,-230.6,-494.0,-588.6,118.2,11.8,-910.4,-361.1,533.0,-889.0,-780.0,,,-782.9,-663.0,-831.5,False,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,,True,True,True
